English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Irish Word
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	iomlán
absolution	0	0	0	0	1	0	1	0	0	1	fuadach
absorbed	0	0	0	0	0	0	1	0	0	0	shúite
absorbent	0	0	0	0	0	0	0	0	0	0	ionsúiteach
absorbing	0	0	0	0	0	0	0	0	0	0	ag ionsú
absorption	0	0	0	0	0	0	0	0	0	0	ionsúite
abstain	0	0	0	0	0	0	0	0	0	0	staonadh
abstention	0	0	0	0	0	0	0	0	0	0	staonadh
abstinence	0	0	0	0	0	0	0	0	0	0	staonadh
abstract	0	0	0	0	0	0	0	0	0	0	teibí
abstraction	0	0	0	0	0	0	0	0	0	0	astarraingt
absurd	0	0	0	0	0	1	0	0	0	0	áiféiseach
absurdity	0	0	0	0	0	1	0	0	0	0	áiféiseach
abundance	0	1	1	0	1	1	1	0	0	1	raidhse
abundant	0	0	0	0	1	0	1	0	0	0	flúirseach
abuse	1	0	1	1	0	1	0	1	0	0	mí-úsáid
abutment	0	0	0	0	0	0	0	0	0	0	taca
aby	0	0	0	0	0	0	0	0	0	0	duibheagán
abysmal	0	0	0	0	0	1	0	1	0	0	aimhreasach
abyss	0	0	0	1	0	1	0	1	0	0	duibheagán
academic	0	0	0	0	0	0	1	0	0	1	acadúil
academy	0	0	0	0	0	0	1	0	0	0	Acadamh
accede	0	0	0	0	0	0	0	0	0	0	aontú
accelerate	0	1	0	0	0	0	0	0	0	0	dlús a chur
acceleration	0	0	0	0	0	0	0	0	0	0	luasghéarú
accent	0	0	0	0	0	0	0	0	0	0	accent
accentuate	0	0	0	0	0	0	0	0	0	0	accentuate
accept	0	0	0	0	0	0	0	0	0	0	glacadh
acceptable	0	0	0	0	0	0	1	0	0	0	inghlactha
acceptance	0	0	0	0	0	0	1	0	0	0	glacadh
access	0	0	0	0	0	0	0	0	0	0	rochtain
accessible	0	0	0	0	0	0	1	0	0	0	inrochtana
accession	0	0	0	0	0	0	0	0	0	0	aontachas
accessory	0	0	0	0	0	0	0	0	0	0	cúlpháirtí
accident	0	0	0	1	0	1	0	1	1	0	timpiste
accidental	0	0	0	1	0	1	0	0	1	0	thaisme
accidentally	0	0	0	0	0	0	0	0	1	0	de thaisme
accolade	0	1	0	0	1	0	1	0	1	1	gradam
accommodate	0	0	0	0	0	0	0	0	0	0	freastal
accommodation	0	0	0	0	0	0	1	0	0	0	lóistín
accompaniment	0	1	0	0	1	0	1	0	0	1	tionlacan
accompany	0	0	0	0	0	0	0	0	0	0	in éineacht
accompanying	0	0	0	0	0	0	0	0	0	0	in éineacht le
accomplice	0	0	0	0	0	0	0	0	0	0	comhchoirí
accomplish	0	0	0	0	1	0	1	0	0	0	chur i gcrích
accomplished	0	0	0	0	1	0	1	0	0	0	i gcrích
accomplishment	0	0	0	0	0	0	1	0	0	0	éacht
accord	0	0	0	0	0	0	1	0	0	1	de réir
accordance	0	0	0	0	0	0	0	0	0	0	de réir
accordion	0	0	0	0	0	0	0	0	0	0	bosca ceoil
account	0	0	0	0	0	0	0	0	0	1	cuntas
accountability	0	0	0	0	0	0	1	0	0	1	cuntasacht
accountable	0	0	0	0	0	0	1	0	0	1	cuntasach
accountant	0	0	0	0	0	0	0	0	0	1	cuntasóir
accounting	0	0	0	0	0	0	0	0	0	0	cuntasaíochta
accounts	0	0	0	0	0	0	0	0	0	1	cuntais
accredited	0	0	0	0	0	0	1	0	0	1	creidiúnaithe
accretion	0	0	0	0	0	0	0	0	0	0	accreation
accrue	0	0	0	0	0	0	0	0	0	0	fabhrú
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	charnadh
accumulation	0	0	0	0	0	0	0	0	0	0	carnadh
accuracy	0	0	0	0	0	0	0	0	0	0	cruinneas
accurate	0	0	0	0	0	0	1	0	0	1	cruinn
accursed	1	0	0	1	0	1	0	1	0	0	fabhraithe
accusation	1	0	1	0	0	1	0	0	0	0	cúisimh
accusative	0	0	0	0	0	1	0	0	0	0	cúisitheach
accused	1	0	0	1	0	1	0	0	0	0	cúisithe
accuser	1	0	0	1	0	1	0	0	0	0	cúisitheoir
accusing	1	0	0	1	0	1	0	0	0	0	accusing
accustomed	0	0	0	0	0	0	0	0	0	0	i dtaithí
ace	0	0	0	0	0	0	1	0	0	0	acas
acetic	0	0	0	0	0	0	0	0	0	0	aicéiteach
ache	0	0	0	0	0	1	0	1	0	0	pian
achieve	0	0	0	0	1	0	1	0	0	1	bhaint amach
achievement	0	1	0	0	1	0	1	0	0	1	éacht
aching	0	0	0	0	0	1	0	1	0	0	pian
acid	0	0	0	0	0	1	0	0	0	0	aigéad
acidity	0	0	0	0	0	0	0	0	0	0	aigéadacht
acknowledge	0	0	0	0	0	0	0	0	0	0	admháil
acknowledged	0	0	0	0	0	0	0	0	0	0	admhaigh
acknowledgment	0	0	0	0	0	0	1	0	0	0	admháil
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	fuaimiúil
acoustics	0	0	0	0	0	0	0	0	0	0	fuaimíocht
acquaint	0	0	0	0	0	0	0	0	0	0	aithne
acquaintance	0	0	0	0	0	0	0	0	0	0	aithne
acquainted	0	0	0	0	0	0	0	0	0	0	aithne
acquiescence	0	0	0	0	0	0	0	0	0	0	comhaontas
acquire	0	0	0	0	0	0	1	0	0	0	fháil
acquiring	0	1	0	0	0	0	1	0	0	0	ag fáil
acquisition	0	0	0	0	0	0	0	0	0	0	éadáil
acquisitions	0	0	0	0	0	0	0	0	0	0	éadálacha
acreage	0	0	0	0	0	0	0	0	0	0	acraíocht
acres	0	0	0	0	0	0	0	0	0	0	acra
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	acht
acting	0	0	0	0	0	0	0	0	0	0	ag aisteoireacht
action	0	0	0	0	0	0	1	0	0	0	gníomh
actionable	1	0	1	0	0	1	0	0	0	0	inghníomhaithe
active	0	0	0	0	0	0	0	0	0	0	gníomhach
activity	0	0	0	0	0	0	0	0	0	0	ghníomhaíocht
actor	0	0	0	0	0	0	0	0	0	0	aisteoir
actual	0	0	0	0	0	0	1	0	0	0	iarbhír
actuality	0	0	0	0	0	0	0	0	0	0	iarbhír
actuary	0	0	0	0	0	0	0	0	0	0	achtúire
acuity	0	0	0	0	0	0	1	0	0	0	géire
acumen	0	0	0	0	0	0	1	0	0	0	acumen
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuncture
acutely	0	0	0	0	0	0	0	0	0	0	go géar
adage	0	0	0	0	0	0	0	0	0	0	adage
adamant	0	0	0	0	0	0	0	0	0	0	daingean
adapt	0	0	0	0	0	0	1	0	0	0	oiriúnú
adaptable	0	0	0	0	0	0	1	0	0	0	inoiriúnaithe
add	0	0	0	0	0	0	0	0	0	0	cuir
added	0	0	0	0	0	0	0	0	0	0	curtha leis
addendum	0	0	0	0	0	0	0	0	0	0	aguisín
adder	1	0	1	1	0	1	0	1	0	0	nathair
addiction	0	0	0	0	0	1	0	0	0	0	andúil
addition	0	0	0	0	0	0	0	0	0	0	bhreis
additional	0	0	0	0	0	0	0	0	0	0	breise
additive	0	0	0	0	0	0	0	0	0	0	breiseán
address	0	0	0	0	0	0	0	0	0	0	seoladh
addressee	0	0	0	0	0	0	0	0	0	0	seolaí
addresses	0	1	0	0	0	0	1	0	0	0	seoltaí
adept	0	0	0	0	0	0	1	0	0	0	oilte
adequacy	0	0	0	0	0	0	1	0	0	0	leordhóthanacht
adequate	0	0	0	0	0	0	0	0	0	0	leordhóthanach
adhere	0	0	0	0	0	0	0	0	0	0	cloí
adherence	0	0	0	0	0	0	0	0	0	0	cloí
adherent	0	0	0	0	0	0	0	0	0	0	cloíte
adhering	0	0	0	0	0	0	0	0	0	1	ag cloí
adhesion	0	0	0	0	0	0	0	0	0	0	greamaitheacht
adhesive	0	0	0	0	0	0	0	0	0	0	ghreamaitheacha
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	géag
adjacency	0	0	0	0	0	0	0	0	0	0	cóngaracht
adjacent	0	0	0	0	0	0	0	0	0	0	in aice
adjective	0	0	0	0	0	0	0	0	0	0	aidiacht
adjoining	0	0	0	0	0	0	0	0	0	0	tadhlach
adjourn	0	0	0	0	0	0	0	0	0	0	ar athló
adjournment	0	0	0	0	0	0	0	0	0	0	ar atráth
adjudicate	0	0	0	1	0	1	0	0	0	0	moltóireacht
adjudication	0	0	0	0	0	0	0	0	0	0	breithiúnas
adjunct	0	0	0	0	0	0	1	0	0	0	aguisín
adjust	0	0	0	0	0	0	0	0	0	0	coigeartú
adjustment	0	0	0	0	0	0	0	0	0	0	coigeartú
adjuvant	0	0	0	0	0	0	0	0	0	0	aidiúvach
administer	0	0	0	0	0	0	0	0	0	0	riar
administration	0	0	0	0	0	0	0	0	0	0	riaradh
administrative	0	0	0	0	0	0	0	0	0	1	riaracháin
admirable	0	0	0	0	1	0	1	0	0	1	ionmholta
admiral	0	0	0	0	0	0	1	0	0	1	aimiréal
admiralty	0	0	0	0	0	0	0	0	0	0	aimiréalachta
admiration	0	0	0	0	1	0	1	0	0	1	meas
admire	0	0	0	0	0	0	1	0	0	1	admire
admirer	0	0	0	0	0	0	1	0	0	0	admirer
admissibility	0	0	0	0	0	0	0	0	0	0	inghlacthacht
admissible	0	0	0	0	0	0	1	0	0	1	inghlactha
admission	0	0	0	0	0	0	0	0	0	0	ligean isteach
admit	0	0	0	0	0	0	0	0	0	0	admháil
admittance	0	0	0	0	0	0	0	0	0	0	ligean isteach
admitted	0	0	0	0	0	0	0	0	0	0	admhaigh
admitting	0	0	0	0	0	0	0	0	0	0	ag ligean isteach
admixture	0	0	0	0	0	0	0	0	0	0	mheascán
admonition	0	0	0	1	0	1	0	0	0	0	aireachais
ado	0	0	0	0	0	0	0	0	0	0	maith
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	ógántacht
adolescent	0	0	0	0	0	0	0	0	0	0	ógánach
adopt	0	0	0	0	0	0	0	0	0	0	ghlacadh
adoption	0	0	0	0	0	0	0	0	0	0	uchtáil
adorable	0	0	0	0	1	0	1	0	0	0	gleoite
adoration	0	0	0	0	1	0	1	0	0	1	adhradh
adore	0	1	0	0	1	0	1	0	0	1	adhair
adorn	0	0	0	0	0	0	0	0	0	0	mhaisigh
adornment	0	0	0	0	0	0	0	0	0	0	maisiúchán
adrift	0	1	0	1	0	1	0	1	0	0	sruth
adult	0	0	0	0	0	0	0	0	0	0	fásta
adulterated	0	0	0	0	0	1	0	0	0	0	truailligh
adultery	0	0	1	0	0	1	0	1	0	0	adhaltranas
advance	0	1	0	1	1	0	1	0	1	0	airleacan
advanced	0	0	0	0	0	0	1	0	0	0	chun cinn
advancement	0	0	0	0	0	0	1	0	0	0	dul chun cinn
advancing	0	0	0	0	0	0	0	0	0	0	ag dul chun cinn
advantage	0	0	0	0	0	0	1	0	0	0	buntáiste
advantageous	0	0	0	0	0	0	1	0	0	0	buntáisteach
advent	0	1	0	0	1	0	1	0	0	1	teacht
adventure	0	1	0	0	0	0	1	0	0	0	eachtra
adventurer	0	0	0	0	0	0	0	0	0	0	eachtránaí
adventurous	0	0	0	0	0	0	1	0	0	0	eachtrúil
adversary	1	0	0	0	0	1	0	0	0	0	namhaid
adverse	1	0	1	1	0	1	0	1	0	0	díobhálach
adversity	1	0	0	1	0	1	0	1	0	0	aimhreas
advertise	0	0	0	0	0	0	0	0	0	0	fhógairt
advertisement	0	0	0	0	0	0	0	0	0	0	fógra
advice	0	0	0	0	0	0	0	0	0	1	comhairle
advisable	0	0	0	0	0	0	1	0	0	1	inmholta
advise	0	0	0	0	0	0	1	0	0	1	comhairle
advised	0	0	0	0	0	0	0	0	0	1	comhairle
advisement	0	0	0	0	0	0	0	0	0	0	comhairle
adviser	0	0	0	0	0	0	1	0	0	1	comhairleoir
advocacy	1	1	0	0	1	0	1	0	0	1	Abhcóideacht
advocate	0	0	0	0	0	0	0	0	0	1	Abhcóide
aegis	0	0	0	0	0	0	0	0	0	0	faoi choimirce
aeration	0	0	0	0	0	0	0	0	0	0	aeraithe
aerial	0	0	0	0	0	0	0	0	0	0	aeróg
aerodrome	0	0	0	0	0	0	0	0	0	0	aeradróm
aerodynamics	0	0	0	0	0	0	0	0	0	0	aeraidinimic
aeronautics	0	0	0	0	0	0	0	0	0	0	aerloingseoireacht
aeroplane	0	0	0	0	0	0	0	0	0	0	eitleán
aesthetic	0	0	0	0	0	0	1	0	0	0	aeistéitiúil
aesthetics	0	0	0	0	1	0	1	0	0	0	aeistéitic
aetiology	0	0	0	0	0	0	0	0	0	0	aetiology
afar	0	0	0	0	0	0	0	0	0	0	i gcéin
affable	0	0	0	0	0	0	1	0	0	0	suarach
affair	0	0	0	0	0	0	0	0	0	0	cleamhnas
affecting	0	0	0	0	0	0	0	0	0	0	ag cur isteach
affection	0	0	0	0	1	0	1	0	0	1	gean
affections	0	0	0	0	0	0	0	0	0	0	gean
affiche	0	0	0	0	0	0	0	0	0	0	aifís
affidavit	0	0	0	0	0	0	0	0	0	0	mionnscríbhinn
affiliated	0	0	0	0	0	0	1	0	0	0	cleamhnaithe
affiliation	0	0	0	0	0	0	0	0	0	0	cleamhnas
affinity	0	0	0	0	0	0	0	0	0	0	cleamhnas
affirm	0	0	0	0	0	0	1	0	0	1	dhaingniú
affirmation	0	0	0	0	0	0	1	0	0	0	dearbhú
affirmative	0	0	0	0	0	0	1	0	0	0	dearfach
affirmatively	0	0	0	0	0	0	1	0	0	1	go dearfach
affix	0	0	0	0	0	0	0	0	0	0	ghreamú
afflict	0	0	0	1	0	1	0	1	0	0	aimhreas
afflicted	0	0	0	0	0	1	0	0	0	0	cráite
affliction	0	0	1	1	0	1	0	1	0	0	aimhreas
affluence	0	0	0	0	1	0	1	0	0	0	saibhreas
affluent	0	0	0	0	0	0	1	0	0	0	saibhir
afford	0	0	0	0	0	0	1	0	0	0	acmhainn
affront	1	0	1	1	0	1	0	1	1	0	achrann
afield	0	0	0	0	0	0	0	0	0	0	i gcéin
afore	0	0	0	0	0	0	0	0	0	0	roimhe
aforementioned	0	0	0	0	0	0	0	0	0	0	thuasluaite
aforesaid	0	0	0	0	0	0	0	0	0	0	a dúradh
afraid	0	0	0	1	0	1	0	0	0	0	eaglach
afresh	0	0	0	0	0	0	0	0	0	0	as an nua
aft	0	0	0	0	0	0	0	0	0	0	aft
aftermath	1	0	1	1	0	1	0	1	0	0	tar éis
afternoon	0	0	0	0	0	0	0	0	0	0	tráthnóna
aftertaste	0	0	0	0	0	1	0	0	0	0	iarbhlais
afterthought	0	0	0	0	0	0	0	0	0	0	iarsmaoineamh
aga	0	0	0	1	0	0	1	0	0	1	ága
agate	0	0	0	0	0	0	0	0	0	0	agaid
age	0	0	0	0	0	0	0	0	0	0	aois
aged	0	0	0	0	0	0	0	0	0	0	d'aois
agency	0	0	0	0	0	0	0	0	0	0	gníomhaireacht
agent	0	0	0	0	0	0	0	0	0	0	gníomhaire
agglomeration	0	0	0	0	0	0	0	0	0	0	ceirtleáil
aggravated	1	0	0	0	0	1	0	0	0	0	géaraithe
aggravating	1	0	0	0	0	1	0	1	0	0	ag dul in olcas
aggravation	1	0	1	0	0	1	0	0	0	0	géarú
aggregate	0	0	0	0	0	0	0	0	0	0	comhiomlán
aggregation	0	0	0	0	0	0	0	0	0	0	comhiomlán
aggression	1	0	0	1	0	1	0	0	0	0	ionsaí
aggressive	1	0	0	1	0	1	0	0	0	0	ionsaitheach
aggressor	1	0	0	1	0	1	0	0	0	0	ionsaitheoir
aghast	0	0	1	1	0	1	0	0	1	0	suarach
agile	0	0	0	0	0	0	1	0	0	0	lúfar
agility	0	0	0	0	0	0	1	0	0	0	aclaíocht
agitated	1	0	0	0	0	1	0	0	0	0	corraithe
agitation	1	0	0	0	0	1	0	0	0	0	agas
agnostic	0	0	0	0	0	0	0	0	0	0	agnostic
ago	0	0	0	0	0	0	0	0	0	0	ó shin
agonizing	0	0	0	1	0	1	0	0	0	0	cráiteach
agony	1	0	0	1	0	1	0	1	0	0	cráite
agree	0	0	0	0	0	0	1	0	0	0	aontú
agreeable	0	0	0	0	0	0	1	0	0	1	sásta
agreed	0	0	0	0	0	0	1	0	0	1	aontaithe
agreeing	0	0	0	0	0	0	1	0	0	1	aontú
agreement	0	0	0	0	0	0	1	0	0	1	comhaontú
agricultural	0	0	0	0	0	0	0	0	0	0	talmhaiochta
agriculture	0	0	0	0	0	0	1	0	0	0	talmhaiocht
aground	0	0	0	0	0	1	0	0	0	0	ar talamh
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	romhainn
aid	0	0	0	0	0	0	1	0	0	0	cabhair
aiding	0	0	0	0	0	0	1	0	0	0	ag cabhrú
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	tinn
ailment	0	0	0	0	0	0	0	0	0	0	tinneas
aim	0	0	0	0	0	0	0	0	0	0	aidhm
aimless	0	0	0	0	0	1	0	0	0	0	gan aidhm
air	0	0	0	0	0	0	0	0	0	0	aer
airbag	0	0	0	0	0	0	0	0	0	0	mála aeir
airlift	0	0	0	0	0	0	0	0	0	0	aerárthach
airline	0	0	0	0	0	0	0	0	0	0	aerlíne
airman	0	0	0	0	0	0	0	0	0	0	eitleoir
airplane	0	0	0	0	0	0	0	0	0	0	eitleán
airport	0	1	0	0	0	0	0	0	0	0	aerfort
airs	0	0	1	0	0	1	0	0	0	0	airs
airship	0	0	0	0	0	0	0	0	0	0	airship
aisle	0	0	0	0	0	0	0	0	0	0	aisle
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	cosúil
alabaster	0	0	0	0	0	0	1	0	0	0	alabastair
alarm	0	0	0	1	0	1	0	0	1	0	aláram
alarming	0	0	0	1	0	1	0	0	1	0	scanrúil
alb	0	0	0	0	0	0	0	0	0	1	alba
album	0	0	0	0	0	0	0	0	0	0	albam
alchemy	0	0	0	0	0	0	0	0	0	0	ailceimic
alcohol	0	0	0	0	0	0	0	0	0	0	alcól
alcoholism	1	0	1	1	0	1	0	1	0	0	alcólacht
alcove	0	0	0	0	0	0	0	0	0	0	alcabh
alert	0	0	0	0	0	0	0	0	0	0	airdeall
alertness	0	1	0	1	0	0	1	0	1	0	airdeall
alerts	0	1	0	1	0	0	0	0	1	0	foláirimh
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	ailgéabar
algebraic	0	0	0	0	0	0	0	0	0	0	ailgéabrach
algorithm	0	0	0	0	0	0	0	0	0	0	algartam
alibi	0	0	0	0	0	0	0	0	0	0	ailibí
alien	0	0	1	1	0	1	0	0	0	0	eachtrannach
alienate	1	0	1	0	0	1	0	0	0	0	coimhthíos
alienated	0	0	0	0	0	1	0	1	0	0	coimhthithe
alienation	1	0	1	1	0	1	0	1	0	0	coimhthiú
alight	0	0	0	0	0	0	0	0	0	0	tuirlingt
aligned	0	0	0	0	0	0	0	0	0	0	ailínithe
alignment	0	0	0	0	0	0	0	0	0	0	ailíniú
alike	0	0	0	0	0	0	0	0	0	0	araon
alimentation	0	0	0	0	0	0	1	0	0	0	biatas
alimony	0	0	0	0	0	1	0	0	0	0	ailiúnais
aliquot	0	0	0	0	0	0	0	0	0	0	slán
alive	0	1	0	0	1	0	1	0	0	1	beo
alkali	0	0	0	0	0	0	0	0	0	0	alcaile
alkaloids	0	0	0	0	0	0	0	0	0	0	alcalóidigh
allay	0	0	0	0	0	0	1	0	0	0	aimhleas
allegation	1	0	0	0	0	1	0	0	0	0	líomhain
allege	0	0	0	0	0	1	0	0	0	0	líomhain
alleged	0	0	0	0	0	0	0	0	0	0	líomhnaithe
allegiance	0	0	0	0	0	0	1	0	0	1	dílseacht
allegorical	0	0	0	0	0	0	0	0	0	0	alegorical
allegory	0	0	0	0	0	0	0	0	0	0	allegory
allegro	0	0	0	0	0	0	1	0	0	0	allegró
alleviate	0	0	0	0	0	0	1	0	0	0	mhaolú
alleviation	0	0	0	0	0	0	1	0	0	0	mhaolú
alley	0	0	0	0	0	0	0	0	0	0	alley
alliance	0	0	0	0	0	0	0	0	0	1	Comhar
allied	0	0	0	0	0	0	1	0	0	1	comhghuaillithe
alligator	0	0	0	0	0	0	0	0	0	0	ailigéadar
allocate	0	0	0	0	0	0	0	0	0	0	leithroinnt
allocation	0	0	0	0	0	0	0	0	0	0	leithroinnt
allot	0	0	0	0	0	0	0	0	0	0	leithroinnt
allotment	0	0	0	0	0	0	0	0	0	0	leithroinnt
allowable	0	0	0	0	0	0	1	0	0	0	incheadaithe
allowance	0	0	0	0	0	0	0	0	0	0	liúntas
allowed	0	0	0	0	0	0	0	0	0	0	ceadaithe
alloy	0	0	0	0	0	0	0	0	0	0	cóimhiotal
allure	0	1	0	0	1	0	1	0	1	0	allure
alluring	0	0	0	0	0	0	1	0	0	0	alluring
allusion	0	0	0	0	0	0	0	0	0	0	allusion
alluvial	0	0	0	0	0	0	0	0	0	0	glárach
ally	0	0	0	0	0	0	1	0	0	1	comhghuaillithe
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	uilechumhachtach
aloft	0	0	0	0	0	0	0	0	0	0	ard
aloha	0	1	0	0	1	0	1	0	0	0	aló
alongside	0	0	0	0	0	0	0	0	0	0	taobh le
aloof	0	0	0	0	0	1	0	0	0	0	aloof
aloud	0	0	0	0	0	0	0	0	0	0	os ard
alphabet	0	0	0	0	0	0	0	0	0	0	aibítir
alphabetical	0	0	0	0	0	0	0	0	0	0	aibítre
altar	0	0	0	0	0	0	0	0	0	0	altóir
alter	0	0	0	0	0	0	0	0	0	0	athrú
alteration	0	0	0	0	0	0	0	0	0	0	athrú
altercation	1	0	0	0	0	1	0	0	0	0	altrú
altered	0	0	0	0	0	0	0	0	0	0	athraigh
alternate	0	0	0	0	0	0	0	0	0	0	malartach
alternative	0	0	0	0	0	0	0	0	0	0	mhalairt
altitude	0	0	0	0	0	0	0	0	0	0	airde
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	ar fad
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	ailbheolach
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	cónascadh
amass	0	0	0	0	0	0	0	0	0	0	amas
amateur	0	0	0	0	0	0	0	0	0	0	amaitéarach
amaze	0	0	0	0	0	0	0	0	1	0	iontas
amazement	0	0	0	0	0	0	0	0	0	0	iontas
amazingly	0	0	0	0	1	0	1	0	1	0	go hiontach
ambassador	0	0	0	0	0	0	1	0	0	1	ambasadóir
amber	0	0	0	0	0	0	0	0	0	0	ómra
ambient	0	0	0	0	0	0	0	0	0	0	comhthimpeallach
ambiguity	0	0	0	0	0	0	0	0	0	0	athbhrí
ambiguous	0	0	0	0	0	1	0	0	0	0	débhríoch
ambit	0	0	0	0	0	0	0	0	0	0	raon
ambition	0	1	0	0	1	0	1	0	0	1	uaillmhian
ambitious	0	0	0	0	0	0	0	0	0	0	uaillmhianach
ambulance	0	0	0	1	0	0	0	0	0	1	otharcharr
ambush	1	0	0	1	0	1	0	0	1	0	luíochán
ameliorate	0	0	0	0	0	0	1	0	0	0	feabhas
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	inchúisithe
amend	0	0	0	0	0	0	1	0	0	0	leasaigh
amendment	0	0	0	0	0	0	0	0	0	0	leasú
amends	0	0	0	0	0	0	1	0	0	0	leasaíonn
amenity	0	0	0	0	0	0	1	0	0	0	taitneamhacht
amethyst	0	0	0	0	0	0	0	0	0	0	aimitis
amiable	0	0	0	0	0	0	1	0	0	0	cairdiúil
amicable	0	0	0	0	1	0	1	0	0	0	cairdiúil
amid	0	0	0	0	0	0	0	0	0	0	ina measc
amidst	0	0	0	0	0	0	0	0	0	0	ina measc
ammonia	0	0	1	0	0	0	0	0	0	0	amóinia
ammunition	0	0	0	0	0	0	0	0	0	0	lón lámhaigh
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	ollmhaithiúnas
amorphous	0	0	0	0	0	0	0	0	0	0	éagruthach
amortization	0	0	0	0	0	0	0	0	0	1	amúchadh
amount	0	0	0	0	0	0	0	0	0	0	méid
amour	0	1	0	0	1	0	1	0	0	1	amour
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
