English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Dutch Word
accrue	0	0	0	0	0	0	0	0	0	0	groeien
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	accumuleren
accumulation	0	0	0	0	0	0	0	0	0	0	accumulatie
accuracy	0	0	0	0	0	0	0	0	0	0	nauwkeurigheid
accurate	0	0	0	0	0	0	1	0	0	1	nauwkeurig
accursed	1	0	0	1	0	1	0	1	0	0	vervloekt
accusation	1	0	1	0	0	1	0	0	0	0	beschuldiging
accusative	0	0	0	0	0	1	0	0	0	0	accusatief
accused	1	0	0	1	0	1	0	0	0	0	beschuldigd
accuser	1	0	0	1	0	1	0	0	0	0	aanklager
accusing	1	0	0	1	0	1	0	0	0	0	beschuldigen
accustomed	0	0	0	0	0	0	0	0	0	0	gebruikelijk
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	azijnzuur
ache	0	0	0	0	0	1	0	1	0	0	pijn
achieve	0	0	0	0	1	0	1	0	0	1	bereiken
achievement	0	1	0	0	1	0	1	0	0	1	prestatie
aching	0	0	0	0	0	1	0	1	0	0	pijn doen
acid	0	0	0	0	0	1	0	0	0	0	zuur
acidity	0	0	0	0	0	0	0	0	0	0	zuurgraad
acknowledge	0	0	0	0	0	0	0	0	0	0	erkennen
acknowledged	0	0	0	0	0	0	0	0	0	0	erkend
acknowledgment	0	0	0	0	0	0	1	0	0	0	erkenning
acme	0	0	0	0	0	0	0	0	0	0	toppunt
acoustic	0	0	0	0	0	0	0	0	0	0	akoestisch
acoustics	0	0	0	0	0	0	0	0	0	0	akoestiek
acquaint	0	0	0	0	0	0	0	0	0	0	kennismaken
acquaintance	0	0	0	0	0	0	0	0	0	0	kennis
acquainted	0	0	0	0	0	0	0	0	0	0	kennis gemaakt
acquiescence	0	0	0	0	0	0	0	0	0	0	berusting
acquire	0	0	0	0	0	0	1	0	0	0	verwerven
acquiring	0	1	0	0	0	0	1	0	0	0	verwerven
acquisition	0	0	0	0	0	0	0	0	0	0	acquisitie
acquisitions	0	0	0	0	0	0	0	0	0	0	aanwinsten
acreage	0	0	0	0	0	0	0	0	0	0	areaal
acres	0	0	0	0	0	0	0	0	0	0	acres
acrobat	0	0	0	1	1	0	1	0	0	1	acrobaat
act	0	0	0	0	0	0	0	0	0	0	handelen
acting	0	0	0	0	0	0	0	0	0	0	acteren
action	0	0	0	0	0	0	1	0	0	0	actie
actionable	1	0	1	0	0	1	0	0	0	0	uitvoerbaar
active	0	0	0	0	0	0	0	0	0	0	actief
activity	0	0	0	0	0	0	0	0	0	0	werkzaamheid
actor	0	0	0	0	0	0	0	0	0	0	acteur
actual	0	0	0	0	0	0	1	0	0	0	feitelijk
actuality	0	0	0	0	0	0	0	0	0	0	actualiteit
actuary	0	0	0	0	0	0	0	0	0	0	actuaris
acuity	0	0	0	0	0	0	1	0	0	0	scherpte
acumen	0	0	0	0	0	0	1	0	0	0	inzicht
acupuncture	0	0	0	0	0	0	0	0	0	0	acupunctuur
acutely	0	0	0	0	0	0	0	0	0	0	acuut
adage	0	0	0	0	0	0	0	0	0	0	gezegde
adamant	0	0	0	0	0	0	0	0	0	0	onbuigzaam
adapt	0	0	0	0	0	0	1	0	0	0	aanpassen
adaptable	0	0	0	0	0	0	1	0	0	0	aanpasbaar
add	0	0	0	0	0	0	0	0	0	0	toevoegen
added	0	0	0	0	0	0	0	0	0	0	toegevoegd
addendum	0	0	0	0	0	0	0	0	0	0	addendum
adder	1	0	1	1	0	1	0	1	0	0	adder
addiction	0	0	0	0	0	1	0	0	0	0	verslaving
addition	0	0	0	0	0	0	0	0	0	0	toevoeging
additional	0	0	0	0	0	0	0	0	0	0	aanvullend
additive	0	0	0	0	0	0	0	0	0	0	additief
address	0	0	0	0	0	0	0	0	0	0	adres
addressee	0	0	0	0	0	0	0	0	0	0	geadresseerde
addresses	0	1	0	0	0	0	1	0	0	0	adressen
adept	0	0	0	0	0	0	1	0	0	0	bedreven
adequacy	0	0	0	0	0	0	1	0	0	0	geschiktheid
adequate	0	0	0	0	0	0	0	0	0	0	adequaat
adhere	0	0	0	0	0	0	0	0	0	0	naleven
adherence	0	0	0	0	0	0	0	0	0	0	aanhankelijkheid
adherent	0	0	0	0	0	0	0	0	0	0	aanhanger
adhering	0	0	0	0	0	0	0	0	0	1	aanhangen
adhesion	0	0	0	0	0	0	0	0	0	0	adhesie
adhesive	0	0	0	0	0	0	0	0	0	0	Zelfklevend
adieu	0	0	0	0	0	0	0	0	0	0	Adieu
adipose	0	0	0	0	0	1	0	0	0	0	vet
adjacency	0	0	0	0	0	0	0	0	0	0	nabijheid
adjacent	0	0	0	0	0	0	0	0	0	0	aangrenzend
adjective	0	0	0	0	0	0	0	0	0	0	adjectief
adjoining	0	0	0	0	0	0	0	0	0	0	aangrenzend
adjourn	0	0	0	0	0	0	0	0	0	0	verdagen
adjournment	0	0	0	0	0	0	0	0	0	0	verdaging
adjudicate	0	0	0	1	0	1	0	0	0	0	oordelen
adjudication	0	0	0	0	0	0	0	0	0	0	arbitrage
adjunct	0	0	0	0	0	0	1	0	0	0	adjunct
adjust	0	0	0	0	0	0	0	0	0	0	aanpassen
adjustment	0	0	0	0	0	0	0	0	0	0	aanpassing
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvans
administer	0	0	0	0	0	0	0	0	0	0	beheren
administration	0	0	0	0	0	0	0	0	0	0	administratie
administrative	0	0	0	0	0	0	0	0	0	1	administratief
admirable	0	0	0	0	1	0	1	0	0	1	bewonderenswaardig
admiral	0	0	0	0	0	0	1	0	0	1	admiraal
admiralty	0	0	0	0	0	0	0	0	0	0	admiraliteit
admiration	0	0	0	0	1	0	1	0	0	1	bewondering
admire	0	0	0	0	0	0	1	0	0	1	bewonderen
admirer	0	0	0	0	0	0	1	0	0	0	bewonderaar
admissibility	0	0	0	0	0	0	0	0	0	0	toelaatbaarheid
admissible	0	0	0	0	0	0	1	0	0	1	toelaatbaar
admission	0	0	0	0	0	0	0	0	0	0	erkenning
admit	0	0	0	0	0	0	0	0	0	0	geef toe
admittance	0	0	0	0	0	0	0	0	0	0	toelating
admitted	0	0	0	0	0	0	0	0	0	0	toegelaten
admitting	0	0	0	0	0	0	0	0	0	0	toegeven
admixture	0	0	0	0	0	0	0	0	0	0	bijmenging
admonition	0	0	0	1	0	1	0	0	0	0	vermaning
ado	0	0	0	0	0	0	0	0	0	0	gedoe
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	adolescentie
adolescent	0	0	0	0	0	0	0	0	0	0	puber
adopt	0	0	0	0	0	0	0	0	0	0	adopteren
adoption	0	0	0	0	0	0	0	0	0	0	adoptie
adorable	0	0	0	0	1	0	1	0	0	0	schattig
adoration	0	0	0	0	1	0	1	0	0	1	aanbidding
adore	0	1	0	0	1	0	1	0	0	1	dol zijn op
adorn	0	0	0	0	0	0	0	0	0	0	sieren
adornment	0	0	0	0	0	0	0	0	0	0	versiering
adrift	0	1	0	1	0	1	0	1	0	0	op drift
adult	0	0	0	0	0	0	0	0	0	0	volwassen
adulterated	0	0	0	0	0	1	0	0	0	0	vervalst
adultery	0	0	1	0	0	1	0	1	0	0	overspel
advance	0	1	0	1	1	0	1	0	1	0	voorschot
advanced	0	0	0	0	0	0	1	0	0	0	Geavanceerd
advancement	0	0	0	0	0	0	1	0	0	0	vooruitgang
advancing	0	0	0	0	0	0	0	0	0	0	voortschrijdend
advantage	0	0	0	0	0	0	1	0	0	0	voordeel
advantageous	0	0	0	0	0	0	1	0	0	0	voordelig
advent	0	1	0	0	1	0	1	0	0	1	komst
adventure	0	1	0	0	0	0	1	0	0	0	avontuur
adventurer	0	0	0	0	0	0	0	0	0	0	avonturier
adventurous	0	0	0	0	0	0	1	0	0	0	avontuurlijk
adversary	1	0	0	0	0	1	0	0	0	0	tegenstander
adverse	1	0	1	1	0	1	0	1	0	0	nadelig
adversity	1	0	0	1	0	1	0	1	0	0	tegenslag
advertise	0	0	0	0	0	0	0	0	0	0	reclame maken
advertisement	0	0	0	0	0	0	0	0	0	0	advertentie
advice	0	0	0	0	0	0	0	0	0	1	het advies
advisable	0	0	0	0	0	0	1	0	0	1	aan te raden
advise	0	0	0	0	0	0	1	0	0	1	adviseren
advised	0	0	0	0	0	0	0	0	0	1	geadviseerd
advisement	0	0	0	0	0	0	0	0	0	0	advies
adviser	0	0	0	0	0	0	1	0	0	1	adviseur
advocacy	1	1	0	0	1	0	1	0	0	1	belangenbehartiging
advocate	0	0	0	0	0	0	0	0	0	1	pleiten voor
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	beluchting
aerial	0	0	0	0	0	0	0	0	0	0	antenne
aerodrome	0	0	0	0	0	0	0	0	0	0	luchtvaartterrein
aerodynamics	0	0	0	0	0	0	0	0	0	0	aërodynamica
aeronautics	0	0	0	0	0	0	0	0	0	0	luchtvaart
aeroplane	0	0	0	0	0	0	0	0	0	0	vliegtuig
aesthetic	0	0	0	0	0	0	1	0	0	0	stijlvol
aesthetics	0	0	0	0	1	0	1	0	0	0	esthetiek
aetiology	0	0	0	0	0	0	0	0	0	0	etiologie
afar	0	0	0	0	0	0	0	0	0	0	ver weg
affable	0	0	0	0	0	0	1	0	0	0	minzaam
affair	0	0	0	0	0	0	0	0	0	0	affaire
affecting	0	0	0	0	0	0	0	0	0	0	beïnvloeden
affection	0	0	0	0	1	0	1	0	0	1	affectie
affections	0	0	0	0	0	0	0	0	0	0	genegenheid
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	verklaring
affiliated	0	0	0	0	0	0	1	0	0	0	aangesloten
affiliation	0	0	0	0	0	0	0	0	0	0	verbondenheid
affinity	0	0	0	0	0	0	0	0	0	0	affiniteit
affirm	0	0	0	0	0	0	1	0	0	1	bevestigen
affirmation	0	0	0	0	0	0	1	0	0	0	bevestiging
affirmative	0	0	0	0	0	0	1	0	0	0	bevestigend
affirmatively	0	0	0	0	0	0	1	0	0	1	bevestigend
affix	0	0	0	0	0	0	0	0	0	0	bevestigen
afflict	0	0	0	1	0	1	0	1	0	0	kwellen
afflicted	0	0	0	0	0	1	0	0	0	0	gekweld
affliction	0	0	1	1	0	1	0	1	0	0	kwelling
affluence	0	0	0	0	1	0	1	0	0	0	welvaart
affluent	0	0	0	0	0	0	1	0	0	0	rijk
afford	0	0	0	0	0	0	1	0	0	0	veroorloven
affront	1	0	1	1	0	1	0	1	1	0	belediging
afield	0	0	0	0	0	0	0	0	0	0	ver weg
afore	0	0	0	0	0	0	0	0	0	0	eerder
aforementioned	0	0	0	0	0	0	0	0	0	0	voornoemd
aforesaid	0	0	0	0	0	0	0	0	0	0	voornoemd
afraid	0	0	0	1	0	1	0	0	0	0	bang
afresh	0	0	0	0	0	0	0	0	0	0	opnieuw
aft	0	0	0	0	0	0	0	0	0	0	achter
aftermath	1	0	1	1	0	1	0	1	0	0	nasleep
afternoon	0	0	0	0	0	0	0	0	0	0	middag
aftertaste	0	0	0	0	0	1	0	0	0	0	nasmaak
afterthought	0	0	0	0	0	0	0	0	0	0	bijzaak
aga	0	0	0	1	0	0	1	0	0	1	weer
agate	0	0	0	0	0	0	0	0	0	0	agaat
age	0	0	0	0	0	0	0	0	0	0	leeftijd
aged	0	0	0	0	0	0	0	0	0	0	oud
agency	0	0	0	0	0	0	0	0	0	0	bureau
agent	0	0	0	0	0	0	0	0	0	0	tussenpersoon
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomeratie
aggravated	1	0	0	0	0	1	0	0	0	0	verergerd
aggravating	1	0	0	0	0	1	0	1	0	0	verzwarend
aggravation	1	0	1	0	0	1	0	0	0	0	verergering
aggregate	0	0	0	0	0	0	0	0	0	0	totaal
aggregation	0	0	0	0	0	0	0	0	0	0	aggregatie
aggression	1	0	0	1	0	1	0	0	0	0	agressie
aggressive	1	0	0	1	0	1	0	0	0	0	agressief
aggressor	1	0	0	1	0	1	0	0	0	0	agressor
aghast	0	0	1	1	0	1	0	0	1	0	verbijsterd
agile	0	0	0	0	0	0	1	0	0	0	weerbaar
agility	0	0	0	0	0	0	1	0	0	0	wendbaarheid
agitated	1	0	0	0	0	1	0	0	0	0	opgewonden
agitation	1	0	0	0	0	1	0	0	0	0	agitatie
agnostic	0	0	0	0	0	0	0	0	0	0	agnostisch
ago	0	0	0	0	0	0	0	0	0	0	geleden
agonizing	0	0	0	1	0	1	0	0	0	0	kwellend
agony	1	0	0	1	0	1	0	1	0	0	nood
agree	0	0	0	0	0	0	1	0	0	0	mee eens zijn
agreeable	0	0	0	0	0	0	1	0	0	1	aangenaam
agreed	0	0	0	0	0	0	1	0	0	1	overeengekomen
agreeing	0	0	0	0	0	0	1	0	0	1	akkoord gaan
agreement	0	0	0	0	0	0	1	0	0	1	overeenkomst
agricultural	0	0	0	0	0	0	0	0	0	0	agrarisch
agriculture	0	0	0	0	0	0	1	0	0	0	landbouw
aground	0	0	0	0	0	1	0	0	0	0	aan de grond
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	vooruit
aid	0	0	0	0	0	0	1	0	0	0	hulp
aiding	0	0	0	0	0	0	1	0	0	0	helpen
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	ziekelijk
ailment	0	0	0	0	0	0	0	0	0	0	aandoening
aim	0	0	0	0	0	0	0	0	0	0	doel
aimless	0	0	0	0	0	1	0	0	0	0	doelloos
air	0	0	0	0	0	0	0	0	0	0	lucht
airbag	0	0	0	0	0	0	0	0	0	0	luchtkussen
airlift	0	0	0	0	0	0	0	0	0	0	luchtbrug
airline	0	0	0	0	0	0	0	0	0	0	luchtvaartmaatschappij
airman	0	0	0	0	0	0	0	0	0	0	vlieger
airplane	0	0	0	0	0	0	0	0	0	0	vliegtuig
airport	0	1	0	0	0	0	0	0	0	0	luchthaven
airs	0	0	1	0	0	1	0	0	0	0	uitgezonden
airship	0	0	0	0	0	0	0	0	0	0	luchtschip
aisle	0	0	0	0	0	0	0	0	0	0	gangpad
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	op een kier
akin	0	0	0	0	0	0	0	0	0	1	verwant
alabaster	0	0	0	0	0	0	1	0	0	0	albast
alarm	0	0	0	1	0	1	0	0	1	0	alarm
alarming	0	0	0	1	0	1	0	0	1	0	alarmerend
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchimie
alcohol	0	0	0	0	0	0	0	0	0	0	alcohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alcoholisme
alcove	0	0	0	0	0	0	0	0	0	0	prieel
alert	0	0	0	0	0	0	0	0	0	0	alarmeren
alertness	0	1	0	1	0	0	1	0	1	0	alertheid
alerts	0	1	0	1	0	0	0	0	1	0	waarschuwingen
alfalfa	0	0	0	0	0	0	0	0	0	0	luzerne
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraïsch
algorithm	0	0	0	0	0	0	0	0	0	0	algoritme
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	buitenaards wezen
alienate	1	0	1	0	0	1	0	0	0	0	vervreemden
alienated	0	0	0	0	0	1	0	1	0	0	vervreemd
alienation	1	0	1	1	0	1	0	1	0	0	vervreemding
alight	0	0	0	0	0	0	0	0	0	0	uitstappen
aligned	0	0	0	0	0	0	0	0	0	0	uitgelijnd
alignment	0	0	0	0	0	0	0	0	0	0	uitlijning
alike	0	0	0	0	0	0	0	0	0	0	gelijk
alimentation	0	0	0	0	0	0	1	0	0	0	voeding
alimony	0	0	0	0	0	1	0	0	0	0	alimentatie
aliquot	0	0	0	0	0	0	0	0	0	0	portie
alive	0	1	0	0	1	0	1	0	0	1	in leven
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloïden
allay	0	0	0	0	0	0	1	0	0	0	wegnemen
allegation	1	0	0	0	0	1	0	0	0	0	bewering
allege	0	0	0	0	0	1	0	0	0	0	beweren
alleged	0	0	0	0	0	0	0	0	0	0	zogenaamd
allegiance	0	0	0	0	0	0	1	0	0	1	loyaliteit
allegorical	0	0	0	0	0	0	0	0	0	0	allegorisch
allegory	0	0	0	0	0	0	0	0	0	0	allegorie
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	verlichten
alleviation	0	0	0	0	0	0	1	0	0	0	verlichting
alley	0	0	0	0	0	0	0	0	0	0	steeg
alliance	0	0	0	0	0	0	0	0	0	1	alliantie
allied	0	0	0	0	0	0	1	0	0	1	bondgenoot
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	toewijzen
allocation	0	0	0	0	0	0	0	0	0	0	toewijzing
allot	0	0	0	0	0	0	0	0	0	0	toewijzen
allotment	0	0	0	0	0	0	0	0	0	0	toewijzing
allowable	0	0	0	0	0	0	1	0	0	0	toelaatbaar
allowance	0	0	0	0	0	0	0	0	0	0	zakgeld
allowed	0	0	0	0	0	0	0	0	0	0	toegestaan
alloy	0	0	0	0	0	0	0	0	0	0	legering
allure	0	1	0	0	1	0	1	0	1	0	verleiden
alluring	0	0	0	0	0	0	1	0	0	0	verleidelijk
allusion	0	0	0	0	0	0	0	0	0	0	toespeling
alluvial	0	0	0	0	0	0	0	0	0	0	alluviaal
ally	0	0	0	0	0	0	1	0	0	1	steeg
almanac	0	0	0	0	0	0	0	0	0	0	almanak
almighty	0	0	0	0	0	0	1	0	0	0	almachtig
aloft	0	0	0	0	0	0	0	0	0	0	omhoog
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	naast
aloof	0	0	0	0	0	1	0	0	0	0	terughoudend
aloud	0	0	0	0	0	0	0	0	0	0	hardop
alphabet	0	0	0	0	0	0	0	0	0	0	alfabet
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabetisch
altar	0	0	0	0	0	0	0	0	0	0	altaar
alter	0	0	0	0	0	0	0	0	0	0	wijzigen
alteration	0	0	0	0	0	0	0	0	0	0	wijziging
altercation	1	0	0	0	0	1	0	0	0	0	woordenwisseling
altered	0	0	0	0	0	0	0	0	0	0	gewijzigd
alternate	0	0	0	0	0	0	0	0	0	0	afwisselend
alternative	0	0	0	0	0	0	0	0	0	0	alternatief
altitude	0	0	0	0	0	0	0	0	0	0	hoogte
alto	0	0	0	0	0	0	0	0	0	0	alt
altogether	0	0	0	0	0	0	0	0	0	0	allemaal samen
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolair
amalgam	0	0	0	0	0	0	0	0	0	0	amalgaam
amalgamation	0	0	0	0	0	0	0	0	0	0	samensmelting
amass	0	0	0	0	0	0	0	0	0	0	vergaren
amateur	0	0	0	0	0	0	0	0	0	0	amateur
amaze	0	0	0	0	0	0	0	0	1	0	verbazen
amazement	0	0	0	0	0	0	0	0	0	0	verbazing
amazingly	0	0	0	0	1	0	1	0	1	0	verbazingwekkend
ambassador	0	0	0	0	0	0	1	0	0	1	ambassadeur
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	omgeving
ambiguity	0	0	0	0	0	0	0	0	0	0	meerduidigheid
ambiguous	0	0	0	0	0	1	0	0	0	0	dubbelzinnig
ambit	0	0	0	0	0	0	0	0	0	0	strekking
ambition	0	1	0	0	1	0	1	0	0	1	ambitie
ambitious	0	0	0	0	0	0	0	0	0	0	ambitieus
ambulance	0	0	0	1	0	0	0	0	0	1	ambulance
ambush	1	0	0	1	0	1	0	0	1	0	hinderlaag
ameliorate	0	0	0	0	0	0	1	0	0	0	verbeteren
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	ontvankelijk
amend	0	0	0	0	0	0	1	0	0	0	wijzigen
amendment	0	0	0	0	0	0	0	0	0	0	wijziging
amends	0	0	0	0	0	0	1	0	0	0	verbetert
amenity	0	0	0	0	0	0	1	0	0	0	voorziening
amethyst	0	0	0	0	0	0	0	0	0	0	amethist
amiable	0	0	0	0	0	0	1	0	0	0	beminnelijk
amicable	0	0	0	0	1	0	1	0	0	0	vriendschappelijk
amid	0	0	0	0	0	0	0	0	0	0	te midden van
amidst	0	0	0	0	0	0	0	0	0	0	temidden van
ammonia	0	0	1	0	0	0	0	0	0	0	ammoniak
ammunition	0	0	0	0	0	0	0	0	0	0	munitie
amnesia	0	0	0	0	0	1	0	0	0	0	geheugenverlies
amnesty	0	0	0	0	1	0	1	0	0	0	amnestie
amorphous	0	0	0	0	0	0	0	0	0	0	amorf
amortization	0	0	0	0	0	0	0	0	0	1	afschrijvingen
amount	0	0	0	0	0	0	0	0	0	0	hoeveelheid
amour	0	1	0	0	1	0	1	0	0	1	verliefdheid
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetaminen
amphibian	0	0	0	0	0	0	0	0	0	0	amfibie
