English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Malay Word
ache	0	0	0	0	0	1	0	1	0	0	sakit hati
achieve	0	0	0	0	1	0	1	0	0	1	capai
achievement	0	1	0	0	1	0	1	0	0	1	pencapaian
aching	0	0	0	0	0	1	0	1	0	0	sakit hati
acid	0	0	0	0	0	1	0	0	0	0	asid
acidity	0	0	0	0	0	0	0	0	0	0	keasidan
acknowledge	0	0	0	0	0	0	0	0	0	0	mengakui
acknowledged	0	0	0	0	0	0	0	0	0	0	diakui
acknowledgment	0	0	0	0	0	0	1	0	0	0	pengakuan
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustik
acoustics	0	0	0	0	0	0	0	0	0	0	akustik
acquaint	0	0	0	0	0	0	0	0	0	0	berkenalan
acquaintance	0	0	0	0	0	0	0	0	0	0	perkenalan
acquainted	0	0	0	0	0	0	0	0	0	0	berkenalan
acquiescence	0	0	0	0	0	0	0	0	0	0	akur
acquire	0	0	0	0	0	0	1	0	0	0	memperoleh
acquiring	0	1	0	0	0	0	1	0	0	0	memperoleh
acquisition	0	0	0	0	0	0	0	0	0	0	pemerolehan
acquisitions	0	0	0	0	0	0	0	0	0	0	pemerolehan
acreage	0	0	0	0	0	0	0	0	0	0	keluasan
acres	0	0	0	0	0	0	0	0	0	0	ekar
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	bertindak
acting	0	0	0	0	0	0	0	0	0	0	berlakon
action	0	0	0	0	0	0	1	0	0	0	tindakan
actionable	1	0	1	0	0	1	0	0	0	0	boleh diambil tindakan
active	0	0	0	0	0	0	0	0	0	0	aktif
activity	0	0	0	0	0	0	0	0	0	0	aktiviti
actor	0	0	0	0	0	0	0	0	0	0	pelakon
actual	0	0	0	0	0	0	1	0	0	0	sebenar
actuality	0	0	0	0	0	0	0	0	0	0	realiti
actuary	0	0	0	0	0	0	0	0	0	0	aktuari
acuity	0	0	0	0	0	0	1	0	0	0	ketajaman
acumen	0	0	0	0	0	0	1	0	0	0	ketajaman
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktur
acutely	0	0	0	0	0	0	0	0	0	0	secara akut
adage	0	0	0	0	0	0	0	0	0	0	pepatah
adamant	0	0	0	0	0	0	0	0	0	0	bertegas
adapt	0	0	0	0	0	0	1	0	0	0	menyesuaikan diri
adaptable	0	0	0	0	0	0	1	0	0	0	boleh menyesuaikan diri
add	0	0	0	0	0	0	0	0	0	0	Tambah
added	0	0	0	0	0	0	0	0	0	0	tambah
addendum	0	0	0	0	0	0	0	0	0	0	tambahan
adder	1	0	1	1	0	1	0	1	0	0	penambah
addiction	0	0	0	0	0	1	0	0	0	0	ketagihan
addition	0	0	0	0	0	0	0	0	0	0	tambahan
additional	0	0	0	0	0	0	0	0	0	0	tambahan
additive	0	0	0	0	0	0	0	0	0	0	bahan tambahan
address	0	0	0	0	0	0	0	0	0	0	alamat
addressee	0	0	0	0	0	0	0	0	0	0	penerima
addresses	0	1	0	0	0	0	1	0	0	0	alamat
adept	0	0	0	0	0	0	1	0	0	0	mahir
adequacy	0	0	0	0	0	0	1	0	0	0	kecukupan
adequate	0	0	0	0	0	0	0	0	0	0	mencukupi
adhere	0	0	0	0	0	0	0	0	0	0	mematuhi
adherence	0	0	0	0	0	0	0	0	0	0	kepatuhan
adherent	0	0	0	0	0	0	0	0	0	0	berpegang teguh
adhering	0	0	0	0	0	0	0	0	0	1	mematuhi
adhesion	0	0	0	0	0	0	0	0	0	0	lekatan
adhesive	0	0	0	0	0	0	0	0	0	0	pelekat
adieu	0	0	0	0	0	0	0	0	0	0	perpisahan
adipose	0	0	0	0	0	1	0	0	0	0	adiposa
adjacency	0	0	0	0	0	0	0	0	0	0	bersebelahan
adjacent	0	0	0	0	0	0	0	0	0	0	bersebelahan
adjective	0	0	0	0	0	0	0	0	0	0	kata sifat
adjoining	0	0	0	0	0	0	0	0	0	0	bersebelahan
adjourn	0	0	0	0	0	0	0	0	0	0	menangguhkan
adjournment	0	0	0	0	0	0	0	0	0	0	penangguhan
adjudicate	0	0	0	1	0	1	0	0	0	0	mengadili
adjudication	0	0	0	0	0	0	0	0	0	0	penghakiman
adjunct	0	0	0	0	0	0	1	0	0	0	tambahan
adjust	0	0	0	0	0	0	0	0	0	0	melaraskan
adjustment	0	0	0	0	0	0	0	0	0	0	pelarasan
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	mentadbir
administration	0	0	0	0	0	0	0	0	0	0	pentadbiran
administrative	0	0	0	0	0	0	0	0	0	1	pentadbiran
admirable	0	0	0	0	1	0	1	0	0	1	terpuji
admiral	0	0	0	0	0	0	1	0	0	1	laksamana
admiralty	0	0	0	0	0	0	0	0	0	0	kekaguman
admiration	0	0	0	0	1	0	1	0	0	1	kekaguman
admire	0	0	0	0	0	0	1	0	0	1	mengagumi
admirer	0	0	0	0	0	0	1	0	0	0	peminat
admissibility	0	0	0	0	0	0	0	0	0	0	kebolehterimaan
admissible	0	0	0	0	0	0	1	0	0	1	boleh diterima
admission	0	0	0	0	0	0	0	0	0	0	kemasukan
admit	0	0	0	0	0	0	0	0	0	0	mengaku
admittance	0	0	0	0	0	0	0	0	0	0	kemasukan
admitted	0	0	0	0	0	0	0	0	0	0	mengaku
admitting	0	0	0	0	0	0	0	0	0	0	mengaku
admixture	0	0	0	0	0	0	0	0	0	0	bahan campuran
admonition	0	0	0	1	0	1	0	0	0	0	teguran
ado	0	0	0	0	0	0	0	0	0	0	mengarut
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	zaman remaja
adolescent	0	0	0	0	0	0	0	0	0	0	remaja
adopt	0	0	0	0	0	0	0	0	0	0	menerima pakai
adoption	0	0	0	0	0	0	0	0	0	0	pengangkatan
adorable	0	0	0	0	1	0	1	0	0	0	comel
adoration	0	0	0	0	1	0	1	0	0	1	pemujaan
adore	0	1	0	0	1	0	1	0	0	1	memuja
adorn	0	0	0	0	0	0	0	0	0	0	berhias
adornment	0	0	0	0	0	0	0	0	0	0	perhiasan
adrift	0	1	0	1	0	1	0	1	0	0	hanyut
adult	0	0	0	0	0	0	0	0	0	0	dewasa
adulterated	0	0	0	0	0	1	0	0	0	0	dipalsukan
adultery	0	0	1	0	0	1	0	1	0	0	zina
advance	0	1	0	1	1	0	1	0	1	0	terlebih dahulu
advanced	0	0	0	0	0	0	1	0	0	0	maju
advancement	0	0	0	0	0	0	1	0	0	0	kemajuan
advancing	0	0	0	0	0	0	0	0	0	0	memajukan
advantage	0	0	0	0	0	0	1	0	0	0	kelebihan
advantageous	0	0	0	0	0	0	1	0	0	0	berfaedah
advent	0	1	0	0	1	0	1	0	0	1	kedatangan
adventure	0	1	0	0	0	0	1	0	0	0	pengembaraan
adventurer	0	0	0	0	0	0	0	0	0	0	pengembara
adventurous	0	0	0	0	0	0	1	0	0	0	petualang
adversary	1	0	0	0	0	1	0	0	0	0	musuh
adverse	1	0	1	1	0	1	0	1	0	0	buruk
adversity	1	0	0	1	0	1	0	1	0	0	kesusahan
advertise	0	0	0	0	0	0	0	0	0	0	mengiklankan
advertisement	0	0	0	0	0	0	0	0	0	0	iklan
advice	0	0	0	0	0	0	0	0	0	1	nasihat
advisable	0	0	0	0	0	0	1	0	0	1	dinasihatkan
advise	0	0	0	0	0	0	1	0	0	1	menasihati
advised	0	0	0	0	0	0	0	0	0	1	dinasihatkan
advisement	0	0	0	0	0	0	0	0	0	0	nasihat
adviser	0	0	0	0	0	0	1	0	0	1	penasihat
advocacy	1	1	0	0	1	0	1	0	0	1	advokasi
advocate	0	0	0	0	0	0	0	0	0	1	peguambela
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	pengudaraan
aerial	0	0	0	0	0	0	0	0	0	0	udara
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrome
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamik
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautik
aeroplane	0	0	0	0	0	0	0	0	0	0	kapal terbang
aesthetic	0	0	0	0	0	0	1	0	0	0	estetik
aesthetics	0	0	0	0	1	0	1	0	0	0	estetika
aetiology	0	0	0	0	0	0	0	0	0	0	etiologi
afar	0	0	0	0	0	0	0	0	0	0	jauh
affable	0	0	0	0	0	0	1	0	0	0	mesra
affair	0	0	0	0	0	0	0	0	0	0	urusan
affecting	0	0	0	0	0	0	0	0	0	0	mempengaruhi
affection	0	0	0	0	1	0	1	0	0	1	kasih sayang
affections	0	0	0	0	0	0	0	0	0	0	kasih sayang
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	afidavit
affiliated	0	0	0	0	0	0	1	0	0	0	bergabung
affiliation	0	0	0	0	0	0	0	0	0	0	pertalian
affinity	0	0	0	0	0	0	0	0	0	0	pertalian
affirm	0	0	0	0	0	0	1	0	0	1	mengesahkan
affirmation	0	0	0	0	0	0	1	0	0	0	peneguhan
affirmative	0	0	0	0	0	0	1	0	0	0	afirmatif
affirmatively	0	0	0	0	0	0	1	0	0	1	secara afirmatif
affix	0	0	0	0	0	0	0	0	0	0	imbuhan
afflict	0	0	0	1	0	1	0	1	0	0	menyusahkan
afflicted	0	0	0	0	0	1	0	0	0	0	ditimpa musibah
affliction	0	0	1	1	0	1	0	1	0	0	penderitaan
affluence	0	0	0	0	1	0	1	0	0	0	kemewahan
affluent	0	0	0	0	0	0	1	0	0	0	kaya raya
afford	0	0	0	0	0	0	1	0	0	0	mampu
affront	1	0	1	1	0	1	0	1	1	0	menghina
afield	0	0	0	0	0	0	0	0	0	0	jauh
afore	0	0	0	0	0	0	0	0	0	0	dahulu
aforementioned	0	0	0	0	0	0	0	0	0	0	tersebut di atas
aforesaid	0	0	0	0	0	0	0	0	0	0	tersebut di atas
afraid	0	0	0	1	0	1	0	0	0	0	takut
afresh	0	0	0	0	0	0	0	0	0	0	semula
aft	0	0	0	0	0	0	0	0	0	0	belakang
aftermath	1	0	1	1	0	1	0	1	0	0	akibatnya
afternoon	0	0	0	0	0	0	0	0	0	0	tengahari
aftertaste	0	0	0	0	0	1	0	0	0	0	rasa selepas
afterthought	0	0	0	0	0	0	0	0	0	0	renungan
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	batu akik
age	0	0	0	0	0	0	0	0	0	0	umur
aged	0	0	0	0	0	0	0	0	0	0	berumur
agency	0	0	0	0	0	0	0	0	0	0	agensi
agent	0	0	0	0	0	0	0	0	0	0	ejen
agglomeration	0	0	0	0	0	0	0	0	0	0	penggumpalan
aggravated	1	0	0	0	0	1	0	0	0	0	bertambah teruk
aggravating	1	0	0	0	0	1	0	1	0	0	memburukkan
aggravation	1	0	1	0	0	1	0	0	0	0	keterukan
aggregate	0	0	0	0	0	0	0	0	0	0	agregat
aggregation	0	0	0	0	0	0	0	0	0	0	pengagregatan
aggression	1	0	0	1	0	1	0	0	0	0	pencerobohan
aggressive	1	0	0	1	0	1	0	0	0	0	agresif
aggressor	1	0	0	1	0	1	0	0	0	0	penceroboh
aghast	0	0	1	1	0	1	0	0	1	0	terkejut
agile	0	0	0	0	0	0	1	0	0	0	tangkas
agility	0	0	0	0	0	0	1	0	0	0	ketangkasan
agitated	1	0	0	0	0	1	0	0	0	0	gelisah
agitation	1	0	0	0	0	1	0	0	0	0	pergolakan
agnostic	0	0	0	0	0	0	0	0	0	0	agnostik
ago	0	0	0	0	0	0	0	0	0	0	lalu
agonizing	0	0	0	1	0	1	0	0	0	0	menyeksakan
agony	1	0	0	1	0	1	0	1	0	0	keperitan
agree	0	0	0	0	0	0	1	0	0	0	setuju
agreeable	0	0	0	0	0	0	1	0	0	1	berkenan
agreed	0	0	0	0	0	0	1	0	0	1	bersetuju
agreeing	0	0	0	0	0	0	1	0	0	1	bersetuju
agreement	0	0	0	0	0	0	1	0	0	1	perjanjian
agricultural	0	0	0	0	0	0	0	0	0	0	pertanian
agriculture	0	0	0	0	0	0	1	0	0	0	pertanian
aground	0	0	0	0	0	1	0	0	0	0	kandas
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	di hadapan
aid	0	0	0	0	0	0	1	0	0	0	bantuan
aiding	0	0	0	0	0	0	1	0	0	0	membantu
ail	0	0	0	0	0	1	0	1	0	0	sakit
ailing	0	0	0	1	0	1	0	1	0	0	sakit
ailment	0	0	0	0	0	0	0	0	0	0	penyakit
aim	0	0	0	0	0	0	0	0	0	0	matlamat
aimless	0	0	0	0	0	1	0	0	0	0	tiada tujuan
air	0	0	0	0	0	0	0	0	0	0	udara
airbag	0	0	0	0	0	0	0	0	0	0	beg udara
airlift	0	0	0	0	0	0	0	0	0	0	pengangkutan udara
airline	0	0	0	0	0	0	0	0	0	0	syarikat penerbangan
airman	0	0	0	0	0	0	0	0	0	0	juruterbang
airplane	0	0	0	0	0	0	0	0	0	0	kapal terbang
airport	0	1	0	0	0	0	0	0	0	0	lapangan terbang
airs	0	0	1	0	0	1	0	0	0	0	ditayangkan
airship	0	0	0	0	0	0	0	0	0	0	kapal udara
aisle	0	0	0	0	0	0	0	0	0	0	lorong
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	terbuka
akin	0	0	0	0	0	0	0	0	0	1	serupa
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	penggera
alarming	0	0	0	1	0	1	0	0	1	0	membimbangkan
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alkimia
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholisme
alcove	0	0	0	0	0	0	0	0	0	0	ceruk
alert	0	0	0	0	0	0	0	0	0	0	amaran
alertness	0	1	0	1	0	0	1	0	1	0	kewaspadaan
alerts	0	1	0	1	0	0	0	0	1	0	makluman
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebra
algorithm	0	0	0	0	0	0	0	0	0	0	algoritma
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	makhluk asing
alienate	1	0	1	0	0	1	0	0	0	0	mengasingkan diri
alienated	0	0	0	0	0	1	0	1	0	0	terasing
alienation	1	0	1	1	0	1	0	1	0	0	pengasingan
alight	0	0	0	0	0	0	0	0	0	0	turun
aligned	0	0	0	0	0	0	0	0	0	0	sejajar
alignment	0	0	0	0	0	0	0	0	0	0	penjajaran
alike	0	0	0	0	0	0	0	0	0	0	serupa
alimentation	0	0	0	0	0	0	1	0	0	0	pemakanan
alimony	0	0	0	0	0	1	0	0	0	0	nafkah
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	hidup
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloid
allay	0	0	0	0	0	0	1	0	0	0	meredakan
allegation	1	0	0	0	0	1	0	0	0	0	dakwaan
allege	0	0	0	0	0	1	0	0	0	0	dakwa
alleged	0	0	0	0	0	0	0	0	0	0	didakwa
allegiance	0	0	0	0	0	0	1	0	0	1	kesetiaan
allegorical	0	0	0	0	0	0	0	0	0	0	berkias
allegory	0	0	0	0	0	0	0	0	0	0	kiasan
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	meringankan
alleviation	0	0	0	0	0	0	1	0	0	0	pengurangan
alley	0	0	0	0	0	0	0	0	0	0	lorong
alliance	0	0	0	0	0	0	0	0	0	1	pakatan
allied	0	0	0	0	0	0	1	0	0	1	bersekutu
alligator	0	0	0	0	0	0	0	0	0	0	buaya
allocate	0	0	0	0	0	0	0	0	0	0	memperuntukkan
allocation	0	0	0	0	0	0	0	0	0	0	peruntukan
allot	0	0	0	0	0	0	0	0	0	0	memperuntukkan
allotment	0	0	0	0	0	0	0	0	0	0	peruntukan
allowable	0	0	0	0	0	0	1	0	0	0	dibenarkan
allowance	0	0	0	0	0	0	0	0	0	0	elaun
allowed	0	0	0	0	0	0	0	0	0	0	dibenarkan
alloy	0	0	0	0	0	0	0	0	0	0	aloi
allure	0	1	0	0	1	0	1	0	1	0	memikat
alluring	0	0	0	0	0	0	1	0	0	0	memikat
allusion	0	0	0	0	0	0	0	0	0	0	kiasan
alluvial	0	0	0	0	0	0	0	0	0	0	aluvium
ally	0	0	0	0	0	0	1	0	0	1	sekutu
almanac	0	0	0	0	0	0	0	0	0	0	almanak
almighty	0	0	0	0	0	0	1	0	0	0	maha kuasa
aloft	0	0	0	0	0	0	0	0	0	0	tinggi-tinggi
aloha	0	1	0	0	1	0	1	0	0	0	sayang
alongside	0	0	0	0	0	0	0	0	0	0	bersama
aloof	0	0	0	0	0	1	0	0	0	0	menyendiri
aloud	0	0	0	0	0	0	0	0	0	0	dengan lantang
alphabet	0	0	0	0	0	0	0	0	0	0	abjad
alphabetical	0	0	0	0	0	0	0	0	0	0	mengikut abjad
altar	0	0	0	0	0	0	0	0	0	0	mezbah
alter	0	0	0	0	0	0	0	0	0	0	mengubah
alteration	0	0	0	0	0	0	0	0	0	0	pemindaan
altercation	1	0	0	0	0	1	0	0	0	0	pertengkaran
altered	0	0	0	0	0	0	0	0	0	0	diubah
alternate	0	0	0	0	0	0	0	0	0	0	alternatif
alternative	0	0	0	0	0	0	0	0	0	0	alternatif
altitude	0	0	0	0	0	0	0	0	0	0	ketinggian
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	kesemuanya
alumnus	0	0	0	0	0	0	0	0	0	0	alumni
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	percantuman
amass	0	0	0	0	0	0	0	0	0	0	mengumpul
amateur	0	0	0	0	0	0	0	0	0	0	amatur
amaze	0	0	0	0	0	0	0	0	1	0	memukau
amazement	0	0	0	0	0	0	0	0	0	0	kehairanan
amazingly	0	0	0	0	1	0	1	0	1	0	luar biasa
ambassador	0	0	0	0	0	0	1	0	0	1	duta
amber	0	0	0	0	0	0	0	0	0	0	ambar
ambient	0	0	0	0	0	0	0	0	0	0	ambien
ambiguity	0	0	0	0	0	0	0	0	0	0	kekaburan
ambiguous	0	0	0	0	0	1	0	0	0	0	samar-samar
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	cita-cita
ambitious	0	0	0	0	0	0	0	0	0	0	bercita-cita tinggi
ambulance	0	0	0	1	0	0	0	0	0	1	ambulans
ambush	1	0	0	1	0	1	0	0	1	0	serang hendap
ameliorate	0	0	0	0	0	0	1	0	0	0	membaiki
amen	0	0	0	0	1	0	1	0	0	1	amin
amenable	0	0	0	0	0	0	1	0	0	0	boleh diterima akal
amend	0	0	0	0	0	0	1	0	0	0	meminda
amendment	0	0	0	0	0	0	0	0	0	0	pindaan
amends	0	0	0	0	0	0	1	0	0	0	meminda
amenity	0	0	0	0	0	0	1	0	0	0	kemudahan
amethyst	0	0	0	0	0	0	0	0	0	0	kecubung
amiable	0	0	0	0	0	0	1	0	0	0	mesra
amicable	0	0	0	0	1	0	1	0	0	0	mesra
amid	0	0	0	0	0	0	0	0	0	0	tengah-tengah
amidst	0	0	0	0	0	0	0	0	0	0	di tengah-tengah
ammonia	0	0	1	0	0	0	0	0	0	0	ammonia
ammunition	0	0	0	0	0	0	0	0	0	0	peluru
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	pengampunan
amorphous	0	0	0	0	0	0	0	0	0	0	amorfus
amortization	0	0	0	0	0	0	0	0	0	1	pelunasan
amount	0	0	0	0	0	0	0	0	0	0	jumlah
amour	0	1	0	0	1	0	1	0	0	1	percintaan
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetamin
amphibian	0	0	0	0	0	0	0	0	0	0	amfibia
