English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Esperanto Word
acme	0	0	0	0	0	0	0	0	0	0	akme
acoustic	0	0	0	0	0	0	0	0	0	0	akustika
acoustics	0	0	0	0	0	0	0	0	0	0	akustiko
acquaint	0	0	0	0	0	0	0	0	0	0	konatiĝi
acquaintance	0	0	0	0	0	0	0	0	0	0	konato
acquainted	0	0	0	0	0	0	0	0	0	0	konata
acquiescence	0	0	0	0	0	0	0	0	0	0	konsento
acquire	0	0	0	0	0	0	1	0	0	0	akiri
acquiring	0	1	0	0	0	0	1	0	0	0	akirante
acquisition	0	0	0	0	0	0	0	0	0	0	akiro
acquisitions	0	0	0	0	0	0	0	0	0	0	akiroj
acreage	0	0	0	0	0	0	0	0	0	0	areon
acres	0	0	0	0	0	0	0	0	0	0	akreoj
acrobat	0	0	0	1	1	0	1	0	0	1	akrobato
act	0	0	0	0	0	0	0	0	0	0	akto
acting	0	0	0	0	0	0	0	0	0	0	aktorado
action	0	0	0	0	0	0	1	0	0	0	ago
actionable	1	0	1	0	0	1	0	0	0	0	akceptebla
active	0	0	0	0	0	0	0	0	0	0	aktiva
activity	0	0	0	0	0	0	0	0	0	0	aktiveco
actor	0	0	0	0	0	0	0	0	0	0	aktoro
actual	0	0	0	0	0	0	1	0	0	0	fakta
actuality	0	0	0	0	0	0	0	0	0	0	aktualeco
actuary	0	0	0	0	0	0	0	0	0	0	aktuario
acuity	0	0	0	0	0	0	1	0	0	0	akreco
acumen	0	0	0	0	0	0	1	0	0	0	sagaco
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunkturo
acutely	0	0	0	0	0	0	0	0	0	0	akre
adage	0	0	0	0	0	0	0	0	0	0	adago
adamant	0	0	0	0	0	0	0	0	0	0	nefleksebla
adapt	0	0	0	0	0	0	1	0	0	0	adapti
adaptable	0	0	0	0	0	0	1	0	0	0	adaptebla
add	0	0	0	0	0	0	0	0	0	0	aldoni
added	0	0	0	0	0	0	0	0	0	0	aldonis
addendum	0	0	0	0	0	0	0	0	0	0	aldono
adder	1	0	1	1	0	1	0	1	0	0	vipuro
addiction	0	0	0	0	0	1	0	0	0	0	toksomanio
addition	0	0	0	0	0	0	0	0	0	0	aldono
additional	0	0	0	0	0	0	0	0	0	0	aldonaj
additive	0	0	0	0	0	0	0	0	0	0	aldonaĵo
address	0	0	0	0	0	0	0	0	0	0	adreso
addressee	0	0	0	0	0	0	0	0	0	0	adresato
addresses	0	1	0	0	0	0	1	0	0	0	adresoj
adept	0	0	0	0	0	0	1	0	0	0	adepto
adequacy	0	0	0	0	0	0	1	0	0	0	taŭgeco
adequate	0	0	0	0	0	0	0	0	0	0	adekvata
adhere	0	0	0	0	0	0	0	0	0	0	aliĝi
adherence	0	0	0	0	0	0	0	0	0	0	aliĝo
adherent	0	0	0	0	0	0	0	0	0	0	adepto
adhering	0	0	0	0	0	0	0	0	0	1	aliĝanta
adhesion	0	0	0	0	0	0	0	0	0	0	adhero
adhesive	0	0	0	0	0	0	0	0	0	0	gluo
adieu	0	0	0	0	0	0	0	0	0	0	adiaŭo
adipose	0	0	0	0	0	1	0	0	0	0	adipoza
adjacency	0	0	0	0	0	0	0	0	0	0	apudeco
adjacent	0	0	0	0	0	0	0	0	0	0	apuda
adjective	0	0	0	0	0	0	0	0	0	0	adjektivo
adjoining	0	0	0	0	0	0	0	0	0	0	apuda
adjourn	0	0	0	0	0	0	0	0	0	0	paŭzi
adjournment	0	0	0	0	0	0	0	0	0	0	paŭzo
adjudicate	0	0	0	1	0	1	0	0	0	0	juĝi
adjudication	0	0	0	0	0	0	0	0	0	0	adjudikado
adjunct	0	0	0	0	0	0	1	0	0	0	adjunkto
adjust	0	0	0	0	0	0	0	0	0	0	alĝustigi
adjustment	0	0	0	0	0	0	0	0	0	0	alĝustigo
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvanto
administer	0	0	0	0	0	0	0	0	0	0	administri
administration	0	0	0	0	0	0	0	0	0	0	administrado
administrative	0	0	0	0	0	0	0	0	0	1	administra
admirable	0	0	0	0	1	0	1	0	0	1	admirinda
admiral	0	0	0	0	0	0	1	0	0	1	admiralo
admiralty	0	0	0	0	0	0	0	0	0	0	admiraleco
admiration	0	0	0	0	1	0	1	0	0	1	admiro
admire	0	0	0	0	0	0	1	0	0	1	admiri
admirer	0	0	0	0	0	0	1	0	0	0	admiranto
admissibility	0	0	0	0	0	0	0	0	0	0	akceptebleco
admissible	0	0	0	0	0	0	1	0	0	1	akceptebla
admission	0	0	0	0	0	0	0	0	0	0	konfeso
admit	0	0	0	0	0	0	0	0	0	0	konfesu
admittance	0	0	0	0	0	0	0	0	0	0	akcepto
admitted	0	0	0	0	0	0	0	0	0	0	konfesis
admitting	0	0	0	0	0	0	0	0	0	0	konfesante
admixture	0	0	0	0	0	0	0	0	0	0	aldonaĵo
admonition	0	0	0	1	0	1	0	0	0	0	admono
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobo
adolescence	0	0	0	0	0	0	0	0	0	0	adoleskeco
adolescent	0	0	0	0	0	0	0	0	0	0	adoleskanto
adopt	0	0	0	0	0	0	0	0	0	0	adopti
adoption	0	0	0	0	0	0	0	0	0	0	adopto
adorable	0	0	0	0	1	0	1	0	0	0	adorinda
adoration	0	0	0	0	1	0	1	0	0	1	adorado
adore	0	1	0	0	1	0	1	0	0	1	adoras
adorn	0	0	0	0	0	0	0	0	0	0	ornami
adornment	0	0	0	0	0	0	0	0	0	0	ornamo
adrift	0	1	0	1	0	1	0	1	0	0	deriva
adult	0	0	0	0	0	0	0	0	0	0	plenkreskulo
adulterated	0	0	0	0	0	1	0	0	0	0	falsigita
adultery	0	0	1	0	0	1	0	1	0	0	adulto
advance	0	1	0	1	1	0	1	0	1	0	antaŭeniĝo
advanced	0	0	0	0	0	0	1	0	0	0	progresinta
advancement	0	0	0	0	0	0	1	0	0	0	progresigo
advancing	0	0	0	0	0	0	0	0	0	0	antaŭenirante
advantage	0	0	0	0	0	0	1	0	0	0	avantaĝon
advantageous	0	0	0	0	0	0	1	0	0	0	avantaĝa
advent	0	1	0	0	1	0	1	0	0	1	advento
adventure	0	1	0	0	0	0	1	0	0	0	aventuro
adventurer	0	0	0	0	0	0	0	0	0	0	aventuristo
adventurous	0	0	0	0	0	0	1	0	0	0	aventurema
adversary	1	0	0	0	0	1	0	0	0	0	kontraŭulo
adverse	1	0	1	1	0	1	0	1	0	0	malfavora
adversity	1	0	0	1	0	1	0	1	0	0	mizero
advertise	0	0	0	0	0	0	0	0	0	0	reklami
advertisement	0	0	0	0	0	0	0	0	0	0	reklamo
advice	0	0	0	0	0	0	0	0	0	1	konsilon
advisable	0	0	0	0	0	0	1	0	0	1	konsilinde
advise	0	0	0	0	0	0	1	0	0	1	konsili
advised	0	0	0	0	0	0	0	0	0	1	konsilis
advisement	0	0	0	0	0	0	0	0	0	0	konsilo
adviser	0	0	0	0	0	0	1	0	0	1	konsilisto
advocacy	1	1	0	0	1	0	1	0	0	1	pledado
advocate	0	0	0	0	0	0	0	0	0	1	advokato
aegis	0	0	0	0	0	0	0	0	0	0	egido
aeration	0	0	0	0	0	0	0	0	0	0	aerigado
aerial	0	0	0	0	0	0	0	0	0	0	aera
aerodrome	0	0	0	0	0	0	0	0	0	0	flughaveno
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamiko
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronaŭtiko
aeroplane	0	0	0	0	0	0	0	0	0	0	aviadilo
aesthetic	0	0	0	0	0	0	1	0	0	0	estetika
aesthetics	0	0	0	0	1	0	1	0	0	0	estetiko
aetiology	0	0	0	0	0	0	0	0	0	0	etiologio
afar	0	0	0	0	0	0	0	0	0	0	malproksime
affable	0	0	0	0	0	0	1	0	0	0	afabla
affair	0	0	0	0	0	0	0	0	0	0	afero
affecting	0	0	0	0	0	0	0	0	0	0	influanta
affection	0	0	0	0	1	0	1	0	0	1	korinklino
affections	0	0	0	0	0	0	0	0	0	0	korinklinoj
affiche	0	0	0	0	0	0	0	0	0	0	afiŝo
affidavit	0	0	0	0	0	0	0	0	0	0	afidavito
affiliated	0	0	0	0	0	0	1	0	0	0	filiigita
affiliation	0	0	0	0	0	0	0	0	0	0	alligiteco
affinity	0	0	0	0	0	0	0	0	0	0	afineco
affirm	0	0	0	0	0	0	1	0	0	1	aserti
affirmation	0	0	0	0	0	0	1	0	0	0	aserto
affirmative	0	0	0	0	0	0	1	0	0	0	jesa
affirmatively	0	0	0	0	0	0	1	0	0	1	jese
affix	0	0	0	0	0	0	0	0	0	0	afikso
afflict	0	0	0	1	0	1	0	1	0	0	aflikti
afflicted	0	0	0	0	0	1	0	0	0	0	afliktita
affliction	0	0	1	1	0	1	0	1	0	0	aflikto
affluence	0	0	0	0	1	0	1	0	0	0	riĉeco
affluent	0	0	0	0	0	0	1	0	0	0	riĉa
afford	0	0	0	0	0	0	1	0	0	0	pagi
affront	1	0	1	1	0	1	0	1	1	0	ofendo
afield	0	0	0	0	0	0	0	0	0	0	fore
afore	0	0	0	0	0	0	0	0	0	0	antaŭe
aforementioned	0	0	0	0	0	0	0	0	0	0	supre menciita
aforesaid	0	0	0	0	0	0	0	0	0	0	supre dirite
afraid	0	0	0	1	0	1	0	0	0	0	timigita
afresh	0	0	0	0	0	0	0	0	0	0	denove
aft	0	0	0	0	0	0	0	0	0	0	malantaŭe
aftermath	1	0	1	1	0	1	0	1	0	0	sekvo
afternoon	0	0	0	0	0	0	0	0	0	0	posttagmezo
aftertaste	0	0	0	0	0	1	0	0	0	0	postgusto
afterthought	0	0	0	0	0	0	0	0	0	0	postpenso
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agato
age	0	0	0	0	0	0	0	0	0	0	aĝo
aged	0	0	0	0	0	0	0	0	0	0	maljuna
agency	0	0	0	0	0	0	0	0	0	0	agentejo
agent	0	0	0	0	0	0	0	0	0	0	agento
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomerado
aggravated	1	0	0	0	0	1	0	0	0	0	pligravigita
aggravating	1	0	0	0	0	1	0	1	0	0	pligraviganta
aggravation	1	0	1	0	0	1	0	0	0	0	pligraviĝo
aggregate	0	0	0	0	0	0	0	0	0	0	entute
aggregation	0	0	0	0	0	0	0	0	0	0	agregacio
aggression	1	0	0	1	0	1	0	0	0	0	agreso
aggressive	1	0	0	1	0	1	0	0	0	0	agresema
aggressor	1	0	0	1	0	1	0	0	0	0	agresanto
aghast	0	0	1	1	0	1	0	0	1	0	konsternita
agile	0	0	0	0	0	0	1	0	0	0	lerta
agility	0	0	0	0	0	0	1	0	0	0	lerteco
agitated	1	0	0	0	0	1	0	0	0	0	agitita
agitation	1	0	0	0	0	1	0	0	0	0	agitado
agnostic	0	0	0	0	0	0	0	0	0	0	agnostikulo
ago	0	0	0	0	0	0	0	0	0	0	antaŭ
agonizing	0	0	0	1	0	1	0	0	0	0	agonizante
agony	1	0	0	1	0	1	0	1	0	0	agonio
agree	0	0	0	0	0	0	1	0	0	0	konsenti
agreeable	0	0	0	0	0	0	1	0	0	1	agrabla
agreed	0	0	0	0	0	0	1	0	0	1	konsentis
agreeing	0	0	0	0	0	0	1	0	0	1	konsentante
agreement	0	0	0	0	0	0	1	0	0	1	interkonsento
agricultural	0	0	0	0	0	0	0	0	0	0	agrikultura
agriculture	0	0	0	0	0	0	1	0	0	0	agrikulturo
aground	0	0	0	0	0	1	0	0	0	0	alfunde
agua	0	0	0	0	0	0	0	0	0	0	akvo
ahead	0	0	0	0	0	0	1	0	0	0	antaŭen
aid	0	0	0	0	0	0	1	0	0	0	helpo
aiding	0	0	0	0	0	0	1	0	0	0	helpante
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	malsana
ailment	0	0	0	0	0	0	0	0	0	0	malsano
aim	0	0	0	0	0	0	0	0	0	0	celi
aimless	0	0	0	0	0	1	0	0	0	0	sencela
air	0	0	0	0	0	0	0	0	0	0	aero
airbag	0	0	0	0	0	0	0	0	0	0	aersako
airlift	0	0	0	0	0	0	0	0	0	0	aerponto
airline	0	0	0	0	0	0	0	0	0	0	flugkompanio
airman	0	0	0	0	0	0	0	0	0	0	aviadisto
airplane	0	0	0	0	0	0	0	0	0	0	aviadilo
airport	0	1	0	0	0	0	0	0	0	0	flughaveno
airs	0	0	1	0	0	1	0	0	0	0	aeroj
airship	0	0	0	0	0	0	0	0	0	0	aerŝipo
aisle	0	0	0	0	0	0	0	0	0	0	koridoro
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	duonfermita
akin	0	0	0	0	0	0	0	0	0	1	parenca
alabaster	0	0	0	0	0	0	1	0	0	0	alabastro
alarm	0	0	0	1	0	1	0	0	1	0	alarmo
alarming	0	0	0	1	0	1	0	0	1	0	alarmante
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	albumo
alchemy	0	0	0	0	0	0	0	0	0	0	alĥemio
alcohol	0	0	0	0	0	0	0	0	0	0	alkoholo
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholismo
alcove	0	0	0	0	0	0	0	0	0	0	alkovo
alert	0	0	0	0	0	0	0	0	0	0	garde
alertness	0	1	0	1	0	0	1	0	1	0	vigleco
alerts	0	1	0	1	0	0	0	0	1	0	atentigoj
alfalfa	0	0	0	0	0	0	0	0	0	0	luzerno
algebra	0	0	0	0	0	0	0	0	0	0	algebro
algebraic	0	0	0	0	0	0	0	0	0	0	algebra
algorithm	0	0	0	0	0	0	0	0	0	0	algoritmo
alibi	0	0	0	0	0	0	0	0	0	0	alibio
alien	0	0	1	1	0	1	0	0	0	0	fremdulo
alienate	1	0	1	0	0	1	0	0	0	0	fremdigi
alienated	0	0	0	0	0	1	0	1	0	0	fremdigita
alienation	1	0	1	1	0	1	0	1	0	0	fremdiĝo
alight	0	0	0	0	0	0	0	0	0	0	ekbruligi
aligned	0	0	0	0	0	0	0	0	0	0	vicigitaj
alignment	0	0	0	0	0	0	0	0	0	0	vicigo
alike	0	0	0	0	0	0	0	0	0	0	egale
alimentation	0	0	0	0	0	0	1	0	0	0	nutrado
alimony	0	0	0	0	0	1	0	0	0	0	alimento
aliquot	0	0	0	0	0	0	0	0	0	0	alikvoto
alive	0	1	0	0	1	0	1	0	0	1	viva
alkali	0	0	0	0	0	0	0	0	0	0	alkalo
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloidoj
allay	0	0	0	0	0	0	1	0	0	0	mildigi
allegation	1	0	0	0	0	1	0	0	0	0	akuzo
allege	0	0	0	0	0	1	0	0	0	0	aserti
alleged	0	0	0	0	0	0	0	0	0	0	supozita
allegiance	0	0	0	0	0	0	1	0	0	1	fideleco
allegorical	0	0	0	0	0	0	0	0	0	0	alegoria
allegory	0	0	0	0	0	0	0	0	0	0	alegorio
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	mildigi
alleviation	0	0	0	0	0	0	1	0	0	0	mildigo
alley	0	0	0	0	0	0	0	0	0	0	strateto
alliance	0	0	0	0	0	0	0	0	0	1	alianco
allied	0	0	0	0	0	0	1	0	0	1	aliancitaj
alligator	0	0	0	0	0	0	0	0	0	0	aligatoro
allocate	0	0	0	0	0	0	0	0	0	0	asigni
allocation	0	0	0	0	0	0	0	0	0	0	atribuo
allot	0	0	0	0	0	0	0	0	0	0	asigni
allotment	0	0	0	0	0	0	0	0	0	0	donado
allowable	0	0	0	0	0	0	1	0	0	0	permesebla
allowance	0	0	0	0	0	0	0	0	0	0	poŝmono
allowed	0	0	0	0	0	0	0	0	0	0	permesite
alloy	0	0	0	0	0	0	0	0	0	0	alojo
allure	0	1	0	0	1	0	1	0	1	0	alloge
alluring	0	0	0	0	0	0	1	0	0	0	alloga
allusion	0	0	0	0	0	0	0	0	0	0	aludo
alluvial	0	0	0	0	0	0	0	0	0	0	aluviala
ally	0	0	0	0	0	0	1	0	0	1	aliancano
almanac	0	0	0	0	0	0	0	0	0	0	almanako
almighty	0	0	0	0	0	0	1	0	0	0	ĉiopova
aloft	0	0	0	0	0	0	0	0	0	0	supre
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	apude
aloof	0	0	0	0	0	1	0	0	0	0	malproksime
aloud	0	0	0	0	0	0	0	0	0	0	laŭte
alphabet	0	0	0	0	0	0	0	0	0	0	alfabeto
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabete
altar	0	0	0	0	0	0	0	0	0	0	altaro
alter	0	0	0	0	0	0	0	0	0	0	ŝanĝi
alteration	0	0	0	0	0	0	0	0	0	0	ŝanĝo
altercation	1	0	0	0	0	1	0	0	0	0	kverelo
altered	0	0	0	0	0	0	0	0	0	0	ŝanĝita
alternate	0	0	0	0	0	0	0	0	0	0	alterni
alternative	0	0	0	0	0	0	0	0	0	0	alternativo
altitude	0	0	0	0	0	0	0	0	0	0	alteco
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	entute
alumnus	0	0	0	0	0	0	0	0	0	0	eks-studento
alveolar	0	0	0	0	0	0	0	0	0	0	alveolaraj
amalgam	0	0	0	0	0	0	0	0	0	0	amalgamo
amalgamation	0	0	0	0	0	0	0	0	0	0	fuzio
amass	0	0	0	0	0	0	0	0	0	0	amasigi
amateur	0	0	0	0	0	0	0	0	0	0	amatoro
amaze	0	0	0	0	0	0	0	0	1	0	mirigi
amazement	0	0	0	0	0	0	0	0	0	0	miro
amazingly	0	0	0	0	1	0	1	0	1	0	mirinde
ambassador	0	0	0	0	0	0	1	0	0	1	ambasadoro
amber	0	0	0	0	0	0	0	0	0	0	sukceno
ambient	0	0	0	0	0	0	0	0	0	0	ĉirkaŭa
ambiguity	0	0	0	0	0	0	0	0	0	0	ambigueco
ambiguous	0	0	0	0	0	1	0	0	0	0	ambigua
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	ambicio
ambitious	0	0	0	0	0	0	0	0	0	0	ambicia
ambulance	0	0	0	1	0	0	0	0	0	1	ambulanco
ambush	1	0	0	1	0	1	0	0	1	0	embusko
ameliorate	0	0	0	0	0	0	1	0	0	0	plibonigi
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	akceptebla
amend	0	0	0	0	0	0	1	0	0	0	amendi
amendment	0	0	0	0	0	0	0	0	0	0	amendo
amends	0	0	0	0	0	0	1	0	0	0	amendoj
amenity	0	0	0	0	0	0	1	0	0	0	agrableco
amethyst	0	0	0	0	0	0	0	0	0	0	ametisto
amiable	0	0	0	0	0	0	1	0	0	0	afabla
amicable	0	0	0	0	1	0	1	0	0	0	amikeca
amid	0	0	0	0	0	0	0	0	0	0	inter
amidst	0	0	0	0	0	0	0	0	0	0	meze
ammonia	0	0	1	0	0	0	0	0	0	0	amoniako
ammunition	0	0	0	0	0	0	0	0	0	0	municio
amnesia	0	0	0	0	0	1	0	0	0	0	amnezio
amnesty	0	0	0	0	1	0	1	0	0	0	amnestio
amorphous	0	0	0	0	0	0	0	0	0	0	amorfa
amortization	0	0	0	0	0	0	0	0	0	1	amortizo
amount	0	0	0	0	0	0	0	0	0	0	kvanto
amour	0	1	0	0	1	0	1	0	0	1	amo
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetaminoj
amphibian	0	0	0	0	0	0	0	0	0	0	amfibio
amphibious	0	0	0	0	0	0	0	0	0	0	amfibia
amphitheater	0	0	0	0	0	0	0	0	0	0	amfiteatro
amplification	0	0	0	0	0	0	0	0	0	0	plifortigo
amplify	0	0	0	0	0	0	0	0	0	0	pligrandigi
amplitude	0	0	0	0	0	0	0	0	0	0	amplitudo
amply	0	0	0	0	0	0	0	0	0	0	abunde
amputation	0	0	0	0	0	0	0	0	0	0	amputado
amulet	0	0	0	0	0	0	0	0	0	0	amuleto
