English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Slovenian Word
accession	0	0	0	0	0	0	0	0	0	0	pristop
accessory	0	0	0	0	0	0	0	0	0	0	pripomoček
accident	0	0	0	1	0	1	0	1	1	0	nesreča
accidental	0	0	0	1	0	1	0	0	1	0	naključno
accidentally	0	0	0	0	0	0	0	0	1	0	po naključju
accolade	0	1	0	0	1	0	1	0	1	1	priznanje
accommodate	0	0	0	0	0	0	0	0	0	0	prilagoditi
accommodation	0	0	0	0	0	0	1	0	0	0	namestitev
accompaniment	0	1	0	0	1	0	1	0	0	1	spremstvo
accompany	0	0	0	0	0	0	0	0	0	0	spremljati
accompanying	0	0	0	0	0	0	0	0	0	0	spremljevalni
accomplice	0	0	0	0	0	0	0	0	0	0	sostorilec
accomplish	0	0	0	0	1	0	1	0	0	0	doseči
accomplished	0	0	0	0	1	0	1	0	0	0	dosežen
accomplishment	0	0	0	0	0	0	1	0	0	0	dosežek
accord	0	0	0	0	0	0	1	0	0	1	soglasje
accordance	0	0	0	0	0	0	0	0	0	0	skladnost
accordion	0	0	0	0	0	0	0	0	0	0	harmonika
account	0	0	0	0	0	0	0	0	0	1	račun
accountability	0	0	0	0	0	0	1	0	0	1	odgovornost
accountable	0	0	0	0	0	0	1	0	0	1	odgovoren
accountant	0	0	0	0	0	0	0	0	0	1	računovodja
accounting	0	0	0	0	0	0	0	0	0	0	računovodstvo
accounts	0	0	0	0	0	0	0	0	0	1	računi
accredited	0	0	0	0	0	0	1	0	0	1	akreditiran
accretion	0	0	0	0	0	0	0	0	0	0	priraščanje
accrue	0	0	0	0	0	0	0	0	0	0	nabirati
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	kopičiti
accumulation	0	0	0	0	0	0	0	0	0	0	kopičenje
accuracy	0	0	0	0	0	0	0	0	0	0	natančnost
accurate	0	0	0	0	0	0	1	0	0	1	natančno
accursed	1	0	0	1	0	1	0	1	0	0	preklet
accusation	1	0	1	0	0	1	0	0	0	0	obtožba
accusative	0	0	0	0	0	1	0	0	0	0	tožilnik
accused	1	0	0	1	0	1	0	0	0	0	obtožen
accuser	1	0	0	1	0	1	0	0	0	0	tožilec
accusing	1	0	0	1	0	1	0	0	0	0	obtožujoče
accustomed	0	0	0	0	0	0	0	0	0	0	navajeni
ace	0	0	0	0	0	0	1	0	0	0	as
acetic	0	0	0	0	0	0	0	0	0	0	ocetna
ache	0	0	0	0	0	1	0	1	0	0	bolečina
achieve	0	0	0	0	1	0	1	0	0	1	doseči
achievement	0	1	0	0	1	0	1	0	0	1	dosežek
aching	0	0	0	0	0	1	0	1	0	0	boleče
acid	0	0	0	0	0	1	0	0	0	0	kislina
acidity	0	0	0	0	0	0	0	0	0	0	kislost
acknowledge	0	0	0	0	0	0	0	0	0	0	priznati
acknowledged	0	0	0	0	0	0	0	0	0	0	priznano
acknowledgment	0	0	0	0	0	0	1	0	0	0	priznanje
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustični
acoustics	0	0	0	0	0	0	0	0	0	0	akustika
acquaint	0	0	0	0	0	0	0	0	0	0	seznaniti
acquaintance	0	0	0	0	0	0	0	0	0	0	poznanstvo
acquainted	0	0	0	0	0	0	0	0	0	0	seznanjen
acquiescence	0	0	0	0	0	0	0	0	0	0	privolitev
acquire	0	0	0	0	0	0	1	0	0	0	pridobiti
acquiring	0	1	0	0	0	0	1	0	0	0	pridobivanje
acquisition	0	0	0	0	0	0	0	0	0	0	pridobitev
acquisitions	0	0	0	0	0	0	0	0	0	0	pridobitve
acreage	0	0	0	0	0	0	0	0	0	0	površine
acres	0	0	0	0	0	0	0	0	0	0	hektarjev
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	dejanje
acting	0	0	0	0	0	0	0	0	0	0	igrati
action	0	0	0	0	0	0	1	0	0	0	ukrepanje
actionable	1	0	1	0	0	1	0	0	0	0	ukrepljiv
active	0	0	0	0	0	0	0	0	0	0	aktivna
activity	0	0	0	0	0	0	0	0	0	0	dejavnost
actor	0	0	0	0	0	0	0	0	0	0	igralec
actual	0	0	0	0	0	0	1	0	0	0	dejansko
actuality	0	0	0	0	0	0	0	0	0	0	aktualnost
actuary	0	0	0	0	0	0	0	0	0	0	aktuar
acuity	0	0	0	0	0	0	1	0	0	0	ostrina
acumen	0	0	0	0	0	0	1	0	0	0	bistroumnost
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktura
acutely	0	0	0	0	0	0	0	0	0	0	akutno
adage	0	0	0	0	0	0	0	0	0	0	pregovor
adamant	0	0	0	0	0	0	0	0	0	0	neomajen
adapt	0	0	0	0	0	0	1	0	0	0	prilagoditi
adaptable	0	0	0	0	0	0	1	0	0	0	prilagodljiv
add	0	0	0	0	0	0	0	0	0	0	dodati
added	0	0	0	0	0	0	0	0	0	0	dodano
addendum	0	0	0	0	0	0	0	0	0	0	dodatek
adder	1	0	1	1	0	1	0	1	0	0	seštevalnik
addiction	0	0	0	0	0	1	0	0	0	0	zasvojenost
addition	0	0	0	0	0	0	0	0	0	0	dodatek
additional	0	0	0	0	0	0	0	0	0	0	dodatno
additive	0	0	0	0	0	0	0	0	0	0	aditiv
address	0	0	0	0	0	0	0	0	0	0	naslov
addressee	0	0	0	0	0	0	0	0	0	0	naslovnik
addresses	0	1	0	0	0	0	1	0	0	0	naslovi
adept	0	0	0	0	0	0	1	0	0	0	adept
adequacy	0	0	0	0	0	0	1	0	0	0	ustreznost
adequate	0	0	0	0	0	0	0	0	0	0	ustrezno
adhere	0	0	0	0	0	0	0	0	0	0	držati se
adherence	0	0	0	0	0	0	0	0	0	0	spoštovanje
adherent	0	0	0	0	0	0	0	0	0	0	privrženec
adhering	0	0	0	0	0	0	0	0	0	1	spoštovanje
adhesion	0	0	0	0	0	0	0	0	0	0	adhezija
adhesive	0	0	0	0	0	0	0	0	0	0	lepilo
adieu	0	0	0	0	0	0	0	0	0	0	adijo
adipose	0	0	0	0	0	1	0	0	0	0	maščobni
adjacency	0	0	0	0	0	0	0	0	0	0	sosedstvo
adjacent	0	0	0	0	0	0	0	0	0	0	sosednji
adjective	0	0	0	0	0	0	0	0	0	0	pridevnik
adjoining	0	0	0	0	0	0	0	0	0	0	sosednji
adjourn	0	0	0	0	0	0	0	0	0	0	odložiti
adjournment	0	0	0	0	0	0	0	0	0	0	odložitev
adjudicate	0	0	0	1	0	1	0	0	0	0	razsojati
adjudication	0	0	0	0	0	0	0	0	0	0	razsojanje
adjunct	0	0	0	0	0	0	1	0	0	0	dodatek
adjust	0	0	0	0	0	0	0	0	0	0	prilagoditi
adjustment	0	0	0	0	0	0	0	0	0	0	prilagajanje
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvans
administer	0	0	0	0	0	0	0	0	0	0	upravljati
administration	0	0	0	0	0	0	0	0	0	0	administracija
administrative	0	0	0	0	0	0	0	0	0	1	upravni
admirable	0	0	0	0	1	0	1	0	0	1	občudovanja vredno
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	admiraliteta
admiration	0	0	0	0	1	0	1	0	0	1	občudovanje
admire	0	0	0	0	0	0	1	0	0	1	občudovati
admirer	0	0	0	0	0	0	1	0	0	0	občudovalec
admissibility	0	0	0	0	0	0	0	0	0	0	sprejemljivost
admissible	0	0	0	0	0	0	1	0	0	1	dopustno
admission	0	0	0	0	0	0	0	0	0	0	sprejem
admit	0	0	0	0	0	0	0	0	0	0	priznati
admittance	0	0	0	0	0	0	0	0	0	0	sprejem
admitted	0	0	0	0	0	0	0	0	0	0	priznal
admitting	0	0	0	0	0	0	0	0	0	0	priznati
admixture	0	0	0	0	0	0	0	0	0	0	primes
admonition	0	0	0	1	0	1	0	0	0	0	opomin
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	adolescenca
adolescent	0	0	0	0	0	0	0	0	0	0	mladostnik
adopt	0	0	0	0	0	0	0	0	0	0	posvojiti
adoption	0	0	0	0	0	0	0	0	0	0	posvojitev
adorable	0	0	0	0	1	0	1	0	0	0	čudovito
adoration	0	0	0	0	1	0	1	0	0	1	oboževanje
adore	0	1	0	0	1	0	1	0	0	1	obožujem
adorn	0	0	0	0	0	0	0	0	0	0	okrasiti
adornment	0	0	0	0	0	0	0	0	0	0	okrasje
adrift	0	1	0	1	0	1	0	1	0	0	naplavljen
adult	0	0	0	0	0	0	0	0	0	0	odrasli
adulterated	0	0	0	0	0	1	0	0	0	0	ponarejen
adultery	0	0	1	0	0	1	0	1	0	0	prešuštvo
advance	0	1	0	1	1	0	1	0	1	0	vnaprej
advanced	0	0	0	0	0	0	1	0	0	0	napredno
advancement	0	0	0	0	0	0	1	0	0	0	napredovanje
advancing	0	0	0	0	0	0	0	0	0	0	napreduje
advantage	0	0	0	0	0	0	1	0	0	0	prednost
advantageous	0	0	0	0	0	0	1	0	0	0	ugodno
advent	0	1	0	0	1	0	1	0	0	1	advent
adventure	0	1	0	0	0	0	1	0	0	0	pustolovščina
adventurer	0	0	0	0	0	0	0	0	0	0	pustolovec
adventurous	0	0	0	0	0	0	1	0	0	0	pustolovski
adversary	1	0	0	0	0	1	0	0	0	0	nasprotnik
adverse	1	0	1	1	0	1	0	1	0	0	neugoden
adversity	1	0	0	1	0	1	0	1	0	0	stiska
advertise	0	0	0	0	0	0	0	0	0	0	oglaševati
advertisement	0	0	0	0	0	0	0	0	0	0	oglas
advice	0	0	0	0	0	0	0	0	0	1	nasvet
advisable	0	0	0	0	0	0	1	0	0	1	priporočljivo
advise	0	0	0	0	0	0	1	0	0	1	svetovati
advised	0	0	0	0	0	0	0	0	0	1	svetoval
advisement	0	0	0	0	0	0	0	0	0	0	nasvet
adviser	0	0	0	0	0	0	1	0	0	1	svetovalec
advocacy	1	1	0	0	1	0	1	0	0	1	zagovorništvo
advocate	0	0	0	0	0	0	0	0	0	1	zagovornik
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	prezračevanje
aerial	0	0	0	0	0	0	0	0	0	0	zračni
aerodrome	0	0	0	0	0	0	0	0	0	0	letališče
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamika
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronavtika
aeroplane	0	0	0	0	0	0	0	0	0	0	letalo
aesthetic	0	0	0	0	0	0	1	0	0	0	estetski
aesthetics	0	0	0	0	1	0	1	0	0	0	estetika
aetiology	0	0	0	0	0	0	0	0	0	0	etiologija
afar	0	0	0	0	0	0	0	0	0	0	daleč
affable	0	0	0	0	0	0	1	0	0	0	prijazen
affair	0	0	0	0	0	0	0	0	0	0	afera
affecting	0	0	0	0	0	0	0	0	0	0	vpliva
affection	0	0	0	0	1	0	1	0	0	1	naklonjenost
affections	0	0	0	0	0	0	0	0	0	0	naklonjenosti
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	zaprisežena izjava
affiliated	0	0	0	0	0	0	1	0	0	0	pridružen
affiliation	0	0	0	0	0	0	0	0	0	0	pripadnost
affinity	0	0	0	0	0	0	0	0	0	0	afiniteta
affirm	0	0	0	0	0	0	1	0	0	1	potrditi
affirmation	0	0	0	0	0	0	1	0	0	0	potrditev
affirmative	0	0	0	0	0	0	1	0	0	0	pritrdilno
affirmatively	0	0	0	0	0	0	1	0	0	1	pritrdilno
affix	0	0	0	0	0	0	0	0	0	0	pritrditi
afflict	0	0	0	1	0	1	0	1	0	0	prizadeti
afflicted	0	0	0	0	0	1	0	0	0	0	prizadeti
affliction	0	0	1	1	0	1	0	1	0	0	nadloga
affluence	0	0	0	0	1	0	1	0	0	0	bogastvo
affluent	0	0	0	0	0	0	1	0	0	0	premožen
afford	0	0	0	0	0	0	1	0	0	0	privoščiti
affront	1	0	1	1	0	1	0	1	1	0	žalitev
afield	0	0	0	0	0	0	0	0	0	0	afield
afore	0	0	0	0	0	0	0	0	0	0	prej
aforementioned	0	0	0	0	0	0	0	0	0	0	zgoraj omenjeno
aforesaid	0	0	0	0	0	0	0	0	0	0	prej omenjeno
afraid	0	0	0	1	0	1	0	0	0	0	strah
afresh	0	0	0	0	0	0	0	0	0	0	na novo
aft	0	0	0	0	0	0	0	0	0	0	zadaj
aftermath	1	0	1	1	0	1	0	1	0	0	posledice
afternoon	0	0	0	0	0	0	0	0	0	0	popoldne
aftertaste	0	0	0	0	0	1	0	0	0	0	pookus
afterthought	0	0	0	0	0	0	0	0	0	0	naknadna misel
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	ahat
age	0	0	0	0	0	0	0	0	0	0	starost
aged	0	0	0	0	0	0	0	0	0	0	ostarel
agency	0	0	0	0	0	0	0	0	0	0	agencija
agent	0	0	0	0	0	0	0	0	0	0	agent
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomeracija
aggravated	1	0	0	0	0	1	0	0	0	0	poslabšalo
aggravating	1	0	0	0	0	1	0	1	0	0	oteževalno
aggravation	1	0	1	0	0	1	0	0	0	0	poslabšanje
aggregate	0	0	0	0	0	0	0	0	0	0	agregat
aggregation	0	0	0	0	0	0	0	0	0	0	združevanje
aggression	1	0	0	1	0	1	0	0	0	0	agresija
aggressive	1	0	0	1	0	1	0	0	0	0	agresiven
aggressor	1	0	0	1	0	1	0	0	0	0	agresor
aghast	0	0	1	1	0	1	0	0	1	0	zgrožen
agile	0	0	0	0	0	0	1	0	0	0	agilen
agility	0	0	0	0	0	0	1	0	0	0	okretnost
agitated	1	0	0	0	0	1	0	0	0	0	vznemirjen
agitation	1	0	0	0	0	1	0	0	0	0	vznemirjenost
agnostic	0	0	0	0	0	0	0	0	0	0	agnostik
ago	0	0	0	0	0	0	0	0	0	0	nazaj
agonizing	0	0	0	1	0	1	0	0	0	0	mučen
agony	1	0	0	1	0	1	0	1	0	0	agonija
agree	0	0	0	0	0	0	1	0	0	0	strinjam se
agreeable	0	0	0	0	0	0	1	0	0	1	prijetno
agreed	0	0	0	0	0	0	1	0	0	1	dogovorjeno
agreeing	0	0	0	0	0	0	1	0	0	1	strinjanje
agreement	0	0	0	0	0	0	1	0	0	1	sporazum
agricultural	0	0	0	0	0	0	0	0	0	0	kmetijski
agriculture	0	0	0	0	0	0	1	0	0	0	kmetijstvo
aground	0	0	0	0	0	1	0	0	0	0	nasedla
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	naprej
aid	0	0	0	0	0	0	1	0	0	0	pomoč
aiding	0	0	0	0	0	0	1	0	0	0	pomoč
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	bolan
ailment	0	0	0	0	0	0	0	0	0	0	bolezen
aim	0	0	0	0	0	0	0	0	0	0	meriti
aimless	0	0	0	0	0	1	0	0	0	0	brez cilja
air	0	0	0	0	0	0	0	0	0	0	zrak
airbag	0	0	0	0	0	0	0	0	0	0	zračna blazina
airlift	0	0	0	0	0	0	0	0	0	0	zračni dvig
airline	0	0	0	0	0	0	0	0	0	0	letalska družba
airman	0	0	0	0	0	0	0	0	0	0	letalec
airplane	0	0	0	0	0	0	0	0	0	0	letalo
airport	0	1	0	0	0	0	0	0	0	0	letališče
airs	0	0	1	0	0	1	0	0	0	0	zrači
airship	0	0	0	0	0	0	0	0	0	0	cepelin
aisle	0	0	0	0	0	0	0	0	0	0	prehod
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	priprt
akin	0	0	0	0	0	0	0	0	0	1	soroden
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	alarm
alarming	0	0	0	1	0	1	0	0	1	0	alarmantno
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alkimija
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholizem
alcove	0	0	0	0	0	0	0	0	0	0	nišo
alert	0	0	0	0	0	0	0	0	0	0	opozorilo
alertness	0	1	0	1	0	0	1	0	1	0	budnost
alerts	0	1	0	1	0	0	0	0	1	0	opozorila
alfalfa	0	0	0	0	0	0	0	0	0	0	lucerna
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebrski
algorithm	0	0	0	0	0	0	0	0	0	0	algoritem
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	tujec
alienate	1	0	1	0	0	1	0	0	0	0	odtujiti
alienated	0	0	0	0	0	1	0	1	0	0	odtujen
alienation	1	0	1	1	0	1	0	1	0	0	odtujenost
alight	0	0	0	0	0	0	0	0	0	0	zasvetiti
aligned	0	0	0	0	0	0	0	0	0	0	poravnano
alignment	0	0	0	0	0	0	0	0	0	0	poravnava
alike	0	0	0	0	0	0	0	0	0	0	enako
alimentation	0	0	0	0	0	0	1	0	0	0	prehranjevanje
alimony	0	0	0	0	0	1	0	0	0	0	preživnina
aliquot	0	0	0	0	0	0	0	0	0	0	alikvot
alive	0	1	0	0	1	0	1	0	0	1	živ
alkali	0	0	0	0	0	0	0	0	0	0	alkalija
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloidi
allay	0	0	0	0	0	0	1	0	0	0	pomiriti
allegation	1	0	0	0	0	1	0	0	0	0	obtožba
allege	0	0	0	0	0	1	0	0	0	0	trditi
alleged	0	0	0	0	0	0	0	0	0	0	domnevno
allegiance	0	0	0	0	0	0	1	0	0	1	zvestoba
allegorical	0	0	0	0	0	0	0	0	0	0	alegoričen
allegory	0	0	0	0	0	0	0	0	0	0	alegorija
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	ublažiti
alleviation	0	0	0	0	0	0	1	0	0	0	ublažitev
alley	0	0	0	0	0	0	0	0	0	0	uličica
alliance	0	0	0	0	0	0	0	0	0	1	zavezništvo
allied	0	0	0	0	0	0	1	0	0	1	zavezniški
alligator	0	0	0	0	0	0	0	0	0	0	aligator
allocate	0	0	0	0	0	0	0	0	0	0	dodeliti
allocation	0	0	0	0	0	0	0	0	0	0	dodelitev
allot	0	0	0	0	0	0	0	0	0	0	dodeliti
allotment	0	0	0	0	0	0	0	0	0	0	dodelitev
allowable	0	0	0	0	0	0	1	0	0	0	dopustno
allowance	0	0	0	0	0	0	0	0	0	0	dodatek
allowed	0	0	0	0	0	0	0	0	0	0	dovoljeno
alloy	0	0	0	0	0	0	0	0	0	0	zlitina
allure	0	1	0	0	1	0	1	0	1	0	privlačnost
alluring	0	0	0	0	0	0	1	0	0	0	mikavna
allusion	0	0	0	0	0	0	0	0	0	0	aluzija
alluvial	0	0	0	0	0	0	0	0	0	0	aluvialni
ally	0	0	0	0	0	0	1	0	0	1	zaveznik
almanac	0	0	0	0	0	0	0	0	0	0	almanah
almighty	0	0	0	0	0	0	1	0	0	0	vsemogočen
aloft	0	0	0	0	0	0	0	0	0	0	navzgor
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	zraven
aloof	0	0	0	0	0	1	0	0	0	0	odmaknjen
aloud	0	0	0	0	0	0	0	0	0	0	glasno
alphabet	0	0	0	0	0	0	0	0	0	0	abeceda
alphabetical	0	0	0	0	0	0	0	0	0	0	abecedno
altar	0	0	0	0	0	0	0	0	0	0	oltar
alter	0	0	0	0	0	0	0	0	0	0	spreminjati
alteration	0	0	0	0	0	0	0	0	0	0	sprememba
altercation	1	0	0	0	0	1	0	0	0	0	prepir
altered	0	0	0	0	0	0	0	0	0	0	spremenjen
alternate	0	0	0	0	0	0	0	0	0	0	nadomestni
alternative	0	0	0	0	0	0	0	0	0	0	alternativa
altitude	0	0	0	0	0	0	0	0	0	0	nadmorska višina
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	skupaj
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolarni
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	združevanje
amass	0	0	0	0	0	0	0	0	0	0	kopičiti
amateur	0	0	0	0	0	0	0	0	0	0	amaterski
amaze	0	0	0	0	0	0	0	0	1	0	presenetiti
amazement	0	0	0	0	0	0	0	0	0	0	začudenje
amazingly	0	0	0	0	1	0	1	0	1	0	neverjetno
ambassador	0	0	0	0	0	0	1	0	0	1	veleposlanik
amber	0	0	0	0	0	0	0	0	0	0	jantar
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	dvoumnost
ambiguous	0	0	0	0	0	1	0	0	0	0	dvoumen
ambit	0	0	0	0	0	0	0	0	0	0	obseg
ambition	0	1	0	0	1	0	1	0	0	1	ambicija
ambitious	0	0	0	0	0	0	0	0	0	0	ambiciozen
ambulance	0	0	0	1	0	0	0	0	0	1	reševalno vozilo
ambush	1	0	0	1	0	1	0	0	1	0	zaseda
ameliorate	0	0	0	0	0	0	1	0	0	0	izboljšati
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	sprejemljiv
amend	0	0	0	0	0	0	1	0	0	0	spremeniti
amendment	0	0	0	0	0	0	0	0	0	0	sprememba
amends	0	0	0	0	0	0	1	0	0	0	popravi
amenity	0	0	0	0	0	0	1	0	0	0	udobje
amethyst	0	0	0	0	0	0	0	0	0	0	ametist
amiable	0	0	0	0	0	0	1	0	0	0	prijazen
amicable	0	0	0	0	1	0	1	0	0	0	prijateljski
amid	0	0	0	0	0	0	0	0	0	0	sredi
amidst	0	0	0	0	0	0	0	0	0	0	sredi
ammonia	0	0	1	0	0	0	0	0	0	0	amoniak
ammunition	0	0	0	0	0	0	0	0	0	0	strelivo
amnesia	0	0	0	0	0	1	0	0	0	0	amnezija
amnesty	0	0	0	0	1	0	1	0	0	0	amnestija
amorphous	0	0	0	0	0	0	0	0	0	0	amorfen
amortization	0	0	0	0	0	0	0	0	0	1	amortizacija
amount	0	0	0	0	0	0	0	0	0	0	znesek
amour	0	1	0	0	1	0	1	0	0	1	ljubezen
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetamini
amphibian	0	0	0	0	0	0	0	0	0	0	dvoživka
amphibious	0	0	0	0	0	0	0	0	0	0	dvoživka
amphitheater	0	0	0	0	0	0	0	0	0	0	amfiteater
amplification	0	0	0	0	0	0	0	0	0	0	ojačanje
amplify	0	0	0	0	0	0	0	0	0	0	povečati
