English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Sesotho Word
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	akhaonte
accountability	0	0	0	0	0	0	1	0	0	1	boikarabello
accountable	0	0	0	0	0	0	1	0	0	1	ikarabellang
accountant	0	0	0	0	0	0	0	0	0	1	rakhaonto
accounting	0	0	0	0	0	0	0	0	0	0	accounting
accounts	0	0	0	0	0	0	0	0	0	1	litlaleho
accredited	0	0	0	0	0	0	1	0	0	1	amohetsoe
accretion	0	0	0	0	0	0	0	0	0	0	accretion
accrue	0	0	0	0	0	0	0	0	0	0	eketsa
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	bokella
accumulation	0	0	0	0	0	0	0	0	0	0	pokeletso
accuracy	0	0	0	0	0	0	0	0	0	0	nepahalo
accurate	0	0	0	0	0	0	1	0	0	1	e nepahetseng
accursed	1	0	0	1	0	1	0	1	0	0	rohakiloe
accusation	1	0	1	0	0	1	0	0	0	0	qoso
accusative	0	0	0	0	0	1	0	0	0	0	qosa
accused	1	0	0	1	0	1	0	0	0	0	qosoa
accuser	1	0	0	1	0	1	0	0	0	0	moqosi
accusing	1	0	0	1	0	1	0	0	0	0	qosa
accustomed	0	0	0	0	0	0	0	0	0	0	tlwaetse
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	bohloko
achieve	0	0	0	0	1	0	1	0	0	1	finyella
achievement	0	1	0	0	1	0	1	0	0	1	phihlello
aching	0	0	0	0	0	1	0	1	0	0	bohloko
acid	0	0	0	0	0	1	0	0	0	0	asiti
acidity	0	0	0	0	0	0	0	0	0	0	acidity
acknowledge	0	0	0	0	0	0	0	0	0	0	amohela
acknowledged	0	0	0	0	0	0	0	0	0	0	ananetsoe
acknowledgment	0	0	0	0	0	0	1	0	0	0	kananelo
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	acoustic
acoustics	0	0	0	0	0	0	0	0	0	0	acoustics
acquaint	0	0	0	0	0	0	0	0	0	0	tloaelana
acquaintance	0	0	0	0	0	0	0	0	0	0	tloaelano
acquainted	0	0	0	0	0	0	0	0	0	0	tloaelane
acquiescence	0	0	0	0	0	0	0	0	0	0	kamohelo
acquire	0	0	0	0	0	0	1	0	0	0	fumana
acquiring	0	1	0	0	0	0	1	0	0	0	ho fumana
acquisition	0	0	0	0	0	0	0	0	0	0	ho fumana
acquisitions	0	0	0	0	0	0	0	0	0	0	kamohelo
acreage	0	0	0	0	0	0	0	0	0	0	acreage
acres	0	0	0	0	0	0	0	0	0	0	lihekthere
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	ketso
acting	0	0	0	0	0	0	0	0	0	0	ho etsa
action	0	0	0	0	0	0	1	0	0	0	ketso
actionable	1	0	1	0	0	1	0	0	0	0	ka sebetsa
active	0	0	0	0	0	0	0	0	0	0	mafolofolo
activity	0	0	0	0	0	0	0	0	0	0	mosebetsi
actor	0	0	0	0	0	0	0	0	0	0	sebapali
actual	0	0	0	0	0	0	1	0	0	0	ea sebele
actuality	0	0	0	0	0	0	0	0	0	0	nnete
actuary	0	0	0	0	0	0	0	0	0	0	setsebi
acuity	0	0	0	0	0	0	1	0	0	0	acuity
acumen	0	0	0	0	0	0	1	0	0	0	acumen
acupuncture	0	0	0	0	0	0	0	0	0	0	ho hlaba ka linalete
acutely	0	0	0	0	0	0	0	0	0	0	ka bohale
adage	0	0	0	0	0	0	0	0	0	0	maele
adamant	0	0	0	0	0	0	0	0	0	0	tsietsing
adapt	0	0	0	0	0	0	1	0	0	0	ikamahanya le maemo
adaptable	0	0	0	0	0	0	1	0	0	0	tenyetsehang
add	0	0	0	0	0	0	0	0	0	0	eketsa
added	0	0	0	0	0	0	0	0	0	0	eketsoe
addendum	0	0	0	0	0	0	0	0	0	0	tlatsetso
adder	1	0	1	1	0	1	0	1	0	0	adder
addiction	0	0	0	0	0	1	0	0	0	0	ho lemalla
addition	0	0	0	0	0	0	0	0	0	0	tlatsetso
additional	0	0	0	0	0	0	0	0	0	0	tlatsetso
additive	0	0	0	0	0	0	0	0	0	0	tlatsetso
address	0	0	0	0	0	0	0	0	0	0	aterese
addressee	0	0	0	0	0	0	0	0	0	0	addressee
addresses	0	1	0	0	0	0	1	0	0	0	liaterese
adept	0	0	0	0	0	0	1	0	0	0	hloahloa
adequacy	0	0	0	0	0	0	1	0	0	0	lekane
adequate	0	0	0	0	0	0	0	0	0	0	lekaneng
adhere	0	0	0	0	0	0	0	0	0	0	khomarela
adherence	0	0	0	0	0	0	0	0	0	0	ho khomarela
adherent	0	0	0	0	0	0	0	0	0	0	adherent
adhering	0	0	0	0	0	0	0	0	0	1	ho khomarela
adhesion	0	0	0	0	0	0	0	0	0	0	ho khomarela
adhesive	0	0	0	0	0	0	0	0	0	0	sekgomaretsi
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	haufi
adjacent	0	0	0	0	0	0	0	0	0	0	haufi
adjective	0	0	0	0	0	0	0	0	0	0	lehlalosi
adjoining	0	0	0	0	0	0	0	0	0	0	e kopaneng
adjourn	0	0	0	0	0	0	0	0	0	0	khefutsa
adjournment	0	0	0	0	0	0	0	0	0	0	khefutso
adjudicate	0	0	0	1	0	1	0	0	0	0	ahlola
adjudication	0	0	0	0	0	0	0	0	0	0	kahlolo
adjunct	0	0	0	0	0	0	1	0	0	0	tlatsetso
adjust	0	0	0	0	0	0	0	0	0	0	lokisa
adjustment	0	0	0	0	0	0	0	0	0	0	tokiso
adjuvant	0	0	0	0	0	0	0	0	0	0	motlatsi
administer	0	0	0	0	0	0	0	0	0	0	tsamaisa
administration	0	0	0	0	0	0	0	0	0	0	tsamaiso
administrative	0	0	0	0	0	0	0	0	0	1	tsamaiso
admirable	0	0	0	0	1	0	1	0	0	1	ya babatsehang
admiral	0	0	0	0	0	0	1	0	0	1	moemeli
admiralty	0	0	0	0	0	0	0	0	0	0	admiralty
admiration	0	0	0	0	1	0	1	0	0	1	ho hlolloa
admire	0	0	0	0	0	0	1	0	0	1	hlolla
admirer	0	0	0	0	0	0	1	0	0	0	motho ya ratang
admissibility	0	0	0	0	0	0	0	0	0	0	kamohelo
admissible	0	0	0	0	0	0	1	0	0	1	amohelehile
admission	0	0	0	0	0	0	0	0	0	0	kamohelo
admit	0	0	0	0	0	0	0	0	0	0	dumela
admittance	0	0	0	0	0	0	0	0	0	0	kamohelo
admitted	0	0	0	0	0	0	0	0	0	0	amohetsoe
admitting	0	0	0	0	0	0	0	0	0	0	ho dumela
admixture	0	0	0	0	0	0	0	0	0	0	motsoako
admonition	0	0	0	1	0	1	0	0	0	0	keletso
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	bocha
adolescent	0	0	0	0	0	0	0	0	0	0	mocha
adopt	0	0	0	0	0	0	0	0	0	0	amohela
adoption	0	0	0	0	0	0	0	0	0	0	ho nkeloa ka lapeng
adorable	0	0	0	0	1	0	1	0	0	0	ratehang
adoration	0	0	0	0	1	0	1	0	0	1	khumamelo
adore	0	1	0	0	1	0	1	0	0	1	khumamela
adorn	0	0	0	0	0	0	0	0	0	0	kgabisa
adornment	0	0	0	0	0	0	0	0	0	0	mokgabo
adrift	0	1	0	1	0	1	0	1	0	0	adrift
adult	0	0	0	0	0	0	0	0	0	0	motho e moholo
adulterated	0	0	0	0	0	1	0	0	0	0	feditsoe
adultery	0	0	1	0	0	1	0	1	0	0	bofebe
advance	0	1	0	1	1	0	1	0	1	0	tsoelo-pele
advanced	0	0	0	0	0	0	1	0	0	0	e tsoetseng pele
advancement	0	0	0	0	0	0	1	0	0	0	tsoelopele
advancing	0	0	0	0	0	0	0	0	0	0	kgatelopele
advantage	0	0	0	0	0	0	1	0	0	0	molemo
advantageous	0	0	0	0	0	0	1	0	0	0	molemo
advent	0	1	0	0	1	0	1	0	0	1	ho fihla
adventure	0	1	0	0	0	0	1	0	0	0	boithatelo
adventurer	0	0	0	0	0	0	0	0	0	0	mohahlauli
adventurous	0	0	0	0	0	0	1	0	0	0	mahlahahlaha
adversary	1	0	0	0	0	1	0	0	0	0	mohanyetsi
adverse	1	0	1	1	0	1	0	1	0	0	e mpe
adversity	1	0	0	1	0	1	0	1	0	0	tsietsi
advertise	0	0	0	0	0	0	0	0	0	0	bapatsa
advertisement	0	0	0	0	0	0	0	0	0	0	papatso
advice	0	0	0	0	0	0	0	0	0	1	keletso
advisable	0	0	0	0	0	0	1	0	0	1	bohlale
advise	0	0	0	0	0	0	1	0	0	1	eletsa
advised	0	0	0	0	0	0	0	0	0	1	eletsa
advisement	0	0	0	0	0	0	0	0	0	0	keletso
adviser	0	0	0	0	0	0	1	0	0	1	moeletsi
advocacy	1	1	0	0	1	0	1	0	0	1	bobuelli
advocate	0	0	0	0	0	0	0	0	0	1	buella
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	aeration
aerial	0	0	0	0	0	0	0	0	0	0	moeeng
aerodrome	0	0	0	0	0	0	0	0	0	0	boema-fofane
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	tsa sefofane
aeroplane	0	0	0	0	0	0	0	0	0	0	sefofane
aesthetic	0	0	0	0	0	0	1	0	0	0	botle bo botle
aesthetics	0	0	0	0	1	0	1	0	0	0	botle ba botle
aetiology	0	0	0	0	0	0	0	0	0	0	aetiology
afar	0	0	0	0	0	0	0	0	0	0	hole
affable	0	0	0	0	0	0	1	0	0	0	tshoanyehang
affair	0	0	0	0	0	0	0	0	0	0	taba
affecting	0	0	0	0	0	0	0	0	0	0	amang
affection	0	0	0	0	1	0	1	0	0	1	lerato
affections	0	0	0	0	0	0	0	0	0	0	maikutlo a lerato
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	afidaviti
affiliated	0	0	0	0	0	0	1	0	0	0	kopanetsoe
affiliation	0	0	0	0	0	0	0	0	0	0	kamano
affinity	0	0	0	0	0	0	0	0	0	0	kamano
affirm	0	0	0	0	0	0	1	0	0	1	tiisa
affirmation	0	0	0	0	0	0	1	0	0	0	tiisetso
affirmative	0	0	0	0	0	0	1	0	0	0	e tiisang
affirmatively	0	0	0	0	0	0	1	0	0	1	ka tieo
affix	0	0	0	0	0	0	0	0	0	0	khomaretsa
afflict	0	0	0	1	0	1	0	1	0	0	hlokofatsa
afflicted	0	0	0	0	0	1	0	0	0	0	hlomohile
affliction	0	0	1	1	0	1	0	1	0	0	mahlomola
affluence	0	0	0	0	1	0	1	0	0	0	letlotlo
affluent	0	0	0	0	0	0	1	0	0	0	morui
afford	0	0	0	0	0	0	1	0	0	0	khona
affront	1	0	1	1	0	1	0	1	1	0	nyefola
afield	0	0	0	0	0	0	0	0	0	0	afield
afore	0	0	0	0	0	0	0	0	0	0	pele
aforementioned	0	0	0	0	0	0	0	0	0	0	boletsoeng ka holimo
aforesaid	0	0	0	0	0	0	0	0	0	0	boletsoeng ka holimo
afraid	0	0	0	1	0	1	0	0	0	0	tshoha
afresh	0	0	0	0	0	0	0	0	0	0	bocha
aft	0	0	0	0	0	0	0	0	0	0	ka morao
aftermath	1	0	1	1	0	1	0	1	0	0	kamorao
afternoon	0	0	0	0	0	0	0	0	0	0	thapama
aftertaste	0	0	0	0	0	1	0	0	0	0	aftertaste
afterthought	0	0	0	0	0	0	0	0	0	0	kamorao
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	lilemo
aged	0	0	0	0	0	0	0	0	0	0	tsofetseng
agency	0	0	0	0	0	0	0	0	0	0	mokhatlo
agent	0	0	0	0	0	0	0	0	0	0	moemeli
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomeration
aggravated	1	0	0	0	0	1	0	0	0	0	mpefalitsoe
aggravating	1	0	0	0	0	1	0	1	0	0	mpefatsa
aggravation	1	0	1	0	0	1	0	0	0	0	aggravation
aggregate	0	0	0	0	0	0	0	0	0	0	aggregate
aggregation	0	0	0	0	0	0	0	0	0	0	kopanelo
aggression	1	0	0	1	0	1	0	0	0	0	tlhekefetso
aggressive	1	0	0	1	0	1	0	0	0	0	e mabifi
aggressor	1	0	0	1	0	1	0	0	0	0	mohlasedi
aghast	0	0	1	1	0	1	0	0	1	0	tshotleha
agile	0	0	0	0	0	0	1	0	0	0	e malala-a-laotsoe
agility	0	0	0	0	0	0	1	0	0	0	matjato
agitated	1	0	0	0	0	1	0	0	0	0	ferekantse
agitation	1	0	0	0	0	1	0	0	0	0	pherekano
agnostic	0	0	0	0	0	0	0	0	0	0	agnostic
ago	0	0	0	0	0	0	0	0	0	0	fetileng
agonizing	0	0	0	1	0	1	0	0	0	0	hlabang pelo
agony	1	0	0	1	0	1	0	1	0	0	bohloko
agree	0	0	0	0	0	0	1	0	0	0	dumelana
agreeable	0	0	0	0	0	0	1	0	0	1	amohelehile
agreed	0	0	0	0	0	0	1	0	0	1	dumelana
agreeing	0	0	0	0	0	0	1	0	0	1	ho dumellana
agreement	0	0	0	0	0	0	1	0	0	1	tumellano
agricultural	0	0	0	0	0	0	0	0	0	0	temothuo
agriculture	0	0	0	0	0	0	1	0	0	0	temothuo
aground	0	0	0	0	0	1	0	0	0	0	aground
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	pele
aid	0	0	0	0	0	0	1	0	0	0	thuso
aiding	0	0	0	0	0	0	1	0	0	0	ho thusa
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	ho kula
ailment	0	0	0	0	0	0	0	0	0	0	ho kula
aim	0	0	0	0	0	0	0	0	0	0	sepheo
aimless	0	0	0	0	0	1	0	0	0	0	e se nang sepheo
air	0	0	0	0	0	0	0	0	0	0	moea
airbag	0	0	0	0	0	0	0	0	0	0	mokotla oa moea
airlift	0	0	0	0	0	0	0	0	0	0	sefofane sa sefofane
airline	0	0	0	0	0	0	0	0	0	0	sefofane
airman	0	0	0	0	0	0	0	0	0	0	motho ea sebetsang moeeng
airplane	0	0	0	0	0	0	0	0	0	0	sefofane
airport	0	1	0	0	0	0	0	0	0	0	boema-fofane
airs	0	0	1	0	0	1	0	0	0	0	moea
airship	0	0	0	0	0	0	0	0	0	0	sefofane
aisle	0	0	0	0	0	0	0	0	0	0	tsela
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	e tšoana le
alabaster	0	0	0	0	0	0	1	0	0	0	alabastera
alarm	0	0	0	1	0	1	0	0	1	0	alamo
alarming	0	0	0	1	0	1	0	0	1	0	tshosang
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	alebamo
alchemy	0	0	0	0	0	0	0	0	0	0	alchemy
alcohol	0	0	0	0	0	0	0	0	0	0	joala
alcoholism	1	0	1	1	0	1	0	1	0	0	bokhoba ba tahi
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	fadimehile
alertness	0	1	0	1	0	0	1	0	1	0	ho falimeha
alerts	0	1	0	1	0	0	0	0	1	0	litlhokomeliso
alfalfa	0	0	0	0	0	0	0	0	0	0	lesere
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraic
algorithm	0	0	0	0	0	0	0	0	0	0	algorithm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	mojaki
alienate	1	0	1	0	0	1	0	0	0	0	aliennate
alienated	0	0	0	0	0	1	0	1	0	0	kgethile
alienation	1	0	1	1	0	1	0	1	0	0	bojaki
alight	0	0	0	0	0	0	0	0	0	0	alight
aligned	0	0	0	0	0	0	0	0	0	0	tsepamisitse
alignment	0	0	0	0	0	0	0	0	0	0	ho tsamaisana
alike	0	0	0	0	0	0	0	0	0	0	ka ho tshoana
alimentation	0	0	0	0	0	0	1	0	0	0	alimentation
alimony	0	0	0	0	0	1	0	0	0	0	alimony
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	phela
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	li-alkaloids
allay	0	0	0	0	0	0	1	0	0	0	allay
allegation	1	0	0	0	0	1	0	0	0	0	qoso
allege	0	0	0	0	0	1	0	0	0	0	qosa
alleged	0	0	0	0	0	0	0	0	0	0	qosoa
allegiance	0	0	0	0	0	0	1	0	0	1	botshepehi
allegorical	0	0	0	0	0	0	0	0	0	0	tšupiso
allegory	0	0	0	0	0	0	0	0	0	0	papiso
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	fokotsa
alleviation	0	0	0	0	0	0	1	0	0	0	phokotso
alley	0	0	0	0	0	0	0	0	0	0	tselana
alliance	0	0	0	0	0	0	0	0	0	1	selekane
allied	0	0	0	0	0	0	1	0	0	1	selekaneng
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	abela
allocation	0	0	0	0	0	0	0	0	0	0	kabo
allot	0	0	0	0	0	0	0	0	0	0	kabelo
allotment	0	0	0	0	0	0	0	0	0	0	kabo
allowable	0	0	0	0	0	0	1	0	0	0	dumelletsoeng
allowance	0	0	0	0	0	0	0	0	0	0	tumello
allowed	0	0	0	0	0	0	0	0	0	0	lumelloa
alloy	0	0	0	0	0	0	0	0	0	0	motsoako
allure	0	1	0	0	1	0	1	0	1	0	hohela
alluring	0	0	0	0	0	0	1	0	0	0	hohela
allusion	0	0	0	0	0	0	0	0	0	0	tshehetso
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	motsoalle
almanac	0	0	0	0	0	0	0	0	0	0	almanaka
almighty	0	0	0	0	0	0	1	0	0	0	ya matla ohle
aloft	0	0	0	0	0	0	0	0	0	0	hodimo
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	pela
aloof	0	0	0	0	0	1	0	0	0	0	ka thoko
aloud	0	0	0	0	0	0	0	0	0	0	ka lentsoe le phahameng
alphabet	0	0	0	0	0	0	0	0	0	0	alfabeta
alphabetical	0	0	0	0	0	0	0	0	0	0	ka alfabeta
altar	0	0	0	0	0	0	0	0	0	0	aletare
alter	0	0	0	0	0	0	0	0	0	0	fetola
alteration	0	0	0	0	0	0	0	0	0	0	phetoho
altercation	1	0	0	0	0	1	0	0	0	0	qabang
altered	0	0	0	0	0	0	0	0	0	0	fetotsoe
alternate	0	0	0	0	0	0	0	0	0	0	fapanyetsana
alternative	0	0	0	0	0	0	0	0	0	0	mofuta o mong
altitude	0	0	0	0	0	0	0	0	0	0	bophahamo
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	ka botlalo
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	kopanyo
amass	0	0	0	0	0	0	0	0	0	0	bokella
amateur	0	0	0	0	0	0	0	0	0	0	motho ya se nang phihlelo
amaze	0	0	0	0	0	0	0	0	1	0	makalla
amazement	0	0	0	0	0	0	0	0	0	0	makatso
amazingly	0	0	0	0	1	0	1	0	1	0	ka tsela e makatsang
ambassador	0	0	0	0	0	0	1	0	0	1	lenqosa
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	ho hlaka
ambiguous	0	0	0	0	0	1	0	0	0	0	qaka
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	tjantjello
ambitious	0	0	0	0	0	0	0	0	0	0	tjantjello
ambulance	0	0	0	1	0	0	0	0	0	1	ambulense
ambush	1	0	0	1	0	1	0	0	1	0	laletse
ameliorate	0	0	0	0	0	0	1	0	0	0	matlafatsa
amen	0	0	0	0	1	0	1	0	0	1	amene
amenable	0	0	0	0	0	0	1	0	0	0	amenable
amend	0	0	0	0	0	0	1	0	0	0	lokisa
amendment	0	0	0	0	0	0	0	0	0	0	tokiso
amends	0	0	0	0	0	0	1	0	0	0	lokisa
amenity	0	0	0	0	0	0	1	0	0	0	thuso
amethyst	0	0	0	0	0	0	0	0	0	0	amethyst
amiable	0	0	0	0	0	0	1	0	0	0	ratehang
amicable	0	0	0	0	1	0	1	0	0	0	botsoalle
amid	0	0	0	0	0	0	0	0	0	0	hara
amidst	0	0	0	0	0	0	0	0	0	0	hara
ammonia	0	0	1	0	0	0	0	0	0	0	ammonia
ammunition	0	0	0	0	0	0	0	0	0	0	lihlomo
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	tshoarelo
amorphous	0	0	0	0	0	0	0	0	0	0	amorphous
amortization	0	0	0	0	0	0	0	0	0	1	amortization
amount	0	0	0	0	0	0	0	0	0	0	chelete
amour	0	1	0	0	1	0	1	0	0	1	lerato
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	li-amphetamine
