English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Swedish Word
adder	1	0	1	1	0	1	0	1	0	0	huggorm
addiction	0	0	0	0	0	1	0	0	0	0	missbruk
addition	0	0	0	0	0	0	0	0	0	0	tillägg
additional	0	0	0	0	0	0	0	0	0	0	ytterligare
additive	0	0	0	0	0	0	0	0	0	0	tillsats
address	0	0	0	0	0	0	0	0	0	0	adress
addressee	0	0	0	0	0	0	0	0	0	0	adressat
addresses	0	1	0	0	0	0	1	0	0	0	adresser
adept	0	0	0	0	0	0	1	0	0	0	skicklig
adequacy	0	0	0	0	0	0	1	0	0	0	lämplighet
adequate	0	0	0	0	0	0	0	0	0	0	lämplig
adhere	0	0	0	0	0	0	0	0	0	0	ansluta sig
adherence	0	0	0	0	0	0	0	0	0	0	efterlevnad
adherent	0	0	0	0	0	0	0	0	0	0	anhängare
adhering	0	0	0	0	0	0	0	0	0	1	vidhäftande
adhesion	0	0	0	0	0	0	0	0	0	0	adhesion
adhesive	0	0	0	0	0	0	0	0	0	0	lim
adieu	0	0	0	0	0	0	0	0	0	0	adjö
adipose	0	0	0	0	0	1	0	0	0	0	fett
adjacency	0	0	0	0	0	0	0	0	0	0	närhet
adjacent	0	0	0	0	0	0	0	0	0	0	intilliggande
adjective	0	0	0	0	0	0	0	0	0	0	adjektiv
adjoining	0	0	0	0	0	0	0	0	0	0	angränsande
adjourn	0	0	0	0	0	0	0	0	0	0	ajournera
adjournment	0	0	0	0	0	0	0	0	0	0	uppskov
adjudicate	0	0	0	1	0	1	0	0	0	0	döma
adjudication	0	0	0	0	0	0	0	0	0	0	bedömning
adjunct	0	0	0	0	0	0	1	0	0	0	tillägg
adjust	0	0	0	0	0	0	0	0	0	0	justera
adjustment	0	0	0	0	0	0	0	0	0	0	justering
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvans
administer	0	0	0	0	0	0	0	0	0	0	administrera
administration	0	0	0	0	0	0	0	0	0	0	administrering
administrative	0	0	0	0	0	0	0	0	0	1	administrativ
admirable	0	0	0	0	1	0	1	0	0	1	beundransvärd
admiral	0	0	0	0	0	0	1	0	0	1	amiral
admiralty	0	0	0	0	0	0	0	0	0	0	amiralitet
admiration	0	0	0	0	1	0	1	0	0	1	beundran
admire	0	0	0	0	0	0	1	0	0	1	beundra
admirer	0	0	0	0	0	0	1	0	0	0	beundrare
admissibility	0	0	0	0	0	0	0	0	0	0	tillåtlighet
admissible	0	0	0	0	0	0	1	0	0	1	tillåtlig
admission	0	0	0	0	0	0	0	0	0	0	tillträde
admit	0	0	0	0	0	0	0	0	0	0	erkänna
admittance	0	0	0	0	0	0	0	0	0	0	tillträde
admitted	0	0	0	0	0	0	0	0	0	0	erkände
admitting	0	0	0	0	0	0	0	0	0	0	erkännande
admixture	0	0	0	0	0	0	0	0	0	0	blandning
admonition	0	0	0	1	0	1	0	0	0	0	förmaning
ado	0	0	0	0	0	0	0	0	0	0	väsen
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	ungdom
adolescent	0	0	0	0	0	0	0	0	0	0	tonåring
adopt	0	0	0	0	0	0	0	0	0	0	anta
adoption	0	0	0	0	0	0	0	0	0	0	adoption
adorable	0	0	0	0	1	0	1	0	0	0	förtjusande
adoration	0	0	0	0	1	0	1	0	0	1	tillbedjan
adore	0	1	0	0	1	0	1	0	0	1	älska
adorn	0	0	0	0	0	0	0	0	0	0	smycka
adornment	0	0	0	0	0	0	0	0	0	0	prydnad
adrift	0	1	0	1	0	1	0	1	0	0	på drift
adult	0	0	0	0	0	0	0	0	0	0	vuxen
adulterated	0	0	0	0	0	1	0	0	0	0	förvanskat
adultery	0	0	1	0	0	1	0	1	0	0	otrohet
advance	0	1	0	1	1	0	1	0	1	0	förskott
advanced	0	0	0	0	0	0	1	0	0	0	Avancerad
advancement	0	0	0	0	0	0	1	0	0	0	befordran
advancing	0	0	0	0	0	0	0	0	0	0	avancerar
advantage	0	0	0	0	0	0	1	0	0	0	fördel
advantageous	0	0	0	0	0	0	1	0	0	0	fördelaktig
advent	0	1	0	0	1	0	1	0	0	1	första advent
adventure	0	1	0	0	0	0	1	0	0	0	äventyr
adventurer	0	0	0	0	0	0	0	0	0	0	äventyrare
adventurous	0	0	0	0	0	0	1	0	0	0	äventyrlig
adversary	1	0	0	0	0	1	0	0	0	0	motståndare
adverse	1	0	1	1	0	1	0	1	0	0	ogynnsam
adversity	1	0	0	1	0	1	0	1	0	0	motgång
advertise	0	0	0	0	0	0	0	0	0	0	annonsera
advertisement	0	0	0	0	0	0	0	0	0	0	annons
advice	0	0	0	0	0	0	0	0	0	1	råd
advisable	0	0	0	0	0	0	1	0	0	1	tillrådligt
advise	0	0	0	0	0	0	1	0	0	1	ge råd
advised	0	0	0	0	0	0	0	0	0	1	rådde
advisement	0	0	0	0	0	0	0	0	0	0	råd
adviser	0	0	0	0	0	0	1	0	0	1	rådgivare
advocacy	1	1	0	0	1	0	1	0	0	1	försvar
advocate	0	0	0	0	0	0	0	0	0	1	förespråkare
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	luftning
aerial	0	0	0	0	0	0	0	0	0	0	antenn
aerodrome	0	0	0	0	0	0	0	0	0	0	flygplats
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamik
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautik
aeroplane	0	0	0	0	0	0	0	0	0	0	flygplan
aesthetic	0	0	0	0	0	0	1	0	0	0	estetisk
aesthetics	0	0	0	0	1	0	1	0	0	0	estetik
aetiology	0	0	0	0	0	0	0	0	0	0	etiologi
afar	0	0	0	0	0	0	0	0	0	0	fjärran
affable	0	0	0	0	0	0	1	0	0	0	förbindlig
affair	0	0	0	0	0	0	0	0	0	0	affär
affecting	0	0	0	0	0	0	0	0	0	0	påverkar
affection	0	0	0	0	1	0	1	0	0	1	tillgivenhet
affections	0	0	0	0	0	0	0	0	0	0	tillgivenheter
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	affidavit
affiliated	0	0	0	0	0	0	1	0	0	0	ansluten
affiliation	0	0	0	0	0	0	0	0	0	0	anslutning
affinity	0	0	0	0	0	0	0	0	0	0	affinitet
affirm	0	0	0	0	0	0	1	0	0	1	bekräfta
affirmation	0	0	0	0	0	0	1	0	0	0	bekräftelse
affirmative	0	0	0	0	0	0	1	0	0	0	korrekt
affirmatively	0	0	0	0	0	0	1	0	0	1	jakande
affix	0	0	0	0	0	0	0	0	0	0	affix
afflict	0	0	0	1	0	1	0	1	0	0	plåga
afflicted	0	0	0	0	0	1	0	0	0	0	drabbats
affliction	0	0	1	1	0	1	0	1	0	0	lidande
affluence	0	0	0	0	1	0	1	0	0	0	välstånd
affluent	0	0	0	0	0	0	1	0	0	0	förmögen
afford	0	0	0	0	0	0	1	0	0	0	råd
affront	1	0	1	1	0	1	0	1	1	0	skymf
afield	0	0	0	0	0	0	0	0	0	0	ett fält
afore	0	0	0	0	0	0	0	0	0	0	förut
aforementioned	0	0	0	0	0	0	0	0	0	0	ovannämnda
aforesaid	0	0	0	0	0	0	0	0	0	0	ovannämnda
afraid	0	0	0	1	0	1	0	0	0	0	rädd
afresh	0	0	0	0	0	0	0	0	0	0	på nytt
aft	0	0	0	0	0	0	0	0	0	0	akter-
aftermath	1	0	1	1	0	1	0	1	0	0	verkningarna
afternoon	0	0	0	0	0	0	0	0	0	0	eftermiddag
aftertaste	0	0	0	0	0	1	0	0	0	0	eftersmak
afterthought	0	0	0	0	0	0	0	0	0	0	eftertanke
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agat
age	0	0	0	0	0	0	0	0	0	0	ålder
aged	0	0	0	0	0	0	0	0	0	0	åldrig
agency	0	0	0	0	0	0	0	0	0	0	byrå
agent	0	0	0	0	0	0	0	0	0	0	ombud
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomerering
aggravated	1	0	0	0	0	1	0	0	0	0	förvärras
aggravating	1	0	0	0	0	1	0	1	0	0	försvårande
aggravation	1	0	1	0	0	1	0	0	0	0	förvärrande
aggregate	0	0	0	0	0	0	0	0	0	0	aggregat
aggregation	0	0	0	0	0	0	0	0	0	0	aggregering
aggression	1	0	0	1	0	1	0	0	0	0	aggression
aggressive	1	0	0	1	0	1	0	0	0	0	aggressiv
aggressor	1	0	0	1	0	1	0	0	0	0	angripare
aghast	0	0	1	1	0	1	0	0	1	0	bestört
agile	0	0	0	0	0	0	1	0	0	0	vig
agility	0	0	0	0	0	0	1	0	0	0	rörlighet
agitated	1	0	0	0	0	1	0	0	0	0	upprörd
agitation	1	0	0	0	0	1	0	0	0	0	agitation
agnostic	0	0	0	0	0	0	0	0	0	0	agnostiker
ago	0	0	0	0	0	0	0	0	0	0	sedan
agonizing	0	0	0	1	0	1	0	0	0	0	plågsam
agony	1	0	0	1	0	1	0	1	0	0	vånda
agree	0	0	0	0	0	0	1	0	0	0	hålla med
agreeable	0	0	0	0	0	0	1	0	0	1	angenäm
agreed	0	0	0	0	0	0	1	0	0	1	gick med på
agreeing	0	0	0	0	0	0	1	0	0	1	håller med
agreement	0	0	0	0	0	0	1	0	0	1	avtal
agricultural	0	0	0	0	0	0	0	0	0	0	jordbruks
agriculture	0	0	0	0	0	0	1	0	0	0	lantbruk
aground	0	0	0	0	0	1	0	0	0	0	på grund
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	ett huvud
aid	0	0	0	0	0	0	1	0	0	0	hjälpa
aiding	0	0	0	0	0	0	1	0	0	0	hjälpa till
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	sjuklig
ailment	0	0	0	0	0	0	0	0	0	0	sjukdom
aim	0	0	0	0	0	0	0	0	0	0	syfte
aimless	0	0	0	0	0	1	0	0	0	0	utan mål
air	0	0	0	0	0	0	0	0	0	0	luft
airbag	0	0	0	0	0	0	0	0	0	0	krockkudde
airlift	0	0	0	0	0	0	0	0	0	0	luftbro
airline	0	0	0	0	0	0	0	0	0	0	flygbolag
airman	0	0	0	0	0	0	0	0	0	0	flygare
airplane	0	0	0	0	0	0	0	0	0	0	flygplan
airport	0	1	0	0	0	0	0	0	0	0	flygplats
airs	0	0	1	0	0	1	0	0	0	0	förnäm min
airship	0	0	0	0	0	0	0	0	0	0	luftskepp
aisle	0	0	0	0	0	0	0	0	0	0	gång
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	på glänt
akin	0	0	0	0	0	0	0	0	0	1	besläktad
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	larm
alarming	0	0	0	1	0	1	0	0	1	0	oroväckande
alb	0	0	0	0	0	0	0	0	0	1	alba
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alkemi
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholism
alcove	0	0	0	0	0	0	0	0	0	0	alkov
alert	0	0	0	0	0	0	0	0	0	0	varna
alertness	0	1	0	1	0	0	1	0	1	0	vakenhet
alerts	0	1	0	1	0	0	0	0	1	0	varningar
alfalfa	0	0	0	0	0	0	0	0	0	0	blålusern
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraisk
algorithm	0	0	0	0	0	0	0	0	0	0	algoritm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	utomjording
alienate	1	0	1	0	0	1	0	0	0	0	fjärma
alienated	0	0	0	0	0	1	0	1	0	0	alienerad
alienation	1	0	1	1	0	1	0	1	0	0	alienation
alight	0	0	0	0	0	0	0	0	0	0	stiga av
aligned	0	0	0	0	0	0	0	0	0	0	Justerat
alignment	0	0	0	0	0	0	0	0	0	0	inriktning
alike	0	0	0	0	0	0	0	0	0	0	lika
alimentation	0	0	0	0	0	0	1	0	0	0	alimentation
alimony	0	0	0	0	0	1	0	0	0	0	underhållsbidrag
aliquot	0	0	0	0	0	0	0	0	0	0	alikvot
alive	0	1	0	0	1	0	1	0	0	1	Levande
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloider
allay	0	0	0	0	0	0	1	0	0	0	lugna
allegation	1	0	0	0	0	1	0	0	0	0	påstående
allege	0	0	0	0	0	1	0	0	0	0	påstå
alleged	0	0	0	0	0	0	0	0	0	0	påstås
allegiance	0	0	0	0	0	0	1	0	0	1	trohet
allegorical	0	0	0	0	0	0	0	0	0	0	allegorisk
allegory	0	0	0	0	0	0	0	0	0	0	allegori
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	lindra
alleviation	0	0	0	0	0	0	1	0	0	0	lindring
alley	0	0	0	0	0	0	0	0	0	0	gränd
alliance	0	0	0	0	0	0	0	0	0	1	allians
allied	0	0	0	0	0	0	1	0	0	1	allierad
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	fördela
allocation	0	0	0	0	0	0	0	0	0	0	tilldelning
allot	0	0	0	0	0	0	0	0	0	0	tilldela
allotment	0	0	0	0	0	0	0	0	0	0	tilldelning
allowable	0	0	0	0	0	0	1	0	0	0	tillåten
allowance	0	0	0	0	0	0	0	0	0	0	ersättning
allowed	0	0	0	0	0	0	0	0	0	0	tillåten
alloy	0	0	0	0	0	0	0	0	0	0	legering
allure	0	1	0	0	1	0	1	0	1	0	locka
alluring	0	0	0	0	0	0	1	0	0	0	lockande
allusion	0	0	0	0	0	0	0	0	0	0	allusion
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	alliera
almanac	0	0	0	0	0	0	0	0	0	0	almanacka
almighty	0	0	0	0	0	0	1	0	0	0	allsmäktig
aloft	0	0	0	0	0	0	0	0	0	0	högt upp
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	vid sidan av
aloof	0	0	0	0	0	1	0	0	0	0	på avstånd
aloud	0	0	0	0	0	0	0	0	0	0	högt
alphabet	0	0	0	0	0	0	0	0	0	0	alfabet
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabetisk
altar	0	0	0	0	0	0	0	0	0	0	altare
alter	0	0	0	0	0	0	0	0	0	0	ändra
alteration	0	0	0	0	0	0	0	0	0	0	ändring
altercation	1	0	0	0	0	1	0	0	0	0	gräl
altered	0	0	0	0	0	0	0	0	0	0	ändrats
alternate	0	0	0	0	0	0	0	0	0	0	alternativ
alternative	0	0	0	0	0	0	0	0	0	0	alternativ
altitude	0	0	0	0	0	0	0	0	0	0	höjd över havet
alto	0	0	0	0	0	0	0	0	0	0	alt-
altogether	0	0	0	0	0	0	0	0	0	0	sammanlagt
alumnus	0	0	0	0	0	0	0	0	0	0	alumn
alveolar	0	0	0	0	0	0	0	0	0	0	alveolär
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	sammanslagning
amass	0	0	0	0	0	0	0	0	0	0	samla
amateur	0	0	0	0	0	0	0	0	0	0	amatör-
amaze	0	0	0	0	0	0	0	0	1	0	förvåna
amazement	0	0	0	0	0	0	0	0	0	0	häpnad
amazingly	0	0	0	0	1	0	1	0	1	0	otroligt
ambassador	0	0	0	0	0	0	1	0	0	1	ambassadör
amber	0	0	0	0	0	0	0	0	0	0	bärnsten
ambient	0	0	0	0	0	0	0	0	0	0	omgivande
ambiguity	0	0	0	0	0	0	0	0	0	0	tvetydighet
ambiguous	0	0	0	0	0	1	0	0	0	0	tvetydig
ambit	0	0	0	0	0	0	0	0	0	0	omfång
ambition	0	1	0	0	1	0	1	0	0	1	ambition
ambitious	0	0	0	0	0	0	0	0	0	0	ambitiös
ambulance	0	0	0	1	0	0	0	0	0	1	ambulans
ambush	1	0	0	1	0	1	0	0	1	0	bakhåll
ameliorate	0	0	0	0	0	0	1	0	0	0	förbättra
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	mottaglig
amend	0	0	0	0	0	0	1	0	0	0	ändra
amendment	0	0	0	0	0	0	0	0	0	0	ändring
amends	0	0	0	0	0	0	1	0	0	0	gottgörelse
amenity	0	0	0	0	0	0	1	0	0	0	bekvämlighet
amethyst	0	0	0	0	0	0	0	0	0	0	ametist
amiable	0	0	0	0	0	0	1	0	0	0	älskvärd
amicable	0	0	0	0	1	0	1	0	0	0	vänskaplig
amid	0	0	0	0	0	0	0	0	0	0	mitt i
amidst	0	0	0	0	0	0	0	0	0	0	mitt i
ammonia	0	0	1	0	0	0	0	0	0	0	ammoniak
ammunition	0	0	0	0	0	0	0	0	0	0	ammunition
amnesia	0	0	0	0	0	1	0	0	0	0	amnesi
amnesty	0	0	0	0	1	0	1	0	0	0	amnesti
amorphous	0	0	0	0	0	0	0	0	0	0	amorf
amortization	0	0	0	0	0	0	0	0	0	1	amortering
amount	0	0	0	0	0	0	0	0	0	0	belopp
amour	0	1	0	0	1	0	1	0	0	1	amour
ampersand	0	0	0	0	0	0	0	0	0	0	et-tecken
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetamin
amphibian	0	0	0	0	0	0	0	0	0	0	amfibie
amphibious	0	0	0	0	0	0	0	0	0	0	amfibisk
amphitheater	0	0	0	0	0	0	0	0	0	0	amfiteater
amplification	0	0	0	0	0	0	0	0	0	0	förstärkning
amplify	0	0	0	0	0	0	0	0	0	0	förstärka
amplitude	0	0	0	0	0	0	0	0	0	0	amplitud
amply	0	0	0	0	0	0	0	0	0	0	rikligt
amputation	0	0	0	0	0	0	0	0	0	0	amputation
amulet	0	0	0	0	0	0	0	0	0	0	amulett
amuse	0	0	0	0	1	0	1	0	0	0	roa
