English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Bulgarian Word
advise	0	0	0	0	0	0	1	0	0	1	съветвам
advised	0	0	0	0	0	0	0	0	0	1	посъветван
advisement	0	0	0	0	0	0	0	0	0	0	съвет
adviser	0	0	0	0	0	0	1	0	0	1	съветник
advocacy	1	1	0	0	1	0	1	0	0	1	застъпничество
advocate	0	0	0	0	0	0	0	0	0	1	адвокат
aegis	0	0	0	0	0	0	0	0	0	0	егида
aeration	0	0	0	0	0	0	0	0	0	0	аериране
aerial	0	0	0	0	0	0	0	0	0	0	въздушен
aerodrome	0	0	0	0	0	0	0	0	0	0	летище
aerodynamics	0	0	0	0	0	0	0	0	0	0	аеродинамика
aeronautics	0	0	0	0	0	0	0	0	0	0	аеронавтика
aeroplane	0	0	0	0	0	0	0	0	0	0	самолет
aesthetic	0	0	0	0	0	0	1	0	0	0	естетичен
aesthetics	0	0	0	0	1	0	1	0	0	0	естетика
aetiology	0	0	0	0	0	0	0	0	0	0	етиология
afar	0	0	0	0	0	0	0	0	0	0	отдалече
affable	0	0	0	0	0	0	1	0	0	0	приветлив
affair	0	0	0	0	0	0	0	0	0	0	афера
affecting	0	0	0	0	0	0	0	0	0	0	засягащи
affection	0	0	0	0	1	0	1	0	0	1	привързаност
affections	0	0	0	0	0	0	0	0	0	0	привързаности
affiche	0	0	0	0	0	0	0	0	0	0	афиш
affidavit	0	0	0	0	0	0	0	0	0	0	клетвена декларация
affiliated	0	0	0	0	0	0	1	0	0	0	свързани
affiliation	0	0	0	0	0	0	0	0	0	0	принадлежност
affinity	0	0	0	0	0	0	0	0	0	0	афинитет
affirm	0	0	0	0	0	0	1	0	0	1	потвърждавам
affirmation	0	0	0	0	0	0	1	0	0	0	утвърждение
affirmative	0	0	0	0	0	0	1	0	0	0	утвърдителен
affirmatively	0	0	0	0	0	0	1	0	0	1	утвърдително
affix	0	0	0	0	0	0	0	0	0	0	афикс
afflict	0	0	0	1	0	1	0	1	0	0	поразявам
afflicted	0	0	0	0	0	1	0	0	0	0	засегнати
affliction	0	0	1	1	0	1	0	1	0	0	страдание
affluence	0	0	0	0	1	0	1	0	0	0	охолство
affluent	0	0	0	0	0	0	1	0	0	0	заможен
afford	0	0	0	0	0	0	1	0	0	0	си позволявам
affront	1	0	1	1	0	1	0	1	1	0	оскърбление
afield	0	0	0	0	0	0	0	0	0	0	на полето
afore	0	0	0	0	0	0	0	0	0	0	преди
aforementioned	0	0	0	0	0	0	0	0	0	0	споменато по-горе
aforesaid	0	0	0	0	0	0	0	0	0	0	гореспоменатото
afraid	0	0	0	1	0	1	0	0	0	0	страхувам се
afresh	0	0	0	0	0	0	0	0	0	0	наново
aft	0	0	0	0	0	0	0	0	0	0	кърмата
aftermath	1	0	1	1	0	1	0	1	0	0	последствия
afternoon	0	0	0	0	0	0	0	0	0	0	следобед
aftertaste	0	0	0	0	0	1	0	0	0	0	послевкус
afterthought	0	0	0	0	0	0	0	0	0	0	задна мисъл
aga	0	0	0	1	0	0	1	0	0	1	ага
agate	0	0	0	0	0	0	0	0	0	0	ахат
age	0	0	0	0	0	0	0	0	0	0	възраст
aged	0	0	0	0	0	0	0	0	0	0	остарял
agency	0	0	0	0	0	0	0	0	0	0	агенция
agent	0	0	0	0	0	0	0	0	0	0	агент
agglomeration	0	0	0	0	0	0	0	0	0	0	агломерация
aggravated	1	0	0	0	0	1	0	0	0	0	утежнено
aggravating	1	0	0	0	0	1	0	1	0	0	утежняващо
aggravation	1	0	1	0	0	1	0	0	0	0	влошаване
aggregate	0	0	0	0	0	0	0	0	0	0	агрегат
aggregation	0	0	0	0	0	0	0	0	0	0	агрегиране
aggression	1	0	0	1	0	1	0	0	0	0	агресия
aggressive	1	0	0	1	0	1	0	0	0	0	агресивен
aggressor	1	0	0	1	0	1	0	0	0	0	агресор
aghast	0	0	1	1	0	1	0	0	1	0	ужасен
agile	0	0	0	0	0	0	1	0	0	0	пъргав
agility	0	0	0	0	0	0	1	0	0	0	ловкост
agitated	1	0	0	0	0	1	0	0	0	0	развълнуван
agitation	1	0	0	0	0	1	0	0	0	0	възбуда
agnostic	0	0	0	0	0	0	0	0	0	0	агностик
ago	0	0	0	0	0	0	0	0	0	0	преди
agonizing	0	0	0	1	0	1	0	0	0	0	агонизиращ
agony	1	0	0	1	0	1	0	1	0	0	агония
agree	0	0	0	0	0	0	1	0	0	0	Съгласен
agreeable	0	0	0	0	0	0	1	0	0	1	приятен
agreed	0	0	0	0	0	0	1	0	0	1	съгласен
agreeing	0	0	0	0	0	0	1	0	0	1	съгласен
agreement	0	0	0	0	0	0	1	0	0	1	споразумение
agricultural	0	0	0	0	0	0	0	0	0	0	земеделски
agriculture	0	0	0	0	0	0	1	0	0	0	селско стопанство
aground	0	0	0	0	0	1	0	0	0	0	заседнал
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	напред
aid	0	0	0	0	0	0	1	0	0	0	помощ
aiding	0	0	0	0	0	0	1	0	0	0	подпомагане
ail	0	0	0	0	0	1	0	1	0	0	болен
ailing	0	0	0	1	0	1	0	1	0	0	болен
ailment	0	0	0	0	0	0	0	0	0	0	неразположение
aim	0	0	0	0	0	0	0	0	0	0	цел
aimless	0	0	0	0	0	1	0	0	0	0	безцелно
air	0	0	0	0	0	0	0	0	0	0	въздух
airbag	0	0	0	0	0	0	0	0	0	0	въздушна възглавница
airlift	0	0	0	0	0	0	0	0	0	0	въздушен транспорт
airline	0	0	0	0	0	0	0	0	0	0	авиокомпания
airman	0	0	0	0	0	0	0	0	0	0	летец
airplane	0	0	0	0	0	0	0	0	0	0	самолет
airport	0	1	0	0	0	0	0	0	0	0	летище
airs	0	0	1	0	0	1	0	0	0	0	излъчвания
airship	0	0	0	0	0	0	0	0	0	0	дирижабъл
aisle	0	0	0	0	0	0	0	0	0	0	пътека
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	открехнат
akin	0	0	0	0	0	0	0	0	0	1	сроден
alabaster	0	0	0	0	0	0	1	0	0	0	алабастър
alarm	0	0	0	1	0	1	0	0	1	0	аларма
alarming	0	0	0	1	0	1	0	0	1	0	тревожно
alb	0	0	0	0	0	0	0	0	0	1	алб
album	0	0	0	0	0	0	0	0	0	0	албум
alchemy	0	0	0	0	0	0	0	0	0	0	алхимия
alcohol	0	0	0	0	0	0	0	0	0	0	алкохол
alcoholism	1	0	1	1	0	1	0	1	0	0	алкохолизъм
alcove	0	0	0	0	0	0	0	0	0	0	ниша
alert	0	0	0	0	0	0	0	0	0	0	тревога
alertness	0	1	0	1	0	0	1	0	1	0	бдителност
alerts	0	1	0	1	0	0	0	0	1	0	сигнали
alfalfa	0	0	0	0	0	0	0	0	0	0	люцерна
algebra	0	0	0	0	0	0	0	0	0	0	алгебра
algebraic	0	0	0	0	0	0	0	0	0	0	алгебричен
algorithm	0	0	0	0	0	0	0	0	0	0	алгоритъм
alibi	0	0	0	0	0	0	0	0	0	0	алиби
alien	0	0	1	1	0	1	0	0	0	0	извънземно
alienate	1	0	1	0	0	1	0	0	0	0	отчуждавам
alienated	0	0	0	0	0	1	0	1	0	0	отчужден
alienation	1	0	1	1	0	1	0	1	0	0	отчуждение
alight	0	0	0	0	0	0	0	0	0	0	свети
aligned	0	0	0	0	0	0	0	0	0	0	подравнен
alignment	0	0	0	0	0	0	0	0	0	0	подравняване
alike	0	0	0	0	0	0	0	0	0	0	подобни
alimentation	0	0	0	0	0	0	1	0	0	0	хранене
alimony	0	0	0	0	0	1	0	0	0	0	издръжка
aliquot	0	0	0	0	0	0	0	0	0	0	аликвотна част
alive	0	1	0	0	1	0	1	0	0	1	жив
alkali	0	0	0	0	0	0	0	0	0	0	алкали
alkaloids	0	0	0	0	0	0	0	0	0	0	алкалоиди
allay	0	0	0	0	0	0	1	0	0	0	успокоявам
allegation	1	0	0	0	0	1	0	0	0	0	твърдение
allege	0	0	0	0	0	1	0	0	0	0	твърдят
alleged	0	0	0	0	0	0	0	0	0	0	предполагаем
allegiance	0	0	0	0	0	0	1	0	0	1	вярност
allegorical	0	0	0	0	0	0	0	0	0	0	алегоричен
allegory	0	0	0	0	0	0	0	0	0	0	алегория
allegro	0	0	0	0	0	0	1	0	0	0	алегро
alleviate	0	0	0	0	0	0	1	0	0	0	облекчавам
alleviation	0	0	0	0	0	0	1	0	0	0	облекчаване
alley	0	0	0	0	0	0	0	0	0	0	алея
alliance	0	0	0	0	0	0	0	0	0	1	съюз
allied	0	0	0	0	0	0	1	0	0	1	съюзени
alligator	0	0	0	0	0	0	0	0	0	0	алигатор
allocate	0	0	0	0	0	0	0	0	0	0	разпределя
allocation	0	0	0	0	0	0	0	0	0	0	разпределяне
allot	0	0	0	0	0	0	0	0	0	0	разпределям
allotment	0	0	0	0	0	0	0	0	0	0	разпределение
allowable	0	0	0	0	0	0	1	0	0	0	допустимо
allowance	0	0	0	0	0	0	0	0	0	0	надбавка
allowed	0	0	0	0	0	0	0	0	0	0	позволен
alloy	0	0	0	0	0	0	0	0	0	0	сплав
allure	0	1	0	0	1	0	1	0	1	0	привлекателност
alluring	0	0	0	0	0	0	1	0	0	0	примамлив
allusion	0	0	0	0	0	0	0	0	0	0	алюзия
alluvial	0	0	0	0	0	0	0	0	0	0	алувиален
ally	0	0	0	0	0	0	1	0	0	1	съюзник
almanac	0	0	0	0	0	0	0	0	0	0	алманах
almighty	0	0	0	0	0	0	1	0	0	0	всемогъщ
aloft	0	0	0	0	0	0	0	0	0	0	нагоре
aloha	0	1	0	0	1	0	1	0	0	0	алоха
alongside	0	0	0	0	0	0	0	0	0	0	наред
aloof	0	0	0	0	0	1	0	0	0	0	настрана
aloud	0	0	0	0	0	0	0	0	0	0	на глас
alphabet	0	0	0	0	0	0	0	0	0	0	азбука
alphabetical	0	0	0	0	0	0	0	0	0	0	азбучен
altar	0	0	0	0	0	0	0	0	0	0	олтар
alter	0	0	0	0	0	0	0	0	0	0	променям
alteration	0	0	0	0	0	0	0	0	0	0	промяна
altercation	1	0	0	0	0	1	0	0	0	0	кавга
altered	0	0	0	0	0	0	0	0	0	0	променен
alternate	0	0	0	0	0	0	0	0	0	0	редуват се
alternative	0	0	0	0	0	0	0	0	0	0	алтернатива
altitude	0	0	0	0	0	0	0	0	0	0	надморска височина
alto	0	0	0	0	0	0	0	0	0	0	алт
altogether	0	0	0	0	0	0	0	0	0	0	като цяло
alumnus	0	0	0	0	0	0	0	0	0	0	възпитаник
alveolar	0	0	0	0	0	0	0	0	0	0	алвеоларен
amalgam	0	0	0	0	0	0	0	0	0	0	амалгама
amalgamation	0	0	0	0	0	0	0	0	0	0	обединяване
amass	0	0	0	0	0	0	0	0	0	0	трупам
amateur	0	0	0	0	0	0	0	0	0	0	любителски
amaze	0	0	0	0	0	0	0	0	1	0	учудвам
amazement	0	0	0	0	0	0	0	0	0	0	удивление
amazingly	0	0	0	0	1	0	1	0	1	0	невероятно
ambassador	0	0	0	0	0	0	1	0	0	1	посланик
amber	0	0	0	0	0	0	0	0	0	0	кехлибар
ambient	0	0	0	0	0	0	0	0	0	0	околна среда
ambiguity	0	0	0	0	0	0	0	0	0	0	неяснота
ambiguous	0	0	0	0	0	1	0	0	0	0	двусмислен
ambit	0	0	0	0	0	0	0	0	0	0	обхват
ambition	0	1	0	0	1	0	1	0	0	1	амбиция
ambitious	0	0	0	0	0	0	0	0	0	0	амбициозен
ambulance	0	0	0	1	0	0	0	0	0	1	линейка
ambush	1	0	0	1	0	1	0	0	1	0	засада
ameliorate	0	0	0	0	0	0	1	0	0	0	подобрявам
amen	0	0	0	0	1	0	1	0	0	1	амин
amenable	0	0	0	0	0	0	1	0	0	0	податлив
amend	0	0	0	0	0	0	1	0	0	0	изменям
amendment	0	0	0	0	0	0	0	0	0	0	изменение
amends	0	0	0	0	0	0	1	0	0	0	поправя
amenity	0	0	0	0	0	0	1	0	0	0	удобство
amethyst	0	0	0	0	0	0	0	0	0	0	аметист
amiable	0	0	0	0	0	0	1	0	0	0	любезен
amicable	0	0	0	0	1	0	1	0	0	0	приятелски
amid	0	0	0	0	0	0	0	0	0	0	сред
amidst	0	0	0	0	0	0	0	0	0	0	сред
ammonia	0	0	1	0	0	0	0	0	0	0	амоняк
ammunition	0	0	0	0	0	0	0	0	0	0	боеприпаси
amnesia	0	0	0	0	0	1	0	0	0	0	амнезия
amnesty	0	0	0	0	1	0	1	0	0	0	амнистия
amorphous	0	0	0	0	0	0	0	0	0	0	аморфен
amortization	0	0	0	0	0	0	0	0	0	1	амортизация
amount	0	0	0	0	0	0	0	0	0	0	количество
amour	0	1	0	0	1	0	1	0	0	1	любов
ampersand	0	0	0	0	0	0	0	0	0	0	амперсанд
amphetamines	0	0	1	0	0	1	0	0	0	0	амфетамини
amphibian	0	0	0	0	0	0	0	0	0	0	земноводно
amphibious	0	0	0	0	0	0	0	0	0	0	амфибия
amphitheater	0	0	0	0	0	0	0	0	0	0	амфитеатър
amplification	0	0	0	0	0	0	0	0	0	0	усилване
amplify	0	0	0	0	0	0	0	0	0	0	усилвам
amplitude	0	0	0	0	0	0	0	0	0	0	амплитуда
amply	0	0	0	0	0	0	0	0	0	0	обилно
amputation	0	0	0	0	0	0	0	0	0	0	ампутация
amulet	0	0	0	0	0	0	0	0	0	0	амулет
amuse	0	0	0	0	1	0	1	0	0	0	забавлявам
amused	0	0	0	0	1	0	1	0	0	0	развеселен
