English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Slovak Word
abstention	0	0	0	0	0	0	0	0	0	0	zdržania sa hlasovania
abstinence	0	0	0	0	0	0	0	0	0	0	abstinencia
abstract	0	0	0	0	0	0	0	0	0	0	abstraktné
abstraction	0	0	0	0	0	0	0	0	0	0	abstrakcie
absurd	0	0	0	0	0	1	0	0	0	0	absurdné
absurdity	0	0	0	0	0	1	0	0	0	0	absurdnosť
abundance	0	1	1	0	1	1	1	0	0	1	hojnosti
abundant	0	0	0	0	1	0	1	0	0	0	hojný
abuse	1	0	1	1	0	1	0	1	0	0	zneužívanie
abutment	0	0	0	0	0	0	0	0	0	0	opora
aby	0	0	0	0	0	0	0	0	0	0	priepasť
abysmal	0	0	0	0	0	1	0	1	0	0	priepastný
abyss	0	0	0	1	0	1	0	1	0	0	priepasť
academic	0	0	0	0	0	0	1	0	0	1	akademický
academy	0	0	0	0	0	0	1	0	0	0	akadémie
accede	0	0	0	0	0	0	0	0	0	0	pristúpiť
accelerate	0	1	0	0	0	0	0	0	0	0	urýchliť
acceleration	0	0	0	0	0	0	0	0	0	0	zrýchlenie
accent	0	0	0	0	0	0	0	0	0	0	prízvuk
accentuate	0	0	0	0	0	0	0	0	0	0	zdôrazniť
accept	0	0	0	0	0	0	0	0	0	0	súhlasiť
acceptable	0	0	0	0	0	0	1	0	0	0	prijateľné
acceptance	0	0	0	0	0	0	1	0	0	0	prijatie
access	0	0	0	0	0	0	0	0	0	0	prístup
accessible	0	0	0	0	0	0	1	0	0	0	prístupný
accession	0	0	0	0	0	0	0	0	0	0	pristúpenie
accessory	0	0	0	0	0	0	0	0	0	0	príslušenstvo
accident	0	0	0	1	0	1	0	1	1	0	nehoda
accidental	0	0	0	1	0	1	0	0	1	0	náhodný
accidentally	0	0	0	0	0	0	0	0	1	0	náhodne
accolade	0	1	0	0	1	0	1	0	1	1	vyznamenanie
accommodate	0	0	0	0	0	0	0	0	0	0	ubytovať
accommodation	0	0	0	0	0	0	1	0	0	0	ubytovanie
accompaniment	0	1	0	0	1	0	1	0	0	1	sprevádzanie
accompany	0	0	0	0	0	0	0	0	0	0	sprevádzať
accompanying	0	0	0	0	0	0	0	0	0	0	sprevádzajúci
accomplice	0	0	0	0	0	0	0	0	0	0	spolupáchateľ
accomplish	0	0	0	0	1	0	1	0	0	0	splniť
accomplished	0	0	0	0	1	0	1	0	0	0	splnené
accomplishment	0	0	0	0	0	0	1	0	0	0	úspech
accord	0	0	0	0	0	0	1	0	0	1	súhlas
accordance	0	0	0	0	0	0	0	0	0	0	súlad
accordion	0	0	0	0	0	0	0	0	0	0	akordeón
account	0	0	0	0	0	0	0	0	0	1	účtu
accountability	0	0	0	0	0	0	1	0	0	1	zodpovednosť
accountable	0	0	0	0	0	0	1	0	0	1	zodpovedný
accountant	0	0	0	0	0	0	0	0	0	1	účtovník
accounting	0	0	0	0	0	0	0	0	0	0	účtovníctvo
accounts	0	0	0	0	0	0	0	0	0	1	účtov
accredited	0	0	0	0	0	0	1	0	0	1	akreditovaný
accretion	0	0	0	0	0	0	0	0	0	0	narastanie
accrue	0	0	0	0	0	0	0	0	0	0	pribúdať
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	hromadiť
accumulation	0	0	0	0	0	0	0	0	0	0	akumulácia
accuracy	0	0	0	0	0	0	0	0	0	0	presnosť
accurate	0	0	0	0	0	0	1	0	0	1	presné
accursed	1	0	0	1	0	1	0	1	0	0	prekliaty
accusation	1	0	1	0	0	1	0	0	0	0	obvinenie
accusative	0	0	0	0	0	1	0	0	0	0	akuzatív
accused	1	0	0	1	0	1	0	0	0	0	obvinený
accuser	1	0	0	1	0	1	0	0	0	0	žalobca
accusing	1	0	0	1	0	1	0	0	0	0	obviňujúci
accustomed	0	0	0	0	0	0	0	0	0	0	zvyknutý
ace	0	0	0	0	0	0	1	0	0	0	eso
acetic	0	0	0	0	0	0	0	0	0	0	octová
ache	0	0	0	0	0	1	0	1	0	0	bolesť
achieve	0	0	0	0	1	0	1	0	0	1	dosiahnuť
achievement	0	1	0	0	1	0	1	0	0	1	úspech
aching	0	0	0	0	0	1	0	1	0	0	boľavý
acid	0	0	0	0	0	1	0	0	0	0	kyselina
acidity	0	0	0	0	0	0	0	0	0	0	kyslosť
acknowledge	0	0	0	0	0	0	0	0	0	0	potvrdiť
acknowledged	0	0	0	0	0	0	0	0	0	0	uznávaný
acknowledgment	0	0	0	0	0	0	1	0	0	0	uznanie
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustické
acoustics	0	0	0	0	0	0	0	0	0	0	akustika
acquaint	0	0	0	0	0	0	0	0	0	0	zoznámiť
acquaintance	0	0	0	0	0	0	0	0	0	0	známosť
acquainted	0	0	0	0	0	0	0	0	0	0	zoznámil
acquiescence	0	0	0	0	0	0	0	0	0	0	súhlas
acquire	0	0	0	0	0	0	1	0	0	0	získať
acquiring	0	1	0	0	0	0	1	0	0	0	získavanie
acquisition	0	0	0	0	0	0	0	0	0	0	akvizície
acquisitions	0	0	0	0	0	0	0	0	0	0	akvizícií
acreage	0	0	0	0	0	0	0	0	0	0	výmery
acres	0	0	0	0	0	0	0	0	0	0	akrov
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	konať
acting	0	0	0	0	0	0	0	0	0	0	herectvo
action	0	0	0	0	0	0	1	0	0	0	akcie
actionable	1	0	1	0	0	1	0	0	0	0	hodnotný
active	0	0	0	0	0	0	0	0	0	0	aktívny
activity	0	0	0	0	0	0	0	0	0	0	činnosť
actor	0	0	0	0	0	0	0	0	0	0	herec
actual	0	0	0	0	0	0	1	0	0	0	skutočné
actuality	0	0	0	0	0	0	0	0	0	0	aktuálnosť
actuary	0	0	0	0	0	0	0	0	0	0	poistný matematik
acuity	0	0	0	0	0	0	1	0	0	0	ostrosť
acumen	0	0	0	0	0	0	1	0	0	0	bystrosť
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktúra
acutely	0	0	0	0	0	0	0	0	0	0	akútne
adage	0	0	0	0	0	0	0	0	0	0	príslovie
adamant	0	0	0	0	0	0	0	0	0	0	neoblomný
adapt	0	0	0	0	0	0	1	0	0	0	prispôsobiť sa
adaptable	0	0	0	0	0	0	1	0	0	0	prispôsobivý
add	0	0	0	0	0	0	0	0	0	0	pridať
added	0	0	0	0	0	0	0	0	0	0	pridané
addendum	0	0	0	0	0	0	0	0	0	0	dodatok
adder	1	0	1	1	0	1	0	1	0	0	sčítačka
addiction	0	0	0	0	0	1	0	0	0	0	závislosť
addition	0	0	0	0	0	0	0	0	0	0	prídavok
additional	0	0	0	0	0	0	0	0	0	0	dodatočné
additive	0	0	0	0	0	0	0	0	0	0	aditívum
address	0	0	0	0	0	0	0	0	0	0	adresu
addressee	0	0	0	0	0	0	0	0	0	0	adresát
addresses	0	1	0	0	0	0	1	0	0	0	adresy
adept	0	0	0	0	0	0	1	0	0	0	adept
adequacy	0	0	0	0	0	0	1	0	0	0	primeranosť
adequate	0	0	0	0	0	0	0	0	0	0	primerané
adhere	0	0	0	0	0	0	0	0	0	0	dodržiavať
adherence	0	0	0	0	0	0	0	0	0	0	dodržiavanie
adherent	0	0	0	0	0	0	0	0	0	0	prívrženec
adhering	0	0	0	0	0	0	0	0	0	1	priľnavý
adhesion	0	0	0	0	0	0	0	0	0	0	priľnavosť
adhesive	0	0	0	0	0	0	0	0	0	0	lepidlo
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	tukový
adjacency	0	0	0	0	0	0	0	0	0	0	susedstvo
adjacent	0	0	0	0	0	0	0	0	0	0	priľahlé
adjective	0	0	0	0	0	0	0	0	0	0	prídavné meno
adjoining	0	0	0	0	0	0	0	0	0	0	priľahlé
adjourn	0	0	0	0	0	0	0	0	0	0	odročiť
adjournment	0	0	0	0	0	0	0	0	0	0	odročenie
adjudicate	0	0	0	1	0	1	0	0	0	0	súdiť
adjudication	0	0	0	0	0	0	0	0	0	0	rozsudok
adjunct	0	0	0	0	0	0	1	0	0	0	prídavok
adjust	0	0	0	0	0	0	0	0	0	0	upraviť
adjustment	0	0	0	0	0	0	0	0	0	0	úprava
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvans
administer	0	0	0	0	0	0	0	0	0	0	spravovať
administration	0	0	0	0	0	0	0	0	0	0	administratívy
administrative	0	0	0	0	0	0	0	0	0	1	administratívne
admirable	0	0	0	0	1	0	1	0	0	1	obdivuhodný
admiral	0	0	0	0	0	0	1	0	0	1	admirál
admiralty	0	0	0	0	0	0	0	0	0	0	admirality
admiration	0	0	0	0	1	0	1	0	0	1	obdiv
admire	0	0	0	0	0	0	1	0	0	1	obdivovať
admirer	0	0	0	0	0	0	1	0	0	0	obdivovateľ
admissibility	0	0	0	0	0	0	0	0	0	0	prípustnosť
admissible	0	0	0	0	0	0	1	0	0	1	prípustné
admission	0	0	0	0	0	0	0	0	0	0	vstupné
admit	0	0	0	0	0	0	0	0	0	0	pripustiť
admittance	0	0	0	0	0	0	0	0	0	0	prijímanie
admitted	0	0	0	0	0	0	0	0	0	0	priznal
admitting	0	0	0	0	0	0	0	0	0	0	priznávajúc
admixture	0	0	0	0	0	0	0	0	0	0	prímesou
admonition	0	0	0	1	0	1	0	0	0	0	napomenutie
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	dospievania
adolescent	0	0	0	0	0	0	0	0	0	0	dospievajúci
adopt	0	0	0	0	0	0	0	0	0	0	adoptovať
adoption	0	0	0	0	0	0	0	0	0	0	adopcia
adorable	0	0	0	0	1	0	1	0	0	0	rozkošný
adoration	0	0	0	0	1	0	1	0	0	1	adorácia
adore	0	1	0	0	1	0	1	0	0	1	zbožňovať
adorn	0	0	0	0	0	0	0	0	0	0	zdobiť
adornment	0	0	0	0	0	0	0	0	0	0	ozdoba
adrift	0	1	0	1	0	1	0	1	0	0	unášaný
adult	0	0	0	0	0	0	0	0	0	0	dospelý
adulterated	0	0	0	0	0	1	0	0	0	0	falšované
adultery	0	0	1	0	0	1	0	1	0	0	cudzoložstvo
advance	0	1	0	1	1	0	1	0	1	0	vopred
advanced	0	0	0	0	0	0	1	0	0	0	pokročilé
advancement	0	0	0	0	0	0	1	0	0	0	pokrok
advancing	0	0	0	0	0	0	0	0	0	0	napredovanie
advantage	0	0	0	0	0	0	1	0	0	0	výhodu
advantageous	0	0	0	0	0	0	1	0	0	0	výhodný
advent	0	1	0	0	1	0	1	0	0	1	advent
adventure	0	1	0	0	0	0	1	0	0	0	dobrodružstvo
adventurer	0	0	0	0	0	0	0	0	0	0	dobrodruh
adventurous	0	0	0	0	0	0	1	0	0	0	dobrodružný
adversary	1	0	0	0	0	1	0	0	0	0	protivník
adverse	1	0	1	1	0	1	0	1	0	0	nepriaznivé
adversity	1	0	0	1	0	1	0	1	0	0	protivenstvo
advertise	0	0	0	0	0	0	0	0	0	0	inzerovať
advertisement	0	0	0	0	0	0	0	0	0	0	reklama
advice	0	0	0	0	0	0	0	0	0	1	radu
advisable	0	0	0	0	0	0	1	0	0	1	vhodné
advise	0	0	0	0	0	0	1	0	0	1	poradiť
advised	0	0	0	0	0	0	0	0	0	1	poradil
advisement	0	0	0	0	0	0	0	0	0	0	poradenstvo
adviser	0	0	0	0	0	0	1	0	0	1	poradca
advocacy	1	1	0	0	1	0	1	0	0	1	advokácie
advocate	0	0	0	0	0	0	0	0	0	1	obhajca
aegis	0	0	0	0	0	0	0	0	0	0	záštita
aeration	0	0	0	0	0	0	0	0	0	0	prevzdušňovanie
aerial	0	0	0	0	0	0	0	0	0	0	anténa
aerodrome	0	0	0	0	0	0	0	0	0	0	letisko
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamika
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautika
aeroplane	0	0	0	0	0	0	0	0	0	0	lietadlo
aesthetic	0	0	0	0	0	0	1	0	0	0	estetický
aesthetics	0	0	0	0	1	0	1	0	0	0	estetiky
aetiology	0	0	0	0	0	0	0	0	0	0	etiológie
afar	0	0	0	0	0	0	0	0	0	0	ďaleko
affable	0	0	0	0	0	0	1	0	0	0	prívetivý
affair	0	0	0	0	0	0	0	0	0	0	aféra
affecting	0	0	0	0	0	0	0	0	0	0	ovplyvňujúce
affection	0	0	0	0	1	0	1	0	0	1	náklonnosť
affections	0	0	0	0	0	0	0	0	0	0	náklonnosti
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	čestné vyhlásenie
affiliated	0	0	0	0	0	0	1	0	0	0	pridružený
affiliation	0	0	0	0	0	0	0	0	0	0	príslušnosť
affinity	0	0	0	0	0	0	0	0	0	0	afinita
affirm	0	0	0	0	0	0	1	0	0	1	potvrdiť
affirmation	0	0	0	0	0	0	1	0	0	0	afirmácia
affirmative	0	0	0	0	0	0	1	0	0	0	kladný
affirmatively	0	0	0	0	0	0	1	0	0	1	kladne
affix	0	0	0	0	0	0	0	0	0	0	pripevniť
afflict	0	0	0	1	0	1	0	1	0	0	trápiť
afflicted	0	0	0	0	0	1	0	0	0	0	postihnutý
affliction	0	0	1	1	0	1	0	1	0	0	trápenie
affluence	0	0	0	0	1	0	1	0	0	0	bohatstva
affluent	0	0	0	0	0	0	1	0	0	0	zámožný
afford	0	0	0	0	0	0	1	0	0	0	dovoliť
affront	1	0	1	1	0	1	0	1	1	0	uraziť
afield	0	0	0	0	0	0	0	0	0	0	v zahraničí
afore	0	0	0	0	0	0	0	0	0	0	predtým
aforementioned	0	0	0	0	0	0	0	0	0	0	zhora
aforesaid	0	0	0	0	0	0	0	0	0	0	spomenuté
afraid	0	0	0	1	0	1	0	0	0	0	strach
afresh	0	0	0	0	0	0	0	0	0	0	nanovo
aft	0	0	0	0	0	0	0	0	0	0	zadný
aftermath	1	0	1	1	0	1	0	1	0	0	následky
afternoon	0	0	0	0	0	0	0	0	0	0	popoludnie
aftertaste	0	0	0	0	0	1	0	0	0	0	dochuť
afterthought	0	0	0	0	0	0	0	0	0	0	dodatočný nápad
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agát
age	0	0	0	0	0	0	0	0	0	0	Vek
aged	0	0	0	0	0	0	0	0	0	0	vo veku
agency	0	0	0	0	0	0	0	0	0	0	agentúra
agent	0	0	0	0	0	0	0	0	0	0	agent
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomerácie
aggravated	1	0	0	0	0	1	0	0	0	0	zhoršené
aggravating	1	0	0	0	0	1	0	1	0	0	priťažujúce
aggravation	1	0	1	0	0	1	0	0	0	0	zhoršenie
aggregate	0	0	0	0	0	0	0	0	0	0	agregát
aggregation	0	0	0	0	0	0	0	0	0	0	agregácia
aggression	1	0	0	1	0	1	0	0	0	0	agresivita
aggressive	1	0	0	1	0	1	0	0	0	0	agresívny
aggressor	1	0	0	1	0	1	0	0	0	0	agresor
aghast	0	0	1	1	0	1	0	0	1	0	zdesený
agile	0	0	0	0	0	0	1	0	0	0	agilný
agility	0	0	0	0	0	0	1	0	0	0	obratnosť
agitated	1	0	0	0	0	1	0	0	0	0	rozrušený
agitation	1	0	0	0	0	1	0	0	0	0	agitácia
agnostic	0	0	0	0	0	0	0	0	0	0	agnostik
ago	0	0	0	0	0	0	0	0	0	0	pred
agonizing	0	0	0	1	0	1	0	0	0	0	mučivý
agony	1	0	0	1	0	1	0	1	0	0	agónia
agree	0	0	0	0	0	0	1	0	0	0	súhlasiť
agreeable	0	0	0	0	0	0	1	0	0	1	príjemné
agreed	0	0	0	0	0	0	1	0	0	1	súhlasil
agreeing	0	0	0	0	0	0	1	0	0	1	súhlasiť
agreement	0	0	0	0	0	0	1	0	0	1	dohoda
agricultural	0	0	0	0	0	0	0	0	0	0	poľnohospodárske
agriculture	0	0	0	0	0	0	1	0	0	0	poľnohospodárstvo
aground	0	0	0	0	0	1	0	0	0	0	na plytčine
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	dopredu
aid	0	0	0	0	0	0	1	0	0	0	pomoc
aiding	0	0	0	0	0	0	1	0	0	0	napomáhanie
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	chorľavejúcu
ailment	0	0	0	0	0	0	0	0	0	0	neduhom
aim	0	0	0	0	0	0	0	0	0	0	cieľ
aimless	0	0	0	0	0	1	0	0	0	0	bezcieľne
air	0	0	0	0	0	0	0	0	0	0	vzduchu
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	letecká preprava
airline	0	0	0	0	0	0	0	0	0	0	letecká spoločnosť
airman	0	0	0	0	0	0	0	0	0	0	letec
airplane	0	0	0	0	0	0	0	0	0	0	lietadlo
airport	0	1	0	0	0	0	0	0	0	0	LETISKO
airs	0	0	1	0	0	1	0	0	0	0	vysiela
airship	0	0	0	0	0	0	0	0	0	0	vzducholoď
aisle	0	0	0	0	0	0	0	0	0	0	ulička
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	pootvorené
akin	0	0	0	0	0	0	0	0	0	1	podobný
alabaster	0	0	0	0	0	0	1	0	0	0	alabastrový
alarm	0	0	0	1	0	1	0	0	1	0	alarm
alarming	0	0	0	1	0	1	0	0	1	0	alarmujúce
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchýmia
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholizmus
alcove	0	0	0	0	0	0	0	0	0	0	výklenok
alert	0	0	0	0	0	0	0	0	0	0	upozorniť
alertness	0	1	0	1	0	0	1	0	1	0	bdelosť
alerts	0	1	0	1	0	0	0	0	1	0	upozornenia
alfalfa	0	0	0	0	0	0	0	0	0	0	lucerna
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraické
algorithm	0	0	0	0	0	0	0	0	0	0	algoritmu
alibi	0	0	0	0	0	0	0	0	0	0	alibistické
alien	0	0	1	1	0	1	0	0	0	0	Votrelec
alienate	1	0	1	0	0	1	0	0	0	0	odcudziť
alienated	0	0	0	0	0	1	0	1	0	0	odcudzený
alienation	1	0	1	1	0	1	0	1	0	0	odcudzenie
alight	0	0	0	0	0	0	0	0	0	0	vystúpiť
aligned	0	0	0	0	0	0	0	0	0	0	zarovnané
alignment	0	0	0	0	0	0	0	0	0	0	zarovnanie
alike	0	0	0	0	0	0	0	0	0	0	podobne
alimentation	0	0	0	0	0	0	1	0	0	0	stravovanie
alimony	0	0	0	0	0	1	0	0	0	0	výživné
aliquot	0	0	0	0	0	0	0	0	0	0	alikvótne
alive	0	1	0	0	1	0	1	0	0	1	nažive
alkali	0	0	0	0	0	0	0	0	0	0	alkálie
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloidy
allay	0	0	0	0	0	0	1	0	0	0	zmierniť
allegation	1	0	0	0	0	1	0	0	0	0	obvinenie
allege	0	0	0	0	0	1	0	0	0	0	tvrdenie
alleged	0	0	0	0	0	0	0	0	0	0	údajný
allegiance	0	0	0	0	0	0	1	0	0	1	vernosť
allegorical	0	0	0	0	0	0	0	0	0	0	alegorický
allegory	0	0	0	0	0	0	0	0	0	0	alegória
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	zmierniť
alleviation	0	0	0	0	0	0	1	0	0	0	zmiernenie
alley	0	0	0	0	0	0	0	0	0	0	alej
alliance	0	0	0	0	0	0	0	0	0	1	aliancie
allied	0	0	0	0	0	0	1	0	0	1	spriaznený
alligator	0	0	0	0	0	0	0	0	0	0	aligátor
allocate	0	0	0	0	0	0	0	0	0	0	prideliť
allocation	0	0	0	0	0	0	0	0	0	0	pridelenie
allot	0	0	0	0	0	0	0	0	0	0	prideliť
allotment	0	0	0	0	0	0	0	0	0	0	prídel
allowable	0	0	0	0	0	0	1	0	0	0	prípustné
allowance	0	0	0	0	0	0	0	0	0	0	príspevok
allowed	0	0	0	0	0	0	0	0	0	0	povolený
alloy	0	0	0	0	0	0	0	0	0	0	zliatina
allure	0	1	0	0	1	0	1	0	1	0	lákadlom
alluring	0	0	0	0	0	0	1	0	0	0	lákavý
allusion	0	0	0	0	0	0	0	0	0	0	narážka
alluvial	0	0	0	0	0	0	0	0	0	0	aluviálne
ally	0	0	0	0	0	0	1	0	0	1	spojenca
almanac	0	0	0	0	0	0	0	0	0	0	almanach
almighty	0	0	0	0	0	0	1	0	0	0	všemohúci
aloft	0	0	0	0	0	0	0	0	0	0	hore
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	vedľa
aloof	0	0	0	0	0	1	0	0	0	0	rezervovaný
aloud	0	0	0	0	0	0	0	0	0	0	nahlas
alphabet	0	0	0	0	0	0	0	0	0	0	abeceda
alphabetical	0	0	0	0	0	0	0	0	0	0	abecedne
altar	0	0	0	0	0	0	0	0	0	0	oltár
alter	0	0	0	0	0	0	0	0	0	0	zmeniť
alteration	0	0	0	0	0	0	0	0	0	0	zmena
altercation	1	0	0	0	0	1	0	0	0	0	hádka
altered	0	0	0	0	0	0	0	0	0	0	pozmenené
alternate	0	0	0	0	0	0	0	0	0	0	striedať
alternative	0	0	0	0	0	0	0	0	0	0	alternatíva
altitude	0	0	0	0	0	0	0	0	0	0	nadmorská výška
alto	0	0	0	0	0	0	0	0	0	0	alt
altogether	0	0	0	0	0	0	0	0	0	0	celkom
alumnus	0	0	0	0	0	0	0	0	0	0	absolvent
alveolar	0	0	0	0	0	0	0	0	0	0	alveolárnych
amalgam	0	0	0	0	0	0	0	0	0	0	amalgám
amalgamation	0	0	0	0	0	0	0	0	0	0	amalgamácia
amass	0	0	0	0	0	0	0	0	0	0	hromadiť
amateur	0	0	0	0	0	0	0	0	0	0	amatérsky
amaze	0	0	0	0	0	0	0	0	1	0	ohromiť
amazement	0	0	0	0	0	0	0	0	0	0	úžas
amazingly	0	0	0	0	1	0	1	0	1	0	úžasne
ambassador	0	0	0	0	0	0	1	0	0	1	veľvyslanec
amber	0	0	0	0	0	0	0	0	0	0	jantárová
ambient	0	0	0	0	0	0	0	0	0	0	okolité
ambiguity	0	0	0	0	0	0	0	0	0	0	nejednoznačnosť
ambiguous	0	0	0	0	0	1	0	0	0	0	nejednoznačný
ambit	0	0	0	0	0	0	0	0	0	0	ambitu
ambition	0	1	0	0	1	0	1	0	0	1	ambície
ambitious	0	0	0	0	0	0	0	0	0	0	ambiciózny
ambulance	0	0	0	1	0	0	0	0	0	1	ambulancia
ambush	1	0	0	1	0	1	0	0	1	0	prepadnutie
ameliorate	0	0	0	0	0	0	1	0	0	0	zlepšiť
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	prístupný
amend	0	0	0	0	0	0	1	0	0	0	upraviť
amendment	0	0	0	0	0	0	0	0	0	0	novela
amends	0	0	0	0	0	0	1	0	0	0	upravuje
amenity	0	0	0	0	0	0	1	0	0	0	vybavenie
amethyst	0	0	0	0	0	0	0	0	0	0	ametyst
amiable	0	0	0	0	0	0	1	0	0	0	prívetivý
amicable	0	0	0	0	1	0	1	0	0	0	priateľský
amid	0	0	0	0	0	0	0	0	0	0	uprostred
amidst	0	0	0	0	0	0	0	0	0	0	uprostred
ammonia	0	0	1	0	0	0	0	0	0	0	amoniak
ammunition	0	0	0	0	0	0	0	0	0	0	strelivo
amnesia	0	0	0	0	0	1	0	0	0	0	amnézia
amnesty	0	0	0	0	1	0	1	0	0	0	amnestie
amorphous	0	0	0	0	0	0	0	0	0	0	amorfný
amortization	0	0	0	0	0	0	0	0	0	1	amortizácia
amount	0	0	0	0	0	0	0	0	0	0	čiastka
amour	0	1	0	0	1	0	1	0	0	1	amour
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetamíny
amphibian	0	0	0	0	0	0	0	0	0	0	obojživelník
