English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Russian Word
accentuate	0	0	0	0	0	0	0	0	0	0	подчеркивать
accept	0	0	0	0	0	0	0	0	0	0	принимать
acceptable	0	0	0	0	0	0	1	0	0	0	приемлемый
acceptance	0	0	0	0	0	0	1	0	0	0	принятие
access	0	0	0	0	0	0	0	0	0	0	доступ
accessible	0	0	0	0	0	0	1	0	0	0	доступный
accession	0	0	0	0	0	0	0	0	0	0	присоединение
accessory	0	0	0	0	0	0	0	0	0	0	аксессуар
accident	0	0	0	1	0	1	0	1	1	0	несчастный случай
accidental	0	0	0	1	0	1	0	0	1	0	случайный
accidentally	0	0	0	0	0	0	0	0	1	0	случайно
accolade	0	1	0	0	1	0	1	0	1	1	похвалить
accommodate	0	0	0	0	0	0	0	0	0	0	разместить
accommodation	0	0	0	0	0	0	1	0	0	0	проживание
accompaniment	0	1	0	0	1	0	1	0	0	1	сопровождение
accompany	0	0	0	0	0	0	0	0	0	0	сопровождать
accompanying	0	0	0	0	0	0	0	0	0	0	сопровождающий
accomplice	0	0	0	0	0	0	0	0	0	0	сообщник
accomplish	0	0	0	0	1	0	1	0	0	0	выполнить
accomplished	0	0	0	0	1	0	1	0	0	0	удавшийся
accomplishment	0	0	0	0	0	0	1	0	0	0	достижение
accord	0	0	0	0	0	0	1	0	0	1	согласие
accordance	0	0	0	0	0	0	0	0	0	0	соответствие
accordion	0	0	0	0	0	0	0	0	0	0	аккордеон
account	0	0	0	0	0	0	0	0	0	1	учетная запись
accountability	0	0	0	0	0	0	1	0	0	1	подотчетность
accountable	0	0	0	0	0	0	1	0	0	1	ответственный
accountant	0	0	0	0	0	0	0	0	0	1	бухгалтер
accounting	0	0	0	0	0	0	0	0	0	0	бухгалтерский учет
accounts	0	0	0	0	0	0	0	0	0	1	учетные записи
accredited	0	0	0	0	0	0	1	0	0	1	аккредитованный
accretion	0	0	0	0	0	0	0	0	0	0	аккреция
accrue	0	0	0	0	0	0	0	0	0	0	накапливаться
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	накапливать
accumulation	0	0	0	0	0	0	0	0	0	0	накопление
accuracy	0	0	0	0	0	0	0	0	0	0	точность
accurate	0	0	0	0	0	0	1	0	0	1	точный
accursed	1	0	0	1	0	1	0	1	0	0	проклятый
accusation	1	0	1	0	0	1	0	0	0	0	обвинение
accusative	0	0	0	0	0	1	0	0	0	0	винительный
accused	1	0	0	1	0	1	0	0	0	0	обвиняемый
accuser	1	0	0	1	0	1	0	0	0	0	обвинитель
accusing	1	0	0	1	0	1	0	0	0	0	обвинение
accustomed	0	0	0	0	0	0	0	0	0	0	привыкший
ace	0	0	0	0	0	0	1	0	0	0	туз
acetic	0	0	0	0	0	0	0	0	0	0	уксусный
ache	0	0	0	0	0	1	0	1	0	0	боль
achieve	0	0	0	0	1	0	1	0	0	1	достигать
achievement	0	1	0	0	1	0	1	0	0	1	достижение
aching	0	0	0	0	0	1	0	1	0	0	ноющий
acid	0	0	0	0	0	1	0	0	0	0	кислота
acidity	0	0	0	0	0	0	0	0	0	0	кислотность
acknowledge	0	0	0	0	0	0	0	0	0	0	сознавать
acknowledged	0	0	0	0	0	0	0	0	0	0	признанный
acknowledgment	0	0	0	0	0	0	1	0	0	0	подтверждение
acme	0	0	0	0	0	0	0	0	0	0	акме
acoustic	0	0	0	0	0	0	0	0	0	0	акустический
acoustics	0	0	0	0	0	0	0	0	0	0	акустика
acquaint	0	0	0	0	0	0	0	0	0	0	знакомить
acquaintance	0	0	0	0	0	0	0	0	0	0	знакомство
acquainted	0	0	0	0	0	0	0	0	0	0	знакомый
acquiescence	0	0	0	0	0	0	0	0	0	0	уступчивость
acquire	0	0	0	0	0	0	1	0	0	0	приобретать
acquiring	0	1	0	0	0	0	1	0	0	0	приобретение
acquisition	0	0	0	0	0	0	0	0	0	0	приобретение
acquisitions	0	0	0	0	0	0	0	0	0	0	приобретения
acreage	0	0	0	0	0	0	0	0	0	0	площадь
acres	0	0	0	0	0	0	0	0	0	0	акры
acrobat	0	0	0	1	1	0	1	0	0	1	акробат
act	0	0	0	0	0	0	0	0	0	0	действовать
acting	0	0	0	0	0	0	0	0	0	0	действующий
action	0	0	0	0	0	0	1	0	0	0	действие
actionable	1	0	1	0	0	1	0	0	0	0	действенный
active	0	0	0	0	0	0	0	0	0	0	активный
activity	0	0	0	0	0	0	0	0	0	0	Мероприятия
actor	0	0	0	0	0	0	0	0	0	0	актер
actual	0	0	0	0	0	0	1	0	0	0	действительный
actuality	0	0	0	0	0	0	0	0	0	0	актуальность
actuary	0	0	0	0	0	0	0	0	0	0	актуарий
acuity	0	0	0	0	0	0	1	0	0	0	острота
acumen	0	0	0	0	0	0	1	0	0	0	проницательность
acupuncture	0	0	0	0	0	0	0	0	0	0	иглоукалывание
acutely	0	0	0	0	0	0	0	0	0	0	остро
adage	0	0	0	0	0	0	0	0	0	0	поговорка
adamant	0	0	0	0	0	0	0	0	0	0	непреклонный
adapt	0	0	0	0	0	0	1	0	0	0	адаптировать
adaptable	0	0	0	0	0	0	1	0	0	0	адаптируемый
add	0	0	0	0	0	0	0	0	0	0	добавлять
added	0	0	0	0	0	0	0	0	0	0	добавлен
addendum	0	0	0	0	0	0	0	0	0	0	дополнение
adder	1	0	1	1	0	1	0	1	0	0	сумматор
addiction	0	0	0	0	0	1	0	0	0	0	зависимость
addition	0	0	0	0	0	0	0	0	0	0	добавление
additional	0	0	0	0	0	0	0	0	0	0	дополнительный
additive	0	0	0	0	0	0	0	0	0	0	добавка
address	0	0	0	0	0	0	0	0	0	0	адрес
addressee	0	0	0	0	0	0	0	0	0	0	адресат
addresses	0	1	0	0	0	0	1	0	0	0	адреса
adept	0	0	0	0	0	0	1	0	0	0	адепт
adequacy	0	0	0	0	0	0	1	0	0	0	достаточность
adequate	0	0	0	0	0	0	0	0	0	0	адекватный
adhere	0	0	0	0	0	0	0	0	0	0	придерживаться
adherence	0	0	0	0	0	0	0	0	0	0	приверженность
adherent	0	0	0	0	0	0	0	0	0	0	приверженец
adhering	0	0	0	0	0	0	0	0	0	1	придерживаясь
adhesion	0	0	0	0	0	0	0	0	0	0	адгезия
adhesive	0	0	0	0	0	0	0	0	0	0	клей
adieu	0	0	0	0	0	0	0	0	0	0	прощай
adipose	0	0	0	0	0	1	0	0	0	0	жировой
adjacency	0	0	0	0	0	0	0	0	0	0	соседство
adjacent	0	0	0	0	0	0	0	0	0	0	соседний
adjective	0	0	0	0	0	0	0	0	0	0	имя прилагательное
adjoining	0	0	0	0	0	0	0	0	0	0	примыкающий
adjourn	0	0	0	0	0	0	0	0	0	0	отложить
adjournment	0	0	0	0	0	0	0	0	0	0	отсрочка
adjudicate	0	0	0	1	0	1	0	0	0	0	судить
adjudication	0	0	0	0	0	0	0	0	0	0	судебное решение
adjunct	0	0	0	0	0	0	1	0	0	0	дополнение
adjust	0	0	0	0	0	0	0	0	0	0	регулировать
adjustment	0	0	0	0	0	0	0	0	0	0	корректирование
adjuvant	0	0	0	0	0	0	0	0	0	0	адъювант
administer	0	0	0	0	0	0	0	0	0	0	управлять
administration	0	0	0	0	0	0	0	0	0	0	администрация
administrative	0	0	0	0	0	0	0	0	0	1	административный
admirable	0	0	0	0	1	0	1	0	0	1	замечательный
admiral	0	0	0	0	0	0	1	0	0	1	адмирал
admiralty	0	0	0	0	0	0	0	0	0	0	адмиралтейство
admiration	0	0	0	0	1	0	1	0	0	1	восхищение
admire	0	0	0	0	0	0	1	0	0	1	восхищаться
admirer	0	0	0	0	0	0	1	0	0	0	поклонник
admissibility	0	0	0	0	0	0	0	0	0	0	приемлемость
admissible	0	0	0	0	0	0	1	0	0	1	допустимый
admission	0	0	0	0	0	0	0	0	0	0	допуск
admit	0	0	0	0	0	0	0	0	0	0	признавать
admittance	0	0	0	0	0	0	0	0	0	0	допуск
admitted	0	0	0	0	0	0	0	0	0	0	допущенный
admitting	0	0	0	0	0	0	0	0	0	0	признавая
admixture	0	0	0	0	0	0	0	0	0	0	примесь
admonition	0	0	0	1	0	1	0	0	0	0	замечание
ado	0	0	0	0	0	0	0	0	0	0	суета
adobe	0	0	0	0	0	0	0	0	0	0	саман
adolescence	0	0	0	0	0	0	0	0	0	0	подростковый возраст
adolescent	0	0	0	0	0	0	0	0	0	0	подросток
adopt	0	0	0	0	0	0	0	0	0	0	усыновить
adoption	0	0	0	0	0	0	0	0	0	0	принятие
adorable	0	0	0	0	1	0	1	0	0	0	восхитительный
adoration	0	0	0	0	1	0	1	0	0	1	обожание
adore	0	1	0	0	1	0	1	0	0	1	обожать
adorn	0	0	0	0	0	0	0	0	0	0	украшать
adornment	0	0	0	0	0	0	0	0	0	0	украшение
adrift	0	1	0	1	0	1	0	1	0	0	дрейфовать по течению
adult	0	0	0	0	0	0	0	0	0	0	взрослый
adulterated	0	0	0	0	0	1	0	0	0	0	фальсифицированный
adultery	0	0	1	0	0	1	0	1	0	0	прелюбодеяние
advance	0	1	0	1	1	0	1	0	1	0	продвигать
advanced	0	0	0	0	0	0	1	0	0	0	передовой
advancement	0	0	0	0	0	0	1	0	0	0	продвижение
advancing	0	0	0	0	0	0	0	0	0	0	продвижение
advantage	0	0	0	0	0	0	1	0	0	0	преимущество
advantageous	0	0	0	0	0	0	1	0	0	0	выгодный
advent	0	1	0	0	1	0	1	0	0	1	пришествие
adventure	0	1	0	0	0	0	1	0	0	0	приключение
adventurer	0	0	0	0	0	0	0	0	0	0	авантюрист
adventurous	0	0	0	0	0	0	1	0	0	0	предприимчивый
adversary	1	0	0	0	0	1	0	0	0	0	противник
adverse	1	0	1	1	0	1	0	1	0	0	неблагоприятный
adversity	1	0	0	1	0	1	0	1	0	0	несчастье
advertise	0	0	0	0	0	0	0	0	0	0	рекламировать
advertisement	0	0	0	0	0	0	0	0	0	0	рекламное объявление
advice	0	0	0	0	0	0	0	0	0	1	совет
advisable	0	0	0	0	0	0	1	0	0	1	желательно
advise	0	0	0	0	0	0	1	0	0	1	советовать
advised	0	0	0	0	0	0	0	0	0	1	посоветовал
advisement	0	0	0	0	0	0	0	0	0	0	совет
adviser	0	0	0	0	0	0	1	0	0	1	советник
advocacy	1	1	0	0	1	0	1	0	0	1	защита
advocate	0	0	0	0	0	0	0	0	0	1	адвокат
aegis	0	0	0	0	0	0	0	0	0	0	эгида
aeration	0	0	0	0	0	0	0	0	0	0	аэрация
aerial	0	0	0	0	0	0	0	0	0	0	антенна
aerodrome	0	0	0	0	0	0	0	0	0	0	аэродром
aerodynamics	0	0	0	0	0	0	0	0	0	0	аэродинамика
aeronautics	0	0	0	0	0	0	0	0	0	0	воздухоплавание
aeroplane	0	0	0	0	0	0	0	0	0	0	самолет
aesthetic	0	0	0	0	0	0	1	0	0	0	эстетический
aesthetics	0	0	0	0	1	0	1	0	0	0	эстетика
aetiology	0	0	0	0	0	0	0	0	0	0	этиология
afar	0	0	0	0	0	0	0	0	0	0	издалека
affable	0	0	0	0	0	0	1	0	0	0	приветливый
affair	0	0	0	0	0	0	0	0	0	0	роман
affecting	0	0	0	0	0	0	0	0	0	0	воздействующий
affection	0	0	0	0	1	0	1	0	0	1	привязанность
affections	0	0	0	0	0	0	0	0	0	0	привязанности
affiche	0	0	0	0	0	0	0	0	0	0	афиш
affidavit	0	0	0	0	0	0	0	0	0	0	аффидевит
affiliated	0	0	0	0	0	0	1	0	0	0	аффилированный
affiliation	0	0	0	0	0	0	0	0	0	0	принадлежность
affinity	0	0	0	0	0	0	0	0	0	0	близость
affirm	0	0	0	0	0	0	1	0	0	1	подтверждать
affirmation	0	0	0	0	0	0	1	0	0	0	подтверждение
affirmative	0	0	0	0	0	0	1	0	0	0	утвердительный
affirmatively	0	0	0	0	0	0	1	0	0	1	утвердительно
affix	0	0	0	0	0	0	0	0	0	0	прикреплять
afflict	0	0	0	1	0	1	0	1	0	0	поражать
afflicted	0	0	0	0	0	1	0	0	0	0	страдающий
affliction	0	0	1	1	0	1	0	1	0	0	несчастье
affluence	0	0	0	0	1	0	1	0	0	0	изобилие
affluent	0	0	0	0	0	0	1	0	0	0	богатый
afford	0	0	0	0	0	0	1	0	0	0	предоставлять
affront	1	0	1	1	0	1	0	1	1	0	оскорблять
afield	0	0	0	0	0	0	0	0	0	0	вдали
afore	0	0	0	0	0	0	0	0	0	0	прежде
aforementioned	0	0	0	0	0	0	0	0	0	0	вышеупомянутый
aforesaid	0	0	0	0	0	0	0	0	0	0	вышеупомянутый
afraid	0	0	0	1	0	1	0	0	0	0	боюсь
afresh	0	0	0	0	0	0	0	0	0	0	заново
aft	0	0	0	0	0	0	0	0	0	0	корма
aftermath	1	0	1	1	0	1	0	1	0	0	последствия
afternoon	0	0	0	0	0	0	0	0	0	0	после полудня
aftertaste	0	0	0	0	0	1	0	0	0	0	послевкусие
afterthought	0	0	0	0	0	0	0	0	0	0	запоздалая мысль
aga	0	0	0	1	0	0	1	0	0	1	ага
agate	0	0	0	0	0	0	0	0	0	0	агат
age	0	0	0	0	0	0	0	0	0	0	возраст
aged	0	0	0	0	0	0	0	0	0	0	в возрасте
agency	0	0	0	0	0	0	0	0	0	0	агентство
agent	0	0	0	0	0	0	0	0	0	0	агент
agglomeration	0	0	0	0	0	0	0	0	0	0	агломерация
aggravated	1	0	0	0	0	1	0	0	0	0	усугубленный
aggravating	1	0	0	0	0	1	0	1	0	0	отягчающий
aggravation	1	0	1	0	0	1	0	0	0	0	обострение
aggregate	0	0	0	0	0	0	0	0	0	0	агрегат
aggregation	0	0	0	0	0	0	0	0	0	0	агрегация
aggression	1	0	0	1	0	1	0	0	0	0	агрессия
aggressive	1	0	0	1	0	1	0	0	0	0	агрессивный
aggressor	1	0	0	1	0	1	0	0	0	0	агрессор
aghast	0	0	1	1	0	1	0	0	1	0	ошеломленный
agile	0	0	0	0	0	0	1	0	0	0	гибкий
agility	0	0	0	0	0	0	1	0	0	0	ловкость
agitated	1	0	0	0	0	1	0	0	0	0	взволнованный
agitation	1	0	0	0	0	1	0	0	0	0	волнение
agnostic	0	0	0	0	0	0	0	0	0	0	агностик
ago	0	0	0	0	0	0	0	0	0	0	назад
agonizing	0	0	0	1	0	1	0	0	0	0	мучительный
agony	1	0	0	1	0	1	0	1	0	0	агония
agree	0	0	0	0	0	0	1	0	0	0	соглашаться
agreeable	0	0	0	0	0	0	1	0	0	1	приятный
agreed	0	0	0	0	0	0	1	0	0	1	согласовано
agreeing	0	0	0	0	0	0	1	0	0	1	согласие
agreement	0	0	0	0	0	0	1	0	0	1	соглашение
agricultural	0	0	0	0	0	0	0	0	0	0	сельскохозяйственный
agriculture	0	0	0	0	0	0	1	0	0	0	сельское хозяйство
aground	0	0	0	0	0	1	0	0	0	0	на мели
agua	0	0	0	0	0	0	0	0	0	0	вода
ahead	0	0	0	0	0	0	1	0	0	0	предстоящий
aid	0	0	0	0	0	0	1	0	0	0	помогать
aiding	0	0	0	0	0	0	1	0	0	0	помощь
ail	0	0	0	0	0	1	0	1	0	0	больной
ailing	0	0	0	1	0	1	0	1	0	0	больной
ailment	0	0	0	0	0	0	0	0	0	0	болезнь
aim	0	0	0	0	0	0	0	0	0	0	цель
aimless	0	0	0	0	0	1	0	0	0	0	бесцельный
air	0	0	0	0	0	0	0	0	0	0	воздуха
airbag	0	0	0	0	0	0	0	0	0	0	воздушная подушка
airlift	0	0	0	0	0	0	0	0	0	0	воздушный транспорт
airline	0	0	0	0	0	0	0	0	0	0	авиакомпания
airman	0	0	0	0	0	0	0	0	0	0	летчик
airplane	0	0	0	0	0	0	0	0	0	0	самолет
airport	0	1	0	0	0	0	0	0	0	0	аэропорт
airs	0	0	1	0	0	1	0	0	0	0	воздух
airship	0	0	0	0	0	0	0	0	0	0	дирижабль
aisle	0	0	0	0	0	0	0	0	0	0	ряд
ait	0	0	0	0	0	0	0	0	0	0	эт
ajar	0	0	0	0	0	0	0	0	0	0	приоткрытый
akin	0	0	0	0	0	0	0	0	0	1	похожий
alabaster	0	0	0	0	0	0	1	0	0	0	алебастр
alarm	0	0	0	1	0	1	0	0	1	0	тревога
alarming	0	0	0	1	0	1	0	0	1	0	тревожный
alb	0	0	0	0	0	0	0	0	0	1	Альб
album	0	0	0	0	0	0	0	0	0	0	альбом
alchemy	0	0	0	0	0	0	0	0	0	0	алхимия
alcohol	0	0	0	0	0	0	0	0	0	0	алкоголь
alcoholism	1	0	1	1	0	1	0	1	0	0	алкоголизм
alcove	0	0	0	0	0	0	0	0	0	0	ниша
alert	0	0	0	0	0	0	0	0	0	0	тревога
alertness	0	1	0	1	0	0	1	0	1	0	бдительность
alerts	0	1	0	1	0	0	0	0	1	0	оповещения
alfalfa	0	0	0	0	0	0	0	0	0	0	люцерна
algebra	0	0	0	0	0	0	0	0	0	0	алгебра
algebraic	0	0	0	0	0	0	0	0	0	0	алгебраический
algorithm	0	0	0	0	0	0	0	0	0	0	алгоритм
alibi	0	0	0	0	0	0	0	0	0	0	алиби
alien	0	0	1	1	0	1	0	0	0	0	инопланетянин
alienate	1	0	1	0	0	1	0	0	0	0	отчуждать
alienated	0	0	0	0	0	1	0	1	0	0	отчужденный
alienation	1	0	1	1	0	1	0	1	0	0	отчуждение
alight	0	0	0	0	0	0	0	0	0	0	сойти
aligned	0	0	0	0	0	0	0	0	0	0	выровнены
alignment	0	0	0	0	0	0	0	0	0	0	выравнивание
alike	0	0	0	0	0	0	0	0	0	0	одинаковый
alimentation	0	0	0	0	0	0	1	0	0	0	питание
alimony	0	0	0	0	0	1	0	0	0	0	алименты
aliquot	0	0	0	0	0	0	0	0	0	0	аликвота
alive	0	1	0	0	1	0	1	0	0	1	в живых
alkali	0	0	0	0	0	0	0	0	0	0	щелочь
alkaloids	0	0	0	0	0	0	0	0	0	0	алкалоиды
allay	0	0	0	0	0	0	1	0	0	0	успокаивать
allegation	1	0	0	0	0	1	0	0	0	0	обвинение
allege	0	0	0	0	0	1	0	0	0	0	утверждать
alleged	0	0	0	0	0	0	0	0	0	0	предполагаемый
allegiance	0	0	0	0	0	0	1	0	0	1	преданность
allegorical	0	0	0	0	0	0	0	0	0	0	аллегорический
allegory	0	0	0	0	0	0	0	0	0	0	аллегория
allegro	0	0	0	0	0	0	1	0	0	0	аллегро
alleviate	0	0	0	0	0	0	1	0	0	0	облегчить
alleviation	0	0	0	0	0	0	1	0	0	0	облегчение
alley	0	0	0	0	0	0	0	0	0	0	переулок
alliance	0	0	0	0	0	0	0	0	0	1	альянс
allied	0	0	0	0	0	0	1	0	0	1	союзный
alligator	0	0	0	0	0	0	0	0	0	0	аллигатор
allocate	0	0	0	0	0	0	0	0	0	0	выделять
allocation	0	0	0	0	0	0	0	0	0	0	распределение
allot	0	0	0	0	0	0	0	0	0	0	выделять
allotment	0	0	0	0	0	0	0	0	0	0	надел
allowable	0	0	0	0	0	0	1	0	0	0	допустимый
allowance	0	0	0	0	0	0	0	0	0	0	разрешение
allowed	0	0	0	0	0	0	0	0	0	0	допустимый
alloy	0	0	0	0	0	0	0	0	0	0	сплав
allure	0	1	0	0	1	0	1	0	1	0	очарование
alluring	0	0	0	0	0	0	1	0	0	0	соблазнительный
allusion	0	0	0	0	0	0	0	0	0	0	намек
alluvial	0	0	0	0	0	0	0	0	0	0	аллювиальный
ally	0	0	0	0	0	0	1	0	0	1	союзник
almanac	0	0	0	0	0	0	0	0	0	0	альманах
almighty	0	0	0	0	0	0	1	0	0	0	всемогущий
aloft	0	0	0	0	0	0	0	0	0	0	наверху
aloha	0	1	0	0	1	0	1	0	0	0	алоха
alongside	0	0	0	0	0	0	0	0	0	0	рядом
aloof	0	0	0	0	0	1	0	0	0	0	в стороне
aloud	0	0	0	0	0	0	0	0	0	0	вслух
alphabet	0	0	0	0	0	0	0	0	0	0	алфавит
alphabetical	0	0	0	0	0	0	0	0	0	0	алфавитный
altar	0	0	0	0	0	0	0	0	0	0	алтарь
alter	0	0	0	0	0	0	0	0	0	0	изменить
alteration	0	0	0	0	0	0	0	0	0	0	изменение
altercation	1	0	0	0	0	1	0	0	0	0	ссора
altered	0	0	0	0	0	0	0	0	0	0	измененный
alternate	0	0	0	0	0	0	0	0	0	0	чередовать
alternative	0	0	0	0	0	0	0	0	0	0	альтернатива
altitude	0	0	0	0	0	0	0	0	0	0	высота
alto	0	0	0	0	0	0	0	0	0	0	альт
altogether	0	0	0	0	0	0	0	0	0	0	вообще
alumnus	0	0	0	0	0	0	0	0	0	0	выпускник
alveolar	0	0	0	0	0	0	0	0	0	0	альвеолярный
amalgam	0	0	0	0	0	0	0	0	0	0	амальгама
amalgamation	0	0	0	0	0	0	0	0	0	0	слияние
amass	0	0	0	0	0	0	0	0	0	0	накапливать
amateur	0	0	0	0	0	0	0	0	0	0	любитель
amaze	0	0	0	0	0	0	0	0	1	0	удивлять
amazement	0	0	0	0	0	0	0	0	0	0	изумление
amazingly	0	0	0	0	1	0	1	0	1	0	удивительно
ambassador	0	0	0	0	0	0	1	0	0	1	посол
amber	0	0	0	0	0	0	0	0	0	0	янтарь
ambient	0	0	0	0	0	0	0	0	0	0	окружающий
ambiguity	0	0	0	0	0	0	0	0	0	0	двусмысленность
ambiguous	0	0	0	0	0	1	0	0	0	0	двусмысленный
ambit	0	0	0	0	0	0	0	0	0	0	область
ambition	0	1	0	0	1	0	1	0	0	1	амбиция
ambitious	0	0	0	0	0	0	0	0	0	0	честолюбивый
ambulance	0	0	0	1	0	0	0	0	0	1	скорая помощь
ambush	1	0	0	1	0	1	0	0	1	0	засада
ameliorate	0	0	0	0	0	0	1	0	0	0	улучшать
amen	0	0	0	0	1	0	1	0	0	1	аминь
amenable	0	0	0	0	0	0	1	0	0	0	податливый
amend	0	0	0	0	0	0	1	0	0	0	исправлять
amendment	0	0	0	0	0	0	0	0	0	0	поправка
amends	0	0	0	0	0	0	1	0	0	0	исправляет
amenity	0	0	0	0	0	0	1	0	0	0	удобства
amethyst	0	0	0	0	0	0	0	0	0	0	аметист
amiable	0	0	0	0	0	0	1	0	0	0	любезный
amicable	0	0	0	0	1	0	1	0	0	0	дружелюбный
amid	0	0	0	0	0	0	0	0	0	0	среди
amidst	0	0	0	0	0	0	0	0	0	0	среди
ammonia	0	0	1	0	0	0	0	0	0	0	аммиак
ammunition	0	0	0	0	0	0	0	0	0	0	боеприпасы
amnesia	0	0	0	0	0	1	0	0	0	0	амнезия
amnesty	0	0	0	0	1	0	1	0	0	0	амнистия
amorphous	0	0	0	0	0	0	0	0	0	0	аморфный
amortization	0	0	0	0	0	0	0	0	0	1	амортизация
amount	0	0	0	0	0	0	0	0	0	0	количество
amour	0	1	0	0	1	0	1	0	0	1	любовь
ampersand	0	0	0	0	0	0	0	0	0	0	амперсанд
amphetamines	0	0	1	0	0	1	0	0	0	0	амфетамины
amphibian	0	0	0	0	0	0	0	0	0	0	амфибия
amphibious	0	0	0	0	0	0	0	0	0	0	амфибия
amphitheater	0	0	0	0	0	0	0	0	0	0	амфитеатр
amplification	0	0	0	0	0	0	0	0	0	0	усиление
amplify	0	0	0	0	0	0	0	0	0	0	усиливать
amplitude	0	0	0	0	0	0	0	0	0	0	амплитуда
amply	0	0	0	0	0	0	0	0	0	0	обильно
amputation	0	0	0	0	0	0	0	0	0	0	ампутация
amulet	0	0	0	0	0	0	0	0	0	0	амулет
amuse	0	0	0	0	1	0	1	0	0	0	развлекать
