English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Javanese Word
agile	0	0	0	0	0	0	1	0	0	0	prigel
agility	0	0	0	0	0	0	1	0	0	0	prigel
agitated	1	0	0	0	0	1	0	0	0	0	agitated
agitation	1	0	0	0	0	1	0	0	0	0	agitasi
agnostic	0	0	0	0	0	0	0	0	0	0	agnostik
ago	0	0	0	0	0	0	0	0	0	0	biyen
agonizing	0	0	0	1	0	1	0	0	0	0	nglarani
agony	1	0	0	1	0	1	0	1	0	0	kasangsaran
agree	0	0	0	0	0	0	1	0	0	0	sarujuk
agreeable	0	0	0	0	0	0	1	0	0	1	sarujuk
agreed	0	0	0	0	0	0	1	0	0	1	sarujuk
agreeing	0	0	0	0	0	0	1	0	0	1	sarujuk
agreement	0	0	0	0	0	0	1	0	0	1	persetujuan
agricultural	0	0	0	0	0	0	0	0	0	0	tetanèn
agriculture	0	0	0	0	0	0	1	0	0	0	tetanèn
aground	0	0	0	0	0	1	0	0	0	0	kadhaptar
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	ngarep
aid	0	0	0	0	0	0	1	0	0	0	pitulungan
aiding	0	0	0	0	0	0	1	0	0	0	nulungi
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	lara
ailment	0	0	0	0	0	0	0	0	0	0	penyakit
aim	0	0	0	0	0	0	0	0	0	0	ngarahake
aimless	0	0	0	0	0	1	0	0	0	0	tanpa tujuan
air	0	0	0	0	0	0	0	0	0	0	hawa
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	pesawat udara
airline	0	0	0	0	0	0	0	0	0	0	maskapai
airman	0	0	0	0	0	0	0	0	0	0	juru udara
airplane	0	0	0	0	0	0	0	0	0	0	pesawat
airport	0	1	0	0	0	0	0	0	0	0	bandara
airs	0	0	1	0	0	1	0	0	0	0	udhara
airship	0	0	0	0	0	0	0	0	0	0	kapal udara
aisle	0	0	0	0	0	0	0	0	0	0	dalan
ait	0	0	0	0	0	0	0	0	0	0	iki
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	mirip
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	weker
alarming	0	0	0	1	0	1	0	0	1	0	nguwatirake
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alkimia
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholisme
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	waspada
alertness	0	1	0	1	0	0	1	0	1	0	kewaspadaan
alerts	0	1	0	1	0	0	0	0	1	0	tandha
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	aljabar
algebraic	0	0	0	0	0	0	0	0	0	0	aljabar
algorithm	0	0	0	0	0	0	0	0	0	0	algoritma
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	alien
alienate	1	0	1	0	0	1	0	0	0	0	ngasingake
alienated	0	0	0	0	0	1	0	1	0	0	disingkiri
alienation	1	0	1	1	0	1	0	1	0	0	alienasi
alight	0	0	0	0	0	0	0	0	0	0	munggah
aligned	0	0	0	0	0	0	0	0	0	0	didadekake siji
alignment	0	0	0	0	0	0	0	0	0	0	keselarasan
alike	0	0	0	0	0	0	0	0	0	0	padha
alimentation	0	0	0	0	0	0	1	0	0	0	panganan
alimony	0	0	0	0	0	1	0	0	0	0	alimony
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	urip
alkali	0	0	0	0	0	0	0	0	0	0	alkalin
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloid
allay	0	0	0	0	0	0	1	0	0	0	ngilangake
allegation	1	0	0	0	0	1	0	0	0	0	songko
allege	0	0	0	0	0	1	0	0	0	0	ngakoni
alleged	0	0	0	0	0	0	0	0	0	0	miturut omongane uwong
allegiance	0	0	0	0	0	0	1	0	0	1	kasetyan
allegorical	0	0	0	0	0	0	0	0	0	0	alegoris
allegory	0	0	0	0	0	0	0	0	0	0	alegori
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	ngenthengake
alleviation	0	0	0	0	0	0	1	0	0	0	ngenthengake
alley	0	0	0	0	0	0	0	0	0	0	gang
alliance	0	0	0	0	0	0	0	0	0	1	aliansi
allied	0	0	0	0	0	0	1	0	0	1	sekutu
alligator	0	0	0	0	0	0	0	0	0	0	Boyo
allocate	0	0	0	0	0	0	0	0	0	0	ngalokasikan
allocation	0	0	0	0	0	0	0	0	0	0	alokasi
allot	0	0	0	0	0	0	0	0	0	0	ngudi
allotment	0	0	0	0	0	0	0	0	0	0	jatah
allowable	0	0	0	0	0	0	1	0	0	0	diijini
allowance	0	0	0	0	0	0	0	0	0	0	sangu
allowed	0	0	0	0	0	0	0	0	0	0	diijini
alloy	0	0	0	0	0	0	0	0	0	0	paduan
allure	0	1	0	0	1	0	1	0	1	0	mikat
alluring	0	0	0	0	0	0	1	0	0	0	nengsemake
allusion	0	0	0	0	0	0	0	0	0	0	sindiran
alluvial	0	0	0	0	0	0	0	0	0	0	aluvial
ally	0	0	0	0	0	0	1	0	0	1	sekutu
almanac	0	0	0	0	0	0	0	0	0	0	almanak
almighty	0	0	0	0	0	0	1	0	0	0	moho kuwoso
aloft	0	0	0	0	0	0	0	0	0	0	dhuwur
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	bebarengan
aloof	0	0	0	0	0	1	0	0	0	0	adoh
aloud	0	0	0	0	0	0	0	0	0	0	banter
alphabet	0	0	0	0	0	0	0	0	0	0	aksara
alphabetical	0	0	0	0	0	0	0	0	0	0	abjad
altar	0	0	0	0	0	0	0	0	0	0	misbyah
alter	0	0	0	0	0	0	0	0	0	0	ngowahi
alteration	0	0	0	0	0	0	0	0	0	0	owah-owahan
altercation	1	0	0	0	0	1	0	0	0	0	pasulayan
altered	0	0	0	0	0	0	0	0	0	0	diowahi
alternate	0	0	0	0	0	0	0	0	0	0	sulih
alternative	0	0	0	0	0	0	0	0	0	0	alternatif
altitude	0	0	0	0	0	0	0	0	0	0	dhuwur
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	sakabehe
alumnus	0	0	0	0	0	0	0	0	0	0	alumni
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	panggabungan
amass	0	0	0	0	0	0	0	0	0	0	nglumpukake
amateur	0	0	0	0	0	0	0	0	0	0	amatir
amaze	0	0	0	0	0	0	0	0	1	0	gumun
amazement	0	0	0	0	0	0	0	0	0	0	gumun
amazingly	0	0	0	0	1	0	1	0	1	0	apik tenan
ambassador	0	0	0	0	0	0	1	0	0	1	duta
amber	0	0	0	0	0	0	0	0	0	0	ambar
ambient	0	0	0	0	0	0	0	0	0	0	sekitar
ambiguity	0	0	0	0	0	0	0	0	0	0	ambiguitas
ambiguous	0	0	0	0	0	1	0	0	0	0	ambigu
ambit	0	0	0	0	0	0	0	0	0	0	ambisi
ambition	0	1	0	0	1	0	1	0	0	1	ambisi
ambitious	0	0	0	0	0	0	0	0	0	0	kekarepan
ambulance	0	0	0	1	0	0	0	0	0	1	ambulans
ambush	1	0	0	1	0	1	0	0	1	0	ambush
ameliorate	0	0	0	0	0	0	1	0	0	0	ameliorate
amen	0	0	0	0	1	0	1	0	0	1	amin
amenable	0	0	0	0	0	0	1	0	0	0	amenable
amend	0	0	0	0	0	0	1	0	0	0	mbenake
amendment	0	0	0	0	0	0	0	0	0	0	amandemen
amends	0	0	0	0	0	0	1	0	0	0	amends
amenity	0	0	0	0	0	0	1	0	0	0	fasilitas
amethyst	0	0	0	0	0	0	0	0	0	0	kecubung
amiable	0	0	0	0	0	0	1	0	0	0	ramah
amicable	0	0	0	0	1	0	1	0	0	0	rukun
amid	0	0	0	0	0	0	0	0	0	0	ing tengah
amidst	0	0	0	0	0	0	0	0	0	0	ing tengah-tengah
ammonia	0	0	1	0	0	0	0	0	0	0	amonia
ammunition	0	0	0	0	0	0	0	0	0	0	amunisi
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	amnesti
amorphous	0	0	0	0	0	0	0	0	0	0	amorf
amortization	0	0	0	0	0	0	0	0	0	1	amortisasi
amount	0	0	0	0	0	0	0	0	0	0	jumlah
amour	0	1	0	0	1	0	1	0	0	1	asmara
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetamin
amphibian	0	0	0	0	0	0	0	0	0	0	amfibi
amphibious	0	0	0	0	0	0	0	0	0	0	amfibi
amphitheater	0	0	0	0	0	0	0	0	0	0	amfiteater
amplification	0	0	0	0	0	0	0	0	0	0	amplifikasi
amplify	0	0	0	0	0	0	0	0	0	0	nggedhekake
amplitude	0	0	0	0	0	0	0	0	0	0	amplitudo
amply	0	0	0	0	0	0	0	0	0	0	cukup
amputation	0	0	0	0	0	0	0	0	0	0	amputasi
amulet	0	0	0	0	0	0	0	0	0	0	jimat
