English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Armenian Word
absenteeism	0	0	0	0	0	1	0	0	0	0	բացակայություն
absinthe	0	0	0	0	0	0	0	0	0	0	աբսենթ
absolute	0	0	0	0	0	0	1	0	0	0	բացարձակ
absolution	0	0	0	0	1	0	1	0	0	1	ներումը
absorbed	0	0	0	0	0	0	1	0	0	0	կլանված
absorbent	0	0	0	0	0	0	0	0	0	0	ներծծող
absorbing	0	0	0	0	0	0	0	0	0	0	կլանող
absorption	0	0	0	0	0	0	0	0	0	0	կլանում
abstain	0	0	0	0	0	0	0	0	0	0	ձեռնպահ մնալ
abstention	0	0	0	0	0	0	0	0	0	0	ձեռնպահ
abstinence	0	0	0	0	0	0	0	0	0	0	ժուժկալություն
abstract	0	0	0	0	0	0	0	0	0	0	վերացական
abstraction	0	0	0	0	0	0	0	0	0	0	աբստրակցիա
absurd	0	0	0	0	0	1	0	0	0	0	անհեթեթ
absurdity	0	0	0	0	0	1	0	0	0	0	անհեթեթություն
abundance	0	1	1	0	1	1	1	0	0	1	առատություն
abundant	0	0	0	0	1	0	1	0	0	0	առատ
abuse	1	0	1	1	0	1	0	1	0	0	չարաշահում
abutment	0	0	0	0	0	0	0	0	0	0	հենակետ
aby	0	0	0	0	0	0	0	0	0	0	աբի
abysmal	0	0	0	0	0	1	0	1	0	0	անդունդային
abyss	0	0	0	1	0	1	0	1	0	0	անդունդ
academic	0	0	0	0	0	0	1	0	0	1	ակադեմիական
academy	0	0	0	0	0	0	1	0	0	0	ակադեմիան
accede	0	0	0	0	0	0	0	0	0	0	միանալ
accelerate	0	1	0	0	0	0	0	0	0	0	արագացնել
acceleration	0	0	0	0	0	0	0	0	0	0	արագացում
accent	0	0	0	0	0	0	0	0	0	0	առոգանություն
accentuate	0	0	0	0	0	0	0	0	0	0	ընդգծել
accept	0	0	0	0	0	0	0	0	0	0	ընդունել
acceptable	0	0	0	0	0	0	1	0	0	0	ընդունելի
acceptance	0	0	0	0	0	0	1	0	0	0	ընդունումը
access	0	0	0	0	0	0	0	0	0	0	մուտք
accessible	0	0	0	0	0	0	1	0	0	0	հասանելի
accession	0	0	0	0	0	0	0	0	0	0	միանալը
accessory	0	0	0	0	0	0	0	0	0	0	աքսեսուար
accident	0	0	0	1	0	1	0	1	1	0	վթար
accidental	0	0	0	1	0	1	0	0	1	0	պատահական
accidentally	0	0	0	0	0	0	0	0	1	0	պատահաբար
accolade	0	1	0	0	1	0	1	0	1	1	գովաբանություն
accommodate	0	0	0	0	0	0	0	0	0	0	տեղավորել
accommodation	0	0	0	0	0	0	1	0	0	0	կացարան
accompaniment	0	1	0	0	1	0	1	0	0	1	ուղեկցում
accompany	0	0	0	0	0	0	0	0	0	0	ուղեկցել
accompanying	0	0	0	0	0	0	0	0	0	0	ուղեկցող
accomplice	0	0	0	0	0	0	0	0	0	0	հանցակից
accomplish	0	0	0	0	1	0	1	0	0	0	իրականացնել
accomplished	0	0	0	0	1	0	1	0	0	0	իրականացված
accomplishment	0	0	0	0	0	0	1	0	0	0	ավարտելը
accord	0	0	0	0	0	0	1	0	0	1	համաձայնություն
accordance	0	0	0	0	0	0	0	0	0	0	համապատասխանությունը
accordion	0	0	0	0	0	0	0	0	0	0	ակորդեոն
account	0	0	0	0	0	0	0	0	0	1	հաշիվ
accountability	0	0	0	0	0	0	1	0	0	1	պատասխանատվություն
accountable	0	0	0	0	0	0	1	0	0	1	հաշվետու
accountant	0	0	0	0	0	0	0	0	0	1	հաշվապահ
accounting	0	0	0	0	0	0	0	0	0	0	հաշվառում
accounts	0	0	0	0	0	0	0	0	0	1	հաշիվներ
accredited	0	0	0	0	0	0	1	0	0	1	հավատարմագրված
accretion	0	0	0	0	0	0	0	0	0	0	կուտակում
accrue	0	0	0	0	0	0	0	0	0	0	կուտակվել
accueil	0	0	0	0	0	0	1	0	0	0	ընդունել
accumulate	0	0	0	0	0	0	0	0	0	0	կուտակել
accumulation	0	0	0	0	0	0	0	0	0	0	կուտակում
accuracy	0	0	0	0	0	0	0	0	0	0	ճշգրտություն
accurate	0	0	0	0	0	0	1	0	0	1	ճշգրիտ
accursed	1	0	0	1	0	1	0	1	0	0	անիծված
accusation	1	0	1	0	0	1	0	0	0	0	մեղադրանք
accusative	0	0	0	0	0	1	0	0	0	0	մեղադրական
accused	1	0	0	1	0	1	0	0	0	0	մեղադրյալ
accuser	1	0	0	1	0	1	0	0	0	0	մեղադրող
accusing	1	0	0	1	0	1	0	0	0	0	մեղադրող
accustomed	0	0	0	0	0	0	0	0	0	0	սովոր
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	քացախային
ache	0	0	0	0	0	1	0	1	0	0	ցավ
achieve	0	0	0	0	1	0	1	0	0	1	հասնել
achievement	0	1	0	0	1	0	1	0	0	1	ձեռքբերում
aching	0	0	0	0	0	1	0	1	0	0	ցավող
acid	0	0	0	0	0	1	0	0	0	0	թթու
acidity	0	0	0	0	0	0	0	0	0	0	թթվայնությունը
acknowledge	0	0	0	0	0	0	0	0	0	0	ճանաչել
acknowledged	0	0	0	0	0	0	0	0	0	0	ճանաչեց
acknowledgment	0	0	0	0	0	0	1	0	0	0	ճանաչում
acme	0	0	0	0	0	0	0	0	0	0	ակմե
acoustic	0	0	0	0	0	0	0	0	0	0	ակուստիկ
acoustics	0	0	0	0	0	0	0	0	0	0	ակուստիկա
acquaint	0	0	0	0	0	0	0	0	0	0	ծանոթանալ
acquaintance	0	0	0	0	0	0	0	0	0	0	ծանոթություն
acquainted	0	0	0	0	0	0	0	0	0	0	ծանոթ
acquiescence	0	0	0	0	0	0	0	0	0	0	համաձայնություն
acquire	0	0	0	0	0	0	1	0	0	0	ձեռք բերել
acquiring	0	1	0	0	0	0	1	0	0	0	ձեռք բերելով
acquisition	0	0	0	0	0	0	0	0	0	0	ձեռքբերում
acquisitions	0	0	0	0	0	0	0	0	0	0	ձեռքբերումներ
acreage	0	0	0	0	0	0	0	0	0	0	ակր
acres	0	0	0	0	0	0	0	0	0	0	ակր
acrobat	0	0	0	1	1	0	1	0	0	1	ակրոբատ
act	0	0	0	0	0	0	0	0	0	0	գործել
acting	0	0	0	0	0	0	0	0	0	0	դերասանական խաղ
action	0	0	0	0	0	0	1	0	0	0	գործողություն
actionable	1	0	1	0	0	1	0	0	0	0	գործող
active	0	0	0	0	0	0	0	0	0	0	ակտիվ
activity	0	0	0	0	0	0	0	0	0	0	գործունեություն
actor	0	0	0	0	0	0	0	0	0	0	դերասան
actual	0	0	0	0	0	0	1	0	0	0	փաստացի
actuality	0	0	0	0	0	0	0	0	0	0	արդիականություն
actuary	0	0	0	0	0	0	0	0	0	0	ակտուար
acuity	0	0	0	0	0	0	1	0	0	0	սրություն
acumen	0	0	0	0	0	0	1	0	0	0	խորաթափանցություն
acupuncture	0	0	0	0	0	0	0	0	0	0	ասեղնաբուժություն
acutely	0	0	0	0	0	0	0	0	0	0	սուր
adage	0	0	0	0	0	0	0	0	0	0	ասացվածք
adamant	0	0	0	0	0	0	0	0	0	0	անդրդվելի
adapt	0	0	0	0	0	0	1	0	0	0	հարմարեցնել
adaptable	0	0	0	0	0	0	1	0	0	0	հարմարվողական
add	0	0	0	0	0	0	0	0	0	0	ավելացնել
added	0	0	0	0	0	0	0	0	0	0	ավելացրել է
addendum	0	0	0	0	0	0	0	0	0	0	լրացում
adder	1	0	1	1	0	1	0	1	0	0	ավելացնող
addiction	0	0	0	0	0	1	0	0	0	0	կախվածություն
addition	0	0	0	0	0	0	0	0	0	0	հավելում
additional	0	0	0	0	0	0	0	0	0	0	լրացուցիչ
additive	0	0	0	0	0	0	0	0	0	0	հավելում
address	0	0	0	0	0	0	0	0	0	0	հասցեն
addressee	0	0	0	0	0	0	0	0	0	0	հասցեատեր
addresses	0	1	0	0	0	0	1	0	0	0	հասցեները
adept	0	0	0	0	0	0	1	0	0	0	հմուտ
adequacy	0	0	0	0	0	0	1	0	0	0	համարժեքություն
adequate	0	0	0	0	0	0	0	0	0	0	համարժեք
adhere	0	0	0	0	0	0	0	0	0	0	հավատարիմ մնալ
adherence	0	0	0	0	0	0	0	0	0	0	հավատարմություն
adherent	0	0	0	0	0	0	0	0	0	0	հավատարիմ
adhering	0	0	0	0	0	0	0	0	0	1	հավատարիմ մնալը
adhesion	0	0	0	0	0	0	0	0	0	0	կպչունություն
adhesive	0	0	0	0	0	0	0	0	0	0	սոսինձ
adieu	0	0	0	0	0	0	0	0	0	0	ցտեսություն
adipose	0	0	0	0	0	1	0	0	0	0	ճարպային
adjacency	0	0	0	0	0	0	0	0	0	0	հարակիցություն
adjacent	0	0	0	0	0	0	0	0	0	0	կից
adjective	0	0	0	0	0	0	0	0	0	0	ածական
adjoining	0	0	0	0	0	0	0	0	0	0	կից
adjourn	0	0	0	0	0	0	0	0	0	0	հետաձգել
adjournment	0	0	0	0	0	0	0	0	0	0	հետաձգում
adjudicate	0	0	0	1	0	1	0	0	0	0	դատել
adjudication	0	0	0	0	0	0	0	0	0	0	դատավճիռ
adjunct	0	0	0	0	0	0	1	0	0	0	կից
adjust	0	0	0	0	0	0	0	0	0	0	հարմարեցնել
adjustment	0	0	0	0	0	0	0	0	0	0	ճշգրտում
adjuvant	0	0	0	0	0	0	0	0	0	0	ադյուվանտ
administer	0	0	0	0	0	0	0	0	0	0	տնօրինել
administration	0	0	0	0	0	0	0	0	0	0	վարչակազմ
administrative	0	0	0	0	0	0	0	0	0	1	վարչական
admirable	0	0	0	0	1	0	1	0	0	1	հիացական
admiral	0	0	0	0	0	0	1	0	0	1	ծովակալ
admiralty	0	0	0	0	0	0	0	0	0	0	ծովակալություն
admiration	0	0	0	0	1	0	1	0	0	1	հիացմունք
admire	0	0	0	0	0	0	1	0	0	1	հիանալ
admirer	0	0	0	0	0	0	1	0	0	0	երկրպագու
admissibility	0	0	0	0	0	0	0	0	0	0	թույլատրելիությունը
admissible	0	0	0	0	0	0	1	0	0	1	թույլատրելի
admission	0	0	0	0	0	0	0	0	0	0	ընդունելություն
admit	0	0	0	0	0	0	0	0	0	0	խոստովանել
admittance	0	0	0	0	0	0	0	0	0	0	ընդունելություն
admitted	0	0	0	0	0	0	0	0	0	0	խոստովանել է
admitting	0	0	0	0	0	0	0	0	0	0	ընդունելով
admixture	0	0	0	0	0	0	0	0	0	0	խառնուրդ
admonition	0	0	0	1	0	1	0	0	0	0	խրատ
ado	0	0	0	0	0	0	0	0	0	0	ադո
adobe	0	0	0	0	0	0	0	0	0	0	ավիշ
adolescence	0	0	0	0	0	0	0	0	0	0	պատանեկություն
adolescent	0	0	0	0	0	0	0	0	0	0	դեռահաս
adopt	0	0	0	0	0	0	0	0	0	0	ընդունել
adoption	0	0	0	0	0	0	0	0	0	0	ընդունումը
adorable	0	0	0	0	1	0	1	0	0	0	պաշտելի
adoration	0	0	0	0	1	0	1	0	0	1	երկրպագություն
adore	0	1	0	0	1	0	1	0	0	1	պաշտել
adorn	0	0	0	0	0	0	0	0	0	0	զարդարել
adornment	0	0	0	0	0	0	0	0	0	0	զարդարանք
adrift	0	1	0	1	0	1	0	1	0	0	շեղվել
adult	0	0	0	0	0	0	0	0	0	0	չափահաս
adulterated	0	0	0	0	0	1	0	0	0	0	կեղծված
adultery	0	0	1	0	0	1	0	1	0	0	շնություն
advance	0	1	0	1	1	0	1	0	1	0	կանխավճար
advanced	0	0	0	0	0	0	1	0	0	0	առաջադեմ
advancement	0	0	0	0	0	0	1	0	0	0	առաջխաղացում
advancing	0	0	0	0	0	0	0	0	0	0	առաջ տանելով
advantage	0	0	0	0	0	0	1	0	0	0	առավելություն
advantageous	0	0	0	0	0	0	1	0	0	0	շահավետ
advent	0	1	0	0	1	0	1	0	0	1	գալուստը
adventure	0	1	0	0	0	0	1	0	0	0	արկած
adventurer	0	0	0	0	0	0	0	0	0	0	արկածախնդիր
adventurous	0	0	0	0	0	0	1	0	0	0	արկածախնդիր
adversary	1	0	0	0	0	1	0	0	0	0	հակառակորդ
adverse	1	0	1	1	0	1	0	1	0	0	անբարենպաստ
adversity	1	0	0	1	0	1	0	1	0	0	դժբախտություն
advertise	0	0	0	0	0	0	0	0	0	0	գովազդել
advertisement	0	0	0	0	0	0	0	0	0	0	գովազդ
advice	0	0	0	0	0	0	0	0	0	1	խորհուրդ
advisable	0	0	0	0	0	0	1	0	0	1	նպատակահարմար է
advise	0	0	0	0	0	0	1	0	0	1	խորհուրդ տալ
advised	0	0	0	0	0	0	0	0	0	1	խորհուրդ տվեց
advisement	0	0	0	0	0	0	0	0	0	0	խորհուրդ
adviser	0	0	0	0	0	0	1	0	0	1	խորհրդական
advocacy	1	1	0	0	1	0	1	0	0	1	փաստաբանություն
advocate	0	0	0	0	0	0	0	0	0	1	փաստաբան
aegis	0	0	0	0	0	0	0	0	0	0	էգիս
aeration	0	0	0	0	0	0	0	0	0	0	օդափոխություն
aerial	0	0	0	0	0	0	0	0	0	0	օդային
aerodrome	0	0	0	0	0	0	0	0	0	0	աերոդրոմ
aerodynamics	0	0	0	0	0	0	0	0	0	0	աերոդինամիկա
aeronautics	0	0	0	0	0	0	0	0	0	0	ավիացիոն
aeroplane	0	0	0	0	0	0	0	0	0	0	ինքնաթիռ
aesthetic	0	0	0	0	0	0	1	0	0	0	գեղագիտական
aesthetics	0	0	0	0	1	0	1	0	0	0	էսթետիկա
aetiology	0	0	0	0	0	0	0	0	0	0	էթոլոգիա
afar	0	0	0	0	0	0	0	0	0	0	հեռու
affable	0	0	0	0	0	0	1	0	0	0	բարեհամբույր
affair	0	0	0	0	0	0	0	0	0	0	գործ
affecting	0	0	0	0	0	0	0	0	0	0	ազդող
affection	0	0	0	0	1	0	1	0	0	1	ջերմություն
affections	0	0	0	0	0	0	0	0	0	0	ջերմություններ
affiche	0	0	0	0	0	0	0	0	0	0	աֆիշե
affidavit	0	0	0	0	0	0	0	0	0	0	հավատարմագիր
affiliated	0	0	0	0	0	0	1	0	0	0	փոխկապակցված
affiliation	0	0	0	0	0	0	0	0	0	0	պատկանելությունը
affinity	0	0	0	0	0	0	0	0	0	0	մերձավորություն
affirm	0	0	0	0	0	0	1	0	0	1	հաստատել
affirmation	0	0	0	0	0	0	1	0	0	0	հաստատում
affirmative	0	0	0	0	0	0	1	0	0	0	հաստատական
affirmatively	0	0	0	0	0	0	1	0	0	1	դրականորեն
affix	0	0	0	0	0	0	0	0	0	0	ամրացնել
afflict	0	0	0	1	0	1	0	1	0	0	տառապել
afflicted	0	0	0	0	0	1	0	0	0	0	տառապյալ
affliction	0	0	1	1	0	1	0	1	0	0	տառապանք
affluence	0	0	0	0	1	0	1	0	0	0	հարստություն
affluent	0	0	0	0	0	0	1	0	0	0	հարուստ
afford	0	0	0	0	0	0	1	0	0	0	թույլ տալ
affront	1	0	1	1	0	1	0	1	1	0	վիրավորանք
afield	0	0	0	0	0	0	0	0	0	0	հեռավորության վրա
afore	0	0	0	0	0	0	0	0	0	0	առաջ
aforementioned	0	0	0	0	0	0	0	0	0	0	վերը նշված
aforesaid	0	0	0	0	0	0	0	0	0	0	վերը նշված
afraid	0	0	0	1	0	1	0	0	0	0	վախեցած
afresh	0	0	0	0	0	0	0	0	0	0	նորից
aft	0	0	0	0	0	0	0	0	0	0	հետնամասում
aftermath	1	0	1	1	0	1	0	1	0	0	հետեւանքները
afternoon	0	0	0	0	0	0	0	0	0	0	կեսօրից հետո
aftertaste	0	0	0	0	0	1	0	0	0	0	հետհամ
afterthought	0	0	0	0	0	0	0	0	0	0	հետո մտածողություն
aga	0	0	0	1	0	0	1	0	0	1	աղա
agate	0	0	0	0	0	0	0	0	0	0	ագատ
age	0	0	0	0	0	0	0	0	0	0	Տարիք
aged	0	0	0	0	0	0	0	0	0	0	ծերացած
agency	0	0	0	0	0	0	0	0	0	0	գործակալություն
agent	0	0	0	0	0	0	0	0	0	0	գործակալ
agglomeration	0	0	0	0	0	0	0	0	0	0	ագլոմերացիա
aggravated	1	0	0	0	0	1	0	0	0	0	սրվել
aggravating	1	0	0	0	0	1	0	1	0	0	ծանրացնող
aggravation	1	0	1	0	0	1	0	0	0	0	սրացում
aggregate	0	0	0	0	0	0	0	0	0	0	ագրեգատ
aggregation	0	0	0	0	0	0	0	0	0	0	ագրեգացիա
aggression	1	0	0	1	0	1	0	0	0	0	ագրեսիա
aggressive	1	0	0	1	0	1	0	0	0	0	ագրեսիվ
aggressor	1	0	0	1	0	1	0	0	0	0	ագրեսոր
aghast	0	0	1	1	0	1	0	0	1	0	ապշած
agile	0	0	0	0	0	0	1	0	0	0	արագաշարժ
agility	0	0	0	0	0	0	1	0	0	0	ճարպկություն
agitated	1	0	0	0	0	1	0	0	0	0	գրգռված
agitation	1	0	0	0	0	1	0	0	0	0	գրգռում
agnostic	0	0	0	0	0	0	0	0	0	0	ագնոստիկ
ago	0	0	0	0	0	0	0	0	0	0	առաջ
agonizing	0	0	0	1	0	1	0	0	0	0	տանջող
agony	1	0	0	1	0	1	0	1	0	0	տառապանք
agree	0	0	0	0	0	0	1	0	0	0	համաձայնվել
agreeable	0	0	0	0	0	0	1	0	0	1	հաճելի
agreed	0	0	0	0	0	0	1	0	0	1	համաձայնեցին
agreeing	0	0	0	0	0	0	1	0	0	1	համաձայնելով
agreement	0	0	0	0	0	0	1	0	0	1	համաձայնագիր
agricultural	0	0	0	0	0	0	0	0	0	0	գյուղատնտեսական
agriculture	0	0	0	0	0	0	1	0	0	0	գյուղատնտեսություն
aground	0	0	0	0	0	1	0	0	0	0	գետնին ընկած
agua	0	0	0	0	0	0	0	0	0	0	ագուա
ahead	0	0	0	0	0	0	1	0	0	0	առաջ
aid	0	0	0	0	0	0	1	0	0	0	օգնություն
aiding	0	0	0	0	0	0	1	0	0	0	օգնելով
ail	0	0	0	0	0	1	0	1	0	0	հիվանդ
ailing	0	0	0	1	0	1	0	1	0	0	հիվանդ
ailment	0	0	0	0	0	0	0	0	0	0	հիվանդություն
aim	0	0	0	0	0	0	0	0	0	0	նպատակ
aimless	0	0	0	0	0	1	0	0	0	0	աննպատակ
air	0	0	0	0	0	0	0	0	0	0	օդ
airbag	0	0	0	0	0	0	0	0	0	0	անվտանգության բարձիկ
airlift	0	0	0	0	0	0	0	0	0	0	ավիափոխադրում
airline	0	0	0	0	0	0	0	0	0	0	ավիաընկերություն
airman	0	0	0	0	0	0	0	0	0	0	օդաչու
airplane	0	0	0	0	0	0	0	0	0	0	ինքնաթիռ
airport	0	1	0	0	0	0	0	0	0	0	օդանավակայան
airs	0	0	1	0	0	1	0	0	0	0	եթերում
airship	0	0	0	0	0	0	0	0	0	0	օդանավ
aisle	0	0	0	0	0	0	0	0	0	0	միջանցք
ait	0	0	0	0	0	0	0	0	0	0	էթ
ajar	0	0	0	0	0	0	0	0	0	0	կիսաբաց
akin	0	0	0	0	0	0	0	0	0	1	ազգական
alabaster	0	0	0	0	0	0	1	0	0	0	ալաբաստր
alarm	0	0	0	1	0	1	0	0	1	0	ահազանգ
alarming	0	0	0	1	0	1	0	0	1	0	տագնապալի
alb	0	0	0	0	0	0	0	0	0	1	ալբ
album	0	0	0	0	0	0	0	0	0	0	ալբոմ
alchemy	0	0	0	0	0	0	0	0	0	0	ալքիմիա
alcohol	0	0	0	0	0	0	0	0	0	0	ալկոհոլ
alcoholism	1	0	1	1	0	1	0	1	0	0	ալկոհոլիզմ
alcove	0	0	0	0	0	0	0	0	0	0	խորշ
alert	0	0	0	0	0	0	0	0	0	0	զգոն
alertness	0	1	0	1	0	0	1	0	1	0	զգոնություն
alerts	0	1	0	1	0	0	0	0	1	0	ահազանգեր
alfalfa	0	0	0	0	0	0	0	0	0	0	առվույտ
algebra	0	0	0	0	0	0	0	0	0	0	հանրահաշիվ
algebraic	0	0	0	0	0	0	0	0	0	0	հանրահաշվական
algorithm	0	0	0	0	0	0	0	0	0	0	ալգորիթմ
alibi	0	0	0	0	0	0	0	0	0	0	ալիբի
alien	0	0	1	1	0	1	0	0	0	0	այլմոլորակային
alienate	1	0	1	0	0	1	0	0	0	0	օտարել
alienated	0	0	0	0	0	1	0	1	0	0	օտարված
alienation	1	0	1	1	0	1	0	1	0	0	օտարում
alight	0	0	0	0	0	0	0	0	0	0	վառվել
aligned	0	0	0	0	0	0	0	0	0	0	հավասարեցված
alignment	0	0	0	0	0	0	0	0	0	0	հավասարեցում
alike	0	0	0	0	0	0	0	0	0	0	միանման
alimentation	0	0	0	0	0	0	1	0	0	0	սնուցում
alimony	0	0	0	0	0	1	0	0	0	0	ալիմենտ
aliquot	0	0	0	0	0	0	0	0	0	0	ալիկոտ
alive	0	1	0	0	1	0	1	0	0	1	կենդանի
alkali	0	0	0	0	0	0	0	0	0	0	ալկալի
alkaloids	0	0	0	0	0	0	0	0	0	0	ալկալոիդներ
allay	0	0	0	0	0	0	1	0	0	0	մեղմել
allegation	1	0	0	0	0	1	0	0	0	0	պնդում
allege	0	0	0	0	0	1	0	0	0	0	պնդում
alleged	0	0	0	0	0	0	0	0	0	0	ենթադրյալ
allegiance	0	0	0	0	0	0	1	0	0	1	հավատարմություն
allegorical	0	0	0	0	0	0	0	0	0	0	այլաբանական
allegory	0	0	0	0	0	0	0	0	0	0	այլաբանություն
allegro	0	0	0	0	0	0	1	0	0	0	ալեգրո
alleviate	0	0	0	0	0	0	1	0	0	0	մեղմացնել
alleviation	0	0	0	0	0	0	1	0	0	0	մեղմացում
alley	0	0	0	0	0	0	0	0	0	0	նրբանցք
alliance	0	0	0	0	0	0	0	0	0	1	դաշինք
allied	0	0	0	0	0	0	1	0	0	1	դաշնակից
alligator	0	0	0	0	0	0	0	0	0	0	ալիգատոր
allocate	0	0	0	0	0	0	0	0	0	0	հատկացնել
allocation	0	0	0	0	0	0	0	0	0	0	հատկացում
allot	0	0	0	0	0	0	0	0	0	0	հատկացնել
allotment	0	0	0	0	0	0	0	0	0	0	հատկացում
allowable	0	0	0	0	0	0	1	0	0	0	թույլատրելի
allowance	0	0	0	0	0	0	0	0	0	0	նպաստ
allowed	0	0	0	0	0	0	0	0	0	0	թույլատրվում է
alloy	0	0	0	0	0	0	0	0	0	0	խառնուրդ
allure	0	1	0	0	1	0	1	0	1	0	գրավչություն
alluring	0	0	0	0	0	0	1	0	0	0	գրավիչ
allusion	0	0	0	0	0	0	0	0	0	0	ակնարկ
alluvial	0	0	0	0	0	0	0	0	0	0	ալյուվիալ
ally	0	0	0	0	0	0	1	0	0	1	դաշնակից
almanac	0	0	0	0	0	0	0	0	0	0	ալմանախ
almighty	0	0	0	0	0	0	1	0	0	0	ամենակարող
aloft	0	0	0	0	0	0	0	0	0	0	վերևում
aloha	0	1	0	0	1	0	1	0	0	0	ալոհա
alongside	0	0	0	0	0	0	0	0	0	0	կողքին
aloof	0	0	0	0	0	1	0	0	0	0	հեռու
aloud	0	0	0	0	0	0	0	0	0	0	բարձրաձայն
alphabet	0	0	0	0	0	0	0	0	0	0	Այբուբեն
alphabetical	0	0	0	0	0	0	0	0	0	0	այբբենական
altar	0	0	0	0	0	0	0	0	0	0	զոհասեղան
alter	0	0	0	0	0	0	0	0	0	0	փոխել
alteration	0	0	0	0	0	0	0	0	0	0	փոփոխություն
altercation	1	0	0	0	0	1	0	0	0	0	վիճաբանություն
altered	0	0	0	0	0	0	0	0	0	0	փոփոխված
alternate	0	0	0	0	0	0	0	0	0	0	այլընտրանքային
alternative	0	0	0	0	0	0	0	0	0	0	այլընտրանք
altitude	0	0	0	0	0	0	0	0	0	0	բարձրությունը
alto	0	0	0	0	0	0	0	0	0	0	ալտ
altogether	0	0	0	0	0	0	0	0	0	0	ընդհանրապես
alumnus	0	0	0	0	0	0	0	0	0	0	շրջանավարտ
alveolar	0	0	0	0	0	0	0	0	0	0	ալվեոլային
amalgam	0	0	0	0	0	0	0	0	0	0	ամալգամ
amalgamation	0	0	0	0	0	0	0	0	0	0	միաձուլում
amass	0	0	0	0	0	0	0	0	0	0	կուտակել
amateur	0	0	0	0	0	0	0	0	0	0	սիրողական
amaze	0	0	0	0	0	0	0	0	1	0	զարմացնել
amazement	0	0	0	0	0	0	0	0	0	0	զարմանք
amazingly	0	0	0	0	1	0	1	0	1	0	զարմանալիորեն
ambassador	0	0	0	0	0	0	1	0	0	1	Դեսպան
amber	0	0	0	0	0	0	0	0	0	0	սաթ
ambient	0	0	0	0	0	0	0	0	0	0	շրջապատող
ambiguity	0	0	0	0	0	0	0	0	0	0	անորոշություն
ambiguous	0	0	0	0	0	1	0	0	0	0	երկիմաստ
ambit	0	0	0	0	0	0	0	0	0	0	ամբիցիա
ambition	0	1	0	0	1	0	1	0	0	1	փառասիրություն
ambitious	0	0	0	0	0	0	0	0	0	0	հավակնոտ
ambulance	0	0	0	1	0	0	0	0	0	1	շտապօգնություն
ambush	1	0	0	1	0	1	0	0	1	0	դարանակալել
