English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Romanian Word
abstraction	0	0	0	0	0	0	0	0	0	0	abstractizare
absurd	0	0	0	0	0	1	0	0	0	0	absurd
absurdity	0	0	0	0	0	1	0	0	0	0	absurditate
abundance	0	1	1	0	1	1	1	0	0	1	abundenţă
abundant	0	0	0	0	1	0	1	0	0	0	abundent
abuse	1	0	1	1	0	1	0	1	0	0	abuz
abutment	0	0	0	0	0	0	0	0	0	0	bont
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abisal
abyss	0	0	0	1	0	1	0	1	0	0	abis
academic	0	0	0	0	0	0	1	0	0	1	academic
academy	0	0	0	0	0	0	1	0	0	0	academie
accede	0	0	0	0	0	0	0	0	0	0	adera
accelerate	0	1	0	0	0	0	0	0	0	0	accelera
acceleration	0	0	0	0	0	0	0	0	0	0	accelerare
accent	0	0	0	0	0	0	0	0	0	0	accent
accentuate	0	0	0	0	0	0	0	0	0	0	accentua
accept	0	0	0	0	0	0	0	0	0	0	Accept
acceptable	0	0	0	0	0	0	1	0	0	0	acceptabil
acceptance	0	0	0	0	0	0	1	0	0	0	acceptare
access	0	0	0	0	0	0	0	0	0	0	acces
accessible	0	0	0	0	0	0	1	0	0	0	accesibil
accession	0	0	0	0	0	0	0	0	0	0	aderare
accessory	0	0	0	0	0	0	0	0	0	0	accesorii
accident	0	0	0	1	0	1	0	1	1	0	accident
accidental	0	0	0	1	0	1	0	0	1	0	accidental
accidentally	0	0	0	0	0	0	0	0	1	0	accidental
accolade	0	1	0	0	1	0	1	0	1	1	acoladă
accommodate	0	0	0	0	0	0	0	0	0	0	găzdui
accommodation	0	0	0	0	0	0	1	0	0	0	cazare
accompaniment	0	1	0	0	1	0	1	0	0	1	acompaniament
accompany	0	0	0	0	0	0	0	0	0	0	însoți
accompanying	0	0	0	0	0	0	0	0	0	0	însoțitor
accomplice	0	0	0	0	0	0	0	0	0	0	complice
accomplish	0	0	0	0	1	0	1	0	0	0	realiza
accomplished	0	0	0	0	1	0	1	0	0	0	realizat
accomplishment	0	0	0	0	0	0	1	0	0	0	realizare
accord	0	0	0	0	0	0	1	0	0	1	acord
accordance	0	0	0	0	0	0	0	0	0	0	în conformitate
accordion	0	0	0	0	0	0	0	0	0	0	acordeon
account	0	0	0	0	0	0	0	0	0	1	cont
accountability	0	0	0	0	0	0	1	0	0	1	responsabilitate
accountable	0	0	0	0	0	0	1	0	0	1	responsabil
accountant	0	0	0	0	0	0	0	0	0	1	contabil
accounting	0	0	0	0	0	0	0	0	0	0	contabilitate
accounts	0	0	0	0	0	0	0	0	0	1	conturi
accredited	0	0	0	0	0	0	1	0	0	1	acreditat
accretion	0	0	0	0	0	0	0	0	0	0	acumulare
accrue	0	0	0	0	0	0	0	0	0	0	acumulează
accueil	0	0	0	0	0	0	1	0	0	0	primire
accumulate	0	0	0	0	0	0	0	0	0	0	acumula
accumulation	0	0	0	0	0	0	0	0	0	0	acumulare
accuracy	0	0	0	0	0	0	0	0	0	0	precizie
accurate	0	0	0	0	0	0	1	0	0	1	exacte
accursed	1	0	0	1	0	1	0	1	0	0	blestemat
accusation	1	0	1	0	0	1	0	0	0	0	acuzare
accusative	0	0	0	0	0	1	0	0	0	0	acuzativ
accused	1	0	0	1	0	1	0	0	0	0	acuzat
accuser	1	0	0	1	0	1	0	0	0	0	acuzator
accusing	1	0	0	1	0	1	0	0	0	0	acuzând
accustomed	0	0	0	0	0	0	0	0	0	0	obișnuit
ace	0	0	0	0	0	0	1	0	0	0	as
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	durere
achieve	0	0	0	0	1	0	1	0	0	1	obține
achievement	0	1	0	0	1	0	1	0	0	1	realizare
aching	0	0	0	0	0	1	0	1	0	0	durere
acid	0	0	0	0	0	1	0	0	0	0	acid
acidity	0	0	0	0	0	0	0	0	0	0	aciditate
acknowledge	0	0	0	0	0	0	0	0	0	0	recunoaște
acknowledged	0	0	0	0	0	0	0	0	0	0	recunoscut
acknowledgment	0	0	0	0	0	0	1	0	0	0	confirmare
acme	0	0	0	0	0	0	0	0	0	0	culme
acoustic	0	0	0	0	0	0	0	0	0	0	acustic
acoustics	0	0	0	0	0	0	0	0	0	0	acustică
acquaint	0	0	0	0	0	0	0	0	0	0	cunoaște
acquaintance	0	0	0	0	0	0	0	0	0	0	cunoștință
acquainted	0	0	0	0	0	0	0	0	0	0	cunoscut
acquiescence	0	0	0	0	0	0	0	0	0	0	încuviințare
acquire	0	0	0	0	0	0	1	0	0	0	dobândi
acquiring	0	1	0	0	0	0	1	0	0	0	dobândind
acquisition	0	0	0	0	0	0	0	0	0	0	achiziţie
acquisitions	0	0	0	0	0	0	0	0	0	0	achizitii
acreage	0	0	0	0	0	0	0	0	0	0	suprafata
acres	0	0	0	0	0	0	0	0	0	0	acri
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	act
acting	0	0	0	0	0	0	0	0	0	0	actorie
action	0	0	0	0	0	0	1	0	0	0	acțiune
actionable	1	0	1	0	0	1	0	0	0	0	acționabilă
active	0	0	0	0	0	0	0	0	0	0	activ
activity	0	0	0	0	0	0	0	0	0	0	activitate
actor	0	0	0	0	0	0	0	0	0	0	actor
actual	0	0	0	0	0	0	1	0	0	0	real
actuality	0	0	0	0	0	0	0	0	0	0	actualitatea
actuary	0	0	0	0	0	0	0	0	0	0	actuar
acuity	0	0	0	0	0	0	1	0	0	0	acuitate
acumen	0	0	0	0	0	0	1	0	0	0	pătrundere
acupuncture	0	0	0	0	0	0	0	0	0	0	acupunctura
acutely	0	0	0	0	0	0	0	0	0	0	acut
adage	0	0	0	0	0	0	0	0	0	0	zicală
adamant	0	0	0	0	0	0	0	0	0	0	neclintit
adapt	0	0	0	0	0	0	1	0	0	0	adapta
adaptable	0	0	0	0	0	0	1	0	0	0	adaptabil
add	0	0	0	0	0	0	0	0	0	0	adăuga
added	0	0	0	0	0	0	0	0	0	0	adăugat
addendum	0	0	0	0	0	0	0	0	0	0	addendum
adder	1	0	1	1	0	1	0	1	0	0	sumator
addiction	0	0	0	0	0	1	0	0	0	0	dependenta
addition	0	0	0	0	0	0	0	0	0	0	plus
additional	0	0	0	0	0	0	0	0	0	0	adiţional
additive	0	0	0	0	0	0	0	0	0	0	aditiv
address	0	0	0	0	0	0	0	0	0	0	abordare
addressee	0	0	0	0	0	0	0	0	0	0	destinatar
addresses	0	1	0	0	0	0	1	0	0	0	adrese
adept	0	0	0	0	0	0	1	0	0	0	adept
adequacy	0	0	0	0	0	0	1	0	0	0	adecvarea
adequate	0	0	0	0	0	0	0	0	0	0	adecvat
adhere	0	0	0	0	0	0	0	0	0	0	adera
adherence	0	0	0	0	0	0	0	0	0	0	aderenta
adherent	0	0	0	0	0	0	0	0	0	0	aderent
adhering	0	0	0	0	0	0	0	0	0	1	aderare
adhesion	0	0	0	0	0	0	0	0	0	0	adeziune
adhesive	0	0	0	0	0	0	0	0	0	0	adeziv
adieu	0	0	0	0	0	0	0	0	0	0	Adio
adipose	0	0	0	0	0	1	0	0	0	0	adipos
adjacency	0	0	0	0	0	0	0	0	0	0	adiacenta
adjacent	0	0	0	0	0	0	0	0	0	0	adiacent
adjective	0	0	0	0	0	0	0	0	0	0	adjectiv
adjoining	0	0	0	0	0	0	0	0	0	0	alăturat
adjourn	0	0	0	0	0	0	0	0	0	0	amână
adjournment	0	0	0	0	0	0	0	0	0	0	amânare
adjudicate	0	0	0	1	0	1	0	0	0	0	judeca
adjudication	0	0	0	0	0	0	0	0	0	0	adjudecare
adjunct	0	0	0	0	0	0	1	0	0	0	adjunct
adjust	0	0	0	0	0	0	0	0	0	0	regla
adjustment	0	0	0	0	0	0	0	0	0	0	ajustare
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	administra
administration	0	0	0	0	0	0	0	0	0	0	administrare
administrative	0	0	0	0	0	0	0	0	0	1	administrativ
admirable	0	0	0	0	1	0	1	0	0	1	admirabil
admiral	0	0	0	0	0	0	1	0	0	1	amiral
admiralty	0	0	0	0	0	0	0	0	0	0	amiralitate
admiration	0	0	0	0	1	0	1	0	0	1	admirație
admire	0	0	0	0	0	0	1	0	0	1	admira
admirer	0	0	0	0	0	0	1	0	0	0	admirator
admissibility	0	0	0	0	0	0	0	0	0	0	admisibilitate
admissible	0	0	0	0	0	0	1	0	0	1	admisibilă
admission	0	0	0	0	0	0	0	0	0	0	admitere
admit	0	0	0	0	0	0	0	0	0	0	admite
admittance	0	0	0	0	0	0	0	0	0	0	admitere
admitted	0	0	0	0	0	0	0	0	0	0	admis
admitting	0	0	0	0	0	0	0	0	0	0	admitând
admixture	0	0	0	0	0	0	0	0	0	0	amestec
admonition	0	0	0	1	0	1	0	0	0	0	avertizare
ado	0	0	0	0	0	0	0	0	0	0	zgomot
adobe	0	0	0	0	0	0	0	0	0	0	chirpici
adolescence	0	0	0	0	0	0	0	0	0	0	adolescent
adolescent	0	0	0	0	0	0	0	0	0	0	adolescent
adopt	0	0	0	0	0	0	0	0	0	0	adopta
adoption	0	0	0	0	0	0	0	0	0	0	adopţie
adorable	0	0	0	0	1	0	1	0	0	0	adorabil
adoration	0	0	0	0	1	0	1	0	0	1	adorare
adore	0	1	0	0	1	0	1	0	0	1	adora
adorn	0	0	0	0	0	0	0	0	0	0	împodobi
adornment	0	0	0	0	0	0	0	0	0	0	podoabă
adrift	0	1	0	1	0	1	0	1	0	0	în derivă
adult	0	0	0	0	0	0	0	0	0	0	adult
adulterated	0	0	0	0	0	1	0	0	0	0	alterat
adultery	0	0	1	0	0	1	0	1	0	0	adulter
advance	0	1	0	1	1	0	1	0	1	0	avans
advanced	0	0	0	0	0	0	1	0	0	0	avansat
advancement	0	0	0	0	0	0	1	0	0	0	avansare
advancing	0	0	0	0	0	0	0	0	0	0	înaintând
advantage	0	0	0	0	0	0	1	0	0	0	avantaj
advantageous	0	0	0	0	0	0	1	0	0	0	avantajos
advent	0	1	0	0	1	0	1	0	0	1	venire
adventure	0	1	0	0	0	0	1	0	0	0	aventură
adventurer	0	0	0	0	0	0	0	0	0	0	aventurier
adventurous	0	0	0	0	0	0	1	0	0	0	aventuros
adversary	1	0	0	0	0	1	0	0	0	0	adversar
adverse	1	0	1	1	0	1	0	1	0	0	advers
adversity	1	0	0	1	0	1	0	1	0	0	adversitate
advertise	0	0	0	0	0	0	0	0	0	0	face publicitate
advertisement	0	0	0	0	0	0	0	0	0	0	publicitate
advice	0	0	0	0	0	0	0	0	0	1	sfat
advisable	0	0	0	0	0	0	1	0	0	1	recomandabil
advise	0	0	0	0	0	0	1	0	0	1	recomanda
advised	0	0	0	0	0	0	0	0	0	1	sfătuit
advisement	0	0	0	0	0	0	0	0	0	0	sfat
adviser	0	0	0	0	0	0	1	0	0	1	consilier
advocacy	1	1	0	0	1	0	1	0	0	1	advocacy
advocate	0	0	0	0	0	0	0	0	0	1	avocat
aegis	0	0	0	0	0	0	0	0	0	0	egida
aeration	0	0	0	0	0	0	0	0	0	0	aerare
aerial	0	0	0	0	0	0	0	0	0	0	aerian
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrom
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamica
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautică
aeroplane	0	0	0	0	0	0	0	0	0	0	avion
aesthetic	0	0	0	0	0	0	1	0	0	0	estetic
aesthetics	0	0	0	0	1	0	1	0	0	0	estetică
aetiology	0	0	0	0	0	0	0	0	0	0	etiologie
afar	0	0	0	0	0	0	0	0	0	0	departe
affable	0	0	0	0	0	0	1	0	0	0	afabil
affair	0	0	0	0	0	0	0	0	0	0	afacere
affecting	0	0	0	0	0	0	0	0	0	0	afectând
affection	0	0	0	0	1	0	1	0	0	1	afecţiune
affections	0	0	0	0	0	0	0	0	0	0	afectiuni
affiche	0	0	0	0	0	0	0	0	0	0	afiș
affidavit	0	0	0	0	0	0	0	0	0	0	declarație
affiliated	0	0	0	0	0	0	1	0	0	0	afiliat
affiliation	0	0	0	0	0	0	0	0	0	0	afiliere
affinity	0	0	0	0	0	0	0	0	0	0	afinitate
affirm	0	0	0	0	0	0	1	0	0	1	afirma
affirmation	0	0	0	0	0	0	1	0	0	0	afirmare
affirmative	0	0	0	0	0	0	1	0	0	0	afirmativ
affirmatively	0	0	0	0	0	0	1	0	0	1	afirmativ
affix	0	0	0	0	0	0	0	0	0	0	afix
afflict	0	0	0	1	0	1	0	1	0	0	dezola
afflicted	0	0	0	0	0	1	0	0	0	0	nenorocit
affliction	0	0	1	1	0	1	0	1	0	0	suferinta
affluence	0	0	0	0	1	0	1	0	0	0	bunăstare
affluent	0	0	0	0	0	0	1	0	0	0	afluent
afford	0	0	0	0	0	0	1	0	0	0	permite
affront	1	0	1	1	0	1	0	1	1	0	afront
afield	0	0	0	0	0	0	0	0	0	0	departe
afore	0	0	0	0	0	0	0	0	0	0	înainte
aforementioned	0	0	0	0	0	0	0	0	0	0	mentionate mai sus
aforesaid	0	0	0	0	0	0	0	0	0	0	mai sus mentionat
afraid	0	0	0	1	0	1	0	0	0	0	frică
afresh	0	0	0	0	0	0	0	0	0	0	din nou
aft	0	0	0	0	0	0	0	0	0	0	la pupa
aftermath	1	0	1	1	0	1	0	1	0	0	Urmări
afternoon	0	0	0	0	0	0	0	0	0	0	dupa amiaza
aftertaste	0	0	0	0	0	1	0	0	0	0	gust care persista
afterthought	0	0	0	0	0	0	0	0	0	0	după gânduri
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agat
age	0	0	0	0	0	0	0	0	0	0	vârstă
aged	0	0	0	0	0	0	0	0	0	0	în vârstă
agency	0	0	0	0	0	0	0	0	0	0	agenţie
agent	0	0	0	0	0	0	0	0	0	0	agent
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomerare
aggravated	1	0	0	0	0	1	0	0	0	0	agravat
aggravating	1	0	0	0	0	1	0	1	0	0	agravante
aggravation	1	0	1	0	0	1	0	0	0	0	agravare
aggregate	0	0	0	0	0	0	0	0	0	0	agregat
aggregation	0	0	0	0	0	0	0	0	0	0	agregare
aggression	1	0	0	1	0	1	0	0	0	0	agresiune
aggressive	1	0	0	1	0	1	0	0	0	0	agresiv
aggressor	1	0	0	1	0	1	0	0	0	0	agresor
aghast	0	0	1	1	0	1	0	0	1	0	îngrozit
agile	0	0	0	0	0	0	1	0	0	0	agil
agility	0	0	0	0	0	0	1	0	0	0	agilitate
agitated	1	0	0	0	0	1	0	0	0	0	agitat
agitation	1	0	0	0	0	1	0	0	0	0	agitaţie
agnostic	0	0	0	0	0	0	0	0	0	0	agnostic
ago	0	0	0	0	0	0	0	0	0	0	în urmă
agonizing	0	0	0	1	0	1	0	0	0	0	agonizant
agony	1	0	0	1	0	1	0	1	0	0	agonie
agree	0	0	0	0	0	0	1	0	0	0	de acord
agreeable	0	0	0	0	0	0	1	0	0	1	agreabil
agreed	0	0	0	0	0	0	1	0	0	1	de acord
agreeing	0	0	0	0	0	0	1	0	0	1	fiind de acord
agreement	0	0	0	0	0	0	1	0	0	1	acord
agricultural	0	0	0	0	0	0	0	0	0	0	agricol
agriculture	0	0	0	0	0	0	1	0	0	0	agricultură
aground	0	0	0	0	0	1	0	0	0	0	eşuat
agua	0	0	0	0	0	0	0	0	0	0	apa
ahead	0	0	0	0	0	0	1	0	0	0	înainte
aid	0	0	0	0	0	0	1	0	0	0	ajutor
aiding	0	0	0	0	0	0	1	0	0	0	ajutând
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	bolnavă
ailment	0	0	0	0	0	0	0	0	0	0	boală
aim	0	0	0	0	0	0	0	0	0	0	scop
aimless	0	0	0	0	0	1	0	0	0	0	fără rost
air	0	0	0	0	0	0	0	0	0	0	aer
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	transport aerian
airline	0	0	0	0	0	0	0	0	0	0	companie aeriană
airman	0	0	0	0	0	0	0	0	0	0	aviator
airplane	0	0	0	0	0	0	0	0	0	0	avion
airport	0	1	0	0	0	0	0	0	0	0	aeroport
airs	0	0	1	0	0	1	0	0	0	0	aerisire
airship	0	0	0	0	0	0	0	0	0	0	dirijabil
aisle	0	0	0	0	0	0	0	0	0	0	interval
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	întredeschisă
akin	0	0	0	0	0	0	0	0	0	1	înrudit
alabaster	0	0	0	0	0	0	1	0	0	0	alabastru
alarm	0	0	0	1	0	1	0	0	1	0	alarma
alarming	0	0	0	1	0	1	0	0	1	0	alarmant
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchimie
alcohol	0	0	0	0	0	0	0	0	0	0	alcool
alcoholism	1	0	1	1	0	1	0	1	0	0	alcoolism
alcove	0	0	0	0	0	0	0	0	0	0	nişă
alert	0	0	0	0	0	0	0	0	0	0	alerta
alertness	0	1	0	1	0	0	1	0	1	0	vigilenţă
alerts	0	1	0	1	0	0	0	0	1	0	alerte
alfalfa	0	0	0	0	0	0	0	0	0	0	lucernă
algebra	0	0	0	0	0	0	0	0	0	0	algebră
algebraic	0	0	0	0	0	0	0	0	0	0	algebric
algorithm	0	0	0	0	0	0	0	0	0	0	algoritm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	străin
alienate	1	0	1	0	0	1	0	0	0	0	înstrăina
alienated	0	0	0	0	0	1	0	1	0	0	înstrăinat
alienation	1	0	1	1	0	1	0	1	0	0	alienare
alight	0	0	0	0	0	0	0	0	0	0	aprins
aligned	0	0	0	0	0	0	0	0	0	0	aliniat
alignment	0	0	0	0	0	0	0	0	0	0	aliniere
alike	0	0	0	0	0	0	0	0	0	0	deopotrivă
alimentation	0	0	0	0	0	0	1	0	0	0	alimentatie
alimony	0	0	0	0	0	1	0	0	0	0	pensie alimentară
aliquot	0	0	0	0	0	0	0	0	0	0	alicot
alive	0	1	0	0	1	0	1	0	0	1	în viaţă
alkali	0	0	0	0	0	0	0	0	0	0	alcaline
alkaloids	0	0	0	0	0	0	0	0	0	0	alcaloizi
allay	0	0	0	0	0	0	1	0	0	0	alina
allegation	1	0	0	0	0	1	0	0	0	0	afirmaţie
allege	0	0	0	0	0	1	0	0	0	0	pretind
alleged	0	0	0	0	0	0	0	0	0	0	pretins
allegiance	0	0	0	0	0	0	1	0	0	1	loialitate
allegorical	0	0	0	0	0	0	0	0	0	0	alegoric
allegory	0	0	0	0	0	0	0	0	0	0	alegorie
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	atenua
alleviation	0	0	0	0	0	0	1	0	0	0	atenuare
alley	0	0	0	0	0	0	0	0	0	0	alee
alliance	0	0	0	0	0	0	0	0	0	1	alianţă
allied	0	0	0	0	0	0	1	0	0	1	aliat
alligator	0	0	0	0	0	0	0	0	0	0	aligator
allocate	0	0	0	0	0	0	0	0	0	0	aloca
allocation	0	0	0	0	0	0	0	0	0	0	alocare
allot	0	0	0	0	0	0	0	0	0	0	aloca
allotment	0	0	0	0	0	0	0	0	0	0	alocare
allowable	0	0	0	0	0	0	1	0	0	0	admisibil
allowance	0	0	0	0	0	0	0	0	0	0	indemnizatie
allowed	0	0	0	0	0	0	0	0	0	0	permis
alloy	0	0	0	0	0	0	0	0	0	0	aliaj
allure	0	1	0	0	1	0	1	0	1	0	alura
alluring	0	0	0	0	0	0	1	0	0	0	ademenitor
allusion	0	0	0	0	0	0	0	0	0	0	aluzie
alluvial	0	0	0	0	0	0	0	0	0	0	aluvionare
ally	0	0	0	0	0	0	1	0	0	1	aliat
almanac	0	0	0	0	0	0	0	0	0	0	almanah
almighty	0	0	0	0	0	0	1	0	0	0	atotputernic
aloft	0	0	0	0	0	0	0	0	0	0	în aer
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	pe langa
aloof	0	0	0	0	0	1	0	0	0	0	departe
aloud	0	0	0	0	0	0	0	0	0	0	cu voce tare
alphabet	0	0	0	0	0	0	0	0	0	0	alfabet
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabetic
altar	0	0	0	0	0	0	0	0	0	0	altar
alter	0	0	0	0	0	0	0	0	0	0	modifica
alteration	0	0	0	0	0	0	0	0	0	0	modificare
altercation	1	0	0	0	0	1	0	0	0	0	altercaţie
altered	0	0	0	0	0	0	0	0	0	0	alterat
alternate	0	0	0	0	0	0	0	0	0	0	alterna
alternative	0	0	0	0	0	0	0	0	0	0	alternativă
altitude	0	0	0	0	0	0	0	0	0	0	altitudine
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	cu totul
alumnus	0	0	0	0	0	0	0	0	0	0	absolvent
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	amalgamare
amass	0	0	0	0	0	0	0	0	0	0	aduna
amateur	0	0	0	0	0	0	0	0	0	0	amator
amaze	0	0	0	0	0	0	0	0	1	0	uimi
amazement	0	0	0	0	0	0	0	0	0	0	uimire
amazingly	0	0	0	0	1	0	1	0	1	0	uimitor
ambassador	0	0	0	0	0	0	1	0	0	1	ambasador
amber	0	0	0	0	0	0	0	0	0	0	chihlimbar
ambient	0	0	0	0	0	0	0	0	0	0	înconjurător
ambiguity	0	0	0	0	0	0	0	0	0	0	ambiguitate
ambiguous	0	0	0	0	0	1	0	0	0	0	ambiguu
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	ambiţie
ambitious	0	0	0	0	0	0	0	0	0	0	ambiţios
ambulance	0	0	0	1	0	0	0	0	0	1	ambulanță
ambush	1	0	0	1	0	1	0	0	1	0	ambuscadă
ameliorate	0	0	0	0	0	0	1	0	0	0	ameliora
amen	0	0	0	0	1	0	1	0	0	1	Amin
amenable	0	0	0	0	0	0	1	0	0	0	susceptibil
amend	0	0	0	0	0	0	1	0	0	0	modifica
amendment	0	0	0	0	0	0	0	0	0	0	amendament
amends	0	0	0	0	0	0	1	0	0	0	amendeaza
amenity	0	0	0	0	0	0	1	0	0	0	amenitate
amethyst	0	0	0	0	0	0	0	0	0	0	ametist
amiable	0	0	0	0	0	0	1	0	0	0	amabil
amicable	0	0	0	0	1	0	1	0	0	0	amiabil
amid	0	0	0	0	0	0	0	0	0	0	în mijlocul
amidst	0	0	0	0	0	0	0	0	0	0	în mijlocul
ammonia	0	0	1	0	0	0	0	0	0	0	amoniac
ammunition	0	0	0	0	0	0	0	0	0	0	muniţie
amnesia	0	0	0	0	0	1	0	0	0	0	amnezie
amnesty	0	0	0	0	1	0	1	0	0	0	amnistia
amorphous	0	0	0	0	0	0	0	0	0	0	amorf
amortization	0	0	0	0	0	0	0	0	0	1	amortizare
amount	0	0	0	0	0	0	0	0	0	0	Cantitate
amour	0	1	0	0	1	0	1	0	0	1	amour
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetaminele
amphibian	0	0	0	0	0	0	0	0	0	0	amfibiu
amphibious	0	0	0	0	0	0	0	0	0	0	amfibiu
amphitheater	0	0	0	0	0	0	0	0	0	0	amfiteatru
amplification	0	0	0	0	0	0	0	0	0	0	amplificare
amplify	0	0	0	0	0	0	0	0	0	0	amplifica
amplitude	0	0	0	0	0	0	0	0	0	0	amplitudine
amply	0	0	0	0	0	0	0	0	0	0	amplu
amputation	0	0	0	0	0	0	0	0	0	0	amputare
amulet	0	0	0	0	0	0	0	0	0	0	amuletă
amuse	0	0	0	0	1	0	1	0	0	0	amuza
amused	0	0	0	0	1	0	1	0	0	0	amuzat
amusement	0	0	0	0	1	0	1	0	0	0	amuzament
amusing	0	0	0	0	1	0	1	0	0	0	amuzant
ana	0	0	0	0	0	0	0	0	0	0	ana
anaconda	0	0	1	1	0	1	0	0	0	0	anaconda
