English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Chinese-Traditional Word
absent	0	0	0	0	0	1	0	1	0	0	缺席的
absentee	0	0	0	0	0	1	0	1	0	0	缺席者
absenteeism	0	0	0	0	0	1	0	0	0	0	曠工
absinthe	0	0	0	0	0	0	0	0	0	0	苦艾酒
absolute	0	0	0	0	0	0	1	0	0	0	絕對
absolution	0	0	0	0	1	0	1	0	0	1	赦免
absorbed	0	0	0	0	0	0	1	0	0	0	吸收
absorbent	0	0	0	0	0	0	0	0	0	0	吸水
absorbing	0	0	0	0	0	0	0	0	0	0	吸收
absorption	0	0	0	0	0	0	0	0	0	0	吸收
abstain	0	0	0	0	0	0	0	0	0	0	棄權
abstention	0	0	0	0	0	0	0	0	0	0	棄權
abstinence	0	0	0	0	0	0	0	0	0	0	節制
abstract	0	0	0	0	0	0	0	0	0	0	抽象的
abstraction	0	0	0	0	0	0	0	0	0	0	抽象
absurd	0	0	0	0	0	1	0	0	0	0	荒誕
absurdity	0	0	0	0	0	1	0	0	0	0	荒謬
abundance	0	1	1	0	1	1	1	0	0	1	豐富
abundant	0	0	0	0	1	0	1	0	0	0	豐富
abuse	1	0	1	1	0	1	0	1	0	0	虐待
abutment	0	0	0	0	0	0	0	0	0	0	鄰接
aby	0	0	0	0	0	0	0	0	0	0	阿比
abysmal	0	0	0	0	0	1	0	1	0	0	糟糕透了
abyss	0	0	0	1	0	1	0	1	0	0	深淵
academic	0	0	0	0	0	0	1	0	0	1	學術的
academy	0	0	0	0	0	0	1	0	0	0	學院
accede	0	0	0	0	0	0	0	0	0	0	加入
accelerate	0	1	0	0	0	0	0	0	0	0	加速
acceleration	0	0	0	0	0	0	0	0	0	0	加速度
accent	0	0	0	0	0	0	0	0	0	0	口音
accentuate	0	0	0	0	0	0	0	0	0	0	強調
accept	0	0	0	0	0	0	0	0	0	0	接受
acceptable	0	0	0	0	0	0	1	0	0	0	可接受的
acceptance	0	0	0	0	0	0	1	0	0	0	驗收
access	0	0	0	0	0	0	0	0	0	0	使用權
accessible	0	0	0	0	0	0	1	0	0	0	無障礙
accession	0	0	0	0	0	0	0	0	0	0	加入
accessory	0	0	0	0	0	0	0	0	0	0	配飾
accident	0	0	0	1	0	1	0	1	1	0	事故
accidental	0	0	0	1	0	1	0	0	1	0	偶然
accidentally	0	0	0	0	0	0	0	0	1	0	偶然
accolade	0	1	0	0	1	0	1	0	1	1	榮譽
accommodate	0	0	0	0	0	0	0	0	0	0	容納
accommodation	0	0	0	0	0	0	1	0	0	0	住宿
accompaniment	0	1	0	0	1	0	1	0	0	1	伴奏
accompany	0	0	0	0	0	0	0	0	0	0	陪伴
accompanying	0	0	0	0	0	0	0	0	0	0	隨同
accomplice	0	0	0	0	0	0	0	0	0	0	同案犯
accomplish	0	0	0	0	1	0	1	0	0	0	完成
accomplished	0	0	0	0	1	0	1	0	0	0	完成
accomplishment	0	0	0	0	0	0	1	0	0	0	成就
accord	0	0	0	0	0	0	1	0	0	1	符合
accordance	0	0	0	0	0	0	0	0	0	0	按照
accordion	0	0	0	0	0	0	0	0	0	0	手風琴
account	0	0	0	0	0	0	0	0	0	1	帳戶
accountability	0	0	0	0	0	0	1	0	0	1	問責制
accountable	0	0	0	0	0	0	1	0	0	1	負責任的
accountant	0	0	0	0	0	0	0	0	0	1	會計
accounting	0	0	0	0	0	0	0	0	0	0	會計
accounts	0	0	0	0	0	0	0	0	0	1	帳戶
accredited	0	0	0	0	0	0	1	0	0	1	認可的
accretion	0	0	0	0	0	0	0	0	0	0	吸積
accrue	0	0	0	0	0	0	0	0	0	0	累積
accueil	0	0	0	0	0	0	1	0	0	0	累積
accumulate	0	0	0	0	0	0	0	0	0	0	積累
accumulation	0	0	0	0	0	0	0	0	0	0	積累
accuracy	0	0	0	0	0	0	0	0	0	0	準確性
accurate	0	0	0	0	0	0	1	0	0	1	準確的
accursed	1	0	0	1	0	1	0	1	0	0	被詛咒的
accusation	1	0	1	0	0	1	0	0	0	0	指控
accusative	0	0	0	0	0	1	0	0	0	0	賓格
accused	1	0	0	1	0	1	0	0	0	0	被告
accuser	1	0	0	1	0	1	0	0	0	0	原告
accusing	1	0	0	1	0	1	0	0	0	0	指責
accustomed	0	0	0	0	0	0	0	0	0	0	習慣了
ace	0	0	0	0	0	0	1	0	0	0	高手
acetic	0	0	0	0	0	0	0	0	0	0	醋酸
ache	0	0	0	0	0	1	0	1	0	0	疼痛
achieve	0	0	0	0	1	0	1	0	0	1	達到
achievement	0	1	0	0	1	0	1	0	0	1	成就
aching	0	0	0	0	0	1	0	1	0	0	疼痛
acid	0	0	0	0	0	1	0	0	0	0	酸
acidity	0	0	0	0	0	0	0	0	0	0	酸度
acknowledge	0	0	0	0	0	0	0	0	0	0	承認
acknowledged	0	0	0	0	0	0	0	0	0	0	承認
acknowledgment	0	0	0	0	0	0	1	0	0	0	致謝
acme	0	0	0	0	0	0	0	0	0	0	極致
acoustic	0	0	0	0	0	0	0	0	0	0	聲學
acoustics	0	0	0	0	0	0	0	0	0	0	聲學
acquaint	0	0	0	0	0	0	0	0	0	0	熟悉
acquaintance	0	0	0	0	0	0	0	0	0	0	熟人
acquainted	0	0	0	0	0	0	0	0	0	0	熟悉的
acquiescence	0	0	0	0	0	0	0	0	0	0	默認
acquire	0	0	0	0	0	0	1	0	0	0	獲得
acquiring	0	1	0	0	0	0	1	0	0	0	獲取
acquisition	0	0	0	0	0	0	0	0	0	0	獲得
acquisitions	0	0	0	0	0	0	0	0	0	0	收購
acreage	0	0	0	0	0	0	0	0	0	0	面積
acres	0	0	0	0	0	0	0	0	0	0	英畝
acrobat	0	0	0	1	1	0	1	0	0	1	雜技演員
act	0	0	0	0	0	0	0	0	0	0	行為
acting	0	0	0	0	0	0	0	0	0	0	演戲
action	0	0	0	0	0	0	1	0	0	0	行動
actionable	1	0	1	0	0	1	0	0	0	0	可操作的
active	0	0	0	0	0	0	0	0	0	0	積極的
activity	0	0	0	0	0	0	0	0	0	0	活動
actor	0	0	0	0	0	0	0	0	0	0	演員
actual	0	0	0	0	0	0	1	0	0	0	實際的
actuality	0	0	0	0	0	0	0	0	0	0	現實
actuary	0	0	0	0	0	0	0	0	0	0	精算師
acuity	0	0	0	0	0	0	1	0	0	0	敏銳度
acumen	0	0	0	0	0	0	1	0	0	0	敏銳
acupuncture	0	0	0	0	0	0	0	0	0	0	針刺
acutely	0	0	0	0	0	0	0	0	0	0	尖銳地
adage	0	0	0	0	0	0	0	0	0	0	諺語
adamant	0	0	0	0	0	0	0	0	0	0	固執的
adapt	0	0	0	0	0	0	1	0	0	0	適應
adaptable	0	0	0	0	0	0	1	0	0	0	適應性強
add	0	0	0	0	0	0	0	0	0	0	添加
added	0	0	0	0	0	0	0	0	0	0	添加
addendum	0	0	0	0	0	0	0	0	0	0	附錄
adder	1	0	1	1	0	1	0	1	0	0	加法器
addiction	0	0	0	0	0	1	0	0	0	0	癮
addition	0	0	0	0	0	0	0	0	0	0	添加
additional	0	0	0	0	0	0	0	0	0	0	額外的
additive	0	0	0	0	0	0	0	0	0	0	添加劑
address	0	0	0	0	0	0	0	0	0	0	地址
addressee	0	0	0	0	0	0	0	0	0	0	收件人
addresses	0	1	0	0	0	0	1	0	0	0	地址
adept	0	0	0	0	0	0	1	0	0	0	行家
adequacy	0	0	0	0	0	0	1	0	0	0	充分性
adequate	0	0	0	0	0	0	0	0	0	0	足夠的
adhere	0	0	0	0	0	0	0	0	0	0	堅持
adherence	0	0	0	0	0	0	0	0	0	0	依從性
adherent	0	0	0	0	0	0	0	0	0	0	依附的
adhering	0	0	0	0	0	0	0	0	0	1	堅持
adhesion	0	0	0	0	0	0	0	0	0	0	附著力
adhesive	0	0	0	0	0	0	0	0	0	0	粘合劑
adieu	0	0	0	0	0	0	0	0	0	0	再見
adipose	0	0	0	0	0	1	0	0	0	0	脂肪
adjacency	0	0	0	0	0	0	0	0	0	0	鄰接
adjacent	0	0	0	0	0	0	0	0	0	0	鄰近的
adjective	0	0	0	0	0	0	0	0	0	0	形容詞
adjoining	0	0	0	0	0	0	0	0	0	0	毗鄰的
adjourn	0	0	0	0	0	0	0	0	0	0	休會
adjournment	0	0	0	0	0	0	0	0	0	0	休會
adjudicate	0	0	0	1	0	1	0	0	0	0	裁定
adjudication	0	0	0	0	0	0	0	0	0	0	裁決
adjunct	0	0	0	0	0	0	1	0	0	0	附件
adjust	0	0	0	0	0	0	0	0	0	0	調整
adjustment	0	0	0	0	0	0	0	0	0	0	調整
adjuvant	0	0	0	0	0	0	0	0	0	0	佐劑
administer	0	0	0	0	0	0	0	0	0	0	管理
administration	0	0	0	0	0	0	0	0	0	0	行政
administrative	0	0	0	0	0	0	0	0	0	1	行政的
admirable	0	0	0	0	1	0	1	0	0	1	令人欽佩
admiral	0	0	0	0	0	0	1	0	0	1	上將
admiralty	0	0	0	0	0	0	0	0	0	0	金鐘
admiration	0	0	0	0	1	0	1	0	0	1	欽佩
admire	0	0	0	0	0	0	1	0	0	1	欽佩
admirer	0	0	0	0	0	0	1	0	0	0	愛慕者
admissibility	0	0	0	0	0	0	0	0	0	0	可受理性
admissible	0	0	0	0	0	0	1	0	0	1	可接受的
admission	0	0	0	0	0	0	0	0	0	0	錄取
admit	0	0	0	0	0	0	0	0	0	0	承認
admittance	0	0	0	0	0	0	0	0	0	0	准入
admitted	0	0	0	0	0	0	0	0	0	0	錄取
admitting	0	0	0	0	0	0	0	0	0	0	承認
admixture	0	0	0	0	0	0	0	0	0	0	混合物
admonition	0	0	0	1	0	1	0	0	0	0	警告
ado	0	0	0	0	0	0	0	0	0	0	廢話
adobe	0	0	0	0	0	0	0	0	0	0	土坯
adolescence	0	0	0	0	0	0	0	0	0	0	青春期
adolescent	0	0	0	0	0	0	0	0	0	0	青少年
adopt	0	0	0	0	0	0	0	0	0	0	採納
adoption	0	0	0	0	0	0	0	0	0	0	採用
adorable	0	0	0	0	1	0	1	0	0	0	可愛的
adoration	0	0	0	0	1	0	1	0	0	1	崇拜
adore	0	1	0	0	1	0	1	0	0	1	崇拜
adorn	0	0	0	0	0	0	0	0	0	0	裝飾
adornment	0	0	0	0	0	0	0	0	0	0	裝飾
adrift	0	1	0	1	0	1	0	1	0	0	漂流
adult	0	0	0	0	0	0	0	0	0	0	成人
adulterated	0	0	0	0	0	1	0	0	0	0	摻假
adultery	0	0	1	0	0	1	0	1	0	0	通姦
advance	0	1	0	1	1	0	1	0	1	0	進步
advanced	0	0	0	0	0	0	1	0	0	0	先進的
advancement	0	0	0	0	0	0	1	0	0	0	進步
advancing	0	0	0	0	0	0	0	0	0	0	前進
advantage	0	0	0	0	0	0	1	0	0	0	優勢
advantageous	0	0	0	0	0	0	1	0	0	0	有利
advent	0	1	0	0	1	0	1	0	0	1	來臨
adventure	0	1	0	0	0	0	1	0	0	0	冒險
adventurer	0	0	0	0	0	0	0	0	0	0	冒險家
adventurous	0	0	0	0	0	0	1	0	0	0	冒險的
adversary	1	0	0	0	0	1	0	0	0	0	對手
adverse	1	0	1	1	0	1	0	1	0	0	不利的
adversity	1	0	0	1	0	1	0	1	0	0	逆境
advertise	0	0	0	0	0	0	0	0	0	0	廣告
advertisement	0	0	0	0	0	0	0	0	0	0	廣告
advice	0	0	0	0	0	0	0	0	0	1	建議
advisable	0	0	0	0	0	0	1	0	0	1	可取的
advise	0	0	0	0	0	0	1	0	0	1	建議
advised	0	0	0	0	0	0	0	0	0	1	建議
advisement	0	0	0	0	0	0	0	0	0	0	建議
adviser	0	0	0	0	0	0	1	0	0	1	顧問
advocacy	1	1	0	0	1	0	1	0	0	1	倡導
advocate	0	0	0	0	0	0	0	0	0	1	提倡
aegis	0	0	0	0	0	0	0	0	0	0	宙斯盾
aeration	0	0	0	0	0	0	0	0	0	0	通風
aerial	0	0	0	0	0	0	0	0	0	0	天線
aerodrome	0	0	0	0	0	0	0	0	0	0	機場
aerodynamics	0	0	0	0	0	0	0	0	0	0	空氣動力學
aeronautics	0	0	0	0	0	0	0	0	0	0	航空學
aeroplane	0	0	0	0	0	0	0	0	0	0	飛機
aesthetic	0	0	0	0	0	0	1	0	0	0	審美的
aesthetics	0	0	0	0	1	0	1	0	0	0	美學
aetiology	0	0	0	0	0	0	0	0	0	0	病因學
afar	0	0	0	0	0	0	0	0	0	0	遠方
affable	0	0	0	0	0	0	1	0	0	0	和藹可親
affair	0	0	0	0	0	0	0	0	0	0	事務
affecting	0	0	0	0	0	0	0	0	0	0	影響
affection	0	0	0	0	1	0	1	0	0	1	感情
affections	0	0	0	0	0	0	0	0	0	0	感情
affiche	0	0	0	0	0	0	0	0	0	0	貼文
affidavit	0	0	0	0	0	0	0	0	0	0	宣誓書
affiliated	0	0	0	0	0	0	1	0	0	0	附屬
affiliation	0	0	0	0	0	0	0	0	0	0	聯繫
affinity	0	0	0	0	0	0	0	0	0	0	親和力
affirm	0	0	0	0	0	0	1	0	0	1	確認
affirmation	0	0	0	0	0	0	1	0	0	0	肯定
affirmative	0	0	0	0	0	0	1	0	0	0	肯定
affirmatively	0	0	0	0	0	0	1	0	0	1	肯定的
affix	0	0	0	0	0	0	0	0	0	0	詞綴
afflict	0	0	0	1	0	1	0	1	0	0	折磨
afflicted	0	0	0	0	0	1	0	0	0	0	受苦
affliction	0	0	1	1	0	1	0	1	0	0	痛苦
affluence	0	0	0	0	1	0	1	0	0	0	富裕
affluent	0	0	0	0	0	0	1	0	0	0	富裕的
afford	0	0	0	0	0	0	1	0	0	0	買得起
affront	1	0	1	1	0	1	0	1	1	0	冒犯
afield	0	0	0	0	0	0	0	0	0	0	遠方
afore	0	0	0	0	0	0	0	0	0	0	之前
aforementioned	0	0	0	0	0	0	0	0	0	0	前述
aforesaid	0	0	0	0	0	0	0	0	0	0	上述
afraid	0	0	0	1	0	1	0	0	0	0	害怕
afresh	0	0	0	0	0	0	0	0	0	0	重新
aft	0	0	0	0	0	0	0	0	0	0	船尾
aftermath	1	0	1	1	0	1	0	1	0	0	後果
afternoon	0	0	0	0	0	0	0	0	0	0	下午
aftertaste	0	0	0	0	0	1	0	0	0	0	回味
afterthought	0	0	0	0	0	0	0	0	0	0	事後諸葛亮
aga	0	0	0	1	0	0	1	0	0	1	阿加
agate	0	0	0	0	0	0	0	0	0	0	瑪瑙
age	0	0	0	0	0	0	0	0	0	0	年齡
aged	0	0	0	0	0	0	0	0	0	0	陳年
agency	0	0	0	0	0	0	0	0	0	0	機構
agent	0	0	0	0	0	0	0	0	0	0	代理人
agglomeration	0	0	0	0	0	0	0	0	0	0	集聚
aggravated	1	0	0	0	0	1	0	0	0	0	加重
aggravating	1	0	0	0	0	1	0	1	0	0	加重
aggravation	1	0	1	0	0	1	0	0	0	0	加重
aggregate	0	0	0	0	0	0	0	0	0	0	總計的
aggregation	0	0	0	0	0	0	0	0	0	0	聚合
aggression	1	0	0	1	0	1	0	0	0	0	侵略
aggressive	1	0	0	1	0	1	0	0	0	0	挑釁的
aggressor	1	0	0	1	0	1	0	0	0	0	侵略者
aghast	0	0	1	1	0	1	0	0	1	0	嚇壞了
agile	0	0	0	0	0	0	1	0	0	0	敏捷
agility	0	0	0	0	0	0	1	0	0	0	敏捷
agitated	1	0	0	0	0	1	0	0	0	0	激動
agitation	1	0	0	0	0	1	0	0	0	0	攪動
agnostic	0	0	0	0	0	0	0	0	0	0	不可知論者
ago	0	0	0	0	0	0	0	0	0	0	前
agonizing	0	0	0	1	0	1	0	0	0	0	痛苦的
agony	1	0	0	1	0	1	0	1	0	0	痛苦
agree	0	0	0	0	0	0	1	0	0	0	同意
agreeable	0	0	0	0	0	0	1	0	0	1	合適的
agreed	0	0	0	0	0	0	1	0	0	1	同意
agreeing	0	0	0	0	0	0	1	0	0	1	同意
agreement	0	0	0	0	0	0	1	0	0	1	協議
agricultural	0	0	0	0	0	0	0	0	0	0	農業
agriculture	0	0	0	0	0	0	1	0	0	0	農業
aground	0	0	0	0	0	1	0	0	0	0	擱淺
agua	0	0	0	0	0	0	0	0	0	0	阿瓜
ahead	0	0	0	0	0	0	1	0	0	0	先
aid	0	0	0	0	0	0	1	0	0	0	援助
aiding	0	0	0	0	0	0	1	0	0	0	幫助
ail	0	0	0	0	0	1	0	1	0	0	全部
ailing	0	0	0	1	0	1	0	1	0	0	生病了
ailment	0	0	0	0	0	0	0	0	0	0	病痛
aim	0	0	0	0	0	0	0	0	0	0	目標
aimless	0	0	0	0	0	1	0	0	0	0	漫無目的
air	0	0	0	0	0	0	0	0	0	0	空氣
airbag	0	0	0	0	0	0	0	0	0	0	安全氣囊
airlift	0	0	0	0	0	0	0	0	0	0	空運
airline	0	0	0	0	0	0	0	0	0	0	航空公司
airman	0	0	0	0	0	0	0	0	0	0	空軍
airplane	0	0	0	0	0	0	0	0	0	0	飛機
airport	0	1	0	0	0	0	0	0	0	0	飛機場
airs	0	0	1	0	0	1	0	0	0	0	裝腔作勢
airship	0	0	0	0	0	0	0	0	0	0	飛艇
aisle	0	0	0	0	0	0	0	0	0	0	走道
ait	0	0	0	0	0	0	0	0	0	0	艾特
ajar	0	0	0	0	0	0	0	0	0	0	半開著
akin	0	0	0	0	0	0	0	0	0	1	類似的
alabaster	0	0	0	0	0	0	1	0	0	0	雪花石膏
alarm	0	0	0	1	0	1	0	0	1	0	警報
alarming	0	0	0	1	0	1	0	0	1	0	令人震驚的
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	專輯
alchemy	0	0	0	0	0	0	0	0	0	0	煉金術
alcohol	0	0	0	0	0	0	0	0	0	0	酒精
alcoholism	1	0	1	1	0	1	0	1	0	0	酗酒
alcove	0	0	0	0	0	0	0	0	0	0	壁龕
alert	0	0	0	0	0	0	0	0	0	0	警報
alertness	0	1	0	1	0	0	1	0	1	0	警覺
alerts	0	1	0	1	0	0	0	0	1	0	警報
alfalfa	0	0	0	0	0	0	0	0	0	0	苜蓿
algebra	0	0	0	0	0	0	0	0	0	0	代數
algebraic	0	0	0	0	0	0	0	0	0	0	代數的
algorithm	0	0	0	0	0	0	0	0	0	0	算法
alibi	0	0	0	0	0	0	0	0	0	0	不在場證明
alien	0	0	1	1	0	1	0	0	0	0	外星人
alienate	1	0	1	0	0	1	0	0	0	0	離間
alienated	0	0	0	0	0	1	0	1	0	0	疏遠
alienation	1	0	1	1	0	1	0	1	0	0	異化
alight	0	0	0	0	0	0	0	0	0	0	下車
aligned	0	0	0	0	0	0	0	0	0	0	對齊
alignment	0	0	0	0	0	0	0	0	0	0	結盟
alike	0	0	0	0	0	0	0	0	0	0	一樣
alimentation	0	0	0	0	0	0	1	0	0	0	營養
alimony	0	0	0	0	0	1	0	0	0	0	贍養費
aliquot	0	0	0	0	0	0	0	0	0	0	等分
alive	0	1	0	0	1	0	1	0	0	1	活
alkali	0	0	0	0	0	0	0	0	0	0	鹼
alkaloids	0	0	0	0	0	0	0	0	0	0	生物鹼
allay	0	0	0	0	0	0	1	0	0	0	緩和
allegation	1	0	0	0	0	1	0	0	0	0	指控
allege	0	0	0	0	0	1	0	0	0	0	指控
alleged	0	0	0	0	0	0	0	0	0	0	據稱
allegiance	0	0	0	0	0	0	1	0	0	1	忠誠
allegorical	0	0	0	0	0	0	0	0	0	0	寓言的
allegory	0	0	0	0	0	0	0	0	0	0	寓言
allegro	0	0	0	0	0	0	1	0	0	0	快板
alleviate	0	0	0	0	0	0	1	0	0	0	減輕
alleviation	0	0	0	0	0	0	1	0	0	0	緩解
alley	0	0	0	0	0	0	0	0	0	0	胡同
alliance	0	0	0	0	0	0	0	0	0	1	聯盟
allied	0	0	0	0	0	0	1	0	0	1	盟軍
alligator	0	0	0	0	0	0	0	0	0	0	鱷魚
allocate	0	0	0	0	0	0	0	0	0	0	分配
allocation	0	0	0	0	0	0	0	0	0	0	分配
allot	0	0	0	0	0	0	0	0	0	0	分配
allotment	0	0	0	0	0	0	0	0	0	0	分配
allowable	0	0	0	0	0	0	1	0	0	0	允許的
allowance	0	0	0	0	0	0	0	0	0	0	津貼
allowed	0	0	0	0	0	0	0	0	0	0	允許
alloy	0	0	0	0	0	0	0	0	0	0	合金
allure	0	1	0	0	1	0	1	0	1	0	引誘
alluring	0	0	0	0	0	0	1	0	0	0	誘人的
allusion	0	0	0	0	0	0	0	0	0	0	典故
alluvial	0	0	0	0	0	0	0	0	0	0	沖積層
ally	0	0	0	0	0	0	1	0	0	1	盟國
almanac	0	0	0	0	0	0	0	0	0	0	年曆
almighty	0	0	0	0	0	0	1	0	0	0	萬能的
aloft	0	0	0	0	0	0	0	0	0	0	高空
aloha	0	1	0	0	1	0	1	0	0	0	阿羅哈
alongside	0	0	0	0	0	0	0	0	0	0	旁邊
aloof	0	0	0	0	0	1	0	0	0	0	超然
aloud	0	0	0	0	0	0	0	0	0	0	大聲
alphabet	0	0	0	0	0	0	0	0	0	0	字母
alphabetical	0	0	0	0	0	0	0	0	0	0	按字母順序
altar	0	0	0	0	0	0	0	0	0	0	壇
alter	0	0	0	0	0	0	0	0	0	0	改變
alteration	0	0	0	0	0	0	0	0	0	0	改造
altercation	1	0	0	0	0	1	0	0	0	0	爭吵
altered	0	0	0	0	0	0	0	0	0	0	改變
alternate	0	0	0	0	0	0	0	0	0	0	備用
alternative	0	0	0	0	0	0	0	0	0	0	選擇
altitude	0	0	0	0	0	0	0	0	0	0	高度
alto	0	0	0	0	0	0	0	0	0	0	中音
altogether	0	0	0	0	0	0	0	0	0	0	共
alumnus	0	0	0	0	0	0	0	0	0	0	校友
alveolar	0	0	0	0	0	0	0	0	0	0	肺泡
amalgam	0	0	0	0	0	0	0	0	0	0	汞合金
amalgamation	0	0	0	0	0	0	0	0	0	0	合併
amass	0	0	0	0	0	0	0	0	0	0	積累
amateur	0	0	0	0	0	0	0	0	0	0	業餘
amaze	0	0	0	0	0	0	0	0	1	0	驚奇
amazement	0	0	0	0	0	0	0	0	0	0	驚愕
amazingly	0	0	0	0	1	0	1	0	1	0	驚人地
ambassador	0	0	0	0	0	0	1	0	0	1	大使
amber	0	0	0	0	0	0	0	0	0	0	琥珀色
ambient	0	0	0	0	0	0	0	0	0	0	周圍
ambiguity	0	0	0	0	0	0	0	0	0	0	模棱兩可
ambiguous	0	0	0	0	0	1	0	0	0	0	模糊的
ambit	0	0	0	0	0	0	0	0	0	0	範圍
ambition	0	1	0	0	1	0	1	0	0	1	志向
ambitious	0	0	0	0	0	0	0	0	0	0	雄心勃勃
ambulance	0	0	0	1	0	0	0	0	0	1	救護車
ambush	1	0	0	1	0	1	0	0	1	0	伏擊
ameliorate	0	0	0	0	0	0	1	0	0	0	改善
amen	0	0	0	0	1	0	1	0	0	1	阿門
amenable	0	0	0	0	0	0	1	0	0	0	順從
amend	0	0	0	0	0	0	1	0	0	0	修正
amendment	0	0	0	0	0	0	0	0	0	0	修正案
amends	0	0	0	0	0	0	1	0	0	0	修正
amenity	0	0	0	0	0	0	1	0	0	0	便利設施
amethyst	0	0	0	0	0	0	0	0	0	0	紫晶
amiable	0	0	0	0	0	0	1	0	0	0	可親
amicable	0	0	0	0	1	0	1	0	0	0	友善的
amid	0	0	0	0	0	0	0	0	0	0	之中
amidst	0	0	0	0	0	0	0	0	0	0	當中
ammonia	0	0	1	0	0	0	0	0	0	0	氨
ammunition	0	0	0	0	0	0	0	0	0	0	彈藥
amnesia	0	0	0	0	0	1	0	0	0	0	健忘症
amnesty	0	0	0	0	1	0	1	0	0	0	大赦
amorphous	0	0	0	0	0	0	0	0	0	0	無定形
amortization	0	0	0	0	0	0	0	0	0	1	攤銷
amount	0	0	0	0	0	0	0	0	0	0	數量
amour	0	1	0	0	1	0	1	0	0	1	戀情
ampersand	0	0	0	0	0	0	0	0	0	0	和號
amphetamines	0	0	1	0	0	1	0	0	0	0	苯丙胺類
amphibian	0	0	0	0	0	0	0	0	0	0	兩棲動物
amphibious	0	0	0	0	0	0	0	0	0	0	水陸兩用
amphitheater	0	0	0	0	0	0	0	0	0	0	圓形劇場
amplification	0	0	0	0	0	0	0	0	0	0	放大
amplify	0	0	0	0	0	0	0	0	0	0	放大
amplitude	0	0	0	0	0	0	0	0	0	0	振幅
amply	0	0	0	0	0	0	0	0	0	0	充分
amputation	0	0	0	0	0	0	0	0	0	0	截肢
amulet	0	0	0	0	0	0	0	0	0	0	護身符
amuse	0	0	0	0	1	0	1	0	0	0	逗樂
amused	0	0	0	0	1	0	1	0	0	0	逗樂了
amusement	0	0	0	0	1	0	1	0	0	0	娛樂
amusing	0	0	0	0	1	0	1	0	0	0	有趣
ana	0	0	0	0	0	0	0	0	0	0	安娜
anaconda	0	0	1	1	0	1	0	0	0	0	蟒蛇
anaesthesia	0	0	0	0	0	0	0	0	0	0	麻醉
anaesthetic	0	0	0	0	0	0	0	0	0	0	麻藥
anal	0	0	0	0	0	1	0	0	0	0	肛門
analgesic	0	0	0	0	0	0	0	0	0	0	鎮痛劑
analogous	0	0	0	0	0	0	0	0	0	0	類似的
analogue	0	0	0	0	0	0	0	0	0	0	類似物
analogy	0	0	0	0	0	0	0	0	0	0	比喻
analysis	0	0	0	0	0	0	0	0	0	0	分析
analyst	0	1	0	0	0	0	1	0	0	1	分析師
