English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Georgian Word
abovementioned	0	0	0	0	0	0	1	0	0	0	როგორც უკვე ავღნიშნე
abrasion	0	0	0	0	0	1	0	0	0	0	აბრაზია
abroad	0	0	0	0	0	0	0	0	0	0	საზღვარგარეთ
abrogate	0	0	0	0	0	1	0	0	0	0	გააუქმოს
abrupt	0	0	0	0	0	0	0	0	1	0	მკვეთრი
abruptly	0	0	0	0	0	0	0	0	0	0	მოულოდნელად
abscess	0	0	0	0	0	1	0	1	0	0	აბსცესი
absence	0	0	0	1	0	1	0	1	0	0	არარსებობა
absent	0	0	0	0	0	1	0	1	0	0	არდამსწრე
absentee	0	0	0	0	0	1	0	1	0	0	დაუსწრებელი
absenteeism	0	0	0	0	0	1	0	0	0	0	არყოფნა
absinthe	0	0	0	0	0	0	0	0	0	0	აბსენტი
absolute	0	0	0	0	0	0	1	0	0	0	აბსოლუტური
absolution	0	0	0	0	1	0	1	0	0	1	განთავისუფლება
absorbed	0	0	0	0	0	0	1	0	0	0	შეიწოვება
absorbent	0	0	0	0	0	0	0	0	0	0	შთამნთქმელი
absorbing	0	0	0	0	0	0	0	0	0	0	შთანთქმის
absorption	0	0	0	0	0	0	0	0	0	0	შთანთქმის
abstain	0	0	0	0	0	0	0	0	0	0	თავი შეიკავოს
abstention	0	0	0	0	0	0	0	0	0	0	თავშეკავება
abstinence	0	0	0	0	0	0	0	0	0	0	თავშეკავება
abstract	0	0	0	0	0	0	0	0	0	0	აბსტრაქტული
abstraction	0	0	0	0	0	0	0	0	0	0	აბსტრაქცია
absurd	0	0	0	0	0	1	0	0	0	0	აბსურდი
absurdity	0	0	0	0	0	1	0	0	0	0	აბსურდულობა
abundance	0	1	1	0	1	1	1	0	0	1	სიმრავლე
abundant	0	0	0	0	1	0	1	0	0	0	უხვი
abuse	1	0	1	1	0	1	0	1	0	0	ბოროტად გამოყენება
abutment	0	0	0	0	0	0	0	0	0	0	საყრდენი
aby	0	0	0	0	0	0	0	0	0	0	აბი
abysmal	0	0	0	0	0	1	0	1	0	0	უფსკრული
abyss	0	0	0	1	0	1	0	1	0	0	უფსკრული
academic	0	0	0	0	0	0	1	0	0	1	აკადემიური
academy	0	0	0	0	0	0	1	0	0	0	აკადემია
accede	0	0	0	0	0	0	0	0	0	0	შეერთება
accelerate	0	1	0	0	0	0	0	0	0	0	აჩქარება
acceleration	0	0	0	0	0	0	0	0	0	0	აჩქარება
accent	0	0	0	0	0	0	0	0	0	0	აქცენტი
accentuate	0	0	0	0	0	0	0	0	0	0	აქცენტირება
accept	0	0	0	0	0	0	0	0	0	0	მიღება
acceptable	0	0	0	0	0	0	1	0	0	0	მისაღები
acceptance	0	0	0	0	0	0	1	0	0	0	მიღება
access	0	0	0	0	0	0	0	0	0	0	წვდომა
accessible	0	0	0	0	0	0	1	0	0	0	ხელმისაწვდომი
accession	0	0	0	0	0	0	0	0	0	0	შეერთება
accessory	0	0	0	0	0	0	0	0	0	0	აქსესუარი
accident	0	0	0	1	0	1	0	1	1	0	უბედური შემთხვევა
accidental	0	0	0	1	0	1	0	0	1	0	შემთხვევითი
accidentally	0	0	0	0	0	0	0	0	1	0	შემთხვევით
accolade	0	1	0	0	1	0	1	0	1	1	აღიარება
accommodate	0	0	0	0	0	0	0	0	0	0	დაბინავება
accommodation	0	0	0	0	0	0	1	0	0	0	განსახლება
accompaniment	0	1	0	0	1	0	1	0	0	1	თანხლებით
accompany	0	0	0	0	0	0	0	0	0	0	ერთად
accompanying	0	0	0	0	0	0	0	0	0	0	კომპანიის გაწევა
accomplice	0	0	0	0	0	0	0	0	0	0	თანამზრახველი
accomplish	0	0	0	0	1	0	1	0	0	0	შეასრულოს
accomplished	0	0	0	0	1	0	1	0	0	0	შესრულებული
accomplishment	0	0	0	0	0	0	1	0	0	0	მიღწევა
accord	0	0	0	0	0	0	1	0	0	1	შეთანხმება
accordance	0	0	0	0	0	0	0	0	0	0	შესაბამისად
accordion	0	0	0	0	0	0	0	0	0	0	აკორდეონი
account	0	0	0	0	0	0	0	0	0	1	ანგარიში
accountability	0	0	0	0	0	0	1	0	0	1	ანგარიშვალდებულება
accountable	0	0	0	0	0	0	1	0	0	1	ანგარიშვალდებული
accountant	0	0	0	0	0	0	0	0	0	1	ბუღალტერი
accounting	0	0	0	0	0	0	0	0	0	0	აღრიცხვა
accounts	0	0	0	0	0	0	0	0	0	1	ანგარიშები
accredited	0	0	0	0	0	0	1	0	0	1	აკრედიტებული
accretion	0	0	0	0	0	0	0	0	0	0	აკრეცია
accrue	0	0	0	0	0	0	0	0	0	0	დარიცხვა
accueil	0	0	0	0	0	0	1	0	0	0	აკუეილი
accumulate	0	0	0	0	0	0	0	0	0	0	დაგროვება
accumulation	0	0	0	0	0	0	0	0	0	0	დაგროვება
accuracy	0	0	0	0	0	0	0	0	0	0	სიზუსტე
accurate	0	0	0	0	0	0	1	0	0	1	ზუსტი
accursed	1	0	0	1	0	1	0	1	0	0	დაწყევლილი
accusation	1	0	1	0	0	1	0	0	0	0	ბრალდება
accusative	0	0	0	0	0	1	0	0	0	0	ბრალდებული
accused	1	0	0	1	0	1	0	0	0	0	ბრალდებული
accuser	1	0	0	1	0	1	0	0	0	0	ბრალმდებელი
accusing	1	0	0	1	0	1	0	0	0	0	ბრალდება
accustomed	0	0	0	0	0	0	0	0	0	0	შეჩვეული
ace	0	0	0	0	0	0	1	0	0	0	ტუზი
acetic	0	0	0	0	0	0	0	0	0	0	ძმარმჟავა
ache	0	0	0	0	0	1	0	1	0	0	მტკივა
achieve	0	0	0	0	1	0	1	0	0	1	მიღწევა
achievement	0	1	0	0	1	0	1	0	0	1	მიღწევა
aching	0	0	0	0	0	1	0	1	0	0	მტკივა
acid	0	0	0	0	0	1	0	0	0	0	მჟავა
acidity	0	0	0	0	0	0	0	0	0	0	მჟავიანობა
acknowledge	0	0	0	0	0	0	0	0	0	0	აღიარებს
acknowledged	0	0	0	0	0	0	0	0	0	0	აღიარა
acknowledgment	0	0	0	0	0	0	1	0	0	0	აღიარება
acme	0	0	0	0	0	0	0	0	0	0	აკმე
acoustic	0	0	0	0	0	0	0	0	0	0	აკუსტიკური
acoustics	0	0	0	0	0	0	0	0	0	0	აკუსტიკა
acquaint	0	0	0	0	0	0	0	0	0	0	გაცნობა
acquaintance	0	0	0	0	0	0	0	0	0	0	გაცნობა
acquainted	0	0	0	0	0	0	0	0	0	0	გაეცნო
acquiescence	0	0	0	0	0	0	0	0	0	0	თანხმობა
acquire	0	0	0	0	0	0	1	0	0	0	შეიძინოს
acquiring	0	1	0	0	0	0	1	0	0	0	იძენს
acquisition	0	0	0	0	0	0	0	0	0	0	შეძენა
acquisitions	0	0	0	0	0	0	0	0	0	0	შესყიდვები
acreage	0	0	0	0	0	0	0	0	0	0	ფართობი
acres	0	0	0	0	0	0	0	0	0	0	ჰექტარი
acrobat	0	0	0	1	1	0	1	0	0	1	აკრობატი
act	0	0	0	0	0	0	0	0	0	0	იმოქმედოს
acting	0	0	0	0	0	0	0	0	0	0	მოქმედი
action	0	0	0	0	0	0	1	0	0	0	მოქმედება
actionable	1	0	1	0	0	1	0	0	0	0	ქმედითუნარიანი
active	0	0	0	0	0	0	0	0	0	0	აქტიური
activity	0	0	0	0	0	0	0	0	0	0	აქტივობა
actor	0	0	0	0	0	0	0	0	0	0	მსახიობი
actual	0	0	0	0	0	0	1	0	0	0	ფაქტობრივი
actuality	0	0	0	0	0	0	0	0	0	0	აქტუალობა
actuary	0	0	0	0	0	0	0	0	0	0	აქტუარი
acuity	0	0	0	0	0	0	1	0	0	0	სიმკვეთრე
acumen	0	0	0	0	0	0	1	0	0	0	მახვილგონიერება
acupuncture	0	0	0	0	0	0	0	0	0	0	აკუპუნქტურა
acutely	0	0	0	0	0	0	0	0	0	0	მწვავედ
adage	0	0	0	0	0	0	0	0	0	0	ანდაზა
adamant	0	0	0	0	0	0	0	0	0	0	მტკიცე
adapt	0	0	0	0	0	0	1	0	0	0	ადაპტირება
adaptable	0	0	0	0	0	0	1	0	0	0	ადაპტირებადი
add	0	0	0	0	0	0	0	0	0	0	დაამატეთ
added	0	0	0	0	0	0	0	0	0	0	დაემატა
addendum	0	0	0	0	0	0	0	0	0	0	დამატება
adder	1	0	1	1	0	1	0	1	0	0	შემკრები
addiction	0	0	0	0	0	1	0	0	0	0	დამოკიდებულება
addition	0	0	0	0	0	0	0	0	0	0	დამატება
additional	0	0	0	0	0	0	0	0	0	0	დამატებითი
additive	0	0	0	0	0	0	0	0	0	0	დანამატი
address	0	0	0	0	0	0	0	0	0	0	მისამართი
addressee	0	0	0	0	0	0	0	0	0	0	ადრესატი
addresses	0	1	0	0	0	0	1	0	0	0	მისამართები
adept	0	0	0	0	0	0	1	0	0	0	კომპეტენტური
adequacy	0	0	0	0	0	0	1	0	0	0	ადეკვატურობა
adequate	0	0	0	0	0	0	0	0	0	0	ადეკვატური
adhere	0	0	0	0	0	0	0	0	0	0	დაიცავი
adherence	0	0	0	0	0	0	0	0	0	0	ერთგულება
adherent	0	0	0	0	0	0	0	0	0	0	მიმდევარი
adhering	0	0	0	0	0	0	0	0	0	1	იცავდა
adhesion	0	0	0	0	0	0	0	0	0	0	ადჰეზია
adhesive	0	0	0	0	0	0	0	0	0	0	წებოვანი
adieu	0	0	0	0	0	0	0	0	0	0	მშვიდობით
adipose	0	0	0	0	0	1	0	0	0	0	ცხიმოვანი
adjacency	0	0	0	0	0	0	0	0	0	0	მეზობლობა
adjacent	0	0	0	0	0	0	0	0	0	0	მიმდებარე
adjective	0	0	0	0	0	0	0	0	0	0	ზედსართავი სახელი
adjoining	0	0	0	0	0	0	0	0	0	0	მომიჯნავე
adjourn	0	0	0	0	0	0	0	0	0	0	გადადება
adjournment	0	0	0	0	0	0	0	0	0	0	გადადება
adjudicate	0	0	0	1	0	1	0	0	0	0	განიკითხავს
adjudication	0	0	0	0	0	0	0	0	0	0	განხილვა
adjunct	0	0	0	0	0	0	1	0	0	0	დამხმარე
adjust	0	0	0	0	0	0	0	0	0	0	მორგება
adjustment	0	0	0	0	0	0	0	0	0	0	მორგება
adjuvant	0	0	0	0	0	0	0	0	0	0	დამხმარე
administer	0	0	0	0	0	0	0	0	0	0	ადმინისტრირება
administration	0	0	0	0	0	0	0	0	0	0	ადმინისტრაცია
administrative	0	0	0	0	0	0	0	0	0	1	ადმინისტრაციული
admirable	0	0	0	0	1	0	1	0	0	1	აღფრთოვანებული
admiral	0	0	0	0	0	0	1	0	0	1	ადმირალი
admiralty	0	0	0	0	0	0	0	0	0	0	ადმირალიტი
admiration	0	0	0	0	1	0	1	0	0	1	აღტაცება
admire	0	0	0	0	0	0	1	0	0	1	აღფრთოვანებული ვარ
admirer	0	0	0	0	0	0	1	0	0	0	თაყვანისმცემელი
admissibility	0	0	0	0	0	0	0	0	0	0	დასაშვებობა
admissible	0	0	0	0	0	0	1	0	0	1	დასაშვებია
admission	0	0	0	0	0	0	0	0	0	0	მიღება
admit	0	0	0	0	0	0	0	0	0	0	აღიარე
admittance	0	0	0	0	0	0	0	0	0	0	დაშვება
admitted	0	0	0	0	0	0	0	0	0	0	აღიარა
admitting	0	0	0	0	0	0	0	0	0	0	აღიარება
admixture	0	0	0	0	0	0	0	0	0	0	ნაზავი
admonition	0	0	0	1	0	1	0	0	0	0	შეგონება
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	მოზარდობის
adolescent	0	0	0	0	0	0	0	0	0	0	მოზარდი
adopt	0	0	0	0	0	0	0	0	0	0	მიღება
adoption	0	0	0	0	0	0	0	0	0	0	შვილად აყვანა
adorable	0	0	0	0	1	0	1	0	0	0	საყვარელი
adoration	0	0	0	0	1	0	1	0	0	1	თაყვანისცემა
adore	0	1	0	0	1	0	1	0	0	1	აღმერთებს
adorn	0	0	0	0	0	0	0	0	0	0	დაამშვენებს
adornment	0	0	0	0	0	0	0	0	0	0	მორთულობა
adrift	0	1	0	1	0	1	0	1	0	0	ადრიფტი
adult	0	0	0	0	0	0	0	0	0	0	ზრდასრული
adulterated	0	0	0	0	0	1	0	0	0	0	გაყალბებული
adultery	0	0	1	0	0	1	0	1	0	0	მრუშობა
advance	0	1	0	1	1	0	1	0	1	0	წინსვლა
advanced	0	0	0	0	0	0	1	0	0	0	მოწინავე
advancement	0	0	0	0	0	0	1	0	0	0	წინსვლა
advancing	0	0	0	0	0	0	0	0	0	0	წინ მიიწევს
advantage	0	0	0	0	0	0	1	0	0	0	უპირატესობა
advantageous	0	0	0	0	0	0	1	0	0	0	ხელსაყრელი
advent	0	1	0	0	1	0	1	0	0	1	მოსვლა
adventure	0	1	0	0	0	0	1	0	0	0	თავგადასავალი
adventurer	0	0	0	0	0	0	0	0	0	0	ავანტიურისტი
adventurous	0	0	0	0	0	0	1	0	0	0	სათავგადასავლო
adversary	1	0	0	0	0	1	0	0	0	0	მოწინააღმდეგე
adverse	1	0	1	1	0	1	0	1	0	0	არასასურველი
adversity	1	0	0	1	0	1	0	1	0	0	უბედურება
advertise	0	0	0	0	0	0	0	0	0	0	რეკლამა
advertisement	0	0	0	0	0	0	0	0	0	0	რეკლამა
advice	0	0	0	0	0	0	0	0	0	1	რჩევა
advisable	0	0	0	0	0	0	1	0	0	1	მიზანშეწონილი
advise	0	0	0	0	0	0	1	0	0	1	რჩევა
advised	0	0	0	0	0	0	0	0	0	1	ურჩია
advisement	0	0	0	0	0	0	0	0	0	0	რჩევა
adviser	0	0	0	0	0	0	1	0	0	1	მრჩეველი
advocacy	1	1	0	0	1	0	1	0	0	1	ადვოკატირება
advocate	0	0	0	0	0	0	0	0	0	1	ადვოკატი
aegis	0	0	0	0	0	0	0	0	0	0	ეგიდები
aeration	0	0	0	0	0	0	0	0	0	0	აერაცია
aerial	0	0	0	0	0	0	0	0	0	0	საჰაერო
aerodrome	0	0	0	0	0	0	0	0	0	0	აეროდრომი
aerodynamics	0	0	0	0	0	0	0	0	0	0	აეროდინამიკა
aeronautics	0	0	0	0	0	0	0	0	0	0	აერონავტიკა
aeroplane	0	0	0	0	0	0	0	0	0	0	თვითმფრინავი
aesthetic	0	0	0	0	0	0	1	0	0	0	ესთეტიური
aesthetics	0	0	0	0	1	0	1	0	0	0	ესთეტიკა
aetiology	0	0	0	0	0	0	0	0	0	0	ეტიოლოგია
afar	0	0	0	0	0	0	0	0	0	0	შორს
affable	0	0	0	0	0	0	1	0	0	0	მოსიყვარულე
affair	0	0	0	0	0	0	0	0	0	0	საქმე
affecting	0	0	0	0	0	0	0	0	0	0	გავლენას ახდენს
affection	0	0	0	0	1	0	1	0	0	1	მოსიყვარულეობა
affections	0	0	0	0	0	0	0	0	0	0	მოსიყვარულეობა
affiche	0	0	0	0	0	0	0	0	0	0	აფიშა
affidavit	0	0	0	0	0	0	0	0	0	0	აღთქმა
affiliated	0	0	0	0	0	0	1	0	0	0	შვილობილი
affiliation	0	0	0	0	0	0	0	0	0	0	კუთვნილება
affinity	0	0	0	0	0	0	0	0	0	0	აფინურობა
affirm	0	0	0	0	0	0	1	0	0	1	ამტკიცებს
affirmation	0	0	0	0	0	0	1	0	0	0	დადასტურება
affirmative	0	0	0	0	0	0	1	0	0	0	დადებითი
affirmatively	0	0	0	0	0	0	1	0	0	1	დადებითად
affix	0	0	0	0	0	0	0	0	0	0	დამაგრება
afflict	0	0	0	1	0	1	0	1	0	0	იტანჯება
afflicted	0	0	0	0	0	1	0	0	0	0	დატანჯული
affliction	0	0	1	1	0	1	0	1	0	0	ტანჯვა
affluence	0	0	0	0	1	0	1	0	0	0	სიმდიდრე
affluent	0	0	0	0	0	0	1	0	0	0	შეძლებული
afford	0	0	0	0	0	0	1	0	0	0	ახერხებს
affront	1	0	1	1	0	1	0	1	1	0	შეურაცხყოფა
afield	0	0	0	0	0	0	0	0	0	0	მიღმა
afore	0	0	0	0	0	0	0	0	0	0	ადრე
aforementioned	0	0	0	0	0	0	0	0	0	0	აღნიშნული
aforesaid	0	0	0	0	0	0	0	0	0	0	ზემოხსენებული
afraid	0	0	0	1	0	1	0	0	0	0	შეშინებული
afresh	0	0	0	0	0	0	0	0	0	0	ახალი
aft	0	0	0	0	0	0	0	0	0	0	უკან
aftermath	1	0	1	1	0	1	0	1	0	0	შემდგომი
afternoon	0	0	0	0	0	0	0	0	0	0	შუადღე
aftertaste	0	0	0	0	0	1	0	0	0	0	გემო
afterthought	0	0	0	0	0	0	0	0	0	0	შემდგომი აზრი
aga	0	0	0	1	0	0	1	0	0	1	აღა
agate	0	0	0	0	0	0	0	0	0	0	აქატი
age	0	0	0	0	0	0	0	0	0	0	ასაკი
aged	0	0	0	0	0	0	0	0	0	0	დაძველებული
agency	0	0	0	0	0	0	0	0	0	0	სააგენტო
agent	0	0	0	0	0	0	0	0	0	0	აგენტი
agglomeration	0	0	0	0	0	0	0	0	0	0	აგლომერაცია
aggravated	1	0	0	0	0	1	0	0	0	0	გამწვავდა
aggravating	1	0	0	0	0	1	0	1	0	0	დამამძიმებელი
aggravation	1	0	1	0	0	1	0	0	0	0	გამწვავება
aggregate	0	0	0	0	0	0	0	0	0	0	აგრეგატი
aggregation	0	0	0	0	0	0	0	0	0	0	აგრეგაცია
aggression	1	0	0	1	0	1	0	0	0	0	აგრესია
aggressive	1	0	0	1	0	1	0	0	0	0	აგრესიული
aggressor	1	0	0	1	0	1	0	0	0	0	აგრესორი
aghast	0	0	1	1	0	1	0	0	1	0	აღელვებული
agile	0	0	0	0	0	0	1	0	0	0	სწრაფი
agility	0	0	0	0	0	0	1	0	0	0	სისწრაფე
agitated	1	0	0	0	0	1	0	0	0	0	აჟიტირებული
agitation	1	0	0	0	0	1	0	0	0	0	აგიტაცია
agnostic	0	0	0	0	0	0	0	0	0	0	აგნოსტიკოსი
ago	0	0	0	0	0	0	0	0	0	0	წინ
agonizing	0	0	0	1	0	1	0	0	0	0	მტანჯველი
agony	1	0	0	1	0	1	0	1	0	0	აგონია
agree	0	0	0	0	0	0	1	0	0	0	ვეთანხმები
agreeable	0	0	0	0	0	0	1	0	0	1	მოსაწონი
agreed	0	0	0	0	0	0	1	0	0	1	დათანხმდა
agreeing	0	0	0	0	0	0	1	0	0	1	თანხმდებიან
agreement	0	0	0	0	0	0	1	0	0	1	შეთანხმება
agricultural	0	0	0	0	0	0	0	0	0	0	სამეურნეო
agriculture	0	0	0	0	0	0	1	0	0	0	სოფლის მეურნეობა
aground	0	0	0	0	0	1	0	0	0	0	მიწაზე
agua	0	0	0	0	0	0	0	0	0	0	აგუა
ahead	0	0	0	0	0	0	1	0	0	0	წინ
aid	0	0	0	0	0	0	1	0	0	0	დახმარება
aiding	0	0	0	0	0	0	1	0	0	0	ეხმარება
ail	0	0	0	0	0	1	0	1	0	0	ავადმყოფი
ailing	0	0	0	1	0	1	0	1	0	0	ავადმყოფი
ailment	0	0	0	0	0	0	0	0	0	0	ავადმყოფობა
aim	0	0	0	0	0	0	0	0	0	0	მიზანი
aimless	0	0	0	0	0	1	0	0	0	0	უმიზნო
air	0	0	0	0	0	0	0	0	0	0	საჰაერო
airbag	0	0	0	0	0	0	0	0	0	0	აირბაგი
airlift	0	0	0	0	0	0	0	0	0	0	აირლიფტი
airline	0	0	0	0	0	0	0	0	0	0	ავიაკომპანია
airman	0	0	0	0	0	0	0	0	0	0	საჰაერო ხომალდი
airplane	0	0	0	0	0	0	0	0	0	0	თვითმფრინავი
airport	0	1	0	0	0	0	0	0	0	0	აეროპორტი
airs	0	0	1	0	0	1	0	0	0	0	ჰაერები
airship	0	0	0	0	0	0	0	0	0	0	საჰაერო ხომალდი
aisle	0	0	0	0	0	0	0	0	0	0	გასასვლელი
ait	0	0	0	0	0	0	0	0	0	0	აიტ
ajar	0	0	0	0	0	0	0	0	0	0	გაშლილი
akin	0	0	0	0	0	0	0	0	0	1	მსგავსი
alabaster	0	0	0	0	0	0	1	0	0	0	ალაბასტრი
alarm	0	0	0	1	0	1	0	0	1	0	განგაში
alarming	0	0	0	1	0	1	0	0	1	0	საგანგაშო
alb	0	0	0	0	0	0	0	0	0	1	ალბ
album	0	0	0	0	0	0	0	0	0	0	ალბომი
alchemy	0	0	0	0	0	0	0	0	0	0	ალქიმია
alcohol	0	0	0	0	0	0	0	0	0	0	ალკოჰოლი
alcoholism	1	0	1	1	0	1	0	1	0	0	ალკოჰოლიზმი
alcove	0	0	0	0	0	0	0	0	0	0	აკლდამა
alert	0	0	0	0	0	0	0	0	0	0	გაფრთხილება
alertness	0	1	0	1	0	0	1	0	1	0	სიფხიზლე
alerts	0	1	0	1	0	0	0	0	1	0	გაფრთხილებები
alfalfa	0	0	0	0	0	0	0	0	0	0	იონჯა
algebra	0	0	0	0	0	0	0	0	0	0	ალგებრა
algebraic	0	0	0	0	0	0	0	0	0	0	ალგებრული
algorithm	0	0	0	0	0	0	0	0	0	0	ალგორითმი
alibi	0	0	0	0	0	0	0	0	0	0	ალიბი
alien	0	0	1	1	0	1	0	0	0	0	უცხოპლანეტელი
alienate	1	0	1	0	0	1	0	0	0	0	გაუცხოება
alienated	0	0	0	0	0	1	0	1	0	0	გაუცხოებული
alienation	1	0	1	1	0	1	0	1	0	0	გაუცხოება
alight	0	0	0	0	0	0	0	0	0	0	ჩამქრალი
aligned	0	0	0	0	0	0	0	0	0	0	გასწორებული
alignment	0	0	0	0	0	0	0	0	0	0	გასწორება
alike	0	0	0	0	0	0	0	0	0	0	ერთნაირად
alimentation	0	0	0	0	0	0	1	0	0	0	კვება
alimony	0	0	0	0	0	1	0	0	0	0	ალიმენტი
aliquot	0	0	0	0	0	0	0	0	0	0	ალიაქოთი
alive	0	1	0	0	1	0	1	0	0	1	ცოცხალი
alkali	0	0	0	0	0	0	0	0	0	0	ტუტე
alkaloids	0	0	0	0	0	0	0	0	0	0	ალკალოიდები
allay	0	0	0	0	0	0	1	0	0	0	დაამშვიდა
allegation	1	0	0	0	0	1	0	0	0	0	ბრალდება
allege	0	0	0	0	0	1	0	0	0	0	ბრალდება
alleged	0	0	0	0	0	0	0	0	0	0	სავარაუდო
allegiance	0	0	0	0	0	0	1	0	0	1	ერთგულება
allegorical	0	0	0	0	0	0	0	0	0	0	ალეგორიული
allegory	0	0	0	0	0	0	0	0	0	0	ალეგორია
allegro	0	0	0	0	0	0	1	0	0	0	ალეგრო
alleviate	0	0	0	0	0	0	1	0	0	0	შემსუბუქება
alleviation	0	0	0	0	0	0	1	0	0	0	შემსუბუქება
alley	0	0	0	0	0	0	0	0	0	0	ხეივანი
alliance	0	0	0	0	0	0	0	0	0	1	ალიანსი
allied	0	0	0	0	0	0	1	0	0	1	მოკავშირე
alligator	0	0	0	0	0	0	0	0	0	0	ალიგატორი
allocate	0	0	0	0	0	0	0	0	0	0	გამოყოფს
allocation	0	0	0	0	0	0	0	0	0	0	განაწილება
allot	0	0	0	0	0	0	0	0	0	0	გამოყოფს
allotment	0	0	0	0	0	0	0	0	0	0	გამოყოფა
allowable	0	0	0	0	0	0	1	0	0	0	დასაშვები
allowance	0	0	0	0	0	0	0	0	0	0	შემწეობა
allowed	0	0	0	0	0	0	0	0	0	0	დაშვებული
alloy	0	0	0	0	0	0	0	0	0	0	შენადნობი
allure	0	1	0	0	1	0	1	0	1	0	მიმზიდველობა
alluring	0	0	0	0	0	0	1	0	0	0	მიმზიდველი
allusion	0	0	0	0	0	0	0	0	0	0	ალუზია
alluvial	0	0	0	0	0	0	0	0	0	0	ალუვიური
ally	0	0	0	0	0	0	1	0	0	1	მოკავშირე
almanac	0	0	0	0	0	0	0	0	0	0	ალმანახი
almighty	0	0	0	0	0	0	1	0	0	0	ყოვლისშემძლე
aloft	0	0	0	0	0	0	0	0	0	0	მაღლა
aloha	0	1	0	0	1	0	1	0	0	0	ალოჰა
alongside	0	0	0	0	0	0	0	0	0	0	გვერდით
aloof	0	0	0	0	0	1	0	0	0	0	მოშორებით
aloud	0	0	0	0	0	0	0	0	0	0	ხმამაღლა
alphabet	0	0	0	0	0	0	0	0	0	0	ანბანი
alphabetical	0	0	0	0	0	0	0	0	0	0	ანბანური
altar	0	0	0	0	0	0	0	0	0	0	საკურთხეველი
alter	0	0	0	0	0	0	0	0	0	0	შეცვალოს
alteration	0	0	0	0	0	0	0	0	0	0	შეცვლა
altercation	1	0	0	0	0	1	0	0	0	0	ჩხუბი
altered	0	0	0	0	0	0	0	0	0	0	შეცვლილი
alternate	0	0	0	0	0	0	0	0	0	0	ალტერნატიული
alternative	0	0	0	0	0	0	0	0	0	0	ალტერნატივა
altitude	0	0	0	0	0	0	0	0	0	0	სიმაღლეზე
alto	0	0	0	0	0	0	0	0	0	0	ალტო
altogether	0	0	0	0	0	0	0	0	0	0	საერთოდ
alumnus	0	0	0	0	0	0	0	0	0	0	კურსდამთავრებული
alveolar	0	0	0	0	0	0	0	0	0	0	ალვეოლური
amalgam	0	0	0	0	0	0	0	0	0	0	ამალგამი
amalgamation	0	0	0	0	0	0	0	0	0	0	გაერთიანება
amass	0	0	0	0	0	0	0	0	0	0	აგროვებს
amateur	0	0	0	0	0	0	0	0	0	0	სამოყვარულო
amaze	0	0	0	0	0	0	0	0	1	0	გაოცება
amazement	0	0	0	0	0	0	0	0	0	0	გაოცება
amazingly	0	0	0	0	1	0	1	0	1	0	საოცრად
ambassador	0	0	0	0	0	0	1	0	0	1	ელჩი
