English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Punjabi Word
accessory	0	0	0	0	0	0	0	0	0	0	ਸਹਾਇਕ
accident	0	0	0	1	0	1	0	1	1	0	ਦੁਰਘਟਨਾ
accidental	0	0	0	1	0	1	0	0	1	0	ਦੁਰਘਟਨਾ
accidentally	0	0	0	0	0	0	0	0	1	0	ਅਚਾਨਕ
accolade	0	1	0	0	1	0	1	0	1	1	ਪ੍ਰਸ਼ੰਸਾ
accommodate	0	0	0	0	0	0	0	0	0	0	ਅਨੁਕੂਲਤਾ
accommodation	0	0	0	0	0	0	1	0	0	0	ਰਿਹਾਇਸ਼
accompaniment	0	1	0	0	1	0	1	0	0	1	ਸੰਗਤ
accompany	0	0	0	0	0	0	0	0	0	0	ਨਾਲ
accompanying	0	0	0	0	0	0	0	0	0	0	ਨਾਲ
accomplice	0	0	0	0	0	0	0	0	0	0	ਸਾਥੀ
accomplish	0	0	0	0	1	0	1	0	0	0	ਪੂਰਾ
accomplished	0	0	0	0	1	0	1	0	0	0	ਪੂਰਾ ਕੀਤਾ
accomplishment	0	0	0	0	0	0	1	0	0	0	ਪ੍ਰਾਪਤੀ
accord	0	0	0	0	0	0	1	0	0	1	ਸਮਝੌਤਾ
accordance	0	0	0	0	0	0	0	0	0	0	ਅਨੁਸਾਰ
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	ਖਾਤਾ
accountability	0	0	0	0	0	0	1	0	0	1	ਜਵਾਬਦੇਹੀ
accountable	0	0	0	0	0	0	1	0	0	1	ਜਵਾਬਦੇਹ
accountant	0	0	0	0	0	0	0	0	0	1	ਲੇਖਾਕਾਰ
accounting	0	0	0	0	0	0	0	0	0	0	ਲੇਖਾਕਾਰੀ
accounts	0	0	0	0	0	0	0	0	0	1	ਖਾਤੇ
accredited	0	0	0	0	0	0	1	0	0	1	ਮਾਨਤਾ ਪ੍ਰਾਪਤ
accretion	0	0	0	0	0	0	0	0	0	0	ਵਾਧਾ
accrue	0	0	0	0	0	0	0	0	0	0	ਇਕੱਠਾ ਕਰਨਾ
accueil	0	0	0	0	0	0	1	0	0	0	accuil
accumulate	0	0	0	0	0	0	0	0	0	0	ਇਕੱਠਾ ਕਰਨਾ
accumulation	0	0	0	0	0	0	0	0	0	0	ਇਕੱਠਾ ਕਰਨਾ
accuracy	0	0	0	0	0	0	0	0	0	0	ਸ਼ੁੱਧਤਾ
accurate	0	0	0	0	0	0	1	0	0	1	ਸਹੀ
accursed	1	0	0	1	0	1	0	1	0	0	ਦੋਸ਼ੀ
accusation	1	0	1	0	0	1	0	0	0	0	ਦੋਸ਼
accusative	0	0	0	0	0	1	0	0	0	0	ਦੋਸ਼ਪੂਰਨ
accused	1	0	0	1	0	1	0	0	0	0	ਦੋਸ਼ੀ
accuser	1	0	0	1	0	1	0	0	0	0	ਦੋਸ਼ ਲਗਾਉਣ ਵਾਲਾ
accusing	1	0	0	1	0	1	0	0	0	0	ਦੋਸ਼
accustomed	0	0	0	0	0	0	0	0	0	0	ਆਦੀ
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	ਐਸੀਟਿਕ
ache	0	0	0	0	0	1	0	1	0	0	ਦਰਦ
achieve	0	0	0	0	1	0	1	0	0	1	ਪ੍ਰਾਪਤ ਕਰੋ
achievement	0	1	0	0	1	0	1	0	0	1	ਪ੍ਰਾਪਤੀ
aching	0	0	0	0	0	1	0	1	0	0	ਦਰਦ
acid	0	0	0	0	0	1	0	0	0	0	ਐਸਿਡ
acidity	0	0	0	0	0	0	0	0	0	0	ਐਸਿਡਿਟੀ
acknowledge	0	0	0	0	0	0	0	0	0	0	ਮੰਨਣਾ
acknowledged	0	0	0	0	0	0	0	0	0	0	ਸਵੀਕਾਰ ਕੀਤਾ
acknowledgment	0	0	0	0	0	0	1	0	0	0	ਮਾਨਤਾ
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	ਧੁਨੀ
acoustics	0	0	0	0	0	0	0	0	0	0	ਧੁਨੀ ਵਿਗਿਆਨ
acquaint	0	0	0	0	0	0	0	0	0	0	ਜਾਣੂ
acquaintance	0	0	0	0	0	0	0	0	0	0	ਜਾਣ-ਪਛਾਣ
acquainted	0	0	0	0	0	0	0	0	0	0	ਜਾਣੂ
acquiescence	0	0	0	0	0	0	0	0	0	0	ਸਹਿਮਤੀ
acquire	0	0	0	0	0	0	1	0	0	0	ਹਾਸਲ ਕਰਨਾ
acquiring	0	1	0	0	0	0	1	0	0	0	ਹਾਸਲ ਕਰਨਾ
acquisition	0	0	0	0	0	0	0	0	0	0	ਪ੍ਰਾਪਤੀ
acquisitions	0	0	0	0	0	0	0	0	0	0	ਗ੍ਰਹਿਣ
acreage	0	0	0	0	0	0	0	0	0	0	ਰਕਬਾ
acres	0	0	0	0	0	0	0	0	0	0	ਏਕੜ
acrobat	0	0	0	1	1	0	1	0	0	1	ਐਕਰੋਬੈਟ
act	0	0	0	0	0	0	0	0	0	0	ਐਕਟ
acting	0	0	0	0	0	0	0	0	0	0	ਅਦਾਕਾਰੀ
action	0	0	0	0	0	0	1	0	0	0	ਕਾਰਵਾਈ
actionable	1	0	1	0	0	1	0	0	0	0	ਕਾਰਵਾਈਯੋਗ
active	0	0	0	0	0	0	0	0	0	0	ਕਿਰਿਆਸ਼ੀਲ
activity	0	0	0	0	0	0	0	0	0	0	ਸਰਗਰਮੀ
actor	0	0	0	0	0	0	0	0	0	0	ਅਦਾਕਾਰ
actual	0	0	0	0	0	0	1	0	0	0	ਅਸਲ
actuality	0	0	0	0	0	0	0	0	0	0	ਅਸਲੀਅਤ
actuary	0	0	0	0	0	0	0	0	0	0	ਐਕਚੁਰੀ
acuity	0	0	0	0	0	0	1	0	0	0	ਤੀਬਰਤਾ
acumen	0	0	0	0	0	0	1	0	0	0	ਕੁਸ਼ਲਤਾ
acupuncture	0	0	0	0	0	0	0	0	0	0	ਐਕਿਊਪੰਕਚਰ
acutely	0	0	0	0	0	0	0	0	0	0	ਤੀਬਰਤਾ ਨਾਲ
adage	0	0	0	0	0	0	0	0	0	0	ਕਹਾਵਤ
adamant	0	0	0	0	0	0	0	0	0	0	ਅਡੋਲ
adapt	0	0	0	0	0	0	1	0	0	0	ਅਨੁਕੂਲ
adaptable	0	0	0	0	0	0	1	0	0	0	ਅਨੁਕੂਲ
add	0	0	0	0	0	0	0	0	0	0	ਸ਼ਾਮਲ ਕਰੋ
added	0	0	0	0	0	0	0	0	0	0	ਜੋੜਿਆ ਗਿਆ
addendum	0	0	0	0	0	0	0	0	0	0	ਜੋੜ
adder	1	0	1	1	0	1	0	1	0	0	ਜੋੜਨ ਵਾਲਾ
addiction	0	0	0	0	0	1	0	0	0	0	ਨਸ਼ਾ
addition	0	0	0	0	0	0	0	0	0	0	ਇਸ ਤੋਂ ਇਲਾਵਾ
additional	0	0	0	0	0	0	0	0	0	0	ਵਾਧੂ
additive	0	0	0	0	0	0	0	0	0	0	additive
address	0	0	0	0	0	0	0	0	0	0	ਪਤਾ
addressee	0	0	0	0	0	0	0	0	0	0	ਪਤਾ
addresses	0	1	0	0	0	0	1	0	0	0	ਪਤੇ
adept	0	0	0	0	0	0	1	0	0	0	ਮਾਹਰ
adequacy	0	0	0	0	0	0	1	0	0	0	ਯੋਗਤਾ
adequate	0	0	0	0	0	0	0	0	0	0	ਕਾਫ਼ੀ
adhere	0	0	0	0	0	0	0	0	0	0	ਪਾਲਣਾ
adherence	0	0	0	0	0	0	0	0	0	0	ਜੁੜਨਾ
adherent	0	0	0	0	0	0	0	0	0	0	ਅਨੁਯਾਈ
adhering	0	0	0	0	0	0	0	0	0	1	ਪਾਲਣਾ
adhesion	0	0	0	0	0	0	0	0	0	0	adhesion
adhesive	0	0	0	0	0	0	0	0	0	0	ਚਿਪਕਣ ਵਾਲਾ
adieu	0	0	0	0	0	0	0	0	0	0	ਅਲਵਿਦਾ
adipose	0	0	0	0	0	1	0	0	0	0	ਚਰਬੀ
adjacency	0	0	0	0	0	0	0	0	0	0	ਆਸਪਾਸ
adjacent	0	0	0	0	0	0	0	0	0	0	ਨੇੜੇ
adjective	0	0	0	0	0	0	0	0	0	0	ਵਿਸ਼ੇਸ਼ਣ
adjoining	0	0	0	0	0	0	0	0	0	0	ਨਾਲ ਲੱਗਦੇ
adjourn	0	0	0	0	0	0	0	0	0	0	ਮੁਲਤਵੀ
adjournment	0	0	0	0	0	0	0	0	0	0	ਮੁਲਤਵੀ
adjudicate	0	0	0	1	0	1	0	0	0	0	ਨਿਰਣਾ
adjudication	0	0	0	0	0	0	0	0	0	0	ਨਿਰਣਾ
adjunct	0	0	0	0	0	0	1	0	0	0	ਸਹਾਇਕ
adjust	0	0	0	0	0	0	0	0	0	0	ਵਿਵਸਥਿਤ ਕਰੋ
adjustment	0	0	0	0	0	0	0	0	0	0	ਵਿਵਸਥਾ
adjuvant	0	0	0	0	0	0	0	0	0	0	ਸਹਾਇਕ
administer	0	0	0	0	0	0	0	0	0	0	ਪ੍ਰਬੰਧਨ
administration	0	0	0	0	0	0	0	0	0	0	ਪ੍ਰਸ਼ਾਸਨ
administrative	0	0	0	0	0	0	0	0	0	1	ਪ੍ਰਬੰਧਕੀ
admirable	0	0	0	0	1	0	1	0	0	1	ਪ੍ਰਸ਼ੰਸਾਯੋਗ
admiral	0	0	0	0	0	0	1	0	0	1	ਐਡਮਿਰਲ
admiralty	0	0	0	0	0	0	0	0	0	0	ਐਡਮਿਰਲਟੀ
admiration	0	0	0	0	1	0	1	0	0	1	ਪ੍ਰਸ਼ੰਸਾ
admire	0	0	0	0	0	0	1	0	0	1	ਪ੍ਰਸ਼ੰਸਾ
admirer	0	0	0	0	0	0	1	0	0	0	ਪ੍ਰਸ਼ੰਸਕ
admissibility	0	0	0	0	0	0	0	0	0	0	ਸਵੀਕਾਰਯੋਗਤਾ
admissible	0	0	0	0	0	0	1	0	0	1	ਮੰਨਣਯੋਗ
admission	0	0	0	0	0	0	0	0	0	0	ਦਾਖਲਾ
admit	0	0	0	0	0	0	0	0	0	0	ਸਵੀਕਾਰ ਕਰੋ
admittance	0	0	0	0	0	0	0	0	0	0	ਦਾਖਲਾ
admitted	0	0	0	0	0	0	0	0	0	0	ਦਾਖਲ ਕੀਤਾ
admitting	0	0	0	0	0	0	0	0	0	0	ਮੰਨਣਾ
admixture	0	0	0	0	0	0	0	0	0	0	ਮਿਸ਼ਰਣ
admonition	0	0	0	1	0	1	0	0	0	0	ਸਲਾਹ
ado	0	0	0	0	0	0	0	0	0	0	ਅਡੋਲ
adobe	0	0	0	0	0	0	0	0	0	0	ਅਡੋਬ
adolescence	0	0	0	0	0	0	0	0	0	0	ਅੱਲ੍ਹੜ ਉਮਰ
adolescent	0	0	0	0	0	0	0	0	0	0	ਕਿਸ਼ੋਰ
adopt	0	0	0	0	0	0	0	0	0	0	ਗੋਦ ਲੈਣਾ
adoption	0	0	0	0	0	0	0	0	0	0	ਗੋਦ ਲੈਣਾ
adorable	0	0	0	0	1	0	1	0	0	0	ਮਨਮੋਹਕ
adoration	0	0	0	0	1	0	1	0	0	1	ਪੂਜਾ
adore	0	1	0	0	1	0	1	0	0	1	ਪਿਆਰ ਕਰਨਾ
adorn	0	0	0	0	0	0	0	0	0	0	ਸਜਾਵਟ
adornment	0	0	0	0	0	0	0	0	0	0	ਸਜਾਵਟ
adrift	0	1	0	1	0	1	0	1	0	0	ਭਟਕਣਾ
adult	0	0	0	0	0	0	0	0	0	0	ਬਾਲਗ
adulterated	0	0	0	0	0	1	0	0	0	0	ਮਿਲਾਵਟੀ
adultery	0	0	1	0	0	1	0	1	0	0	ਵਿਭਚਾਰ
advance	0	1	0	1	1	0	1	0	1	0	ਪੇਸ਼ਗੀ
advanced	0	0	0	0	0	0	1	0	0	0	ਉੱਨਤ
advancement	0	0	0	0	0	0	1	0	0	0	ਤਰੱਕੀ
advancing	0	0	0	0	0	0	0	0	0	0	ਅੱਗੇ ਵਧਣਾ
advantage	0	0	0	0	0	0	1	0	0	0	ਫਾਇਦਾ
advantageous	0	0	0	0	0	0	1	0	0	0	ਫਾਇਦੇਮੰਦ
advent	0	1	0	0	1	0	1	0	0	1	ਆਗਮਨ
adventure	0	1	0	0	0	0	1	0	0	0	ਸਾਹਸ
adventurer	0	0	0	0	0	0	0	0	0	0	ਸਾਹਸੀ
adventurous	0	0	0	0	0	0	1	0	0	0	ਸਾਹਸੀ
adversary	1	0	0	0	0	1	0	0	0	0	ਵਿਰੋਧੀ
adverse	1	0	1	1	0	1	0	1	0	0	ਪ੍ਰਤੀਕੂਲ
adversity	1	0	0	1	0	1	0	1	0	0	ਮੁਸੀਬਤ
advertise	0	0	0	0	0	0	0	0	0	0	ਇਸ਼ਤਿਹਾਰ
advertisement	0	0	0	0	0	0	0	0	0	0	ਇਸ਼ਤਿਹਾਰ
advice	0	0	0	0	0	0	0	0	0	1	ਸਲਾਹ
advisable	0	0	0	0	0	0	1	0	0	1	ਸਲਾਹਯੋਗ
advise	0	0	0	0	0	0	1	0	0	1	ਸਲਾਹ
advised	0	0	0	0	0	0	0	0	0	1	ਸਲਾਹ ਦਿੱਤੀ
advisement	0	0	0	0	0	0	0	0	0	0	ਸਲਾਹ
adviser	0	0	0	0	0	0	1	0	0	1	ਸਲਾਹਕਾਰ
advocacy	1	1	0	0	1	0	1	0	0	1	ਵਕਾਲਤ
advocate	0	0	0	0	0	0	0	0	0	1	ਵਕੀਲ
aegis	0	0	0	0	0	0	0	0	0	0	ਏਜੀਸ
aeration	0	0	0	0	0	0	0	0	0	0	ਹਵਾਬਾਜ਼ੀ
aerial	0	0	0	0	0	0	0	0	0	0	ਹਵਾਈ
aerodrome	0	0	0	0	0	0	0	0	0	0	ਐਰੋਡਰੋਮ
aerodynamics	0	0	0	0	0	0	0	0	0	0	ਐਰੋਡਾਇਨਾਮਿਕਸ
aeronautics	0	0	0	0	0	0	0	0	0	0	ਐਰੋਨਾਟਿਕਸ
aeroplane	0	0	0	0	0	0	0	0	0	0	ਹਵਾਈ ਜਹਾਜ਼
aesthetic	0	0	0	0	0	0	1	0	0	0	ਸੁਹਜ
aesthetics	0	0	0	0	1	0	1	0	0	0	ਸੁਹਜ
aetiology	0	0	0	0	0	0	0	0	0	0	ਐਟੀਓਲੋਜੀ
afar	0	0	0	0	0	0	0	0	0	0	ਦੂਰ
affable	0	0	0	0	0	0	1	0	0	0	ਮਿਲਣਸਾਰ
affair	0	0	0	0	0	0	0	0	0	0	ਮਾਮਲਾ
affecting	0	0	0	0	0	0	0	0	0	0	ਪ੍ਰਭਾਵਿਤ
affection	0	0	0	0	1	0	1	0	0	1	ਪਿਆਰ
affections	0	0	0	0	0	0	0	0	0	0	ਪਿਆਰ
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	ਹਲਫਨਾਮਾ
affiliated	0	0	0	0	0	0	1	0	0	0	ਸੰਬੰਧਿਤ
affiliation	0	0	0	0	0	0	0	0	0	0	ਮਾਨਤਾ
affinity	0	0	0	0	0	0	0	0	0	0	ਸਬੰਧ
affirm	0	0	0	0	0	0	1	0	0	1	ਪੁਸ਼ਟੀ
affirmation	0	0	0	0	0	0	1	0	0	0	ਪੁਸ਼ਟੀ
affirmative	0	0	0	0	0	0	1	0	0	0	ਹਾਂ-ਪੱਖੀ
affirmatively	0	0	0	0	0	0	1	0	0	1	ਹਾਂ-ਪੱਖੀ ਤੌਰ 'ਤੇ
affix	0	0	0	0	0	0	0	0	0	0	ਚਿਪਕਣਾ
afflict	0	0	0	1	0	1	0	1	0	0	ਦੁੱਖ
afflicted	0	0	0	0	0	1	0	0	0	0	ਦੁਖੀ
affliction	0	0	1	1	0	1	0	1	0	0	ਦੁੱਖ
affluence	0	0	0	0	1	0	1	0	0	0	ਅਮੀਰੀ
affluent	0	0	0	0	0	0	1	0	0	0	ਅਮੀਰ
afford	0	0	0	0	0	0	1	0	0	0	ਬਰਦਾਸ਼ਤ
affront	1	0	1	1	0	1	0	1	1	0	ਅਪਮਾਨ
afield	0	0	0	0	0	0	0	0	0	0	afield
afore	0	0	0	0	0	0	0	0	0	0	ਅੱਗੇ
aforementioned	0	0	0	0	0	0	0	0	0	0	ਉਪਰੋਕਤ ਜ਼ਿਕਰ ਕੀਤਾ
aforesaid	0	0	0	0	0	0	0	0	0	0	ਉਪਰੋਕਤ
afraid	0	0	0	1	0	1	0	0	0	0	ਡਰ
afresh	0	0	0	0	0	0	0	0	0	0	ਨਵੇਂ ਸਿਰੇ ਤੋਂ
aft	0	0	0	0	0	0	0	0	0	0	ਪਿੱਛੇ
aftermath	1	0	1	1	0	1	0	1	0	0	ਬਾਅਦ
afternoon	0	0	0	0	0	0	0	0	0	0	ਦੁਪਹਿਰ
aftertaste	0	0	0	0	0	1	0	0	0	0	ਬਾਅਦ ਦਾ ਸੁਆਦ
afterthought	0	0	0	0	0	0	0	0	0	0	ਬਾਅਦ ਦੇ ਵਿਚਾਰ
aga	0	0	0	1	0	0	1	0	0	1	ਆਗਾ
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	ਉਮਰ
aged	0	0	0	0	0	0	0	0	0	0	ਬਿਰਧ
agency	0	0	0	0	0	0	0	0	0	0	ਏਜੰਸੀ
agent	0	0	0	0	0	0	0	0	0	0	ਏਜੰਟ
agglomeration	0	0	0	0	0	0	0	0	0	0	ਸੰਗ੍ਰਹਿ
aggravated	1	0	0	0	0	1	0	0	0	0	ਵਧਿਆ
aggravating	1	0	0	0	0	1	0	1	0	0	ਪਰੇਸ਼ਾਨ ਕਰਨ ਵਾਲਾ
aggravation	1	0	1	0	0	1	0	0	0	0	ਵਧਣਾ
aggregate	0	0	0	0	0	0	0	0	0	0	ਕੁੱਲ
aggregation	0	0	0	0	0	0	0	0	0	0	ਏਕੀਕਰਨ
aggression	1	0	0	1	0	1	0	0	0	0	ਹਮਲਾਵਰਤਾ
aggressive	1	0	0	1	0	1	0	0	0	0	ਹਮਲਾਵਰ
aggressor	1	0	0	1	0	1	0	0	0	0	ਹਮਲਾਵਰ
aghast	0	0	1	1	0	1	0	0	1	0	ਪਰੇਸ਼ਾਨ
agile	0	0	0	0	0	0	1	0	0	0	ਚੁਸਤ
agility	0	0	0	0	0	0	1	0	0	0	ਚੁਸਤੀ
agitated	1	0	0	0	0	1	0	0	0	0	ਪਰੇਸ਼ਾਨ
agitation	1	0	0	0	0	1	0	0	0	0	ਅੰਦੋਲਨ
agnostic	0	0	0	0	0	0	0	0	0	0	ਅਗਿਆਨੀ
ago	0	0	0	0	0	0	0	0	0	0	ਪਹਿਲਾਂ
agonizing	0	0	0	1	0	1	0	0	0	0	ਦੁਖਦਾਈ
agony	1	0	0	1	0	1	0	1	0	0	ਦੁੱਖ
agree	0	0	0	0	0	0	1	0	0	0	ਸਹਿਮਤ
agreeable	0	0	0	0	0	0	1	0	0	1	ਸਹਿਮਤ
agreed	0	0	0	0	0	0	1	0	0	1	ਸਹਿਮਤ ਹੋ ਗਏ
agreeing	0	0	0	0	0	0	1	0	0	1	ਸਹਿਮਤ
agreement	0	0	0	0	0	0	1	0	0	1	ਸਮਝੌਤਾ
agricultural	0	0	0	0	0	0	0	0	0	0	ਖੇਤੀਬਾੜੀ
agriculture	0	0	0	0	0	0	1	0	0	0	ਖੇਤੀ ਬਾੜੀ
aground	0	0	0	0	0	1	0	0	0	0	ਜ਼ਮੀਨ 'ਤੇ
agua	0	0	0	0	0	0	0	0	0	0	ਅਗਵਾ
ahead	0	0	0	0	0	0	1	0	0	0	ਅੱਗੇ
aid	0	0	0	0	0	0	1	0	0	0	ਸਹਾਇਤਾ
aiding	0	0	0	0	0	0	1	0	0	0	ਸਹਾਇਤਾ
ail	0	0	0	0	0	1	0	1	0	0	ਬੀਮਾਰੀ
ailing	0	0	0	1	0	1	0	1	0	0	ਬੀਮਾਰ
ailment	0	0	0	0	0	0	0	0	0	0	ਬਿਮਾਰੀ
aim	0	0	0	0	0	0	0	0	0	0	ਉਦੇਸ਼
aimless	0	0	0	0	0	1	0	0	0	0	ਉਦੇਸ਼ ਰਹਿਤ
air	0	0	0	0	0	0	0	0	0	0	ਹਵਾ
airbag	0	0	0	0	0	0	0	0	0	0	ਏਅਰਬੈਗ
airlift	0	0	0	0	0	0	0	0	0	0	ਏਅਰਲਿਫਟ
airline	0	0	0	0	0	0	0	0	0	0	ਏਅਰਲਾਈਨ
airman	0	0	0	0	0	0	0	0	0	0	ਏਅਰਮੈਨ
airplane	0	0	0	0	0	0	0	0	0	0	ਹਵਾਈ ਜਹਾਜ਼
airport	0	1	0	0	0	0	0	0	0	0	ਹਵਾਈ ਅੱਡਾ
airs	0	0	1	0	0	1	0	0	0	0	ਹਵਾਵਾਂ
airship	0	0	0	0	0	0	0	0	0	0	ਹਵਾਈ ਜਹਾਜ਼
aisle	0	0	0	0	0	0	0	0	0	0	ਗਲੀ
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ਅਜਾਰ
akin	0	0	0	0	0	0	0	0	0	1	ਸਮਾਨ
