English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Frisian Word
abundant	0	0	0	0	1	0	1	0	0	0	oerfloedich
abuse	1	0	1	1	0	1	0	1	0	0	misbrûk
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	ôfgryslik
abyss	0	0	0	1	0	1	0	1	0	0	ôfgrûn
academic	0	0	0	0	0	0	1	0	0	1	akademysk
academy	0	0	0	0	0	0	1	0	0	0	akademy
accede	0	0	0	0	0	0	0	0	0	0	oangean
accelerate	0	1	0	0	0	0	0	0	0	0	fersnelle
acceleration	0	0	0	0	0	0	0	0	0	0	fersnelling
accent	0	0	0	0	0	0	0	0	0	0	aksint
accentuate	0	0	0	0	0	0	0	0	0	0	aksintuearje
accept	0	0	0	0	0	0	0	0	0	0	oannimme
acceptable	0	0	0	0	0	0	1	0	0	0	oannimlik
acceptance	0	0	0	0	0	0	1	0	0	0	akseptaasje
access	0	0	0	0	0	0	0	0	0	0	tagong
accessible	0	0	0	0	0	0	1	0	0	0	tagonklik
accession	0	0	0	0	0	0	0	0	0	0	oansluting
accessory	0	0	0	0	0	0	0	0	0	0	accessory
accident	0	0	0	1	0	1	0	1	1	0	ûngelok
accidental	0	0	0	1	0	1	0	0	1	0	tafallich
accidentally	0	0	0	0	0	0	0	0	1	0	tafallich
accolade	0	1	0	0	1	0	1	0	1	1	lof
accommodate	0	0	0	0	0	0	0	0	0	0	akkomodearje
accommodation	0	0	0	0	0	0	1	0	0	0	akkommodaasje
accompaniment	0	1	0	0	1	0	1	0	0	1	begelieding
accompany	0	0	0	0	0	0	0	0	0	0	begeliede
accompanying	0	0	0	0	0	0	0	0	0	0	byhearrende
accomplice	0	0	0	0	0	0	0	0	0	0	medeplichtigen
accomplish	0	0	0	0	1	0	1	0	0	0	berikke
accomplished	0	0	0	0	1	0	1	0	0	0	folbrocht
accomplishment	0	0	0	0	0	0	1	0	0	0	prestaasje
accord	0	0	0	0	0	0	1	0	0	1	oerienkomst
accordance	0	0	0	0	0	0	0	0	0	0	oerienstimming
accordion	0	0	0	0	0	0	0	0	0	0	akkordeon
account	0	0	0	0	0	0	0	0	0	1	rekken
accountability	0	0	0	0	0	0	1	0	0	1	ferantwurding
accountable	0	0	0	0	0	0	1	0	0	1	ferantwurding
accountant	0	0	0	0	0	0	0	0	0	1	akkountant
accounting	0	0	0	0	0	0	0	0	0	0	boekhâlding
accounts	0	0	0	0	0	0	0	0	0	1	akkounts
accredited	0	0	0	0	0	0	1	0	0	1	akkreditearre
accretion	0	0	0	0	0	0	0	0	0	0	oanwinst
accrue	0	0	0	0	0	0	0	0	0	0	oanwinne
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	accumulearje
accumulation	0	0	0	0	0	0	0	0	0	0	accumulation
accuracy	0	0	0	0	0	0	0	0	0	0	krektens
accurate	0	0	0	0	0	0	1	0	0	1	akkuraat
accursed	1	0	0	1	0	1	0	1	0	0	ferflokt
accusation	1	0	1	0	0	1	0	0	0	0	beskuldiging
accusative	0	0	0	0	0	1	0	0	0	0	akkusatyf
accused	1	0	0	1	0	1	0	0	0	0	beskuldige
accuser	1	0	0	1	0	1	0	0	0	0	oanklager
accusing	1	0	0	1	0	1	0	0	0	0	beskuldigjend
accustomed	0	0	0	0	0	0	0	0	0	0	wend
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	pine
achieve	0	0	0	0	1	0	1	0	0	1	berikke
achievement	0	1	0	0	1	0	1	0	0	1	prestaasje
aching	0	0	0	0	0	1	0	1	0	0	pine
acid	0	0	0	0	0	1	0	0	0	0	soer
acidity	0	0	0	0	0	0	0	0	0	0	acidity
acknowledge	0	0	0	0	0	0	0	0	0	0	erkenne
acknowledged	0	0	0	0	0	0	0	0	0	0	erkend
acknowledgment	0	0	0	0	0	0	1	0	0	0	erkenning
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akoestyske
acoustics	0	0	0	0	0	0	0	0	0	0	akoestyk
acquaint	0	0	0	0	0	0	0	0	0	0	kunde
acquaintance	0	0	0	0	0	0	0	0	0	0	kunde
acquainted	0	0	0	0	0	0	0	0	0	0	kunde
acquiescence	0	0	0	0	0	0	0	0	0	0	oerienkomst
acquire	0	0	0	0	0	0	1	0	0	0	oanskaffe
acquiring	0	1	0	0	0	0	1	0	0	0	oernimme
acquisition	0	0	0	0	0	0	0	0	0	0	oanwinst
acquisitions	0	0	0	0	0	0	0	0	0	0	oanwinsten
acreage	0	0	0	0	0	0	0	0	0	0	areaal
acres	0	0	0	0	0	0	0	0	0	0	acres
acrobat	0	0	0	1	1	0	1	0	0	1	akrobaat
act	0	0	0	0	0	0	0	0	0	0	handeling
acting	0	0	0	0	0	0	0	0	0	0	aktearjen
action	0	0	0	0	0	0	1	0	0	0	aksje
actionable	1	0	1	0	0	1	0	0	0	0	actionable
active	0	0	0	0	0	0	0	0	0	0	aktyf
activity	0	0	0	0	0	0	0	0	0	0	aktiviteit
actor	0	0	0	0	0	0	0	0	0	0	toanielspiler
actual	0	0	0	0	0	0	1	0	0	0	feitlik
actuality	0	0	0	0	0	0	0	0	0	0	aktualiteit
actuary	0	0	0	0	0	0	0	0	0	0	aktuaris
acuity	0	0	0	0	0	0	1	0	0	0	skerpte
acumen	0	0	0	0	0	0	1	0	0	0	skerpsinnigens
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktur
acutely	0	0	0	0	0	0	0	0	0	0	acutely
adage	0	0	0	0	0	0	0	0	0	0	adage
adamant	0	0	0	0	0	0	0	0	0	0	adamant
adapt	0	0	0	0	0	0	1	0	0	0	oanpasse
adaptable	0	0	0	0	0	0	1	0	0	0	oanpasber
add	0	0	0	0	0	0	0	0	0	0	tafoegje
added	0	0	0	0	0	0	0	0	0	0	tafoege
addendum	0	0	0	0	0	0	0	0	0	0	addendum
adder	1	0	1	1	0	1	0	1	0	0	adder
addiction	0	0	0	0	0	1	0	0	0	0	ferslaving
addition	0	0	0	0	0	0	0	0	0	0	tafoeging
additional	0	0	0	0	0	0	0	0	0	0	oanfoljend
additive	0	0	0	0	0	0	0	0	0	0	additive
address	0	0	0	0	0	0	0	0	0	0	adres
addressee	0	0	0	0	0	0	0	0	0	0	adressearre
addresses	0	1	0	0	0	0	1	0	0	0	adressen
adept	0	0	0	0	0	0	1	0	0	0	adept
adequacy	0	0	0	0	0	0	1	0	0	0	adekwaatheid
adequate	0	0	0	0	0	0	0	0	0	0	foldwaande
adhere	0	0	0	0	0	0	0	0	0	0	oanhingje
adherence	0	0	0	0	0	0	0	0	0	0	oanhing
adherent	0	0	0	0	0	0	0	0	0	0	oanhinger
adhering	0	0	0	0	0	0	0	0	0	1	oanhingje
adhesion	0	0	0	0	0	0	0	0	0	0	adhesion
adhesive	0	0	0	0	0	0	0	0	0	0	adhesive
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	adjacency
adjacent	0	0	0	0	0	0	0	0	0	0	neistlizzend
adjective	0	0	0	0	0	0	0	0	0	0	eigenskipswurd
adjoining	0	0	0	0	0	0	0	0	0	0	oanswettende
adjourn	0	0	0	0	0	0	0	0	0	0	fertrage
adjournment	0	0	0	0	0	0	0	0	0	0	fertraging
adjudicate	0	0	0	1	0	1	0	0	0	0	oardielje
adjudication	0	0	0	0	0	0	0	0	0	0	oardiel
adjunct	0	0	0	0	0	0	1	0	0	0	adjunct
adjust	0	0	0	0	0	0	0	0	0	0	oanpasse
adjustment	0	0	0	0	0	0	0	0	0	0	oanpassing
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	administrearje
administration	0	0	0	0	0	0	0	0	0	0	bestjoer
administrative	0	0	0	0	0	0	0	0	0	1	bestjoerlik
admirable	0	0	0	0	1	0	1	0	0	1	bewûnderlik
admiral	0	0	0	0	0	0	1	0	0	1	admiraal
admiralty	0	0	0	0	0	0	0	0	0	0	admiraliteit
admiration	0	0	0	0	1	0	1	0	0	1	bewûndering
admire	0	0	0	0	0	0	1	0	0	1	bewûnderje
admirer	0	0	0	0	0	0	1	0	0	0	bewûnderer
admissibility	0	0	0	0	0	0	0	0	0	0	tastien
admissible	0	0	0	0	0	0	1	0	0	1	tastien
admission	0	0	0	0	0	0	0	0	0	0	tagong
admit	0	0	0	0	0	0	0	0	0	0	tajaan
admittance	0	0	0	0	0	0	0	0	0	0	tagong
admitted	0	0	0	0	0	0	0	0	0	0	talitten
admitting	0	0	0	0	0	0	0	0	0	0	tajaan
admixture	0	0	0	0	0	0	0	0	0	0	bymenging
admonition	0	0	0	1	0	1	0	0	0	0	fermaning
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	adolesinsje
adolescent	0	0	0	0	0	0	0	0	0	0	adolesinte
adopt	0	0	0	0	0	0	0	0	0	0	oannimme
adoption	0	0	0	0	0	0	0	0	0	0	oannimmen
adorable	0	0	0	0	1	0	1	0	0	0	adorable
adoration	0	0	0	0	1	0	1	0	0	1	oanbidding
adore	0	1	0	0	1	0	1	0	0	1	oanbidde
adorn	0	0	0	0	0	0	0	0	0	0	fersiere
adornment	0	0	0	0	0	0	0	0	0	0	fersiering
adrift	0	1	0	1	0	1	0	1	0	0	adrift
adult	0	0	0	0	0	0	0	0	0	0	folwoeksen
adulterated	0	0	0	0	0	1	0	0	0	0	ferwoaste
adultery	0	0	1	0	0	1	0	1	0	0	oerhoer
advance	0	1	0	1	1	0	1	0	1	0	foarút
advanced	0	0	0	0	0	0	1	0	0	0	advanced
advancement	0	0	0	0	0	0	1	0	0	0	foarútgong
advancing	0	0	0	0	0	0	0	0	0	0	foarútgong
advantage	0	0	0	0	0	0	1	0	0	0	foardiel
advantageous	0	0	0	0	0	0	1	0	0	0	foardielich
advent	0	1	0	0	1	0	1	0	0	1	advent
adventure	0	1	0	0	0	0	1	0	0	0	aventoer
adventurer	0	0	0	0	0	0	0	0	0	0	aventoer
adventurous	0	0	0	0	0	0	1	0	0	0	aventoerlik
adversary	1	0	0	0	0	1	0	0	0	0	tsjinstanner
adverse	1	0	1	1	0	1	0	1	0	0	adverse
adversity	1	0	0	1	0	1	0	1	0	0	tsjinslach
advertise	0	0	0	0	0	0	0	0	0	0	advertearje
advertisement	0	0	0	0	0	0	0	0	0	0	advertinsje
advice	0	0	0	0	0	0	0	0	0	1	rie
advisable	0	0	0	0	0	0	1	0	0	1	oan te rieden
advise	0	0	0	0	0	0	1	0	0	1	advisearje
advised	0	0	0	0	0	0	0	0	0	1	advisearre
advisement	0	0	0	0	0	0	0	0	0	0	advys
adviser	0	0	0	0	0	0	1	0	0	1	adviseur
advocacy	1	1	0	0	1	0	1	0	0	1	advocacy
advocate	0	0	0	0	0	0	0	0	0	1	bepleitsje
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	beluchting
aerial	0	0	0	0	0	0	0	0	0	0	loftfoto
aerodrome	0	0	0	0	0	0	0	0	0	0	fleanfjild
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamika
aeronautics	0	0	0	0	0	0	0	0	0	0	loftfeart
aeroplane	0	0	0	0	0	0	0	0	0	0	fleanmasine
aesthetic	0	0	0	0	0	0	1	0	0	0	estetyske
aesthetics	0	0	0	0	1	0	1	0	0	0	estetyk
aetiology	0	0	0	0	0	0	0	0	0	0	etiology
afar	0	0	0	0	0	0	0	0	0	0	fier
affable	0	0	0	0	0	0	1	0	0	0	oannimlik
affair	0	0	0	0	0	0	0	0	0	0	affêre
affecting	0	0	0	0	0	0	0	0	0	0	beynfloedzjen
affection	0	0	0	0	1	0	1	0	0	1	affection
affections	0	0	0	0	0	0	0	0	0	0	affections
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	affidavit
affiliated	0	0	0	0	0	0	1	0	0	0	oansletten
affiliation	0	0	0	0	0	0	0	0	0	0	affiliation
affinity	0	0	0	0	0	0	0	0	0	0	affiniteit
affirm	0	0	0	0	0	0	1	0	0	1	Befêstigje
affirmation	0	0	0	0	0	0	1	0	0	0	befêstiging
affirmative	0	0	0	0	0	0	1	0	0	0	befêstigjend
affirmatively	0	0	0	0	0	0	1	0	0	1	befêstigjend
affix	0	0	0	0	0	0	0	0	0	0	oanbringen
afflict	0	0	0	1	0	1	0	1	0	0	oandwaan
afflicted	0	0	0	0	0	1	0	0	0	0	oandien
affliction	0	0	1	1	0	1	0	1	0	0	ellinde
affluence	0	0	0	0	1	0	1	0	0	0	rykdom
affluent	0	0	0	0	0	0	1	0	0	0	begoedige
afford	0	0	0	0	0	0	1	0	0	0	betelje
affront	1	0	1	1	0	1	0	1	1	0	affront
afield	0	0	0	0	0	0	0	0	0	0	fuort
afore	0	0	0	0	0	0	0	0	0	0	earder
aforementioned	0	0	0	0	0	0	0	0	0	0	earderneamde
aforesaid	0	0	0	0	0	0	0	0	0	0	earder neamd
afraid	0	0	0	1	0	1	0	0	0	0	bang
afresh	0	0	0	0	0	0	0	0	0	0	nij
aft	0	0	0	0	0	0	0	0	0	0	aft
aftermath	1	0	1	1	0	1	0	1	0	0	neisleep
afternoon	0	0	0	0	0	0	0	0	0	0	middei
aftertaste	0	0	0	0	0	1	0	0	0	0	neismaak
afterthought	0	0	0	0	0	0	0	0	0	0	neitocht
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agaat
age	0	0	0	0	0	0	0	0	0	0	leeftyd
aged	0	0	0	0	0	0	0	0	0	0	âldens
agency	0	0	0	0	0	0	0	0	0	0	agintskip
agent	0	0	0	0	0	0	0	0	0	0	agint
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomeraasje
aggravated	1	0	0	0	0	1	0	0	0	0	fergriemd
aggravating	1	0	0	0	0	1	0	1	0	0	aggravating
aggravation	1	0	1	0	0	1	0	0	0	0	aggravation
aggregate	0	0	0	0	0	0	0	0	0	0	aggregaat
aggregation	0	0	0	0	0	0	0	0	0	0	aggregaasje
aggression	1	0	0	1	0	1	0	0	0	0	agresje
aggressive	1	0	0	1	0	1	0	0	0	0	agressyf
aggressor	1	0	0	1	0	1	0	0	0	0	agressor
aghast	0	0	1	1	0	1	0	0	1	0	ôfgryslik
agile	0	0	0	0	0	0	1	0	0	0	agile
agility	0	0	0	0	0	0	1	0	0	0	agility
agitated	1	0	0	0	0	1	0	0	0	0	agitearre
agitation	1	0	0	0	0	1	0	0	0	0	agitaasje
agnostic	0	0	0	0	0	0	0	0	0	0	agnostysk
ago	0	0	0	0	0	0	0	0	0	0	lyn
agonizing	0	0	0	1	0	1	0	0	0	0	agonizing
agony	1	0	0	1	0	1	0	1	0	0	agony
agree	0	0	0	0	0	0	1	0	0	0	oerienkomme
agreeable	0	0	0	0	0	0	1	0	0	1	gaadlik
agreed	0	0	0	0	0	0	1	0	0	1	ôfpraat
agreeing	0	0	0	0	0	0	1	0	0	1	iens
agreement	0	0	0	0	0	0	1	0	0	1	oerienkomst
agricultural	0	0	0	0	0	0	0	0	0	0	lânbou
agriculture	0	0	0	0	0	0	1	0	0	0	lânbou
aground	0	0	0	0	0	1	0	0	0	0	aground
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	foarút
aid	0	0	0	0	0	0	1	0	0	0	helpmiddel
aiding	0	0	0	0	0	0	1	0	0	0	helpe
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	siik
ailment	0	0	0	0	0	0	0	0	0	0	kwaal
aim	0	0	0	0	0	0	0	0	0	0	doel
aimless	0	0	0	0	0	1	0	0	0	0	doelleas
air	0	0	0	0	0	0	0	0	0	0	loft
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	loftfeart
airline	0	0	0	0	0	0	0	0	0	0	loftfeartmaatskippij
airman	0	0	0	0	0	0	0	0	0	0	loftman
airplane	0	0	0	0	0	0	0	0	0	0	fleanmasine
airport	0	1	0	0	0	0	0	0	0	0	fleanfjild
airs	0	0	1	0	0	1	0	0	0	0	lofts
airship	0	0	0	0	0	0	0	0	0	0	loftskip
aisle	0	0	0	0	0	0	0	0	0	0	gong
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	besibbe
alabaster	0	0	0	0	0	0	1	0	0	0	albast
alarm	0	0	0	1	0	1	0	0	1	0	alarm
alarming	0	0	0	1	0	1	0	0	1	0	alarmearjend
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchemy
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholisme
alcove	0	0	0	0	0	0	0	0	0	0	alkoof
alert	0	0	0	0	0	0	0	0	0	0	alarmearje
alertness	0	1	0	1	0	0	1	0	1	0	alertness
alerts	0	1	0	1	0	0	0	0	1	0	warskôgings
alfalfa	0	0	0	0	0	0	0	0	0	0	luzerne
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraysk
algorithm	0	0	0	0	0	0	0	0	0	0	algoritme
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	frjemdling
alienate	1	0	1	0	0	1	0	0	0	0	ferfrjemdzje
alienated	0	0	0	0	0	1	0	1	0	0	ferfrjemde
alienation	1	0	1	1	0	1	0	1	0	0	ferfrjemding
alight	0	0	0	0	0	0	0	0	0	0	oanstekke
aligned	0	0	0	0	0	0	0	0	0	0	ôfstimd
alignment	0	0	0	0	0	0	0	0	0	0	alignment
alike	0	0	0	0	0	0	0	0	0	0	gelyk
alimentation	0	0	0	0	0	0	1	0	0	0	alimentaasje
alimony	0	0	0	0	0	1	0	0	0	0	alimintaasje
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	libben
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloïden
allay	0	0	0	0	0	0	1	0	0	0	alley
allegation	1	0	0	0	0	1	0	0	0	0	beskuldiging
allege	0	0	0	0	0	1	0	0	0	0	beweare
alleged	0	0	0	0	0	0	0	0	0	0	bewearde
allegiance	0	0	0	0	0	0	1	0	0	1	trou
allegorical	0	0	0	0	0	0	0	0	0	0	allegorysk
allegory	0	0	0	0	0	0	0	0	0	0	allegory
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	ferleegje
alleviation	0	0	0	0	0	0	1	0	0	0	ferlichting
alley	0	0	0	0	0	0	0	0	0	0	alley
alliance	0	0	0	0	0	0	0	0	0	1	alliânsje
allied	0	0	0	0	0	0	1	0	0	1	alliearde
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	allocearje
allocation	0	0	0	0	0	0	0	0	0	0	allocaasje
allot	0	0	0	0	0	0	0	0	0	0	allot
allotment	0	0	0	0	0	0	0	0	0	0	allotment
allowable	0	0	0	0	0	0	1	0	0	0	tastien
allowance	0	0	0	0	0	0	0	0	0	0	fergoeding
allowed	0	0	0	0	0	0	0	0	0	0	tastien
alloy	0	0	0	0	0	0	0	0	0	0	legearing
allure	0	1	0	0	1	0	1	0	1	0	allure
alluring	0	0	0	0	0	0	1	0	0	0	oanloklik
allusion	0	0	0	0	0	0	0	0	0	0	oantsjutting
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	bûnsgenoat
almanac	0	0	0	0	0	0	0	0	0	0	almanak
almighty	0	0	0	0	0	0	1	0	0	0	almachtich
aloft	0	0	0	0	0	0	0	0	0	0	aloft
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	neist
aloof	0	0	0	0	0	1	0	0	0	0	ôfsjoen
aloud	0	0	0	0	0	0	0	0	0	0	lûdop
alphabet	0	0	0	0	0	0	0	0	0	0	alfabet
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabetysk
altar	0	0	0	0	0	0	0	0	0	0	alter
alter	0	0	0	0	0	0	0	0	0	0	feroarje
alteration	0	0	0	0	0	0	0	0	0	0	feroaring
altercation	1	0	0	0	0	1	0	0	0	0	altercation
altered	0	0	0	0	0	0	0	0	0	0	feroare
alternate	0	0	0	0	0	0	0	0	0	0	ôfwikselje
alternative	0	0	0	0	0	0	0	0	0	0	alternatyf
altitude	0	0	0	0	0	0	0	0	0	0	hichte
alto	0	0	0	0	0	0	0	0	0	0	alt
altogether	0	0	0	0	0	0	0	0	0	0	hielendal
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgaam
amalgamation	0	0	0	0	0	0	0	0	0	0	gearfoeging
amass	0	0	0	0	0	0	0	0	0	0	sammelje
amateur	0	0	0	0	0	0	0	0	0	0	amateur
amaze	0	0	0	0	0	0	0	0	1	0	fernuverje
amazement	0	0	0	0	0	0	0	0	0	0	fernuvering
amazingly	0	0	0	0	1	0	1	0	1	0	amazingly
ambassador	0	0	0	0	0	0	1	0	0	1	ambassadeur
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	dûbelsinnigens
ambiguous	0	0	0	0	0	1	0	0	0	0	dûbelsinnich
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	ambysje
ambitious	0	0	0	0	0	0	0	0	0	0	ambisjeus
ambulance	0	0	0	1	0	0	0	0	0	1	ambulânse
ambush	1	0	0	1	0	1	0	0	1	0	hinderlaag
ameliorate	0	0	0	0	0	0	1	0	0	0	ferbetterje
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	oannimlik
amend	0	0	0	0	0	0	1	0	0	0	feroarje
amendment	0	0	0	0	0	0	0	0	0	0	amendemint
amends	0	0	0	0	0	0	1	0	0	0	feroaret
amenity	0	0	0	0	0	0	1	0	0	0	foarsjenning
amethyst	0	0	0	0	0	0	0	0	0	0	amethyst
amiable	0	0	0	0	0	0	1	0	0	0	freonlik
amicable	0	0	0	0	1	0	1	0	0	0	freonlik
amid	0	0	0	0	0	0	0	0	0	0	amid
amidst	0	0	0	0	0	0	0	0	0	0	midden
ammonia	0	0	1	0	0	0	0	0	0	0	ammoniak
ammunition	0	0	0	0	0	0	0	0	0	0	munysje
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	amnesty
amorphous	0	0	0	0	0	0	0	0	0	0	amorf
amortization	0	0	0	0	0	0	0	0	0	1	amortisaasje
amount	0	0	0	0	0	0	0	0	0	0	tal
amour	0	1	0	0	1	0	1	0	0	1	amour
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetamines
amphibian	0	0	0	0	0	0	0	0	0	0	amfibyen
amphibious	0	0	0	0	0	0	0	0	0	0	amfibyen
amphitheater	0	0	0	0	0	0	0	0	0	0	amfiteater
amplification	0	0	0	0	0	0	0	0	0	0	fersterking
