English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Cebuano Word
abrogate	0	0	0	0	0	1	0	0	0	0	wagtangon
abrupt	0	0	0	0	0	0	0	0	1	0	kalit
abruptly	0	0	0	0	0	0	0	0	0	0	kalit
abscess	0	0	0	0	0	1	0	1	0	0	abscess
absence	0	0	0	1	0	1	0	1	0	0	pagkawala
absent	0	0	0	0	0	1	0	1	0	0	wala diha
absentee	0	0	0	0	0	1	0	1	0	0	absent
absenteeism	0	0	0	0	0	1	0	0	0	0	pagka-absent
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	hingpit
absolution	0	0	0	0	1	0	1	0	0	1	pagpasaylo
absorbed	0	0	0	0	0	0	1	0	0	0	nasuyop
absorbent	0	0	0	0	0	0	0	0	0	0	mosuhop
absorbing	0	0	0	0	0	0	0	0	0	0	pagsuyop
absorption	0	0	0	0	0	0	0	0	0	0	pagsuyop
abstain	0	0	0	0	0	0	0	0	0	0	paglikay
abstention	0	0	0	0	0	0	0	0	0	0	paglikay
abstinence	0	0	0	0	0	0	0	0	0	0	paglikay
abstract	0	0	0	0	0	0	0	0	0	0	abstract
abstraction	0	0	0	0	0	0	0	0	0	0	abstraction
absurd	0	0	0	0	0	1	0	0	0	0	binuang
absurdity	0	0	0	0	0	1	0	0	0	0	kabuang
abundance	0	1	1	0	1	1	1	0	0	1	kadagaya
abundant	0	0	0	0	1	0	1	0	0	0	abunda
abuse	1	0	1	1	0	1	0	1	0	0	pag-abuso
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abysmal
abyss	0	0	0	1	0	1	0	1	0	0	kahiladman
academic	0	0	0	0	0	0	1	0	0	1	akademiko
academy	0	0	0	0	0	0	1	0	0	0	akademya
accede	0	0	0	0	0	0	0	0	0	0	musugot
accelerate	0	1	0	0	0	0	0	0	0	0	pagpadali
acceleration	0	0	0	0	0	0	0	0	0	0	pagpatulin
accent	0	0	0	0	0	0	0	0	0	0	accent
accentuate	0	0	0	0	0	0	0	0	0	0	ipasiugda
accept	0	0	0	0	0	0	0	0	0	0	dawata
acceptable	0	0	0	0	0	0	1	0	0	0	madawat
acceptance	0	0	0	0	0	0	1	0	0	0	pagdawat
access	0	0	0	0	0	0	0	0	0	0	access
accessible	0	0	0	0	0	0	1	0	0	0	accessible
accession	0	0	0	0	0	0	0	0	0	0	pagsulod
accessory	0	0	0	0	0	0	0	0	0	0	accessory
accident	0	0	0	1	0	1	0	1	1	0	aksidente
accidental	0	0	0	1	0	1	0	0	1	0	aksidente
accidentally	0	0	0	0	0	0	0	0	1	0	aksidente
accolade	0	1	0	0	1	0	1	0	1	1	pasidungog
accommodate	0	0	0	0	0	0	0	0	0	0	accommodate
accommodation	0	0	0	0	0	0	1	0	0	0	kapuy-an
accompaniment	0	1	0	0	1	0	1	0	0	1	duyog
accompany	0	0	0	0	0	0	0	0	0	0	kuyog
accompanying	0	0	0	0	0	0	0	0	0	0	nag-uban
accomplice	0	0	0	0	0	0	0	0	0	0	kauban
accomplish	0	0	0	0	1	0	1	0	0	0	matuman
accomplished	0	0	0	0	1	0	1	0	0	0	nahuman
accomplishment	0	0	0	0	0	0	1	0	0	0	kalampusan
accord	0	0	0	0	0	0	1	0	0	1	uyon
accordance	0	0	0	0	0	0	0	0	0	0	uyon
accordion	0	0	0	0	0	0	0	0	0	0	akordyon
account	0	0	0	0	0	0	0	0	0	1	asoy
accountability	0	0	0	0	0	0	1	0	0	1	pagkamay tulubagon
accountable	0	0	0	0	0	0	1	0	0	1	may tulubagon
accountant	0	0	0	0	0	0	0	0	0	1	accountant
accounting	0	0	0	0	0	0	0	0	0	0	accounting
accounts	0	0	0	0	0	0	0	0	0	1	mga account
accredited	0	0	0	0	0	0	1	0	0	1	akreditado
accretion	0	0	0	0	0	0	0	0	0	0	pagdugang
accrue	0	0	0	0	0	0	0	0	0	0	makaipon
accueil	0	0	0	0	0	0	1	0	0	0	akusasyon
accumulate	0	0	0	0	0	0	0	0	0	0	tapok
accumulation	0	0	0	0	0	0	0	0	0	0	panagtapok
accuracy	0	0	0	0	0	0	0	0	0	0	katukma
accurate	0	0	0	0	0	0	1	0	0	1	tukma
accursed	1	0	0	1	0	1	0	1	0	0	tinunglo
accusation	1	0	1	0	0	1	0	0	0	0	sumbong
accusative	0	0	0	0	0	1	0	0	0	0	accusative
accused	1	0	0	1	0	1	0	0	0	0	akusado
accuser	1	0	0	1	0	1	0	0	0	0	tigsumbong
accusing	1	0	0	1	0	1	0	0	0	0	pagsumbong
accustomed	0	0	0	0	0	0	0	0	0	0	naanad
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	kasakit
achieve	0	0	0	0	1	0	1	0	0	1	makab-ot
achievement	0	1	0	0	1	0	1	0	0	1	kalampusan
aching	0	0	0	0	0	1	0	1	0	0	nagsakit
acid	0	0	0	0	0	1	0	0	0	0	asido
acidity	0	0	0	0	0	0	0	0	0	0	kaasiman
acknowledge	0	0	0	0	0	0	0	0	0	0	moila
acknowledged	0	0	0	0	0	0	0	0	0	0	giila
acknowledgment	0	0	0	0	0	0	1	0	0	0	pag-ila
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	acoustic
acoustics	0	0	0	0	0	0	0	0	0	0	acoustics
acquaint	0	0	0	0	0	0	0	0	0	0	kaila
acquaintance	0	0	0	0	0	0	0	0	0	0	kaila
acquainted	0	0	0	0	0	0	0	0	0	0	nakaila
acquiescence	0	0	0	0	0	0	0	0	0	0	pagsugot
acquire	0	0	0	0	0	0	1	0	0	0	makuha
acquiring	0	1	0	0	0	0	1	0	0	0	pagbaton
acquisition	0	0	0	0	0	0	0	0	0	0	pag-angkon
acquisitions	0	0	0	0	0	0	0	0	0	0	mga pag-angkon
acreage	0	0	0	0	0	0	0	0	0	0	ektarya
acres	0	0	0	0	0	0	0	0	0	0	ektarya
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	lihok
acting	0	0	0	0	0	0	0	0	0	0	paglihok
action	0	0	0	0	0	0	1	0	0	0	aksyon
actionable	1	0	1	0	0	1	0	0	0	0	maaksyonan
active	0	0	0	0	0	0	0	0	0	0	aktibo
activity	0	0	0	0	0	0	0	0	0	0	kalihokan
actor	0	0	0	0	0	0	0	0	0	0	aktor
actual	0	0	0	0	0	0	1	0	0	0	aktuwal
actuality	0	0	0	0	0	0	0	0	0	0	aktuwalidad
actuary	0	0	0	0	0	0	0	0	0	0	actuary
acuity	0	0	0	0	0	0	1	0	0	0	acuity
acumen	0	0	0	0	0	0	1	0	0	0	katakus
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuncture
acutely	0	0	0	0	0	0	0	0	0	0	mahait
adage	0	0	0	0	0	0	0	0	0	0	panultihon
adamant	0	0	0	0	0	0	0	0	0	0	lig-on
adapt	0	0	0	0	0	0	1	0	0	0	ipahiangay
adaptable	0	0	0	0	0	0	1	0	0	0	mapahiangay
add	0	0	0	0	0	0	0	0	0	0	idugang
added	0	0	0	0	0	0	0	0	0	0	gidugang
addendum	0	0	0	0	0	0	0	0	0	0	addendum
adder	1	0	1	1	0	1	0	1	0	0	adder
addiction	0	0	0	0	0	1	0	0	0	0	pagkaadik
addition	0	0	0	0	0	0	0	0	0	0	pagdugang
additional	0	0	0	0	0	0	0	0	0	0	dugang
additive	0	0	0	0	0	0	0	0	0	0	makadugang
address	0	0	0	0	0	0	0	0	0	0	adres
addressee	0	0	0	0	0	0	0	0	0	0	addressee
addresses	0	1	0	0	0	0	1	0	0	0	mga adres
adept	0	0	0	0	0	0	1	0	0	0	hanas
adequacy	0	0	0	0	0	0	1	0	0	0	kaangayan
adequate	0	0	0	0	0	0	0	0	0	0	igo
adhere	0	0	0	0	0	0	0	0	0	0	pagsunod
adherence	0	0	0	0	0	0	0	0	0	0	pagsunod
adherent	0	0	0	0	0	0	0	0	0	0	nagsunod
adhering	0	0	0	0	0	0	0	0	0	1	pagsunod
adhesion	0	0	0	0	0	0	0	0	0	0	pagpapilit
adhesive	0	0	0	0	0	0	0	0	0	0	patapot
adieu	0	0	0	0	0	0	0	0	0	0	pahibalo
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	kasikbit
adjacent	0	0	0	0	0	0	0	0	0	0	tapad
adjective	0	0	0	0	0	0	0	0	0	0	adhetibo
adjoining	0	0	0	0	0	0	0	0	0	0	kasikbit
adjourn	0	0	0	0	0	0	0	0	0	0	pag-undang
adjournment	0	0	0	0	0	0	0	0	0	0	paglangan
adjudicate	0	0	0	1	0	1	0	0	0	0	hukman
adjudication	0	0	0	0	0	0	0	0	0	0	hukom
adjunct	0	0	0	0	0	0	1	0	0	0	kadugtong
adjust	0	0	0	0	0	0	0	0	0	0	adjust
adjustment	0	0	0	0	0	0	0	0	0	0	pagpahiangay
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	mangalagad
administration	0	0	0	0	0	0	0	0	0	0	administrasyon
administrative	0	0	0	0	0	0	0	0	0	1	administratibo
admirable	0	0	0	0	1	0	1	0	0	1	dalaygon
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	pagdayeg
admiration	0	0	0	0	1	0	1	0	0	1	pagdayeg
admire	0	0	0	0	0	0	1	0	0	1	pagdayeg
admirer	0	0	0	0	0	0	1	0	0	0	admirer
admissibility	0	0	0	0	0	0	0	0	0	0	pagkamadawaton
admissible	0	0	0	0	0	0	1	0	0	1	madawat
admission	0	0	0	0	0	0	0	0	0	0	admission
admit	0	0	0	0	0	0	0	0	0	0	moangkon
admittance	0	0	0	0	0	0	0	0	0	0	pagsulod
admitted	0	0	0	0	0	0	0	0	0	0	miangkon
admitting	0	0	0	0	0	0	0	0	0	0	miangkon
admixture	0	0	0	0	0	0	0	0	0	0	pagsagol
admonition	0	0	0	1	0	1	0	0	0	0	pahimangno
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	pagkatin-edyer
adolescent	0	0	0	0	0	0	0	0	0	0	batan-on
adopt	0	0	0	0	0	0	0	0	0	0	pagsagop
adoption	0	0	0	0	0	0	0	0	0	0	pagsagop
adorable	0	0	0	0	1	0	1	0	0	0	madanihon
adoration	0	0	0	0	1	0	1	0	0	1	pagsimba
adore	0	1	0	0	1	0	1	0	0	1	simbahon
adorn	0	0	0	0	0	0	0	0	0	0	pag-adorno
adornment	0	0	0	0	0	0	0	0	0	0	dayandayan
adrift	0	1	0	1	0	1	0	1	0	0	naanod
adult	0	0	0	0	0	0	0	0	0	0	hamtong
adulterated	0	0	0	0	0	1	0	0	0	0	gisagol
adultery	0	0	1	0	0	1	0	1	0	0	pagpanapaw
advance	0	1	0	1	1	0	1	0	1	0	abante
advanced	0	0	0	0	0	0	1	0	0	0	abante
advancement	0	0	0	0	0	0	1	0	0	0	pag-uswag
advancing	0	0	0	0	0	0	0	0	0	0	pag-abante
advantage	0	0	0	0	0	0	1	0	0	0	bentaha
advantageous	0	0	0	0	0	0	1	0	0	0	mapuslanon
advent	0	1	0	0	1	0	1	0	0	1	pag-abot
adventure	0	1	0	0	0	0	1	0	0	0	adventure
adventurer	0	0	0	0	0	0	0	0	0	0	adventurer
adventurous	0	0	0	0	0	0	1	0	0	0	mapangahason
adversary	1	0	0	0	0	1	0	0	0	0	kaaway
adverse	1	0	1	1	0	1	0	1	0	0	dili maayo
adversity	1	0	0	1	0	1	0	1	0	0	kalisdanan
advertise	0	0	0	0	0	0	0	0	0	0	advertise
advertisement	0	0	0	0	0	0	0	0	0	0	advertisement
advice	0	0	0	0	0	0	0	0	0	1	tambag
advisable	0	0	0	0	0	0	1	0	0	1	angay
advise	0	0	0	0	0	0	1	0	0	1	tambagi
advised	0	0	0	0	0	0	0	0	0	1	gitambagan
advisement	0	0	0	0	0	0	0	0	0	0	tambag
adviser	0	0	0	0	0	0	1	0	0	1	magtatambag
advocacy	1	1	0	0	1	0	1	0	0	1	adbokasiya
advocate	0	0	0	0	0	0	0	0	0	1	manlalaban
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	aeration
aerial	0	0	0	0	0	0	0	0	0	0	aerial
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrome
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautics
aeroplane	0	0	0	0	0	0	0	0	0	0	eroplano
aesthetic	0	0	0	0	0	0	1	0	0	0	aesthetic
aesthetics	0	0	0	0	1	0	1	0	0	0	aesthetics
aetiology	0	0	0	0	0	0	0	0	0	0	etiology
afar	0	0	0	0	0	0	0	0	0	0	layo
affable	0	0	0	0	0	0	1	0	0	0	affable
affair	0	0	0	0	0	0	0	0	0	0	relasyon
affecting	0	0	0	0	0	0	0	0	0	0	nakaapekto
affection	0	0	0	0	1	0	1	0	0	1	pagbati
affections	0	0	0	0	0	0	0	0	0	0	mga pagmahal
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	affidavit
affiliated	0	0	0	0	0	0	1	0	0	0	kauban
affiliation	0	0	0	0	0	0	0	0	0	0	koneksyon
affinity	0	0	0	0	0	0	0	0	0	0	pagkasuod
affirm	0	0	0	0	0	0	1	0	0	1	gipamatud-an sa
affirmation	0	0	0	0	0	0	1	0	0	0	pagmatuod
affirmative	0	0	0	0	0	0	1	0	0	0	apirmatibo
affirmatively	0	0	0	0	0	0	1	0	0	1	apirmatibo
affix	0	0	0	0	0	0	0	0	0	0	affix
afflict	0	0	0	1	0	1	0	1	0	0	pagsakit
afflicted	0	0	0	0	0	1	0	0	0	0	gisakit
affliction	0	0	1	1	0	1	0	1	0	0	kasakitan
affluence	0	0	0	0	1	0	1	0	0	0	kadato
affluent	0	0	0	0	0	0	1	0	0	0	adunahan
afford	0	0	0	0	0	0	1	0	0	0	makapalit
affront	1	0	1	1	0	1	0	1	1	0	pagbiaybiay
afield	0	0	0	0	0	0	0	0	0	0	sa gawas
afore	0	0	0	0	0	0	0	0	0	0	kaniadto
aforementioned	0	0	0	0	0	0	0	0	0	0	nahisgotan na
aforesaid	0	0	0	0	0	0	0	0	0	0	nahisgotan na
afraid	0	0	0	1	0	1	0	0	0	0	kahadlok
afresh	0	0	0	0	0	0	0	0	0	0	pag-usab
aft	0	0	0	0	0	0	0	0	0	0	luyo
aftermath	1	0	1	1	0	1	0	1	0	0	pagkahuman
afternoon	0	0	0	0	0	0	0	0	0	0	hapon
aftertaste	0	0	0	0	0	1	0	0	0	0	aftertaste
afterthought	0	0	0	0	0	0	0	0	0	0	nahunahunaan
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agata
age	0	0	0	0	0	0	0	0	0	0	edad
aged	0	0	0	0	0	0	0	0	0	0	tigulang
agency	0	0	0	0	0	0	0	0	0	0	ahensya
agent	0	0	0	0	0	0	0	0	0	0	ahente
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomerasyon
aggravated	1	0	0	0	0	1	0	0	0	0	nagkagrabe
aggravating	1	0	0	0	0	1	0	1	0	0	makapasamot
aggravation	1	0	1	0	0	1	0	0	0	0	pagsamot
aggregate	0	0	0	0	0	0	0	0	0	0	aggregate
aggregation	0	0	0	0	0	0	0	0	0	0	panagtapok
aggression	1	0	0	1	0	1	0	0	0	0	agresyon
aggressive	1	0	0	1	0	1	0	0	0	0	agresibo
aggressor	1	0	0	1	0	1	0	0	0	0	aggressor
aghast	0	0	1	1	0	1	0	0	1	0	kapungot
agile	0	0	0	0	0	0	1	0	0	0	abtik
agility	0	0	0	0	0	0	1	0	0	0	kaliksi
agitated	1	0	0	0	0	1	0	0	0	0	nabalisa
agitation	1	0	0	0	0	1	0	0	0	0	kasamok
agnostic	0	0	0	0	0	0	0	0	0	0	agnostiko
ago	0	0	0	0	0	0	0	0	0	0	kaniadto
agonizing	0	0	0	1	0	1	0	0	0	0	nagsakit
agony	1	0	0	1	0	1	0	1	0	0	kasakit
agree	0	0	0	0	0	0	1	0	0	0	mouyon
agreeable	0	0	0	0	0	0	1	0	0	1	mauyonan
agreed	0	0	0	0	0	0	1	0	0	1	miuyon
agreeing	0	0	0	0	0	0	1	0	0	1	nagkauyon
agreement	0	0	0	0	0	0	1	0	0	1	kasabutan
agricultural	0	0	0	0	0	0	0	0	0	0	agrikultural
agriculture	0	0	0	0	0	0	1	0	0	0	agrikultura
aground	0	0	0	0	0	1	0	0	0	0	nasandig
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	sa unahan
aid	0	0	0	0	0	0	1	0	0	0	tabang
aiding	0	0	0	0	0	0	1	0	0	0	pagtabang
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	nagsakit
ailment	0	0	0	0	0	0	0	0	0	0	sakit
aim	0	0	0	0	0	0	0	0	0	0	tumong
aimless	0	0	0	0	0	1	0	0	0	0	walay tumong
air	0	0	0	0	0	0	0	0	0	0	hangin
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	airlift
airline	0	0	0	0	0	0	0	0	0	0	eroplano
airman	0	0	0	0	0	0	0	0	0	0	airman
airplane	0	0	0	0	0	0	0	0	0	0	eroplano
airport	0	1	0	0	0	0	0	0	0	0	airport
airs	0	0	1	0	0	1	0	0	0	0	hangin
airship	0	0	0	0	0	0	0	0	0	0	airship
aisle	0	0	0	0	0	0	0	0	0	0	pasilyo
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	abtik
akin	0	0	0	0	0	0	0	0	0	1	susama
alabaster	0	0	0	0	0	0	1	0	0	0	alabastro
alarm	0	0	0	1	0	1	0	0	1	0	alarma
alarming	0	0	0	1	0	1	0	0	1	0	makapaalarma
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchemy
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholismo
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	alerto
alertness	0	1	0	1	0	0	1	0	1	0	pagkaalerto
alerts	0	1	0	1	0	0	0	0	1	0	mga alerto
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraic
algorithm	0	0	0	0	0	0	0	0	0	0	algorithm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	langyaw
alienate	1	0	1	0	0	1	0	0	0	0	magpahilayo
alienated	0	0	0	0	0	1	0	1	0	0	nahimulag
alienation	1	0	1	1	0	1	0	1	0	0	pagbulag
alight	0	0	0	0	0	0	0	0	0	0	pagkanaog
aligned	0	0	0	0	0	0	0	0	0	0	nahiangay
alignment	0	0	0	0	0	0	0	0	0	0	paglinya
alike	0	0	0	0	0	0	0	0	0	0	pareha
alimentation	0	0	0	0	0	0	1	0	0	0	pagkaon
alimony	0	0	0	0	0	1	0	0	0	0	alimony
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	buhi
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	paghupay
allegation	1	0	0	0	0	1	0	0	0	0	alegasyon
allege	0	0	0	0	0	1	0	0	0	0	alegasyon
alleged	0	0	0	0	0	0	0	0	0	0	giingong
allegiance	0	0	0	0	0	0	1	0	0	1	pagkamaunongon
allegorical	0	0	0	0	0	0	0	0	0	0	alegoriko
allegory	0	0	0	0	0	0	0	0	0	0	pasumbingay
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	paghupay
alleviation	0	0	0	0	0	0	1	0	0	0	pagpagaan
alley	0	0	0	0	0	0	0	0	0	0	eskinita
alliance	0	0	0	0	0	0	0	0	0	1	alyansa
allied	0	0	0	0	0	0	1	0	0	1	kaalyado
alligator	0	0	0	0	0	0	0	0	0	0	buaya
allocate	0	0	0	0	0	0	0	0	0	0	paggahin
allocation	0	0	0	0	0	0	0	0	0	0	alokasyon
allot	0	0	0	0	0	0	0	0	0	0	gahin
allotment	0	0	0	0	0	0	0	0	0	0	pahat
allowable	0	0	0	0	0	0	1	0	0	0	gitugotan
allowance	0	0	0	0	0	0	0	0	0	0	allowance
allowed	0	0	0	0	0	0	0	0	0	0	gitugotan
alloy	0	0	0	0	0	0	0	0	0	0	sinubong
allure	0	1	0	0	1	0	1	0	1	0	pagdani
alluring	0	0	0	0	0	0	1	0	0	0	makapadani
allusion	0	0	0	0	0	0	0	0	0	0	pasumbingay
alluvial	0	0	0	0	0	0	0	0	0	0	aluvial
ally	0	0	0	0	0	0	1	0	0	1	kaalyado
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	makagagahum sa tanan
aloft	0	0	0	0	0	0	0	0	0	0	sa ibabaw
aloha	0	1	0	0	1	0	1	0	0	0	gugma
alongside	0	0	0	0	0	0	0	0	0	0	kauban
aloof	0	0	0	0	0	1	0	0	0	0	layo
aloud	0	0	0	0	0	0	0	0	0	0	kusog
alphabet	0	0	0	0	0	0	0	0	0	0	alpabeto
alphabetical	0	0	0	0	0	0	0	0	0	0	alpabetiko
altar	0	0	0	0	0	0	0	0	0	0	altar
alter	0	0	0	0	0	0	0	0	0	0	usbon
alteration	0	0	0	0	0	0	0	0	0	0	pagbag-o
altercation	1	0	0	0	0	1	0	0	0	0	panaglalis
altered	0	0	0	0	0	0	0	0	0	0	giusab
alternate	0	0	0	0	0	0	0	0	0	0	puli-puli
alternative	0	0	0	0	0	0	0	0	0	0	alternatibo
altitude	0	0	0	0	0	0	0	0	0	0	kahitas-an
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	tanan
alumnus	0	0	0	0	0	0	0	0	0	0	alumni
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	paghiusa
amass	0	0	0	0	0	0	0	0	0	0	magtapok
amateur	0	0	0	0	0	0	0	0	0	0	amateur
amaze	0	0	0	0	0	0	0	0	1	0	katingala
amazement	0	0	0	0	0	0	0	0	0	0	katingala
amazingly	0	0	0	0	1	0	1	0	1	0	katingalahan
ambassador	0	0	0	0	0	0	1	0	0	1	embahador
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	kalabuan
ambiguous	0	0	0	0	0	1	0	0	0	0	dili klaro
ambit	0	0	0	0	0	0	0	0	0	0	ambot
ambition	0	1	0	0	1	0	1	0	0	1	ambisyon
ambitious	0	0	0	0	0	0	0	0	0	0	ambisyoso
ambulance	0	0	0	1	0	0	0	0	0	1	ambulansya
ambush	1	0	0	1	0	1	0	0	1	0	ambush
ameliorate	0	0	0	0	0	0	1	0	0	0	pag-ayo
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	uyon
amend	0	0	0	0	0	0	1	0	0	0	usbon
amendment	0	0	0	0	0	0	0	0	0	0	amendment
amends	0	0	0	0	0	0	1	0	0	0	nag-amendar
amenity	0	0	0	0	0	0	1	0	0	0	amenity
amethyst	0	0	0	0	0	0	0	0	0	0	amethyst
amiable	0	0	0	0	0	0	1	0	0	0	buotan
amicable	0	0	0	0	1	0	1	0	0	0	mahigalaon
amid	0	0	0	0	0	0	0	0	0	0	taliwala
amidst	0	0	0	0	0	0	0	0	0	0	taliwala
ammonia	0	0	1	0	0	0	0	0	0	0	ammonia
ammunition	0	0	0	0	0	0	0	0	0	0	bala
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	amnestiya
amorphous	0	0	0	0	0	0	0	0	0	0	amorphous
amortization	0	0	0	0	0	0	0	0	0	1	amortisasyon
amount	0	0	0	0	0	0	0	0	0	0	kantidad
amour	0	1	0	0	1	0	1	0	0	1	gugma
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	mga amphetamine
amphibian	0	0	0	0	0	0	0	0	0	0	amphibian
amphibious	0	0	0	0	0	0	0	0	0	0	amphibious
amphitheater	0	0	0	0	0	0	0	0	0	0	ampiteatro
amplification	0	0	0	0	0	0	0	0	0	0	pagpadako
amplify	0	0	0	0	0	0	0	0	0	0	pagpadako
