English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Malayalam Word
accusative	0	0	0	0	0	1	0	0	0	0	കുറ്റപ്പെടുത്തുന്ന
accused	1	0	0	1	0	1	0	0	0	0	കുറ്റപ്പെടുത്തി
accuser	1	0	0	1	0	1	0	0	0	0	കുറ്റാരോപിതൻ
accusing	1	0	0	1	0	1	0	0	0	0	കുറ്റപ്പെടുത്തുന്നു
accustomed	0	0	0	0	0	0	0	0	0	0	ശീലിച്ചു
ace	0	0	0	0	0	0	1	0	0	0	ഏസ്
acetic	0	0	0	0	0	0	0	0	0	0	അസറ്റിക്
ache	0	0	0	0	0	1	0	1	0	0	വേദന
achieve	0	0	0	0	1	0	1	0	0	1	നേടിയെടുക്കാൻ
achievement	0	1	0	0	1	0	1	0	0	1	നേട്ടം
aching	0	0	0	0	0	1	0	1	0	0	വേദനിക്കുന്നു
acid	0	0	0	0	0	1	0	0	0	0	ആസിഡ്
acidity	0	0	0	0	0	0	0	0	0	0	അസിഡിറ്റി
acknowledge	0	0	0	0	0	0	0	0	0	0	അംഗീകരിക്കുക
acknowledged	0	0	0	0	0	0	0	0	0	0	അംഗീകരിച്ചു
acknowledgment	0	0	0	0	0	0	1	0	0	0	അംഗീകാരം
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	അക്കോസ്റ്റിക്
acoustics	0	0	0	0	0	0	0	0	0	0	ശബ്ദശാസ്ത്രം
acquaint	0	0	0	0	0	0	0	0	0	0	പരിചയപ്പെടുക
acquaintance	0	0	0	0	0	0	0	0	0	0	പരിചയം
acquainted	0	0	0	0	0	0	0	0	0	0	പരിചയപ്പെട്ടു
acquiescence	0	0	0	0	0	0	0	0	0	0	സമ്മതം
acquire	0	0	0	0	0	0	1	0	0	0	ഏറ്റെടുക്കുക
acquiring	0	1	0	0	0	0	1	0	0	0	ഏറ്റെടുക്കുന്നു
acquisition	0	0	0	0	0	0	0	0	0	0	കൈവശപ്പെടുത്തൽ
acquisitions	0	0	0	0	0	0	0	0	0	0	ഏറ്റെടുക്കലുകൾ
acreage	0	0	0	0	0	0	0	0	0	0	ഏക്കർ
acres	0	0	0	0	0	0	0	0	0	0	ഏക്കറുകൾ
acrobat	0	0	0	1	1	0	1	0	0	1	അക്രോബാറ്റ്
act	0	0	0	0	0	0	0	0	0	0	പ്രവർത്തിക്കുക
acting	0	0	0	0	0	0	0	0	0	0	അഭിനയം
action	0	0	0	0	0	0	1	0	0	0	നടപടി
actionable	1	0	1	0	0	1	0	0	0	0	പ്രവർത്തനക്ഷമമായ
active	0	0	0	0	0	0	0	0	0	0	സജീവമാണ്
activity	0	0	0	0	0	0	0	0	0	0	പ്രവർത്തനം
actor	0	0	0	0	0	0	0	0	0	0	നടൻ
actual	0	0	0	0	0	0	1	0	0	0	യഥാർത്ഥമായ
actuality	0	0	0	0	0	0	0	0	0	0	യാഥാർത്ഥ്യം
actuary	0	0	0	0	0	0	0	0	0	0	ആക്ച്വറി
acuity	0	0	0	0	0	0	1	0	0	0	തീവ്രത
acumen	0	0	0	0	0	0	1	0	0	0	കുശാഗ്രബുദ്ധി
acupuncture	0	0	0	0	0	0	0	0	0	0	അക്യുപങ്ചർ
acutely	0	0	0	0	0	0	0	0	0	0	നിശിതമായി
adage	0	0	0	0	0	0	0	0	0	0	പഴഞ്ചൊല്ല്
adamant	0	0	0	0	0	0	0	0	0	0	അചഞ്ചലമായ
adapt	0	0	0	0	0	0	1	0	0	0	പൊരുത്തപ്പെടുത്തുക
adaptable	0	0	0	0	0	0	1	0	0	0	പൊരുത്തപ്പെടാൻ കഴിയുന്ന
add	0	0	0	0	0	0	0	0	0	0	ചേർക്കുക
added	0	0	0	0	0	0	0	0	0	0	കൂട്ടിച്ചേർത്തു
addendum	0	0	0	0	0	0	0	0	0	0	അനുബന്ധം
adder	1	0	1	1	0	1	0	1	0	0	ചേർക്കുന്നയാൾ
addiction	0	0	0	0	0	1	0	0	0	0	ആസക്തി
addition	0	0	0	0	0	0	0	0	0	0	കൂട്ടിച്ചേർക്കൽ
additional	0	0	0	0	0	0	0	0	0	0	അധിക
additive	0	0	0	0	0	0	0	0	0	0	സങ്കലനം
address	0	0	0	0	0	0	0	0	0	0	വിലാസം
addressee	0	0	0	0	0	0	0	0	0	0	വിലാസക്കാരൻ
addresses	0	1	0	0	0	0	1	0	0	0	വിലാസങ്ങൾ
adept	0	0	0	0	0	0	1	0	0	0	പ്രഗത്ഭൻ
adequacy	0	0	0	0	0	0	1	0	0	0	പര്യാപ്തത
adequate	0	0	0	0	0	0	0	0	0	0	മതിയായ
adhere	0	0	0	0	0	0	0	0	0	0	മുറുകെ പിടിക്കുക
adherence	0	0	0	0	0	0	0	0	0	0	പാലിക്കൽ
adherent	0	0	0	0	0	0	0	0	0	0	അനുയായി
adhering	0	0	0	0	0	0	0	0	0	1	ഒട്ടിപ്പിടിക്കുന്നു
adhesion	0	0	0	0	0	0	0	0	0	0	അഡീഷൻ
adhesive	0	0	0	0	0	0	0	0	0	0	ഒട്ടിപ്പിടിക്കുന്ന
adieu	0	0	0	0	0	0	0	0	0	0	വിട
adipose	0	0	0	0	0	1	0	0	0	0	കൊഴുപ്പ്
adjacency	0	0	0	0	0	0	0	0	0	0	തൊട്ടടുത്ത്
adjacent	0	0	0	0	0	0	0	0	0	0	തൊട്ടടുത്തുള്ള
adjective	0	0	0	0	0	0	0	0	0	0	വിശേഷണം
adjoining	0	0	0	0	0	0	0	0	0	0	തൊട്ടടുത്തുള്ള
adjourn	0	0	0	0	0	0	0	0	0	0	മാറ്റിവെക്കുക
adjournment	0	0	0	0	0	0	0	0	0	0	മാറ്റിവയ്ക്കൽ
adjudicate	0	0	0	1	0	1	0	0	0	0	വിധിക്കുക
adjudication	0	0	0	0	0	0	0	0	0	0	ന്യായവിധി
adjunct	0	0	0	0	0	0	1	0	0	0	അനുബന്ധം
adjust	0	0	0	0	0	0	0	0	0	0	ക്രമീകരിക്കുക
adjustment	0	0	0	0	0	0	0	0	0	0	ക്രമീകരിക്കൽ
adjuvant	0	0	0	0	0	0	0	0	0	0	സഹായകമായ
administer	0	0	0	0	0	0	0	0	0	0	ഭരണം നടത്തുക
administration	0	0	0	0	0	0	0	0	0	0	ഭരണകൂടം
administrative	0	0	0	0	0	0	0	0	0	1	ഭരണപരമായ
admirable	0	0	0	0	1	0	1	0	0	1	പ്രശംസനീയം
admiral	0	0	0	0	0	0	1	0	0	1	അഡ്മിറൽ
admiralty	0	0	0	0	0	0	0	0	0	0	അഡ്മിറൽറ്റി
admiration	0	0	0	0	1	0	1	0	0	1	പ്രശംസ
admire	0	0	0	0	0	0	1	0	0	1	അഭിനന്ദിക്കുന്നു
admirer	0	0	0	0	0	0	1	0	0	0	ആരാധകൻ
admissibility	0	0	0	0	0	0	0	0	0	0	സ്വീകാര്യത
admissible	0	0	0	0	0	0	1	0	0	1	സ്വീകാര്യമായ
admission	0	0	0	0	0	0	0	0	0	0	പ്രവേശനം
admit	0	0	0	0	0	0	0	0	0	0	സമ്മതിക്കുക
admittance	0	0	0	0	0	0	0	0	0	0	പ്രവേശനം
admitted	0	0	0	0	0	0	0	0	0	0	പ്രവേശിപ്പിച്ചു
admitting	0	0	0	0	0	0	0	0	0	0	സമ്മതിക്കുന്നു
admixture	0	0	0	0	0	0	0	0	0	0	മിശ്രിതം
admonition	0	0	0	1	0	1	0	0	0	0	ഉപദേശം
ado	0	0	0	0	0	0	0	0	0	0	അഡോ
adobe	0	0	0	0	0	0	0	0	0	0	അഡോബ്
adolescence	0	0	0	0	0	0	0	0	0	0	കൗമാരം
adolescent	0	0	0	0	0	0	0	0	0	0	കൗമാരക്കാരൻ
adopt	0	0	0	0	0	0	0	0	0	0	സ്വീകരിക്കുക
adoption	0	0	0	0	0	0	0	0	0	0	ദത്തെടുക്കൽ
adorable	0	0	0	0	1	0	1	0	0	0	ആരാധ്യ
adoration	0	0	0	0	1	0	1	0	0	1	ആരാധന
adore	0	1	0	0	1	0	1	0	0	1	ആരാധിക്കുക
adorn	0	0	0	0	0	0	0	0	0	0	അലങ്കരിക്കുന്നു
adornment	0	0	0	0	0	0	0	0	0	0	അലങ്കാരം
adrift	0	1	0	1	0	1	0	1	0	0	ഒഴുകിപ്പോകുന്നു
adult	0	0	0	0	0	0	0	0	0	0	മുതിർന്നവർ
adulterated	0	0	0	0	0	1	0	0	0	0	മായം കലർന്നത്
adultery	0	0	1	0	0	1	0	1	0	0	വ്യഭിചാരം
advance	0	1	0	1	1	0	1	0	1	0	മുന്നേറുക
advanced	0	0	0	0	0	0	1	0	0	0	മുന്നേറി
advancement	0	0	0	0	0	0	1	0	0	0	പുരോഗതി
advancing	0	0	0	0	0	0	0	0	0	0	മുന്നേറുന്നു
advantage	0	0	0	0	0	0	1	0	0	0	നേട്ടം
advantageous	0	0	0	0	0	0	1	0	0	0	പ്രയോജനപ്രദമായ
advent	0	1	0	0	1	0	1	0	0	1	വരവ്
adventure	0	1	0	0	0	0	1	0	0	0	സാഹസികത
adventurer	0	0	0	0	0	0	0	0	0	0	സാഹസികൻ
adventurous	0	0	0	0	0	0	1	0	0	0	സാഹസിക
adversary	1	0	0	0	0	1	0	0	0	0	എതിരാളി
adverse	1	0	1	1	0	1	0	1	0	0	പ്രതികൂലമായ
adversity	1	0	0	1	0	1	0	1	0	0	പ്രതികൂലാവസ്ഥ
advertise	0	0	0	0	0	0	0	0	0	0	പരസ്യം ചെയ്യുക
advertisement	0	0	0	0	0	0	0	0	0	0	പരസ്യം
advice	0	0	0	0	0	0	0	0	0	1	ഉപദേശം
advisable	0	0	0	0	0	0	1	0	0	1	ഉചിതം
advise	0	0	0	0	0	0	1	0	0	1	ഉപദേശിക്കുക
advised	0	0	0	0	0	0	0	0	0	1	ഉപദേശിച്ചു
advisement	0	0	0	0	0	0	0	0	0	0	ഉപദേശം
adviser	0	0	0	0	0	0	1	0	0	1	ഉപദേശകൻ
advocacy	1	1	0	0	1	0	1	0	0	1	വാദിക്കൽ
advocate	0	0	0	0	0	0	0	0	0	1	അഭിഭാഷകൻ
aegis	0	0	0	0	0	0	0	0	0	0	ഏജിസ്
aeration	0	0	0	0	0	0	0	0	0	0	വായുസഞ്ചാരം
aerial	0	0	0	0	0	0	0	0	0	0	ഏരിയൽ
aerodrome	0	0	0	0	0	0	0	0	0	0	എയറോഡ്രോം
aerodynamics	0	0	0	0	0	0	0	0	0	0	എയറോഡൈനാമിക്സ്
aeronautics	0	0	0	0	0	0	0	0	0	0	എയറോനോട്ടിക്സ്
aeroplane	0	0	0	0	0	0	0	0	0	0	വിമാനം
aesthetic	0	0	0	0	0	0	1	0	0	0	സൗന്ദര്യാത്മകം
aesthetics	0	0	0	0	1	0	1	0	0	0	സൗന്ദര്യശാസ്ത്രം
aetiology	0	0	0	0	0	0	0	0	0	0	എറ്റിയോളജി
afar	0	0	0	0	0	0	0	0	0	0	ദൂരെ
affable	0	0	0	0	0	0	1	0	0	0	മാന്യമായ
affair	0	0	0	0	0	0	0	0	0	0	ബന്ധം
affecting	0	0	0	0	0	0	0	0	0	0	ബാധിക്കുന്നു
affection	0	0	0	0	1	0	1	0	0	1	വാത്സല്യം
affections	0	0	0	0	0	0	0	0	0	0	സ്നേഹബന്ധങ്ങൾ
affiche	0	0	0	0	0	0	0	0	0	0	അഫിഷ്
affidavit	0	0	0	0	0	0	0	0	0	0	സത്യവാങ്മൂലം
affiliated	0	0	0	0	0	0	1	0	0	0	അഫിലിയേറ്റഡ്
affiliation	0	0	0	0	0	0	0	0	0	0	ബന്ധം
affinity	0	0	0	0	0	0	0	0	0	0	അടുപ്പം
affirm	0	0	0	0	0	0	1	0	0	1	ഉറപ്പുപറയുക
affirmation	0	0	0	0	0	0	1	0	0	0	സ്ഥിരീകരണം
affirmative	0	0	0	0	0	0	1	0	0	0	സ്ഥിരീകരിക്കുന്ന
affirmatively	0	0	0	0	0	0	1	0	0	1	ദൃഢമായി
affix	0	0	0	0	0	0	0	0	0	0	ഘടിപ്പിക്കുക
afflict	0	0	0	1	0	1	0	1	0	0	പീഡിപ്പിക്കുക
afflicted	0	0	0	0	0	1	0	0	0	0	പീഡിതൻ
affliction	0	0	1	1	0	1	0	1	0	0	കഷ്ടത
affluence	0	0	0	0	1	0	1	0	0	0	ഐശ്വര്യം
affluent	0	0	0	0	0	0	1	0	0	0	സമ്പന്നമായ
afford	0	0	0	0	0	0	1	0	0	0	താങ്ങാൻ
affront	1	0	1	1	0	1	0	1	1	0	അപമാനിക്കുക
afield	0	0	0	0	0	0	0	0	0	0	വയലിൽ
afore	0	0	0	0	0	0	0	0	0	0	മുമ്പ്
aforementioned	0	0	0	0	0	0	0	0	0	0	മേൽപ്പറഞ്ഞ
aforesaid	0	0	0	0	0	0	0	0	0	0	മുൻപറഞ്ഞ
afraid	0	0	0	1	0	1	0	0	0	0	ഭയപ്പെട്ടു
afresh	0	0	0	0	0	0	0	0	0	0	പുതുതായി
aft	0	0	0	0	0	0	0	0	0	0	പിന്നിൽ
aftermath	1	0	1	1	0	1	0	1	0	0	അനന്തരഫലം
afternoon	0	0	0	0	0	0	0	0	0	0	ഉച്ചകഴിഞ്ഞ്
aftertaste	0	0	0	0	0	1	0	0	0	0	ശേഷം രുചി
afterthought	0	0	0	0	0	0	0	0	0	0	അനന്തര ചിന്ത
aga	0	0	0	1	0	0	1	0	0	1	ആഗ
agate	0	0	0	0	0	0	0	0	0	0	അഗേറ്റ്
age	0	0	0	0	0	0	0	0	0	0	വയസ്സ്
aged	0	0	0	0	0	0	0	0	0	0	വയസ്സായ
agency	0	0	0	0	0	0	0	0	0	0	ഏജൻസി
agent	0	0	0	0	0	0	0	0	0	0	ഏജന്റ്
agglomeration	0	0	0	0	0	0	0	0	0	0	സമാഹരണം
aggravated	1	0	0	0	0	1	0	0	0	0	വഷളാക്കി
aggravating	1	0	0	0	0	1	0	1	0	0	വഷളാക്കുന്നു
aggravation	1	0	1	0	0	1	0	0	0	0	തീവ്രത
aggregate	0	0	0	0	0	0	0	0	0	0	ആകെത്തുകയായുള്ള
aggregation	0	0	0	0	0	0	0	0	0	0	സമാഹരണം
aggression	1	0	0	1	0	1	0	0	0	0	ആക്രമണം
aggressive	1	0	0	1	0	1	0	0	0	0	ആക്രമണാത്മക
aggressor	1	0	0	1	0	1	0	0	0	0	അക്രമി
aghast	0	0	1	1	0	1	0	0	1	0	പരിഭ്രമം
agile	0	0	0	0	0	0	1	0	0	0	ചടുലമായ
agility	0	0	0	0	0	0	1	0	0	0	ചടുലത
agitated	1	0	0	0	0	1	0	0	0	0	ഇളകി
agitation	1	0	0	0	0	1	0	0	0	0	പ്രക്ഷോഭം
agnostic	0	0	0	0	0	0	0	0	0	0	അജ്ഞേയവാദി
ago	0	0	0	0	0	0	0	0	0	0	മുമ്പ്
agonizing	0	0	0	1	0	1	0	0	0	0	വേദനിപ്പിക്കുന്ന
agony	1	0	0	1	0	1	0	1	0	0	യാതന
agree	0	0	0	0	0	0	1	0	0	0	സമ്മതിക്കുന്നു
agreeable	0	0	0	0	0	0	1	0	0	1	സമ്മതം
agreed	0	0	0	0	0	0	1	0	0	1	സമ്മതിച്ചു
agreeing	0	0	0	0	0	0	1	0	0	1	സമ്മതിക്കുന്നു
agreement	0	0	0	0	0	0	1	0	0	1	കരാർ
agricultural	0	0	0	0	0	0	0	0	0	0	കാർഷിക
agriculture	0	0	0	0	0	0	1	0	0	0	കൃഷി
aground	0	0	0	0	0	1	0	0	0	0	കരയിൽ
agua	0	0	0	0	0	0	0	0	0	0	അഗ്വ
ahead	0	0	0	0	0	0	1	0	0	0	മുന്നോട്ട്
aid	0	0	0	0	0	0	1	0	0	0	സഹായം
aiding	0	0	0	0	0	0	1	0	0	0	സഹായിക്കുന്നു
ail	0	0	0	0	0	1	0	1	0	0	അസുഖം
ailing	0	0	0	1	0	1	0	1	0	0	രോഗിയായ
ailment	0	0	0	0	0	0	0	0	0	0	അസുഖം
aim	0	0	0	0	0	0	0	0	0	0	ലക്ഷ്യം
aimless	0	0	0	0	0	1	0	0	0	0	ലക്ഷ്യമില്ലാത്ത
air	0	0	0	0	0	0	0	0	0	0	വായു
airbag	0	0	0	0	0	0	0	0	0	0	എയർ ബാഗ്
airlift	0	0	0	0	0	0	0	0	0	0	എയർലിഫ്റ്റ്
airline	0	0	0	0	0	0	0	0	0	0	എയർലൈൻ
airman	0	0	0	0	0	0	0	0	0	0	എയർമാൻ
airplane	0	0	0	0	0	0	0	0	0	0	വിമാനം
airport	0	1	0	0	0	0	0	0	0	0	വിമാനത്താവളം
airs	0	0	1	0	0	1	0	0	0	0	സംപ്രേഷണം ചെയ്യുന്നു
airship	0	0	0	0	0	0	0	0	0	0	ആകാശക്കപ്പൽ
aisle	0	0	0	0	0	0	0	0	0	0	ഇടനാഴി
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	അജർ
akin	0	0	0	0	0	0	0	0	0	1	സമാനമായ
alabaster	0	0	0	0	0	0	1	0	0	0	അലബസ്റ്റർ
alarm	0	0	0	1	0	1	0	0	1	0	അലാറം
alarming	0	0	0	1	0	1	0	0	1	0	ഭയപ്പെടുത്തുന്ന
alb	0	0	0	0	0	0	0	0	0	1	ആൽബം
album	0	0	0	0	0	0	0	0	0	0	ആൽബം
alchemy	0	0	0	0	0	0	0	0	0	0	രസതന്ത്രം
alcohol	0	0	0	0	0	0	0	0	0	0	മദ്യം
alcoholism	1	0	1	1	0	1	0	1	0	0	മദ്യപാനം
alcove	0	0	0	0	0	0	0	0	0	0	ആൽക്കോട്ട്
alert	0	0	0	0	0	0	0	0	0	0	ജാഗ്രത
alertness	0	1	0	1	0	0	1	0	1	0	ജാഗ്രത
alerts	0	1	0	1	0	0	0	0	1	0	അലേർട്ടുകൾ
alfalfa	0	0	0	0	0	0	0	0	0	0	പയറുവർഗ്ഗങ്ങൾ
algebra	0	0	0	0	0	0	0	0	0	0	ബീജഗണിതം
algebraic	0	0	0	0	0	0	0	0	0	0	ബീജഗണിതം
algorithm	0	0	0	0	0	0	0	0	0	0	അൽഗോരിതം
alibi	0	0	0	0	0	0	0	0	0	0	അലിബി
alien	0	0	1	1	0	1	0	0	0	0	അന്യൻ
alienate	1	0	1	0	0	1	0	0	0	0	അന്യമാക്കുക
alienated	0	0	0	0	0	1	0	1	0	0	അന്യവൽക്കരിക്കപ്പെട്ടു
alienation	1	0	1	1	0	1	0	1	0	0	അന്യവൽക്കരണം
alight	0	0	0	0	0	0	0	0	0	0	ഇറങ്ങുക
aligned	0	0	0	0	0	0	0	0	0	0	വിന്യസിച്ചു
alignment	0	0	0	0	0	0	0	0	0	0	വിന്യാസം
alike	0	0	0	0	0	0	0	0	0	0	ഒരുപോലെ
alimentation	0	0	0	0	0	0	1	0	0	0	ഭക്ഷണക്രമം
alimony	0	0	0	0	0	1	0	0	0	0	ജീവനാംശം
aliquot	0	0	0	0	0	0	0	0	0	0	അലിക്വോട്ട്
alive	0	1	0	0	1	0	1	0	0	1	ജീവനോടെ
alkali	0	0	0	0	0	0	0	0	0	0	ക്ഷാരം
alkaloids	0	0	0	0	0	0	0	0	0	0	ആൽക്കലോയിഡുകൾ
