English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Belarusian Word
admirer	0	0	0	0	0	0	1	0	0	0	прыхільнік
admissibility	0	0	0	0	0	0	0	0	0	0	дапушчальнасць
admissible	0	0	0	0	0	0	1	0	0	1	дапушчальны
admission	0	0	0	0	0	0	0	0	0	0	допуск
admit	0	0	0	0	0	0	0	0	0	0	прызнаць
admittance	0	0	0	0	0	0	0	0	0	0	допуск
admitted	0	0	0	0	0	0	0	0	0	0	прызнаўся
admitting	0	0	0	0	0	0	0	0	0	0	дапускаючы
admixture	0	0	0	0	0	0	0	0	0	0	прымешка
admonition	0	0	0	1	0	1	0	0	0	0	папярэджанне
ado	0	0	0	0	0	0	0	0	0	0	шумна
adobe	0	0	0	0	0	0	0	0	0	0	глінабітны
adolescence	0	0	0	0	0	0	0	0	0	0	падлеткавы ўзрост
adolescent	0	0	0	0	0	0	0	0	0	0	падлеткавы
adopt	0	0	0	0	0	0	0	0	0	0	прыняць
adoption	0	0	0	0	0	0	0	0	0	0	усынаўленне
adorable	0	0	0	0	1	0	1	0	0	0	чароўная
adoration	0	0	0	0	1	0	1	0	0	1	пакланенне
adore	0	1	0	0	1	0	1	0	0	1	абажаць
adorn	0	0	0	0	0	0	0	0	0	0	упрыгожваць
adornment	0	0	0	0	0	0	0	0	0	0	ўпрыгожванне
adrift	0	1	0	1	0	1	0	1	0	0	па плыні
adult	0	0	0	0	0	0	0	0	0	0	дарослы
adulterated	0	0	0	0	0	1	0	0	0	0	фальсіфікаваны
adultery	0	0	1	0	0	1	0	1	0	0	пералюб
advance	0	1	0	1	1	0	1	0	1	0	загадзя
advanced	0	0	0	0	0	0	1	0	0	0	прасунуты
advancement	0	0	0	0	0	0	1	0	0	0	прасоўванне
advancing	0	0	0	0	0	0	0	0	0	0	прасоўванне наперад
advantage	0	0	0	0	0	0	1	0	0	0	перавага
advantageous	0	0	0	0	0	0	1	0	0	0	выгадна
advent	0	1	0	0	1	0	1	0	0	1	адвэнт
adventure	0	1	0	0	0	0	1	0	0	0	прыгодніцкі
adventurer	0	0	0	0	0	0	0	0	0	0	авантурыст
adventurous	0	0	0	0	0	0	1	0	0	0	авантурны
adversary	1	0	0	0	0	1	0	0	0	0	праціўнік
adverse	1	0	1	1	0	1	0	1	0	0	неспрыяльны
adversity	1	0	0	1	0	1	0	1	0	0	нягоды
advertise	0	0	0	0	0	0	0	0	0	0	рэкламаваць
advertisement	0	0	0	0	0	0	0	0	0	0	рэклама
advice	0	0	0	0	0	0	0	0	0	1	парады
advisable	0	0	0	0	0	0	1	0	0	1	мэтазгодна
advise	0	0	0	0	0	0	1	0	0	1	параіць
advised	0	0	0	0	0	0	0	0	0	1	параілі
advisement	0	0	0	0	0	0	0	0	0	0	парады
adviser	0	0	0	0	0	0	1	0	0	1	дарадца
advocacy	1	1	0	0	1	0	1	0	0	1	прапаганда
advocate	0	0	0	0	0	0	0	0	0	1	адвакат
aegis	0	0	0	0	0	0	0	0	0	0	эгіда
aeration	0	0	0	0	0	0	0	0	0	0	аэрацыя
aerial	0	0	0	0	0	0	0	0	0	0	паветраны
aerodrome	0	0	0	0	0	0	0	0	0	0	аэрадром
aerodynamics	0	0	0	0	0	0	0	0	0	0	аэрадынаміка
aeronautics	0	0	0	0	0	0	0	0	0	0	паветраплаванне
aeroplane	0	0	0	0	0	0	0	0	0	0	самалёт
aesthetic	0	0	0	0	0	0	1	0	0	0	эстэтычны
aesthetics	0	0	0	0	1	0	1	0	0	0	эстэтыка
aetiology	0	0	0	0	0	0	0	0	0	0	этыялогія
afar	0	0	0	0	0	0	0	0	0	0	здалёк
affable	0	0	0	0	0	0	1	0	0	0	прыветлівы
affair	0	0	0	0	0	0	0	0	0	0	справа
affecting	0	0	0	0	0	0	0	0	0	0	якія ўплываюць
affection	0	0	0	0	1	0	1	0	0	1	прыхільнасць
affections	0	0	0	0	0	0	0	0	0	0	прыхільнасці
affiche	0	0	0	0	0	0	0	0	0	0	афіча
affidavit	0	0	0	0	0	0	0	0	0	0	афідэвіт
affiliated	0	0	0	0	0	0	1	0	0	0	афіляваныя
affiliation	0	0	0	0	0	0	0	0	0	0	прыналежнасць
affinity	0	0	0	0	0	0	0	0	0	0	сваяцтва
affirm	0	0	0	0	0	0	1	0	0	1	пацвердзіць
affirmation	0	0	0	0	0	0	1	0	0	0	зацвярджэнне
affirmative	0	0	0	0	0	0	1	0	0	0	сцвярджальны
affirmatively	0	0	0	0	0	0	1	0	0	1	сцвярджальна
affix	0	0	0	0	0	0	0	0	0	0	афікс
afflict	0	0	0	1	0	1	0	1	0	0	пакутаваць
afflicted	0	0	0	0	0	1	0	0	0	0	пакутуе
affliction	0	0	1	1	0	1	0	1	0	0	пакута
affluence	0	0	0	0	1	0	1	0	0	0	заможнасць
affluent	0	0	0	0	0	0	1	0	0	0	заможны
afford	0	0	0	0	0	0	1	0	0	0	дазволіць сабе
affront	1	0	1	1	0	1	0	1	1	0	абражаць
afield	0	0	0	0	0	0	0	0	0	0	за мяжой
afore	0	0	0	0	0	0	0	0	0	0	раней
aforementioned	0	0	0	0	0	0	0	0	0	0	вышэйзгаданы
aforesaid	0	0	0	0	0	0	0	0	0	0	вышэйсказанае
afraid	0	0	0	1	0	1	0	0	0	0	баяцца
afresh	0	0	0	0	0	0	0	0	0	0	нанова
aft	0	0	0	0	0	0	0	0	0	0	кармавой
aftermath	1	0	1	1	0	1	0	1	0	0	наступствы
afternoon	0	0	0	0	0	0	0	0	0	0	днём
aftertaste	0	0	0	0	0	1	0	0	0	0	послевкусіе
afterthought	0	0	0	0	0	0	0	0	0	0	запозненая думка
aga	0	0	0	1	0	0	1	0	0	1	ага
agate	0	0	0	0	0	0	0	0	0	0	агат
age	0	0	0	0	0	0	0	0	0	0	ўзрост
aged	0	0	0	0	0	0	0	0	0	0	ва ўзросце
agency	0	0	0	0	0	0	0	0	0	0	агенцтва
agent	0	0	0	0	0	0	0	0	0	0	агент
agglomeration	0	0	0	0	0	0	0	0	0	0	агламерацыя
aggravated	1	0	0	0	0	1	0	0	0	0	абвастрылася
aggravating	1	0	0	0	0	1	0	1	0	0	абцяжарваючы
aggravation	1	0	1	0	0	1	0	0	0	0	абвастрэнне
aggregate	0	0	0	0	0	0	0	0	0	0	агрэгат
aggregation	0	0	0	0	0	0	0	0	0	0	агрэгацыя
aggression	1	0	0	1	0	1	0	0	0	0	агрэсія
aggressive	1	0	0	1	0	1	0	0	0	0	агрэсіўны
aggressor	1	0	0	1	0	1	0	0	0	0	агрэсар
aghast	0	0	1	1	0	1	0	0	1	0	у жаху
agile	0	0	0	0	0	0	1	0	0	0	спрытны
agility	0	0	0	0	0	0	1	0	0	0	спрыт
agitated	1	0	0	0	0	1	0	0	0	0	усхваляваны
agitation	1	0	0	0	0	1	0	0	0	0	агітацыя
agnostic	0	0	0	0	0	0	0	0	0	0	агностык
ago	0	0	0	0	0	0	0	0	0	0	таму
agonizing	0	0	0	1	0	1	0	0	0	0	пакутлівы
agony	1	0	0	1	0	1	0	1	0	0	агонія
agree	0	0	0	0	0	0	1	0	0	0	згодны
agreeable	0	0	0	0	0	0	1	0	0	1	згодны
agreed	0	0	0	0	0	0	1	0	0	1	пагадзіўся
agreeing	0	0	0	0	0	0	1	0	0	1	згаджаючыся
agreement	0	0	0	0	0	0	1	0	0	1	пагадненне
agricultural	0	0	0	0	0	0	0	0	0	0	сельскагаспадарчы
agriculture	0	0	0	0	0	0	1	0	0	0	сельская гаспадарка
aground	0	0	0	0	0	1	0	0	0	0	на мель
agua	0	0	0	0	0	0	0	0	0	0	агуа
ahead	0	0	0	0	0	0	1	0	0	0	наперадзе
aid	0	0	0	0	0	0	1	0	0	0	дапамога
aiding	0	0	0	0	0	0	1	0	0	0	аказанне дапамогі
ail	0	0	0	0	0	1	0	1	0	0	хворы
ailing	0	0	0	1	0	1	0	1	0	0	хворы
ailment	0	0	0	0	0	0	0	0	0	0	недамаганне
aim	0	0	0	0	0	0	0	0	0	0	мэта
aimless	0	0	0	0	0	1	0	0	0	0	бязмэтны
air	0	0	0	0	0	0	0	0	0	0	паветра
airbag	0	0	0	0	0	0	0	0	0	0	падушка бяспекі
airlift	0	0	0	0	0	0	0	0	0	0	паветраны транспарт
airline	0	0	0	0	0	0	0	0	0	0	авіякампанія
airman	0	0	0	0	0	0	0	0	0	0	лётчык
airplane	0	0	0	0	0	0	0	0	0	0	самалёт
airport	0	1	0	0	0	0	0	0	0	0	аэрапорт
airs	0	0	1	0	0	1	0	0	0	0	эфіры
airship	0	0	0	0	0	0	0	0	0	0	дырыжабль
aisle	0	0	0	0	0	0	0	0	0	0	праход
ait	0	0	0	0	0	0	0	0	0	0	аіт
ajar	0	0	0	0	0	0	0	0	0	0	прыадчынены
akin	0	0	0	0	0	0	0	0	0	1	падобны
alabaster	0	0	0	0	0	0	1	0	0	0	алебастр
alarm	0	0	0	1	0	1	0	0	1	0	сігналізацыя
alarming	0	0	0	1	0	1	0	0	1	0	трывожны
alb	0	0	0	0	0	0	0	0	0	1	альб
album	0	0	0	0	0	0	0	0	0	0	альбом
alchemy	0	0	0	0	0	0	0	0	0	0	алхімія
alcohol	0	0	0	0	0	0	0	0	0	0	алкаголь
alcoholism	1	0	1	1	0	1	0	1	0	0	алкагалізм
alcove	0	0	0	0	0	0	0	0	0	0	алькоў
alert	0	0	0	0	0	0	0	0	0	0	абвестка
alertness	0	1	0	1	0	0	1	0	1	0	насцярожанасць
alerts	0	1	0	1	0	0	0	0	1	0	абвесткі
alfalfa	0	0	0	0	0	0	0	0	0	0	люцэрна
algebra	0	0	0	0	0	0	0	0	0	0	алгебры
algebraic	0	0	0	0	0	0	0	0	0	0	алгебраічны
algorithm	0	0	0	0	0	0	0	0	0	0	алгарытм
alibi	0	0	0	0	0	0	0	0	0	0	алібі
alien	0	0	1	1	0	1	0	0	0	0	іншапланецянін
alienate	1	0	1	0	0	1	0	0	0	0	адчужаць
alienated	0	0	0	0	0	1	0	1	0	0	адчужана
alienation	1	0	1	1	0	1	0	1	0	0	адчужэнне
alight	0	0	0	0	0	0	0	0	0	0	гарыць
aligned	0	0	0	0	0	0	0	0	0	0	выраўнаваны
alignment	0	0	0	0	0	0	0	0	0	0	выраўноўванне
alike	0	0	0	0	0	0	0	0	0	0	падобныя
alimentation	0	0	0	0	0	0	1	0	0	0	харчаванне
alimony	0	0	0	0	0	1	0	0	0	0	аліменты
aliquot	0	0	0	0	0	0	0	0	0	0	аліквота
alive	0	1	0	0	1	0	1	0	0	1	жывы
alkali	0	0	0	0	0	0	0	0	0	0	шчолач
alkaloids	0	0	0	0	0	0	0	0	0	0	алкалоідаў
allay	0	0	0	0	0	0	1	0	0	0	развеяць
allegation	1	0	0	0	0	1	0	0	0	0	зацвярджэнне
allege	0	0	0	0	0	1	0	0	0	0	сцвярджаць
alleged	0	0	0	0	0	0	0	0	0	0	нібыта
allegiance	0	0	0	0	0	0	1	0	0	1	вернасць
allegorical	0	0	0	0	0	0	0	0	0	0	алегарычны
allegory	0	0	0	0	0	0	0	0	0	0	алегорыя
allegro	0	0	0	0	0	0	1	0	0	0	алегра
alleviate	0	0	0	0	0	0	1	0	0	0	палегчыць
alleviation	0	0	0	0	0	0	1	0	0	0	палягчэнне
alley	0	0	0	0	0	0	0	0	0	0	алея
alliance	0	0	0	0	0	0	0	0	0	1	альянс
allied	0	0	0	0	0	0	1	0	0	1	саюзныя
alligator	0	0	0	0	0	0	0	0	0	0	алігатар
allocate	0	0	0	0	0	0	0	0	0	0	вылучаць
allocation	0	0	0	0	0	0	0	0	0	0	вылучэнне
allot	0	0	0	0	0	0	0	0	0	0	надзяляць
allotment	0	0	0	0	0	0	0	0	0	0	надзел
allowable	0	0	0	0	0	0	1	0	0	0	дапушчальна
allowance	0	0	0	0	0	0	0	0	0	0	дапаможнік
allowed	0	0	0	0	0	0	0	0	0	0	дазволены
alloy	0	0	0	0	0	0	0	0	0	0	сплаў
allure	0	1	0	0	1	0	1	0	1	0	прывабнасць
alluring	0	0	0	0	0	0	1	0	0	0	вабны
allusion	0	0	0	0	0	0	0	0	0	0	алюзія
alluvial	0	0	0	0	0	0	0	0	0	0	алювіяльны
ally	0	0	0	0	0	0	1	0	0	1	саюзнік
almanac	0	0	0	0	0	0	0	0	0	0	альманах
almighty	0	0	0	0	0	0	1	0	0	0	усемагутны
aloft	0	0	0	0	0	0	0	0	0	0	на вышыні
aloha	0	1	0	0	1	0	1	0	0	0	прывітанне
alongside	0	0	0	0	0	0	0	0	0	0	побач
aloof	0	0	0	0	0	1	0	0	0	0	у баку
aloud	0	0	0	0	0	0	0	0	0	0	услых
alphabet	0	0	0	0	0	0	0	0	0	0	алфавіт
alphabetical	0	0	0	0	0	0	0	0	0	0	алфавітны
altar	0	0	0	0	0	0	0	0	0	0	алтар
alter	0	0	0	0	0	0	0	0	0	0	змяніць
alteration	0	0	0	0	0	0	0	0	0	0	пераробка
altercation	1	0	0	0	0	1	0	0	0	0	сварка
altered	0	0	0	0	0	0	0	0	0	0	зменены
alternate	0	0	0	0	0	0	0	0	0	0	чаргаваць
alternative	0	0	0	0	0	0	0	0	0	0	альтэрнатыва
altitude	0	0	0	0	0	0	0	0	0	0	вышыня над узроўнем мора
alto	0	0	0	0	0	0	0	0	0	0	альт
altogether	0	0	0	0	0	0	0	0	0	0	увогуле
alumnus	0	0	0	0	0	0	0	0	0	0	выпускнік
alveolar	0	0	0	0	0	0	0	0	0	0	альвеалярны
amalgam	0	0	0	0	0	0	0	0	0	0	амальгама
amalgamation	0	0	0	0	0	0	0	0	0	0	аб'яднанне
amass	0	0	0	0	0	0	0	0	0	0	назапашваць
amateur	0	0	0	0	0	0	0	0	0	0	аматарскі
amaze	0	0	0	0	0	0	0	0	1	0	здзівіць
amazement	0	0	0	0	0	0	0	0	0	0	здзіўленне
amazingly	0	0	0	0	1	0	1	0	1	0	дзіўна
ambassador	0	0	0	0	0	0	1	0	0	1	паслом
amber	0	0	0	0	0	0	0	0	0	0	бурштынавы
ambient	0	0	0	0	0	0	0	0	0	0	эмбіент
ambiguity	0	0	0	0	0	0	0	0	0	0	неадназначнасць
ambiguous	0	0	0	0	0	1	0	0	0	0	неадназначны
ambit	0	0	0	0	0	0	0	0	0	0	амбіт
ambition	0	1	0	0	1	0	1	0	0	1	славалюбства
ambitious	0	0	0	0	0	0	0	0	0	0	амбіцыйны
ambulance	0	0	0	1	0	0	0	0	0	1	хуткая дапамога
ambush	1	0	0	1	0	1	0	0	1	0	засада
ameliorate	0	0	0	0	0	0	1	0	0	0	паляпшаць
amen	0	0	0	0	1	0	1	0	0	1	амін
amenable	0	0	0	0	0	0	1	0	0	0	паддаюцца
amend	0	0	0	0	0	0	1	0	0	0	паправіць
amendment	0	0	0	0	0	0	0	0	0	0	папраўка
amends	0	0	0	0	0	0	1	0	0	0	папраўкі
amenity	0	0	0	0	0	0	1	0	0	0	зручнасць
amethyst	0	0	0	0	0	0	0	0	0	0	аметыст
amiable	0	0	0	0	0	0	1	0	0	0	прыязны
amicable	0	0	0	0	1	0	1	0	0	0	дружны
amid	0	0	0	0	0	0	0	0	0	0	сярод
amidst	0	0	0	0	0	0	0	0	0	0	сярод
ammonia	0	0	1	0	0	0	0	0	0	0	нашатырны спірт
ammunition	0	0	0	0	0	0	0	0	0	0	боепрыпасаў
amnesia	0	0	0	0	0	1	0	0	0	0	амнезія
