English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Latin Word
accountable	0	0	0	0	0	0	1	0	0	1	accountable
accountant	0	0	0	0	0	0	0	0	0	1	Computantis
accounting	0	0	0	0	0	0	0	0	0	0	ratio
accounts	0	0	0	0	0	0	0	0	0	1	rationibus
accredited	0	0	0	0	0	0	1	0	0	1	adprobatum
accretion	0	0	0	0	0	0	0	0	0	0	accretio
accrue	0	0	0	0	0	0	0	0	0	0	accrescere
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	cumulare
accumulation	0	0	0	0	0	0	0	0	0	0	cumulus
accuracy	0	0	0	0	0	0	0	0	0	0	accurate
accurate	0	0	0	0	0	0	1	0	0	1	accurate
accursed	1	0	0	1	0	1	0	1	0	0	maledictus
accusation	1	0	1	0	0	1	0	0	0	0	accusatio
accusative	0	0	0	0	0	1	0	0	0	0	accusativus
accused	1	0	0	1	0	1	0	0	0	0	accusatus
accuser	1	0	0	1	0	1	0	0	0	0	accusator
accusing	1	0	0	1	0	1	0	0	0	0	accus
accustomed	0	0	0	0	0	0	0	0	0	0	adsuetum
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	dolori
achieve	0	0	0	0	1	0	1	0	0	1	consequi
achievement	0	1	0	0	1	0	1	0	0	1	factum
aching	0	0	0	0	0	1	0	1	0	0	traiecto
acid	0	0	0	0	0	1	0	0	0	0	acidum
acidity	0	0	0	0	0	0	0	0	0	0	acorem
acknowledge	0	0	0	0	0	0	0	0	0	0	confiteri
acknowledged	0	0	0	0	0	0	0	0	0	0	recognovit
acknowledgment	0	0	0	0	0	0	1	0	0	0	agnitio
acme	0	0	0	0	0	0	0	0	0	0	nimiae
acoustic	0	0	0	0	0	0	0	0	0	0	porus acusticus
acoustics	0	0	0	0	0	0	0	0	0	0	acoustics
acquaint	0	0	0	0	0	0	0	0	0	0	cognoscere
acquaintance	0	0	0	0	0	0	0	0	0	0	notitia
acquainted	0	0	0	0	0	0	0	0	0	0	scit
acquiescence	0	0	0	0	0	0	0	0	0	0	patientia
acquire	0	0	0	0	0	0	1	0	0	0	acquire
acquiring	0	1	0	0	0	0	1	0	0	0	acquirere
acquisition	0	0	0	0	0	0	0	0	0	0	adeptio
acquisitions	0	0	0	0	0	0	0	0	0	0	acquisitions
acreage	0	0	0	0	0	0	0	0	0	0	acreage
acres	0	0	0	0	0	0	0	0	0	0	iugera
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	agere
acting	0	0	0	0	0	0	0	0	0	0	agens
action	0	0	0	0	0	0	1	0	0	0	actio
actionable	1	0	1	0	0	1	0	0	0	0	operabili
active	0	0	0	0	0	0	0	0	0	0	active
activity	0	0	0	0	0	0	0	0	0	0	actio
actor	0	0	0	0	0	0	0	0	0	0	histrio
actual	0	0	0	0	0	0	1	0	0	0	actual!
actuality	0	0	0	0	0	0	0	0	0	0	actualitas
actuary	0	0	0	0	0	0	0	0	0	0	actuary
acuity	0	0	0	0	0	0	1	0	0	0	acumen
acumen	0	0	0	0	0	0	1	0	0	0	acumen
acupuncture	0	0	0	0	0	0	0	0	0	0	nulla
acutely	0	0	0	0	0	0	0	0	0	0	acute
adage	0	0	0	0	0	0	0	0	0	0	adagium
adamant	0	0	0	0	0	0	0	0	0	0	adamanta
adapt	0	0	0	0	0	0	1	0	0	0	accommodare
adaptable	0	0	0	0	0	0	1	0	0	0	habilis
add	0	0	0	0	0	0	0	0	0	0	addere
added	0	0	0	0	0	0	0	0	0	0	additae
addendum	0	0	0	0	0	0	0	0	0	0	addendum
adder	1	0	1	1	0	1	0	1	0	0	vipera
addiction	0	0	0	0	0	1	0	0	0	0	PROCLIVITAS
addition	0	0	0	0	0	0	0	0	0	0	additamentum
additional	0	0	0	0	0	0	0	0	0	0	additional
additive	0	0	0	0	0	0	0	0	0	0	ELOGIUM
address	0	0	0	0	0	0	0	0	0	0	oratio
addressee	0	0	0	0	0	0	0	0	0	0	addressee
addresses	0	1	0	0	0	0	1	0	0	0	oratio
adept	0	0	0	0	0	0	1	0	0	0	peritus
adequacy	0	0	0	0	0	0	1	0	0	0	sufficientia
adequate	0	0	0	0	0	0	0	0	0	0	satis
adhere	0	0	0	0	0	0	0	0	0	0	adhaerere
adherence	0	0	0	0	0	0	0	0	0	0	adhaesio
adherent	0	0	0	0	0	0	0	0	0	0	adherens
adhering	0	0	0	0	0	0	0	0	0	1	adhaerens
adhesion	0	0	0	0	0	0	0	0	0	0	adhaesio
adhesive	0	0	0	0	0	0	0	0	0	0	tenaces
adieu	0	0	0	0	0	0	0	0	0	0	vale-
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	adiacentia
adjacent	0	0	0	0	0	0	0	0	0	0	adjacent
adjective	0	0	0	0	0	0	0	0	0	0	adiectivum
adjoining	0	0	0	0	0	0	0	0	0	0	adjacens
adjourn	0	0	0	0	0	0	0	0	0	0	tacitum
adjournment	0	0	0	0	0	0	0	0	0	0	prolatas
adjudicate	0	0	0	1	0	1	0	0	0	0	judicare
adjudication	0	0	0	0	0	0	0	0	0	0	adjudicatio
adjunct	0	0	0	0	0	0	1	0	0	0	adiuncto
adjust	0	0	0	0	0	0	0	0	0	0	adjust
adjustment	0	0	0	0	0	0	0	0	0	0	temperatio
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	administrare
administration	0	0	0	0	0	0	0	0	0	0	administratio
administrative	0	0	0	0	0	0	0	0	0	1	administrativus
admirable	0	0	0	0	1	0	1	0	0	1	admirabilis
admiral	0	0	0	0	0	0	1	0	0	1	praefectus
admiralty	0	0	0	0	0	0	0	0	0	0	admirabilitas
admiration	0	0	0	0	1	0	1	0	0	1	admirationem
admire	0	0	0	0	0	0	1	0	0	1	admirari
admirer	0	0	0	0	0	0	1	0	0	0	admirator
admissibility	0	0	0	0	0	0	0	0	0	0	admissio
admissible	0	0	0	0	0	0	1	0	0	1	admittenda
admission	0	0	0	0	0	0	0	0	0	0	admissio
admit	0	0	0	0	0	0	0	0	0	0	fateri
admittance	0	0	0	0	0	0	0	0	0	0	aditus
admitted	0	0	0	0	0	0	0	0	0	0	admissus
admitting	0	0	0	0	0	0	0	0	0	0	admittendo
admixture	0	0	0	0	0	0	0	0	0	0	permixtio
admonition	0	0	0	1	0	1	0	0	0	0	admonitionem
ado	0	0	0	0	0	0	0	0	0	0	vix
adobe	0	0	0	0	0	0	0	0	0	0	Adobe
adolescence	0	0	0	0	0	0	0	0	0	0	adulescentia
adolescent	0	0	0	0	0	0	0	0	0	0	adulescens
adopt	0	0	0	0	0	0	0	0	0	0	adopt
adoption	0	0	0	0	0	0	0	0	0	0	adoptionis
adorable	0	0	0	0	1	0	1	0	0	0	venerabile
adoration	0	0	0	0	1	0	1	0	0	1	adoratio
adore	0	1	0	0	1	0	1	0	0	1	adorare
adorn	0	0	0	0	0	0	0	0	0	0	ornare
adornment	0	0	0	0	0	0	0	0	0	0	ornatus
adrift	0	1	0	1	0	1	0	1	0	0	exilii
adult	0	0	0	0	0	0	0	0	0	0	adultus
adulterated	0	0	0	0	0	1	0	0	0	0	adulteratum
adultery	0	0	1	0	0	1	0	1	0	0	adulterium
advance	0	1	0	1	1	0	1	0	1	0	antecessum
advanced	0	0	0	0	0	0	1	0	0	0	provecta
advancement	0	0	0	0	0	0	1	0	0	0	progressio
advancing	0	0	0	0	0	0	0	0	0	0	progressus
advantage	0	0	0	0	0	0	1	0	0	0	commodum
advantageous	0	0	0	0	0	0	1	0	0	0	utile
advent	0	1	0	0	1	0	1	0	0	1	Adventus
adventure	0	1	0	0	0	0	1	0	0	0	casus
adventurer	0	0	0	0	0	0	0	0	0	0	moribus
adventurous	0	0	0	0	0	0	1	0	0	0	adventurous
adversary	1	0	0	0	0	1	0	0	0	0	adversarius
adverse	1	0	1	1	0	1	0	1	0	0	adversis
adversity	1	0	0	1	0	1	0	1	0	0	adversitas
advertise	0	0	0	0	0	0	0	0	0	0	ostento
advertisement	0	0	0	0	0	0	0	0	0	0	tabula
advice	0	0	0	0	0	0	0	0	0	1	consilium
advisable	0	0	0	0	0	0	1	0	0	1	opportunum
advise	0	0	0	0	0	0	1	0	0	1	consilium
advised	0	0	0	0	0	0	0	0	0	1	consilium
advisement	0	0	0	0	0	0	0	0	0	0	consilium
adviser	0	0	0	0	0	0	1	0	0	1	consiliarius
advocacy	1	1	0	0	1	0	1	0	0	1	patrocinium
advocate	0	0	0	0	0	0	0	0	0	1	advocatus
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	aeration
aerial	0	0	0	0	0	0	0	0	0	0	aeria
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrome
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautics
aeroplane	0	0	0	0	0	0	0	0	0	0	scapha
aesthetic	0	0	0	0	0	0	1	0	0	0	aesthetic
aesthetics	0	0	0	0	1	0	1	0	0	0	aesthetics
aetiology	0	0	0	0	0	0	0	0	0	0	aetiologia
afar	0	0	0	0	0	0	0	0	0	0	longe
affable	0	0	0	0	0	0	1	0	0	0	affabilis
affair	0	0	0	0	0	0	0	0	0	0	rem
affecting	0	0	0	0	0	0	0	0	0	0	afficiens
affection	0	0	0	0	1	0	1	0	0	1	affectio
affections	0	0	0	0	0	0	0	0	0	0	affectiones
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	tabellam dare
affiliated	0	0	0	0	0	0	1	0	0	0	foederata
affiliation	0	0	0	0	0	0	0	0	0	0	affiliation
affinity	0	0	0	0	0	0	0	0	0	0	affinitas
affirm	0	0	0	0	0	0	1	0	0	1	affirmare
affirmation	0	0	0	0	0	0	1	0	0	0	affirmatio
affirmative	0	0	0	0	0	0	1	0	0	0	affirmativa
affirmatively	0	0	0	0	0	0	1	0	0	1	affirmative
affix	0	0	0	0	0	0	0	0	0	0	affix
afflict	0	0	0	1	0	1	0	1	0	0	afflict
afflicted	0	0	0	0	0	1	0	0	0	0	afflictum
affliction	0	0	1	1	0	1	0	1	0	0	afflictionem
affluence	0	0	0	0	1	0	1	0	0	0	affluentia
affluent	0	0	0	0	0	0	1	0	0	0	affluens
afford	0	0	0	0	0	0	1	0	0	0	praestare
affront	1	0	1	1	0	1	0	1	1	0	contumelia
afield	0	0	0	0	0	0	0	0	0	0	evagando
afore	0	0	0	0	0	0	0	0	0	0	prius
aforementioned	0	0	0	0	0	0	0	0	0	0	praedicti
aforesaid	0	0	0	0	0	0	0	0	0	0	praedicti
afraid	0	0	0	1	0	1	0	0	0	0	timet
afresh	0	0	0	0	0	0	0	0	0	0	de integro
aft	0	0	0	0	0	0	0	0	0	0	aft*
aftermath	1	0	1	1	0	1	0	1	0	0	CHORDUS
afternoon	0	0	0	0	0	0	0	0	0	0	meridiem
aftertaste	0	0	0	0	0	1	0	0	0	0	aftertaste
afterthought	0	0	0	0	0	0	0	0	0	0	retractu
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	achates
age	0	0	0	0	0	0	0	0	0	0	aetas
aged	0	0	0	0	0	0	0	0	0	0	senex
agency	0	0	0	0	0	0	0	0	0	0	propellente
agent	0	0	0	0	0	0	0	0	0	0	agentis
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomeration
aggravated	1	0	0	0	0	1	0	0	0	0	aggravatur
aggravating	1	0	0	0	0	1	0	1	0	0	aggravans
aggravation	1	0	1	0	0	1	0	0	0	0	exulceratio
aggregate	0	0	0	0	0	0	0	0	0	0	aggregatum
aggregation	0	0	0	0	0	0	0	0	0	0	aggregatio
aggression	1	0	0	1	0	1	0	0	0	0	irascibilis
aggressive	1	0	0	1	0	1	0	0	0	0	infestantibus
aggressor	1	0	0	1	0	1	0	0	0	0	aggressor
aghast	0	0	1	1	0	1	0	0	1	0	obstipuere
agile	0	0	0	0	0	0	1	0	0	0	agilis
agility	0	0	0	0	0	0	1	0	0	0	agilitas
agitated	1	0	0	0	0	1	0	0	0	0	agitatur
agitation	1	0	0	0	0	1	0	0	0	0	agitatio
agnostic	0	0	0	0	0	0	0	0	0	0	agnostici
ago	0	0	0	0	0	0	0	0	0	0	ante
agonizing	0	0	0	1	0	1	0	0	0	0	crucians
agony	1	0	0	1	0	1	0	1	0	0	agonia
agree	0	0	0	0	0	0	1	0	0	0	consentire
agreeable	0	0	0	0	0	0	1	0	0	1	iucundus
agreed	0	0	0	0	0	0	1	0	0	1	constat
agreeing	0	0	0	0	0	0	1	0	0	1	consentiens
agreement	0	0	0	0	0	0	1	0	0	1	pactum
agricultural	0	0	0	0	0	0	0	0	0	0	agriculturae
agriculture	0	0	0	0	0	0	1	0	0	0	agricultura
aground	0	0	0	0	0	1	0	0	0	0	eiecere
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	praemisit
aid	0	0	0	0	0	0	1	0	0	0	auxilium
aiding	0	0	0	0	0	0	1	0	0	0	auxilium
ail	0	0	0	0	0	1	0	1	0	0	all
ailing	0	0	0	1	0	1	0	1	0	0	aegrotus
ailment	0	0	0	0	0	0	0	0	0	0	aegritudo
aim	0	0	0	0	0	0	0	0	0	0	propositum
aimless	0	0	0	0	0	1	0	0	0	0	caecae
air	0	0	0	0	0	0	0	0	0	0	air
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	airlift
airline	0	0	0	0	0	0	0	0	0	0	airline
airman	0	0	0	0	0	0	0	0	0	0	airman
airplane	0	0	0	0	0	0	0	0	0	0	scapha
airport	0	1	0	0	0	0	0	0	0	0	aeroportus
airs	0	0	1	0	0	1	0	0	0	0	airs
airship	0	0	0	0	0	0	0	0	0	0	airship
aisle	0	0	0	0	0	0	0	0	0	0	porticus
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	cognatus
alabaster	0	0	0	0	0	0	1	0	0	0	alabastrum
alarm	0	0	0	1	0	1	0	0	1	0	terrorem
alarming	0	0	0	1	0	1	0	0	1	0	terrens
alb	0	0	0	0	0	0	0	0	0	1	alba
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchimia
alcohol	0	0	0	0	0	0	0	0	0	0	alcohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alcoholismo
alcove	0	0	0	0	0	0	0	0	0	0	thalamos
alert	0	0	0	0	0	0	0	0	0	0	erectus
alertness	0	1	0	1	0	0	1	0	1	0	adiice
alerts	0	1	0	1	0	0	0	0	1	0	summis
alfalfa	0	0	0	0	0	0	0	0	0	0	MEDICA
algebra	0	0	0	0	0	0	0	0	0	0	Algebrae
algebraic	0	0	0	0	0	0	0	0	0	0	algebraicum
algorithm	0	0	0	0	0	0	0	0	0	0	algorithmus
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	alienus
alienate	1	0	1	0	0	1	0	0	0	0	alienare
alienated	0	0	0	0	0	1	0	1	0	0	alienatus
alienation	1	0	1	1	0	1	0	1	0	0	alienatio
alight	0	0	0	0	0	0	0	0	0	0	urens
aligned	0	0	0	0	0	0	0	0	0	0	varius
alignment	0	0	0	0	0	0	0	0	0	0	Gratia diei et noctis
alike	0	0	0	0	0	0	0	0	0	0	similiter
alimentation	0	0	0	0	0	0	1	0	0	0	alimentum
alimony	0	0	0	0	0	1	0	0	0	0	SALARIUM
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	vivus
alkali	0	0	0	0	0	0	0	0	0	0	alcali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	sedare
allegation	1	0	0	0	0	1	0	0	0	0	allegatio
allege	0	0	0	0	0	1	0	0	0	0	allegare
alleged	0	0	0	0	0	0	0	0	0	0	asserta
allegiance	0	0	0	0	0	0	1	0	0	1	fides
allegorical	0	0	0	0	0	0	0	0	0	0	allegoricus
allegory	0	0	0	0	0	0	0	0	0	0	allegoria
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	sublevare
alleviation	0	0	0	0	0	0	1	0	0	0	levamen
alley	0	0	0	0	0	0	0	0	0	0	angiportum
alliance	0	0	0	0	0	0	0	0	0	1	societas
allied	0	0	0	0	0	0	1	0	0	1	sociis
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	collocant
allocation	0	0	0	0	0	0	0	0	0	0	destinatio
allot	0	0	0	0	0	0	0	0	0	0	allot
allotment	0	0	0	0	0	0	0	0	0	0	adsignatio
allowable	0	0	0	0	0	0	1	0	0	0	licita
allowance	0	0	0	0	0	0	0	0	0	0	annonas
allowed	0	0	0	0	0	0	0	0	0	0	licet
alloy	0	0	0	0	0	0	0	0	0	0	mixtura
allure	0	1	0	0	1	0	1	0	1	0	allicere
alluring	0	0	0	0	0	0	1	0	0	0	illecebrosus
allusion	0	0	0	0	0	0	0	0	0	0	allusio
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	socius
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	omnipotens
aloft	0	0	0	0	0	0	0	0	0	0	sublimis
aloha	0	1	0	0	1	0	1	0	0	0	Dei
alongside	0	0	0	0	0	0	0	0	0	0	latere
aloof	0	0	0	0	0	1	0	0	0	0	procul
aloud	0	0	0	0	0	0	0	0	0	0	voce
alphabet	0	0	0	0	0	0	0	0	0	0	alphabetum
alphabetical	0	0	0	0	0	0	0	0	0	0	alphabeticum
altar	0	0	0	0	0	0	0	0	0	0	altare
alter	0	0	0	0	0	0	0	0	0	0	mutare
alteration	0	0	0	0	0	0	0	0	0	0	alteratio
altercation	1	0	0	0	0	1	0	0	0	0	altercatio
altered	0	0	0	0	0	0	0	0	0	0	mutatus
alternate	0	0	0	0	0	0	0	0	0	0	alternis
alternative	0	0	0	0	0	0	0	0	0	0	Vel 
altitude	0	0	0	0	0	0	0	0	0	0	altitudo
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	omnino
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolaris
amalgam	0	0	0	0	0	0	0	0	0	0	miscellanea
amalgamation	0	0	0	0	0	0	0	0	0	0	amalgamation
amass	0	0	0	0	0	0	0	0	0	0	coacervare
amateur	0	0	0	0	0	0	0	0	0	0	amateur
amaze	0	0	0	0	0	0	0	0	1	0	mirari
amazement	0	0	0	0	0	0	0	0	0	0	stupor
amazingly	0	0	0	0	1	0	1	0	1	0	mirum in modum
ambassador	0	0	0	0	0	0	1	0	0	1	legatus
amber	0	0	0	0	0	0	0	0	0	0	electri
ambient	0	0	0	0	0	0	0	0	0	0	ambientium
ambiguity	0	0	0	0	0	0	0	0	0	0	ambiguitas
ambiguous	0	0	0	0	0	1	0	0	0	0	ambiguum
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	ambitio
ambitious	0	0	0	0	0	0	0	0	0	0	ambitiose
ambulance	0	0	0	1	0	0	0	0	0	1	ambulance
ambush	1	0	0	1	0	1	0	0	1	0	insidiae
ameliorate	0	0	0	0	0	0	1	0	0	0	melioratus
amen	0	0	0	0	1	0	1	0	0	1	Amen
amenable	0	0	0	0	0	0	1	0	0	0	bene
amend	0	0	0	0	0	0	1	0	0	0	emendare
amendment	0	0	0	0	0	0	0	0	0	0	emendatio
amends	0	0	0	0	0	0	1	0	0	0	satisfactione
amenity	0	0	0	0	0	0	1	0	0	0	amoenitas
amethyst	0	0	0	0	0	0	0	0	0	0	amethystus
amiable	0	0	0	0	0	0	1	0	0	0	amabilis
amicable	0	0	0	0	1	0	1	0	0	0	amicabilis
amid	0	0	0	0	0	0	0	0	0	0	inter
amidst	0	0	0	0	0	0	0	0	0	0	medio
ammonia	0	0	1	0	0	0	0	0	0	0	ammoniaci
ammunition	0	0	0	0	0	0	0	0	0	0	tela
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	abolitio
amorphous	0	0	0	0	0	0	0	0	0	0	amorphous
amortization	0	0	0	0	0	0	0	0	0	1	amortizationem
amount	0	0	0	0	0	0	0	0	0	0	moles
amour	0	1	0	0	1	0	1	0	0	1	amour
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amphetamines
amphibian	0	0	0	0	0	0	0	0	0	0	amphibian
amphibious	0	0	0	0	0	0	0	0	0	0	amphibio
amphitheater	0	0	0	0	0	0	0	0	0	0	amphitheatrum
amplification	0	0	0	0	0	0	0	0	0	0	amplificatio
amplify	0	0	0	0	0	0	0	0	0	0	amplificare
amplitude	0	0	0	0	0	0	0	0	0	0	amplitudo
amply	0	0	0	0	0	0	0	0	0	0	abunde
amputation	0	0	0	0	0	0	0	0	0	0	amputatio
amulet	0	0	0	0	0	0	0	0	0	0	adalligatum
amuse	0	0	0	0	1	0	1	0	0	0	oblectare
amused	0	0	0	0	1	0	1	0	0	0	risit
amusement	0	0	0	0	1	0	1	0	0	0	ludicrum
amusing	0	0	0	0	1	0	1	0	0	0	ludibrium
ana	0	0	0	0	0	0	0	0	0	0	ana
anaconda	0	0	1	1	0	1	0	0	0	0	anaconda
