English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Tamil Word
abortion	0	0	1	1	0	1	0	1	0	0	கருக்கலைப்பு
abortive	0	0	0	0	0	1	0	1	0	0	கருக்கலைப்பு
abound	0	0	0	0	0	0	0	0	0	0	நிறைந்துள்ளன
abovementioned	0	0	0	0	0	0	1	0	0	0	மேலே குறிப்பிட்டுள்ள
abrasion	0	0	0	0	0	1	0	0	0	0	சிராய்ப்பு
abroad	0	0	0	0	0	0	0	0	0	0	வெளிநாட்டில்
abrogate	0	0	0	0	0	1	0	0	0	0	ரத்து செய்
abrupt	0	0	0	0	0	0	0	0	1	0	திடீர்
abruptly	0	0	0	0	0	0	0	0	0	0	திடீரென்று
abscess	0	0	0	0	0	1	0	1	0	0	சீழ்
absence	0	0	0	1	0	1	0	1	0	0	இல்லாமை
absent	0	0	0	0	0	1	0	1	0	0	இல்லாத
absentee	0	0	0	0	0	1	0	1	0	0	வராதவர்
absenteeism	0	0	0	0	0	1	0	0	0	0	வருகையின்மை
absinthe	0	0	0	0	0	0	0	0	0	0	அப்சிந்தே
absolute	0	0	0	0	0	0	1	0	0	0	அறுதி
absolution	0	0	0	0	1	0	1	0	0	1	பாவமன்னிப்பு
absorbed	0	0	0	0	0	0	1	0	0	0	உறிஞ்சப்பட்டது
absorbent	0	0	0	0	0	0	0	0	0	0	உறிஞ்சக்கூடியது
absorbing	0	0	0	0	0	0	0	0	0	0	உறிஞ்சும்
absorption	0	0	0	0	0	0	0	0	0	0	உறிஞ்சுதல்
abstain	0	0	0	0	0	0	0	0	0	0	தவிர்க்கவும்
abstention	0	0	0	0	0	0	0	0	0	0	புறக்கணிப்பு
abstinence	0	0	0	0	0	0	0	0	0	0	மதுவிலக்கு
abstract	0	0	0	0	0	0	0	0	0	0	சுருக்கம்
abstraction	0	0	0	0	0	0	0	0	0	0	சுருக்கம்
absurd	0	0	0	0	0	1	0	0	0	0	அபத்தமான
absurdity	0	0	0	0	0	1	0	0	0	0	அபத்தம்
abundance	0	1	1	0	1	1	1	0	0	1	மிகுதியாக
abundant	0	0	0	0	1	0	1	0	0	0	ஏராளமான
abuse	1	0	1	1	0	1	0	1	0	0	முறைகேடு
abutment	0	0	0	0	0	0	0	0	0	0	அடிவாங்கல்
aby	0	0	0	0	0	0	0	0	0	0	அபி
abysmal	0	0	0	0	0	1	0	1	0	0	படுமோசமான
abyss	0	0	0	1	0	1	0	1	0	0	பள்ளம்
academic	0	0	0	0	0	0	1	0	0	1	கல்விசார்
academy	0	0	0	0	0	0	1	0	0	0	கலைக்கூடம்
accede	0	0	0	0	0	0	0	0	0	0	ஒப்புக்கொள்
accelerate	0	1	0	0	0	0	0	0	0	0	முடுக்கி
acceleration	0	0	0	0	0	0	0	0	0	0	முடுக்கம்
accent	0	0	0	0	0	0	0	0	0	0	உச்சரிப்பு
accentuate	0	0	0	0	0	0	0	0	0	0	வலியுறுத்து
accept	0	0	0	0	0	0	0	0	0	0	ஏற்றுக்கொள்
acceptable	0	0	0	0	0	0	1	0	0	0	ஏற்றுக்கொள்ளக்கூடியது
acceptance	0	0	0	0	0	0	1	0	0	0	ஏற்றுக்கொள்ளுதல்
access	0	0	0	0	0	0	0	0	0	0	அணுகல்
accessible	0	0	0	0	0	0	1	0	0	0	அணுகக்கூடியது
accession	0	0	0	0	0	0	0	0	0	0	சேருதல்
accessory	0	0	0	0	0	0	0	0	0	0	துணை
accident	0	0	0	1	0	1	0	1	1	0	விபத்து
accidental	0	0	0	1	0	1	0	0	1	0	தற்செயலான
accidentally	0	0	0	0	0	0	0	0	1	0	தற்செயலாக
accolade	0	1	0	0	1	0	1	0	1	1	பாராட்டு
accommodate	0	0	0	0	0	0	0	0	0	0	இடமளிக்க
accommodation	0	0	0	0	0	0	1	0	0	0	தங்குமிடம்
accompaniment	0	1	0	0	1	0	1	0	0	1	துணை
accompany	0	0	0	0	0	0	0	0	0	0	உடன்
accompanying	0	0	0	0	0	0	0	0	0	0	உடன்
accomplice	0	0	0	0	0	0	0	0	0	0	உடந்தை
accomplish	0	0	0	0	1	0	1	0	0	0	சாதிக்க
accomplished	0	0	0	0	1	0	1	0	0	0	நிறைவேற்றப்பட்டது
accomplishment	0	0	0	0	0	0	1	0	0	0	சாதனை
accord	0	0	0	0	0	0	1	0	0	1	உடன்பாடு
accordance	0	0	0	0	0	0	0	0	0	0	ஏற்ப
accordion	0	0	0	0	0	0	0	0	0	0	துருத்தி
account	0	0	0	0	0	0	0	0	0	1	கணக்கு
accountability	0	0	0	0	0	0	1	0	0	1	பொறுப்புக்கூறல்
accountable	0	0	0	0	0	0	1	0	0	1	பொறுப்பான
accountant	0	0	0	0	0	0	0	0	0	1	கணக்காளர்
accounting	0	0	0	0	0	0	0	0	0	0	கணக்கியல்
accounts	0	0	0	0	0	0	0	0	0	1	கணக்குகள்
accredited	0	0	0	0	0	0	1	0	0	1	அங்கீகாரம் பெற்றது
accretion	0	0	0	0	0	0	0	0	0	0	திரட்டுதல்
accrue	0	0	0	0	0	0	0	0	0	0	சேரும்
accueil	0	0	0	0	0	0	1	0	0	0	திரட்டுதல்
accumulate	0	0	0	0	0	0	0	0	0	0	குவிக்க
accumulation	0	0	0	0	0	0	0	0	0	0	திரட்சி
accuracy	0	0	0	0	0	0	0	0	0	0	துல்லியம்
accurate	0	0	0	0	0	0	1	0	0	1	துல்லியமானது
accursed	1	0	0	1	0	1	0	1	0	0	சபிக்கப்பட்ட
accusation	1	0	1	0	0	1	0	0	0	0	குற்றச்சாட்டு
accusative	0	0	0	0	0	1	0	0	0	0	குற்றச்சாட்டு
accused	1	0	0	1	0	1	0	0	0	0	குற்றம் சாட்டினார்
accuser	1	0	0	1	0	1	0	0	0	0	குற்றம் சாட்டுபவர்
accusing	1	0	0	1	0	1	0	0	0	0	குற்றம் சாட்டுகிறது
accustomed	0	0	0	0	0	0	0	0	0	0	பழகிவிட்டது
ace	0	0	0	0	0	0	1	0	0	0	சீட்டு
acetic	0	0	0	0	0	0	0	0	0	0	அசிட்டிக்
ache	0	0	0	0	0	1	0	1	0	0	வலி
achieve	0	0	0	0	1	0	1	0	0	1	அடைய
achievement	0	1	0	0	1	0	1	0	0	1	சாதனை
aching	0	0	0	0	0	1	0	1	0	0	வலிக்கிறது
acid	0	0	0	0	0	1	0	0	0	0	அமிலம்
acidity	0	0	0	0	0	0	0	0	0	0	அமிலத்தன்மை
acknowledge	0	0	0	0	0	0	0	0	0	0	ஒப்புக்கொள்
acknowledged	0	0	0	0	0	0	0	0	0	0	ஒப்புக்கொள்ளப்பட்டது
acknowledgment	0	0	0	0	0	0	1	0	0	0	ஒப்புகை
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	ஒலியியல்
acoustics	0	0	0	0	0	0	0	0	0	0	ஒலியியல்
acquaint	0	0	0	0	0	0	0	0	0	0	அறிமுகம்
acquaintance	0	0	0	0	0	0	0	0	0	0	அறிமுகம்
acquainted	0	0	0	0	0	0	0	0	0	0	அறிமுகமானார்
acquiescence	0	0	0	0	0	0	0	0	0	0	ஒப்புக்கொள்ளுதல்
acquire	0	0	0	0	0	0	1	0	0	0	பெற
acquiring	0	1	0	0	0	0	1	0	0	0	பெறுதல்
acquisition	0	0	0	0	0	0	0	0	0	0	கையகப்படுத்தல்
acquisitions	0	0	0	0	0	0	0	0	0	0	கையகப்படுத்துதல்
acreage	0	0	0	0	0	0	0	0	0	0	ஏக்கர் பரப்பளவு
acres	0	0	0	0	0	0	0	0	0	0	ஏக்கர்
acrobat	0	0	0	1	1	0	1	0	0	1	அக்ரோபேட்
act	0	0	0	0	0	0	0	0	0	0	நாடகம்
acting	0	0	0	0	0	0	0	0	0	0	நடிப்பு
action	0	0	0	0	0	0	1	0	0	0	நடவடிக்கை
actionable	1	0	1	0	0	1	0	0	0	0	செயல்படக்கூடியது
active	0	0	0	0	0	0	0	0	0	0	செயலில்
activity	0	0	0	0	0	0	0	0	0	0	செயல்பாடு
actor	0	0	0	0	0	0	0	0	0	0	நடிகர்
actual	0	0	0	0	0	0	1	0	0	0	உண்மையான
actuality	0	0	0	0	0	0	0	0	0	0	உண்மை
actuary	0	0	0	0	0	0	0	0	0	0	ஆக்சுவரி
acuity	0	0	0	0	0	0	1	0	0	0	கூர்மை
acumen	0	0	0	0	0	0	1	0	0	0	புத்திசாலித்தனம்
acupuncture	0	0	0	0	0	0	0	0	0	0	குத்தூசி மருத்துவம்
acutely	0	0	0	0	0	0	0	0	0	0	தீவிரமாக
adage	0	0	0	0	0	0	0	0	0	0	பழமொழி
adamant	0	0	0	0	0	0	0	0	0	0	பிடிவாதமாக
adapt	0	0	0	0	0	0	1	0	0	0	ஏற்ப
adaptable	0	0	0	0	0	0	1	0	0	0	ஏற்புடையது
add	0	0	0	0	0	0	0	0	0	0	கூட்டு
added	0	0	0	0	0	0	0	0	0	0	சேர்க்கப்பட்டது
addendum	0	0	0	0	0	0	0	0	0	0	சேர்க்கை
adder	1	0	1	1	0	1	0	1	0	0	சேர்ப்பான்
addiction	0	0	0	0	0	1	0	0	0	0	போதை
addition	0	0	0	0	0	0	0	0	0	0	கூடுதலாக
additional	0	0	0	0	0	0	0	0	0	0	கூடுதல்
additive	0	0	0	0	0	0	0	0	0	0	சேர்க்கை
address	0	0	0	0	0	0	0	0	0	0	முகவரி
addressee	0	0	0	0	0	0	0	0	0	0	முகவரியாளர்
addresses	0	1	0	0	0	0	1	0	0	0	முகவரிகள்
adept	0	0	0	0	0	0	1	0	0	0	திறமையான
adequacy	0	0	0	0	0	0	1	0	0	0	போதுமான அளவு
adequate	0	0	0	0	0	0	0	0	0	0	போதுமானது
adhere	0	0	0	0	0	0	0	0	0	0	கடைபிடிக்கின்றன
adherence	0	0	0	0	0	0	0	0	0	0	கடைபிடித்தல்
adherent	0	0	0	0	0	0	0	0	0	0	பின்பற்றுபவர்
adhering	0	0	0	0	0	0	0	0	0	1	ஒட்டிக்கொண்டிருக்கிறது
adhesion	0	0	0	0	0	0	0	0	0	0	ஒட்டுதல்
adhesive	0	0	0	0	0	0	0	0	0	0	பிசின்
adieu	0	0	0	0	0	0	0	0	0	0	விடைபெறு
adipose	0	0	0	0	0	1	0	0	0	0	கொழுப்பு
adjacency	0	0	0	0	0	0	0	0	0	0	அடுத்துள்ள
adjacent	0	0	0	0	0	0	0	0	0	0	அருகில்
adjective	0	0	0	0	0	0	0	0	0	0	பெயரடை
adjoining	0	0	0	0	0	0	0	0	0	0	அருகில்
adjourn	0	0	0	0	0	0	0	0	0	0	ஒத்திவைக்க
adjournment	0	0	0	0	0	0	0	0	0	0	ஒத்திவைப்பு
adjudicate	0	0	0	1	0	1	0	0	0	0	தீர்ப்பளிக்கவும்
adjudication	0	0	0	0	0	0	0	0	0	0	தீர்ப்பு
adjunct	0	0	0	0	0	0	1	0	0	0	துணை
adjust	0	0	0	0	0	0	0	0	0	0	சரிசெய்ய
adjustment	0	0	0	0	0	0	0	0	0	0	சரிசெய்தல்
adjuvant	0	0	0	0	0	0	0	0	0	0	துணை
administer	0	0	0	0	0	0	0	0	0	0	நிர்வாகி
administration	0	0	0	0	0	0	0	0	0	0	நிர்வாகம்
administrative	0	0	0	0	0	0	0	0	0	1	நிர்வாக
admirable	0	0	0	0	1	0	1	0	0	1	போற்றத்தக்கது
admiral	0	0	0	0	0	0	1	0	0	1	அட்மிரல்
admiralty	0	0	0	0	0	0	0	0	0	0	அட்மிரல்டி
admiration	0	0	0	0	1	0	1	0	0	1	போற்றுதல்
admire	0	0	0	0	0	0	1	0	0	1	ரசிக்கிறது
admirer	0	0	0	0	0	0	1	0	0	0	அபிமானி
admissibility	0	0	0	0	0	0	0	0	0	0	ஏற்றுக்கொள்ளக்கூடிய தன்மை
admissible	0	0	0	0	0	0	1	0	0	1	ஏற்றுக்கொள்ளத்தக்கது
admission	0	0	0	0	0	0	0	0	0	0	சேர்க்கை
admit	0	0	0	0	0	0	0	0	0	0	ஒப்புக்கொள்
admittance	0	0	0	0	0	0	0	0	0	0	சேர்க்கை
admitted	0	0	0	0	0	0	0	0	0	0	ஒப்புக்கொண்டார்
admitting	0	0	0	0	0	0	0	0	0	0	ஒப்புக்கொள்கிறேன்
admixture	0	0	0	0	0	0	0	0	0	0	கலவை
admonition	0	0	0	1	0	1	0	0	0	0	அறிவுரை
ado	0	0	0	0	0	0	0	0	0	0	அதோ
adobe	0	0	0	0	0	0	0	0	0	0	அடோப்
adolescence	0	0	0	0	0	0	0	0	0	0	இளமைப் பருவம்
adolescent	0	0	0	0	0	0	0	0	0	0	பருவ வயது
adopt	0	0	0	0	0	0	0	0	0	0	தத்தெடுக்க
adoption	0	0	0	0	0	0	0	0	0	0	தத்தெடுப்பு
adorable	0	0	0	0	1	0	1	0	0	0	அபிமானமானது
adoration	0	0	0	0	1	0	1	0	0	1	வழிபாடு
adore	0	1	0	0	1	0	1	0	0	1	வணங்கு
adorn	0	0	0	0	0	0	0	0	0	0	அலங்கரிக்க
adornment	0	0	0	0	0	0	0	0	0	0	அலங்காரம்
adrift	0	1	0	1	0	1	0	1	0	0	அலைந்து திரிதல்
adult	0	0	0	0	0	0	0	0	0	0	வயது வந்தோர்
adulterated	0	0	0	0	0	1	0	0	0	0	கலப்படம்
adultery	0	0	1	0	0	1	0	1	0	0	விபச்சாரம்
advance	0	1	0	1	1	0	1	0	1	0	முன்கூட்டியே
advanced	0	0	0	0	0	0	1	0	0	0	மேம்படுத்தபட்ட
advancement	0	0	0	0	0	0	1	0	0	0	முன்னேற்றம்
advancing	0	0	0	0	0	0	0	0	0	0	முன்னேறுகிறது
advantage	0	0	0	0	0	0	1	0	0	0	நன்மை
advantageous	0	0	0	0	0	0	1	0	0	0	அனுகூலமான
advent	0	1	0	0	1	0	1	0	0	1	வருகை
adventure	0	1	0	0	0	0	1	0	0	0	சாகசம்
adventurer	0	0	0	0	0	0	0	0	0	0	சாகசக்காரர்
adventurous	0	0	0	0	0	0	1	0	0	0	துணிச்சலான
adversary	1	0	0	0	0	1	0	0	0	0	எதிரி
adverse	1	0	1	1	0	1	0	1	0	0	பாதகமான
adversity	1	0	0	1	0	1	0	1	0	0	துன்பம்
advertise	0	0	0	0	0	0	0	0	0	0	விளம்பரம்
advertisement	0	0	0	0	0	0	0	0	0	0	விளம்பரம்
advice	0	0	0	0	0	0	0	0	0	1	ஆலோசனை
advisable	0	0	0	0	0	0	1	0	0	1	அறிவுறுத்தப்படுகிறது
advise	0	0	0	0	0	0	1	0	0	1	ஆலோசனை
advised	0	0	0	0	0	0	0	0	0	1	அறிவுறுத்தினார்
advisement	0	0	0	0	0	0	0	0	0	0	ஆலோசனை
adviser	0	0	0	0	0	0	1	0	0	1	ஆலோசகர்
advocacy	1	1	0	0	1	0	1	0	0	1	வக்காலத்து
advocate	0	0	0	0	0	0	0	0	0	1	வழக்கறிஞர்
aegis	0	0	0	0	0	0	0	0	0	0	ஏஜிஸ்
aeration	0	0	0	0	0	0	0	0	0	0	காற்றோட்டம்
aerial	0	0	0	0	0	0	0	0	0	0	வான்வழி
aerodrome	0	0	0	0	0	0	0	0	0	0	விமான நிலையம்
aerodynamics	0	0	0	0	0	0	0	0	0	0	காற்றியக்கவியல்
aeronautics	0	0	0	0	0	0	0	0	0	0	ஏரோநாட்டிக்ஸ்
aeroplane	0	0	0	0	0	0	0	0	0	0	விமானம்
aesthetic	0	0	0	0	0	0	1	0	0	0	அழகியல்
aesthetics	0	0	0	0	1	0	1	0	0	0	அழகியல்
aetiology	0	0	0	0	0	0	0	0	0	0	நோய்க்குறியியல்
afar	0	0	0	0	0	0	0	0	0	0	தொலைவில்
affable	0	0	0	0	0	0	1	0	0	0	அன்பான
affair	0	0	0	0	0	0	0	0	0	0	விவகாரம்
affecting	0	0	0	0	0	0	0	0	0	0	பாதிக்கும்
affection	0	0	0	0	1	0	1	0	0	1	பாசம்
affections	0	0	0	0	0	0	0	0	0	0	பாசங்கள்
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	வாக்குமூலம்
affiliated	0	0	0	0	0	0	1	0	0	0	இணைந்த
affiliation	0	0	0	0	0	0	0	0	0	0	இணைப்பு
affinity	0	0	0	0	0	0	0	0	0	0	தொடர்பு
affirm	0	0	0	0	0	0	1	0	0	1	உறுதிபடுத்தவும்
affirmation	0	0	0	0	0	0	1	0	0	0	உறுதிமொழி
affirmative	0	0	0	0	0	0	1	0	0	0	உறுதியான
affirmatively	0	0	0	0	0	0	1	0	0	1	உறுதியுடன்
affix	0	0	0	0	0	0	0	0	0	0	இணைப்பு
afflict	0	0	0	1	0	1	0	1	0	0	துன்புறுத்துகின்றன
afflicted	0	0	0	0	0	1	0	0	0	0	பாதிக்கப்பட்ட
affliction	0	0	1	1	0	1	0	1	0	0	துன்பம்
affluence	0	0	0	0	1	0	1	0	0	0	செல்வச் செழிப்பு
affluent	0	0	0	0	0	0	1	0	0	0	வசதி படைத்த
afford	0	0	0	0	0	0	1	0	0	0	வாங்க
affront	1	0	1	1	0	1	0	1	1	0	அவமதிப்பு
afield	0	0	0	0	0	0	0	0	0	0	வெளியில்
afore	0	0	0	0	0	0	0	0	0	0	முன்
aforementioned	0	0	0	0	0	0	0	0	0	0	மேற்கூறிய
aforesaid	0	0	0	0	0	0	0	0	0	0	மேற்கூறிய
afraid	0	0	0	1	0	1	0	0	0	0	பயம்
afresh	0	0	0	0	0	0	0	0	0	0	புதிதாக
aft	0	0	0	0	0	0	0	0	0	0	பின்
aftermath	1	0	1	1	0	1	0	1	0	0	பின்விளைவு
afternoon	0	0	0	0	0	0	0	0	0	0	பிற்பகல்
aftertaste	0	0	0	0	0	1	0	0	0	0	பின் சுவை
afterthought	0	0	0	0	0	0	0	0	0	0	பின் சிந்தனை
aga	0	0	0	1	0	0	1	0	0	1	ஆகா
agate	0	0	0	0	0	0	0	0	0	0	அகேட்
age	0	0	0	0	0	0	0	0	0	0	வயது
aged	0	0	0	0	0	0	0	0	0	0	வயதான
agency	0	0	0	0	0	0	0	0	0	0	நிறுவனம்
agent	0	0	0	0	0	0	0	0	0	0	முகவர்
agglomeration	0	0	0	0	0	0	0	0	0	0	திரட்டுதல்
aggravated	1	0	0	0	0	1	0	0	0	0	மோசமடைந்தது
aggravating	1	0	0	0	0	1	0	1	0	0	மோசமாக்கும்
aggravation	1	0	1	0	0	1	0	0	0	0	தீவிரமடைதல்
aggregate	0	0	0	0	0	0	0	0	0	0	மதிப்பீட்டு
aggregation	0	0	0	0	0	0	0	0	0	0	திரட்டுதல்
aggression	1	0	0	1	0	1	0	0	0	0	ஆக்கிரமிப்பு
aggressive	1	0	0	1	0	1	0	0	0	0	முரட்டுத்தனமான
aggressor	1	0	0	1	0	1	0	0	0	0	ஆக்கிரமிப்பாளர்
aghast	0	0	1	1	0	1	0	0	1	0	திகைப்பு
agile	0	0	0	0	0	0	1	0	0	0	சுறுசுறுப்பான
agility	0	0	0	0	0	0	1	0	0	0	சுறுசுறுப்பு
agitated	1	0	0	0	0	1	0	0	0	0	கிளர்ந்தெழுந்தார்
agitation	1	0	0	0	0	1	0	0	0	0	கிளர்ச்சி
agnostic	0	0	0	0	0	0	0	0	0	0	அஞ்ஞானவாதி
ago	0	0	0	0	0	0	0	0	0	0	முன்பு
agonizing	0	0	0	1	0	1	0	0	0	0	வேதனையளிக்கிறது
agony	1	0	0	1	0	1	0	1	0	0	வேதனை
agree	0	0	0	0	0	0	1	0	0	0	ஒப்புக்கொள்
agreeable	0	0	0	0	0	0	1	0	0	1	ஏற்றுக்கொள்ளத்தக்கது
agreed	0	0	0	0	0	0	1	0	0	1	ஒப்புக்கொண்டார்
agreeing	0	0	0	0	0	0	1	0	0	1	ஒப்புக்கொள்கிறேன்
agreement	0	0	0	0	0	0	1	0	0	1	உடன்பாடு
agricultural	0	0	0	0	0	0	0	0	0	0	விவசாய
agriculture	0	0	0	0	0	0	1	0	0	0	வேளாண்மை
aground	0	0	0	0	0	1	0	0	0	0	நிலத்தடி
agua	0	0	0	0	0	0	0	0	0	0	அகுவா
ahead	0	0	0	0	0	0	1	0	0	0	முன்னால்
aid	0	0	0	0	0	0	1	0	0	0	உதவி
aiding	0	0	0	0	0	0	1	0	0	0	உதவி
ail	0	0	0	0	0	1	0	1	0	0	நோய்
ailing	0	0	0	1	0	1	0	1	0	0	நோய்வாய்ப்பட்ட
ailment	0	0	0	0	0	0	0	0	0	0	நோய்
aim	0	0	0	0	0	0	0	0	0	0	நோக்கம்
aimless	0	0	0	0	0	1	0	0	0	0	இலக்கற்ற
air	0	0	0	0	0	0	0	0	0	0	காற்று
airbag	0	0	0	0	0	0	0	0	0	0	காற்றுப்பை
airlift	0	0	0	0	0	0	0	0	0	0	விமானம்
airline	0	0	0	0	0	0	0	0	0	0	விமான நிறுவனம்
airman	0	0	0	0	0	0	0	0	0	0	விமானப்படை வீரர்
airplane	0	0	0	0	0	0	0	0	0	0	விமானம்
airport	0	1	0	0	0	0	0	0	0	0	விமான நிலையம்
airs	0	0	1	0	0	1	0	0	0	0	ஒளிபரப்பு
airship	0	0	0	0	0	0	0	0	0	0	ஆகாய கப்பல்
aisle	0	0	0	0	0	0	0	0	0	0	இடைகழி
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	அஜர்
akin	0	0	0	0	0	0	0	0	0	1	ஒத்த
alabaster	0	0	0	0	0	0	1	0	0	0	அலபாஸ்டர்
alarm	0	0	0	1	0	1	0	0	1	0	எச்சரிக்கை
alarming	0	0	0	1	0	1	0	0	1	0	எச்சரிக்கை
alb	0	0	0	0	0	0	0	0	0	1	ஆல்ப்
album	0	0	0	0	0	0	0	0	0	0	ஆல்பம்
alchemy	0	0	0	0	0	0	0	0	0	0	ரசவாதம்
alcohol	0	0	0	0	0	0	0	0	0	0	மது
alcoholism	1	0	1	1	0	1	0	1	0	0	மதுப்பழக்கம்
alcove	0	0	0	0	0	0	0	0	0	0	அல்கோவ்
alert	0	0	0	0	0	0	0	0	0	0	எச்சரிக்கை
alertness	0	1	0	1	0	0	1	0	1	0	எச்சரிக்கை
alerts	0	1	0	1	0	0	0	0	1	0	எச்சரிக்கைகள்
alfalfa	0	0	0	0	0	0	0	0	0	0	பாசிப்பருப்பு
algebra	0	0	0	0	0	0	0	0	0	0	இயற்கணிதம்
algebraic	0	0	0	0	0	0	0	0	0	0	இயற்கணிதம்
algorithm	0	0	0	0	0	0	0	0	0	0	அல்காரிதம்
alibi	0	0	0	0	0	0	0	0	0	0	அலிபி
alien	0	0	1	1	0	1	0	0	0	0	அன்னிய
alienate	1	0	1	0	0	1	0	0	0	0	அந்நியப்படுத்த
alienated	0	0	0	0	0	1	0	1	0	0	அந்நியப்படுத்தப்பட்டது
alienation	1	0	1	1	0	1	0	1	0	0	அந்நியப்படுதல்
alight	0	0	0	0	0	0	0	0	0	0	இறங்கு
aligned	0	0	0	0	0	0	0	0	0	0	சீரமைக்கப்பட்டது
alignment	0	0	0	0	0	0	0	0	0	0	சீரமைப்பு
alike	0	0	0	0	0	0	0	0	0	0	ஒரே மாதிரியாக
alimentation	0	0	0	0	0	0	1	0	0	0	உணவூட்டல்
alimony	0	0	0	0	0	1	0	0	0	0	ஜீவனாம்சம்
aliquot	0	0	0	0	0	0	0	0	0	0	அலிகோட்
alive	0	1	0	0	1	0	1	0	0	1	உயிருடன்
alkali	0	0	0	0	0	0	0	0	0	0	காரம்
alkaloids	0	0	0	0	0	0	0	0	0	0	ஆல்கலாய்டுகள்
allay	0	0	0	0	0	0	1	0	0	0	குறைக்க
allegation	1	0	0	0	0	1	0	0	0	0	குற்றச்சாட்டு
allege	0	0	0	0	0	1	0	0	0	0	குற்றம் சாட்டுகின்றனர்
alleged	0	0	0	0	0	0	0	0	0	0	கூறப்படும்
allegiance	0	0	0	0	0	0	1	0	0	1	விசுவாசம்
allegorical	0	0	0	0	0	0	0	0	0	0	உருவகமான
allegory	0	0	0	0	0	0	0	0	0	0	உருவகம்
allegro	0	0	0	0	0	0	1	0	0	0	அலெக்ரோ
alleviate	0	0	0	0	0	0	1	0	0	0	தணிக்க
alleviation	0	0	0	0	0	0	1	0	0	0	தணிப்பு
alley	0	0	0	0	0	0	0	0	0	0	சந்து
alliance	0	0	0	0	0	0	0	0	0	1	கூட்டணி
allied	0	0	0	0	0	0	1	0	0	1	கூட்டணி
alligator	0	0	0	0	0	0	0	0	0	0	முதலை
allocate	0	0	0	0	0	0	0	0	0	0	ஒதுக்கீடு
allocation	0	0	0	0	0	0	0	0	0	0	ஒதுக்கீடு
allot	0	0	0	0	0	0	0	0	0	0	ஒதுக்கீடு
allotment	0	0	0	0	0	0	0	0	0	0	ஒதுக்கீடு
allowable	0	0	0	0	0	0	1	0	0	0	அனுமதிக்கக்கூடியது
allowance	0	0	0	0	0	0	0	0	0	0	கொடுப்பனவு
allowed	0	0	0	0	0	0	0	0	0	0	அனுமதிக்கப்பட்டது
alloy	0	0	0	0	0	0	0	0	0	0	கலவை
allure	0	1	0	0	1	0	1	0	1	0	கவர்ச்சி
alluring	0	0	0	0	0	0	1	0	0	0	வசீகரிக்கும்
allusion	0	0	0	0	0	0	0	0	0	0	குறிப்பு
alluvial	0	0	0	0	0	0	0	0	0	0	வண்டல்
ally	0	0	0	0	0	0	1	0	0	1	கூட்டாளி
almanac	0	0	0	0	0	0	0	0	0	0	பஞ்சாங்கம்
