English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Japanese Word
achievement	0	1	0	0	1	0	1	0	0	1	業績
aching	0	0	0	0	0	1	0	1	0	0	痛む
acid	0	0	0	0	0	1	0	0	0	0	酸
acidity	0	0	0	0	0	0	0	0	0	0	酸度
acknowledge	0	0	0	0	0	0	0	0	0	0	認めます
acknowledged	0	0	0	0	0	0	0	0	0	0	認めた
acknowledgment	0	0	0	0	0	0	1	0	0	0	了承
acme	0	0	0	0	0	0	0	0	0	0	アクメ
acoustic	0	0	0	0	0	0	0	0	0	0	音響
acoustics	0	0	0	0	0	0	0	0	0	0	音響
acquaint	0	0	0	0	0	0	0	0	0	0	知り合い
acquaintance	0	0	0	0	0	0	0	0	0	0	知り合い
acquainted	0	0	0	0	0	0	0	0	0	0	知り合い
acquiescence	0	0	0	0	0	0	0	0	0	0	黙認
acquire	0	0	0	0	0	0	1	0	0	0	取得
acquiring	0	1	0	0	0	0	1	0	0	0	取得
acquisition	0	0	0	0	0	0	0	0	0	0	取得
acquisitions	0	0	0	0	0	0	0	0	0	0	買収
acreage	0	0	0	0	0	0	0	0	0	0	面積
acres	0	0	0	0	0	0	0	0	0	0	エーカー
acrobat	0	0	0	1	1	0	1	0	0	1	アクロバット
act	0	0	0	0	0	0	0	0	0	0	行為
acting	0	0	0	0	0	0	0	0	0	0	演技
action	0	0	0	0	0	0	1	0	0	0	アクション
actionable	1	0	1	0	0	1	0	0	0	0	実行可能
active	0	0	0	0	0	0	0	0	0	0	アクティブ
activity	0	0	0	0	0	0	0	0	0	0	アクティビティ
actor	0	0	0	0	0	0	0	0	0	0	俳優
actual	0	0	0	0	0	0	1	0	0	0	実際
actuality	0	0	0	0	0	0	0	0	0	0	現実
actuary	0	0	0	0	0	0	0	0	0	0	アクチュアリー
acuity	0	0	0	0	0	0	1	0	0	0	視力
acumen	0	0	0	0	0	0	1	0	0	0	洞察力
acupuncture	0	0	0	0	0	0	0	0	0	0	鍼
acutely	0	0	0	0	0	0	0	0	0	0	急に
adage	0	0	0	0	0	0	0	0	0	0	格言
adamant	0	0	0	0	0	0	0	0	0	0	断固たる
adapt	0	0	0	0	0	0	1	0	0	0	適応する
adaptable	0	0	0	0	0	0	1	0	0	0	適応可能な
add	0	0	0	0	0	0	0	0	0	0	追加
added	0	0	0	0	0	0	0	0	0	0	追加した
addendum	0	0	0	0	0	0	0	0	0	0	補遺
adder	1	0	1	1	0	1	0	1	0	0	加算器
addiction	0	0	0	0	0	1	0	0	0	0	中毒
addition	0	0	0	0	0	0	0	0	0	0	添加
additional	0	0	0	0	0	0	0	0	0	0	追加
additive	0	0	0	0	0	0	0	0	0	0	添加剤
address	0	0	0	0	0	0	0	0	0	0	住所
addressee	0	0	0	0	0	0	0	0	0	0	宛名
addresses	0	1	0	0	0	0	1	0	0	0	住所
adept	0	0	0	0	0	0	1	0	0	0	達人
adequacy	0	0	0	0	0	0	1	0	0	0	妥当性
adequate	0	0	0	0	0	0	0	0	0	0	適切
adhere	0	0	0	0	0	0	0	0	0	0	遵守する
adherence	0	0	0	0	0	0	0	0	0	0	遵守
adherent	0	0	0	0	0	0	0	0	0	0	固執する
adhering	0	0	0	0	0	0	0	0	0	1	付着している
adhesion	0	0	0	0	0	0	0	0	0	0	接着力
adhesive	0	0	0	0	0	0	0	0	0	0	接着剤
adieu	0	0	0	0	0	0	0	0	0	0	さようなら
adipose	0	0	0	0	0	1	0	0	0	0	脂肪
adjacency	0	0	0	0	0	0	0	0	0	0	隣接
adjacent	0	0	0	0	0	0	0	0	0	0	隣接
adjective	0	0	0	0	0	0	0	0	0	0	形容詞
adjoining	0	0	0	0	0	0	0	0	0	0	隣接
adjourn	0	0	0	0	0	0	0	0	0	0	休会する
adjournment	0	0	0	0	0	0	0	0	0	0	延期
adjudicate	0	0	0	1	0	1	0	0	0	0	裁く
adjudication	0	0	0	0	0	0	0	0	0	0	裁定
adjunct	0	0	0	0	0	0	1	0	0	0	付属品
adjust	0	0	0	0	0	0	0	0	0	0	調整
adjustment	0	0	0	0	0	0	0	0	0	0	調整
adjuvant	0	0	0	0	0	0	0	0	0	0	アジュバント
administer	0	0	0	0	0	0	0	0	0	0	管理する
administration	0	0	0	0	0	0	0	0	0	0	管理
administrative	0	0	0	0	0	0	0	0	0	1	行政
admirable	0	0	0	0	1	0	1	0	0	1	立派な
admiral	0	0	0	0	0	0	1	0	0	1	提督
admiralty	0	0	0	0	0	0	0	0	0	0	アドミラルティ
admiration	0	0	0	0	1	0	1	0	0	1	感嘆
admire	0	0	0	0	0	0	1	0	0	1	憧れ
admirer	0	0	0	0	0	0	1	0	0	0	賛美者
admissibility	0	0	0	0	0	0	0	0	0	0	許容性
admissible	0	0	0	0	0	0	1	0	0	1	許容できる
admission	0	0	0	0	0	0	0	0	0	0	入場料
admit	0	0	0	0	0	0	0	0	0	0	認める
admittance	0	0	0	0	0	0	0	0	0	0	アドミタンス
admitted	0	0	0	0	0	0	0	0	0	0	認めた
admitting	0	0	0	0	0	0	0	0	0	0	認める
admixture	0	0	0	0	0	0	0	0	0	0	混合物
admonition	0	0	0	1	0	1	0	0	0	0	訓戒
ado	0	0	0	0	0	0	0	0	0	0	騒ぎ
adobe	0	0	0	0	0	0	0	0	0	0	アドビ
adolescence	0	0	0	0	0	0	0	0	0	0	思春期
adolescent	0	0	0	0	0	0	0	0	0	0	思春期
adopt	0	0	0	0	0	0	0	0	0	0	採用
adoption	0	0	0	0	0	0	0	0	0	0	可決
adorable	0	0	0	0	1	0	1	0	0	0	愛らしい
adoration	0	0	0	0	1	0	1	0	0	1	礼拝
adore	0	1	0	0	1	0	1	0	0	1	崇拝します
adorn	0	0	0	0	0	0	0	0	0	0	飾る
adornment	0	0	0	0	0	0	0	0	0	0	装飾品
adrift	0	1	0	1	0	1	0	1	0	0	漂流
adult	0	0	0	0	0	0	0	0	0	0	大人
adulterated	0	0	0	0	0	1	0	0	0	0	粗悪品
adultery	0	0	1	0	0	1	0	1	0	0	姦通
advance	0	1	0	1	1	0	1	0	1	0	前進
advanced	0	0	0	0	0	0	1	0	0	0	高度
advancement	0	0	0	0	0	0	1	0	0	0	アドバンス
advancing	0	0	0	0	0	0	0	0	0	0	前進
advantage	0	0	0	0	0	0	1	0	0	0	アドバンテージ
advantageous	0	0	0	0	0	0	1	0	0	0	有利
advent	0	1	0	0	1	0	1	0	0	1	出現
adventure	0	1	0	0	0	0	1	0	0	0	冒険
adventurer	0	0	0	0	0	0	0	0	0	0	冒険家
adventurous	0	0	0	0	0	0	1	0	0	0	冒険的な
adversary	1	0	0	0	0	1	0	0	0	0	敵対者
adverse	1	0	1	1	0	1	0	1	0	0	不利な
adversity	1	0	0	1	0	1	0	1	0	0	逆境
advertise	0	0	0	0	0	0	0	0	0	0	宣伝する
advertisement	0	0	0	0	0	0	0	0	0	0	広告
advice	0	0	0	0	0	0	0	0	0	1	アドバイス
advisable	0	0	0	0	0	0	1	0	0	1	お勧め
advise	0	0	0	0	0	0	1	0	0	1	助言する
advised	0	0	0	0	0	0	0	0	0	1	助言した
advisement	0	0	0	0	0	0	0	0	0	0	忠告
adviser	0	0	0	0	0	0	1	0	0	1	顧問
advocacy	1	1	0	0	1	0	1	0	0	1	擁護
advocate	0	0	0	0	0	0	0	0	0	1	提唱する
aegis	0	0	0	0	0	0	0	0	0	0	イージス
aeration	0	0	0	0	0	0	0	0	0	0	エアレーション
aerial	0	0	0	0	0	0	0	0	0	0	空中
aerodrome	0	0	0	0	0	0	0	0	0	0	飛行場
aerodynamics	0	0	0	0	0	0	0	0	0	0	空気力学
aeronautics	0	0	0	0	0	0	0	0	0	0	航空学
aeroplane	0	0	0	0	0	0	0	0	0	0	飛行機
aesthetic	0	0	0	0	0	0	1	0	0	0	美的
aesthetics	0	0	0	0	1	0	1	0	0	0	美学
aetiology	0	0	0	0	0	0	0	0	0	0	病因
afar	0	0	0	0	0	0	0	0	0	0	遠く
affable	0	0	0	0	0	0	1	0	0	0	愛嬌のある
affair	0	0	0	0	0	0	0	0	0	0	事件、出来事
affecting	0	0	0	0	0	0	0	0	0	0	影響
affection	0	0	0	0	1	0	1	0	0	1	愛情
affections	0	0	0	0	0	0	0	0	0	0	愛情
affiche	0	0	0	0	0	0	0	0	0	0	アフィシェ
affidavit	0	0	0	0	0	0	0	0	0	0	宣誓供述書
affiliated	0	0	0	0	0	0	1	0	0	0	提携している
affiliation	0	0	0	0	0	0	0	0	0	0	所属
affinity	0	0	0	0	0	0	0	0	0	0	親和性
affirm	0	0	0	0	0	0	1	0	0	1	肯定する
affirmation	0	0	0	0	0	0	1	0	0	0	肯定
affirmative	0	0	0	0	0	0	1	0	0	0	肯定的
affirmatively	0	0	0	0	0	0	1	0	0	1	肯定的に
affix	0	0	0	0	0	0	0	0	0	0	接辞
afflict	0	0	0	1	0	1	0	1	0	0	苦しめる
afflicted	0	0	0	0	0	1	0	0	0	0	苦しんだ
affliction	0	0	1	1	0	1	0	1	0	0	苦悩
affluence	0	0	0	0	1	0	1	0	0	0	豊かさ
affluent	0	0	0	0	0	0	1	0	0	0	裕福な
afford	0	0	0	0	0	0	1	0	0	0	余裕ある
affront	1	0	1	1	0	1	0	1	1	0	侮辱
afield	0	0	0	0	0	0	0	0	0	0	遠く
afore	0	0	0	0	0	0	0	0	0	0	前に
aforementioned	0	0	0	0	0	0	0	0	0	0	前述の
aforesaid	0	0	0	0	0	0	0	0	0	0	前述の
afraid	0	0	0	1	0	1	0	0	0	0	恐れ
afresh	0	0	0	0	0	0	0	0	0	0	あらためて
aft	0	0	0	0	0	0	0	0	0	0	後方
aftermath	1	0	1	1	0	1	0	1	0	0	余波
afternoon	0	0	0	0	0	0	0	0	0	0	午後
aftertaste	0	0	0	0	0	1	0	0	0	0	後味
afterthought	0	0	0	0	0	0	0	0	0	0	結果論
aga	0	0	0	1	0	0	1	0	0	1	アガ
agate	0	0	0	0	0	0	0	0	0	0	瑪瑙
age	0	0	0	0	0	0	0	0	0	0	年
aged	0	0	0	0	0	0	0	0	0	0	高齢者
agency	0	0	0	0	0	0	0	0	0	0	エージェンシー
agent	0	0	0	0	0	0	0	0	0	0	エージェント
agglomeration	0	0	0	0	0	0	0	0	0	0	凝集
aggravated	1	0	0	0	0	1	0	0	0	0	悪化した
aggravating	1	0	0	0	0	1	0	1	0	0	悪化させる
aggravation	1	0	1	0	0	1	0	0	0	0	悪化
aggregate	0	0	0	0	0	0	0	0	0	0	集計
aggregation	0	0	0	0	0	0	0	0	0	0	集計
aggression	1	0	0	1	0	1	0	0	0	0	侵略
aggressive	1	0	0	1	0	1	0	0	0	0	攻撃的
aggressor	1	0	0	1	0	1	0	0	0	0	侵略者
aghast	0	0	1	1	0	1	0	0	1	0	びっくり
agile	0	0	0	0	0	0	1	0	0	0	アジャイル
agility	0	0	0	0	0	0	1	0	0	0	機敏
agitated	1	0	0	0	0	1	0	0	0	0	動揺した
agitation	1	0	0	0	0	1	0	0	0	0	攪拌
agnostic	0	0	0	0	0	0	0	0	0	0	不可知論者
ago	0	0	0	0	0	0	0	0	0	0	前に
agonizing	0	0	0	1	0	1	0	0	0	0	苦しむ
agony	1	0	0	1	0	1	0	1	0	0	苦痛
agree	0	0	0	0	0	0	1	0	0	0	同意
agreeable	0	0	0	0	0	0	1	0	0	1	納得
agreed	0	0	0	0	0	0	1	0	0	1	同意した
agreeing	0	0	0	0	0	0	1	0	0	1	同意する
agreement	0	0	0	0	0	0	1	0	0	1	合意
agricultural	0	0	0	0	0	0	0	0	0	0	農業
agriculture	0	0	0	0	0	0	1	0	0	0	農業
aground	0	0	0	0	0	1	0	0	0	0	座礁
agua	0	0	0	0	0	0	0	0	0	0	アグア
ahead	0	0	0	0	0	0	1	0	0	0	先に
aid	0	0	0	0	0	0	1	0	0	0	援助
aiding	0	0	0	0	0	0	1	0	0	0	助ける
ail	0	0	0	0	0	1	0	1	0	0	よくない
ailing	0	0	0	1	0	1	0	1	0	0	病んでいる
ailment	0	0	0	0	0	0	0	0	0	0	病気
aim	0	0	0	0	0	0	0	0	0	0	標的
aimless	0	0	0	0	0	1	0	0	0	0	あてもなく
air	0	0	0	0	0	0	0	0	0	0	空気
airbag	0	0	0	0	0	0	0	0	0	0	エアバッグ
airlift	0	0	0	0	0	0	0	0	0	0	空輸
airline	0	0	0	0	0	0	0	0	0	0	航空会社
airman	0	0	0	0	0	0	0	0	0	0	エアマン
airplane	0	0	0	0	0	0	0	0	0	0	飛行機
airport	0	1	0	0	0	0	0	0	0	0	空港
airs	0	0	1	0	0	1	0	0	0	0	放映
airship	0	0	0	0	0	0	0	0	0	0	飛行船
aisle	0	0	0	0	0	0	0	0	0	0	通路
ait	0	0	0	0	0	0	0	0	0	0	エイト
ajar	0	0	0	0	0	0	0	0	0	0	半開き
akin	0	0	0	0	0	0	0	0	0	1	同族の
alabaster	0	0	0	0	0	0	1	0	0	0	アラバスター
alarm	0	0	0	1	0	1	0	0	1	0	警報
alarming	0	0	0	1	0	1	0	0	1	0	憂慮すべき
alb	0	0	0	0	0	0	0	0	0	1	アルブ
album	0	0	0	0	0	0	0	0	0	0	アルバム
alchemy	0	0	0	0	0	0	0	0	0	0	錬金術
alcohol	0	0	0	0	0	0	0	0	0	0	アルコール
alcoholism	1	0	1	1	0	1	0	1	0	0	アルコール依存症
alcove	0	0	0	0	0	0	0	0	0	0	アルコーブ
alert	0	0	0	0	0	0	0	0	0	0	アラート
alertness	0	1	0	1	0	0	1	0	1	0	覚醒
alerts	0	1	0	1	0	0	0	0	1	0	アラート
alfalfa	0	0	0	0	0	0	0	0	0	0	アルファルファ
algebra	0	0	0	0	0	0	0	0	0	0	代数
algebraic	0	0	0	0	0	0	0	0	0	0	代数的
algorithm	0	0	0	0	0	0	0	0	0	0	アルゴリズム
alibi	0	0	0	0	0	0	0	0	0	0	アリバイ
alien	0	0	1	1	0	1	0	0	0	0	エイリアン
alienate	1	0	1	0	0	1	0	0	0	0	疎外する
alienated	0	0	0	0	0	1	0	1	0	0	疎外された
alienation	1	0	1	1	0	1	0	1	0	0	疎外
alight	0	0	0	0	0	0	0	0	0	0	降りる
aligned	0	0	0	0	0	0	0	0	0	0	整列
alignment	0	0	0	0	0	0	0	0	0	0	アラインメント
alike	0	0	0	0	0	0	0	0	0	0	似ている
alimentation	0	0	0	0	0	0	1	0	0	0	栄養補給
alimony	0	0	0	0	0	1	0	0	0	0	慰謝料
aliquot	0	0	0	0	0	0	0	0	0	0	アリコート
alive	0	1	0	0	1	0	1	0	0	1	生きている
alkali	0	0	0	0	0	0	0	0	0	0	アルカリ
alkaloids	0	0	0	0	0	0	0	0	0	0	アルカロイド
allay	0	0	0	0	0	0	1	0	0	0	和らげる
allegation	1	0	0	0	0	1	0	0	0	0	申し立て
allege	0	0	0	0	0	1	0	0	0	0	主張する
alleged	0	0	0	0	0	0	0	0	0	0	申し立てられた
allegiance	0	0	0	0	0	0	1	0	0	1	忠誠
allegorical	0	0	0	0	0	0	0	0	0	0	寓話的な
allegory	0	0	0	0	0	0	0	0	0	0	アレゴリー
allegro	0	0	0	0	0	0	1	0	0	0	アレグロ
alleviate	0	0	0	0	0	0	1	0	0	0	緩和する
alleviation	0	0	0	0	0	0	1	0	0	0	軽減
alley	0	0	0	0	0	0	0	0	0	0	路地
alliance	0	0	0	0	0	0	0	0	0	1	アライアンス
allied	0	0	0	0	0	0	1	0	0	1	同盟した
alligator	0	0	0	0	0	0	0	0	0	0	アリゲーター
allocate	0	0	0	0	0	0	0	0	0	0	割り当てる
allocation	0	0	0	0	0	0	0	0	0	0	割り当て
allot	0	0	0	0	0	0	0	0	0	0	割り当てる
allotment	0	0	0	0	0	0	0	0	0	0	割当
allowable	0	0	0	0	0	0	1	0	0	0	許容できる
allowance	0	0	0	0	0	0	0	0	0	0	手当
allowed	0	0	0	0	0	0	0	0	0	0	許可された
alloy	0	0	0	0	0	0	0	0	0	0	合金
allure	0	1	0	0	1	0	1	0	1	0	魅力
alluring	0	0	0	0	0	0	1	0	0	0	魅力的な
allusion	0	0	0	0	0	0	0	0	0	0	ほのめかし
alluvial	0	0	0	0	0	0	0	0	0	0	沖積
ally	0	0	0	0	0	0	1	0	0	1	味方
almanac	0	0	0	0	0	0	0	0	0	0	アルマナック
almighty	0	0	0	0	0	0	1	0	0	0	全能
aloft	0	0	0	0	0	0	0	0	0	0	アロフト
aloha	0	1	0	0	1	0	1	0	0	0	アロハ
alongside	0	0	0	0	0	0	0	0	0	0	並んで
aloof	0	0	0	0	0	1	0	0	0	0	よそよそしい
aloud	0	0	0	0	0	0	0	0	0	0	大声で
alphabet	0	0	0	0	0	0	0	0	0	0	アルファベット
alphabetical	0	0	0	0	0	0	0	0	0	0	アルファベット順
altar	0	0	0	0	0	0	0	0	0	0	祭壇
alter	0	0	0	0	0	0	0	0	0	0	変更する
alteration	0	0	0	0	0	0	0	0	0	0	変更
altercation	1	0	0	0	0	1	0	0	0	0	口論
altered	0	0	0	0	0	0	0	0	0	0	変更されました
alternate	0	0	0	0	0	0	0	0	0	0	代わりの
alternative	0	0	0	0	0	0	0	0	0	0	別
altitude	0	0	0	0	0	0	0	0	0	0	高度
alto	0	0	0	0	0	0	0	0	0	0	アルト
altogether	0	0	0	0	0	0	0	0	0	0	全体的に
alumnus	0	0	0	0	0	0	0	0	0	0	卒業生
alveolar	0	0	0	0	0	0	0	0	0	0	肺胞
amalgam	0	0	0	0	0	0	0	0	0	0	アマルガム
amalgamation	0	0	0	0	0	0	0	0	0	0	合併
amass	0	0	0	0	0	0	0	0	0	0	集める
amateur	0	0	0	0	0	0	0	0	0	0	アマチュア
amaze	0	0	0	0	0	0	0	0	1	0	驚く
amazement	0	0	0	0	0	0	0	0	0	0	驚き
amazingly	0	0	0	0	1	0	1	0	1	0	驚くほど
ambassador	0	0	0	0	0	0	1	0	0	1	大使
amber	0	0	0	0	0	0	0	0	0	0	アンバー
ambient	0	0	0	0	0	0	0	0	0	0	周囲
ambiguity	0	0	0	0	0	0	0	0	0	0	あいまいさ
ambiguous	0	0	0	0	0	1	0	0	0	0	あいまいな
ambit	0	0	0	0	0	0	0	0	0	0	アンビット
ambition	0	1	0	0	1	0	1	0	0	1	野心
ambitious	0	0	0	0	0	0	0	0	0	0	野心的
ambulance	0	0	0	1	0	0	0	0	0	1	救急車
ambush	1	0	0	1	0	1	0	0	1	0	待ち伏せ
ameliorate	0	0	0	0	0	0	1	0	0	0	改善する
amen	0	0	0	0	1	0	1	0	0	1	アーメン
amenable	0	0	0	0	0	0	1	0	0	0	従順
amend	0	0	0	0	0	0	1	0	0	0	改める
amendment	0	0	0	0	0	0	0	0	0	0	修正
amends	0	0	0	0	0	0	1	0	0	0	修正する
amenity	0	0	0	0	0	0	1	0	0	0	アメニティ
amethyst	0	0	0	0	0	0	0	0	0	0	アメジスト
amiable	0	0	0	0	0	0	1	0	0	0	愛嬌のある
amicable	0	0	0	0	1	0	1	0	0	0	友好的
amid	0	0	0	0	0	0	0	0	0	0	真ん中
amidst	0	0	0	0	0	0	0	0	0	0	中に
ammonia	0	0	1	0	0	0	0	0	0	0	アンモニア
ammunition	0	0	0	0	0	0	0	0	0	0	弾薬
amnesia	0	0	0	0	0	1	0	0	0	0	健忘症
amnesty	0	0	0	0	1	0	1	0	0	0	恩赦
amorphous	0	0	0	0	0	0	0	0	0	0	まとまりのない
amortization	0	0	0	0	0	0	0	0	0	1	償却
amount	0	0	0	0	0	0	0	0	0	0	額
amour	0	1	0	0	1	0	1	0	0	1	情事
ampersand	0	0	0	0	0	0	0	0	0	0	アンパサンド
amphetamines	0	0	1	0	0	1	0	0	0	0	アンフェタミン
amphibian	0	0	0	0	0	0	0	0	0	0	両生類
amphibious	0	0	0	0	0	0	0	0	0	0	水陸両用
amphitheater	0	0	0	0	0	0	0	0	0	0	円形劇場
amplification	0	0	0	0	0	0	0	0	0	0	増幅
amplify	0	0	0	0	0	0	0	0	0	0	増幅する
amplitude	0	0	0	0	0	0	0	0	0	0	振幅
amply	0	0	0	0	0	0	0	0	0	0	十分に
amputation	0	0	0	0	0	0	0	0	0	0	切断
amulet	0	0	0	0	0	0	0	0	0	0	お守り
amuse	0	0	0	0	1	0	1	0	0	0	アミューズ
amused	0	0	0	0	1	0	1	0	0	0	面白がった
amusement	0	0	0	0	1	0	1	0	0	0	アミューズメント
amusing	0	0	0	0	1	0	1	0	0	0	面白い
ana	0	0	0	0	0	0	0	0	0	0	アナ
anaconda	0	0	1	1	0	1	0	0	0	0	アナコンダ
anaesthesia	0	0	0	0	0	0	0	0	0	0	麻酔
anaesthetic	0	0	0	0	0	0	0	0	0	0	麻酔薬
