English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Yiddish Word
accord	0	0	0	0	0	0	1	0	0	1	צוטיילן
accordance	0	0	0	0	0	0	0	0	0	0	לויט
accordion	0	0	0	0	0	0	0	0	0	0	אַקאָרדיאַן
account	0	0	0	0	0	0	0	0	0	1	חשבון
accountability	0	0	0	0	0	0	1	0	0	1	אַקאַונטאַביליטי
accountable	0	0	0	0	0	0	1	0	0	1	פאַראַנטוואָרטלעך
accountant	0	0	0	0	0	0	0	0	0	1	בוכהאַלטער
accounting	0	0	0	0	0	0	0	0	0	0	אַקאַונטינג
accounts	0	0	0	0	0	0	0	0	0	1	אַקאַונץ
accredited	0	0	0	0	0	0	1	0	0	1	אַקרעדיטיד
accretion	0	0	0	0	0	0	0	0	0	0	אַקרעשאַן
accrue	0	0	0	0	0	0	0	0	0	0	צוקומען
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	אָנקלייַבן
accumulation	0	0	0	0	0	0	0	0	0	0	אַקיומיאַליישאַן
accuracy	0	0	0	0	0	0	0	0	0	0	אַקיעראַסי
accurate	0	0	0	0	0	0	1	0	0	1	פּינטלעך
accursed	1	0	0	1	0	1	0	1	0	0	פארשאלטן
accusation	1	0	1	0	0	1	0	0	0	0	באַשולדיקונג
accusative	0	0	0	0	0	1	0	0	0	0	אַקיוזאַטיוו
accused	1	0	0	1	0	1	0	0	0	0	אָנגעקלאָגט
accuser	1	0	0	1	0	1	0	0	0	0	באַשולדיקן
accusing	1	0	0	1	0	1	0	0	0	0	באַשולדיקן
accustomed	0	0	0	0	0	0	0	0	0	0	צוגעוווינט
ace	0	0	0	0	0	0	1	0	0	0	מויז
acetic	0	0	0	0	0	0	0	0	0	0	אַסעטיק
ache	0	0	0	0	0	1	0	1	0	0	וויי
achieve	0	0	0	0	1	0	1	0	0	1	דערגרייכן
achievement	0	1	0	0	1	0	1	0	0	1	דערגרייה
aching	0	0	0	0	0	1	0	1	0	0	וויי טאָן
acid	0	0	0	0	0	1	0	0	0	0	זויער
acidity	0	0	0	0	0	0	0	0	0	0	אַסידאַטי
acknowledge	0	0	0	0	0	0	0	0	0	0	באַשטעטיקן
acknowledged	0	0	0	0	0	0	0	0	0	0	אנערקענט
acknowledgment	0	0	0	0	0	0	1	0	0	0	דערקענטעניש
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	אַקוסטיש
acoustics	0	0	0	0	0	0	0	0	0	0	אַקוסטיקס
acquaint	0	0	0	0	0	0	0	0	0	0	באַקענען
acquaintance	0	0	0	0	0	0	0	0	0	0	באַקאַנטער
acquainted	0	0	0	0	0	0	0	0	0	0	באַקאַנט
acquiescence	0	0	0	0	0	0	0	0	0	0	אַקווייסאַנס
acquire	0	0	0	0	0	0	1	0	0	0	קריגן
acquiring	0	1	0	0	0	0	1	0	0	0	אַקוויירינג
acquisition	0	0	0	0	0	0	0	0	0	0	אַקוואַזישאַן
acquisitions	0	0	0	0	0	0	0	0	0	0	אַקוואַזישאַנז
acreage	0	0	0	0	0	0	0	0	0	0	שטח
acres	0	0	0	0	0	0	0	0	0	0	ייקערז
acrobat	0	0	0	1	1	0	1	0	0	1	אַקראָבאַט
act	0	0	0	0	0	0	0	0	0	0	אַקט
acting	0	0	0	0	0	0	0	0	0	0	אַקטינג
action	0	0	0	0	0	0	1	0	0	0	קאַמף
actionable	1	0	1	0	0	1	0	0	0	0	אַקטיאָנאַבלע
active	0	0	0	0	0	0	0	0	0	0	אַקטיוו
activity	0	0	0	0	0	0	0	0	0	0	טעטיקייט
actor	0	0	0	0	0	0	0	0	0	0	אַקטיאָר
actual	0	0	0	0	0	0	1	0	0	0	פאַקטיש
actuality	0	0	0	0	0	0	0	0	0	0	פאַקט
actuary	0	0	0	0	0	0	0	0	0	0	אַקטואַרי
acuity	0	0	0	0	0	0	1	0	0	0	אַקיואַטי
acumen	0	0	0	0	0	0	1	0	0	0	אַקיומאַן
acupuncture	0	0	0	0	0	0	0	0	0	0	אַקיופּאַנגקטשער
acutely	0	0	0	0	0	0	0	0	0	0	אַקיוטלי
adage	0	0	0	0	0	0	0	0	0	0	אַדאַגע
adamant	0	0	0	0	0	0	0	0	0	0	שטרענג
adapt	0	0	0	0	0	0	1	0	0	0	אַדאַפּט זיך
adaptable	0	0	0	0	0	0	1	0	0	0	אַדאַפּטאַבאַל
add	0	0	0	0	0	0	0	0	0	0	לייג צו
added	0	0	0	0	0	0	0	0	0	0	צוגעגעבן
addendum	0	0	0	0	0	0	0	0	0	0	אַדענדום
adder	1	0	1	1	0	1	0	1	0	0	אַדער
addiction	0	0	0	0	0	1	0	0	0	0	אַדיקשאַן
addition	0	0	0	0	0	0	0	0	0	0	דערצו
additional	0	0	0	0	0	0	0	0	0	0	נאָך
additive	0	0	0	0	0	0	0	0	0	0	אַדאַטיוו
address	0	0	0	0	0	0	0	0	0	0	אַדרעס
addressee	0	0	0	0	0	0	0	0	0	0	אַדרעסירט
addresses	0	1	0	0	0	0	1	0	0	0	ווענדט זיך
adept	0	0	0	0	0	0	1	0	0	0	אַדעפּט
adequacy	0	0	0	0	0	0	1	0	0	0	אַדעקוואַטי
adequate	0	0	0	0	0	0	0	0	0	0	טויגן
adhere	0	0	0	0	0	0	0	0	0	0	אָנהאַלטן
adherence	0	0	0	0	0	0	0	0	0	0	אַדכיראַנס
adherent	0	0	0	0	0	0	0	0	0	0	אָנהענגער
adhering	0	0	0	0	0	0	0	0	0	1	אַדכירינג
adhesion	0	0	0	0	0	0	0	0	0	0	אַדכיזשאַן
adhesive	0	0	0	0	0	0	0	0	0	0	קלעפּיק
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	אַדאַפּאָוס
adjacency	0	0	0	0	0	0	0	0	0	0	שכיינישקייט
adjacent	0	0	0	0	0	0	0	0	0	0	שכייניש
adjective	0	0	0	0	0	0	0	0	0	0	אַדזשיקטיוו
adjoining	0	0	0	0	0	0	0	0	0	0	שכייניש
adjourn	0	0	0	0	0	0	0	0	0	0	פאַרהאַלטן
adjournment	0	0	0	0	0	0	0	0	0	0	פארשטאנד
adjudicate	0	0	0	1	0	1	0	0	0	0	באַרעכטיקן
adjudication	0	0	0	0	0	0	0	0	0	0	משפט
adjunct	0	0	0	0	0	0	1	0	0	0	אַדדזשונקט
adjust	0	0	0	0	0	0	0	0	0	0	סטרויערן
adjustment	0	0	0	0	0	0	0	0	0	0	אַדזשאַסטמאַנט
adjuvant	0	0	0	0	0	0	0	0	0	0	אַדדזשווואַנט
administer	0	0	0	0	0	0	0	0	0	0	פירן
administration	0	0	0	0	0	0	0	0	0	0	אַדמיניסטראַציע
administrative	0	0	0	0	0	0	0	0	0	1	אַדמיניסטראַטיווע
admirable	0	0	0	0	1	0	1	0	0	1	אַדמראַבאַל
admiral	0	0	0	0	0	0	1	0	0	1	אַדמיראַל
admiralty	0	0	0	0	0	0	0	0	0	0	אַדמיראַליטעט
admiration	0	0	0	0	1	0	1	0	0	1	אַדמעריישאַן
admire	0	0	0	0	0	0	1	0	0	1	באַווונדערן
admirer	0	0	0	0	0	0	1	0	0	0	פארערער
admissibility	0	0	0	0	0	0	0	0	0	0	אַדמיססאַביליטי
admissible	0	0	0	0	0	0	1	0	0	1	צונעמען
admission	0	0	0	0	0	0	0	0	0	0	אַרייַנטרעטן
admit	0	0	0	0	0	0	0	0	0	0	אַרייַנלאָזן
admittance	0	0	0	0	0	0	0	0	0	0	אַרייַנטרעטן
admitted	0	0	0	0	0	0	0	0	0	0	אַדמיטאַד
admitting	0	0	0	0	0	0	0	0	0	0	אַדמיטינג
admixture	0	0	0	0	0	0	0	0	0	0	צומיש
admonition	0	0	0	1	0	1	0	0	0	0	ווארענונג
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	אַדאָובי
adolescence	0	0	0	0	0	0	0	0	0	0	יוגנט
adolescent	0	0	0	0	0	0	0	0	0	0	אַדאַלעסאַנט
adopt	0	0	0	0	0	0	0	0	0	0	אַדאַפּט
adoption	0	0	0	0	0	0	0	0	0	0	קינדער
adorable	0	0	0	0	1	0	1	0	0	0	טייַער
adoration	0	0	0	0	1	0	1	0	0	1	אַדאָראַטיאָן
adore	0	1	0	0	1	0	1	0	0	1	אַדאָר
adorn	0	0	0	0	0	0	0	0	0	0	באַצירן
adornment	0	0	0	0	0	0	0	0	0	0	צירונג
adrift	0	1	0	1	0	1	0	1	0	0	אַדריפט
adult	0	0	0	0	0	0	0	0	0	0	דערוואַקסן
adulterated	0	0	0	0	0	1	0	0	0	0	פאַרוואַקסן
adultery	0	0	1	0	0	1	0	1	0	0	ניעף
advance	0	1	0	1	1	0	1	0	1	0	שטייַגן
advanced	0	0	0	0	0	0	1	0	0	0	אַוואַנסירטע
advancement	0	0	0	0	0	0	1	0	0	0	אנטוויקלונג
advancing	0	0	0	0	0	0	0	0	0	0	שטייַגן
advantage	0	0	0	0	0	0	1	0	0	0	מייַלע
advantageous	0	0	0	0	0	0	1	0	0	0	אַדוואַנטיידזשאַס
advent	0	1	0	0	1	0	1	0	0	1	אַדווענט
adventure	0	1	0	0	0	0	1	0	0	0	פּאַסירונג
adventurer	0	0	0	0	0	0	0	0	0	0	אַדווענטשערער
adventurous	0	0	0	0	0	0	1	0	0	0	אַדווענטשעראַס
adversary	1	0	0	0	0	1	0	0	0	0	קעגנער
adverse	1	0	1	1	0	1	0	1	0	0	אַדווערס
adversity	1	0	0	1	0	1	0	1	0	0	ומגליק
advertise	0	0	0	0	0	0	0	0	0	0	מעלדן
advertisement	0	0	0	0	0	0	0	0	0	0	אַדווערטייזמאַנט
advice	0	0	0	0	0	0	0	0	0	1	עצה
advisable	0	0	0	0	0	0	1	0	0	1	קעדייַיק
advise	0	0	0	0	0	0	1	0	0	1	רעקאָמענדירן
advised	0	0	0	0	0	0	0	0	0	1	אַדווייזד
advisement	0	0	0	0	0	0	0	0	0	0	עצה
adviser	0	0	0	0	0	0	1	0	0	1	אַדווייזער
advocacy	1	1	0	0	1	0	1	0	0	1	אַדוואַקאַסי
advocate	0	0	0	0	0	0	0	0	0	1	אַדוואָקאַט
aegis	0	0	0	0	0	0	0	0	0	0	אַעגיס
aeration	0	0	0	0	0	0	0	0	0	0	אַעראַטיאָן
aerial	0	0	0	0	0	0	0	0	0	0	לופט
aerodrome	0	0	0	0	0	0	0	0	0	0	אַעראָדראָם
aerodynamics	0	0	0	0	0	0	0	0	0	0	אַעראָדינאַמיק
aeronautics	0	0	0	0	0	0	0	0	0	0	אַעראָנאַוטיקס
aeroplane	0	0	0	0	0	0	0	0	0	0	אַעראָפּלאַן
aesthetic	0	0	0	0	0	0	1	0	0	0	עסטעטיש
aesthetics	0	0	0	0	1	0	1	0	0	0	עסטעטיק
aetiology	0	0	0	0	0	0	0	0	0	0	עטיאָלאָגיע
afar	0	0	0	0	0	0	0	0	0	0	ווייַט
affable	0	0	0	0	0	0	1	0	0	0	ליבלעך
affair	0	0	0	0	0	0	0	0	0	0	ייסעק
affecting	0	0	0	0	0	0	0	0	0	0	אַפעקטינג
affection	0	0	0	0	1	0	1	0	0	1	ליבשאַפט
affections	0	0	0	0	0	0	0	0	0	0	ליבשאַפט
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	תצהיר
affiliated	0	0	0	0	0	0	1	0	0	0	אַפיליייטאַד
affiliation	0	0	0	0	0	0	0	0	0	0	אַפילייישאַן
affinity	0	0	0	0	0	0	0	0	0	0	קירבות
affirm	0	0	0	0	0	0	1	0	0	1	באַשטעטיקן
affirmation	0	0	0	0	0	0	1	0	0	0	אַפערמיישאַן
affirmative	0	0	0	0	0	0	1	0	0	0	אַפערמאַטיוו
affirmatively	0	0	0	0	0	0	1	0	0	1	אַפערמאַטיוולי
affix	0	0	0	0	0	0	0	0	0	0	אַפיקס
afflict	0	0	0	1	0	1	0	1	0	0	פּלאָגן
afflicted	0	0	0	0	0	1	0	0	0	0	געליטן
affliction	0	0	1	1	0	1	0	1	0	0	צרה
affluence	0	0	0	0	1	0	1	0	0	0	עשירות
affluent	0	0	0	0	0	0	1	0	0	0	רייַכטיק
afford	0	0	0	0	0	0	1	0	0	0	פאַרגינענ זיך
affront	1	0	1	1	0	1	0	1	1	0	באַליידיקן
afield	0	0	0	0	0	0	0	0	0	0	אַוועק
afore	0	0	0	0	0	0	0	0	0	0	פריער
aforementioned	0	0	0	0	0	0	0	0	0	0	פריער דערמאנט
aforesaid	0	0	0	0	0	0	0	0	0	0	פריער געזאגט
afraid	0	0	0	1	0	1	0	0	0	0	דערשראָקן
afresh	0	0	0	0	0	0	0	0	0	0	נאכאמאל
aft	0	0	0	0	0	0	0	0	0	0	הינטער
aftermath	1	0	1	1	0	1	0	1	0	0	נאָכמאַך
afternoon	0	0	0	0	0	0	0	0	0	0	נאָכמיטאָג
aftertaste	0	0	0	0	0	1	0	0	0	0	אַפטערטייסט
afterthought	0	0	0	0	0	0	0	0	0	0	נאָכדעם
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	אַגאַט
age	0	0	0	0	0	0	0	0	0	0	עלטער
aged	0	0	0	0	0	0	0	0	0	0	אַלט
agency	0	0	0	0	0	0	0	0	0	0	אַגענטור
agent	0	0	0	0	0	0	0	0	0	0	אַגענט
agglomeration	0	0	0	0	0	0	0	0	0	0	אַגלאַמעריישאַן
aggravated	1	0	0	0	0	1	0	0	0	0	פאַרערגערט
aggravating	1	0	0	0	0	1	0	1	0	0	אַגראַווייטינג
aggravation	1	0	1	0	0	1	0	0	0	0	פאַרערגערונג
aggregate	0	0	0	0	0	0	0	0	0	0	צונויפגיסן
aggregation	0	0	0	0	0	0	0	0	0	0	אַגגרעגאַטיאָן
aggression	1	0	0	1	0	1	0	0	0	0	אָנפאַל
aggressive	1	0	0	1	0	1	0	0	0	0	אַגרעסיוו
aggressor	1	0	0	1	0	1	0	0	0	0	אַגרעסער
aghast	0	0	1	1	0	1	0	0	1	0	דערשראָקן
agile	0	0	0	0	0	0	1	0	0	0	פלינק
agility	0	0	0	0	0	0	1	0	0	0	פלינקייַט
agitated	1	0	0	0	0	1	0	0	0	0	אויפגערעגט
agitation	1	0	0	0	0	1	0	0	0	0	אַדזשאַטיישאַן
agnostic	0	0	0	0	0	0	0	0	0	0	אַגנאָסטיק
ago	0	0	0	0	0	0	0	0	0	0	צוריק
agonizing	0	0	0	1	0	1	0	0	0	0	אַגאַנייזינג
agony	1	0	0	1	0	1	0	1	0	0	ווייטאג
agree	0	0	0	0	0	0	1	0	0	0	שטימען
agreeable	0	0	0	0	0	0	1	0	0	1	צונעמען
agreed	0	0	0	0	0	0	1	0	0	1	מסכים געווען
agreeing	0	0	0	0	0	0	1	0	0	1	שטימען
agreement	0	0	0	0	0	0	1	0	0	1	העסקעם
agricultural	0	0	0	0	0	0	0	0	0	0	לאַנדווירטשאַפטלעך
agriculture	0	0	0	0	0	0	1	0	0	0	אַגריקולטורע
aground	0	0	0	0	0	1	0	0	0	0	גראַונד
agua	0	0	0	0	0	0	0	0	0	0	אַגואַ
ahead	0	0	0	0	0	0	1	0	0	0	פאָרויס
aid	0	0	0	0	0	0	1	0	0	0	הילף
aiding	0	0	0	0	0	0	1	0	0	0	הילף
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	קראַנקע
ailment	0	0	0	0	0	0	0	0	0	0	קראַנקייַט
aim	0	0	0	0	0	0	0	0	0	0	ציל
aimless	0	0	0	0	0	1	0	0	0	0	אָן ציל
air	0	0	0	0	0	0	0	0	0	0	לופט
airbag	0	0	0	0	0	0	0	0	0	0	אַירבאַג
airlift	0	0	0	0	0	0	0	0	0	0	ערליפט
airline	0	0	0	0	0	0	0	0	0	0	ערליין
airman	0	0	0	0	0	0	0	0	0	0	לופטמאַן
airplane	0	0	0	0	0	0	0	0	0	0	אַעראָפּלאַן
airport	0	1	0	0	0	0	0	0	0	0	אַעראָפּאָרט
airs	0	0	1	0	0	1	0	0	0	0	לופט
airship	0	0	0	0	0	0	0	0	0	0	לופטשיף
aisle	0	0	0	0	0	0	0	0	0	0	דורכגאַנג
ait	0	0	0	0	0	0	0	0	0	0	אַיט
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	ענלעך
alabaster	0	0	0	0	0	0	1	0	0	0	אַלבאַסטער
alarm	0	0	0	1	0	1	0	0	1	0	שרעק
alarming	0	0	0	1	0	1	0	0	1	0	אַלאַרמינג
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	אלבאם
alchemy	0	0	0	0	0	0	0	0	0	0	אַלטשעמיע
alcohol	0	0	0	0	0	0	0	0	0	0	אַלקאָהאָל
alcoholism	1	0	1	1	0	1	0	1	0	0	אַלקאַכאָליזאַם
alcove	0	0	0	0	0	0	0	0	0	0	אַלקאָווע
alert	0	0	0	0	0	0	0	0	0	0	פלינק
alertness	0	1	0	1	0	0	1	0	1	0	אַלערטנאַס
alerts	0	1	0	1	0	0	0	0	1	0	אַלערץ
alfalfa	0	0	0	0	0	0	0	0	0	0	אַלפאַלפאַ
algebra	0	0	0	0	0	0	0	0	0	0	אַלגעבראַ
algebraic	0	0	0	0	0	0	0	0	0	0	אַלגעבראַיק
algorithm	0	0	0	0	0	0	0	0	0	0	אַלגערידאַם
alibi	0	0	0	0	0	0	0	0	0	0	אַליבי
alien	0	0	1	1	0	1	0	0	0	0	פרעמד
alienate	1	0	1	0	0	1	0	0	0	0	פרעמדע
alienated	0	0	0	0	0	1	0	1	0	0	פרעמד
alienation	1	0	1	1	0	1	0	1	0	0	ייליאַניישאַן
alight	0	0	0	0	0	0	0	0	0	0	אַליגהט
aligned	0	0	0	0	0	0	0	0	0	0	אַליינד
alignment	0	0	0	0	0	0	0	0	0	0	אַליינמאַנט
alike	0	0	0	0	0	0	0	0	0	0	ענלעך
alimentation	0	0	0	0	0	0	1	0	0	0	alimentation
alimony	0	0	0	0	0	1	0	0	0	0	alimentation
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	לעבעדיק
alkali	0	0	0	0	0	0	0	0	0	0	אַלקאַלי
alkaloids	0	0	0	0	0	0	0	0	0	0	אַלקאַלוידז
allay	0	0	0	0	0	0	1	0	0	0	אָפּרוען
allegation	1	0	0	0	0	1	0	0	0	0	באַשולדיקונג
allege	0	0	0	0	0	1	0	0	0	0	טענהן
alleged	0	0	0	0	0	0	0	0	0	0	אַלעדזשד
allegiance	0	0	0	0	0	0	1	0	0	1	געטרייַשאַפט
allegorical	0	0	0	0	0	0	0	0	0	0	אַלעגאָריש
allegory	0	0	0	0	0	0	0	0	0	0	אַלאַגאָרי
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	גרינגער מאַכן
alleviation	0	0	0	0	0	0	1	0	0	0	גרינגערהייט
alley	0	0	0	0	0	0	0	0	0	0	אַלייע
alliance	0	0	0	0	0	0	0	0	0	1	בונד
allied	0	0	0	0	0	0	1	0	0	1	אַלליעד
alligator	0	0	0	0	0	0	0	0	0	0	אַלאַגייטער
allocate	0	0	0	0	0	0	0	0	0	0	צוטיילן
allocation	0	0	0	0	0	0	0	0	0	0	אַלאַקיישאַן
allot	0	0	0	0	0	0	0	0	0	0	צוטיילן
allotment	0	0	0	0	0	0	0	0	0	0	אַלאַטמאַנט
allowable	0	0	0	0	0	0	1	0	0	0	ערלויבט
allowance	0	0	0	0	0	0	0	0	0	0	פּענסיע
allowed	0	0	0	0	0	0	0	0	0	0	ערלויבט
alloy	0	0	0	0	0	0	0	0	0	0	צומיש
allure	0	1	0	0	1	0	1	0	1	0	פאַרנאַרן
alluring	0	0	0	0	0	0	1	0	0	0	אַלורינג
allusion	0	0	0	0	0	0	0	0	0	0	רמז
alluvial	0	0	0	0	0	0	0	0	0	0	אַלווויאַל
ally	0	0	0	0	0	0	1	0	0	1	אַליירט
almanac	0	0	0	0	0	0	0	0	0	0	אַלמאַנאַך
almighty	0	0	0	0	0	0	1	0	0	0	אלמעכטיקער
aloft	0	0	0	0	0	0	0	0	0	0	הויך
aloha	0	1	0	0	1	0	1	0	0	0	אַלאָהאַ
alongside	0	0	0	0	0	0	0	0	0	0	צוזאמען
aloof	0	0	0	0	0	1	0	0	0	0	אַלאָף
aloud	0	0	0	0	0	0	0	0	0	0	הויך
alphabet	0	0	0	0	0	0	0	0	0	0	אלפאבעט
alphabetical	0	0	0	0	0	0	0	0	0	0	אַלפאַבעטיקאַל
altar	0	0	0	0	0	0	0	0	0	0	מזבח
alter	0	0	0	0	0	0	0	0	0	0	ענדערן
alteration	0	0	0	0	0	0	0	0	0	0	אָלטעריישאַן
altercation	1	0	0	0	0	1	0	0	0	0	אָלטעריישאַן
altered	0	0	0	0	0	0	0	0	0	0	פארענדערט
alternate	0	0	0	0	0	0	0	0	0	0	בייַטנ לויט דער ריי
alternative	0	0	0	0	0	0	0	0	0	0	אנדער ברירה
altitude	0	0	0	0	0	0	0	0	0	0	הייך
alto	0	0	0	0	0	0	0	0	0	0	alto
