English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Malagasy Word
alarm	0	0	0	1	0	1	0	0	1	0	fanairana
alarming	0	0	0	1	0	1	0	0	1	0	manaitra tokoa
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	raki-kira
alchemy	0	0	0	0	0	0	0	0	0	0	simia
alcohol	0	0	0	0	0	0	0	0	0	0	alikaola
alcoholism	1	0	1	1	0	1	0	1	0	0	fisotroan-toaka
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	mailo
alertness	0	1	0	1	0	0	1	0	1	0	mailo
alerts	0	1	0	1	0	0	0	0	1	0	fanairana
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algèbre
algebraic	0	0	0	0	0	0	0	0	0	0	algebra
algorithm	0	0	0	0	0	0	0	0	0	0	algorithm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	vahiny
alienate	1	0	1	0	0	1	0	0	0	0	hafindrany
alienated	0	0	0	0	0	1	0	1	0	0	lavitra
alienation	1	0	1	1	0	1	0	1	0	0	fahafoizako
alight	0	0	0	0	0	0	0	0	0	0	midina
aligned	0	0	0	0	0	0	0	0	0	0	mifanaraka
alignment	0	0	0	0	0	0	0	0	0	0	fampifanarahana
alike	0	0	0	0	0	0	0	0	0	0	mitovy
alimentation	0	0	0	0	0	0	1	0	0	0	alimentation
alimony	0	0	0	0	0	1	0	0	0	0	alimony
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	VELONA
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloida
allay	0	0	0	0	0	0	1	0	0	0	tiana
allegation	1	0	0	0	0	1	0	0	0	0	filazana
allege	0	0	0	0	0	1	0	0	0	0	milaza
alleged	0	0	0	0	0	0	0	0	0	0	lazaina
allegiance	0	0	0	0	0	0	1	0	0	1	tsy hivadika
allegorical	0	0	0	0	0	0	0	0	0	0	fanoharana
allegory	0	0	0	0	0	0	0	0	0	0	fanoharana
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	hanamaivanana
alleviation	0	0	0	0	0	0	1	0	0	0	fanamaivanana
alley	0	0	0	0	0	0	0	0	0	0	làlan-kere
alliance	0	0	0	0	0	0	0	0	0	1	fifanarahana
allied	0	0	0	0	0	0	1	0	0	1	Mpiray Dina
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	zarao
allocation	0	0	0	0	0	0	0	0	0	0	fanomezana
allot	0	0	0	0	0	0	0	0	0	0	zarao
allotment	0	0	0	0	0	0	0	0	0	0	anjara
allowable	0	0	0	0	0	0	1	0	0	0	azo atao
allowance	0	0	0	0	0	0	0	0	0	0	hanina
allowed	0	0	0	0	0	0	0	0	0	0	navela
alloy	0	0	0	0	0	0	0	0	0	0	firaka
allure	0	1	0	0	1	0	1	0	1	0	fitaoman'ity
alluring	0	0	0	0	0	0	1	0	0	0	mahasarika
allusion	0	0	0	0	0	0	0	0	0	0	manondro
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	mpiara
almanac	0	0	0	0	0	0	0	0	0	0	almàka
almighty	0	0	0	0	0	0	1	0	0	0	Mahery Indrindra
aloft	0	0	0	0	0	0	0	0	0	0	fiaran'Andriamanitra
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	miaraka
aloof	0	0	0	0	0	1	0	0	0	0	miraharaha
aloud	0	0	0	0	0	0	0	0	0	0	amin'ny feo avo
alphabet	0	0	0	0	0	0	0	0	0	0	abidy
alphabetical	0	0	0	0	0	0	0	0	0	0	abidy
altar	0	0	0	0	0	0	0	0	0	0	alitara
alter	0	0	0	0	0	0	0	0	0	0	manova
alteration	0	0	0	0	0	0	0	0	0	0	fanovana, fiovana
altercation	1	0	0	0	0	1	0	0	0	0	fifamaliana
altered	0	0	0	0	0	0	0	0	0	0	novaina
alternate	0	0	0	0	0	0	0	0	0	0	mifandimby
alternative	0	0	0	0	0	0	0	0	0	0	Anarana iombonana amin'ny
altitude	0	0	0	0	0	0	0	0	0	0	altitude
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	tanteraka
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	mifangaro
amalgamation	0	0	0	0	0	0	0	0	0	0	fanakambanana
amass	0	0	0	0	0	0	0	0	0	0	hanangonana
amateur	0	0	0	0	0	0	0	0	0	0	amateur
amaze	0	0	0	0	0	0	0	0	1	0	velively mampitolagaga
amazement	0	0	0	0	0	0	0	0	0	0	Ary talanjona
amazingly	0	0	0	0	1	0	1	0	1	0	mahagaga
ambassador	0	0	0	0	0	0	1	0	0	1	masoivoho
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	MANJAVOZAVO
ambiguous	0	0	0	0	0	1	0	0	0	0	mazava
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	faniriana
ambitious	0	0	0	0	0	0	0	0	0	0	fatra-paniry laza
ambulance	0	0	0	1	0	0	0	0	0	1	fiara mpitondra marary
ambush	1	0	0	1	0	1	0	0	1	0	otrika
ameliorate	0	0	0	0	0	0	1	0	0	0	manatsara
amen	0	0	0	0	1	0	1	0	0	1	amena
amenable	0	0	0	0	0	0	1	0	0	0	tompon'andraikitra manoloana
amend	0	0	0	0	0	0	1	0	0	0	ataovy tsara
amendment	0	0	0	0	0	0	0	0	0	0	FANITSIANA
amends	0	0	0	0	0	0	1	0	0	0	hanonitra
amenity	0	0	0	0	0	0	1	0	0	0	amenity
amethyst	0	0	0	0	0	0	0	0	0	0	ametysta
amiable	0	0	0	0	0	0	1	0	0	0	mahafinaritra
amicable	0	0	0	0	1	0	1	0	0	0	milamina
amid	0	0	0	0	0	0	0	0	0	0	eo anivon'ny
amidst	0	0	0	0	0	0	0	0	0	0	anatin'ny
ammonia	0	0	1	0	0	0	0	0	0	0	amoniaka
