English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Vietnamese Word
absorbing	0	0	0	0	0	0	0	0	0	0	hấp thụ
absorption	0	0	0	0	0	0	0	0	0	0	sự hấp thụ
abstain	0	0	0	0	0	0	0	0	0	0	kiêng
abstention	0	0	0	0	0	0	0	0	0	0	sự bỏ phiếu trắng
abstinence	0	0	0	0	0	0	0	0	0	0	tiết chế
abstract	0	0	0	0	0	0	0	0	0	0	trừu tượng
abstraction	0	0	0	0	0	0	0	0	0	0	sự trừu tượng
absurd	0	0	0	0	0	1	0	0	0	0	ngớ ngẩn
absurdity	0	0	0	0	0	1	0	0	0	0	sự vô lý
abundance	0	1	1	0	1	1	1	0	0	1	dồi dào
abundant	0	0	0	0	1	0	1	0	0	0	dồi dào
abuse	1	0	1	1	0	1	0	1	0	0	lạm dụng
abutment	0	0	0	0	0	0	0	0	0	0	trụ cầu
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	vực thẳm
abyss	0	0	0	1	0	1	0	1	0	0	vực sâu
academic	0	0	0	0	0	0	1	0	0	1	thuộc về lý thuyết
academy	0	0	0	0	0	0	1	0	0	0	học viện
accede	0	0	0	0	0	0	0	0	0	0	gia nhập
accelerate	0	1	0	0	0	0	0	0	0	0	Thúc giục
acceleration	0	0	0	0	0	0	0	0	0	0	sự tăng tốc
accent	0	0	0	0	0	0	0	0	0	0	giọng
accentuate	0	0	0	0	0	0	0	0	0	0	nhấn mạnh
accept	0	0	0	0	0	0	0	0	0	0	Chấp nhận
acceptable	0	0	0	0	0	0	1	0	0	0	có thể chấp nhận được
acceptance	0	0	0	0	0	0	1	0	0	0	chấp thuận
access	0	0	0	0	0	0	0	0	0	0	truy cập
accessible	0	0	0	0	0	0	1	0	0	0	có thể truy cập
accession	0	0	0	0	0	0	0	0	0	0	sự gia nhập
accessory	0	0	0	0	0	0	0	0	0	0	phụ kiện
accident	0	0	0	1	0	1	0	1	1	0	Tai nạn
accidental	0	0	0	1	0	1	0	0	1	0	tình cờ
accidentally	0	0	0	0	0	0	0	0	1	0	tình cờ
accolade	0	1	0	0	1	0	1	0	1	1	tuyên dương
accommodate	0	0	0	0	0	0	0	0	0	0	cung cấp
accommodation	0	0	0	0	0	0	1	0	0	0	chỗ ở
accompaniment	0	1	0	0	1	0	1	0	0	1	đệm đàn
accompany	0	0	0	0	0	0	0	0	0	0	đồng hành
accompanying	0	0	0	0	0	0	0	0	0	0	đi cùng
accomplice	0	0	0	0	0	0	0	0	0	0	đồng lõa
accomplish	0	0	0	0	1	0	1	0	0	0	hoàn thành
accomplished	0	0	0	0	1	0	1	0	0	0	hoàn thành
accomplishment	0	0	0	0	0	0	1	0	0	0	thành quả
accord	0	0	0	0	0	0	1	0	0	1	phù hợp
accordance	0	0	0	0	0	0	0	0	0	0	Tùy theo
accordion	0	0	0	0	0	0	0	0	0	0	đàn accordion
account	0	0	0	0	0	0	0	0	0	1	tài khoản
accountability	0	0	0	0	0	0	1	0	0	1	trách nhiệm giải trình
accountable	0	0	0	0	0	0	1	0	0	1	có trách nhiệm
accountant	0	0	0	0	0	0	0	0	0	1	kế toán viên
accounting	0	0	0	0	0	0	0	0	0	0	kế toán
accounts	0	0	0	0	0	0	0	0	0	1	tài khoản
accredited	0	0	0	0	0	0	1	0	0	1	được công nhận
accretion	0	0	0	0	0	0	0	0	0	0	sự bồi đắp
accrue	0	0	0	0	0	0	0	0	0	0	tích lũy
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	tích trữ
accumulation	0	0	0	0	0	0	0	0	0	0	tích lũy
accuracy	0	0	0	0	0	0	0	0	0	0	sự chính xác
accurate	0	0	0	0	0	0	1	0	0	1	chính xác
accursed	1	0	0	1	0	1	0	1	0	0	đáng nguyền rủa
accusation	1	0	1	0	0	1	0	0	0	0	lời buộc tội
accusative	0	0	0	0	0	1	0	0	0	0	buộc tội
accused	1	0	0	1	0	1	0	0	0	0	bị tô cáo
accuser	1	0	0	1	0	1	0	0	0	0	người tố cáo
accusing	1	0	0	1	0	1	0	0	0	0	buộc tội
accustomed	0	0	0	0	0	0	0	0	0	0	quen
ace	0	0	0	0	0	0	1	0	0	0	át chủ
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	nhức nhối
achieve	0	0	0	0	1	0	1	0	0	1	Hoàn thành
achievement	0	1	0	0	1	0	1	0	0	1	thành tích
aching	0	0	0	0	0	1	0	1	0	0	nhức nhối
acid	0	0	0	0	0	1	0	0	0	0	axit
acidity	0	0	0	0	0	0	0	0	0	0	độ chua
acknowledge	0	0	0	0	0	0	0	0	0	0	thừa nhận
acknowledged	0	0	0	0	0	0	0	0	0	0	thừa nhận
acknowledgment	0	0	0	0	0	0	1	0	0	0	nhìn nhận
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	âm học
acoustics	0	0	0	0	0	0	0	0	0	0	âm học
acquaint	0	0	0	0	0	0	0	0	0	0	Làm quen
acquaintance	0	0	0	0	0	0	0	0	0	0	người quen
acquainted	0	0	0	0	0	0	0	0	0	0	hiểu biết
acquiescence	0	0	0	0	0	0	0	0	0	0	sự ưng thuận
acquire	0	0	0	0	0	0	1	0	0	0	có được, thu được
acquiring	0	1	0	0	0	0	1	0	0	0	mua lại
acquisition	0	0	0	0	0	0	0	0	0	0	thu mua
acquisitions	0	0	0	0	0	0	0	0	0	0	mua lại
acreage	0	0	0	0	0	0	0	0	0	0	diện tích
acres	0	0	0	0	0	0	0	0	0	0	đất cày cấy
acrobat	0	0	0	1	1	0	1	0	0	1	diễn viên xiếc
act	0	0	0	0	0	0	0	0	0	0	hành động
acting	0	0	0	0	0	0	0	0	0	0	diễn xuất
action	0	0	0	0	0	0	1	0	0	0	hoạt động
actionable	1	0	1	0	0	1	0	0	0	0	có thể hành động
active	0	0	0	0	0	0	0	0	0	0	tích cực
activity	0	0	0	0	0	0	0	0	0	0	hoạt động
actor	0	0	0	0	0	0	0	0	0	0	diễn viên nam
actual	0	0	0	0	0	0	1	0	0	0	thật sự
actuality	0	0	0	0	0	0	0	0	0	0	thực tế
actuary	0	0	0	0	0	0	0	0	0	0	người tính toán
acuity	0	0	0	0	0	0	1	0	0	0	sự nhạy bén
acumen	0	0	0	0	0	0	1	0	0	0	sự nhạy bén
acupuncture	0	0	0	0	0	0	0	0	0	0	châm cứu
acutely	0	0	0	0	0	0	0	0	0	0	sâu sắc
adage	0	0	0	0	0	0	0	0	0	0	câu ngạn ngữ
adamant	0	0	0	0	0	0	0	0	0	0	cương quyết
adapt	0	0	0	0	0	0	1	0	0	0	phỏng theo
adaptable	0	0	0	0	0	0	1	0	0	0	thích nghi được
add	0	0	0	0	0	0	0	0	0	0	cộng
added	0	0	0	0	0	0	0	0	0	0	thêm
addendum	0	0	0	0	0	0	0	0	0	0	phụ lục
adder	1	0	1	1	0	1	0	1	0	0	người bổ sung
addiction	0	0	0	0	0	1	0	0	0	0	nghiện
addition	0	0	0	0	0	0	0	0	0	0	phép cộng
additional	0	0	0	0	0	0	0	0	0	0	thêm vào
additive	0	0	0	0	0	0	0	0	0	0	phụ gia
address	0	0	0	0	0	0	0	0	0	0	địa chỉ
addressee	0	0	0	0	0	0	0	0	0	0	người nhận
addresses	0	1	0	0	0	0	1	0	0	0	địa chỉ
adept	0	0	0	0	0	0	1	0	0	0	lão luyện
adequacy	0	0	0	0	0	0	1	0	0	0	sự đầy đủ
adequate	0	0	0	0	0	0	0	0	0	0	đủ
adhere	0	0	0	0	0	0	0	0	0	0	tuân thủ
adherence	0	0	0	0	0	0	0	0	0	0	sự tuân thủ
adherent	0	0	0	0	0	0	0	0	0	0	kết dính
adhering	0	0	0	0	0	0	0	0	0	1	tôn trọng
adhesion	0	0	0	0	0	0	0	0	0	0	sự kết dính
adhesive	0	0	0	0	0	0	0	0	0	0	dính
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	chất béo
adjacency	0	0	0	0	0	0	0	0	0	0	gần kề
adjacent	0	0	0	0	0	0	0	0	0	0	liền kề
adjective	0	0	0	0	0	0	0	0	0	0	tính từ
adjoining	0	0	0	0	0	0	0	0	0	0	liền kề
adjourn	0	0	0	0	0	0	0	0	0	0	hoãn lại
adjournment	0	0	0	0	0	0	0	0	0	0	hoãn lại
adjudicate	0	0	0	1	0	1	0	0	0	0	phân xử
adjudication	0	0	0	0	0	0	0	0	0	0	sự xét xử
adjunct	0	0	0	0	0	0	1	0	0	0	phụ tá
adjust	0	0	0	0	0	0	0	0	0	0	điều chỉnh
adjustment	0	0	0	0	0	0	0	0	0	0	sự điều chỉnh
adjuvant	0	0	0	0	0	0	0	0	0	0	chất bổ trợ
administer	0	0	0	0	0	0	0	0	0	0	quản lý
administration	0	0	0	0	0	0	0	0	0	0	sự quản lý
administrative	0	0	0	0	0	0	0	0	0	1	hành chính
admirable	0	0	0	0	1	0	1	0	0	1	đáng ngưỡng mộ
admiral	0	0	0	0	0	0	1	0	0	1	đô đốc
admiralty	0	0	0	0	0	0	0	0	0	0	đô đốc
admiration	0	0	0	0	1	0	1	0	0	1	sự khâm phục
admire	0	0	0	0	0	0	1	0	0	1	ngưỡng mộ
admirer	0	0	0	0	0	0	1	0	0	0	người ngưỡng mộ
admissibility	0	0	0	0	0	0	0	0	0	0	sự chấp nhận
admissible	0	0	0	0	0	0	1	0	0	1	có thể chấp nhận được
admission	0	0	0	0	0	0	0	0	0	0	nhận vào
admit	0	0	0	0	0	0	0	0	0	0	thừa nhận
admittance	0	0	0	0	0	0	0	0	0	0	sự thừa nhận
admitted	0	0	0	0	0	0	0	0	0	0	thừa nhận
admitting	0	0	0	0	0	0	0	0	0	0	thừa nhận
admixture	0	0	0	0	0	0	0	0	0	0	phụ gia
admonition	0	0	0	1	0	1	0	0	0	0	lời khuyên nhủ
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	tuổi thanh xuân
adolescent	0	0	0	0	0	0	0	0	0	0	thanh niên
adopt	0	0	0	0	0	0	0	0	0	0	nhận nuôi
adoption	0	0	0	0	0	0	0	0	0	0	nhận con nuôi
adorable	0	0	0	0	1	0	1	0	0	0	đáng yêu
adoration	0	0	0	0	1	0	1	0	0	1	Yêu mến
adore	0	1	0	0	1	0	1	0	0	1	yêu thích
adorn	0	0	0	0	0	0	0	0	0	0	tô điểm
adornment	0	0	0	0	0	0	0	0	0	0	trang sức
adrift	0	1	0	1	0	1	0	1	0	0	xa rời
adult	0	0	0	0	0	0	0	0	0	0	người lớn
adulterated	0	0	0	0	0	1	0	0	0	0	pha tạp chất
adultery	0	0	1	0	0	1	0	1	0	0	ngoại tình
advance	0	1	0	1	1	0	1	0	1	0	nâng cao
advanced	0	0	0	0	0	0	1	0	0	0	nâng cao
advancement	0	0	0	0	0	0	1	0	0	0	thăng tiến
advancing	0	0	0	0	0	0	0	0	0	0	thăng tiến
advantage	0	0	0	0	0	0	1	0	0	0	thuận lợi
advantageous	0	0	0	0	0	0	1	0	0	0	thuận lợi
advent	0	1	0	0	1	0	1	0	0	1	sự ra đời
adventure	0	1	0	0	0	0	1	0	0	0	cuộc phiêu lưu
adventurer	0	0	0	0	0	0	0	0	0	0	nhà thám hiểm
adventurous	0	0	0	0	0	0	1	0	0	0	phiêu lưu
adversary	1	0	0	0	0	1	0	0	0	0	đối thủ
adverse	1	0	1	1	0	1	0	1	0	0	bất lợi
adversity	1	0	0	1	0	1	0	1	0	0	nghịch cảnh
advertise	0	0	0	0	0	0	0	0	0	0	Quảng cáo
advertisement	0	0	0	0	0	0	0	0	0	0	Quảng cáo
advice	0	0	0	0	0	0	0	0	0	1	lời khuyên
advisable	0	0	0	0	0	0	1	0	0	1	có thể khuyên bảo
advise	0	0	0	0	0	0	1	0	0	1	khuyên nhủ
advised	0	0	0	0	0	0	0	0	0	1	khuyên
advisement	0	0	0	0	0	0	0	0	0	0	lời khuyên
adviser	0	0	0	0	0	0	1	0	0	1	cố vấn
advocacy	1	1	0	0	1	0	1	0	0	1	vận động
advocate	0	0	0	0	0	0	0	0	0	1	biện hộ
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	sục khí
aerial	0	0	0	0	0	0	0	0	0	0	trên không
aerodrome	0	0	0	0	0	0	0	0	0	0	sân bay
aerodynamics	0	0	0	0	0	0	0	0	0	0	khí động học
aeronautics	0	0	0	0	0	0	0	0	0	0	hàng không
aeroplane	0	0	0	0	0	0	0	0	0	0	Máy bay
aesthetic	0	0	0	0	0	0	1	0	0	0	thẩm mỹ
aesthetics	0	0	0	0	1	0	1	0	0	0	tính thẩm mỹ
aetiology	0	0	0	0	0	0	0	0	0	0	bệnh nguyên sinh
afar	0	0	0	0	0	0	0	0	0	0	xa
affable	0	0	0	0	0	0	1	0	0	0	niềm nở
affair	0	0	0	0	0	0	0	0	0	0	công việc
affecting	0	0	0	0	0	0	0	0	0	0	ảnh hưởng đến
affection	0	0	0	0	1	0	1	0	0	1	sự yêu mến
affections	0	0	0	0	0	0	0	0	0	0	tình cảm
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	bản tuyên thệ
affiliated	0	0	0	0	0	0	1	0	0	0	liên kết
affiliation	0	0	0	0	0	0	0	0	0	0	sự liên kết
affinity	0	0	0	0	0	0	0	0	0	0	sự giống nhau
affirm	0	0	0	0	0	0	1	0	0	1	Xác nhận
affirmation	0	0	0	0	0	0	1	0	0	0	sự khẳng định
affirmative	0	0	0	0	0	0	1	0	0	0	khẳng định
affirmatively	0	0	0	0	0	0	1	0	0	1	khẳng định
affix	0	0	0	0	0	0	0	0	0	0	đóng dấu
afflict	0	0	0	1	0	1	0	1	0	0	phiền não
afflicted	0	0	0	0	0	1	0	0	0	0	đau khổ
affliction	0	0	1	1	0	1	0	1	0	0	phiền não
affluence	0	0	0	0	1	0	1	0	0	0	sung túc
affluent	0	0	0	0	0	0	1	0	0	0	sung túc
afford	0	0	0	0	0	0	1	0	0	0	đủ khả năng
affront	1	0	1	1	0	1	0	1	1	0	đối đầu
afield	0	0	0	0	0	0	0	0	0	0	afield
afore	0	0	0	0	0	0	0	0	0	0	trước
aforementioned	0	0	0	0	0	0	0	0	0	0	đã nói ở trên
aforesaid	0	0	0	0	0	0	0	0	0	0	đã nói ở trên
afraid	0	0	0	1	0	1	0	0	0	0	sợ
afresh	0	0	0	0	0	0	0	0	0	0	làm mới
aft	0	0	0	0	0	0	0	0	0	0	phía sau
aftermath	1	0	1	1	0	1	0	1	0	0	hậu quả
afternoon	0	0	0	0	0	0	0	0	0	0	buổi chiều
aftertaste	0	0	0	0	0	1	0	0	0	0	dư vị
afterthought	0	0	0	0	0	0	0	0	0	0	suy nghĩ sau
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	mã não
age	0	0	0	0	0	0	0	0	0	0	tuổi tác
aged	0	0	0	0	0	0	0	0	0	0	già đi
agency	0	0	0	0	0	0	0	0	0	0	hãng
agent	0	0	0	0	0	0	0	0	0	0	đại lý
agglomeration	0	0	0	0	0	0	0	0	0	0	sự kết tụ
aggravated	1	0	0	0	0	1	0	0	0	0	trầm trọng hơn
aggravating	1	0	0	0	0	1	0	1	0	0	làm trầm trọng thêm
aggravation	1	0	1	0	0	1	0	0	0	0	làm trầm trọng thêm
aggregate	0	0	0	0	0	0	0	0	0	0	tổng hợp lại
aggregation	0	0	0	0	0	0	0	0	0	0	tập hợp
aggression	1	0	0	1	0	1	0	0	0	0	Hiếu chiến
aggressive	1	0	0	1	0	1	0	0	0	0	hung dữ
aggressor	1	0	0	1	0	1	0	0	0	0	kẻ xâm lược
aghast	0	0	1	1	0	1	0	0	1	0	kinh hoàng
agile	0	0	0	0	0	0	1	0	0	0	nhanh nhẹn
agility	0	0	0	0	0	0	1	0	0	0	nhanh nhẹn
agitated	1	0	0	0	0	1	0	0	0	0	kích động
agitation	1	0	0	0	0	1	0	0	0	0	sự kích động
agnostic	0	0	0	0	0	0	0	0	0	0	bất khả tri
ago	0	0	0	0	0	0	0	0	0	0	trước kia
agonizing	0	0	0	1	0	1	0	0	0	0	đau đớn
agony	1	0	0	1	0	1	0	1	0	0	đau đớn
agree	0	0	0	0	0	0	1	0	0	0	đồng ý
agreeable	0	0	0	0	0	0	1	0	0	1	hợp ý
agreed	0	0	0	0	0	0	1	0	0	1	đã đồng ý
agreeing	0	0	0	0	0	0	1	0	0	1	đồng ý
agreement	0	0	0	0	0	0	1	0	0	1	hiệp định
agricultural	0	0	0	0	0	0	0	0	0	0	nông nghiệp
agriculture	0	0	0	0	0	0	1	0	0	0	nông nghiệp
aground	0	0	0	0	0	1	0	0	0	0	mắc cạn
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	phía trước
aid	0	0	0	0	0	0	1	0	0	0	sự giúp đỡ
aiding	0	0	0	0	0	0	1	0	0	0	trợ giúp
ail	0	0	0	0	0	1	0	1	0	0	đau
ailing	0	0	0	1	0	1	0	1	0	0	ốm yếu
ailment	0	0	0	0	0	0	0	0	0	0	bệnh tật
aim	0	0	0	0	0	0	0	0	0	0	mục đích
aimless	0	0	0	0	0	1	0	0	0	0	không mục đích
air	0	0	0	0	0	0	0	0	0	0	hàng không
airbag	0	0	0	0	0	0	0	0	0	0	túi khí
airlift	0	0	0	0	0	0	0	0	0	0	máy bay vận tải
airline	0	0	0	0	0	0	0	0	0	0	hãng hàng không
airman	0	0	0	0	0	0	0	0	0	0	phi công
airplane	0	0	0	0	0	0	0	0	0	0	Máy bay
airport	0	1	0	0	0	0	0	0	0	0	phi trường
airs	0	0	1	0	0	1	0	0	0	0	phát sóng
airship	0	0	0	0	0	0	0	0	0	0	phi thuyền
aisle	0	0	0	0	0	0	0	0	0	0	lối đi
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	na ná
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	báo thức
alarming	0	0	0	1	0	1	0	0	1	0	đáng báo động
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	thuật giả kim
alcohol	0	0	0	0	0	0	0	0	0	0	rượu bia
alcoholism	1	0	1	1	0	1	0	1	0	0	nghiện rượu
alcove	0	0	0	0	0	0	0	0	0	0	hốc tường
alert	0	0	0	0	0	0	0	0	0	0	báo động
alertness	0	1	0	1	0	0	1	0	1	0	sự tỉnh táo
alerts	0	1	0	1	0	0	0	0	1	0	cảnh báo
alfalfa	0	0	0	0	0	0	0	0	0	0	cỏ linh lăng
algebra	0	0	0	0	0	0	0	0	0	0	đại số học
algebraic	0	0	0	0	0	0	0	0	0	0	đại số
algorithm	0	0	0	0	0	0	0	0	0	0	thuật toán
alibi	0	0	0	0	0	0	0	0	0	0	bằng chứng ngoại phạm
alien	0	0	1	1	0	1	0	0	0	0	người ngoài hành tinh
alienate	1	0	1	0	0	1	0	0	0	0	xa lánh
alienated	0	0	0	0	0	1	0	1	0	0	xa lánh
alienation	1	0	1	1	0	1	0	1	0	0	xa lánh
alight	0	0	0	0	0	0	0	0	0	0	xuống xe
aligned	0	0	0	0	0	0	0	0	0	0	thẳng hàng
alignment	0	0	0	0	0	0	0	0	0	0	sự liên kết
alike	0	0	0	0	0	0	0	0	0	0	như nhau
alimentation	0	0	0	0	0	0	1	0	0	0	nuôi cho ăn
alimony	0	0	0	0	0	1	0	0	0	0	tiền cấp dưỡng
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	còn sống
alkali	0	0	0	0	0	0	0	0	0	0	kiềm
alkaloids	0	0	0	0	0	0	0	0	0	0	ancaloit
allay	0	0	0	0	0	0	1	0	0	0	xoa dịu
allegation	1	0	0	0	0	1	0	0	0	0	sự cáo buộc
allege	0	0	0	0	0	1	0	0	0	0	cáo buộc
alleged	0	0	0	0	0	0	0	0	0	0	bị cáo buộc
allegiance	0	0	0	0	0	0	1	0	0	1	lòng trung thành
allegorical	0	0	0	0	0	0	0	0	0	0	ngụ ngôn
allegory	0	0	0	0	0	0	0	0	0	0	câu chuyện ngụ ngôn
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	làm giảm bớt
alleviation	0	0	0	0	0	0	1	0	0	0	giảm nhẹ
alley	0	0	0	0	0	0	0	0	0	0	hẻm
alliance	0	0	0	0	0	0	0	0	0	1	liên minh
allied	0	0	0	0	0	0	1	0	0	1	liên minh
alligator	0	0	0	0	0	0	0	0	0	0	cá sấu
allocate	0	0	0	0	0	0	0	0	0	0	chỉ định
allocation	0	0	0	0	0	0	0	0	0	0	sự phân bổ
allot	0	0	0	0	0	0	0	0	0	0	phân bổ
allotment	0	0	0	0	0	0	0	0	0	0	sự phân bổ
allowable	0	0	0	0	0	0	1	0	0	0	cho phép
allowance	0	0	0	0	0	0	0	0	0	0	trợ cấp
allowed	0	0	0	0	0	0	0	0	0	0	cho phép
alloy	0	0	0	0	0	0	0	0	0	0	hợp kim
allure	0	1	0	0	1	0	1	0	1	0	quyến rũ
alluring	0	0	0	0	0	0	1	0	0	0	quyến rũ
allusion	0	0	0	0	0	0	0	0	0	0	ám chỉ
alluvial	0	0	0	0	0	0	0	0	0	0	phù sa
ally	0	0	0	0	0	0	1	0	0	1	đồng minh
almanac	0	0	0	0	0	0	0	0	0	0	niên giám
almighty	0	0	0	0	0	0	1	0	0	0	toàn năng
aloft	0	0	0	0	0	0	0	0	0	0	trên cao
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	cùng với
aloof	0	0	0	0	0	1	0	0	0	0	đứng cách xa
aloud	0	0	0	0	0	0	0	0	0	0	lớn tiếng
alphabet	0	0	0	0	0	0	0	0	0	0	bảng chữ cái
alphabetical	0	0	0	0	0	0	0	0	0	0	theo thứ tự bảng chữ cái
altar	0	0	0	0	0	0	0	0	0	0	bàn thờ
alter	0	0	0	0	0	0	0	0	0	0	thay đổi
alteration	0	0	0	0	0	0	0	0	0	0	sự thay đổi
altercation	1	0	0	0	0	1	0	0	0	0	sự thay đổi
altered	0	0	0	0	0	0	0	0	0	0	thay đổi
alternate	0	0	0	0	0	0	0	0	0	0	Luân phiên
alternative	0	0	0	0	0	0	0	0	0	0	thay thế
altitude	0	0	0	0	0	0	0	0	0	0	độ cao
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	hoàn toàn
alumnus	0	0	0	0	0	0	0	0	0	0	sinh viên
alveolar	0	0	0	0	0	0	0	0	0	0	phế nang
amalgam	0	0	0	0	0	0	0	0	0	0	hỗn hống
amalgamation	0	0	0	0	0	0	0	0	0	0	sự hợp nhất
amass	0	0	0	0	0	0	0	0	0	0	tích lũy
amateur	0	0	0	0	0	0	0	0	0	0	nghiệp dư
amaze	0	0	0	0	0	0	0	0	1	0	kinh ngạc
amazement	0	0	0	0	0	0	0	0	0	0	kinh ngạc
amazingly	0	0	0	0	1	0	1	0	1	0	đáng kinh ngạc
ambassador	0	0	0	0	0	0	1	0	0	1	đại sứ
amber	0	0	0	0	0	0	0	0	0	0	hổ phách
ambient	0	0	0	0	0	0	0	0	0	0	môi trường xung quanh
ambiguity	0	0	0	0	0	0	0	0	0	0	sự mơ hồ
ambiguous	0	0	0	0	0	1	0	0	0	0	mơ hồ
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	tham vọng
ambitious	0	0	0	0	0	0	0	0	0	0	đầy tham vọng
ambulance	0	0	0	1	0	0	0	0	0	1	xe cứu thương
ambush	1	0	0	1	0	1	0	0	1	0	phục kích
ameliorate	0	0	0	0	0	0	1	0	0	0	cải thiện
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	chịu trách nhiệm
amend	0	0	0	0	0	0	1	0	0	0	sửa đổi
