English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Azerbaijani Word
abort	0	0	0	0	0	1	0	0	0	0	dayandırmaq
abortion	0	0	1	1	0	1	0	1	0	0	abort
abortive	0	0	0	0	0	1	0	1	0	0	uğursuz
abound	0	0	0	0	0	0	0	0	0	0	boldur
abovementioned	0	0	0	0	0	0	1	0	0	0	yuxarıda qeyd olunan
abrasion	0	0	0	0	0	1	0	0	0	0	aşınma
abroad	0	0	0	0	0	0	0	0	0	0	xaricdə
abrogate	0	0	0	0	0	1	0	0	0	0	ləğv etmək
abrupt	0	0	0	0	0	0	0	0	1	0	kəskin
abruptly	0	0	0	0	0	0	0	0	0	0	Kobudcasına
abscess	0	0	0	0	0	1	0	1	0	0	abses
absence	0	0	0	1	0	1	0	1	0	0	yoxluq
absent	0	0	0	0	0	1	0	1	0	0	yox
absentee	0	0	0	0	0	1	0	1	0	0	qaib
absenteeism	0	0	0	0	0	1	0	0	0	0	davamsızlıq
absinthe	0	0	0	0	0	0	0	0	0	0	absinthe
absolute	0	0	0	0	0	0	1	0	0	0	mütləq
absolution	0	0	0	0	1	0	1	0	0	1	bağışlanma
absorbed	0	0	0	0	0	0	1	0	0	0	udulmuş
absorbent	0	0	0	0	0	0	0	0	0	0	absorbent
absorbing	0	0	0	0	0	0	0	0	0	0	udma
absorption	0	0	0	0	0	0	0	0	0	0	udma
abstain	0	0	0	0	0	0	0	0	0	0	çəkinmək
abstention	0	0	0	0	0	0	0	0	0	0	bitərəf
abstinence	0	0	0	0	0	0	0	0	0	0	çəkinmə
abstract	0	0	0	0	0	0	0	0	0	0	mücərrəd
abstraction	0	0	0	0	0	0	0	0	0	0	abstraksiya
absurd	0	0	0	0	0	1	0	0	0	0	absurd
absurdity	0	0	0	0	0	1	0	0	0	0	absurdluq
abundance	0	1	1	0	1	1	1	0	0	1	bolluq
abundant	0	0	0	0	1	0	1	0	0	0	bol
abuse	1	0	1	1	0	1	0	1	0	0	sui-istifadə
abutment	0	0	0	0	0	0	0	0	0	0	dayaq
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	uçurum
abyss	0	0	0	1	0	1	0	1	0	0	uçurum
academic	0	0	0	0	0	0	1	0	0	1	akademik
academy	0	0	0	0	0	0	1	0	0	0	akademiya
accede	0	0	0	0	0	0	0	0	0	0	qoşulmaq
accelerate	0	1	0	0	0	0	0	0	0	0	sürətləndirmək
acceleration	0	0	0	0	0	0	0	0	0	0	sürətlənmə
accent	0	0	0	0	0	0	0	0	0	0	vurğu
accentuate	0	0	0	0	0	0	0	0	0	0	vurğulamaq
accept	0	0	0	0	0	0	0	0	0	0	qəbul et
acceptable	0	0	0	0	0	0	1	0	0	0	məqbuldur
acceptance	0	0	0	0	0	0	1	0	0	0	qəbul
access	0	0	0	0	0	0	0	0	0	0	Giriş
accessible	0	0	0	0	0	0	1	0	0	0	əlçatan
accession	0	0	0	0	0	0	0	0	0	0	qoşulma
accessory	0	0	0	0	0	0	0	0	0	0	Aksesuar
accident	0	0	0	1	0	1	0	1	1	0	qəza
accidental	0	0	0	1	0	1	0	0	1	0	təsadüfi
accidentally	0	0	0	0	0	0	0	0	1	0	təsadüfən
accolade	0	1	0	0	1	0	1	0	1	1	alqış
accommodate	0	0	0	0	0	0	0	0	0	0	yerləşdirmək
accommodation	0	0	0	0	0	0	1	0	0	0	yaşayış
accompaniment	0	1	0	0	1	0	1	0	0	1	müşayiət
accompany	0	0	0	0	0	0	0	0	0	0	müşayiət etmək
accompanying	0	0	0	0	0	0	0	0	0	0	müşayiət edən
accomplice	0	0	0	0	0	0	0	0	0	0	ortaq
accomplish	0	0	0	0	1	0	1	0	0	0	yerinə yetirmək
accomplished	0	0	0	0	1	0	1	0	0	0	yerinə yetirildi
accomplishment	0	0	0	0	0	0	1	0	0	0	nailiyyət
accord	0	0	0	0	0	0	1	0	0	1	razılıq
accordance	0	0	0	0	0	0	0	0	0	0	uyğun
accordion	0	0	0	0	0	0	0	0	0	0	akkordeon
account	0	0	0	0	0	0	0	0	0	1	hesab
accountability	0	0	0	0	0	0	1	0	0	1	cavabdehlik
accountable	0	0	0	0	0	0	1	0	0	1	cavabdehdir
accountant	0	0	0	0	0	0	0	0	0	1	mühasib
accounting	0	0	0	0	0	0	0	0	0	0	mühasibat uçotu
accounts	0	0	0	0	0	0	0	0	0	1	hesablar
accredited	0	0	0	0	0	0	1	0	0	1	akkreditə olunub
accretion	0	0	0	0	0	0	0	0	0	0	yığılma
accrue	0	0	0	0	0	0	0	0	0	0	yığılır
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	toplamaq
accumulation	0	0	0	0	0	0	0	0	0	0	akkumulyasiya
accuracy	0	0	0	0	0	0	0	0	0	0	dəqiqlik
accurate	0	0	0	0	0	0	1	0	0	1	dəqiq
accursed	1	0	0	1	0	1	0	1	0	0	lənətlənmiş
accusation	1	0	1	0	0	1	0	0	0	0	ittiham
accusative	0	0	0	0	0	1	0	0	0	0	ittihamedici
accused	1	0	0	1	0	1	0	0	0	0	ittiham olunur
accuser	1	0	0	1	0	1	0	0	0	0	ittihamçı
accusing	1	0	0	1	0	1	0	0	0	0	ittiham edir
accustomed	0	0	0	0	0	0	0	0	0	0	alışmış
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	sirkə
ache	0	0	0	0	0	1	0	1	0	0	ağrı
achieve	0	0	0	0	1	0	1	0	0	1	nail olmaq
achievement	0	1	0	0	1	0	1	0	0	1	nailiyyət
aching	0	0	0	0	0	1	0	1	0	0	ağrıyan
acid	0	0	0	0	0	1	0	0	0	0	turşu
acidity	0	0	0	0	0	0	0	0	0	0	turşuluq
acknowledge	0	0	0	0	0	0	0	0	0	0	etiraf etmək
acknowledged	0	0	0	0	0	0	0	0	0	0	etiraf etdi
acknowledgment	0	0	0	0	0	0	1	0	0	0	etiraf
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustik
acoustics	0	0	0	0	0	0	0	0	0	0	akustika
acquaint	0	0	0	0	0	0	0	0	0	0	tanış olmaq
acquaintance	0	0	0	0	0	0	0	0	0	0	tanışlıq
acquainted	0	0	0	0	0	0	0	0	0	0	tanış
acquiescence	0	0	0	0	0	0	0	0	0	0	razılıq
acquire	0	0	0	0	0	0	1	0	0	0	əldə etmek
acquiring	0	1	0	0	0	0	1	0	0	0	əldə etmək
acquisition	0	0	0	0	0	0	0	0	0	0	alınması
acquisitions	0	0	0	0	0	0	0	0	0	0	alışlar
acreage	0	0	0	0	0	0	0	0	0	0	akr
acres	0	0	0	0	0	0	0	0	0	0	akr
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	hərəkət
acting	0	0	0	0	0	0	0	0	0	0	aktyorluq
action	0	0	0	0	0	0	1	0	0	0	hərəkət
actionable	1	0	1	0	0	1	0	0	0	0	təsirli
active	0	0	0	0	0	0	0	0	0	0	aktiv
activity	0	0	0	0	0	0	0	0	0	0	fəaliyyət
actor	0	0	0	0	0	0	0	0	0	0	aktyor
actual	0	0	0	0	0	0	1	0	0	0	faktiki
actuality	0	0	0	0	0	0	0	0	0	0	aktuallıq
actuary	0	0	0	0	0	0	0	0	0	0	aktuar
acuity	0	0	0	0	0	0	1	0	0	0	kəskinlik
acumen	0	0	0	0	0	0	1	0	0	0	fərasət
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktur
acutely	0	0	0	0	0	0	0	0	0	0	kəskin şəkildə
adage	0	0	0	0	0	0	0	0	0	0	məsəl
adamant	0	0	0	0	0	0	0	0	0	0	israrlı
adapt	0	0	0	0	0	0	1	0	0	0	uyğunlaşdırmaq
adaptable	0	0	0	0	0	0	1	0	0	0	uyğunlaşa bilən
add	0	0	0	0	0	0	0	0	0	0	əlavə edin
added	0	0	0	0	0	0	0	0	0	0	əlavə etdi
addendum	0	0	0	0	0	0	0	0	0	0	əlavə
adder	1	0	1	1	0	1	0	1	0	0	toplayıcı
addiction	0	0	0	0	0	1	0	0	0	0	asılılıq
addition	0	0	0	0	0	0	0	0	0	0	əlavə
additional	0	0	0	0	0	0	0	0	0	0	əlavə
additive	0	0	0	0	0	0	0	0	0	0	əlavə
address	0	0	0	0	0	0	0	0	0	0	ünvanı
addressee	0	0	0	0	0	0	0	0	0	0	ünvan sahibi
addresses	0	1	0	0	0	0	1	0	0	0	ünvanlar
adept	0	0	0	0	0	0	1	0	0	0	mahir
adequacy	0	0	0	0	0	0	1	0	0	0	adekvatlıq
adequate	0	0	0	0	0	0	0	0	0	0	adekvat
adhere	0	0	0	0	0	0	0	0	0	0	riayət etmək
adherence	0	0	0	0	0	0	0	0	0	0	bağlılıq
adherent	0	0	0	0	0	0	0	0	0	0	sadiq
adhering	0	0	0	0	0	0	0	0	0	1	yapışaraq
adhesion	0	0	0	0	0	0	0	0	0	0	yapışma
adhesive	0	0	0	0	0	0	0	0	0	0	yapışqan
adieu	0	0	0	0	0	0	0	0	0	0	salam
adipose	0	0	0	0	0	1	0	0	0	0	yağlı
adjacency	0	0	0	0	0	0	0	0	0	0	qonşuluq
adjacent	0	0	0	0	0	0	0	0	0	0	bitişik
adjective	0	0	0	0	0	0	0	0	0	0	sifət
adjoining	0	0	0	0	0	0	0	0	0	0	bitişik
adjourn	0	0	0	0	0	0	0	0	0	0	fasilə vermək
adjournment	0	0	0	0	0	0	0	0	0	0	fasilə
adjudicate	0	0	0	1	0	1	0	0	0	0	hökm etmək
adjudication	0	0	0	0	0	0	0	0	0	0	mühakimə
adjunct	0	0	0	0	0	0	1	0	0	0	əlavə
adjust	0	0	0	0	0	0	0	0	0	0	tənzimləmək
adjustment	0	0	0	0	0	0	0	0	0	0	tənzimləmə
adjuvant	0	0	0	0	0	0	0	0	0	0	köməkçi
administer	0	0	0	0	0	0	0	0	0	0	idarə etmək
administration	0	0	0	0	0	0	0	0	0	0	idarə
administrative	0	0	0	0	0	0	0	0	0	1	inzibati
admirable	0	0	0	0	1	0	1	0	0	1	təqdirəlayiq
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	admirallıq
admiration	0	0	0	0	1	0	1	0	0	1	heyranlıq
admire	0	0	0	0	0	0	1	0	0	1	heyran olmaq
admirer	0	0	0	0	0	0	1	0	0	0	pərəstişkarı
admissibility	0	0	0	0	0	0	0	0	0	0	məqbulluq
admissible	0	0	0	0	0	0	1	0	0	1	məqbuldur
admission	0	0	0	0	0	0	0	0	0	0	qəbul
admit	0	0	0	0	0	0	0	0	0	0	etiraf etmək
admittance	0	0	0	0	0	0	0	0	0	0	qəbul
admitted	0	0	0	0	0	0	0	0	0	0	qəbul etdi
admitting	0	0	0	0	0	0	0	0	0	0	etiraf edir
admixture	0	0	0	0	0	0	0	0	0	0	qarışıq
admonition	0	0	0	1	0	1	0	0	0	0	nəsihət
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	yeniyetməlik
adolescent	0	0	0	0	0	0	0	0	0	0	yeniyetmə
adopt	0	0	0	0	0	0	0	0	0	0	qəbul etmək
adoption	0	0	0	0	0	0	0	0	0	0	övladlığa götürmə
adorable	0	0	0	0	1	0	1	0	0	0	cazibədar
adoration	0	0	0	0	1	0	1	0	0	1	pərəstiş
adore	0	1	0	0	1	0	1	0	0	1	pərəstiş etmək
adorn	0	0	0	0	0	0	0	0	0	0	bəzəmək
adornment	0	0	0	0	0	0	0	0	0	0	bəzək
adrift	0	1	0	1	0	1	0	1	0	0	sürünmək
adult	0	0	0	0	0	0	0	0	0	0	yetkin
adulterated	0	0	0	0	0	1	0	0	0	0	saxtalaşdırılmış
adultery	0	0	1	0	0	1	0	1	0	0	zina
advance	0	1	0	1	1	0	1	0	1	0	avans
advanced	0	0	0	0	0	0	1	0	0	0	qabaqcıl
advancement	0	0	0	0	0	0	1	0	0	0	irəliləyiş
advancing	0	0	0	0	0	0	0	0	0	0	irəliləyir
advantage	0	0	0	0	0	0	1	0	0	0	üstünlük
advantageous	0	0	0	0	0	0	1	0	0	0	sərfəli
advent	0	1	0	0	1	0	1	0	0	1	gəlişi
adventure	0	1	0	0	0	0	1	0	0	0	macəra
adventurer	0	0	0	0	0	0	0	0	0	0	macəraçı
adventurous	0	0	0	0	0	0	1	0	0	0	macəraçı
adversary	1	0	0	0	0	1	0	0	0	0	düşmən
adverse	1	0	1	1	0	1	0	1	0	0	mənfi
adversity	1	0	0	1	0	1	0	1	0	0	müsibət
advertise	0	0	0	0	0	0	0	0	0	0	reklam etmək
advertisement	0	0	0	0	0	0	0	0	0	0	reklam
advice	0	0	0	0	0	0	0	0	0	1	məsləhət
advisable	0	0	0	0	0	0	1	0	0	1	məsləhətdir
advise	0	0	0	0	0	0	1	0	0	1	məsləhət vermək
advised	0	0	0	0	0	0	0	0	0	1	məsləhət gördü
advisement	0	0	0	0	0	0	0	0	0	0	məsləhət
adviser	0	0	0	0	0	0	1	0	0	1	məsləhətçi
advocacy	1	1	0	0	1	0	1	0	0	1	vəkillik
advocate	0	0	0	0	0	0	0	0	0	1	vəkil
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	aerasiya
aerial	0	0	0	0	0	0	0	0	0	0	hava
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrom
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamika
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronavtika
aeroplane	0	0	0	0	0	0	0	0	0	0	təyyarə
aesthetic	0	0	0	0	0	0	1	0	0	0	estetik
aesthetics	0	0	0	0	1	0	1	0	0	0	estetika
aetiology	0	0	0	0	0	0	0	0	0	0	etiologiyası
afar	0	0	0	0	0	0	0	0	0	0	uzaqda
affable	0	0	0	0	0	0	1	0	0	0	mehriban
affair	0	0	0	0	0	0	0	0	0	0	iş
affecting	0	0	0	0	0	0	0	0	0	0	təsir edən
affection	0	0	0	0	1	0	1	0	0	1	məhəbbət
affections	0	0	0	0	0	0	0	0	0	0	ehtiraslar
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	ifadə
affiliated	0	0	0	0	0	0	1	0	0	0	bağlı
affiliation	0	0	0	0	0	0	0	0	0	0	mənsubiyyət
affinity	0	0	0	0	0	0	0	0	0	0	qohumluq
affirm	0	0	0	0	0	0	1	0	0	1	təsdiq etmək
affirmation	0	0	0	0	0	0	1	0	0	0	təsdiq
affirmative	0	0	0	0	0	0	1	0	0	0	təsdiqedici
affirmatively	0	0	0	0	0	0	1	0	0	1	təsdiqlə
affix	0	0	0	0	0	0	0	0	0	0	fiks
afflict	0	0	0	1	0	1	0	1	0	0	əzab çəkmək
afflicted	0	0	0	0	0	1	0	0	0	0	əziyyət çəkdi
affliction	0	0	1	1	0	1	0	1	0	0	əziyyət
affluence	0	0	0	0	1	0	1	0	0	0	zənginlik
affluent	0	0	0	0	0	0	1	0	0	0	varlı
afford	0	0	0	0	0	0	1	0	0	0	imkanı vermək
affront	1	0	1	1	0	1	0	1	1	0	təhqir etmək
afield	0	0	0	0	0	0	0	0	0	0	uzaqda
afore	0	0	0	0	0	0	0	0	0	0	əvvəl
aforementioned	0	0	0	0	0	0	0	0	0	0	yuxarıda qeyd olunan
aforesaid	0	0	0	0	0	0	0	0	0	0	yuxarıda deyilir
afraid	0	0	0	1	0	1	0	0	0	0	qorxur
afresh	0	0	0	0	0	0	0	0	0	0	təzədən
aft	0	0	0	0	0	0	0	0	0	0	arxa
aftermath	1	0	1	1	0	1	0	1	0	0	sonra
afternoon	0	0	0	0	0	0	0	0	0	0	günorta
aftertaste	0	0	0	0	0	1	0	0	0	0	daddan sonra
afterthought	0	0	0	0	0	0	0	0	0	0	sonra fikir
aga	0	0	0	1	0	0	1	0	0	1	ağa
agate	0	0	0	0	0	0	0	0	0	0	əqiq
age	0	0	0	0	0	0	0	0	0	0	yaş
aged	0	0	0	0	0	0	0	0	0	0	yaşlı
agency	0	0	0	0	0	0	0	0	0	0	agentlik
agent	0	0	0	0	0	0	0	0	0	0	agent
agglomeration	0	0	0	0	0	0	0	0	0	0	aqlomerasiya
aggravated	1	0	0	0	0	1	0	0	0	0	ağırlaşmışdır
aggravating	1	0	0	0	0	1	0	1	0	0	ağırlaşdıran
aggravation	1	0	1	0	0	1	0	0	0	0	ağırlaşma
aggregate	0	0	0	0	0	0	0	0	0	0	məcmu
aggregation	0	0	0	0	0	0	0	0	0	0	aqreqasiya
aggression	1	0	0	1	0	1	0	0	0	0	aqressiya
aggressive	1	0	0	1	0	1	0	0	0	0	aqressiv
aggressor	1	0	0	1	0	1	0	0	0	0	təcavüzkar
aghast	0	0	1	1	0	1	0	0	1	0	hirsli
agile	0	0	0	0	0	0	1	0	0	0	çevik
agility	0	0	0	0	0	0	1	0	0	0	çeviklik
agitated	1	0	0	0	0	1	0	0	0	0	həyəcanlı
agitation	1	0	0	0	0	1	0	0	0	0	təşviqat
agnostic	0	0	0	0	0	0	0	0	0	0	aqnostik
ago	0	0	0	0	0	0	0	0	0	0	əvvəl
agonizing	0	0	0	1	0	1	0	0	0	0	əzabverici
agony	1	0	0	1	0	1	0	1	0	0	əzab
agree	0	0	0	0	0	0	1	0	0	0	razılaşmaq
agreeable	0	0	0	0	0	0	1	0	0	1	məqbul
agreed	0	0	0	0	0	0	1	0	0	1	razılaşdı
agreeing	0	0	0	0	0	0	1	0	0	1	razılaşır
agreement	0	0	0	0	0	0	1	0	0	1	razılaşma
agricultural	0	0	0	0	0	0	0	0	0	0	kənd təsərrüfatı
agriculture	0	0	0	0	0	0	1	0	0	0	Kənd təsərrüfatı
aground	0	0	0	0	0	1	0	0	0	0	quruya
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	qabaqda
aid	0	0	0	0	0	0	1	0	0	0	yardım
aiding	0	0	0	0	0	0	1	0	0	0	yardım
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	xəstə
ailment	0	0	0	0	0	0	0	0	0	0	xəstəlik
aim	0	0	0	0	0	0	0	0	0	0	məqsəd
aimless	0	0	0	0	0	1	0	0	0	0	məqsədsiz
air	0	0	0	0	0	0	0	0	0	0	hava
airbag	0	0	0	0	0	0	0	0	0	0	hava yastığı
airlift	0	0	0	0	0	0	0	0	0	0	hava daşımaları
airline	0	0	0	0	0	0	0	0	0	0	aviaşirkət
airman	0	0	0	0	0	0	0	0	0	0	təyyarəçi
airplane	0	0	0	0	0	0	0	0	0	0	təyyarə
airport	0	1	0	0	0	0	0	0	0	0	hava limanı
airs	0	0	1	0	0	1	0	0	0	0	hava verir
airship	0	0	0	0	0	0	0	0	0	0	dirijabl
aisle	0	0	0	0	0	0	0	0	0	0	koridor
ait	0	0	0	0	0	0	0	0	0	0	aid
ajar	0	0	0	0	0	0	0	0	0	0	ara
akin	0	0	0	0	0	0	0	0	0	1	yaxın
alabaster	0	0	0	0	0	0	1	0	0	0	alebastr
alarm	0	0	0	1	0	1	0	0	1	0	həyəcan siqnalı
alarming	0	0	0	1	0	1	0	0	1	0	narahatedici
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	albom
alchemy	0	0	0	0	0	0	0	0	0	0	kimyagərlik
alcohol	0	0	0	0	0	0	0	0	0	0	spirt
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoqolizm
alcove	0	0	0	0	0	0	0	0	0	0	oyuk
alert	0	0	0	0	0	0	0	0	0	0	xəbərdarlıq
alertness	0	1	0	1	0	0	1	0	1	0	sayıqlıq
alerts	0	1	0	1	0	0	0	0	1	0	xəbərdarlıqlar
alfalfa	0	0	0	0	0	0	0	0	0	0	yonca
algebra	0	0	0	0	0	0	0	0	0	0	cəbr
algebraic	0	0	0	0	0	0	0	0	0	0	cəbri
algorithm	0	0	0	0	0	0	0	0	0	0	alqoritm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	yadplanetli
alienate	1	0	1	0	0	1	0	0	0	0	özgələşdirmək
alienated	0	0	0	0	0	1	0	1	0	0	özgəninkiləşdirilib
alienation	1	0	1	1	0	1	0	1	0	0	yadlaşma
alight	0	0	0	0	0	0	0	0	0	0	yanır
aligned	0	0	0	0	0	0	0	0	0	0	düzülüb
alignment	0	0	0	0	0	0	0	0	0	0	hizalanma
alike	0	0	0	0	0	0	0	0	0	0	eyni
alimentation	0	0	0	0	0	0	1	0	0	0	qidalanma
alimony	0	0	0	0	0	1	0	0	0	0	aliment
aliquot	0	0	0	0	0	0	0	0	0	0	hissəcik
alive	0	1	0	0	1	0	1	0	0	1	diri
alkali	0	0	0	0	0	0	0	0	0	0	qələvi
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloidlər
allay	0	0	0	0	0	0	1	0	0	0	sakitləşdirmək
allegation	1	0	0	0	0	1	0	0	0	0	iddia
allege	0	0	0	0	0	1	0	0	0	0	iddia edir
alleged	0	0	0	0	0	0	0	0	0	0	iddia edilir
allegiance	0	0	0	0	0	0	1	0	0	1	sədaqət
allegorical	0	0	0	0	0	0	0	0	0	0	alleqorik
allegory	0	0	0	0	0	0	0	0	0	0	alleqoriya
allegro	0	0	0	0	0	0	1	0	0	0	alleqro
alleviate	0	0	0	0	0	0	1	0	0	0	yüngülləşdirmək
alleviation	0	0	0	0	0	0	1	0	0	0	yüngülləşdirmə
alley	0	0	0	0	0	0	0	0	0	0	xiyaban
alliance	0	0	0	0	0	0	0	0	0	1	ittifaq
allied	0	0	0	0	0	0	1	0	0	1	müttəfiq
alligator	0	0	0	0	0	0	0	0	0	0	timsah
allocate	0	0	0	0	0	0	0	0	0	0	ayırmaq
allocation	0	0	0	0	0	0	0	0	0	0	ayrılması
allot	0	0	0	0	0	0	0	0	0	0	pay
allotment	0	0	0	0	0	0	0	0	0	0	paylama
allowable	0	0	0	0	0	0	1	0	0	0	icazə verilir
allowance	0	0	0	0	0	0	0	0	0	0	müavinət
allowed	0	0	0	0	0	0	0	0	0	0	icazə verilir
alloy	0	0	0	0	0	0	0	0	0	0	ərintisi
allure	0	1	0	0	1	0	1	0	1	0	cazibədarlıq
alluring	0	0	0	0	0	0	1	0	0	0	cazibədar
allusion	0	0	0	0	0	0	0	0	0	0	eyham
alluvial	0	0	0	0	0	0	0	0	0	0	allüvial
ally	0	0	0	0	0	0	1	0	0	1	müttəfiq
almanac	0	0	0	0	0	0	0	0	0	0	almanax
almighty	0	0	0	0	0	0	1	0	0	0	qüdrətli
aloft	0	0	0	0	0	0	0	0	0	0	yuxarı
aloha	0	1	0	0	1	0	1	0	0	0	salam
alongside	0	0	0	0	0	0	0	0	0	0	yanaşı
aloof	0	0	0	0	0	1	0	0	0	0	uzaq
aloud	0	0	0	0	0	0	0	0	0	0	ucadan
alphabet	0	0	0	0	0	0	0	0	0	0	əlifba
alphabetical	0	0	0	0	0	0	0	0	0	0	əlifba sırası ilə
altar	0	0	0	0	0	0	0	0	0	0	qurbangah
alter	0	0	0	0	0	0	0	0	0	0	dəyişdirmək
alteration	0	0	0	0	0	0	0	0	0	0	dəyişiklik
altercation	1	0	0	0	0	1	0	0	0	0	mübahisə
altered	0	0	0	0	0	0	0	0	0	0	dəyişdirilmiş
alternate	0	0	0	0	0	0	0	0	0	0	alternativ
alternative	0	0	0	0	0	0	0	0	0	0	alternativ
altitude	0	0	0	0	0	0	0	0	0	0	hündürlük
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	bütövlükdə
alumnus	0	0	0	0	0	0	0	0	0	0	məzun
alveolar	0	0	0	0	0	0	0	0	0	0	alveolyar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	birləşmə
amass	0	0	0	0	0	0	0	0	0	0	yığmaq
amateur	0	0	0	0	0	0	0	0	0	0	həvəskar
amaze	0	0	0	0	0	0	0	0	1	0	heyrətləndirmək
amazement	0	0	0	0	0	0	0	0	0	0	heyrət
amazingly	0	0	0	0	1	0	1	0	1	0	heyrətamiz şəkildə
ambassador	0	0	0	0	0	0	1	0	0	1	səfir
amber	0	0	0	0	0	0	0	0	0	0	kəhrəba
ambient	0	0	0	0	0	0	0	0	0	0	mühit
ambiguity	0	0	0	0	0	0	0	0	0	0	qeyri-müəyyənlik
ambiguous	0	0	0	0	0	1	0	0	0	0	qeyri-müəyyən
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	ambisiya
ambitious	0	0	0	0	0	0	0	0	0	0	iddialı
ambulance	0	0	0	1	0	0	0	0	0	1	təcili yardım
ambush	1	0	0	1	0	1	0	0	1	0	pusquya düşmək
ameliorate	0	0	0	0	0	0	1	0	0	0	yaxşılaşdırmaq
amen	0	0	0	0	1	0	1	0	0	1	amin
amenable	0	0	0	0	0	0	1	0	0	0	münasib
amend	0	0	0	0	0	0	1	0	0	0	düzəliş etmək
amendment	0	0	0	0	0	0	0	0	0	0	düzəliş
amends	0	0	0	0	0	0	1	0	0	0	düzəlişlər edir
amenity	0	0	0	0	0	0	1	0	0	0	rahatlıq
amethyst	0	0	0	0	0	0	0	0	0	0	ametist
amiable	0	0	0	0	0	0	1	0	0	0	mehriban
amicable	0	0	0	0	1	0	1	0	0	0	mehriban
amid	0	0	0	0	0	0	0	0	0	0	arasında
amidst	0	0	0	0	0	0	0	0	0	0	arasında
