English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Estonian Word
aggressor	1	0	0	1	0	1	0	0	0	0	agressor
aghast	0	0	1	1	0	1	0	0	1	0	jahmunud
agile	0	0	0	0	0	0	1	0	0	0	vilgas
agility	0	0	0	0	0	0	1	0	0	0	agility
agitated	1	0	0	0	0	1	0	0	0	0	ärevil
agitation	1	0	0	0	0	1	0	0	0	0	agitatsioon
agnostic	0	0	0	0	0	0	0	0	0	0	agnostik
ago	0	0	0	0	0	0	0	0	0	0	tagasi
agonizing	0	0	0	1	0	1	0	0	0	0	piinav
agony	1	0	0	1	0	1	0	1	0	0	agoonia
agree	0	0	0	0	0	0	1	0	0	0	nõus
agreeable	0	0	0	0	0	0	1	0	0	1	meeldiv
agreed	0	0	0	0	0	0	1	0	0	1	nõus
agreeing	0	0	0	0	0	0	1	0	0	1	nõustudes
agreement	0	0	0	0	0	0	1	0	0	1	kokkuleppele
agricultural	0	0	0	0	0	0	0	0	0	0	põllumajanduslik
agriculture	0	0	0	0	0	0	1	0	0	0	põllumajandus
aground	0	0	0	0	0	1	0	0	0	0	madalikule
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	ees
aid	0	0	0	0	0	0	1	0	0	0	abi
aiding	0	0	0	0	0	0	1	0	0	0	abistamine
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	haige
ailment	0	0	0	0	0	0	0	0	0	0	haigus
aim	0	0	0	0	0	0	0	0	0	0	eesmärk
aimless	0	0	0	0	0	1	0	0	0	0	sihitu
air	0	0	0	0	0	0	0	0	0	0	õhku
airbag	0	0	0	0	0	0	0	0	0	0	turvapadi
airlift	0	0	0	0	0	0	0	0	0	0	õhutransport
airline	0	0	0	0	0	0	0	0	0	0	lennufirma
airman	0	0	0	0	0	0	0	0	0	0	lennumees
airplane	0	0	0	0	0	0	0	0	0	0	lennuk
airport	0	1	0	0	0	0	0	0	0	0	lennujaam
airs	0	0	1	0	0	1	0	0	0	0	eetrisse
airship	0	0	0	0	0	0	0	0	0	0	õhulaev
aisle	0	0	0	0	0	0	0	0	0	0	vahekäiku
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	paokil
akin	0	0	0	0	0	0	0	0	0	1	sarnane
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	äratus
alarming	0	0	0	1	0	1	0	0	1	0	murettekitav
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alkeemia
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholism
alcove	0	0	0	0	0	0	0	0	0	0	alkoov
alert	0	0	0	0	0	0	0	0	0	0	hoiatus
alertness	0	1	0	1	0	0	1	0	1	0	erksus
alerts	0	1	0	1	0	0	0	0	1	0	hoiatused
alfalfa	0	0	0	0	0	0	0	0	0	0	lutsern
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraline
algorithm	0	0	0	0	0	0	0	0	0	0	algoritm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	tulnukas
alienate	1	0	1	0	0	1	0	0	0	0	võõrandama
alienated	0	0	0	0	0	1	0	1	0	0	võõrandunud
alienation	1	0	1	1	0	1	0	1	0	0	võõrandumine
alight	0	0	0	0	0	0	0	0	0	0	põlema
aligned	0	0	0	0	0	0	0	0	0	0	joondatud
alignment	0	0	0	0	0	0	0	0	0	0	joondus
alike	0	0	0	0	0	0	0	0	0	0	samasugused
alimentation	0	0	0	0	0	0	1	0	0	0	toitumine
alimony	0	0	0	0	0	1	0	0	0	0	elatisraha
aliquot	0	0	0	0	0	0	0	0	0	0	alikvoot
alive	0	1	0	0	1	0	1	0	0	1	elus
alkali	0	0	0	0	0	0	0	0	0	0	leelis
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloidid
allay	0	0	0	0	0	0	1	0	0	0	leevendada
allegation	1	0	0	0	0	1	0	0	0	0	süüdistus
allege	0	0	0	0	0	1	0	0	0	0	väita
alleged	0	0	0	0	0	0	0	0	0	0	väidetavalt
allegiance	0	0	0	0	0	0	1	0	0	1	truudust
allegorical	0	0	0	0	0	0	0	0	0	0	allegooriline
allegory	0	0	0	0	0	0	0	0	0	0	allegooria
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	leevendada
alleviation	0	0	0	0	0	0	1	0	0	0	leevendamine
alley	0	0	0	0	0	0	0	0	0	0	allee
alliance	0	0	0	0	0	0	0	0	0	1	liit
allied	0	0	0	0	0	0	1	0	0	1	liitlane
alligator	0	0	0	0	0	0	0	0	0	0	alligaator
allocate	0	0	0	0	0	0	0	0	0	0	eraldama
allocation	0	0	0	0	0	0	0	0	0	0	eraldamine
allot	0	0	0	0	0	0	0	0	0	0	eraldama
allotment	0	0	0	0	0	0	0	0	0	0	jaotus
allowable	0	0	0	0	0	0	1	0	0	0	lubatud
allowance	0	0	0	0	0	0	0	0	0	0	toetust
allowed	0	0	0	0	0	0	0	0	0	0	lubatud
alloy	0	0	0	0	0	0	0	0	0	0	sulam
allure	0	1	0	0	1	0	1	0	1	0	võlu
alluring	0	0	0	0	0	0	1	0	0	0	ahvatlev
allusion	0	0	0	0	0	0	0	0	0	0	vihje
alluvial	0	0	0	0	0	0	0	0	0	0	loopealsed
ally	0	0	0	0	0	0	1	0	0	1	liitlane
almanac	0	0	0	0	0	0	0	0	0	0	almanahh
almighty	0	0	0	0	0	0	1	0	0	0	kõikvõimas
aloft	0	0	0	0	0	0	0	0	0	0	kõrgel
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	kõrval
aloof	0	0	0	0	0	1	0	0	0	0	eemalehoidev
aloud	0	0	0	0	0	0	0	0	0	0	valjusti
alphabet	0	0	0	0	0	0	0	0	0	0	tähestik
alphabetical	0	0	0	0	0	0	0	0	0	0	tähestikuline
altar	0	0	0	0	0	0	0	0	0	0	altar
alter	0	0	0	0	0	0	0	0	0	0	muuda
alteration	0	0	0	0	0	0	0	0	0	0	muutmine
altercation	1	0	0	0	0	1	0	0	0	0	tüli
altered	0	0	0	0	0	0	0	0	0	0	muudetud
alternate	0	0	0	0	0	0	0	0	0	0	vaheldumisi
alternative	0	0	0	0	0	0	0	0	0	0	alternatiivne
altitude	0	0	0	0	0	0	0	0	0	0	kõrgusel
alto	0	0	0	0	0	0	0	0	0	0	alt
altogether	0	0	0	0	0	0	0	0	0	0	üldse
alumnus	0	0	0	0	0	0	0	0	0	0	vilistlane
alveolar	0	0	0	0	0	0	0	0	0	0	alveolaarne
amalgam	0	0	0	0	0	0	0	0	0	0	amalgaam
amalgamation	0	0	0	0	0	0	0	0	0	0	liitmine
amass	0	0	0	0	0	0	0	0	0	0	koguma
amateur	0	0	0	0	0	0	0	0	0	0	amatöör
amaze	0	0	0	0	0	0	0	0	1	0	hämmastama
amazement	0	0	0	0	0	0	0	0	0	0	hämmastus
amazingly	0	0	0	0	1	0	1	0	1	0	hämmastavalt
ambassador	0	0	0	0	0	0	1	0	0	1	suursaadik
amber	0	0	0	0	0	0	0	0	0	0	merevaigukollane
ambient	0	0	0	0	0	0	0	0	0	0	ambientne
ambiguity	0	0	0	0	0	0	0	0	0	0	ebaselgus
ambiguous	0	0	0	0	0	1	0	0	0	0	mitmetähenduslik
ambit	0	0	0	0	0	0	0	0	0	0	ambitsioon
ambition	0	1	0	0	1	0	1	0	0	1	ambitsioon
ambitious	0	0	0	0	0	0	0	0	0	0	edasipüüdlik
ambulance	0	0	0	1	0	0	0	0	0	1	kiirabi
ambush	1	0	0	1	0	1	0	0	1	0	varitsus
ameliorate	0	0	0	0	0	0	1	0	0	0	parandama
amen	0	0	0	0	1	0	1	0	0	1	aamen
amenable	0	0	0	0	0	0	1	0	0	0	vastutulelik
amend	0	0	0	0	0	0	1	0	0	0	muuta
amendment	0	0	0	0	0	0	0	0	0	0	muudatus
amends	0	0	0	0	0	0	1	0	0	0	muudab
amenity	0	0	0	0	0	0	1	0	0	0	mugavus
amethyst	0	0	0	0	0	0	0	0	0	0	ametüst
amiable	0	0	0	0	0	0	1	0	0	0	sõbralik
amicable	0	0	0	0	1	0	1	0	0	0	sõbralik
amid	0	0	0	0	0	0	0	0	0	0	keset
amidst	0	0	0	0	0	0	0	0	0	0	keset
ammonia	0	0	1	0	0	0	0	0	0	0	ammoniaak
ammunition	0	0	0	0	0	0	0	0	0	0	laskemoon
amnesia	0	0	0	0	0	1	0	0	0	0	amneesia
amnesty	0	0	0	0	1	0	1	0	0	0	amnestia
amorphous	0	0	0	0	0	0	0	0	0	0	amorfne
amortization	0	0	0	0	0	0	0	0	0	1	amortisatsioon
amount	0	0	0	0	0	0	0	0	0	0	summa
amour	0	1	0	0	1	0	1	0	0	1	armastus
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetamiinid
amphibian	0	0	0	0	0	0	0	0	0	0	kahepaiksed
