English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Basque Word
abundance	0	1	1	0	1	1	1	0	0	1	ugaritasuna
abundant	0	0	0	0	1	0	1	0	0	0	ugaria
abuse	1	0	1	1	0	1	0	1	0	0	tratu txarrak
abutment	0	0	0	0	0	0	0	0	0	0	estalpea
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	ikaragarria
abyss	0	0	0	1	0	1	0	1	0	0	amildegia
academic	0	0	0	0	0	0	1	0	0	1	akademikoa
academy	0	0	0	0	0	0	1	0	0	0	akademia
accede	0	0	0	0	0	0	0	0	0	0	sartu
accelerate	0	1	0	0	0	0	0	0	0	0	bizkortu
acceleration	0	0	0	0	0	0	0	0	0	0	azelerazioa
accent	0	0	0	0	0	0	0	0	0	0	azentua
accentuate	0	0	0	0	0	0	0	0	0	0	areagotu
accept	0	0	0	0	0	0	0	0	0	0	onartu
acceptable	0	0	0	0	0	0	1	0	0	0	onargarria
acceptance	0	0	0	0	0	0	1	0	0	0	onarpena
access	0	0	0	0	0	0	0	0	0	0	sarbidea
accessible	0	0	0	0	0	0	1	0	0	0	eskuragarria
accession	0	0	0	0	0	0	0	0	0	0	atxikimendua
accessory	0	0	0	0	0	0	0	0	0	0	osagarria
accident	0	0	0	1	0	1	0	1	1	0	istripua
accidental	0	0	0	1	0	1	0	0	1	0	ustekabekoa
accidentally	0	0	0	0	0	0	0	0	1	0	ustekabean
accolade	0	1	0	0	1	0	1	0	1	1	laudorioa
accommodate	0	0	0	0	0	0	0	0	0	0	egokitu
accommodation	0	0	0	0	0	0	1	0	0	0	ostatua
accompaniment	0	1	0	0	1	0	1	0	0	1	akonpainamendua
accompany	0	0	0	0	0	0	0	0	0	0	lagundu
accompanying	0	0	0	0	0	0	0	0	0	0	lagunduta
accomplice	0	0	0	0	0	0	0	0	0	0	konplize
accomplish	0	0	0	0	1	0	1	0	0	0	bete
accomplished	0	0	0	0	1	0	1	0	0	0	betea
accomplishment	0	0	0	0	0	0	1	0	0	0	lorpena
accord	0	0	0	0	0	0	1	0	0	1	adostasuna
accordance	0	0	0	0	0	0	0	0	0	0	adostasuna
accordion	0	0	0	0	0	0	0	0	0	0	akordeoia
account	0	0	0	0	0	0	0	0	0	1	kontua
accountability	0	0	0	0	0	0	1	0	0	1	erantzukizuna
accountable	0	0	0	0	0	0	1	0	0	1	kontuak
accountant	0	0	0	0	0	0	0	0	0	1	kontulari
accounting	0	0	0	0	0	0	0	0	0	0	kontabilitatea
accounts	0	0	0	0	0	0	0	0	0	1	kontuak
accredited	0	0	0	0	0	0	1	0	0	1	akreditatua
accretion	0	0	0	0	0	0	0	0	0	0	gehikuntza
accrue	0	0	0	0	0	0	0	0	0	0	metatu
accueil	0	0	0	0	0	0	1	0	0	0	harrera
accumulate	0	0	0	0	0	0	0	0	0	0	metatu
accumulation	0	0	0	0	0	0	0	0	0	0	metaketa
accuracy	0	0	0	0	0	0	0	0	0	0	zehaztasuna
accurate	0	0	0	0	0	0	1	0	0	1	zehatza
accursed	1	0	0	1	0	1	0	1	0	0	madarikatua
accusation	1	0	1	0	0	1	0	0	0	0	salaketa
accusative	0	0	0	0	0	1	0	0	0	0	akusatiboa
accused	1	0	0	1	0	1	0	0	0	0	salatua
accuser	1	0	0	1	0	1	0	0	0	0	salatzailea
accusing	1	0	0	1	0	1	0	0	0	0	salatzen
accustomed	0	0	0	0	0	0	0	0	0	0	ohituta
ace	0	0	0	0	0	0	1	0	0	0	batekoa
acetic	0	0	0	0	0	0	0	0	0	0	azetikoa
ache	0	0	0	0	0	1	0	1	0	0	mina
achieve	0	0	0	0	1	0	1	0	0	1	lortu
achievement	0	1	0	0	1	0	1	0	0	1	lorpena
aching	0	0	0	0	0	1	0	1	0	0	minbera
acid	0	0	0	0	0	1	0	0	0	0	azidoa
acidity	0	0	0	0	0	0	0	0	0	0	azidotasuna
acknowledge	0	0	0	0	0	0	0	0	0	0	aitortu
acknowledged	0	0	0	0	0	0	0	0	0	0	aitortu
acknowledgment	0	0	0	0	0	0	1	0	0	0	aitorpena
acme	0	0	0	0	0	0	0	0	0	0	akme
acoustic	0	0	0	0	0	0	0	0	0	0	akustikoa
acoustics	0	0	0	0	0	0	0	0	0	0	akustika
acquaint	0	0	0	0	0	0	0	0	0	0	ezagutu
acquaintance	0	0	0	0	0	0	0	0	0	0	ezagun
acquainted	0	0	0	0	0	0	0	0	0	0	ezagunak
acquiescence	0	0	0	0	0	0	0	0	0	0	adostasuna
acquire	0	0	0	0	0	0	1	0	0	0	eskuratu
acquiring	0	1	0	0	0	0	1	0	0	0	eskuratzen
acquisition	0	0	0	0	0	0	0	0	0	0	eskuratzea
acquisitions	0	0	0	0	0	0	0	0	0	0	eskuraketak
acreage	0	0	0	0	0	0	0	0	0	0	azalera
acres	0	0	0	0	0	0	0	0	0	0	hektarea
acrobat	0	0	0	1	1	0	1	0	0	1	akrobata
act	0	0	0	0	0	0	0	0	0	0	jardun
acting	0	0	0	0	0	0	0	0	0	0	antzezten
action	0	0	0	0	0	0	1	0	0	0	ekintza
actionable	1	0	1	0	0	1	0	0	0	0	jarduteko modukoa
active	0	0	0	0	0	0	0	0	0	0	aktiboa
activity	0	0	0	0	0	0	0	0	0	0	jarduera
actor	0	0	0	0	0	0	0	0	0	0	aktorea
actual	0	0	0	0	0	0	1	0	0	0	benetakoa
actuality	0	0	0	0	0	0	0	0	0	0	aktualitatea
actuary	0	0	0	0	0	0	0	0	0	0	aktuario
acuity	0	0	0	0	0	0	1	0	0	0	zorroztasuna
acumen	0	0	0	0	0	0	1	0	0	0	zaletasuna
acupuncture	0	0	0	0	0	0	0	0	0	0	akupuntura
acutely	0	0	0	0	0	0	0	0	0	0	zorrotz
adage	0	0	0	0	0	0	0	0	0	0	esaera
adamant	0	0	0	0	0	0	0	0	0	0	irmo
adapt	0	0	0	0	0	0	1	0	0	0	moldatu
adaptable	0	0	0	0	0	0	1	0	0	0	moldagarria
add	0	0	0	0	0	0	0	0	0	0	gehitu
added	0	0	0	0	0	0	0	0	0	0	gehitu
addendum	0	0	0	0	0	0	0	0	0	0	gehigarria
adder	1	0	1	1	0	1	0	1	0	0	batutzailea
addiction	0	0	0	0	0	1	0	0	0	0	mendekotasuna
addition	0	0	0	0	0	0	0	0	0	0	gainera
additional	0	0	0	0	0	0	0	0	0	0	osagarria
additive	0	0	0	0	0	0	0	0	0	0	gehigarria
address	0	0	0	0	0	0	0	0	0	0	helbidea
addressee	0	0	0	0	0	0	0	0	0	0	hartzailea
addresses	0	1	0	0	0	0	1	0	0	0	helbideak
adept	0	0	0	0	0	0	1	0	0	0	trebea
adequacy	0	0	0	0	0	0	1	0	0	0	egokitasuna
adequate	0	0	0	0	0	0	0	0	0	0	egokia
adhere	0	0	0	0	0	0	0	0	0	0	atxiki
adherence	0	0	0	0	0	0	0	0	0	0	atxikimendua
adherent	0	0	0	0	0	0	0	0	0	0	atxikia
adhering	0	0	0	0	0	0	0	0	0	1	atxikitzen
adhesion	0	0	0	0	0	0	0	0	0	0	atxikimendua
adhesive	0	0	0	0	0	0	0	0	0	0	itsasgarri
adieu	0	0	0	0	0	0	0	0	0	0	agur
adipose	0	0	0	0	0	1	0	0	0	0	adiposoa
adjacency	0	0	0	0	0	0	0	0	0	0	albokotasuna
adjacent	0	0	0	0	0	0	0	0	0	0	ondoan
adjective	0	0	0	0	0	0	0	0	0	0	izenlaguna
adjoining	0	0	0	0	0	0	0	0	0	0	aldamenean
adjourn	0	0	0	0	0	0	0	0	0	0	eten
adjournment	0	0	0	0	0	0	0	0	0	0	etenaldia
adjudicate	0	0	0	1	0	1	0	0	0	0	epaitu
adjudication	0	0	0	0	0	0	0	0	0	0	adjudikazioa
adjunct	0	0	0	0	0	0	1	0	0	0	osagarria
adjust	0	0	0	0	0	0	0	0	0	0	egokitu
adjustment	0	0	0	0	0	0	0	0	0	0	doikuntza
adjuvant	0	0	0	0	0	0	0	0	0	0	laguntzailea
administer	0	0	0	0	0	0	0	0	0	0	administratu
administration	0	0	0	0	0	0	0	0	0	0	administrazioa
administrative	0	0	0	0	0	0	0	0	0	1	administratiboa
admirable	0	0	0	0	1	0	1	0	0	1	miresgarria
admiral	0	0	0	0	0	0	1	0	0	1	almirante
admiralty	0	0	0	0	0	0	0	0	0	0	almirantea
admiration	0	0	0	0	1	0	1	0	0	1	miresmena
admire	0	0	0	0	0	0	1	0	0	1	miretsi
admirer	0	0	0	0	0	0	1	0	0	0	miresle
admissibility	0	0	0	0	0	0	0	0	0	0	onargarritasuna
admissible	0	0	0	0	0	0	1	0	0	1	onargarria
admission	0	0	0	0	0	0	0	0	0	0	onarpena
admit	0	0	0	0	0	0	0	0	0	0	onartu
admittance	0	0	0	0	0	0	0	0	0	0	onarpena
admitted	0	0	0	0	0	0	0	0	0	0	onartu
admitting	0	0	0	0	0	0	0	0	0	0	onartuz
admixture	0	0	0	0	0	0	0	0	0	0	nahasketa
admonition	0	0	0	1	0	1	0	0	0	0	abisua
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	nerabezaroa
adolescent	0	0	0	0	0	0	0	0	0	0	nerabe
adopt	0	0	0	0	0	0	0	0	0	0	adoptatu
adoption	0	0	0	0	0	0	0	0	0	0	adopzioa
adorable	0	0	0	0	1	0	1	0	0	0	adoragarria
adoration	0	0	0	0	1	0	1	0	0	1	adorazioa
adore	0	1	0	0	1	0	1	0	0	1	adoratu
adorn	0	0	0	0	0	0	0	0	0	0	apaindu
adornment	0	0	0	0	0	0	0	0	0	0	apaingarri
adrift	0	1	0	1	0	1	0	1	0	0	noraezean
adult	0	0	0	0	0	0	0	0	0	0	heldua
adulterated	0	0	0	0	0	1	0	0	0	0	adulteratua
adultery	0	0	1	0	0	1	0	1	0	0	adulterioa
advance	0	1	0	1	1	0	1	0	1	0	aldez aurretik
advanced	0	0	0	0	0	0	1	0	0	0	aurreratua
advancement	0	0	0	0	0	0	1	0	0	0	aurrerapena
advancing	0	0	0	0	0	0	0	0	0	0	aurreratuz
advantage	0	0	0	0	0	0	1	0	0	0	abantaila
advantageous	0	0	0	0	0	0	1	0	0	0	abantailatsu
advent	0	1	0	0	1	0	1	0	0	1	etorrera
adventure	0	1	0	0	0	0	1	0	0	0	abentura
adventurer	0	0	0	0	0	0	0	0	0	0	abenturazalea
adventurous	0	0	0	0	0	0	1	0	0	0	abenturazalea
adversary	1	0	0	0	0	1	0	0	0	0	aurkari
adverse	1	0	1	1	0	1	0	1	0	0	kontrakoa
adversity	1	0	0	1	0	1	0	1	0	0	ezbeharra
advertise	0	0	0	0	0	0	0	0	0	0	iragarki
advertisement	0	0	0	0	0	0	0	0	0	0	iragarkia
advice	0	0	0	0	0	0	0	0	0	1	aholkuak
advisable	0	0	0	0	0	0	1	0	0	1	komenigarria
advise	0	0	0	0	0	0	1	0	0	1	aholkatu
advised	0	0	0	0	0	0	0	0	0	1	gomendatu
advisement	0	0	0	0	0	0	0	0	0	0	aholkua
adviser	0	0	0	0	0	0	1	0	0	1	aholkulari
advocacy	1	1	0	0	1	0	1	0	0	1	aldarrikapena
advocate	0	0	0	0	0	0	0	0	0	1	defendatzailea
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	aireztapena
aerial	0	0	0	0	0	0	0	0	0	0	airekoa
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodromoa
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamika
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautika
aeroplane	0	0	0	0	0	0	0	0	0	0	hegazkin
aesthetic	0	0	0	0	0	0	1	0	0	0	estetikoa
aesthetics	0	0	0	0	1	0	1	0	0	0	estetika
aetiology	0	0	0	0	0	0	0	0	0	0	etiologia
afar	0	0	0	0	0	0	0	0	0	0	urrun
affable	0	0	0	0	0	0	1	0	0	0	adeigarria
affair	0	0	0	0	0	0	0	0	0	0	afera
affecting	0	0	0	0	0	0	0	0	0	0	eragiten
affection	0	0	0	0	1	0	1	0	0	1	maitasuna
affections	0	0	0	0	0	0	0	0	0	0	afektuak
affiche	0	0	0	0	0	0	0	0	0	0	kartela
affidavit	0	0	0	0	0	0	0	0	0	0	zinpeko aitorpena
affiliated	0	0	0	0	0	0	1	0	0	0	afiliatua
affiliation	0	0	0	0	0	0	0	0	0	0	afiliazioa
affinity	0	0	0	0	0	0	0	0	0	0	kidetasuna
affirm	0	0	0	0	0	0	1	0	0	1	baietz
affirmation	0	0	0	0	0	0	1	0	0	0	baieztapena
affirmative	0	0	0	0	0	0	1	0	0	0	baiezkoa
affirmatively	0	0	0	0	0	0	1	0	0	1	baietz
affix	0	0	0	0	0	0	0	0	0	0	afixua
afflict	0	0	0	1	0	1	0	1	0	0	mindu
afflicted	0	0	0	0	0	1	0	0	0	0	minduta
affliction	0	0	1	1	0	1	0	1	0	0	gaitz
affluence	0	0	0	0	1	0	1	0	0	0	oparotasuna
affluent	0	0	0	0	0	0	1	0	0	0	aberatsa
afford	0	0	0	0	0	0	1	0	0	0	ordaindu
affront	1	0	1	1	0	1	0	1	1	0	afronta
afield	0	0	0	0	0	0	0	0	0	0	kanpoan
afore	0	0	0	0	0	0	0	0	0	0	aurretik
aforementioned	0	0	0	0	0	0	0	0	0	0	aipatutakoa
aforesaid	0	0	0	0	0	0	0	0	0	0	lehen esandakoa
afraid	0	0	0	1	0	1	0	0	0	0	beldur
afresh	0	0	0	0	0	0	0	0	0	0	barriz
aft	0	0	0	0	0	0	0	0	0	0	atzean
aftermath	1	0	1	1	0	1	0	1	0	0	ondorengoa
afternoon	0	0	0	0	0	0	0	0	0	0	arratsaldean
aftertaste	0	0	0	0	0	1	0	0	0	0	zaporea
afterthought	0	0	0	0	0	0	0	0	0	0	ondoren pentsatuta
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agata
age	0	0	0	0	0	0	0	0	0	0	adina
aged	0	0	0	0	0	0	0	0	0	0	zahartua
agency	0	0	0	0	0	0	0	0	0	0	agentzia
agent	0	0	0	0	0	0	0	0	0	0	agente
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomerazioa
aggravated	1	0	0	0	0	1	0	0	0	0	larriagotu
aggravating	1	0	0	0	0	1	0	1	0	0	larrigarri
aggravation	1	0	1	0	0	1	0	0	0	0	larritasuna
aggregate	0	0	0	0	0	0	0	0	0	0	agregatua
aggregation	0	0	0	0	0	0	0	0	0	0	batuketa
aggression	1	0	0	1	0	1	0	0	0	0	oldarkortasuna
aggressive	1	0	0	1	0	1	0	0	0	0	oldarkorra
aggressor	1	0	0	1	0	1	0	0	0	0	erasotzailea
aghast	0	0	1	1	0	1	0	0	1	0	ikaratuta
agile	0	0	0	0	0	0	1	0	0	0	arin
agility	0	0	0	0	0	0	1	0	0	0	arintasuna
agitated	1	0	0	0	0	1	0	0	0	0	asaldatuta
agitation	1	0	0	0	0	1	0	0	0	0	asaldura
agnostic	0	0	0	0	0	0	0	0	0	0	agnostikoa
ago	0	0	0	0	0	0	0	0	0	0	duela
agonizing	0	0	0	1	0	1	0	0	0	0	agonizagarria
agony	1	0	0	1	0	1	0	1	0	0	agonia
agree	0	0	0	0	0	0	1	0	0	0	ados
agreeable	0	0	0	0	0	0	1	0	0	1	atsegina
agreed	0	0	0	0	0	0	1	0	0	1	adostu
agreeing	0	0	0	0	0	0	1	0	0	1	adostuz
agreement	0	0	0	0	0	0	1	0	0	1	akordioa
agricultural	0	0	0	0	0	0	0	0	0	0	nekazaritza
agriculture	0	0	0	0	0	0	1	0	0	0	nekazaritza
aground	0	0	0	0	0	1	0	0	0	0	lurrean
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	aurrera
aid	0	0	0	0	0	0	1	0	0	0	laguntza
aiding	0	0	0	0	0	0	1	0	0	0	lagunduz
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	gaixorik
ailment	0	0	0	0	0	0	0	0	0	0	gaitza
aim	0	0	0	0	0	0	0	0	0	0	helburua
aimless	0	0	0	0	0	1	0	0	0	0	helbururik gabe
air	0	0	0	0	0	0	0	0	0	0	airea
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	aire-garraioa
airline	0	0	0	0	0	0	0	0	0	0	aire konpainia
airman	0	0	0	0	0	0	0	0	0	0	airelaria
airplane	0	0	0	0	0	0	0	0	0	0	hegazkin
airport	0	1	0	0	0	0	0	0	0	0	aireportua
airs	0	0	1	0	0	1	0	0	0	0	aireak
airship	0	0	0	0	0	0	0	0	0	0	aireontzia
aisle	0	0	0	0	0	0	0	0	0	0	pasilloa
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	antzekoa
alabaster	0	0	0	0	0	0	1	0	0	0	alabastroa
alarm	0	0	0	1	0	1	0	0	1	0	alarma
alarming	0	0	0	1	0	1	0	0	1	0	kezkagarria
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	albuma
alchemy	0	0	0	0	0	0	0	0	0	0	alkimia
alcohol	0	0	0	0	0	0	0	0	0	0	alkohola
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholismoa
alcove	0	0	0	0	0	0	0	0	0	0	alkoba
alert	0	0	0	0	0	0	0	0	0	0	alerta
alertness	0	1	0	1	0	0	1	0	1	0	aditasuna
alerts	0	1	0	1	0	0	0	0	1	0	alertak
alfalfa	0	0	0	0	0	0	0	0	0	0	alpapa
algebra	0	0	0	0	0	0	0	0	0	0	aljebra
algebraic	0	0	0	0	0	0	0	0	0	0	aljebraikoa
algorithm	0	0	0	0	0	0	0	0	0	0	algoritmoa
alibi	0	0	0	0	0	0	0	0	0	0	alibia
alien	0	0	1	1	0	1	0	0	0	0	arrotza
alienate	1	0	1	0	0	1	0	0	0	0	alienatu
alienated	0	0	0	0	0	1	0	1	0	0	alienatua
alienation	1	0	1	1	0	1	0	1	0	0	alienazioa
alight	0	0	0	0	0	0	0	0	0	0	piztu
aligned	0	0	0	0	0	0	0	0	0	0	lerrokatuta
alignment	0	0	0	0	0	0	0	0	0	0	lerrokatzea
alike	0	0	0	0	0	0	0	0	0	0	berdin
alimentation	0	0	0	0	0	0	1	0	0	0	elikadura
alimony	0	0	0	0	0	1	0	0	0	0	mantenugaia
aliquot	0	0	0	0	0	0	0	0	0	0	alikuota
alive	0	1	0	0	1	0	1	0	0	1	bizirik
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloideak
allay	0	0	0	0	0	0	1	0	0	0	uxatu
allegation	1	0	0	0	0	1	0	0	0	0	alegazioa
allege	0	0	0	0	0	1	0	0	0	0	alegatu
alleged	0	0	0	0	0	0	0	0	0	0	ustez
allegiance	0	0	0	0	0	0	1	0	0	1	leialtasuna
allegorical	0	0	0	0	0	0	0	0	0	0	alegorikoa
allegory	0	0	0	0	0	0	0	0	0	0	alegoria
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	arindu
alleviation	0	0	0	0	0	0	1	0	0	0	arintzea
alley	0	0	0	0	0	0	0	0	0	0	kalezuloa
alliance	0	0	0	0	0	0	0	0	0	1	aliantza
allied	0	0	0	0	0	0	1	0	0	1	aliatuak
alligator	0	0	0	0	0	0	0	0	0	0	aligator
allocate	0	0	0	0	0	0	0	0	0	0	esleitu
allocation	0	0	0	0	0	0	0	0	0	0	esleipena
allot	0	0	0	0	0	0	0	0	0	0	esleitu
allotment	0	0	0	0	0	0	0	0	0	0	zuzkidura
allowable	0	0	0	0	0	0	1	0	0	0	onargarria
allowance	0	0	0	0	0	0	0	0	0	0	hobaria
allowed	0	0	0	0	0	0	0	0	0	0	baimenduta
alloy	0	0	0	0	0	0	0	0	0	0	aleazio
allure	0	1	0	0	1	0	1	0	1	0	erakargarritasuna
alluring	0	0	0	0	0	0	1	0	0	0	erakargarri
allusion	0	0	0	0	0	0	0	0	0	0	aipamena
alluvial	0	0	0	0	0	0	0	0	0	0	alubiala
ally	0	0	0	0	0	0	1	0	0	1	aliatua
almanac	0	0	0	0	0	0	0	0	0	0	almanaka
almighty	0	0	0	0	0	0	1	0	0	0	ahalguztidun
aloft	0	0	0	0	0	0	0	0	0	0	gorago
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	ondoan
aloof	0	0	0	0	0	1	0	0	0	0	urrun
aloud	0	0	0	0	0	0	0	0	0	0	ozenki
alphabet	0	0	0	0	0	0	0	0	0	0	alfabetoa
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabetikoa
altar	0	0	0	0	0	0	0	0	0	0	aldarea
alter	0	0	0	0	0	0	0	0	0	0	aldatu
alteration	0	0	0	0	0	0	0	0	0	0	alterazioa
altercation	1	0	0	0	0	1	0	0	0	0	liskarra
altered	0	0	0	0	0	0	0	0	0	0	aldatuta
alternate	0	0	0	0	0	0	0	0	0	0	ordezkatu
alternative	0	0	0	0	0	0	0	0	0	0	alternatiba
altitude	0	0	0	0	0	0	0	0	0	0	altuera
alto	0	0	0	0	0	0	0	0	0	0	altua
altogether	0	0	0	0	0	0	0	0	0	0	guztiz
alumnus	0	0	0	0	0	0	0	0	0	0	ikasle ohia
alveolar	0	0	0	0	0	0	0	0	0	0	albeolarra
amalgam	0	0	0	0	0	0	0	0	0	0	amalgama
amalgamation	0	0	0	0	0	0	0	0	0	0	batuketa
amass	0	0	0	0	0	0	0	0	0	0	pilatu
amateur	0	0	0	0	0	0	0	0	0	0	amateurra
amaze	0	0	0	0	0	0	0	0	1	0	harritu
amazement	0	0	0	0	0	0	0	0	0	0	harridura
amazingly	0	0	0	0	1	0	1	0	1	0	harrigarria
ambassador	0	0	0	0	0	0	1	0	0	1	enbaxadore
amber	0	0	0	0	0	0	0	0	0	0	anbarra
ambient	0	0	0	0	0	0	0	0	0	0	giroa
ambiguity	0	0	0	0	0	0	0	0	0	0	anbiguotasuna
ambiguous	0	0	0	0	0	1	0	0	0	0	anbiguoa
ambit	0	0	0	0	0	0	0	0	0	0	esparrua
ambition	0	1	0	0	1	0	1	0	0	1	anbizioa
ambitious	0	0	0	0	0	0	0	0	0	0	asmo handikoa
ambulance	0	0	0	1	0	0	0	0	0	1	anbulantzia
ambush	1	0	0	1	0	1	0	0	1	0	segada
ameliorate	0	0	0	0	0	0	1	0	0	0	hobetu
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	bideragarria
amend	0	0	0	0	0	0	1	0	0	0	aldatu
amendment	0	0	0	0	0	0	0	0	0	0	zuzenketa
amends	0	0	0	0	0	0	1	0	0	0	zuzentzen
amenity	0	0	0	0	0	0	1	0	0	0	erosotasuna
amethyst	0	0	0	0	0	0	0	0	0	0	amatista
amiable	0	0	0	0	0	0	1	0	0	0	atsegina
amicable	0	0	0	0	1	0	1	0	0	0	adiskidetsua
amid	0	0	0	0	0	0	0	0	0	0	erdian
amidst	0	0	0	0	0	0	0	0	0	0	artean
ammonia	0	0	1	0	0	0	0	0	0	0	amoniakoa
ammunition	0	0	0	0	0	0	0	0	0	0	munizioa
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	amnistia
amorphous	0	0	0	0	0	0	0	0	0	0	amorfoa
amortization	0	0	0	0	0	0	0	0	0	1	amortizazioa
amount	0	0	0	0	0	0	0	0	0	0	zenbatekoa
amour	0	1	0	0	1	0	1	0	0	1	maitasuna
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	anfetaminak
