English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Bosnian Word
accord	0	0	0	0	0	0	1	0	0	1	accord
accordance	0	0	0	0	0	0	0	0	0	0	skladu
accordion	0	0	0	0	0	0	0	0	0	0	harmonika
account	0	0	0	0	0	0	0	0	0	1	račun
accountability	0	0	0	0	0	0	1	0	0	1	odgovornost
accountable	0	0	0	0	0	0	1	0	0	1	odgovoran
accountant	0	0	0	0	0	0	0	0	0	1	računovođa
accounting	0	0	0	0	0	0	0	0	0	0	računovodstvo
accounts	0	0	0	0	0	0	0	0	0	1	račune
accredited	0	0	0	0	0	0	1	0	0	1	akreditovan
accretion	0	0	0	0	0	0	0	0	0	0	akrecija
accrue	0	0	0	0	0	0	0	0	0	0	akumulirati
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	akumulirati
accumulation	0	0	0	0	0	0	0	0	0	0	akumulacija
accuracy	0	0	0	0	0	0	0	0	0	0	tačnost
accurate	0	0	0	0	0	0	1	0	0	1	precizan
accursed	1	0	0	1	0	1	0	1	0	0	prokleti
accusation	1	0	1	0	0	1	0	0	0	0	optužba
accusative	0	0	0	0	0	1	0	0	0	0	akuzativ
accused	1	0	0	1	0	1	0	0	0	0	optuženi
accuser	1	0	0	1	0	1	0	0	0	0	tužitelj
accusing	1	0	0	1	0	1	0	0	0	0	optužujući
accustomed	0	0	0	0	0	0	0	0	0	0	Naviknut
ace	0	0	0	0	0	0	1	0	0	0	as
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	bol
achieve	0	0	0	0	1	0	1	0	0	1	postići
achievement	0	1	0	0	1	0	1	0	0	1	postignuće
aching	0	0	0	0	0	1	0	1	0	0	bolan
acid	0	0	0	0	0	1	0	0	0	0	kiselina
acidity	0	0	0	0	0	0	0	0	0	0	kiselost
acknowledge	0	0	0	0	0	0	0	0	0	0	priznati
acknowledged	0	0	0	0	0	0	0	0	0	0	priznato
acknowledgment	0	0	0	0	0	0	1	0	0	0	priznanje
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	acoustic
acoustics	0	0	0	0	0	0	0	0	0	0	akustika
acquaint	0	0	0	0	0	0	0	0	0	0	upoznati
acquaintance	0	0	0	0	0	0	0	0	0	0	poznanstvo
acquainted	0	0	0	0	0	0	0	0	0	0	upoznat
acquiescence	0	0	0	0	0	0	0	0	0	0	pristanak
acquire	0	0	0	0	0	0	1	0	0	0	steći
acquiring	0	1	0	0	0	0	1	0	0	0	sticanje
acquisition	0	0	0	0	0	0	0	0	0	0	akvizicija
acquisitions	0	0	0	0	0	0	0	0	0	0	akvizicije
acreage	0	0	0	0	0	0	0	0	0	0	površine
acres	0	0	0	0	0	0	0	0	0	0	hektara
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	čin
acting	0	0	0	0	0	0	0	0	0	0	gluma
action	0	0	0	0	0	0	1	0	0	0	akcija
actionable	1	0	1	0	0	1	0	0	0	0	djelotvoran
active	0	0	0	0	0	0	0	0	0	0	aktivan
activity	0	0	0	0	0	0	0	0	0	0	aktivnost
actor	0	0	0	0	0	0	0	0	0	0	glumac
actual	0	0	0	0	0	0	1	0	0	0	stvarni
actuality	0	0	0	0	0	0	0	0	0	0	aktuelnost
actuary	0	0	0	0	0	0	0	0	0	0	aktuar
acuity	0	0	0	0	0	0	1	0	0	0	oštrina
acumen	0	0	0	0	0	0	1	0	0	0	acumen
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktura
acutely	0	0	0	0	0	0	0	0	0	0	akutno
adage	0	0	0	0	0	0	0	0	0	0	poslovica
adamant	0	0	0	0	0	0	0	0	0	0	nepokolebljiv
adapt	0	0	0	0	0	0	1	0	0	0	prilagoditi
adaptable	0	0	0	0	0	0	1	0	0	0	prilagodljiv
add	0	0	0	0	0	0	0	0	0	0	dodati
added	0	0	0	0	0	0	0	0	0	0	dodano
addendum	0	0	0	0	0	0	0	0	0	0	dodatak
adder	1	0	1	1	0	1	0	1	0	0	guja
addiction	0	0	0	0	0	1	0	0	0	0	ovisnost
addition	0	0	0	0	0	0	0	0	0	0	dodatak
additional	0	0	0	0	0	0	0	0	0	0	dodatno
additive	0	0	0	0	0	0	0	0	0	0	aditiva
address	0	0	0	0	0	0	0	0	0	0	adresa
addressee	0	0	0	0	0	0	0	0	0	0	adresat
addresses	0	1	0	0	0	0	1	0	0	0	adrese
adept	0	0	0	0	0	0	1	0	0	0	adept
adequacy	0	0	0	0	0	0	1	0	0	0	adekvatnost
adequate	0	0	0	0	0	0	0	0	0	0	adekvatan
adhere	0	0	0	0	0	0	0	0	0	0	pridržavati se
adherence	0	0	0	0	0	0	0	0	0	0	pridržavanje
adherent	0	0	0	0	0	0	0	0	0	0	pristalica
adhering	0	0	0	0	0	0	0	0	0	1	pridržavanje
adhesion	0	0	0	0	0	0	0	0	0	0	adhezija
adhesive	0	0	0	0	0	0	0	0	0	0	ljepilo
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	masnoća
adjacency	0	0	0	0	0	0	0	0	0	0	susjedstvo
adjacent	0	0	0	0	0	0	0	0	0	0	susjedni
adjective	0	0	0	0	0	0	0	0	0	0	pridjev
adjoining	0	0	0	0	0	0	0	0	0	0	susjedni
adjourn	0	0	0	0	0	0	0	0	0	0	odgoditi
adjournment	0	0	0	0	0	0	0	0	0	0	odgoda
adjudicate	0	0	0	1	0	1	0	0	0	0	presuditi
adjudication	0	0	0	0	0	0	0	0	0	0	presuđivanje
adjunct	0	0	0	0	0	0	1	0	0	0	dodatak
adjust	0	0	0	0	0	0	0	0	0	0	prilagoditi
adjustment	0	0	0	0	0	0	0	0	0	0	podešavanje
adjuvant	0	0	0	0	0	0	0	0	0	0	pomoćno sredstvo
administer	0	0	0	0	0	0	0	0	0	0	administrirati
administration	0	0	0	0	0	0	0	0	0	0	administracija
administrative	0	0	0	0	0	0	0	0	0	1	administrativni
admirable	0	0	0	0	1	0	1	0	0	1	divan
admiral	0	0	0	0	0	0	1	0	0	1	admirale
admiralty	0	0	0	0	0	0	0	0	0	0	admiralitet
admiration	0	0	0	0	1	0	1	0	0	1	divljenje
admire	0	0	0	0	0	0	1	0	0	1	diviti se
admirer	0	0	0	0	0	0	1	0	0	0	obožavatelj
admissibility	0	0	0	0	0	0	0	0	0	0	prihvatljivost
admissible	0	0	0	0	0	0	1	0	0	1	prihvatljivo
admission	0	0	0	0	0	0	0	0	0	0	prijem
admit	0	0	0	0	0	0	0	0	0	0	priznati
admittance	0	0	0	0	0	0	0	0	0	0	prijem
admitted	0	0	0	0	0	0	0	0	0	0	priznao
admitting	0	0	0	0	0	0	0	0	0	0	priznajući
admixture	0	0	0	0	0	0	0	0	0	0	primjesa
admonition	0	0	0	1	0	1	0	0	0	0	opomena
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	adolescencija
adolescent	0	0	0	0	0	0	0	0	0	0	adolescent
adopt	0	0	0	0	0	0	0	0	0	0	usvojiti
adoption	0	0	0	0	0	0	0	0	0	0	usvajanje
adorable	0	0	0	0	1	0	1	0	0	0	adorable
adoration	0	0	0	0	1	0	1	0	0	1	obožavanje
adore	0	1	0	0	1	0	1	0	0	1	obožavam
adorn	0	0	0	0	0	0	0	0	0	0	ukrasiti
adornment	0	0	0	0	0	0	0	0	0	0	ukras
adrift	0	1	0	1	0	1	0	1	0	0	lebdeti
adult	0	0	0	0	0	0	0	0	0	0	odrasla osoba
adulterated	0	0	0	0	0	1	0	0	0	0	falsifikovano
adultery	0	0	1	0	0	1	0	1	0	0	preljuba
advance	0	1	0	1	1	0	1	0	1	0	unaprijed
advanced	0	0	0	0	0	0	1	0	0	0	napredno
advancement	0	0	0	0	0	0	1	0	0	0	napredovanje
advancing	0	0	0	0	0	0	0	0	0	0	napredovanje
advantage	0	0	0	0	0	0	1	0	0	0	prednost
advantageous	0	0	0	0	0	0	1	0	0	0	povoljan
advent	0	1	0	0	1	0	1	0	0	1	advent
adventure	0	1	0	0	0	0	1	0	0	0	avantura
adventurer	0	0	0	0	0	0	0	0	0	0	avanturista
adventurous	0	0	0	0	0	0	1	0	0	0	avanturistički
adversary	1	0	0	0	0	1	0	0	0	0	protivnik
adverse	1	0	1	1	0	1	0	1	0	0	nepovoljno
adversity	1	0	0	1	0	1	0	1	0	0	nevolje
advertise	0	0	0	0	0	0	0	0	0	0	reklamirati
advertisement	0	0	0	0	0	0	0	0	0	0	reklama
advice	0	0	0	0	0	0	0	0	0	1	savjet
advisable	0	0	0	0	0	0	1	0	0	1	preporučljivo
advise	0	0	0	0	0	0	1	0	0	1	savjet
advised	0	0	0	0	0	0	0	0	0	1	Savjetovan
advisement	0	0	0	0	0	0	0	0	0	0	savjetovanje
adviser	0	0	0	0	0	0	1	0	0	1	savjetnik
advocacy	1	1	0	0	1	0	1	0	0	1	zagovaranje
advocate	0	0	0	0	0	0	0	0	0	1	advokat
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	aeracija
aerial	0	0	0	0	0	0	0	0	0	0	antena
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrom
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamika
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautika
aeroplane	0	0	0	0	0	0	0	0	0	0	avion
aesthetic	0	0	0	0	0	0	1	0	0	0	estetski
aesthetics	0	0	0	0	1	0	1	0	0	0	estetika
aetiology	0	0	0	0	0	0	0	0	0	0	etiologija
afar	0	0	0	0	0	0	0	0	0	0	afar
affable	0	0	0	0	0	0	1	0	0	0	prijatan
affair	0	0	0	0	0	0	0	0	0	0	afera
affecting	0	0	0	0	0	0	0	0	0	0	utiče
affection	0	0	0	0	1	0	1	0	0	1	naklonost
affections	0	0	0	0	0	0	0	0	0	0	naklonosti
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	izjava pod zakletvom
affiliated	0	0	0	0	0	0	1	0	0	0	pridruženi
affiliation	0	0	0	0	0	0	0	0	0	0	pripadnost
affinity	0	0	0	0	0	0	0	0	0	0	afinitet
affirm	0	0	0	0	0	0	1	0	0	1	potvrditi
affirmation	0	0	0	0	0	0	1	0	0	0	afirmacija
affirmative	0	0	0	0	0	0	1	0	0	0	afirmativno
affirmatively	0	0	0	0	0	0	1	0	0	1	afirmativno
affix	0	0	0	0	0	0	0	0	0	0	afiks
afflict	0	0	0	1	0	1	0	1	0	0	afflict
afflicted	0	0	0	0	0	1	0	0	0	0	pogođeni
affliction	0	0	1	1	0	1	0	1	0	0	nevolja
affluence	0	0	0	0	1	0	1	0	0	0	bogatstvo
affluent	0	0	0	0	0	0	1	0	0	0	imućan
afford	0	0	0	0	0	0	1	0	0	0	priuštiti
affront	1	0	1	1	0	1	0	1	1	0	uvreda
afield	0	0	0	0	0	0	0	0	0	0	afield
afore	0	0	0	0	0	0	0	0	0	0	afore
aforementioned	0	0	0	0	0	0	0	0	0	0	gore pomenutog
aforesaid	0	0	0	0	0	0	0	0	0	0	prethodno rečeno
afraid	0	0	0	1	0	1	0	0	0	0	uplašen
afresh	0	0	0	0	0	0	0	0	0	0	iznova
aft	0	0	0	0	0	0	0	0	0	0	krma
aftermath	1	0	1	1	0	1	0	1	0	0	posljedice
afternoon	0	0	0	0	0	0	0	0	0	0	popodne
aftertaste	0	0	0	0	0	1	0	0	0	0	aftertaste
afterthought	0	0	0	0	0	0	0	0	0	0	naknadno razmišljanje
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	ahat
age	0	0	0	0	0	0	0	0	0	0	Dob
aged	0	0	0	0	0	0	0	0	0	0	ostario
agency	0	0	0	0	0	0	0	0	0	0	agencija
agent	0	0	0	0	0	0	0	0	0	0	agent
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomeracija
aggravated	1	0	0	0	0	1	0	0	0	0	otežano
aggravating	1	0	0	0	0	1	0	1	0	0	otežavajuće
aggravation	1	0	1	0	0	1	0	0	0	0	pogoršanje
aggregate	0	0	0	0	0	0	0	0	0	0	agregat
aggregation	0	0	0	0	0	0	0	0	0	0	agregacija
aggression	1	0	0	1	0	1	0	0	0	0	agresija
aggressive	1	0	0	1	0	1	0	0	0	0	agresivan
aggressor	1	0	0	1	0	1	0	0	0	0	agresor
aghast	0	0	1	1	0	1	0	0	1	0	zgrožen
agile	0	0	0	0	0	0	1	0	0	0	agilan
agility	0	0	0	0	0	0	1	0	0	0	agilnost
agitated	1	0	0	0	0	1	0	0	0	0	uznemiren
agitation	1	0	0	0	0	1	0	0	0	0	uznemirenost
agnostic	0	0	0	0	0	0	0	0	0	0	agnostik
ago	0	0	0	0	0	0	0	0	0	0	prije
agonizing	0	0	0	1	0	1	0	0	0	0	bolan
agony	1	0	0	1	0	1	0	1	0	0	agonija
agree	0	0	0	0	0	0	1	0	0	0	slažem se
agreeable	0	0	0	0	0	0	1	0	0	1	prihvatljivo
agreed	0	0	0	0	0	0	1	0	0	1	pristao
agreeing	0	0	0	0	0	0	1	0	0	1	slažući se
agreement	0	0	0	0	0	0	1	0	0	1	sporazum
agricultural	0	0	0	0	0	0	0	0	0	0	poljoprivredni
agriculture	0	0	0	0	0	0	1	0	0	0	poljoprivreda
aground	0	0	0	0	0	1	0	0	0	0	nasukan
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	naprijed
aid	0	0	0	0	0	0	1	0	0	0	pomoć
aiding	0	0	0	0	0	0	1	0	0	0	pomaganje
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	ailing
ailment	0	0	0	0	0	0	0	0	0	0	bolest
aim	0	0	0	0	0	0	0	0	0	0	cilj
aimless	0	0	0	0	0	1	0	0	0	0	besciljno
air	0	0	0	0	0	0	0	0	0	0	zrak
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	airlift
airline	0	0	0	0	0	0	0	0	0	0	aviokompanija
airman	0	0	0	0	0	0	0	0	0	0	airman
airplane	0	0	0	0	0	0	0	0	0	0	avion
airport	0	1	0	0	0	0	0	0	0	0	aerodrom
airs	0	0	1	0	0	1	0	0	0	0	airs
airship	0	0	0	0	0	0	0	0	0	0	airship
aisle	0	0	0	0	0	0	0	0	0	0	aisle
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	otvoren
akin	0	0	0	0	0	0	0	0	0	1	srodan
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	alarm
alarming	0	0	0	1	0	1	0	0	1	0	alarmantno
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alhemija
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholizam
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	uzbuna
alertness	0	1	0	1	0	0	1	0	1	0	budnost
alerts	0	1	0	1	0	0	0	0	1	0	upozorenja
alfalfa	0	0	0	0	0	0	0	0	0	0	lucerna
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebarski
algorithm	0	0	0	0	0	0	0	0	0	0	algoritam
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	vanzemaljac
alienate	1	0	1	0	0	1	0	0	0	0	otuđiti
alienated	0	0	0	0	0	1	0	1	0	0	otuđen
alienation	1	0	1	1	0	1	0	1	0	0	otuđenje
alight	0	0	0	0	0	0	0	0	0	0	upaliti
aligned	0	0	0	0	0	0	0	0	0	0	poravnati
alignment	0	0	0	0	0	0	0	0	0	0	poravnanje
alike	0	0	0	0	0	0	0	0	0	0	podjednako
alimentation	0	0	0	0	0	0	1	0	0	0	ishrana
alimony	0	0	0	0	0	1	0	0	0	0	alimentacija
aliquot	0	0	0	0	0	0	0	0	0	0	alikvot
alive	0	1	0	0	1	0	1	0	0	1	živ
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloidi
allay	0	0	0	0	0	0	1	0	0	0	smiriti
allegation	1	0	0	0	0	1	0	0	0	0	navod
allege	0	0	0	0	0	1	0	0	0	0	navode
alleged	0	0	0	0	0	0	0	0	0	0	navodno
allegiance	0	0	0	0	0	0	1	0	0	1	odanost
allegorical	0	0	0	0	0	0	0	0	0	0	alegorijski
allegory	0	0	0	0	0	0	0	0	0	0	alegorija
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	ublažiti
alleviation	0	0	0	0	0	0	1	0	0	0	ublažavanje
alley	0	0	0	0	0	0	0	0	0	0	uličica
alliance	0	0	0	0	0	0	0	0	0	1	alijanse
allied	0	0	0	0	0	0	1	0	0	1	saveznički
alligator	0	0	0	0	0	0	0	0	0	0	aligator
allocate	0	0	0	0	0	0	0	0	0	0	dodijeliti
allocation	0	0	0	0	0	0	0	0	0	0	alokacija
allot	0	0	0	0	0	0	0	0	0	0	alot
allotment	0	0	0	0	0	0	0	0	0	0	alotment
allowable	0	0	0	0	0	0	1	0	0	0	dozvoljeno
allowance	0	0	0	0	0	0	0	0	0	0	dodatak
allowed	0	0	0	0	0	0	0	0	0	0	dozvoljeno
alloy	0	0	0	0	0	0	0	0	0	0	legura
allure	0	1	0	0	1	0	1	0	1	0	allure
alluring	0	0	0	0	0	0	1	0	0	0	primamljivo
allusion	0	0	0	0	0	0	0	0	0	0	aluzija
alluvial	0	0	0	0	0	0	0	0	0	0	aluvijalni
ally	0	0	0	0	0	0	1	0	0	1	saveznik
almanac	0	0	0	0	0	0	0	0	0	0	almanah
almighty	0	0	0	0	0	0	1	0	0	0	svemogući
aloft	0	0	0	0	0	0	0	0	0	0	aloft
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	pored
aloof	0	0	0	0	0	1	0	0	0	0	podalje
aloud	0	0	0	0	0	0	0	0	0	0	naglas
alphabet	0	0	0	0	0	0	0	0	0	0	abeceda
alphabetical	0	0	0	0	0	0	0	0	0	0	abecedno
altar	0	0	0	0	0	0	0	0	0	0	oltar
alter	0	0	0	0	0	0	0	0	0	0	alter
alteration	0	0	0	0	0	0	0	0	0	0	izmjena
altercation	1	0	0	0	0	1	0	0	0	0	svađa
altered	0	0	0	0	0	0	0	0	0	0	izmijenjeno
alternate	0	0	0	0	0	0	0	0	0	0	alternativno
alternative	0	0	0	0	0	0	0	0	0	0	alternativa
altitude	0	0	0	0	0	0	0	0	0	0	nadmorska visina
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	totalno
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolarni
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	amalgamacija
amass	0	0	0	0	0	0	0	0	0	0	gomilati
amateur	0	0	0	0	0	0	0	0	0	0	amaterski
amaze	0	0	0	0	0	0	0	0	1	0	zadiviti
amazement	0	0	0	0	0	0	0	0	0	0	čuđenje
amazingly	0	0	0	0	1	0	1	0	1	0	neverovatno
ambassador	0	0	0	0	0	0	1	0	0	1	ambasador
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	ambijentalno
ambiguity	0	0	0	0	0	0	0	0	0	0	dvosmislenost
ambiguous	0	0	0	0	0	1	0	0	0	0	dvosmisleno
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	ambicija
ambitious	0	0	0	0	0	0	0	0	0	0	ambiciozan
ambulance	0	0	0	1	0	0	0	0	0	1	hitna pomoć
ambush	1	0	0	1	0	1	0	0	1	0	zaseda
ameliorate	0	0	0	0	0	0	1	0	0	0	poboljšati
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	podložan
amend	0	0	0	0	0	0	1	0	0	0	izmijeniti
amendment	0	0	0	0	0	0	0	0	0	0	amandman
amends	0	0	0	0	0	0	1	0	0	0	popravlja
amenity	0	0	0	0	0	0	1	0	0	0	amenity
amethyst	0	0	0	0	0	0	0	0	0	0	ametist
amiable	0	0	0	0	0	0	1	0	0	0	ljubazni
amicable	0	0	0	0	1	0	1	0	0	0	prijateljski
amid	0	0	0	0	0	0	0	0	0	0	usred
amidst	0	0	0	0	0	0	0	0	0	0	usred
ammonia	0	0	1	0	0	0	0	0	0	0	amonijak
ammunition	0	0	0	0	0	0	0	0	0	0	municije
amnesia	0	0	0	0	0	1	0	0	0	0	amnezija
amnesty	0	0	0	0	1	0	1	0	0	0	amnestija
amorphous	0	0	0	0	0	0	0	0	0	0	amorfna
amortization	0	0	0	0	0	0	0	0	0	1	amortizacija
amount	0	0	0	0	0	0	0	0	0	0	iznos
amour	0	1	0	0	1	0	1	0	0	1	amour
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetamine
amphibian	0	0	0	0	0	0	0	0	0	0	vodozemac
amphibious	0	0	0	0	0	0	0	0	0	0	amfibijski
amphitheater	0	0	0	0	0	0	0	0	0	0	amfiteatar
amplification	0	0	0	0	0	0	0	0	0	0	pojačanje
amplify	0	0	0	0	0	0	0	0	0	0	pojačati
amplitude	0	0	0	0	0	0	0	0	0	0	amplituda
amply	0	0	0	0	0	0	0	0	0	0	obilno
