English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Odia Word
accused	1	0	0	1	0	1	0	0	0	0	ଅଭିଯୁକ୍ତ
accuser	1	0	0	1	0	1	0	0	0	0	ଅଭିଯୋଗକାରୀ
accusing	1	0	0	1	0	1	0	0	0	0	ଅଭିଯୋଗ
accustomed	0	0	0	0	0	0	0	0	0	0	ଅଭ୍ୟସ୍ତ
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	ଏସିଟିକ୍ |
ache	0	0	0	0	0	1	0	1	0	0	ଯନ୍ତ୍ରଣା
achieve	0	0	0	0	1	0	1	0	0	1	ହାସଲ କର |
achievement	0	1	0	0	1	0	1	0	0	1	ସଫଳତା
aching	0	0	0	0	0	1	0	1	0	0	ଯନ୍ତ୍ରଣା
acid	0	0	0	0	0	1	0	0	0	0	ଏସିଡ୍ |
acidity	0	0	0	0	0	0	0	0	0	0	ଅମ୍ଳତା |
acknowledge	0	0	0	0	0	0	0	0	0	0	ସ୍ୱୀକାର କର |
acknowledged	0	0	0	0	0	0	0	0	0	0	ସ୍ୱୀକୃତିପ୍ରାପ୍ତ
acknowledgment	0	0	0	0	0	0	1	0	0	0	ସ୍ୱୀକୃତି
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	ଶବ୍ଦ
acoustics	0	0	0	0	0	0	0	0	0	0	ଆକାଶବାଣୀ
acquaint	0	0	0	0	0	0	0	0	0	0	ପରିଚିତ
acquaintance	0	0	0	0	0	0	0	0	0	0	ପରିଚୟ
acquainted	0	0	0	0	0	0	0	0	0	0	ପରିଚିତ
acquiescence	0	0	0	0	0	0	0	0	0	0	ପ୍ରାପ୍ତି
acquire	0	0	0	0	0	0	1	0	0	0	ହାସଲ କରନ୍ତୁ |
acquiring	0	1	0	0	0	0	1	0	0	0	ଅଧିଗ୍ରହଣ
acquisition	0	0	0	0	0	0	0	0	0	0	ଅଧିଗ୍ରହଣ
acquisitions	0	0	0	0	0	0	0	0	0	0	ଅଧିଗ୍ରହଣ |
acreage	0	0	0	0	0	0	0	0	0	0	ଏକର
acres	0	0	0	0	0	0	0	0	0	0	ଏକର
acrobat	0	0	0	1	1	0	1	0	0	1	ଆକ୍ରୋବାଟ୍ |
act	0	0	0	0	0	0	0	0	0	0	କାର୍ଯ୍ୟ କର
acting	0	0	0	0	0	0	0	0	0	0	ଅଭିନୟ
action	0	0	0	0	0	0	1	0	0	0	କାର୍ଯ୍ୟ
actionable	1	0	1	0	0	1	0	0	0	0	କାର୍ଯ୍ୟକ୍ଷମ
active	0	0	0	0	0	0	0	0	0	0	ସକ୍ରିୟ
activity	0	0	0	0	0	0	0	0	0	0	କାର୍ଯ୍ୟକଳାପ
actor	0	0	0	0	0	0	0	0	0	0	ଅଭିନେତା
actual	0	0	0	0	0	0	1	0	0	0	ପ୍ରକୃତ
actuality	0	0	0	0	0	0	0	0	0	0	ବାସ୍ତବତା
actuary	0	0	0	0	0	0	0	0	0	0	କାର୍ଯ୍ୟାନୁଷ୍ଠାନ
acuity	0	0	0	0	0	0	1	0	0	0	ତୀବ୍ରତା
acumen	0	0	0	0	0	0	1	0	0	0	ଆକ୍ୟୁମେନ |
acupuncture	0	0	0	0	0	0	0	0	0	0	ଆକ୍ୟୁପେଙ୍କଟର୍
acutely	0	0	0	0	0	0	0	0	0	0	ତୀବ୍ର ଭାବରେ
adage	0	0	0	0	0	0	0	0	0	0	ଉପଦେଶ
adamant	0	0	0	0	0	0	0	0	0	0	ଜିଦ୍
adapt	0	0	0	0	0	0	1	0	0	0	ଆଡାପ୍ଟ୍ କରନ୍ତୁ |
adaptable	0	0	0	0	0	0	1	0	0	0	ଅନୁକୂଳ
add	0	0	0	0	0	0	0	0	0	0	ଯୋଡନ୍ତୁ |
added	0	0	0	0	0	0	0	0	0	0	ଯୋଗ କରାଯାଇଛି |
addendum	0	0	0	0	0	0	0	0	0	0	ଯୋଗ
adder	1	0	1	1	0	1	0	1	0	0	ଆଡର୍
addiction	0	0	0	0	0	1	0	0	0	0	ନିଶା
addition	0	0	0	0	0	0	0	0	0	0	ଯୋଗ
additional	0	0	0	0	0	0	0	0	0	0	ଅତିରିକ୍ତ
additive	0	0	0	0	0	0	0	0	0	0	ଯୋଗୀ
address	0	0	0	0	0	0	0	0	0	0	ଠିକଣା
addressee	0	0	0	0	0	0	0	0	0	0	ଠିକଣା
addresses	0	1	0	0	0	0	1	0	0	0	ଠିକଣା
adept	0	0	0	0	0	0	1	0	0	0	ପାରଦର୍ଶୀ
adequacy	0	0	0	0	0	0	1	0	0	0	ପର୍ଯ୍ୟାପ୍ତତା |
adequate	0	0	0	0	0	0	0	0	0	0	ପର୍ଯ୍ୟାପ୍ତ
adhere	0	0	0	0	0	0	0	0	0	0	ପାଳନ କର |
adherence	0	0	0	0	0	0	0	0	0	0	ଅନୁକରଣ
adherent	0	0	0	0	0	0	0	0	0	0	ଅନୁଗତ
adhering	0	0	0	0	0	0	0	0	0	1	ଅନୁକରଣ
adhesion	0	0	0	0	0	0	0	0	0	0	ଆଡିଶିନ୍ |
adhesive	0	0	0	0	0	0	0	0	0	0	ଆଡେସିଭ୍ |
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	ଆଡିପୋଜ୍ |
adjacency	0	0	0	0	0	0	0	0	0	0	ସଂଲଗ୍ନ
adjacent	0	0	0	0	0	0	0	0	0	0	ସଂଲଗ୍ନ
adjective	0	0	0	0	0	0	0	0	0	0	ବିଶେଷଣ
adjoining	0	0	0	0	0	0	0	0	0	0	ସଂଲଗ୍ନ
adjourn	0	0	0	0	0	0	0	0	0	0	ସ୍ଥଗିତ ରଖ |
adjournment	0	0	0	0	0	0	0	0	0	0	ସ୍ଥଗିତ
adjudicate	0	0	0	1	0	1	0	0	0	0	ବିଚାର କର
adjudication	0	0	0	0	0	0	0	0	0	0	ବିଚାର
adjunct	0	0	0	0	0	0	1	0	0	0	ସଂଲଗ୍ନ
adjust	0	0	0	0	0	0	0	0	0	0	ଆଡଜଷ୍ଟ କରନ୍ତୁ |
adjustment	0	0	0	0	0	0	0	0	0	0	ଆଡଜଷ୍ଟମେଣ୍ଟ୍
adjuvant	0	0	0	0	0	0	0	0	0	0	ଅନୁକୂଳ
administer	0	0	0	0	0	0	0	0	0	0	ପ୍ରଶାସକ
administration	0	0	0	0	0	0	0	0	0	0	ପ୍ରଶାସନ
administrative	0	0	0	0	0	0	0	0	0	1	ପ୍ରଶାସନିକ
admirable	0	0	0	0	1	0	1	0	0	1	ପ୍ରଶଂସନୀୟ
admiral	0	0	0	0	0	0	1	0	0	1	ଆଡମିରାଲ୍ |
admiralty	0	0	0	0	0	0	0	0	0	0	ପ୍ରଶଂସା
admiration	0	0	0	0	1	0	1	0	0	1	ପ୍ରଶଂସା
admire	0	0	0	0	0	0	1	0	0	1	ପ୍ରଶଂସା କର |
admirer	0	0	0	0	0	0	1	0	0	0	ପ୍ରଶଂସକ
admissibility	0	0	0	0	0	0	0	0	0	0	ଗ୍ରହଣୀୟତା
admissible	0	0	0	0	0	0	1	0	0	1	ଗ୍ରହଣଯୋଗ୍ୟ
admission	0	0	0	0	0	0	0	0	0	0	ଆଡମିଶନ
admit	0	0	0	0	0	0	0	0	0	0	ସ୍ୱୀକାର କର |
admittance	0	0	0	0	0	0	0	0	0	0	ଆଡମିଶନ
admitted	0	0	0	0	0	0	0	0	0	0	ସ୍ୱୀକାର କରିଛନ୍ତି
admitting	0	0	0	0	0	0	0	0	0	0	ସ୍ୱୀକାର କରୁଛି
admixture	0	0	0	0	0	0	0	0	0	0	ମିଶ୍ରଣ
admonition	0	0	0	1	0	1	0	0	0	0	ଉପଦେଶ
ado	0	0	0	0	0	0	0	0	0	0	ଆଡୋ
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	ଯୁବାବସ୍ଥା
adolescent	0	0	0	0	0	0	0	0	0	0	କିଶୋର
adopt	0	0	0	0	0	0	0	0	0	0	ଗ୍ରହଣ
adoption	0	0	0	0	0	0	0	0	0	0	ଗ୍ରହଣ
adorable	0	0	0	0	1	0	1	0	0	0	ଆଦରକାରୀ |
adoration	0	0	0	0	1	0	1	0	0	1	ଆଦର
adore	0	1	0	0	1	0	1	0	0	1	ଆଦର କର |
adorn	0	0	0	0	0	0	0	0	0	0	ଶୋଭା |
adornment	0	0	0	0	0	0	0	0	0	0	ଶୋଭା |
adrift	0	1	0	1	0	1	0	1	0	0	adrift
adult	0	0	0	0	0	0	0	0	0	0	ବୟସ୍କ
adulterated	0	0	0	0	0	1	0	0	0	0	ବ୍ୟଭିଚାର
adultery	0	0	1	0	0	1	0	1	0	0	ବ୍ୟଭିଚାର
advance	0	1	0	1	1	0	1	0	1	0	ଅଗ୍ରିମ
advanced	0	0	0	0	0	0	1	0	0	0	ଉନ୍ନତ
advancement	0	0	0	0	0	0	1	0	0	0	ଅଗ୍ରଗତି
advancing	0	0	0	0	0	0	0	0	0	0	ଅଗ୍ରଗତି
advantage	0	0	0	0	0	0	1	0	0	0	ସୁବିଧା
advantageous	0	0	0	0	0	0	1	0	0	0	ଲାଭଦାୟକ
advent	0	1	0	0	1	0	1	0	0	1	ଆଗମନ
adventure	0	1	0	0	0	0	1	0	0	0	ସାହସିକତା
adventurer	0	0	0	0	0	0	0	0	0	0	ସାହସିକତା
adventurous	0	0	0	0	0	0	1	0	0	0	ଦୁ vent ସାହସିକ
adversary	1	0	0	0	0	1	0	0	0	0	ଶତ୍ରୁ
adverse	1	0	1	1	0	1	0	1	0	0	ପ୍ରତିକୂଳ
adversity	1	0	0	1	0	1	0	1	0	0	ପ୍ରତିକୂଳ ପରିସ୍ଥିତି
advertise	0	0	0	0	0	0	0	0	0	0	ବିଜ୍ଞାପନ ଦିଅ |
advertisement	0	0	0	0	0	0	0	0	0	0	ବିଜ୍ଞାପନ
advice	0	0	0	0	0	0	0	0	0	1	ପରାମର୍ଶ
advisable	0	0	0	0	0	0	1	0	0	1	ପରାମର୍ଶଦାୟକ |
advise	0	0	0	0	0	0	1	0	0	1	ପରାମର୍ଶ ଦିଅ |
advised	0	0	0	0	0	0	0	0	0	1	ପରାମର୍ଶ ଦେଇଛନ୍ତି |
advisement	0	0	0	0	0	0	0	0	0	0	ପରାମର୍ଶ
adviser	0	0	0	0	0	0	1	0	0	1	ପରାମର୍ଶଦାତା |
advocacy	1	1	0	0	1	0	1	0	0	1	ଓକିଲାତି
advocate	0	0	0	0	0	0	0	0	0	1	ଓକିଲ
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	ଆରେସନ
aerial	0	0	0	0	0	0	0	0	0	0	ବାୟୁ
aerodrome	0	0	0	0	0	0	0	0	0	0	ଏରୋଡ୍ରୋମ୍ |
aerodynamics	0	0	0	0	0	0	0	0	0	0	ଏରୋଡାଇନାମିକ୍ସ |
aeronautics	0	0	0	0	0	0	0	0	0	0	ଏରୋନେଟିକ୍ସ |
aeroplane	0	0	0	0	0	0	0	0	0	0	ବିମାନ
aesthetic	0	0	0	0	0	0	1	0	0	0	ସ est ନ୍ଦର୍ଯ୍ୟ
aesthetics	0	0	0	0	1	0	1	0	0	0	ସ est ନ୍ଦର୍ଯ୍ୟ
aetiology	0	0	0	0	0	0	0	0	0	0	aetiology
afar	0	0	0	0	0	0	0	0	0	0	ଦୂର
affable	0	0	0	0	0	0	1	0	0	0	ସ୍ନେହୀ
affair	0	0	0	0	0	0	0	0	0	0	ପ୍ରେମ
affecting	0	0	0	0	0	0	0	0	0	0	ପ୍ରଭାବିତ କରୁଛି
affection	0	0	0	0	1	0	1	0	0	1	ସ୍ନେହ
affections	0	0	0	0	0	0	0	0	0	0	ସ୍ନେହ
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	ପ୍ରମାଣପତ୍ର
affiliated	0	0	0	0	0	0	1	0	0	0	ଅନୁବନ୍ଧିତ
affiliation	0	0	0	0	0	0	0	0	0	0	ଅନୁବନ୍ଧ
affinity	0	0	0	0	0	0	0	0	0	0	ସ୍ନେହ
affirm	0	0	0	0	0	0	1	0	0	1	ନିଶ୍ଚିତ କର
affirmation	0	0	0	0	0	0	1	0	0	0	ନିଶ୍ଚିତକରଣ
affirmative	0	0	0	0	0	0	1	0	0	0	ନିଶ୍ଚିତ
affirmatively	0	0	0	0	0	0	1	0	0	1	ନିଶ୍ଚିତ ଭାବରେ
affix	0	0	0	0	0	0	0	0	0	0	ଆଫିକ୍ସ
afflict	0	0	0	1	0	1	0	1	0	0	ଦୁ l ଖ
afflicted	0	0	0	0	0	1	0	0	0	0	ଦୁ l ଖୀ
affliction	0	0	1	1	0	1	0	1	0	0	ଦୁ iction ଖ
affluence	0	0	0	0	1	0	1	0	0	0	ଧନ
affluent	0	0	0	0	0	0	1	0	0	0	ଧନୀ
afford	0	0	0	0	0	0	1	0	0	0	ସୁଲଭ
affront	1	0	1	1	0	1	0	1	1	0	ଆଫ୍ରଣ୍ଟ୍
afield	0	0	0	0	0	0	0	0	0	0	ଦୂର
afore	0	0	0	0	0	0	0	0	0	0	ପୂର୍ବରୁ
aforementioned	0	0	0	0	0	0	0	0	0	0	ଉପରୋକ୍ତ
aforesaid	0	0	0	0	0	0	0	0	0	0	ଉପରୋକ୍ତ
afraid	0	0	0	1	0	1	0	0	0	0	ଭୟ
afresh	0	0	0	0	0	0	0	0	0	0	ସତେଜ
aft	0	0	0	0	0	0	0	0	0	0	aft
aftermath	1	0	1	1	0	1	0	1	0	0	ପରବର୍ତ୍ତୀ
afternoon	0	0	0	0	0	0	0	0	0	0	ଅପରାହ୍ନ
aftertaste	0	0	0	0	0	1	0	0	0	0	ପରବର୍ତ୍ତୀ
afterthought	0	0	0	0	0	0	0	0	0	0	ଚିନ୍ତା
aga	0	0	0	1	0	0	1	0	0	1	ଆଗ
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	ବୟସ
aged	0	0	0	0	0	0	0	0	0	0	ବୃଦ୍ଧ
agency	0	0	0	0	0	0	0	0	0	0	ସଂସ୍ଥା
agent	0	0	0	0	0	0	0	0	0	0	ଏଜେଣ୍ଟ
agglomeration	0	0	0	0	0	0	0	0	0	0	ଏକତ୍ରିକରଣ
aggravated	1	0	0	0	0	1	0	0	0	0	ବୃଦ୍ଧି
aggravating	1	0	0	0	0	1	0	1	0	0	ବୃଦ୍ଧି
aggravation	1	0	1	0	0	1	0	0	0	0	ବୃଦ୍ଧି
aggregate	0	0	0	0	0	0	0	0	0	0	ସମୁଦାୟ
aggregation	0	0	0	0	0	0	0	0	0	0	ଏକୀକରଣ
aggression	1	0	0	1	0	1	0	0	0	0	ଆକ୍ରୋଶ
aggressive	1	0	0	1	0	1	0	0	0	0	ଆକ୍ରମଣାତ୍ମକ
aggressor	1	0	0	1	0	1	0	0	0	0	ଆକ୍ରମଣକାରୀ
aghast	0	0	1	1	0	1	0	0	1	0	aghast
agile	0	0	0	0	0	0	1	0	0	0	ଚତୁର
agility	0	0	0	0	0	0	1	0	0	0	ଚତୁରତା
agitated	1	0	0	0	0	1	0	0	0	0	ଉତ୍ତେଜିତ
agitation	1	0	0	0	0	1	0	0	0	0	ଆନ୍ଦୋଳନ
agnostic	0	0	0	0	0	0	0	0	0	0	agnostic
ago	0	0	0	0	0	0	0	0	0	0	ପୂର୍ବରୁ
agonizing	0	0	0	1	0	1	0	0	0	0	ଯନ୍ତ୍ରଣାଦାୟକ
agony	1	0	0	1	0	1	0	1	0	0	ଯନ୍ତ୍ରଣା
agree	0	0	0	0	0	0	1	0	0	0	ରାଜି ହୁଅ
agreeable	0	0	0	0	0	0	1	0	0	1	ସମ୍ମତ
agreed	0	0	0	0	0	0	1	0	0	1	ରାଜି ହେଲା
agreeing	0	0	0	0	0	0	1	0	0	1	ରାଜି
agreement	0	0	0	0	0	0	1	0	0	1	ଚୁକ୍ତିନାମା
agricultural	0	0	0	0	0	0	0	0	0	0	କୃଷି
agriculture	0	0	0	0	0	0	1	0	0	0	କୃଷି
aground	0	0	0	0	0	1	0	0	0	0	ଚାରିଆଡେ
agua	0	0	0	0	0	0	0	0	0	0	ଆଗୁଆ
ahead	0	0	0	0	0	0	1	0	0	0	ଆଗକୁ
aid	0	0	0	0	0	0	1	0	0	0	ସହାୟତା
aiding	0	0	0	0	0	0	1	0	0	0	ସାହାଯ୍ୟ
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	ଅସୁସ୍ଥ
ailment	0	0	0	0	0	0	0	0	0	0	ଅସୁସ୍ଥତା
aim	0	0	0	0	0	0	0	0	0	0	ଲକ୍ଷ୍ୟ
aimless	0	0	0	0	0	1	0	0	0	0	ଲକ୍ଷ୍ୟହୀନ |
air	0	0	0	0	0	0	0	0	0	0	ବାୟୁ
airbag	0	0	0	0	0	0	0	0	0	0	ଏୟାରବ୍ୟାଗ
airlift	0	0	0	0	0	0	0	0	0	0	ବିମାନ ଉଡ଼ାଣ
airline	0	0	0	0	0	0	0	0	0	0	ବିମାନ ସେବା
airman	0	0	0	0	0	0	0	0	0	0	ବାୟୁସେନା
airplane	0	0	0	0	0	0	0	0	0	0	ବିମାନ
airport	0	1	0	0	0	0	0	0	0	0	ବିମାନବନ୍ଦର
airs	0	0	1	0	0	1	0	0	0	0	ବାୟୁ
airship	0	0	0	0	0	0	0	0	0	0	ବାୟୁସେନା
aisle	0	0	0	0	0	0	0	0	0	0	ପଥ
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	ସଦୃଶ୍ୟ
alabaster	0	0	0	0	0	0	1	0	0	0	ଆଲବାଷ୍ଟର
alarm	0	0	0	1	0	1	0	0	1	0	ଆଲାର୍ମ
alarming	0	0	0	1	0	1	0	0	1	0	ଉଦ୍ବେଗଜନକ |
alb	0	0	0	0	0	0	0	0	0	1	ଆଲବ
album	0	0	0	0	0	0	0	0	0	0	ଆଲବମ୍
alchemy	0	0	0	0	0	0	0	0	0	0	ଆଲକେମି
alcohol	0	0	0	0	0	0	0	0	0	0	ମଦ୍ୟପାନ
alcoholism	1	0	1	1	0	1	0	1	0	0	ମଦ୍ୟପାନ
alcove	0	0	0	0	0	0	0	0	0	0	ଆଲକୋଭ୍
alert	0	0	0	0	0	0	0	0	0	0	ସତର୍କ
alertness	0	1	0	1	0	0	1	0	1	0	ସତର୍କତା
alerts	0	1	0	1	0	0	0	0	1	0	ସତର୍କ ସୂଚନା
alfalfa	0	0	0	0	0	0	0	0	0	0	ଆଲଫା
algebra	0	0	0	0	0	0	0	0	0	0	ବୀଜ ବିବେଚନା
