English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Gujarati Word
accept	0	0	0	0	0	0	0	0	0	0	સ્વીકારો
acceptable	0	0	0	0	0	0	1	0	0	0	સ્વીકાર્ય
acceptance	0	0	0	0	0	0	1	0	0	0	સ્વીકૃતિ
access	0	0	0	0	0	0	0	0	0	0	ઍક્સેસ
accessible	0	0	0	0	0	0	1	0	0	0	સુલભ
accession	0	0	0	0	0	0	0	0	0	0	પ્રવેશ
accessory	0	0	0	0	0	0	0	0	0	0	સહાયક
accident	0	0	0	1	0	1	0	1	1	0	અકસ્માત
accidental	0	0	0	1	0	1	0	0	1	0	આકસ્મિક
accidentally	0	0	0	0	0	0	0	0	1	0	આકસ્મિક રીતે
accolade	0	1	0	0	1	0	1	0	1	1	વખાણ
accommodate	0	0	0	0	0	0	0	0	0	0	સમાવવા
accommodation	0	0	0	0	0	0	1	0	0	0	આવાસ
accompaniment	0	1	0	0	1	0	1	0	0	1	સાથ
accompany	0	0	0	0	0	0	0	0	0	0	સાથ
accompanying	0	0	0	0	0	0	0	0	0	0	સાથે
accomplice	0	0	0	0	0	0	0	0	0	0	સાથી
accomplish	0	0	0	0	1	0	1	0	0	0	પરિપૂર્ણ
accomplished	0	0	0	0	1	0	1	0	0	0	પરિપૂર્ણ
accomplishment	0	0	0	0	0	0	1	0	0	0	સિદ્ધિ
accord	0	0	0	0	0	0	1	0	0	1	સમજૂતી
accordance	0	0	0	0	0	0	0	0	0	0	અનુસાર
accordion	0	0	0	0	0	0	0	0	0	0	એકોર્ડિયન
account	0	0	0	0	0	0	0	0	0	1	એકાઉન્ટ
accountability	0	0	0	0	0	0	1	0	0	1	જવાબદારી
accountable	0	0	0	0	0	0	1	0	0	1	જવાબદાર
accountant	0	0	0	0	0	0	0	0	0	1	એકાઉન્ટન્ટ
accounting	0	0	0	0	0	0	0	0	0	0	નામું
accounts	0	0	0	0	0	0	0	0	0	1	એકાઉન્ટ્સ
accredited	0	0	0	0	0	0	1	0	0	1	માન્યતા પ્રાપ્ત
accretion	0	0	0	0	0	0	0	0	0	0	વૃદ્ધિ
accrue	0	0	0	0	0	0	0	0	0	0	મેળવવું
accueil	0	0	0	0	0	0	1	0	0	0	accuil
accumulate	0	0	0	0	0	0	0	0	0	0	એકઠા કરવું
accumulation	0	0	0	0	0	0	0	0	0	0	સંચય
accuracy	0	0	0	0	0	0	0	0	0	0	ચોકસાઈ
accurate	0	0	0	0	0	0	1	0	0	1	ચોક્કસ
accursed	1	0	0	1	0	1	0	1	0	0	શાપિત
accusation	1	0	1	0	0	1	0	0	0	0	આરોપ
accusative	0	0	0	0	0	1	0	0	0	0	આક્ષેપાત્મક
accused	1	0	0	1	0	1	0	0	0	0	આરોપી
accuser	1	0	0	1	0	1	0	0	0	0	આક્ષેપ કરનાર
accusing	1	0	0	1	0	1	0	0	0	0	આરોપ મૂકે છે
accustomed	0	0	0	0	0	0	0	0	0	0	ટેવાયેલું
ace	0	0	0	0	0	0	1	0	0	0	પાસાનો પો
acetic	0	0	0	0	0	0	0	0	0	0	એસિટિક
ache	0	0	0	0	0	1	0	1	0	0	દુખાવો
achieve	0	0	0	0	1	0	1	0	0	1	હાંસલ
achievement	0	1	0	0	1	0	1	0	0	1	સિદ્ધિ
aching	0	0	0	0	0	1	0	1	0	0	પીડાદાયક
acid	0	0	0	0	0	1	0	0	0	0	તેજાબ
acidity	0	0	0	0	0	0	0	0	0	0	એસિડિટી
acknowledge	0	0	0	0	0	0	0	0	0	0	સ્વીકારો
acknowledged	0	0	0	0	0	0	0	0	0	0	સ્વીકાર્યું
acknowledgment	0	0	0	0	0	0	1	0	0	0	સ્વીકૃતિ
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	એકોસ્ટિક
acoustics	0	0	0	0	0	0	0	0	0	0	ધ્વનિશાસ્ત્ર
acquaint	0	0	0	0	0	0	0	0	0	0	પરિચિત
acquaintance	0	0	0	0	0	0	0	0	0	0	ઓળખાણ
acquainted	0	0	0	0	0	0	0	0	0	0	પરિચિત
acquiescence	0	0	0	0	0	0	0	0	0	0	સ્વીકૃતિ
acquire	0	0	0	0	0	0	1	0	0	0	હસ્તગત
acquiring	0	1	0	0	0	0	1	0	0	0	હસ્તગત
acquisition	0	0	0	0	0	0	0	0	0	0	સંપાદન
acquisitions	0	0	0	0	0	0	0	0	0	0	એક્વિઝિશન
acreage	0	0	0	0	0	0	0	0	0	0	વાવેતર વિસ્તાર
acres	0	0	0	0	0	0	0	0	0	0	એકર
acrobat	0	0	0	1	1	0	1	0	0	1	એક્રોબેટ
act	0	0	0	0	0	0	0	0	0	0	કાર્ય
acting	0	0	0	0	0	0	0	0	0	0	અભિનય
action	0	0	0	0	0	0	1	0	0	0	ક્રિયા
actionable	1	0	1	0	0	1	0	0	0	0	કાર્યક્ષમ
active	0	0	0	0	0	0	0	0	0	0	સક્રિય
activity	0	0	0	0	0	0	0	0	0	0	પ્રવૃત્તિ
actor	0	0	0	0	0	0	0	0	0	0	અભિનેતા
actual	0	0	0	0	0	0	1	0	0	0	વાસ્તવિક
actuality	0	0	0	0	0	0	0	0	0	0	વાસ્તવિકતા
actuary	0	0	0	0	0	0	0	0	0	0	એક્ચ્યુરી
acuity	0	0	0	0	0	0	1	0	0	0	ઉગ્રતા
acumen	0	0	0	0	0	0	1	0	0	0	કૌશલ્ય
acupuncture	0	0	0	0	0	0	0	0	0	0	એક્યુપંક્ચર
acutely	0	0	0	0	0	0	0	0	0	0	તીવ્રપણે
adage	0	0	0	0	0	0	0	0	0	0	કહેવત
adamant	0	0	0	0	0	0	0	0	0	0	અડગ
adapt	0	0	0	0	0	0	1	0	0	0	સ્વીકારવાનું
adaptable	0	0	0	0	0	0	1	0	0	0	સ્વીકાર્ય
add	0	0	0	0	0	0	0	0	0	0	ઉમેરો
added	0	0	0	0	0	0	0	0	0	0	ઉમેર્યું
addendum	0	0	0	0	0	0	0	0	0	0	પરિશિષ્ટ
adder	1	0	1	1	0	1	0	1	0	0	ઉમેરનાર
addiction	0	0	0	0	0	1	0	0	0	0	વ્યસન
addition	0	0	0	0	0	0	0	0	0	0	વધુમાં
additional	0	0	0	0	0	0	0	0	0	0	વધારાનુ
additive	0	0	0	0	0	0	0	0	0	0	ઉમેરણ
address	0	0	0	0	0	0	0	0	0	0	સરનામું
addressee	0	0	0	0	0	0	0	0	0	0	સરનામું
addresses	0	1	0	0	0	0	1	0	0	0	સરનામાં
adept	0	0	0	0	0	0	1	0	0	0	પારંગત
adequacy	0	0	0	0	0	0	1	0	0	0	પર્યાપ્તતા
adequate	0	0	0	0	0	0	0	0	0	0	પર્યાપ્ત
adhere	0	0	0	0	0	0	0	0	0	0	વળગી રહેવું
adherence	0	0	0	0	0	0	0	0	0	0	પાલન
adherent	0	0	0	0	0	0	0	0	0	0	પાલન કરનાર
adhering	0	0	0	0	0	0	0	0	0	1	પાલન
adhesion	0	0	0	0	0	0	0	0	0	0	સંલગ્નતા
adhesive	0	0	0	0	0	0	0	0	0	0	ચીકણું
adieu	0	0	0	0	0	0	0	0	0	0	વિદાય
adipose	0	0	0	0	0	1	0	0	0	0	ચરબીયુક્ત
adjacency	0	0	0	0	0	0	0	0	0	0	સંલગ્નતા
adjacent	0	0	0	0	0	0	0	0	0	0	અડીને
adjective	0	0	0	0	0	0	0	0	0	0	વિશેષણ
adjoining	0	0	0	0	0	0	0	0	0	0	સંલગ્ન
adjourn	0	0	0	0	0	0	0	0	0	0	મુલતવી રાખવું
adjournment	0	0	0	0	0	0	0	0	0	0	મુલતવી
adjudicate	0	0	0	1	0	1	0	0	0	0	નિર્ણય
adjudication	0	0	0	0	0	0	0	0	0	0	ચુકાદો
adjunct	0	0	0	0	0	0	1	0	0	0	સંલગ્ન
adjust	0	0	0	0	0	0	0	0	0	0	ગોઠવો
adjustment	0	0	0	0	0	0	0	0	0	0	ગોઠવણ
adjuvant	0	0	0	0	0	0	0	0	0	0	સહાયક
administer	0	0	0	0	0	0	0	0	0	0	વહીવટ
administration	0	0	0	0	0	0	0	0	0	0	વહીવટ
administrative	0	0	0	0	0	0	0	0	0	1	વહીવટી
admirable	0	0	0	0	1	0	1	0	0	1	પ્રશંસનીય
admiral	0	0	0	0	0	0	1	0	0	1	એડમિરલ
admiralty	0	0	0	0	0	0	0	0	0	0	એડમિરલ્ટી
admiration	0	0	0	0	1	0	1	0	0	1	પ્રશંસા
admire	0	0	0	0	0	0	1	0	0	1	પ્રશંસક
admirer	0	0	0	0	0	0	1	0	0	0	પ્રશંસક
admissibility	0	0	0	0	0	0	0	0	0	0	સ્વીકાર્યતા
admissible	0	0	0	0	0	0	1	0	0	1	સ્વીકાર્ય
admission	0	0	0	0	0	0	0	0	0	0	પ્રવેશ
admit	0	0	0	0	0	0	0	0	0	0	કબૂલ
admittance	0	0	0	0	0	0	0	0	0	0	પ્રવેશ
admitted	0	0	0	0	0	0	0	0	0	0	સ્વીકાર્યું
admitting	0	0	0	0	0	0	0	0	0	0	કબૂલ
admixture	0	0	0	0	0	0	0	0	0	0	મિશ્રણ
admonition	0	0	0	1	0	1	0	0	0	0	ચેતવણી
ado	0	0	0	0	0	0	0	0	0	0	અડચણ
adobe	0	0	0	0	0	0	0	0	0	0	એડોબ
adolescence	0	0	0	0	0	0	0	0	0	0	કિશોરાવસ્થા
adolescent	0	0	0	0	0	0	0	0	0	0	કિશોર
adopt	0	0	0	0	0	0	0	0	0	0	અપનાવવું
adoption	0	0	0	0	0	0	0	0	0	0	દત્તક
adorable	0	0	0	0	1	0	1	0	0	0	આરાધ્ય
adoration	0	0	0	0	1	0	1	0	0	1	આરાધના
adore	0	1	0	0	1	0	1	0	0	1	પૂજવું
adorn	0	0	0	0	0	0	0	0	0	0	શણગારવું
adornment	0	0	0	0	0	0	0	0	0	0	શણગાર
adrift	0	1	0	1	0	1	0	1	0	0	વહી જવું
adult	0	0	0	0	0	0	0	0	0	0	પુખ્ત
adulterated	0	0	0	0	0	1	0	0	0	0	ભેળસેળવાળું
adultery	0	0	1	0	0	1	0	1	0	0	વ્યભિચાર
advance	0	1	0	1	1	0	1	0	1	0	અગાઉથી
advanced	0	0	0	0	0	0	1	0	0	0	અદ્યતન
advancement	0	0	0	0	0	0	1	0	0	0	ઉન્નતિ
advancing	0	0	0	0	0	0	0	0	0	0	આગળ વધી રહ્યું છે
advantage	0	0	0	0	0	0	1	0	0	0	ફાયદો
advantageous	0	0	0	0	0	0	1	0	0	0	ફાયદાકારક
advent	0	1	0	0	1	0	1	0	0	1	આગમન
adventure	0	1	0	0	0	0	1	0	0	0	સાહસ
adventurer	0	0	0	0	0	0	0	0	0	0	સાહસી
adventurous	0	0	0	0	0	0	1	0	0	0	સાહસિક
adversary	1	0	0	0	0	1	0	0	0	0	વિરોધી
adverse	1	0	1	1	0	1	0	1	0	0	પ્રતિકૂળ
adversity	1	0	0	1	0	1	0	1	0	0	પ્રતિકૂળતા
advertise	0	0	0	0	0	0	0	0	0	0	જાહેરાત
advertisement	0	0	0	0	0	0	0	0	0	0	જાહેરાત
advice	0	0	0	0	0	0	0	0	0	1	સલાહ
advisable	0	0	0	0	0	0	1	0	0	1	સલાહભર્યું
advise	0	0	0	0	0	0	1	0	0	1	સલાહ
advised	0	0	0	0	0	0	0	0	0	1	સલાહ આપી
advisement	0	0	0	0	0	0	0	0	0	0	સલાહ
adviser	0	0	0	0	0	0	1	0	0	1	સલાહકાર
advocacy	1	1	0	0	1	0	1	0	0	1	હિમાયત
advocate	0	0	0	0	0	0	0	0	0	1	વકીલ
aegis	0	0	0	0	0	0	0	0	0	0	એજીસ
aeration	0	0	0	0	0	0	0	0	0	0	વાયુમિશ્રણ
aerial	0	0	0	0	0	0	0	0	0	0	હવાઈ
aerodrome	0	0	0	0	0	0	0	0	0	0	એરોડ્રોમ
aerodynamics	0	0	0	0	0	0	0	0	0	0	એરોડાયનેમિક્સ
aeronautics	0	0	0	0	0	0	0	0	0	0	એરોનોટિક્સ
aeroplane	0	0	0	0	0	0	0	0	0	0	વિમાન
aesthetic	0	0	0	0	0	0	1	0	0	0	સૌંદર્યલક્ષી
aesthetics	0	0	0	0	1	0	1	0	0	0	સૌંદર્ય શાસ્ત્ર
aetiology	0	0	0	0	0	0	0	0	0	0	ઈટીઓલોજી
afar	0	0	0	0	0	0	0	0	0	0	દૂર
affable	0	0	0	0	0	0	1	0	0	0	પ્રેમાળ
affair	0	0	0	0	0	0	0	0	0	0	અફેર
affecting	0	0	0	0	0	0	0	0	0	0	અસર કરે છે
affection	0	0	0	0	1	0	1	0	0	1	સ્નેહ
affections	0	0	0	0	0	0	0	0	0	0	લાગણીઓ
affiche	0	0	0	0	0	0	0	0	0	0	એફિશ
affidavit	0	0	0	0	0	0	0	0	0	0	એફિડેવિટ
affiliated	0	0	0	0	0	0	1	0	0	0	સંલગ્ન
affiliation	0	0	0	0	0	0	0	0	0	0	જોડાણ
affinity	0	0	0	0	0	0	0	0	0	0	સંબંધ
affirm	0	0	0	0	0	0	1	0	0	1	ખાતરી
affirmation	0	0	0	0	0	0	1	0	0	0	પ્રતિજ્ઞા
affirmative	0	0	0	0	0	0	1	0	0	0	હકારાત્મક
affirmatively	0	0	0	0	0	0	1	0	0	1	હકારાત્મક રીતે
affix	0	0	0	0	0	0	0	0	0	0	જોડવું
afflict	0	0	0	1	0	1	0	1	0	0	પીડિત
afflicted	0	0	0	0	0	1	0	0	0	0	પીડિત
affliction	0	0	1	1	0	1	0	1	0	0	વેદના
affluence	0	0	0	0	1	0	1	0	0	0	સમૃદ્ધિ
affluent	0	0	0	0	0	0	1	0	0	0	સમૃદ્ધ
afford	0	0	0	0	0	0	1	0	0	0	પરવડી
affront	1	0	1	1	0	1	0	1	1	0	અપમાન
afield	0	0	0	0	0	0	0	0	0	0	દૂર
afore	0	0	0	0	0	0	0	0	0	0	આગળ
aforementioned	0	0	0	0	0	0	0	0	0	0	ઉપરોક્ત
aforesaid	0	0	0	0	0	0	0	0	0	0	ઉપરોક્ત
afraid	0	0	0	1	0	1	0	0	0	0	ભયભીત
afresh	0	0	0	0	0	0	0	0	0	0	નવેસરથી
aft	0	0	0	0	0	0	0	0	0	0	પાછળ
aftermath	1	0	1	1	0	1	0	1	0	0	પરિણામ
afternoon	0	0	0	0	0	0	0	0	0	0	બપોરે
aftertaste	0	0	0	0	0	1	0	0	0	0	આફ્ટરટેસ્ટ
afterthought	0	0	0	0	0	0	0	0	0	0	પછીનો વિચાર
aga	0	0	0	1	0	0	1	0	0	1	આગ
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	ઉંમર
aged	0	0	0	0	0	0	0	0	0	0	વૃદ્ધ
agency	0	0	0	0	0	0	0	0	0	0	એજન્સી
agent	0	0	0	0	0	0	0	0	0	0	એજન્ટ
agglomeration	0	0	0	0	0	0	0	0	0	0	સમૂહ
aggravated	1	0	0	0	0	1	0	0	0	0	ઉત્તેજિત
aggravating	1	0	0	0	0	1	0	1	0	0	ઉત્તેજક
aggravation	1	0	1	0	0	1	0	0	0	0	ઉત્તેજના
aggregate	0	0	0	0	0	0	0	0	0	0	એકંદર
aggregation	0	0	0	0	0	0	0	0	0	0	એકત્રીકરણ
aggression	1	0	0	1	0	1	0	0	0	0	આક્રમકતા
aggressive	1	0	0	1	0	1	0	0	0	0	આક્રમક
aggressor	1	0	0	1	0	1	0	0	0	0	આક્રમક
aghast	0	0	1	1	0	1	0	0	1	0	આઘાત
agile	0	0	0	0	0	0	1	0	0	0	ચપળ
agility	0	0	0	0	0	0	1	0	0	0	ચપળતા
agitated	1	0	0	0	0	1	0	0	0	0	ઉશ્કેરાયેલ
agitation	1	0	0	0	0	1	0	0	0	0	આંદોલન
agnostic	0	0	0	0	0	0	0	0	0	0	અજ્ઞેયવાદી
ago	0	0	0	0	0	0	0	0	0	0	પહેલા
agonizing	0	0	0	1	0	1	0	0	0	0	પીડાદાયક
agony	1	0	0	1	0	1	0	1	0	0	વેદના
agree	0	0	0	0	0	0	1	0	0	0	સંમત થાઓ
agreeable	0	0	0	0	0	0	1	0	0	1	સંમત
agreed	0	0	0	0	0	0	1	0	0	1	સંમત થયા
agreeing	0	0	0	0	0	0	1	0	0	1	સંમત
agreement	0	0	0	0	0	0	1	0	0	1	કરાર
agricultural	0	0	0	0	0	0	0	0	0	0	કૃષિ
agriculture	0	0	0	0	0	0	1	0	0	0	કૃષિ
aground	0	0	0	0	0	1	0	0	0	0	જમીન પર
agua	0	0	0	0	0	0	0	0	0	0	આગ
ahead	0	0	0	0	0	0	1	0	0	0	આગળ
aid	0	0	0	0	0	0	1	0	0	0	સહાય
aiding	0	0	0	0	0	0	1	0	0	0	સહાયક
ail	0	0	0	0	0	1	0	1	0	0	બીમારી
ailing	0	0	0	1	0	1	0	1	0	0	બીમાર
ailment	0	0	0	0	0	0	0	0	0	0	બિમારી
aim	0	0	0	0	0	0	0	0	0	0	ધ્યેય
aimless	0	0	0	0	0	1	0	0	0	0	ઉદ્દેશ્યહીન
air	0	0	0	0	0	0	0	0	0	0	હવા
airbag	0	0	0	0	0	0	0	0	0	0	એરબેગ
airlift	0	0	0	0	0	0	0	0	0	0	એરલિફ્ટ
airline	0	0	0	0	0	0	0	0	0	0	એરલાઇન
airman	0	0	0	0	0	0	0	0	0	0	એરમેન
airplane	0	0	0	0	0	0	0	0	0	0	વિમાન
airport	0	1	0	0	0	0	0	0	0	0	એરપોર્ટ
airs	0	0	1	0	0	1	0	0	0	0	પ્રસારણ
airship	0	0	0	0	0	0	0	0	0	0	એરશીપ
aisle	0	0	0	0	0	0	0	0	0	0	પાંખ
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	અજાર
akin	0	0	0	0	0	0	0	0	0	1	સમાન
alabaster	0	0	0	0	0	0	1	0	0	0	અલાબાસ્ટર
alarm	0	0	0	1	0	1	0	0	1	0	એલાર્મ
alarming	0	0	0	1	0	1	0	0	1	0	ચિંતાજનક
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	આલ્બમ
alchemy	0	0	0	0	0	0	0	0	0	0	રસાયણ
alcohol	0	0	0	0	0	0	0	0	0	0	દારૂ
alcoholism	1	0	1	1	0	1	0	1	0	0	મદ્યપાન
alcove	0	0	0	0	0	0	0	0	0	0	અલ્કોવ
alert	0	0	0	0	0	0	0	0	0	0	ચેતવણી
alertness	0	1	0	1	0	0	1	0	1	0	સતર્કતા
alerts	0	1	0	1	0	0	0	0	1	0	ચેતવણીઓ
alfalfa	0	0	0	0	0	0	0	0	0	0	આલ્ફલ્ફા
algebra	0	0	0	0	0	0	0	0	0	0	બીજગણિત
algebraic	0	0	0	0	0	0	0	0	0	0	બીજગણિત
algorithm	0	0	0	0	0	0	0	0	0	0	અલ્ગોરિધમ
alibi	0	0	0	0	0	0	0	0	0	0	અલીબી
alien	0	0	1	1	0	1	0	0	0	0	એલિયન
alienate	1	0	1	0	0	1	0	0	0	0	વિમુખ કરવું
alienated	0	0	0	0	0	1	0	1	0	0	વિમુખ
alienation	1	0	1	1	0	1	0	1	0	0	પરાકાષ્ઠા
alight	0	0	0	0	0	0	0	0	0	0	ઊતરવું
aligned	0	0	0	0	0	0	0	0	0	0	ગોઠવાયેલ
alignment	0	0	0	0	0	0	0	0	0	0	ગોઠવણી
alike	0	0	0	0	0	0	0	0	0	0	સમાન
alimentation	0	0	0	0	0	0	1	0	0	0	આહાર
alimony	0	0	0	0	0	1	0	0	0	0	ભરણપોષણ
aliquot	0	0	0	0	0	0	0	0	0	0	અલીકોટ
alive	0	1	0	0	1	0	1	0	0	1	જીવંત
alkali	0	0	0	0	0	0	0	0	0	0	આલ્કલી
alkaloids	0	0	0	0	0	0	0	0	0	0	આલ્કલોઇડ્સ
allay	0	0	0	0	0	0	1	0	0	0	દૂર કરવું
allegation	1	0	0	0	0	1	0	0	0	0	આરોપ
allege	0	0	0	0	0	1	0	0	0	0	આરોપ
alleged	0	0	0	0	0	0	0	0	0	0	આરોપ
allegiance	0	0	0	0	0	0	1	0	0	1	નિષ્ઠા
allegorical	0	0	0	0	0	0	0	0	0	0	રૂપકાત્મક
allegory	0	0	0	0	0	0	0	0	0	0	રૂપક
allegro	0	0	0	0	0	0	1	0	0	0	રૂપક
alleviate	0	0	0	0	0	0	1	0	0	0	ઘટાડવું
alleviation	0	0	0	0	0	0	1	0	0	0	નિવારણ
alley	0	0	0	0	0	0	0	0	0	0	ગલી
alliance	0	0	0	0	0	0	0	0	0	1	જોડાણ
allied	0	0	0	0	0	0	1	0	0	1	સાથી
alligator	0	0	0	0	0	0	0	0	0	0	મગર
allocate	0	0	0	0	0	0	0	0	0	0	ફાળવણી
allocation	0	0	0	0	0	0	0	0	0	0	ફાળવણી
allot	0	0	0	0	0	0	0	0	0	0	ફાળવણી
allotment	0	0	0	0	0	0	0	0	0	0	ફાળવણી
allowable	0	0	0	0	0	0	1	0	0	0	માન્ય
allowance	0	0	0	0	0	0	0	0	0	0	ભથ્થું
allowed	0	0	0	0	0	0	0	0	0	0	મંજૂરી
alloy	0	0	0	0	0	0	0	0	0	0	એલોય
allure	0	1	0	0	1	0	1	0	1	0	આકર્ષણ
alluring	0	0	0	0	0	0	1	0	0	0	આકર્ષક
allusion	0	0	0	0	0	0	0	0	0	0	સંકેત
alluvial	0	0	0	0	0	0	0	0	0	0	કાંપવાળું
ally	0	0	0	0	0	0	1	0	0	1	સાથી
almanac	0	0	0	0	0	0	0	0	0	0	પંચાંગ
almighty	0	0	0	0	0	0	1	0	0	0	સર્વશક્તિમાન
aloft	0	0	0	0	0	0	0	0	0	0	ઉપર
aloha	0	1	0	0	1	0	1	0	0	0	અલોહા
alongside	0	0	0	0	0	0	0	0	0	0	સાથે
aloof	0	0	0	0	0	1	0	0	0	0	અલગ
aloud	0	0	0	0	0	0	0	0	0	0	મોટેથી
alphabet	0	0	0	0	0	0	0	0	0	0	મૂળાક્ષર
alphabetical	0	0	0	0	0	0	0	0	0	0	મૂળાક્ષર
altar	0	0	0	0	0	0	0	0	0	0	વેદી
alter	0	0	0	0	0	0	0	0	0	0	બદલો
alteration	0	0	0	0	0	0	0	0	0	0	ફેરફાર
altercation	1	0	0	0	0	1	0	0	0	0	બોલાચાલી
altered	0	0	0	0	0	0	0	0	0	0	બદલાયેલ
alternate	0	0	0	0	0	0	0	0	0	0	વૈકલ્પિક
alternative	0	0	0	0	0	0	0	0	0	0	વૈકલ્પિક
altitude	0	0	0	0	0	0	0	0	0	0	ઊંચાઈ
alto	0	0	0	0	0	0	0	0	0	0	અલ્ટો
