English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Czech Word
ache	0	0	0	0	0	1	0	1	0	0	bolest
achieve	0	0	0	0	1	0	1	0	0	1	dosáhnout
achievement	0	1	0	0	1	0	1	0	0	1	úspěch
aching	0	0	0	0	0	1	0	1	0	0	bolavý
acid	0	0	0	0	0	1	0	0	0	0	kyselina
acidity	0	0	0	0	0	0	0	0	0	0	kyselost
acknowledge	0	0	0	0	0	0	0	0	0	0	potvrdit
acknowledged	0	0	0	0	0	0	0	0	0	0	uznal
acknowledgment	0	0	0	0	0	0	1	0	0	0	potvrzení
acme	0	0	0	0	0	0	0	0	0	0	vrchol
acoustic	0	0	0	0	0	0	0	0	0	0	akustický
acoustics	0	0	0	0	0	0	0	0	0	0	akustika
acquaint	0	0	0	0	0	0	0	0	0	0	seznámit
acquaintance	0	0	0	0	0	0	0	0	0	0	známost
acquainted	0	0	0	0	0	0	0	0	0	0	obeznámený
acquiescence	0	0	0	0	0	0	0	0	0	0	souhlas
acquire	0	0	0	0	0	0	1	0	0	0	získat
acquiring	0	1	0	0	0	0	1	0	0	0	získávání
acquisition	0	0	0	0	0	0	0	0	0	0	získávání
acquisitions	0	0	0	0	0	0	0	0	0	0	akvizice
acreage	0	0	0	0	0	0	0	0	0	0	výměra
acres	0	0	0	0	0	0	0	0	0	0	akrů
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	akt
acting	0	0	0	0	0	0	0	0	0	0	herectví
action	0	0	0	0	0	0	1	0	0	0	akce
actionable	1	0	1	0	0	1	0	0	0	0	akceschopný
active	0	0	0	0	0	0	0	0	0	0	aktivní
activity	0	0	0	0	0	0	0	0	0	0	aktivita
actor	0	0	0	0	0	0	0	0	0	0	herec
actual	0	0	0	0	0	0	1	0	0	0	aktuální
actuality	0	0	0	0	0	0	0	0	0	0	skutečnost
actuary	0	0	0	0	0	0	0	0	0	0	pojistný matematik
acuity	0	0	0	0	0	0	1	0	0	0	ostrost
acumen	0	0	0	0	0	0	1	0	0	0	prozíravost
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktura
acutely	0	0	0	0	0	0	0	0	0	0	akutně
adage	0	0	0	0	0	0	0	0	0	0	pořekadlo
adamant	0	0	0	0	0	0	0	0	0	0	neoblomný
adapt	0	0	0	0	0	0	1	0	0	0	přizpůsobit se
adaptable	0	0	0	0	0	0	1	0	0	0	adaptabilní
add	0	0	0	0	0	0	0	0	0	0	přidat
added	0	0	0	0	0	0	0	0	0	0	přidal
addendum	0	0	0	0	0	0	0	0	0	0	dodatek
adder	1	0	1	1	0	1	0	1	0	0	zmije
addiction	0	0	0	0	0	1	0	0	0	0	závislost
addition	0	0	0	0	0	0	0	0	0	0	přidání
additional	0	0	0	0	0	0	0	0	0	0	další
additive	0	0	0	0	0	0	0	0	0	0	přísada
address	0	0	0	0	0	0	0	0	0	0	adresa
addressee	0	0	0	0	0	0	0	0	0	0	adresát
addresses	0	1	0	0	0	0	1	0	0	0	adresy
adept	0	0	0	0	0	0	1	0	0	0	adept
adequacy	0	0	0	0	0	0	1	0	0	0	přiměřenost
adequate	0	0	0	0	0	0	0	0	0	0	adekvátní
adhere	0	0	0	0	0	0	0	0	0	0	dodržovat
adherence	0	0	0	0	0	0	0	0	0	0	dodržování
adherent	0	0	0	0	0	0	0	0	0	0	přichycený
adhering	0	0	0	0	0	0	0	0	0	1	přilnavý
adhesion	0	0	0	0	0	0	0	0	0	0	přilnavost
adhesive	0	0	0	0	0	0	0	0	0	0	lepidlo
adieu	0	0	0	0	0	0	0	0	0	0	sbohem
adipose	0	0	0	0	0	1	0	0	0	0	tukové
adjacency	0	0	0	0	0	0	0	0	0	0	sousedství
adjacent	0	0	0	0	0	0	0	0	0	0	přilehlý
adjective	0	0	0	0	0	0	0	0	0	0	přídavné jméno
adjoining	0	0	0	0	0	0	0	0	0	0	sousedící
adjourn	0	0	0	0	0	0	0	0	0	0	odložit
adjournment	0	0	0	0	0	0	0	0	0	0	odročení
adjudicate	0	0	0	1	0	1	0	0	0	0	rozhodnout
adjudication	0	0	0	0	0	0	0	0	0	0	rozhodnutí
adjunct	0	0	0	0	0	0	1	0	0	0	doplněk
adjust	0	0	0	0	0	0	0	0	0	0	upravit
adjustment	0	0	0	0	0	0	0	0	0	0	nastavení
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvans
administer	0	0	0	0	0	0	0	0	0	0	spravovat
administration	0	0	0	0	0	0	0	0	0	0	správa
administrative	0	0	0	0	0	0	0	0	0	1	správní
admirable	0	0	0	0	1	0	1	0	0	1	obdivuhodný
admiral	0	0	0	0	0	0	1	0	0	1	admirál
admiralty	0	0	0	0	0	0	0	0	0	0	admiralita
admiration	0	0	0	0	1	0	1	0	0	1	obdiv
admire	0	0	0	0	0	0	1	0	0	1	obdivovat
admirer	0	0	0	0	0	0	1	0	0	0	obdivovatel
admissibility	0	0	0	0	0	0	0	0	0	0	přípustnost
admissible	0	0	0	0	0	0	1	0	0	1	přípustné
admission	0	0	0	0	0	0	0	0	0	0	přijetí
admit	0	0	0	0	0	0	0	0	0	0	připustit
admittance	0	0	0	0	0	0	0	0	0	0	vstup
admitted	0	0	0	0	0	0	0	0	0	0	připustil
admitting	0	0	0	0	0	0	0	0	0	0	přiznávající
admixture	0	0	0	0	0	0	0	0	0	0	přísada
admonition	0	0	0	1	0	1	0	0	0	0	napomenutí
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	dospívání
adolescent	0	0	0	0	0	0	0	0	0	0	puberťák
adopt	0	0	0	0	0	0	0	0	0	0	přijmout
adoption	0	0	0	0	0	0	0	0	0	0	přijetí
adorable	0	0	0	0	1	0	1	0	0	0	rozkošný
adoration	0	0	0	0	1	0	1	0	0	1	adorace
adore	0	1	0	0	1	0	1	0	0	1	uctívat
adorn	0	0	0	0	0	0	0	0	0	0	ozdobit
adornment	0	0	0	0	0	0	0	0	0	0	ozdoba
adrift	0	1	0	1	0	1	0	1	0	0	unášení
adult	0	0	0	0	0	0	0	0	0	0	dospělý
adulterated	0	0	0	0	0	1	0	0	0	0	falšované
adultery	0	0	1	0	0	1	0	1	0	0	cizoložství
advance	0	1	0	1	1	0	1	0	1	0	záloha
advanced	0	0	0	0	0	0	1	0	0	0	pokročilý
advancement	0	0	0	0	0	0	1	0	0	0	pokrok
advancing	0	0	0	0	0	0	0	0	0	0	postupující
advantage	0	0	0	0	0	0	1	0	0	0	výhoda
advantageous	0	0	0	0	0	0	1	0	0	0	výhodný
advent	0	1	0	0	1	0	1	0	0	1	příchod
adventure	0	1	0	0	0	0	1	0	0	0	dobrodružství
adventurer	0	0	0	0	0	0	0	0	0	0	dobrodruh
adventurous	0	0	0	0	0	0	1	0	0	0	dobrodružný
adversary	1	0	0	0	0	1	0	0	0	0	protivník
adverse	1	0	1	1	0	1	0	1	0	0	nepříznivý
adversity	1	0	0	1	0	1	0	1	0	0	nepřízeň osudu
advertise	0	0	0	0	0	0	0	0	0	0	inzerovat
advertisement	0	0	0	0	0	0	0	0	0	0	reklama
advice	0	0	0	0	0	0	0	0	0	1	Rada
advisable	0	0	0	0	0	0	1	0	0	1	vhodné
advise	0	0	0	0	0	0	1	0	0	1	radit, podat zprávu
advised	0	0	0	0	0	0	0	0	0	1	poradil
advisement	0	0	0	0	0	0	0	0	0	0	poradenství
adviser	0	0	0	0	0	0	1	0	0	1	poradce
advocacy	1	1	0	0	1	0	1	0	0	1	obhajoba
advocate	0	0	0	0	0	0	0	0	0	1	zastánce
aegis	0	0	0	0	0	0	0	0	0	0	záštita
aeration	0	0	0	0	0	0	0	0	0	0	provzdušňování
aerial	0	0	0	0	0	0	0	0	0	0	letecký
aerodrome	0	0	0	0	0	0	0	0	0	0	letiště
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamika
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautika
aeroplane	0	0	0	0	0	0	0	0	0	0	letoun
aesthetic	0	0	0	0	0	0	1	0	0	0	estetický
aesthetics	0	0	0	0	1	0	1	0	0	0	estetika
aetiology	0	0	0	0	0	0	0	0	0	0	etiologie
afar	0	0	0	0	0	0	0	0	0	0	daleko
affable	0	0	0	0	0	0	1	0	0	0	přívětivý
affair	0	0	0	0	0	0	0	0	0	0	aféra
affecting	0	0	0	0	0	0	0	0	0	0	ovlivňující
affection	0	0	0	0	1	0	1	0	0	1	náklonnost
affections	0	0	0	0	0	0	0	0	0	0	náklonnosti
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	přísežné prohlášení
affiliated	0	0	0	0	0	0	1	0	0	0	přidružený
affiliation	0	0	0	0	0	0	0	0	0	0	příslušnost
affinity	0	0	0	0	0	0	0	0	0	0	afinita
affirm	0	0	0	0	0	0	1	0	0	1	potvrdit
affirmation	0	0	0	0	0	0	1	0	0	0	afirmace
affirmative	0	0	0	0	0	0	1	0	0	0	kladný
affirmatively	0	0	0	0	0	0	1	0	0	1	kladně
affix	0	0	0	0	0	0	0	0	0	0	připevnit
afflict	0	0	0	1	0	1	0	1	0	0	postihnout
afflicted	0	0	0	0	0	1	0	0	0	0	postižený
affliction	0	0	1	1	0	1	0	1	0	0	utrpení
affluence	0	0	0	0	1	0	1	0	0	0	blahobyt
affluent	0	0	0	0	0	0	1	0	0	0	blahobytný
afford	0	0	0	0	0	0	1	0	0	0	si dovolit
affront	1	0	1	1	0	1	0	1	1	0	urážka
afield	0	0	0	0	0	0	0	0	0	0	v zahraničí
afore	0	0	0	0	0	0	0	0	0	0	předem
aforementioned	0	0	0	0	0	0	0	0	0	0	výše
aforesaid	0	0	0	0	0	0	0	0	0	0	výše řečeno
afraid	0	0	0	1	0	1	0	0	0	0	strach
afresh	0	0	0	0	0	0	0	0	0	0	znovu
aft	0	0	0	0	0	0	0	0	0	0	na zádi
aftermath	1	0	1	1	0	1	0	1	0	0	následky
afternoon	0	0	0	0	0	0	0	0	0	0	odpoledne
aftertaste	0	0	0	0	0	1	0	0	0	0	pachuť
afterthought	0	0	0	0	0	0	0	0	0	0	dodatečný nápad
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	achát
age	0	0	0	0	0	0	0	0	0	0	stáří
aged	0	0	0	0	0	0	0	0	0	0	letitý
agency	0	0	0	0	0	0	0	0	0	0	agentura
agent	0	0	0	0	0	0	0	0	0	0	činidlo
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomerace
aggravated	1	0	0	0	0	1	0	0	0	0	zhoršené
aggravating	1	0	0	0	0	1	0	1	0	0	přitěžující
aggravation	1	0	1	0	0	1	0	0	0	0	zhoršení
aggregate	0	0	0	0	0	0	0	0	0	0	agregát
aggregation	0	0	0	0	0	0	0	0	0	0	agregace
aggression	1	0	0	1	0	1	0	0	0	0	agrese
aggressive	1	0	0	1	0	1	0	0	0	0	agresivní
aggressor	1	0	0	1	0	1	0	0	0	0	agresor
aghast	0	0	1	1	0	1	0	0	1	0	zděšený
agile	0	0	0	0	0	0	1	0	0	0	agilní
agility	0	0	0	0	0	0	1	0	0	0	hbitost
agitated	1	0	0	0	0	1	0	0	0	0	rozrušený
agitation	1	0	0	0	0	1	0	0	0	0	míchání
agnostic	0	0	0	0	0	0	0	0	0	0	agnostik
ago	0	0	0	0	0	0	0	0	0	0	před
agonizing	0	0	0	1	0	1	0	0	0	0	agonizující
agony	1	0	0	1	0	1	0	1	0	0	muka
agree	0	0	0	0	0	0	1	0	0	0	souhlasit
agreeable	0	0	0	0	0	0	1	0	0	1	příjemný
agreed	0	0	0	0	0	0	1	0	0	1	souhlasil
agreeing	0	0	0	0	0	0	1	0	0	1	souhlasit
agreement	0	0	0	0	0	0	1	0	0	1	dohoda
agricultural	0	0	0	0	0	0	0	0	0	0	zemědělský
agriculture	0	0	0	0	0	0	1	0	0	0	zemědělství
aground	0	0	0	0	0	1	0	0	0	0	na mělčině
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	vpřed
aid	0	0	0	0	0	0	1	0	0	0	pomoc
aiding	0	0	0	0	0	0	1	0	0	0	pomáhání
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	churavějící
ailment	0	0	0	0	0	0	0	0	0	0	indispozice
aim	0	0	0	0	0	0	0	0	0	0	cíl
aimless	0	0	0	0	0	1	0	0	0	0	bezcílný
air	0	0	0	0	0	0	0	0	0	0	vzduch
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	leteckou přepravu
airline	0	0	0	0	0	0	0	0	0	0	letecká linka
airman	0	0	0	0	0	0	0	0	0	0	letec
airplane	0	0	0	0	0	0	0	0	0	0	letoun
airport	0	1	0	0	0	0	0	0	0	0	LETIŠTĚ
airs	0	0	1	0	0	1	0	0	0	0	vysílá
airship	0	0	0	0	0	0	0	0	0	0	vzducholoď
aisle	0	0	0	0	0	0	0	0	0	0	ulička
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	pootevřený
akin	0	0	0	0	0	0	0	0	0	1	podobný
alabaster	0	0	0	0	0	0	1	0	0	0	alabastr
alarm	0	0	0	1	0	1	0	0	1	0	poplach
alarming	0	0	0	1	0	1	0	0	1	0	alarmující
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchymie
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholismus
alcove	0	0	0	0	0	0	0	0	0	0	výklenek
alert	0	0	0	0	0	0	0	0	0	0	upozornění
alertness	0	1	0	1	0	0	1	0	1	0	ostražitost
alerts	0	1	0	1	0	0	0	0	1	0	upozornění
alfalfa	0	0	0	0	0	0	0	0	0	0	vojtěška
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraický
algorithm	0	0	0	0	0	0	0	0	0	0	algoritmus
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	mimozemšťan
alienate	1	0	1	0	0	1	0	0	0	0	odcizit
alienated	0	0	0	0	0	1	0	1	0	0	odcizený
alienation	1	0	1	1	0	1	0	1	0	0	odcizení
alight	0	0	0	0	0	0	0	0	0	0	vystoupit
aligned	0	0	0	0	0	0	0	0	0	0	zarovnaný
alignment	0	0	0	0	0	0	0	0	0	0	zarovnání
alike	0	0	0	0	0	0	0	0	0	0	podobně
alimentation	0	0	0	0	0	0	1	0	0	0	stravování
alimony	0	0	0	0	0	1	0	0	0	0	výživné
aliquot	0	0	0	0	0	0	0	0	0	0	alikvotně
alive	0	1	0	0	1	0	1	0	0	1	naživu
alkali	0	0	0	0	0	0	0	0	0	0	alkálie
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloidy
allay	0	0	0	0	0	0	1	0	0	0	zmírnit
allegation	1	0	0	0	0	1	0	0	0	0	tvrzení
allege	0	0	0	0	0	1	0	0	0	0	tvrdit
alleged	0	0	0	0	0	0	0	0	0	0	údajný
allegiance	0	0	0	0	0	0	1	0	0	1	věrnost
allegorical	0	0	0	0	0	0	0	0	0	0	alegorický
allegory	0	0	0	0	0	0	0	0	0	0	alegorie
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	zmírnit
alleviation	0	0	0	0	0	0	1	0	0	0	zmírnění
alley	0	0	0	0	0	0	0	0	0	0	alej
alliance	0	0	0	0	0	0	0	0	0	1	aliance
allied	0	0	0	0	0	0	1	0	0	1	spojenecký
alligator	0	0	0	0	0	0	0	0	0	0	aligátor
allocate	0	0	0	0	0	0	0	0	0	0	přidělit
allocation	0	0	0	0	0	0	0	0	0	0	přidělení
allot	0	0	0	0	0	0	0	0	0	0	přidělovat
allotment	0	0	0	0	0	0	0	0	0	0	přidělování
allowable	0	0	0	0	0	0	1	0	0	0	přípustné
allowance	0	0	0	0	0	0	0	0	0	0	příspěvek
allowed	0	0	0	0	0	0	0	0	0	0	povoleno
alloy	0	0	0	0	0	0	0	0	0	0	slitina
allure	0	1	0	0	1	0	1	0	1	0	lákat
alluring	0	0	0	0	0	0	1	0	0	0	svůdný
allusion	0	0	0	0	0	0	0	0	0	0	narážka
alluvial	0	0	0	0	0	0	0	0	0	0	aluviální
ally	0	0	0	0	0	0	1	0	0	1	spojenec
almanac	0	0	0	0	0	0	0	0	0	0	almanach
almighty	0	0	0	0	0	0	1	0	0	0	všemohoucí
aloft	0	0	0	0	0	0	0	0	0	0	nahoře
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	vedle
aloof	0	0	0	0	0	1	0	0	0	0	rezervovaný
aloud	0	0	0	0	0	0	0	0	0	0	nahlas
alphabet	0	0	0	0	0	0	0	0	0	0	abeceda
alphabetical	0	0	0	0	0	0	0	0	0	0	abecední
altar	0	0	0	0	0	0	0	0	0	0	oltář
alter	0	0	0	0	0	0	0	0	0	0	změnit
alteration	0	0	0	0	0	0	0	0	0	0	změna
altercation	1	0	0	0	0	1	0	0	0	0	hádka
altered	0	0	0	0	0	0	0	0	0	0	změněno
alternate	0	0	0	0	0	0	0	0	0	0	střídat
alternative	0	0	0	0	0	0	0	0	0	0	alternativní
altitude	0	0	0	0	0	0	0	0	0	0	nadmořská výška
alto	0	0	0	0	0	0	0	0	0	0	alt
altogether	0	0	0	0	0	0	0	0	0	0	celkem
alumnus	0	0	0	0	0	0	0	0	0	0	absolvent
alveolar	0	0	0	0	0	0	0	0	0	0	alveolární
amalgam	0	0	0	0	0	0	0	0	0	0	amalgám
amalgamation	0	0	0	0	0	0	0	0	0	0	sloučení
amass	0	0	0	0	0	0	0	0	0	0	hromadit
amateur	0	0	0	0	0	0	0	0	0	0	amatér
amaze	0	0	0	0	0	0	0	0	1	0	ohromit
amazement	0	0	0	0	0	0	0	0	0	0	ohromení
amazingly	0	0	0	0	1	0	1	0	1	0	úžasně
ambassador	0	0	0	0	0	0	1	0	0	1	velvyslanec
amber	0	0	0	0	0	0	0	0	0	0	jantar
ambient	0	0	0	0	0	0	0	0	0	0	okolní
ambiguity	0	0	0	0	0	0	0	0	0	0	dvojznačnost
ambiguous	0	0	0	0	0	1	0	0	0	0	dvojznačný
ambit	0	0	0	0	0	0	0	0	0	0	ambitu
ambition	0	1	0	0	1	0	1	0	0	1	ctižádost
ambitious	0	0	0	0	0	0	0	0	0	0	ambiciózní
ambulance	0	0	0	1	0	0	0	0	0	1	záchranná služba
ambush	1	0	0	1	0	1	0	0	1	0	přepadení
ameliorate	0	0	0	0	0	0	1	0	0	0	zlepšit
amen	0	0	0	0	1	0	1	0	0	1	Amen
amenable	0	0	0	0	0	0	1	0	0	0	přístupný
amend	0	0	0	0	0	0	1	0	0	0	upravit
amendment	0	0	0	0	0	0	0	0	0	0	pozměňovací návrh
amends	0	0	0	0	0	0	1	0	0	0	opravuje
amenity	0	0	0	0	0	0	1	0	0	0	S vybavením
amethyst	0	0	0	0	0	0	0	0	0	0	ametyst
amiable	0	0	0	0	0	0	1	0	0	0	přívětivý
amicable	0	0	0	0	1	0	1	0	0	0	přátelské
amid	0	0	0	0	0	0	0	0	0	0	uprostřed
amidst	0	0	0	0	0	0	0	0	0	0	uprostřed
ammonia	0	0	1	0	0	0	0	0	0	0	amoniak
ammunition	0	0	0	0	0	0	0	0	0	0	munice
amnesia	0	0	0	0	0	1	0	0	0	0	amnézie
amnesty	0	0	0	0	1	0	1	0	0	0	amnestie
amorphous	0	0	0	0	0	0	0	0	0	0	amorfní
amortization	0	0	0	0	0	0	0	0	0	1	amortizace
amount	0	0	0	0	0	0	0	0	0	0	množství
amour	0	1	0	0	1	0	1	0	0	1	amour
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetaminy
amphibian	0	0	0	0	0	0	0	0	0	0	obojživelník
amphibious	0	0	0	0	0	0	0	0	0	0	obojživelný
amphitheater	0	0	0	0	0	0	0	0	0	0	amfiteátr
amplification	0	0	0	0	0	0	0	0	0	0	zesílení
amplify	0	0	0	0	0	0	0	0	0	0	zesilovat
amplitude	0	0	0	0	0	0	0	0	0	0	amplituda
amply	0	0	0	0	0	0	0	0	0	0	bohatě
