English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Ukrainian Word
accrue	0	0	0	0	0	0	0	0	0	0	нараховувати
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	накопичувати
accumulation	0	0	0	0	0	0	0	0	0	0	накопичення
accuracy	0	0	0	0	0	0	0	0	0	0	точність
accurate	0	0	0	0	0	0	1	0	0	1	точні
accursed	1	0	0	1	0	1	0	1	0	0	проклятий
accusation	1	0	1	0	0	1	0	0	0	0	звинувачення
accusative	0	0	0	0	0	1	0	0	0	0	знахідний
accused	1	0	0	1	0	1	0	0	0	0	обвинувачений
accuser	1	0	0	1	0	1	0	0	0	0	обвинувач
accusing	1	0	0	1	0	1	0	0	0	0	звинувачення
accustomed	0	0	0	0	0	0	0	0	0	0	звикли
ace	0	0	0	0	0	0	1	0	0	0	туз
acetic	0	0	0	0	0	0	0	0	0	0	оцтова
ache	0	0	0	0	0	1	0	1	0	0	біль
achieve	0	0	0	0	1	0	1	0	0	1	досягти
achievement	0	1	0	0	1	0	1	0	0	1	досягнення
aching	0	0	0	0	0	1	0	1	0	0	ниючий
acid	0	0	0	0	0	1	0	0	0	0	кислота
acidity	0	0	0	0	0	0	0	0	0	0	кислотність
acknowledge	0	0	0	0	0	0	0	0	0	0	визнати
acknowledged	0	0	0	0	0	0	0	0	0	0	визнав
acknowledgment	0	0	0	0	0	0	1	0	0	0	підтвердження
acme	0	0	0	0	0	0	0	0	0	0	акме
acoustic	0	0	0	0	0	0	0	0	0	0	акустичний
acoustics	0	0	0	0	0	0	0	0	0	0	акустика
acquaint	0	0	0	0	0	0	0	0	0	0	познайомити
acquaintance	0	0	0	0	0	0	0	0	0	0	знайомство
acquainted	0	0	0	0	0	0	0	0	0	0	знайомий
acquiescence	0	0	0	0	0	0	0	0	0	0	мовчазне погодження
acquire	0	0	0	0	0	0	1	0	0	0	придбати
acquiring	0	1	0	0	0	0	1	0	0	0	придбання
acquisition	0	0	0	0	0	0	0	0	0	0	придбання
acquisitions	0	0	0	0	0	0	0	0	0	0	придбання
acreage	0	0	0	0	0	0	0	0	0	0	площа в акрах
acres	0	0	0	0	0	0	0	0	0	0	акрів
acrobat	0	0	0	1	1	0	1	0	0	1	акробат
act	0	0	0	0	0	0	0	0	0	0	діяти
acting	0	0	0	0	0	0	0	0	0	0	діючий
action	0	0	0	0	0	0	1	0	0	0	дію
actionable	1	0	1	0	0	1	0	0	0	0	дієві
active	0	0	0	0	0	0	0	0	0	0	активний
activity	0	0	0	0	0	0	0	0	0	0	діяльність
actor	0	0	0	0	0	0	0	0	0	0	актор
actual	0	0	0	0	0	0	1	0	0	0	фактичний
actuality	0	0	0	0	0	0	0	0	0	0	актуальність
actuary	0	0	0	0	0	0	0	0	0	0	актуарій
acuity	0	0	0	0	0	0	1	0	0	0	гострота
acumen	0	0	0	0	0	0	1	0	0	0	кмітливість
acupuncture	0	0	0	0	0	0	0	0	0	0	акупунктура
acutely	0	0	0	0	0	0	0	0	0	0	гостро
adage	0	0	0	0	0	0	0	0	0	0	приказка
adamant	0	0	0	0	0	0	0	0	0	0	непохитний
adapt	0	0	0	0	0	0	1	0	0	0	адаптуватися
adaptable	0	0	0	0	0	0	1	0	0	0	адаптований
add	0	0	0	0	0	0	0	0	0	0	додати
added	0	0	0	0	0	0	0	0	0	0	додано
addendum	0	0	0	0	0	0	0	0	0	0	додаток
adder	1	0	1	1	0	1	0	1	0	0	суматор
addiction	0	0	0	0	0	1	0	0	0	0	залежність
addition	0	0	0	0	0	0	0	0	0	0	додаток
additional	0	0	0	0	0	0	0	0	0	0	додатковий
additive	0	0	0	0	0	0	0	0	0	0	добавка
address	0	0	0	0	0	0	0	0	0	0	адресу
addressee	0	0	0	0	0	0	0	0	0	0	адресат
addresses	0	1	0	0	0	0	1	0	0	0	адреси
adept	0	0	0	0	0	0	1	0	0	0	адепт
adequacy	0	0	0	0	0	0	1	0	0	0	адекватність
adequate	0	0	0	0	0	0	0	0	0	0	адекватний
adhere	0	0	0	0	0	0	0	0	0	0	дотримуватися
adherence	0	0	0	0	0	0	0	0	0	0	прихильність
adherent	0	0	0	0	0	0	0	0	0	0	прихильник
adhering	0	0	0	0	0	0	0	0	0	1	дотримуючись
adhesion	0	0	0	0	0	0	0	0	0	0	адгезія
adhesive	0	0	0	0	0	0	0	0	0	0	клей
adieu	0	0	0	0	0	0	0	0	0	0	прощавай
adipose	0	0	0	0	0	1	0	0	0	0	жировий
adjacency	0	0	0	0	0	0	0	0	0	0	суміжність
adjacent	0	0	0	0	0	0	0	0	0	0	суміжні
adjective	0	0	0	0	0	0	0	0	0	0	прикметник
adjoining	0	0	0	0	0	0	0	0	0	0	примикання
adjourn	0	0	0	0	0	0	0	0	0	0	відкласти
adjournment	0	0	0	0	0	0	0	0	0	0	відстрочка
adjudicate	0	0	0	1	0	1	0	0	0	0	судити
adjudication	0	0	0	0	0	0	0	0	0	0	винесення судового рішення
adjunct	0	0	0	0	0	0	1	0	0	0	придатковий
adjust	0	0	0	0	0	0	0	0	0	0	налаштувати
adjustment	0	0	0	0	0	0	0	0	0	0	коригування
adjuvant	0	0	0	0	0	0	0	0	0	0	ад'ювант
administer	0	0	0	0	0	0	0	0	0	0	адмініструвати
administration	0	0	0	0	0	0	0	0	0	0	адміністрування
administrative	0	0	0	0	0	0	0	0	0	1	адміністративний
admirable	0	0	0	0	1	0	1	0	0	1	гідний захоплення
admiral	0	0	0	0	0	0	1	0	0	1	адмірал
admiralty	0	0	0	0	0	0	0	0	0	0	адміралтейство
admiration	0	0	0	0	1	0	1	0	0	1	захоплення
admire	0	0	0	0	0	0	1	0	0	1	захоплюватися
admirer	0	0	0	0	0	0	1	0	0	0	шанувальник
admissibility	0	0	0	0	0	0	0	0	0	0	допустимість
admissible	0	0	0	0	0	0	1	0	0	1	припустимий
admission	0	0	0	0	0	0	0	0	0	0	прийом
admit	0	0	0	0	0	0	0	0	0	0	визнати
admittance	0	0	0	0	0	0	0	0	0	0	допуск
admitted	0	0	0	0	0	0	0	0	0	0	зізнався
admitting	0	0	0	0	0	0	0	0	0	0	допускаючи
admixture	0	0	0	0	0	0	0	0	0	0	домішка
admonition	0	0	0	1	0	1	0	0	0	0	застереження
ado	0	0	0	0	0	0	0	0	0	0	шум
adobe	0	0	0	0	0	0	0	0	0	0	глинобитний
adolescence	0	0	0	0	0	0	0	0	0	0	підлітковий вік
adolescent	0	0	0	0	0	0	0	0	0	0	підліток
adopt	0	0	0	0	0	0	0	0	0	0	прийняти
adoption	0	0	0	0	0	0	0	0	0	0	усиновлення
adorable	0	0	0	0	1	0	1	0	0	0	чарівний
adoration	0	0	0	0	1	0	1	0	0	1	обожнювання
adore	0	1	0	0	1	0	1	0	0	1	обожнюю
adorn	0	0	0	0	0	0	0	0	0	0	прикрашати
adornment	0	0	0	0	0	0	0	0	0	0	прикраса
adrift	0	1	0	1	0	1	0	1	0	0	дрейфувати
adult	0	0	0	0	0	0	0	0	0	0	дорослий
adulterated	0	0	0	0	0	1	0	0	0	0	фальсифікований
adultery	0	0	1	0	0	1	0	1	0	0	подружня зрада
advance	0	1	0	1	1	0	1	0	1	0	заздалегідь
advanced	0	0	0	0	0	0	1	0	0	0	просунутий
advancement	0	0	0	0	0	0	1	0	0	0	просування
advancing	0	0	0	0	0	0	0	0	0	0	просування вперед
advantage	0	0	0	0	0	0	1	0	0	0	перевага
advantageous	0	0	0	0	0	0	1	0	0	0	вигідно
advent	0	1	0	0	1	0	1	0	0	1	прихід
adventure	0	1	0	0	0	0	1	0	0	0	пригода
adventurer	0	0	0	0	0	0	0	0	0	0	авантюрист
adventurous	0	0	0	0	0	0	1	0	0	0	авантюрний
adversary	1	0	0	0	0	1	0	0	0	0	супротивник
adverse	1	0	1	1	0	1	0	1	0	0	несприятливий
adversity	1	0	0	1	0	1	0	1	0	0	нещастя
advertise	0	0	0	0	0	0	0	0	0	0	рекламувати
advertisement	0	0	0	0	0	0	0	0	0	0	реклама
advice	0	0	0	0	0	0	0	0	0	1	поради
advisable	0	0	0	0	0	0	1	0	0	1	доцільно
advise	0	0	0	0	0	0	1	0	0	1	порадити
advised	0	0	0	0	0	0	0	0	0	1	радив
advisement	0	0	0	0	0	0	0	0	0	0	порада
adviser	0	0	0	0	0	0	1	0	0	1	радник
advocacy	1	1	0	0	1	0	1	0	0	1	адвокація
advocate	0	0	0	0	0	0	0	0	0	1	адвокат
aegis	0	0	0	0	0	0	0	0	0	0	егіда
aeration	0	0	0	0	0	0	0	0	0	0	аерація
aerial	0	0	0	0	0	0	0	0	0	0	повітряний
aerodrome	0	0	0	0	0	0	0	0	0	0	аеродром
aerodynamics	0	0	0	0	0	0	0	0	0	0	аеродинаміка
aeronautics	0	0	0	0	0	0	0	0	0	0	повітроплавання
aeroplane	0	0	0	0	0	0	0	0	0	0	літак
aesthetic	0	0	0	0	0	0	1	0	0	0	естетичний
aesthetics	0	0	0	0	1	0	1	0	0	0	естетичність
aetiology	0	0	0	0	0	0	0	0	0	0	етіологія
afar	0	0	0	0	0	0	0	0	0	0	здалеку
affable	0	0	0	0	0	0	1	0	0	0	привітний
affair	0	0	0	0	0	0	0	0	0	0	роман
affecting	0	0	0	0	0	0	0	0	0	0	впливають
affection	0	0	0	0	1	0	1	0	0	1	прихильність
affections	0	0	0	0	0	0	0	0	0	0	прихильності
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	афідевіт
affiliated	0	0	0	0	0	0	1	0	0	0	афілійовані
affiliation	0	0	0	0	0	0	0	0	0	0	приналежність
affinity	0	0	0	0	0	0	0	0	0	0	спорідненість
affirm	0	0	0	0	0	0	1	0	0	1	стверджувати
affirmation	0	0	0	0	0	0	1	0	0	0	афірмація
affirmative	0	0	0	0	0	0	1	0	0	0	стверджувальний
affirmatively	0	0	0	0	0	0	1	0	0	1	ствердно
affix	0	0	0	0	0	0	0	0	0	0	афікс
afflict	0	0	0	1	0	1	0	1	0	0	страждати
afflicted	0	0	0	0	0	1	0	0	0	0	уражений
affliction	0	0	1	1	0	1	0	1	0	0	страждання
affluence	0	0	0	0	1	0	1	0	0	0	достаток
affluent	0	0	0	0	0	0	1	0	0	0	заможний
afford	0	0	0	0	0	0	1	0	0	0	дозволити собі
affront	1	0	1	1	0	1	0	1	1	0	образа
afield	0	0	0	0	0	0	0	0	0	0	поза межами
afore	0	0	0	0	0	0	0	0	0	0	раніше
aforementioned	0	0	0	0	0	0	0	0	0	0	вищезгаданий
aforesaid	0	0	0	0	0	0	0	0	0	0	вищесказане
afraid	0	0	0	1	0	1	0	0	0	0	боїться
afresh	0	0	0	0	0	0	0	0	0	0	заново
aft	0	0	0	0	0	0	0	0	0	0	корма
aftermath	1	0	1	1	0	1	0	1	0	0	наслідки
afternoon	0	0	0	0	0	0	0	0	0	0	полудень
aftertaste	0	0	0	0	0	1	0	0	0	0	післясмак
afterthought	0	0	0	0	0	0	0	0	0	0	заднім числом
aga	0	0	0	1	0	0	1	0	0	1	ага
agate	0	0	0	0	0	0	0	0	0	0	агат
age	0	0	0	0	0	0	0	0	0	0	вік
aged	0	0	0	0	0	0	0	0	0	0	у віці
agency	0	0	0	0	0	0	0	0	0	0	агентство
agent	0	0	0	0	0	0	0	0	0	0	агент
agglomeration	0	0	0	0	0	0	0	0	0	0	агломерація
aggravated	1	0	0	0	0	1	0	0	0	0	загострюється
aggravating	1	0	0	0	0	1	0	1	0	0	обтяжуючий
aggravation	1	0	1	0	0	1	0	0	0	0	загострення
aggregate	0	0	0	0	0	0	0	0	0	0	агрегатний
aggregation	0	0	0	0	0	0	0	0	0	0	агрегація
aggression	1	0	0	1	0	1	0	0	0	0	агресія
aggressive	1	0	0	1	0	1	0	0	0	0	агресивний
aggressor	1	0	0	1	0	1	0	0	0	0	агресор
aghast	0	0	1	1	0	1	0	0	1	0	приголомшений
agile	0	0	0	0	0	0	1	0	0	0	спритний
agility	0	0	0	0	0	0	1	0	0	0	спритність
agitated	1	0	0	0	0	1	0	0	0	0	схвильований
agitation	1	0	0	0	0	1	0	0	0	0	агітація
agnostic	0	0	0	0	0	0	0	0	0	0	агностик
ago	0	0	0	0	0	0	0	0	0	0	тому
agonizing	0	0	0	1	0	1	0	0	0	0	болісно
agony	1	0	0	1	0	1	0	1	0	0	агонія
agree	0	0	0	0	0	0	1	0	0	0	згоден
agreeable	0	0	0	0	0	0	1	0	0	1	приємний
agreed	0	0	0	0	0	0	1	0	0	1	погодився
agreeing	0	0	0	0	0	0	1	0	0	1	погоджуючись
agreement	0	0	0	0	0	0	1	0	0	1	Угода
agricultural	0	0	0	0	0	0	0	0	0	0	сільськогосподарський
agriculture	0	0	0	0	0	0	1	0	0	0	сільське господарство
aground	0	0	0	0	0	1	0	0	0	0	на мілині
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	попереду
aid	0	0	0	0	0	0	1	0	0	0	допомога
aiding	0	0	0	0	0	0	1	0	0	0	допомога
ail	0	0	0	0	0	1	0	1	0	0	хворий
ailing	0	0	0	1	0	1	0	1	0	0	хворий
ailment	0	0	0	0	0	0	0	0	0	0	нездужання
aim	0	0	0	0	0	0	0	0	0	0	мета
aimless	0	0	0	0	0	1	0	0	0	0	безцільний
air	0	0	0	0	0	0	0	0	0	0	повітря
airbag	0	0	0	0	0	0	0	0	0	0	подушка безпеки
airlift	0	0	0	0	0	0	0	0	0	0	ерліфт
airline	0	0	0	0	0	0	0	0	0	0	авіакомпанія
airman	0	0	0	0	0	0	0	0	0	0	льотчик
airplane	0	0	0	0	0	0	0	0	0	0	літак
airport	0	1	0	0	0	0	0	0	0	0	аеропорт
airs	0	0	1	0	0	1	0	0	0	0	ефіри
airship	0	0	0	0	0	0	0	0	0	0	дирижабль
aisle	0	0	0	0	0	0	0	0	0	0	прохід
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	прочинений
akin	0	0	0	0	0	0	0	0	0	1	споріднений
alabaster	0	0	0	0	0	0	1	0	0	0	алебастр
alarm	0	0	0	1	0	1	0	0	1	0	тривога
alarming	0	0	0	1	0	1	0	0	1	0	тривожний
alb	0	0	0	0	0	0	0	0	0	1	алб
album	0	0	0	0	0	0	0	0	0	0	альбом
alchemy	0	0	0	0	0	0	0	0	0	0	алхімія
alcohol	0	0	0	0	0	0	0	0	0	0	алкоголь
alcoholism	1	0	1	1	0	1	0	1	0	0	алкоголізм
alcove	0	0	0	0	0	0	0	0	0	0	альков
alert	0	0	0	0	0	0	0	0	0	0	оповіщення
alertness	0	1	0	1	0	0	1	0	1	0	пильність
alerts	0	1	0	1	0	0	0	0	1	0	оповіщення
alfalfa	0	0	0	0	0	0	0	0	0	0	люцерна
algebra	0	0	0	0	0	0	0	0	0	0	алгебра
algebraic	0	0	0	0	0	0	0	0	0	0	алгебраїчні
algorithm	0	0	0	0	0	0	0	0	0	0	алгоритм
alibi	0	0	0	0	0	0	0	0	0	0	алібі
alien	0	0	1	1	0	1	0	0	0	0	інопланетянин
alienate	1	0	1	0	0	1	0	0	0	0	відчужувати
alienated	0	0	0	0	0	1	0	1	0	0	відчужені
alienation	1	0	1	1	0	1	0	1	0	0	відчуження
alight	0	0	0	0	0	0	0	0	0	0	горить
aligned	0	0	0	0	0	0	0	0	0	0	вирівняні
alignment	0	0	0	0	0	0	0	0	0	0	вирівнювання
alike	0	0	0	0	0	0	0	0	0	0	однакові
alimentation	0	0	0	0	0	0	1	0	0	0	харчування
alimony	0	0	0	0	0	1	0	0	0	0	аліменти
aliquot	0	0	0	0	0	0	0	0	0	0	аліквота
alive	0	1	0	0	1	0	1	0	0	1	живий
alkali	0	0	0	0	0	0	0	0	0	0	луг
alkaloids	0	0	0	0	0	0	0	0	0	0	алкалоїди
allay	0	0	0	0	0	0	1	0	0	0	розвіяти
allegation	1	0	0	0	0	1	0	0	0	0	звинувачення
allege	0	0	0	0	0	1	0	0	0	0	стверджувати
alleged	0	0	0	0	0	0	0	0	0	0	нібито
allegiance	0	0	0	0	0	0	1	0	0	1	вірність
allegorical	0	0	0	0	0	0	0	0	0	0	алегоричний
allegory	0	0	0	0	0	0	0	0	0	0	алегорія
allegro	0	0	0	0	0	0	1	0	0	0	алегро
alleviate	0	0	0	0	0	0	1	0	0	0	полегшити
alleviation	0	0	0	0	0	0	1	0	0	0	полегшення
alley	0	0	0	0	0	0	0	0	0	0	алея
alliance	0	0	0	0	0	0	0	0	0	1	альянс
allied	0	0	0	0	0	0	1	0	0	1	союзні
alligator	0	0	0	0	0	0	0	0	0	0	алігатор
allocate	0	0	0	0	0	0	0	0	0	0	виділяти
allocation	0	0	0	0	0	0	0	0	0	0	виділення
allot	0	0	0	0	0	0	0	0	0	0	виділяти
allotment	0	0	0	0	0	0	0	0	0	0	наділ
allowable	0	0	0	0	0	0	1	0	0	0	допустимо
allowance	0	0	0	0	0	0	0	0	0	0	надбавка
allowed	0	0	0	0	0	0	0	0	0	0	дозволено
alloy	0	0	0	0	0	0	0	0	0	0	сплав
allure	0	1	0	0	1	0	1	0	1	0	привабливість
alluring	0	0	0	0	0	0	1	0	0	0	привабливий
allusion	0	0	0	0	0	0	0	0	0	0	алюзія
alluvial	0	0	0	0	0	0	0	0	0	0	алювіальний
ally	0	0	0	0	0	0	1	0	0	1	союзник
almanac	0	0	0	0	0	0	0	0	0	0	альманах
almighty	0	0	0	0	0	0	1	0	0	0	всемогутній
aloft	0	0	0	0	0	0	0	0	0	0	нагорі
aloha	0	1	0	0	1	0	1	0	0	0	алоха
alongside	0	0	0	0	0	0	0	0	0	0	поряд
aloof	0	0	0	0	0	1	0	0	0	0	осторонь
aloud	0	0	0	0	0	0	0	0	0	0	вголос
alphabet	0	0	0	0	0	0	0	0	0	0	алфавіт
alphabetical	0	0	0	0	0	0	0	0	0	0	алфавітний
altar	0	0	0	0	0	0	0	0	0	0	вівтар
alter	0	0	0	0	0	0	0	0	0	0	змінювати
alteration	0	0	0	0	0	0	0	0	0	0	зміна
altercation	1	0	0	0	0	1	0	0	0	0	сварка
altered	0	0	0	0	0	0	0	0	0	0	змінено
alternate	0	0	0	0	0	0	0	0	0	0	чергувати
alternative	0	0	0	0	0	0	0	0	0	0	альтернатива
altitude	0	0	0	0	0	0	0	0	0	0	висота
alto	0	0	0	0	0	0	0	0	0	0	альт
altogether	0	0	0	0	0	0	0	0	0	0	взагалі
alumnus	0	0	0	0	0	0	0	0	0	0	випускник
alveolar	0	0	0	0	0	0	0	0	0	0	альвеолярний
amalgam	0	0	0	0	0	0	0	0	0	0	амальгама
amalgamation	0	0	0	0	0	0	0	0	0	0	об'єднання
amass	0	0	0	0	0	0	0	0	0	0	накопичувати
amateur	0	0	0	0	0	0	0	0	0	0	аматорський
amaze	0	0	0	0	0	0	0	0	1	0	вражати
amazement	0	0	0	0	0	0	0	0	0	0	здивування
amazingly	0	0	0	0	1	0	1	0	1	0	дивно
ambassador	0	0	0	0	0	0	1	0	0	1	посол
amber	0	0	0	0	0	0	0	0	0	0	бурштиновий
ambient	0	0	0	0	0	0	0	0	0	0	навколишній
ambiguity	0	0	0	0	0	0	0	0	0	0	двозначність
ambiguous	0	0	0	0	0	1	0	0	0	0	неоднозначний
ambit	0	0	0	0	0	0	0	0	0	0	амбіт
ambition	0	1	0	0	1	0	1	0	0	1	честолюбство
ambitious	0	0	0	0	0	0	0	0	0	0	амбітний
ambulance	0	0	0	1	0	0	0	0	0	1	швидка допомога
ambush	1	0	0	1	0	1	0	0	1	0	засідка
ameliorate	0	0	0	0	0	0	1	0	0	0	поліпшити
amen	0	0	0	0	1	0	1	0	0	1	амінь
amenable	0	0	0	0	0	0	1	0	0	0	піддається
amend	0	0	0	0	0	0	1	0	0	0	змінити
amendment	0	0	0	0	0	0	0	0	0	0	поправка
amends	0	0	0	0	0	0	1	0	0	0	вносить поправки
amenity	0	0	0	0	0	0	1	0	0	0	зручності
amethyst	0	0	0	0	0	0	0	0	0	0	аметистовий
amiable	0	0	0	0	0	0	1	0	0	0	привітний
amicable	0	0	0	0	1	0	1	0	0	0	дружній
amid	0	0	0	0	0	0	0	0	0	0	посеред
amidst	0	0	0	0	0	0	0	0	0	0	посеред
ammonia	0	0	1	0	0	0	0	0	0	0	аміак
ammunition	0	0	0	0	0	0	0	0	0	0	боєприпаси
amnesia	0	0	0	0	0	1	0	0	0	0	амнезія
amnesty	0	0	0	0	1	0	1	0	0	0	амністія
amorphous	0	0	0	0	0	0	0	0	0	0	аморфний
amortization	0	0	0	0	0	0	0	0	0	1	амортизація
amount	0	0	0	0	0	0	0	0	0	0	сума
amour	0	1	0	0	1	0	1	0	0	1	любов
ampersand	0	0	0	0	0	0	0	0	0	0	амперсанд
amphetamines	0	0	1	0	0	1	0	0	0	0	амфетаміни
amphibian	0	0	0	0	0	0	0	0	0	0	амфібія
amphibious	0	0	0	0	0	0	0	0	0	0	амфібія
amphitheater	0	0	0	0	0	0	0	0	0	0	амфітеатр
amplification	0	0	0	0	0	0	0	0	0	0	посилення
amplify	0	0	0	0	0	0	0	0	0	0	посилювати
amplitude	0	0	0	0	0	0	0	0	0	0	амплітуда
amply	0	0	0	0	0	0	0	0	0	0	достатньо
amputation	0	0	0	0	0	0	0	0	0	0	ампутація
amulet	0	0	0	0	0	0	0	0	0	0	амулет
amuse	0	0	0	0	1	0	1	0	0	0	розважати
amused	0	0	0	0	1	0	1	0	0	0	потішив
