English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Uzbek Word
abundance	0	1	1	0	1	1	1	0	0	1	mo'l-ko'llik
abundant	0	0	0	0	1	0	1	0	0	0	mo'l
abuse	1	0	1	1	0	1	0	1	0	0	suiiste'mol qilish
abutment	0	0	0	0	0	0	0	0	0	0	tayanch
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	tubsiz
abyss	0	0	0	1	0	1	0	1	0	0	tubsizlik
academic	0	0	0	0	0	0	1	0	0	1	akademik
academy	0	0	0	0	0	0	1	0	0	0	akademiyasi
accede	0	0	0	0	0	0	0	0	0	0	qo'shilish
accelerate	0	1	0	0	0	0	0	0	0	0	tezlashtirmoq
acceleration	0	0	0	0	0	0	0	0	0	0	tezlashuv
accent	0	0	0	0	0	0	0	0	0	0	urg'u
accentuate	0	0	0	0	0	0	0	0	0	0	urg'u berish
accept	0	0	0	0	0	0	0	0	0	0	qabul qilish
acceptable	0	0	0	0	0	0	1	0	0	0	qabul qilinadi
acceptance	0	0	0	0	0	0	1	0	0	0	qabul qilish
access	0	0	0	0	0	0	0	0	0	0	kirish
accessible	0	0	0	0	0	0	1	0	0	0	foydalanish mumkin
accession	0	0	0	0	0	0	0	0	0	0	qo'shilish
accessory	0	0	0	0	0	0	0	0	0	0	aksessuar
accident	0	0	0	1	0	1	0	1	1	0	baxtsiz hodisa
accidental	0	0	0	1	0	1	0	0	1	0	tasodifiy
accidentally	0	0	0	0	0	0	0	0	1	0	tasodifan
accolade	0	1	0	0	1	0	1	0	1	1	maqtov
accommodate	0	0	0	0	0	0	0	0	0	0	joylashtirmoq
accommodation	0	0	0	0	0	0	1	0	0	0	turar joy
accompaniment	0	1	0	0	1	0	1	0	0	1	hamrohlik
accompany	0	0	0	0	0	0	0	0	0	0	hamrohlik qilish
accompanying	0	0	0	0	0	0	0	0	0	0	hamroh
accomplice	0	0	0	0	0	0	0	0	0	0	sherik
accomplish	0	0	0	0	1	0	1	0	0	0	bajarish
accomplished	0	0	0	0	1	0	1	0	0	0	bajarilgan
accomplishment	0	0	0	0	0	0	1	0	0	0	muvaffaqiyat
accord	0	0	0	0	0	0	1	0	0	1	kelishuv
accordance	0	0	0	0	0	0	0	0	0	0	muvofiq
accordion	0	0	0	0	0	0	0	0	0	0	akkordeon
account	0	0	0	0	0	0	0	0	0	1	hisob
accountability	0	0	0	0	0	0	1	0	0	1	javobgarlik
accountable	0	0	0	0	0	0	1	0	0	1	javobgar
accountant	0	0	0	0	0	0	0	0	0	1	hisobchi
accounting	0	0	0	0	0	0	0	0	0	0	buxgalteriya hisobi
accounts	0	0	0	0	0	0	0	0	0	1	hisoblar
accredited	0	0	0	0	0	0	1	0	0	1	akkreditatsiya qilingan
accretion	0	0	0	0	0	0	0	0	0	0	to'planish
accrue	0	0	0	0	0	0	0	0	0	0	yig'iladi
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	to'plash
accumulation	0	0	0	0	0	0	0	0	0	0	to'planishi
accuracy	0	0	0	0	0	0	0	0	0	0	aniqlik
accurate	0	0	0	0	0	0	1	0	0	1	aniq
accursed	1	0	0	1	0	1	0	1	0	0	la'nati
accusation	1	0	1	0	0	1	0	0	0	0	ayblov
accusative	0	0	0	0	0	1	0	0	0	0	ayblovchi
accused	1	0	0	1	0	1	0	0	0	0	ayblanuvchi
accuser	1	0	0	1	0	1	0	0	0	0	ayblovchi
accusing	1	0	0	1	0	1	0	0	0	0	ayblash
accustomed	0	0	0	0	0	0	0	0	0	0	odatlangan
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	sirka
ache	0	0	0	0	0	1	0	1	0	0	og'riq
achieve	0	0	0	0	1	0	1	0	0	1	erishish
achievement	0	1	0	0	1	0	1	0	0	1	muvaffaqiyat
aching	0	0	0	0	0	1	0	1	0	0	og'riyapti
acid	0	0	0	0	0	1	0	0	0	0	kislota
acidity	0	0	0	0	0	0	0	0	0	0	kislotalilik
acknowledge	0	0	0	0	0	0	0	0	0	0	tan olmoq
acknowledged	0	0	0	0	0	0	0	0	0	0	tan olingan
acknowledgment	0	0	0	0	0	0	1	0	0	0	tan olish
acme	0	0	0	0	0	0	0	0	0	0	akme
acoustic	0	0	0	0	0	0	0	0	0	0	akustik
acoustics	0	0	0	0	0	0	0	0	0	0	akustika
acquaint	0	0	0	0	0	0	0	0	0	0	tanishish
acquaintance	0	0	0	0	0	0	0	0	0	0	tanishlik
acquainted	0	0	0	0	0	0	0	0	0	0	tanishgan
acquiescence	0	0	0	0	0	0	0	0	0	0	rozilik
acquire	0	0	0	0	0	0	1	0	0	0	egallash
acquiring	0	1	0	0	0	0	1	0	0	0	egallash
acquisition	0	0	0	0	0	0	0	0	0	0	sotib olish
acquisitions	0	0	0	0	0	0	0	0	0	0	sotib olishlar
acreage	0	0	0	0	0	0	0	0	0	0	yer maydoni
acres	0	0	0	0	0	0	0	0	0	0	gektar
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	harakat
acting	0	0	0	0	0	0	0	0	0	0	aktyorlik
action	0	0	0	0	0	0	1	0	0	0	harakat
actionable	1	0	1	0	0	1	0	0	0	0	harakatga yaroqli
active	0	0	0	0	0	0	0	0	0	0	faol
activity	0	0	0	0	0	0	0	0	0	0	faoliyat
actor	0	0	0	0	0	0	0	0	0	0	aktyor
actual	0	0	0	0	0	0	1	0	0	0	haqiqiy
actuality	0	0	0	0	0	0	0	0	0	0	haqiqat
actuary	0	0	0	0	0	0	0	0	0	0	aktuariy
acuity	0	0	0	0	0	0	1	0	0	0	keskinlik
acumen	0	0	0	0	0	0	1	0	0	0	ziyraklik
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktur
acutely	0	0	0	0	0	0	0	0	0	0	keskin
adage	0	0	0	0	0	0	0	0	0	0	maqol
adamant	0	0	0	0	0	0	0	0	0	0	qat'iy
adapt	0	0	0	0	0	0	1	0	0	0	moslashish
adaptable	0	0	0	0	0	0	1	0	0	0	moslashuvchan
add	0	0	0	0	0	0	0	0	0	0	qo'shish
added	0	0	0	0	0	0	0	0	0	0	qo'shildi
addendum	0	0	0	0	0	0	0	0	0	0	qo'shimcha
adder	1	0	1	1	0	1	0	1	0	0	qo'shuvchi
addiction	0	0	0	0	0	1	0	0	0	0	giyohvandlik
addition	0	0	0	0	0	0	0	0	0	0	qo'shimcha
additional	0	0	0	0	0	0	0	0	0	0	qo'shimcha
additive	0	0	0	0	0	0	0	0	0	0	qo'shimcha
address	0	0	0	0	0	0	0	0	0	0	manzil
addressee	0	0	0	0	0	0	0	0	0	0	qabul qiluvchi
addresses	0	1	0	0	0	0	1	0	0	0	manzillar
adept	0	0	0	0	0	0	1	0	0	0	mohir
adequacy	0	0	0	0	0	0	1	0	0	0	adekvatlik
adequate	0	0	0	0	0	0	0	0	0	0	adekvat
adhere	0	0	0	0	0	0	0	0	0	0	rioya qilish
adherence	0	0	0	0	0	0	0	0	0	0	rioya qilish
adherent	0	0	0	0	0	0	0	0	0	0	amal qiluvchi
adhering	0	0	0	0	0	0	0	0	0	1	amal qilish
adhesion	0	0	0	0	0	0	0	0	0	0	yopishqoqlik
adhesive	0	0	0	0	0	0	0	0	0	0	yopishtiruvchi
adieu	0	0	0	0	0	0	0	0	0	0	xayr
adipose	0	0	0	0	0	1	0	0	0	0	yog'li
adjacency	0	0	0	0	0	0	0	0	0	0	qo'shnilik
adjacent	0	0	0	0	0	0	0	0	0	0	qo'shni
adjective	0	0	0	0	0	0	0	0	0	0	sifatdosh
adjoining	0	0	0	0	0	0	0	0	0	0	qo'shni
adjourn	0	0	0	0	0	0	0	0	0	0	tanaffus qilish
adjournment	0	0	0	0	0	0	0	0	0	0	tanaffus
adjudicate	0	0	0	1	0	1	0	0	0	0	hukm qilmoq
adjudication	0	0	0	0	0	0	0	0	0	0	hukm chiqarish
adjunct	0	0	0	0	0	0	1	0	0	0	yordamchi
adjust	0	0	0	0	0	0	0	0	0	0	sozlash
adjustment	0	0	0	0	0	0	0	0	0	0	moslashish
adjuvant	0	0	0	0	0	0	0	0	0	0	yordamchi
administer	0	0	0	0	0	0	0	0	0	0	boshqarmoq
administration	0	0	0	0	0	0	0	0	0	0	boshqaruv
administrative	0	0	0	0	0	0	0	0	0	1	ma'muriy
admirable	0	0	0	0	1	0	1	0	0	1	tahsinga sazovor
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	admirallik
admiration	0	0	0	0	1	0	1	0	0	1	hayrat
admire	0	0	0	0	0	0	1	0	0	1	qoyil qolish
admirer	0	0	0	0	0	0	1	0	0	0	muxlis
admissibility	0	0	0	0	0	0	0	0	0	0	qabul qilinishi
admissible	0	0	0	0	0	0	1	0	0	1	joizdir
admission	0	0	0	0	0	0	0	0	0	0	qabul qilish
admit	0	0	0	0	0	0	0	0	0	0	tan olish
admittance	0	0	0	0	0	0	0	0	0	0	kirish
admitted	0	0	0	0	0	0	0	0	0	0	tan olingan
admitting	0	0	0	0	0	0	0	0	0	0	tan olish
admixture	0	0	0	0	0	0	0	0	0	0	aralashma
admonition	0	0	0	1	0	1	0	0	0	0	nasihat
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	Yoshlik
adolescent	0	0	0	0	0	0	0	0	0	0	o'smir
adopt	0	0	0	0	0	0	0	0	0	0	qabul qilish
adoption	0	0	0	0	0	0	0	0	0	0	asrab olish
adorable	0	0	0	0	1	0	1	0	0	0	yoqimli
adoration	0	0	0	0	1	0	1	0	0	1	sajda qilish
adore	0	1	0	0	1	0	1	0	0	1	sevaman
adorn	0	0	0	0	0	0	0	0	0	0	bezash
adornment	0	0	0	0	0	0	0	0	0	0	bezak
adrift	0	1	0	1	0	1	0	1	0	0	suzmoq
adult	0	0	0	0	0	0	0	0	0	0	kattalar
adulterated	0	0	0	0	0	1	0	0	0	0	soxtalashtirilgan
adultery	0	0	1	0	0	1	0	1	0	0	zino
advance	0	1	0	1	1	0	1	0	1	0	avans
advanced	0	0	0	0	0	0	1	0	0	0	rivojlangan
advancement	0	0	0	0	0	0	1	0	0	0	taraqqiyot
advancing	0	0	0	0	0	0	0	0	0	0	oldinga siljish
advantage	0	0	0	0	0	0	1	0	0	0	afzallik
advantageous	0	0	0	0	0	0	1	0	0	0	foydali
advent	0	1	0	0	1	0	1	0	0	1	kelishi
adventure	0	1	0	0	0	0	1	0	0	0	sarguzasht
adventurer	0	0	0	0	0	0	0	0	0	0	sarguzashtchi
adventurous	0	0	0	0	0	0	1	0	0	0	sarguzashtli
adversary	1	0	0	0	0	1	0	0	0	0	raqib
adverse	1	0	1	1	0	1	0	1	0	0	salbiy
adversity	1	0	0	1	0	1	0	1	0	0	musibat
advertise	0	0	0	0	0	0	0	0	0	0	reklama qilish
advertisement	0	0	0	0	0	0	0	0	0	0	reklama
advice	0	0	0	0	0	0	0	0	0	1	maslahat
advisable	0	0	0	0	0	0	1	0	0	1	tavsiya etiladi
advise	0	0	0	0	0	0	1	0	0	1	maslahat bering
advised	0	0	0	0	0	0	0	0	0	1	maslahat berdi
advisement	0	0	0	0	0	0	0	0	0	0	maslahat
adviser	0	0	0	0	0	0	1	0	0	1	maslahatchi
advocacy	1	1	0	0	1	0	1	0	0	1	himoya qilish
advocate	0	0	0	0	0	0	0	0	0	1	himoyachi
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	shamollatish
aerial	0	0	0	0	0	0	0	0	0	0	havo
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrom
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamika
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronavtika
aeroplane	0	0	0	0	0	0	0	0	0	0	samolyot
aesthetic	0	0	0	0	0	0	1	0	0	0	estetik
aesthetics	0	0	0	0	1	0	1	0	0	0	estetika
aetiology	0	0	0	0	0	0	0	0	0	0	etiologiya
afar	0	0	0	0	0	0	0	0	0	0	uzoqdan
affable	0	0	0	0	0	0	1	0	0	0	mehribon
affair	0	0	0	0	0	0	0	0	0	0	ish
affecting	0	0	0	0	0	0	0	0	0	0	ta'sir
affection	0	0	0	0	1	0	1	0	0	1	mehr
affections	0	0	0	0	0	0	0	0	0	0	mehr-muhabbat
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	tasdiqnoma
affiliated	0	0	0	0	0	0	1	0	0	0	bog'langan
affiliation	0	0	0	0	0	0	0	0	0	0	mansublik
affinity	0	0	0	0	0	0	0	0	0	0	qarindoshlik
affirm	0	0	0	0	0	0	1	0	0	1	tasdiqlamoq
affirmation	0	0	0	0	0	0	1	0	0	0	tasdiqlash
affirmative	0	0	0	0	0	0	1	0	0	0	tasdiqlovchi
affirmatively	0	0	0	0	0	0	1	0	0	1	tasdiqlovchi
affix	0	0	0	0	0	0	0	0	0	0	affiks
afflict	0	0	0	1	0	1	0	1	0	0	qiynamoq
afflicted	0	0	0	0	0	1	0	0	0	0	qiynalgan
affliction	0	0	1	1	0	1	0	1	0	0	musibat
affluence	0	0	0	0	1	0	1	0	0	0	farovonlik
affluent	0	0	0	0	0	0	1	0	0	0	badavlat
afford	0	0	0	0	0	0	1	0	0	0	imkoniyatiga ega
affront	1	0	1	1	0	1	0	1	1	0	haqorat qilish
afield	0	0	0	0	0	0	0	0	0	0	uzoqda
afore	0	0	0	0	0	0	0	0	0	0	oldin
aforementioned	0	0	0	0	0	0	0	0	0	0	yuqorida aytib o'tilgan
aforesaid	0	0	0	0	0	0	0	0	0	0	yuqorida aytilgan
afraid	0	0	0	1	0	1	0	0	0	0	qo'rqib
afresh	0	0	0	0	0	0	0	0	0	0	yana
aft	0	0	0	0	0	0	0	0	0	0	orqa
aftermath	1	0	1	1	0	1	0	1	0	0	keyin
afternoon	0	0	0	0	0	0	0	0	0	0	tushdan keyin
aftertaste	0	0	0	0	0	1	0	0	0	0	ta'midan keyin
afterthought	0	0	0	0	0	0	0	0	0	0	keyin o'ylash
aga	0	0	0	1	0	0	1	0	0	1	og'a
agate	0	0	0	0	0	0	0	0	0	0	agat
age	0	0	0	0	0	0	0	0	0	0	yoshi
aged	0	0	0	0	0	0	0	0	0	0	yoshi
agency	0	0	0	0	0	0	0	0	0	0	agentlik
agent	0	0	0	0	0	0	0	0	0	0	agent
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomeratsiya
aggravated	1	0	0	0	0	1	0	0	0	0	og'irlashgan
aggravating	1	0	0	0	0	1	0	1	0	0	og'irlashtiruvchi
aggravation	1	0	1	0	0	1	0	0	0	0	kuchayishi
aggregate	0	0	0	0	0	0	0	0	0	0	agregat
aggregation	0	0	0	0	0	0	0	0	0	0	yig'ish
aggression	1	0	0	1	0	1	0	0	0	0	tajovuz
aggressive	1	0	0	1	0	1	0	0	0	0	tajovuzkor
aggressor	1	0	0	1	0	1	0	0	0	0	tajovuzkor
aghast	0	0	1	1	0	1	0	0	1	0	vahima
agile	0	0	0	0	0	0	1	0	0	0	epchil
agility	0	0	0	0	0	0	1	0	0	0	chaqqonlik
agitated	1	0	0	0	0	1	0	0	0	0	hayajonlangan
agitation	1	0	0	0	0	1	0	0	0	0	qo'zg'alish
agnostic	0	0	0	0	0	0	0	0	0	0	agnostik
ago	0	0	0	0	0	0	0	0	0	0	oldin
agonizing	0	0	0	1	0	1	0	0	0	0	azobli
agony	1	0	0	1	0	1	0	1	0	0	azob
agree	0	0	0	0	0	0	1	0	0	0	rozi
agreeable	0	0	0	0	0	0	1	0	0	1	rozi
agreed	0	0	0	0	0	0	1	0	0	1	kelishilgan
agreeing	0	0	0	0	0	0	1	0	0	1	rozi bo'lish
agreement	0	0	0	0	0	0	1	0	0	1	kelishuv
agricultural	0	0	0	0	0	0	0	0	0	0	qishloq xo'jaligi
agriculture	0	0	0	0	0	0	1	0	0	0	qishloq xo'jaligi
aground	0	0	0	0	0	1	0	0	0	0	quruqlikda
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	oldinda
aid	0	0	0	0	0	0	1	0	0	0	yordam
aiding	0	0	0	0	0	0	1	0	0	0	yordam berish
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	kasal
ailment	0	0	0	0	0	0	0	0	0	0	kasallik
aim	0	0	0	0	0	0	0	0	0	0	maqsad
aimless	0	0	0	0	0	1	0	0	0	0	maqsadsiz
air	0	0	0	0	0	0	0	0	0	0	havo
airbag	0	0	0	0	0	0	0	0	0	0	havo yostig'i
airlift	0	0	0	0	0	0	0	0	0	0	havo ko'tarish
airline	0	0	0	0	0	0	0	0	0	0	aviakompaniya
airman	0	0	0	0	0	0	0	0	0	0	havochi
airplane	0	0	0	0	0	0	0	0	0	0	samolyot
airport	0	1	0	0	0	0	0	0	0	0	aeroport
airs	0	0	1	0	0	1	0	0	0	0	havo beradi
airship	0	0	0	0	0	0	0	0	0	0	havo kemasi
aisle	0	0	0	0	0	0	0	0	0	0	qator
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ochiq
akin	0	0	0	0	0	0	0	0	0	1	qarindosh
alabaster	0	0	0	0	0	0	1	0	0	0	alebastr
alarm	0	0	0	1	0	1	0	0	1	0	signal
alarming	0	0	0	1	0	1	0	0	1	0	xavotirli
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	albom
alchemy	0	0	0	0	0	0	0	0	0	0	alkimyo
alcohol	0	0	0	0	0	0	0	0	0	0	spirtli ichimliklar
alcoholism	1	0	1	1	0	1	0	1	0	0	alkogolizm
alcove	0	0	0	0	0	0	0	0	0	0	bo'shliq
alert	0	0	0	0	0	0	0	0	0	0	ogohlantirish
alertness	0	1	0	1	0	0	1	0	1	0	hushyorlik
alerts	0	1	0	1	0	0	0	0	1	0	ogohlantirishlar
alfalfa	0	0	0	0	0	0	0	0	0	0	beda
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraik
algorithm	0	0	0	0	0	0	0	0	0	0	algoritm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	begona
alienate	1	0	1	0	0	1	0	0	0	0	begonalashtirish
alienated	0	0	0	0	0	1	0	1	0	0	begonalashgan
alienation	1	0	1	1	0	1	0	1	0	0	begonalashish
alight	0	0	0	0	0	0	0	0	0	0	yonmoq
aligned	0	0	0	0	0	0	0	0	0	0	tekislangan
alignment	0	0	0	0	0	0	0	0	0	0	tekislash
alike	0	0	0	0	0	0	0	0	0	0	o'xshash
alimentation	0	0	0	0	0	0	1	0	0	0	oziqlantirish
alimony	0	0	0	0	0	1	0	0	0	0	aliment
aliquot	0	0	0	0	0	0	0	0	0	0	alikot
alive	0	1	0	0	1	0	1	0	0	1	tirik
alkali	0	0	0	0	0	0	0	0	0	0	gidroksidi
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloidlar
allay	0	0	0	0	0	0	1	0	0	0	tinchlantirish
allegation	1	0	0	0	0	1	0	0	0	0	da'vo
allege	0	0	0	0	0	1	0	0	0	0	da'vo qilish
alleged	0	0	0	0	0	0	0	0	0	0	da'vo qilingan
allegiance	0	0	0	0	0	0	1	0	0	1	sadoqat
allegorical	0	0	0	0	0	0	0	0	0	0	allegorik
allegory	0	0	0	0	0	0	0	0	0	0	allegoriya
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	yengillatmoq
alleviation	0	0	0	0	0	0	1	0	0	0	yengillashtirish
alley	0	0	0	0	0	0	0	0	0	0	xiyobon
alliance	0	0	0	0	0	0	0	0	0	1	ittifoq
allied	0	0	0	0	0	0	1	0	0	1	ittifoqdosh
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	ajratish
allocation	0	0	0	0	0	0	0	0	0	0	ajratish
allot	0	0	0	0	0	0	0	0	0	0	ajratmoq
allotment	0	0	0	0	0	0	0	0	0	0	ajratish
allowable	0	0	0	0	0	0	1	0	0	0	ruxsat etilgan
allowance	0	0	0	0	0	0	0	0	0	0	nafaqa
allowed	0	0	0	0	0	0	0	0	0	0	ruxsat berilgan
alloy	0	0	0	0	0	0	0	0	0	0	qotishma
allure	0	1	0	0	1	0	1	0	1	0	jozibali
alluring	0	0	0	0	0	0	1	0	0	0	jozibali
allusion	0	0	0	0	0	0	0	0	0	0	ishora
alluvial	0	0	0	0	0	0	0	0	0	0	allyuvial
ally	0	0	0	0	0	0	1	0	0	1	ittifoqdosh
almanac	0	0	0	0	0	0	0	0	0	0	almanax
almighty	0	0	0	0	0	0	1	0	0	0	qudratli
aloft	0	0	0	0	0	0	0	0	0	0	yuqorida
aloha	0	1	0	0	1	0	1	0	0	0	assalomu alaykum
alongside	0	0	0	0	0	0	0	0	0	0	yonida
aloof	0	0	0	0	0	1	0	0	0	0	uzoqda
aloud	0	0	0	0	0	0	0	0	0	0	baland ovozda
alphabet	0	0	0	0	0	0	0	0	0	0	alifbo
alphabetical	0	0	0	0	0	0	0	0	0	0	alifbo tartibida
altar	0	0	0	0	0	0	0	0	0	0	qurbongoh
alter	0	0	0	0	0	0	0	0	0	0	o'zgartirish
alteration	0	0	0	0	0	0	0	0	0	0	o'zgartirish
altercation	1	0	0	0	0	1	0	0	0	0	janjal
altered	0	0	0	0	0	0	0	0	0	0	o'zgartirilgan
alternate	0	0	0	0	0	0	0	0	0	0	muqobil
alternative	0	0	0	0	0	0	0	0	0	0	muqobil
altitude	0	0	0	0	0	0	0	0	0	0	balandlik
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	birgalikda
alumnus	0	0	0	0	0	0	0	0	0	0	bitiruvchisi
alveolar	0	0	0	0	0	0	0	0	0	0	alveolyar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	birikma
amass	0	0	0	0	0	0	0	0	0	0	to'plash
amateur	0	0	0	0	0	0	0	0	0	0	havaskor
amaze	0	0	0	0	0	0	0	0	1	0	hayratga solmoq
amazement	0	0	0	0	0	0	0	0	0	0	hayrat
amazingly	0	0	0	0	1	0	1	0	1	0	hayratlanarli darajada
ambassador	0	0	0	0	0	0	1	0	0	1	elchi
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	muhit
ambiguity	0	0	0	0	0	0	0	0	0	0	noaniqlik
ambiguous	0	0	0	0	0	1	0	0	0	0	noaniq
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	ambitsiya
ambitious	0	0	0	0	0	0	0	0	0	0	ambitsiyali
ambulance	0	0	0	1	0	0	0	0	0	1	tez yordam mashinasi
ambush	1	0	0	1	0	1	0	0	1	0	pistirma
ameliorate	0	0	0	0	0	0	1	0	0	0	yaxshilash
amen	0	0	0	0	1	0	1	0	0	1	omin
amenable	0	0	0	0	0	0	1	0	0	0	mos keladigan
amend	0	0	0	0	0	0	1	0	0	0	tuzatish
amendment	0	0	0	0	0	0	0	0	0	0	tuzatish
amends	0	0	0	0	0	0	1	0	0	0	tuzatadi
amenity	0	0	0	0	0	0	1	0	0	0	qulaylik
amethyst	0	0	0	0	0	0	0	0	0	0	ametist
amiable	0	0	0	0	0	0	1	0	0	0	mehribon
amicable	0	0	0	0	1	0	1	0	0	0	do'stona
amid	0	0	0	0	0	0	0	0	0	0	orasida
amidst	0	0	0	0	0	0	0	0	0	0	orasida
