English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Somali Word
accomplished	0	0	0	0	1	0	1	0	0	0	dhammaatay
accomplishment	0	0	0	0	0	0	1	0	0	0	wax qabad
accord	0	0	0	0	0	0	1	0	0	1	heshiis
accordance	0	0	0	0	0	0	0	0	0	0	waafaqsan
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	xisaabta
accountability	0	0	0	0	0	0	1	0	0	1	la xisaabtanka
accountable	0	0	0	0	0	0	1	0	0	1	lala xisaabtami karo
accountant	0	0	0	0	0	0	0	0	0	1	xisaabiye
accounting	0	0	0	0	0	0	0	0	0	0	xisaabaadka
accounts	0	0	0	0	0	0	0	0	0	1	xisaabaadka
accredited	0	0	0	0	0	0	1	0	0	1	la aqoonsan yahay
accretion	0	0	0	0	0	0	0	0	0	0	firfircoonitaan
accrue	0	0	0	0	0	0	0	0	0	0	ururin
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	ururin
accumulation	0	0	0	0	0	0	0	0	0	0	urursi
accuracy	0	0	0	0	0	0	0	0	0	0	saxnaanta
accurate	0	0	0	0	0	0	1	0	0	1	sax ah
accursed	1	0	0	1	0	1	0	1	0	0	habaaran
accusation	1	0	1	0	0	1	0	0	0	0	eedayn
accusative	0	0	0	0	0	1	0	0	0	0	eedayn
accused	1	0	0	1	0	1	0	0	0	0	eedaysane
accuser	1	0	0	1	0	1	0	0	0	0	eedaysane
accusing	1	0	0	1	0	1	0	0	0	0	eedayn
accustomed	0	0	0	0	0	0	0	0	0	0	caadaystay
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	xanuun
achieve	0	0	0	0	1	0	1	0	0	1	gaadhaan
achievement	0	1	0	0	1	0	1	0	0	1	guul
aching	0	0	0	0	0	1	0	1	0	0	xanuunayso
acid	0	0	0	0	0	1	0	0	0	0	aashito
acidity	0	0	0	0	0	0	0	0	0	0	acidity
acknowledge	0	0	0	0	0	0	0	0	0	0	garowsan
acknowledged	0	0	0	0	0	0	0	0	0	0	qiray
acknowledgment	0	0	0	0	0	0	1	0	0	0	qirasho
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	acoustic
acoustics	0	0	0	0	0	0	0	0	0	0	acoustics
acquaint	0	0	0	0	0	0	0	0	0	0	yaqaan
acquaintance	0	0	0	0	0	0	0	0	0	0	isbarashada
acquainted	0	0	0	0	0	0	0	0	0	0	la bartay
acquiescence	0	0	0	0	0	0	0	0	0	0	ogolaansho
acquire	0	0	0	0	0	0	1	0	0	0	helid
acquiring	0	1	0	0	0	0	1	0	0	0	helid
acquisition	0	0	0	0	0	0	0	0	0	0	helid
acquisitions	0	0	0	0	0	0	0	0	0	0	iibsasho
acreage	0	0	0	0	0	0	0	0	0	0	dhul beereed
acres	0	0	0	0	0	0	0	0	0	0	acres
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	fal
acting	0	0	0	0	0	0	0	0	0	0	jilitaanka
action	0	0	0	0	0	0	1	0	0	0	ficil
actionable	1	0	1	0	0	1	0	0	0	0	waxqabad leh
active	0	0	0	0	0	0	0	0	0	0	firfircoon
activity	0	0	0	0	0	0	0	0	0	0	hawlqabad
actor	0	0	0	0	0	0	0	0	0	0	jilaa
actual	0	0	0	0	0	0	1	0	0	0	dhabta ah
actuality	0	0	0	0	0	0	0	0	0	0	xaqiiqada
actuary	0	0	0	0	0	0	0	0	0	0	firfircooni
acuity	0	0	0	0	0	0	1	0	0	0	miyir beelid
acumen	0	0	0	0	0	0	1	0	0	0	caqli leh
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuncture
acutely	0	0	0	0	0	0	0	0	0	0	si ba'an
adage	0	0	0	0	0	0	0	0	0	0	adage
adamant	0	0	0	0	0	0	0	0	0	0	adag
adapt	0	0	0	0	0	0	1	0	0	0	la qabsi
adaptable	0	0	0	0	0	0	1	0	0	0	la qabsan karo
add	0	0	0	0	0	0	0	0	0	0	ku darso
added	0	0	0	0	0	0	0	0	0	0	ayaa lagu daray
addendum	0	0	0	0	0	0	0	0	0	0	dheeraad ah
adder	1	0	1	1	0	1	0	1	0	0	dardaaranka
addiction	0	0	0	0	0	1	0	0	0	0	balwad
addition	0	0	0	0	0	0	0	0	0	0	ku darso
additional	0	0	0	0	0	0	0	0	0	0	dheeraad ah
additive	0	0	0	0	0	0	0	0	0	0	wax lagu daro
address	0	0	0	0	0	0	0	0	0	0	ciwaanka
addressee	0	0	0	0	0	0	0	0	0	0	addressee
addresses	0	1	0	0	0	0	1	0	0	0	ciwaanada
adept	0	0	0	0	0	0	1	0	0	0	aqoon leh
adequacy	0	0	0	0	0	0	1	0	0	0	ku filan
adequate	0	0	0	0	0	0	0	0	0	0	ku filan
adhere	0	0	0	0	0	0	0	0	0	0	ku dheggan
adherence	0	0	0	0	0	0	0	0	0	0	u hoggaansanaansho
adherent	0	0	0	0	0	0	0	0	0	0	ku dheggan
adhering	0	0	0	0	0	0	0	0	0	1	ku dheggan
adhesion	0	0	0	0	0	0	0	0	0	0	adhesion
adhesive	0	0	0	0	0	0	0	0	0	0	koolo
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	caloolxumo
adjacency	0	0	0	0	0	0	0	0	0	0	agdhow
adjacent	0	0	0	0	0	0	0	0	0	0	ku xiga
adjective	0	0	0	0	0	0	0	0	0	0	sife
adjoining	0	0	0	0	0	0	0	0	0	0	isku xidhan
adjourn	0	0	0	0	0	0	0	0	0	0	dib u dhigid
adjournment	0	0	0	0	0	0	0	0	0	0	dib u dhigista
adjudicate	0	0	0	1	0	1	0	0	0	0	garsoorid
adjudication	0	0	0	0	0	0	0	0	0	0	xukun
adjunct	0	0	0	0	0	0	1	0	0	0	isku xiran
adjust	0	0	0	0	0	0	0	0	0	0	habayn
adjustment	0	0	0	0	0	0	0	0	0	0	hagaajinta
adjuvant	0	0	0	0	0	0	0	0	0	0	kaaliye
administer	0	0	0	0	0	0	0	0	0	0	maamula
administration	0	0	0	0	0	0	0	0	0	0	maamulka
administrative	0	0	0	0	0	0	0	0	0	1	maamul
admirable	0	0	0	0	1	0	1	0	0	1	la yaab leh
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	admiralty
admiration	0	0	0	0	1	0	1	0	0	1	majeerteen
admire	0	0	0	0	0	0	1	0	0	1	u bogo
admirer	0	0	0	0	0	0	1	0	0	0	majeerteen
admissibility	0	0	0	0	0	0	0	0	0	0	ogolaansho
admissible	0	0	0	0	0	0	1	0	0	1	la aqbali karo
admission	0	0	0	0	0	0	0	0	0	0	gelitaanka
admit	0	0	0	0	0	0	0	0	0	0	qirto
admittance	0	0	0	0	0	0	0	0	0	0	ogolaansho
admitted	0	0	0	0	0	0	0	0	0	0	qirtay
admitting	0	0	0	0	0	0	0	0	0	0	qirashada
admixture	0	0	0	0	0	0	0	0	0	0	isku darka
admonition	0	0	0	1	0	1	0	0	0	0	waano
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	qaan-gaarnimada
adolescent	0	0	0	0	0	0	0	0	0	0	dhalinyaranimo
adopt	0	0	0	0	0	0	0	0	0	0	korsado
adoption	0	0	0	0	0	0	0	0	0	0	korsasho
adorable	0	0	0	0	1	0	1	0	0	0	qurux badan
adoration	0	0	0	0	1	0	1	0	0	1	caabudid
adore	0	1	0	0	1	0	1	0	0	1	jecel
adorn	0	0	0	0	0	0	0	0	0	0	qurxin
adornment	0	0	0	0	0	0	0	0	0	0	qurxin
adrift	0	1	0	1	0	1	0	1	0	0	dulmarin
adult	0	0	0	0	0	0	0	0	0	0	qaangaar
adulterated	0	0	0	0	0	1	0	0	0	0	sinaystay
adultery	0	0	1	0	0	1	0	1	0	0	sino
advance	0	1	0	1	1	0	1	0	1	0	hore u mari
advanced	0	0	0	0	0	0	1	0	0	0	horumaray
advancement	0	0	0	0	0	0	1	0	0	0	horumarinta
advancing	0	0	0	0	0	0	0	0	0	0	horu marinta
advantage	0	0	0	0	0	0	1	0	0	0	faa'iido
advantageous	0	0	0	0	0	0	1	0	0	0	faa'iido leh
advent	0	1	0	0	1	0	1	0	0	1	iman
adventure	0	1	0	0	0	0	1	0	0	0	tacabur
adventurer	0	0	0	0	0	0	0	0	0	0	tacaburiye
adventurous	0	0	0	0	0	0	1	0	0	0	adventurous
adversary	1	0	0	0	0	1	0	0	0	0	cadaw
adverse	1	0	1	1	0	1	0	1	0	0	xumaan
adversity	1	0	0	1	0	1	0	1	0	0	dhib
advertise	0	0	0	0	0	0	0	0	0	0	xayaysiis
advertisement	0	0	0	0	0	0	0	0	0	0	xayaysiis
advice	0	0	0	0	0	0	0	0	0	1	talo
advisable	0	0	0	0	0	0	1	0	0	1	lagu talinayo
advise	0	0	0	0	0	0	1	0	0	1	talin
advised	0	0	0	0	0	0	0	0	0	1	waaniyay
advisement	0	0	0	0	0	0	0	0	0	0	waano
adviser	0	0	0	0	0	0	1	0	0	1	lataliye
advocacy	1	1	0	0	1	0	1	0	0	1	u doodid
advocate	0	0	0	0	0	0	0	0	0	1	u doode
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	hawada hawada
aerial	0	0	0	0	0	0	0	0	0	0	anteenada
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrome
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautics
aeroplane	0	0	0	0	0	0	0	0	0	0	diyaarad
aesthetic	0	0	0	0	0	0	1	0	0	0	bilicsanaanta
aesthetics	0	0	0	0	1	0	1	0	0	0	bilicsanaanta
aetiology	0	0	0	0	0	0	0	0	0	0	aetiology
afar	0	0	0	0	0	0	0	0	0	0	fog
affable	0	0	0	0	0	0	1	0	0	0	afgarasho
affair	0	0	0	0	0	0	0	0	0	0	arrin
affecting	0	0	0	0	0	0	0	0	0	0	saameeya
affection	0	0	0	0	1	0	1	0	0	1	kalgacal
affections	0	0	0	0	0	0	0	0	0	0	kalgacaylka
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	dhaar
affiliated	0	0	0	0	0	0	1	0	0	0	ku xidhan
affiliation	0	0	0	0	0	0	0	0	0	0	ku xidhan
affinity	0	0	0	0	0	0	0	0	0	0	ehelnimo
affirm	0	0	0	0	0	0	1	0	0	1	xaqiijin
affirmation	0	0	0	0	0	0	1	0	0	0	xaqiijin
affirmative	0	0	0	0	0	0	1	0	0	0	xaqiijin
affirmatively	0	0	0	0	0	0	1	0	0	1	hubaal
affix	0	0	0	0	0	0	0	0	0	0	ku dhejin
afflict	0	0	0	1	0	1	0	1	0	0	dhibid
afflicted	0	0	0	0	0	1	0	0	0	0	dhibban
affliction	0	0	1	1	0	1	0	1	0	0	dhibid
affluence	0	0	0	0	1	0	1	0	0	0	hodantinimo
affluent	0	0	0	0	0	0	1	0	0	0	hodan ah
afford	0	0	0	0	0	0	1	0	0	0	awoodo
affront	1	0	1	1	0	1	0	1	1	0	aflagaado
afield	0	0	0	0	0	0	0	0	0	0	meel fog
afore	0	0	0	0	0	0	0	0	0	0	hore
aforementioned	0	0	0	0	0	0	0	0	0	0	kor ku xusan
aforesaid	0	0	0	0	0	0	0	0	0	0	hore u sheegay
afraid	0	0	0	1	0	1	0	0	0	0	cabsi
afresh	0	0	0	0	0	0	0	0	0	0	cusub
aft	0	0	0	0	0	0	0	0	0	0	ka dib
aftermath	1	0	1	1	0	1	0	1	0	0	ka dib
afternoon	0	0	0	0	0	0	0	0	0	0	galabnimo
aftertaste	0	0	0	0	0	1	0	0	0	0	dhadhan danbe
afterthought	0	0	0	0	0	0	0	0	0	0	fikir ka dib
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	da'da
aged	0	0	0	0	0	0	0	0	0	0	duqoobay
agency	0	0	0	0	0	0	0	0	0	0	wakaalada
agent	0	0	0	0	0	0	0	0	0	0	wakiil
agglomeration	0	0	0	0	0	0	0	0	0	0	gardarro
aggravated	1	0	0	0	0	1	0	0	0	0	ka sii daray
aggravating	1	0	0	0	0	1	0	1	0	0	ka sii daraysa
aggravation	1	0	1	0	0	1	0	0	0	0	sii xumaansho
aggregate	0	0	0	0	0	0	0	0	0	0	wadar ahaan
aggregation	0	0	0	0	0	0	0	0	0	0	isu geyn
aggression	1	0	0	1	0	1	0	0	0	0	gardaro
aggressive	1	0	0	1	0	1	0	0	0	0	gardaran
aggressor	1	0	0	1	0	1	0	0	0	0	gardaro
aghast	0	0	1	1	0	1	0	0	1	0	naxdin leh
agile	0	0	0	0	0	0	1	0	0	0	degdegsan
agility	0	0	0	0	0	0	1	0	0	0	firfircooni
agitated	1	0	0	0	0	1	0	0	0	0	kacsan
agitation	1	0	0	0	0	1	0	0	0	0	kicin
agnostic	0	0	0	0	0	0	0	0	0	0	agnostic
ago	0	0	0	0	0	0	0	0	0	0	ka hor
agonizing	0	0	0	1	0	1	0	0	0	0	murugaysan
agony	1	0	0	1	0	1	0	1	0	0	xanuun
agree	0	0	0	0	0	0	1	0	0	0	ku heshiiyaan
agreeable	0	0	0	0	0	0	1	0	0	1	la aqbali karo
agreed	0	0	0	0	0	0	1	0	0	1	lagu heshiiyey
agreeing	0	0	0	0	0	0	1	0	0	1	ku heshiin
agreement	0	0	0	0	0	0	1	0	0	1	heshiis
agricultural	0	0	0	0	0	0	0	0	0	0	beeralayda
agriculture	0	0	0	0	0	0	1	0	0	0	beeraha
aground	0	0	0	0	0	1	0	0	0	0	dhulka
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	ka hor
aid	0	0	0	0	0	0	1	0	0	0	gargaar
aiding	0	0	0	0	0	0	1	0	0	0	gargaarid
ail	0	0	0	0	0	1	0	1	0	0	xanuun
ailing	0	0	0	1	0	1	0	1	0	0	buka
ailment	0	0	0	0	0	0	0	0	0	0	jirro
aim	0	0	0	0	0	0	0	0	0	0	ujeedo
aimless	0	0	0	0	0	1	0	0	0	0	ujeeddo lahayn
air	0	0	0	0	0	0	0	0	0	0	hawo
airbag	0	0	0	0	0	0	0	0	0	0	barkinta shilka
airlift	0	0	0	0	0	0	0	0	0	0	hawo qaadid
airline	0	0	0	0	0	0	0	0	0	0	diyaarad
airman	0	0	0	0	0	0	0	0	0	0	duuliye
airplane	0	0	0	0	0	0	0	0	0	0	diyaarad
airport	0	1	0	0	0	0	0	0	0	0	garoonka diyaaradaha
airs	0	0	1	0	0	1	0	0	0	0	hawo
airship	0	0	0	0	0	0	0	0	0	0	hawo
aisle	0	0	0	0	0	0	0	0	0	0	marin
ait	0	0	0	0	0	0	0	0	0	0	waa
ajar	0	0	0	0	0	0	0	0	0	0	jar
akin	0	0	0	0	0	0	0	0	0	1	la mid ah
alabaster	0	0	0	0	0	0	1	0	0	0	alabastar
alarm	0	0	0	1	0	1	0	0	1	0	qaylo-dhaan
alarming	0	0	0	1	0	1	0	0	1	0	naxdin leh
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchemy
alcohol	0	0	0	0	0	0	0	0	0	0	khamriga
alcoholism	1	0	1	1	0	1	0	1	0	0	khamriga
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	feejigan
alertness	0	1	0	1	0	0	1	0	1	0	feejignaan
alerts	0	1	0	1	0	0	0	0	1	0	digniino
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	aljebra
algebraic	0	0	0	0	0	0	0	0	0	0	aljabra
algorithm	0	0	0	0	0	0	0	0	0	0	algorithm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	shisheeye
alienate	1	0	1	0	0	1	0	0	0	0	fogayn
alienated	0	0	0	0	0	1	0	1	0	0	fogaaday
alienation	1	0	1	1	0	1	0	1	0	0	fogaansho
alight	0	0	0	0	0	0	0	0	0	0	iftiin
aligned	0	0	0	0	0	0	0	0	0	0	toosan
alignment	0	0	0	0	0	0	0	0	0	0	toosin
alike	0	0	0	0	0	0	0	0	0	0	isku mid ah
alimentation	0	0	0	0	0	0	1	0	0	0	dheefshiidka
alimony	0	0	0	0	0	1	0	0	0	0	masruufka
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	nool
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	allaysiiyo
allegation	1	0	0	0	0	1	0	0	0	0	eedayn
allege	0	0	0	0	0	1	0	0	0	0	eedayn
alleged	0	0	0	0	0	0	0	0	0	0	lagu eedeeyay
allegiance	0	0	0	0	0	0	1	0	0	1	daacadnimo
allegorical	0	0	0	0	0	0	0	0	0	0	maldahan
allegory	0	0	0	0	0	0	0	0	0	0	tusaale ahaan
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	yaraynta
alleviation	0	0	0	0	0	0	1	0	0	0	yaraynta
alley	0	0	0	0	0	0	0	0	0	0	luuq
alliance	0	0	0	0	0	0	0	0	0	1	isbahaysi
allied	0	0	0	0	0	0	1	0	0	1	xulufada
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	qoondayn
allocation	0	0	0	0	0	0	0	0	0	0	qoondaynta
allot	0	0	0	0	0	0	0	0	0	0	qoondayn
allotment	0	0	0	0	0	0	0	0	0	0	qoondayn
allowable	0	0	0	0	0	0	1	0	0	0	la ogol yahay
allowance	0	0	0	0	0	0	0	0	0	0	gunnada
allowed	0	0	0	0	0	0	0	0	0	0	ogol yahay
alloy	0	0	0	0	0	0	0	0	0	0	daawaha
allure	0	1	0	0	1	0	1	0	1	0	soo jiidasho
alluring	0	0	0	0	0	0	1	0	0	0	soo jiidasho leh
allusion	0	0	0	0	0	0	0	0	0	0	tilmaamid
alluvial	0	0	0	0	0	0	0	0	0	0	duufsan
ally	0	0	0	0	0	0	1	0	0	1	xulafo
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	awood leh
aloft	0	0	0	0	0	0	0	0	0	0	sare
aloha	0	1	0	0	1	0	1	0	0	0	allaah
alongside	0	0	0	0	0	0	0	0	0	0	garab
aloof	0	0	0	0	0	1	0	0	0	0	ka fogaansho
aloud	0	0	0	0	0	0	0	0	0	0	qaylo dhaan
alphabet	0	0	0	0	0	0	0	0	0	0	alifbeetada
alphabetical	0	0	0	0	0	0	0	0	0	0	alifbeetada
altar	0	0	0	0	0	0	0	0	0	0	allabari
alter	0	0	0	0	0	0	0	0	0	0	beddelo
alteration	0	0	0	0	0	0	0	0	0	0	badalid
altercation	1	0	0	0	0	1	0	0	0	0	dagaal
altered	0	0	0	0	0	0	0	0	0	0	bedelay
alternate	0	0	0	0	0	0	0	0	0	0	beddelkeeda
alternative	0	0	0	0	0	0	0	0	0	0	beddelaad
altitude	0	0	0	0	0	0	0	0	0	0	joogga
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	gebi ahaanba
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	isku-dhafka
amass	0	0	0	0	0	0	0	0	0	0	ururin
amateur	0	0	0	0	0	0	0	0	0	0	hiwaayadda
amaze	0	0	0	0	0	0	0	0	1	0	yaab
amazement	0	0	0	0	0	0	0	0	0	0	amakaag
amazingly	0	0	0	0	1	0	1	0	1	0	yaab leh
ambassador	0	0	0	0	0	0	1	0	0	1	Safiirka
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	deegaan
ambiguity	0	0	0	0	0	0	0	0	0	0	madmadow
ambiguous	0	0	0	0	0	1	0	0	0	0	madmadow
ambit	0	0	0	0	0	0	0	0	0	0	hammi
ambition	0	1	0	0	1	0	1	0	0	1	hami
ambitious	0	0	0	0	0	0	0	0	0	0	hammi leh
ambulance	0	0	0	1	0	0	0	0	0	1	ambalaas
ambush	1	0	0	1	0	1	0	0	1	0	gaadmo
ameliorate	0	0	0	0	0	0	1	0	0	0	hagaajin
amen	0	0	0	0	1	0	1	0	0	1	aamiin
amenable	0	0	0	0	0	0	1	0	0	0	la aqbali karo
amend	0	0	0	0	0	0	1	0	0	0	wax ka beddel
amendment	0	0	0	0	0	0	0	0	0	0	wax ka beddelka
amends	0	0	0	0	0	0	1	0	0	0	hagaajin
amenity	0	0	0	0	0	0	1	0	0	0	raaxaysi
amethyst	0	0	0	0	0	0	0	0	0	0	amethyst
amiable	0	0	0	0	0	0	1	0	0	0	la aamini karo
amicable	0	0	0	0	1	0	1	0	0	0	naxariis leh
amid	0	0	0	0	0	0	0	0	0	0	dhexda
amidst	0	0	0	0	0	0	0	0	0	0	dhexdooda
ammonia	0	0	1	0	0	0	0	0	0	0	ammonia
ammunition	0	0	0	0	0	0	0	0	0	0	rasaas
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	cafis
amorphous	0	0	0	0	0	0	0	0	0	0	amorphous
amortization	0	0	0	0	0	0	0	0	0	1	amortization
amount	0	0	0	0	0	0	0	0	0	0	qaddarka
