English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Norwegian Word
adult	0	0	0	0	0	0	0	0	0	0	voksen
adulterated	0	0	0	0	0	1	0	0	0	0	forfalsket
adultery	0	0	1	0	0	1	0	1	0	0	utroskap
advance	0	1	0	1	1	0	1	0	1	0	avansere
advanced	0	0	0	0	0	0	1	0	0	0	avansert
advancement	0	0	0	0	0	0	1	0	0	0	forfremmelse
advancing	0	0	0	0	0	0	0	0	0	0	avanserer
advantage	0	0	0	0	0	0	1	0	0	0	fordel
advantageous	0	0	0	0	0	0	1	0	0	0	fordelaktig
advent	0	1	0	0	1	0	1	0	0	1	advent
adventure	0	1	0	0	0	0	1	0	0	0	eventyr
adventurer	0	0	0	0	0	0	0	0	0	0	eventyrer
adventurous	0	0	0	0	0	0	1	0	0	0	eventyrlystne
adversary	1	0	0	0	0	1	0	0	0	0	motpart
adverse	1	0	1	1	0	1	0	1	0	0	uheldig
adversity	1	0	0	1	0	1	0	1	0	0	motgang
advertise	0	0	0	0	0	0	0	0	0	0	reklamere
advertisement	0	0	0	0	0	0	0	0	0	0	annonse
advice	0	0	0	0	0	0	0	0	0	1	råd
advisable	0	0	0	0	0	0	1	0	0	1	tilrådelig
advise	0	0	0	0	0	0	1	0	0	1	rådgi
advised	0	0	0	0	0	0	0	0	0	1	rådet
advisement	0	0	0	0	0	0	0	0	0	0	råd
adviser	0	0	0	0	0	0	1	0	0	1	rådgiver
advocacy	1	1	0	0	1	0	1	0	0	1	beslutningspåvirkning
advocate	0	0	0	0	0	0	0	0	0	1	advokat
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	lufting
aerial	0	0	0	0	0	0	0	0	0	0	antenne
aerodrome	0	0	0	0	0	0	0	0	0	0	flyplass
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamikk
aeronautics	0	0	0	0	0	0	0	0	0	0	luftfart
aeroplane	0	0	0	0	0	0	0	0	0	0	fly
aesthetic	0	0	0	0	0	0	1	0	0	0	estetiske
aesthetics	0	0	0	0	1	0	1	0	0	0	estetikk
aetiology	0	0	0	0	0	0	0	0	0	0	etiologi
afar	0	0	0	0	0	0	0	0	0	0	langt borte
affable	0	0	0	0	0	0	1	0	0	0	kjærlig
affair	0	0	0	0	0	0	0	0	0	0	sak
affecting	0	0	0	0	0	0	0	0	0	0	påvirker
affection	0	0	0	0	1	0	1	0	0	1	kjærlighet
affections	0	0	0	0	0	0	0	0	0	0	hengivenheter
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	erklæring
affiliated	0	0	0	0	0	0	1	0	0	0	tilknyttet
affiliation	0	0	0	0	0	0	0	0	0	0	tilhørighet
affinity	0	0	0	0	0	0	0	0	0	0	affinitet
affirm	0	0	0	0	0	0	1	0	0	1	bekrefte
affirmation	0	0	0	0	0	0	1	0	0	0	bekreftelse
affirmative	0	0	0	0	0	0	1	0	0	0	bekreftende
affirmatively	0	0	0	0	0	0	1	0	0	1	bekreftende
affix	0	0	0	0	0	0	0	0	0	0	feste
afflict	0	0	0	1	0	1	0	1	0	0	plage
afflicted	0	0	0	0	0	1	0	0	0	0	rammet
affliction	0	0	1	1	0	1	0	1	0	0	lidelse
affluence	0	0	0	0	1	0	1	0	0	0	velstand
affluent	0	0	0	0	0	0	1	0	0	0	velstående
afford	0	0	0	0	0	0	1	0	0	0	ha råd til
affront	1	0	1	1	0	1	0	1	1	0	fornærmelse
afield	0	0	0	0	0	0	0	0	0	0	et jorde
afore	0	0	0	0	0	0	0	0	0	0	før
aforementioned	0	0	0	0	0	0	0	0	0	0	som tidligere nevnt
aforesaid	0	0	0	0	0	0	0	0	0	0	foran nevnt
afraid	0	0	0	1	0	1	0	0	0	0	redd
afresh	0	0	0	0	0	0	0	0	0	0	på nytt
aft	0	0	0	0	0	0	0	0	0	0	akter
aftermath	1	0	1	1	0	1	0	1	0	0	etterspill
afternoon	0	0	0	0	0	0	0	0	0	0	ettermiddag
aftertaste	0	0	0	0	0	1	0	0	0	0	ettersmak
afterthought	0	0	0	0	0	0	0	0	0	0	ettertanke
aga	0	0	0	1	0	0	1	0	0	1	igjen
agate	0	0	0	0	0	0	0	0	0	0	agat
age	0	0	0	0	0	0	0	0	0	0	alder
aged	0	0	0	0	0	0	0	0	0	0	alderen
agency	0	0	0	0	0	0	0	0	0	0	byrå
agent	0	0	0	0	0	0	0	0	0	0	middel
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomerasjon
aggravated	1	0	0	0	0	1	0	0	0	0	forverret
aggravating	1	0	0	0	0	1	0	1	0	0	irriterende
aggravation	1	0	1	0	0	1	0	0	0	0	forverring
aggregate	0	0	0	0	0	0	0	0	0	0	samlet
aggregation	0	0	0	0	0	0	0	0	0	0	aggregering
aggression	1	0	0	1	0	1	0	0	0	0	aggresjon
aggressive	1	0	0	1	0	1	0	0	0	0	aggressiv
aggressor	1	0	0	1	0	1	0	0	0	0	angriper
aghast	0	0	1	1	0	1	0	0	1	0	forferdet
agile	0	0	0	0	0	0	1	0	0	0	smidig
agility	0	0	0	0	0	0	1	0	0	0	smidighet
agitated	1	0	0	0	0	1	0	0	0	0	agitert
agitation	1	0	0	0	0	1	0	0	0	0	opphisselse
agnostic	0	0	0	0	0	0	0	0	0	0	agnostiker
ago	0	0	0	0	0	0	0	0	0	0	siden
agonizing	0	0	0	1	0	1	0	0	0	0	pinefull
agony	1	0	0	1	0	1	0	1	0	0	smerte
agree	0	0	0	0	0	0	1	0	0	0	bli enige
agreeable	0	0	0	0	0	0	1	0	0	1	behagelig
agreed	0	0	0	0	0	0	1	0	0	1	avtalt
agreeing	0	0	0	0	0	0	1	0	0	1	enig
agreement	0	0	0	0	0	0	1	0	0	1	avtale
agricultural	0	0	0	0	0	0	0	0	0	0	landbruk
agriculture	0	0	0	0	0	0	1	0	0	0	jordbruk
aground	0	0	0	0	0	1	0	0	0	0	på grunn
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	fremover
aid	0	0	0	0	0	0	1	0	0	0	bistand
aiding	0	0	0	0	0	0	1	0	0	0	hjelpe
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	sykelig
ailment	0	0	0	0	0	0	0	0	0	0	sykdom
aim	0	0	0	0	0	0	0	0	0	0	mål
aimless	0	0	0	0	0	1	0	0	0	0	målløst
air	0	0	0	0	0	0	0	0	0	0	luft
airbag	0	0	0	0	0	0	0	0	0	0	kollisjonspute
airlift	0	0	0	0	0	0	0	0	0	0	luftløft
airline	0	0	0	0	0	0	0	0	0	0	flyselskap
airman	0	0	0	0	0	0	0	0	0	0	flyver
airplane	0	0	0	0	0	0	0	0	0	0	fly
airport	0	1	0	0	0	0	0	0	0	0	flyplassen
airs	0	0	1	0	0	1	0	0	0	0	luftes
airship	0	0	0	0	0	0	0	0	0	0	luftskip
aisle	0	0	0	0	0	0	0	0	0	0	midtgang
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	på gløtt
akin	0	0	0	0	0	0	0	0	0	1	beslektet
alabaster	0	0	0	0	0	0	1	0	0	0	alabast
alarm	0	0	0	1	0	1	0	0	1	0	alarm
alarming	0	0	0	1	0	1	0	0	1	0	foruroligende
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alkymi
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholisme
alcove	0	0	0	0	0	0	0	0	0	0	alkove
alert	0	0	0	0	0	0	0	0	0	0	varsling
alertness	0	1	0	1	0	0	1	0	1	0	årvåkenhet
alerts	0	1	0	1	0	0	0	0	1	0	varsler
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraisk
algorithm	0	0	0	0	0	0	0	0	0	0	algoritme
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	romvesen
alienate	1	0	1	0	0	1	0	0	0	0	fremmedgjøre
alienated	0	0	0	0	0	1	0	1	0	0	fremmedgjort
alienation	1	0	1	1	0	1	0	1	0	0	fremmedgjøring
alight	0	0	0	0	0	0	0	0	0	0	et lys
aligned	0	0	0	0	0	0	0	0	0	0	justert
alignment	0	0	0	0	0	0	0	0	0	0	Justering
alike	0	0	0	0	0	0	0	0	0	0	like
alimentation	0	0	0	0	0	0	1	0	0	0	næring
alimony	0	0	0	0	0	1	0	0	0	0	underholdsbidrag
aliquot	0	0	0	0	0	0	0	0	0	0	alikvot
alive	0	1	0	0	1	0	1	0	0	1	i live
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloider
allay	0	0	0	0	0	0	1	0	0	0	dempe
allegation	1	0	0	0	0	1	0	0	0	0	påstand
allege	0	0	0	0	0	1	0	0	0	0	påstå
alleged	0	0	0	0	0	0	0	0	0	0	påstått
allegiance	0	0	0	0	0	0	1	0	0	1	troskap
allegorical	0	0	0	0	0	0	0	0	0	0	allegorisk
allegory	0	0	0	0	0	0	0	0	0	0	allegori
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	lindre
alleviation	0	0	0	0	0	0	1	0	0	0	lindring
alley	0	0	0	0	0	0	0	0	0	0	bakgate
alliance	0	0	0	0	0	0	0	0	0	1	allianse
allied	0	0	0	0	0	0	1	0	0	1	allierte
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	tildele
allocation	0	0	0	0	0	0	0	0	0	0	tildeling
allot	0	0	0	0	0	0	0	0	0	0	tildele
allotment	0	0	0	0	0	0	0	0	0	0	tildeling
allowable	0	0	0	0	0	0	1	0	0	0	tillatt
allowance	0	0	0	0	0	0	0	0	0	0	godtgjørelse
allowed	0	0	0	0	0	0	0	0	0	0	tillatt
alloy	0	0	0	0	0	0	0	0	0	0	legering
allure	0	1	0	0	1	0	1	0	1	0	lokke
alluring	0	0	0	0	0	0	1	0	0	0	forlokkende
allusion	0	0	0	0	0	0	0	0	0	0	hentydning
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	alliert
almanac	0	0	0	0	0	0	0	0	0	0	almanakk
almighty	0	0	0	0	0	0	1	0	0	0	allmektig
aloft	0	0	0	0	0	0	0	0	0	0	høyt oppe
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	ved siden av
aloof	0	0	0	0	0	1	0	0	0	0	reservert
aloud	0	0	0	0	0	0	0	0	0	0	høyt
alphabet	0	0	0	0	0	0	0	0	0	0	alfabet
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabetisk
altar	0	0	0	0	0	0	0	0	0	0	alter
alter	0	0	0	0	0	0	0	0	0	0	endre
alteration	0	0	0	0	0	0	0	0	0	0	forandring
altercation	1	0	0	0	0	1	0	0	0	0	krangel
altered	0	0	0	0	0	0	0	0	0	0	endret
alternate	0	0	0	0	0	0	0	0	0	0	alternere
alternative	0	0	0	0	0	0	0	0	0	0	alternativ
altitude	0	0	0	0	0	0	0	0	0	0	høyde
alto	0	0	0	0	0	0	0	0	0	0	alt
altogether	0	0	0	0	0	0	0	0	0	0	totalt
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	sammenslåing
amass	0	0	0	0	0	0	0	0	0	0	samle
amateur	0	0	0	0	0	0	0	0	0	0	amatør
amaze	0	0	0	0	0	0	0	0	1	0	forbløffe
amazement	0	0	0	0	0	0	0	0	0	0	undring
amazingly	0	0	0	0	1	0	1	0	1	0	utrolig nok
ambassador	0	0	0	0	0	0	1	0	0	1	ambassadør
amber	0	0	0	0	0	0	0	0	0	0	rav
ambient	0	0	0	0	0	0	0	0	0	0	omgivende
ambiguity	0	0	0	0	0	0	0	0	0	0	tvetydighet
ambiguous	0	0	0	0	0	1	0	0	0	0	tvetydig
ambit	0	0	0	0	0	0	0	0	0	0	omfang
ambition	0	1	0	0	1	0	1	0	0	1	ambisjon
ambitious	0	0	0	0	0	0	0	0	0	0	ambisiøs
ambulance	0	0	0	1	0	0	0	0	0	1	ambulanse
ambush	1	0	0	1	0	1	0	0	1	0	bakhold
ameliorate	0	0	0	0	0	0	1	0	0	0	forbedre
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	mottagelig
amend	0	0	0	0	0	0	1	0	0	0	endre
amendment	0	0	0	0	0	0	0	0	0	0	endring
amends	0	0	0	0	0	0	1	0	0	0	endrer
amenity	0	0	0	0	0	0	1	0	0	0	bekvemmeligheter
amethyst	0	0	0	0	0	0	0	0	0	0	ametyst
amiable	0	0	0	0	0	0	1	0	0	0	elskverdig
amicable	0	0	0	0	1	0	1	0	0	0	vennskapelig
amid	0	0	0	0	0	0	0	0	0	0	midt i
amidst	0	0	0	0	0	0	0	0	0	0	midt i
ammonia	0	0	1	0	0	0	0	0	0	0	ammoniakk
ammunition	0	0	0	0	0	0	0	0	0	0	ammunisjon
amnesia	0	0	0	0	0	1	0	0	0	0	amnesi
amnesty	0	0	0	0	1	0	1	0	0	0	amnesti
amorphous	0	0	0	0	0	0	0	0	0	0	amorf
amortization	0	0	0	0	0	0	0	0	0	1	amortisering
amount	0	0	0	0	0	0	0	0	0	0	beløp
amour	0	1	0	0	1	0	1	0	0	1	amour
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetamin
amphibian	0	0	0	0	0	0	0	0	0	0	amfibie
amphibious	0	0	0	0	0	0	0	0	0	0	amfibie
amphitheater	0	0	0	0	0	0	0	0	0	0	amfi
amplification	0	0	0	0	0	0	0	0	0	0	forsterkning
amplify	0	0	0	0	0	0	0	0	0	0	forsterke
amplitude	0	0	0	0	0	0	0	0	0	0	amplitude
amply	0	0	0	0	0	0	0	0	0	0	rikelig
amputation	0	0	0	0	0	0	0	0	0	0	amputasjon
