English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Shona Word
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	account
accountability	0	0	0	0	0	0	1	0	0	1	kuzvidavirira
accountable	0	0	0	0	0	0	1	0	0	1	kuzvidavirira
accountant	0	0	0	0	0	0	0	0	0	1	accountant
accounting	0	0	0	0	0	0	0	0	0	0	accounting
accounts	0	0	0	0	0	0	0	0	0	1	accounts
accredited	0	0	0	0	0	0	1	0	0	1	accredited
accretion	0	0	0	0	0	0	0	0	0	0	acretion
accrue	0	0	0	0	0	0	0	0	0	0	accrue
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	kuunganidza
accumulation	0	0	0	0	0	0	0	0	0	0	kuunganidza
accuracy	0	0	0	0	0	0	0	0	0	0	kururama
accurate	0	0	0	0	0	0	1	0	0	1	yakarurama
accursed	1	0	0	1	0	1	0	1	0	0	vakatukwa
accusation	1	0	1	0	0	1	0	0	0	0	mhosva
accusative	0	0	0	0	0	1	0	0	0	0	anopomera mhosva
accused	1	0	0	1	0	1	0	0	0	0	mhosva
accuser	1	0	0	1	0	1	0	0	0	0	mupomeri
accusing	1	0	0	1	0	1	0	0	0	0	vachipomera mhosva
accustomed	0	0	0	0	0	0	0	0	0	0	accustomed
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	kurwadziwa
achieve	0	0	0	0	1	0	1	0	0	1	achieve
achievement	0	1	0	0	1	0	1	0	0	1	kubudirira
aching	0	0	0	0	0	1	0	1	0	0	kurwadziwa
acid	0	0	0	0	0	1	0	0	0	0	acid
acidity	0	0	0	0	0	0	0	0	0	0	acidity
acknowledge	0	0	0	0	0	0	0	0	0	0	bvuma
acknowledged	0	0	0	0	0	0	0	0	0	0	akabvuma
acknowledgment	0	0	0	0	0	0	1	0	0	0	kubvuma
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	acoustic
acoustics	0	0	0	0	0	0	0	0	0	0	acoustics
acquaint	0	0	0	0	0	0	0	0	0	0	acquaint
acquaintance	0	0	0	0	0	0	0	0	0	0	acquaintance
acquainted	0	0	0	0	0	0	0	0	0	0	acquainted
acquiescence	0	0	0	0	0	0	0	0	0	0	kubvuma
acquire	0	0	0	0	0	0	1	0	0	0	kuwana
acquiring	0	1	0	0	0	0	1	0	0	0	kuwana
acquisition	0	0	0	0	0	0	0	0	0	0	kuwana
acquisitions	0	0	0	0	0	0	0	0	0	0	acquisitions
acreage	0	0	0	0	0	0	0	0	0	0	acreage
acres	0	0	0	0	0	0	0	0	0	0	maeka
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	act
acting	0	0	0	0	0	0	0	0	0	0	acting
action	0	0	0	0	0	0	1	0	0	0	chiito
actionable	1	0	1	0	0	1	0	0	0	0	zvinogoneka
active	0	0	0	0	0	0	0	0	0	0	active
activity	0	0	0	0	0	0	0	0	0	0	chiitiko
actor	0	0	0	0	0	0	0	0	0	0	mutambi
actual	0	0	0	0	0	0	1	0	0	0	chaiyo
actuality	0	0	0	0	0	0	0	0	0	0	chokwadi
actuary	0	0	0	0	0	0	0	0	0	0	actuary
acuity	0	0	0	0	0	0	1	0	0	0	acuity
acumen	0	0	0	0	0	0	1	0	0	0	acumen
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuncture
acutely	0	0	0	0	0	0	0	0	0	0	acutely
adage	0	0	0	0	0	0	0	0	0	0	chirevo
adamant	0	0	0	0	0	0	0	0	0	0	akasimba
adapt	0	0	0	0	0	0	1	0	0	0	adapt
adaptable	0	0	0	0	0	0	1	0	0	0	inochinjika
add	0	0	0	0	0	0	0	0	0	0	wedzera
added	0	0	0	0	0	0	0	0	0	0	akawedzera
addendum	0	0	0	0	0	0	0	0	0	0	addendum
adder	1	0	1	1	0	1	0	1	0	0	adder
addiction	0	0	0	0	0	1	0	0	0	0	kupindwa muropa
addition	0	0	0	0	0	0	0	0	0	0	kuwedzera
additional	0	0	0	0	0	0	0	0	0	0	kuwedzera
additive	0	0	0	0	0	0	0	0	0	0	additive
address	0	0	0	0	0	0	0	0	0	0	kero
addressee	0	0	0	0	0	0	0	0	0	0	addressee
addresses	0	1	0	0	0	0	1	0	0	0	kero
adept	0	0	0	0	0	0	1	0	0	0	adept
adequacy	0	0	0	0	0	0	1	0	0	0	kukwana
adequate	0	0	0	0	0	0	0	0	0	0	zvakakwana
adhere	0	0	0	0	0	0	0	0	0	0	adhere
adherence	0	0	0	0	0	0	0	0	0	0	kutevedza
adherent	0	0	0	0	0	0	0	0	0	0	adherent
adhering	0	0	0	0	0	0	0	0	0	1	kunamatira
adhesion	0	0	0	0	0	0	0	0	0	0	adhesion
adhesive	0	0	0	0	0	0	0	0	0	0	adhesive
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	pedyo
adjacent	0	0	0	0	0	0	0	0	0	0	pedyo
adjective	0	0	0	0	0	0	0	0	0	0	adjective
adjoining	0	0	0	0	0	0	0	0	0	0	adjoining
adjourn	0	0	0	0	0	0	0	0	0	0	adjourn
adjournment	0	0	0	0	0	0	0	0	0	0	kumiswa
adjudicate	0	0	0	1	0	1	0	0	0	0	kutonga
adjudication	0	0	0	0	0	0	0	0	0	0	kutonga
adjunct	0	0	0	0	0	0	1	0	0	0	adjunct
adjust	0	0	0	0	0	0	0	0	0	0	gadzirisa
adjustment	0	0	0	0	0	0	0	0	0	0	kugadzirisa
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	admin
administration	0	0	0	0	0	0	0	0	0	0	administration
administrative	0	0	0	0	0	0	0	0	0	1	administrative
admirable	0	0	0	0	1	0	1	0	0	1	zvinoyemurika
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	admiralty
admiration	0	0	0	0	1	0	1	0	0	1	kuyemura
admire	0	0	0	0	0	0	1	0	0	1	kuyemura
admirer	0	0	0	0	0	0	1	0	0	0	admirer
admissibility	0	0	0	0	0	0	0	0	0	0	kubvumirwa
admissible	0	0	0	0	0	0	1	0	0	1	zvinotenderwa
admission	0	0	0	0	0	0	0	0	0	0	kubvumirwa
admit	0	0	0	0	0	0	0	0	0	0	bvuma
admittance	0	0	0	0	0	0	0	0	0	0	kubvuma
admitted	0	0	0	0	0	0	0	0	0	0	akabvuma
admitting	0	0	0	0	0	0	0	0	0	0	kubvuma
admixture	0	0	0	0	0	0	0	0	0	0	musanganiswa
admonition	0	0	0	1	0	1	0	0	0	0	yambiro
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	kuyaruka
adolescent	0	0	0	0	0	0	0	0	0	0	kuyaruka
adopt	0	0	0	0	0	0	0	0	0	0	adopt
adoption	0	0	0	0	0	0	0	0	0	0	kugamuchirwa
adorable	0	0	0	0	1	0	1	0	0	0	anoyevedza
adoration	0	0	0	0	1	0	1	0	0	1	kunamata
adore	0	1	0	0	1	0	1	0	0	1	adore
adorn	0	0	0	0	0	0	0	0	0	0	shongedza
adornment	0	0	0	0	0	0	0	0	0	0	chishongo
adrift	0	1	0	1	0	1	0	1	0	0	adrift
adult	0	0	0	0	0	0	0	0	0	0	mukuru
adulterated	0	0	0	0	0	1	0	0	0	0	upombwe
adultery	0	0	1	0	0	1	0	1	0	0	upombwe
advance	0	1	0	1	1	0	1	0	1	0	advance
advanced	0	0	0	0	0	0	1	0	0	0	advanced
advancement	0	0	0	0	0	0	1	0	0	0	kufambira mberi
advancing	0	0	0	0	0	0	0	0	0	0	kufambira mberi
advantage	0	0	0	0	0	0	1	0	0	0	advantage
advantageous	0	0	0	0	0	0	1	0	0	0	zvinobatsira
advent	0	1	0	0	1	0	1	0	0	1	advent
adventure	0	1	0	0	0	0	1	0	0	0	adventure
adventurer	0	0	0	0	0	0	0	0	0	0	adventurer
adventurous	0	0	0	0	0	0	1	0	0	0	adventurous
adversary	1	0	0	0	0	1	0	0	0	0	muvengi
adverse	1	0	1	1	0	1	0	1	0	0	adverse
adversity	1	0	0	1	0	1	0	1	0	0	nhamo
advertise	0	0	0	0	0	0	0	0	0	0	shambadza
advertisement	0	0	0	0	0	0	0	0	0	0	kushambadzira
advice	0	0	0	0	0	0	0	0	0	1	zano
advisable	0	0	0	0	0	0	1	0	0	1	zvinokurudzirwa
advise	0	0	0	0	0	0	1	0	0	1	advise
advised	0	0	0	0	0	0	0	0	0	1	advised
advisement	0	0	0	0	0	0	0	0	0	0	advice
adviser	0	0	0	0	0	0	1	0	0	1	mubatsiri
advocacy	1	1	0	0	1	0	1	0	0	1	Advocacy
advocate	0	0	0	0	0	0	0	0	0	1	murevereri
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	aeration
aerial	0	0	0	0	0	0	0	0	0	0	aerial
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrome
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautics
aeroplane	0	0	0	0	0	0	0	0	0	0	ndege
aesthetic	0	0	0	0	0	0	1	0	0	0	aesthetic
aesthetics	0	0	0	0	1	0	1	0	0	0	aesthetics
aetiology	0	0	0	0	0	0	0	0	0	0	etiology
afar	0	0	0	0	0	0	0	0	0	0	kure
affable	0	0	0	0	0	0	1	0	0	0	affable
affair	0	0	0	0	0	0	0	0	0	0	nyaya
affecting	0	0	0	0	0	0	0	0	0	0	zvinokanganisa
affection	0	0	0	0	1	0	1	0	0	1	rudo
affections	0	0	0	0	0	0	0	0	0	0	rudo
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	afidaviti
affiliated	0	0	0	0	0	0	1	0	0	0	affiliated
affiliation	0	0	0	0	0	0	0	0	0	0	kubatana
affinity	0	0	0	0	0	0	0	0	0	0	hukama
affirm	0	0	0	0	0	0	1	0	0	1	simbisa
affirmation	0	0	0	0	0	0	1	0	0	0	kusimbisa
affirmative	0	0	0	0	0	0	1	0	0	0	affirmative
affirmatively	0	0	0	0	0	0	1	0	0	1	zvinosimbisa
affix	0	0	0	0	0	0	0	0	0	0	afix
afflict	0	0	0	1	0	1	0	1	0	0	tambudza
afflicted	0	0	0	0	0	1	0	0	0	0	kutambudzika
affliction	0	0	1	1	0	1	0	1	0	0	kutambudzika
affluence	0	0	0	0	1	0	1	0	0	0	upfumi
affluent	0	0	0	0	0	0	1	0	0	0	vapfumi
afford	0	0	0	0	0	0	1	0	0	0	afford
affront	1	0	1	1	0	1	0	1	1	0	kuzvidza
afield	0	0	0	0	0	0	0	0	0	0	afield
afore	0	0	0	0	0	0	0	0	0	0	pamberi
aforementioned	0	0	0	0	0	0	0	0	0	0	ambotaurwa
aforesaid	0	0	0	0	0	0	0	0	0	0	zvataurwa
afraid	0	0	0	1	0	1	0	0	0	0	kutya
afresh	0	0	0	0	0	0	0	0	0	0	zvakare
aft	0	0	0	0	0	0	0	0	0	0	aft
aftermath	1	0	1	1	0	1	0	1	0	0	aftermath
afternoon	0	0	0	0	0	0	0	0	0	0	masikati
aftertaste	0	0	0	0	0	1	0	0	0	0	aftertaste
afterthought	0	0	0	0	0	0	0	0	0	0	pashure
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	age
aged	0	0	0	0	0	0	0	0	0	0	aged
agency	0	0	0	0	0	0	0	0	0	0	agency
agent	0	0	0	0	0	0	0	0	0	0	mumiririri
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomeration
aggravated	1	0	0	0	0	1	0	0	0	0	aggravated
aggravating	1	0	0	0	0	1	0	1	0	0	aggravating
aggravation	1	0	1	0	0	1	0	0	0	0	aggravation
aggregate	0	0	0	0	0	0	0	0	0	0	aggregate
aggregation	0	0	0	0	0	0	0	0	0	0	aggregation
aggression	1	0	0	1	0	1	0	0	0	0	hutsinye
aggressive	1	0	0	1	0	1	0	0	0	0	ane hasha
aggressor	1	0	0	1	0	1	0	0	0	0	murwi
aghast	0	0	1	1	0	1	0	0	1	0	aghast
agile	0	0	0	0	0	0	1	0	0	0	agile
agility	0	0	0	0	0	0	1	0	0	0	agility
agitated	1	0	0	0	0	1	0	0	0	0	agitated
agitation	1	0	0	0	0	1	0	0	0	0	kushushikana
agnostic	0	0	0	0	0	0	0	0	0	0	agnostic
ago	0	0	0	0	0	0	0	0	0	0	ago
agonizing	0	0	0	1	0	1	0	0	0	0	agonizing
agony	1	0	0	1	0	1	0	1	0	0	kurwadziwa
agree	0	0	0	0	0	0	1	0	0	0	bvuma
agreeable	0	0	0	0	0	0	1	0	0	1	zvinogamuchirika
agreed	0	0	0	0	0	0	1	0	0	1	vakabvuma
agreeing	0	0	0	0	0	0	1	0	0	1	vachibvumirana
agreement	0	0	0	0	0	0	1	0	0	1	chibvumirano
agricultural	0	0	0	0	0	0	0	0	0	0	zvokurima
agriculture	0	0	0	0	0	0	1	0	0	0	kurima
aground	0	0	0	0	0	1	0	0	0	0	aground
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	mberi
aid	0	0	0	0	0	0	1	0	0	0	rubatsiro
aiding	0	0	0	0	0	0	1	0	0	0	aiding
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	achirwara
ailment	0	0	0	0	0	0	0	0	0	0	chirwere
aim	0	0	0	0	0	0	0	0	0	0	chinangwa
aimless	0	0	0	0	0	1	0	0	0	0	vasina chinangwa
air	0	0	0	0	0	0	0	0	0	0	mhepo
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	airlift
airline	0	0	0	0	0	0	0	0	0	0	ndege
airman	0	0	0	0	0	0	0	0	0	0	airman
airplane	0	0	0	0	0	0	0	0	0	0	ndege
airport	0	1	0	0	0	0	0	0	0	0	airport
airs	0	0	1	0	0	1	0	0	0	0	airs
airship	0	0	0	0	0	0	0	0	0	0	airship
aisle	0	0	0	0	0	0	0	0	0	0	aisle
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	akin
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	alarm
alarming	0	0	0	1	0	1	0	0	1	0	zvinotyisa
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchemy
alcohol	0	0	0	0	0	0	0	0	0	0	doro
alcoholism	1	0	1	1	0	1	0	1	0	0	udhakwa
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	alert
alertness	0	1	0	1	0	0	1	0	1	0	kungwarira
alerts	0	1	0	1	0	0	0	0	1	0	alerts
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraic
algorithm	0	0	0	0	0	0	0	0	0	0	algorithm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	mutorwa
alienate	1	0	1	0	0	1	0	0	0	0	alienate
alienated	0	0	0	0	0	1	0	1	0	0	alienated
alienation	1	0	1	1	0	1	0	1	0	0	Alienation
alight	0	0	0	0	0	0	0	0	0	0	alight
aligned	0	0	0	0	0	0	0	0	0	0	zvakaenzanirana
alignment	0	0	0	0	0	0	0	0	0	0	kururamisa
alike	0	0	0	0	0	0	0	0	0	0	zvakafanana
alimentation	0	0	0	0	0	0	1	0	0	0	Alimentation
alimony	0	0	0	0	0	1	0	0	0	0	alimony
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	mupenyu
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	allay
allegation	1	0	0	0	0	1	0	0	0	0	mhosva
allege	0	0	0	0	0	1	0	0	0	0	allege
alleged	0	0	0	0	0	0	0	0	0	0	anonzi
allegiance	0	0	0	0	0	0	1	0	0	1	kuvimbika
allegorical	0	0	0	0	0	0	0	0	0	0	zvedimikira
allegory	0	0	0	0	0	0	0	0	0	0	fananidzo
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	kuderedza
alleviation	0	0	0	0	0	0	1	0	0	0	kuderedza
alley	0	0	0	0	0	0	0	0	0	0	alley
alliance	0	0	0	0	0	0	0	0	0	1	mubatanidzwa
allied	0	0	0	0	0	0	1	0	0	1	allied
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	allocate
allocation	0	0	0	0	0	0	0	0	0	0	mugove
allot	0	0	0	0	0	0	0	0	0	0	allot
allotment	0	0	0	0	0	0	0	0	0	0	mugove
allowable	0	0	0	0	0	0	1	0	0	0	zvinotenderwa
allowance	0	0	0	0	0	0	0	0	0	0	mvumo
allowed	0	0	0	0	0	0	0	0	0	0	kubvumidzwa
alloy	0	0	0	0	0	0	0	0	0	0	alloy
allure	0	1	0	0	1	0	1	0	1	0	allure
alluring	0	0	0	0	0	0	1	0	0	0	zvinokwezva
allusion	0	0	0	0	0	0	0	0	0	0	allusion
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	ally
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	wamasimba ose
aloft	0	0	0	0	0	0	0	0	0	0	mudenga
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	parutivi
aloof	0	0	0	0	0	1	0	0	0	0	aloof
aloud	0	0	0	0	0	0	0	0	0	0	zvinonzwika
alphabet	0	0	0	0	0	0	0	0	0	0	alphabet
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabheti
altar	0	0	0	0	0	0	0	0	0	0	atari
alter	0	0	0	0	0	0	0	0	0	0	alter
alteration	0	0	0	0	0	0	0	0	0	0	alteration
altercation	1	0	0	0	0	1	0	0	0	0	kupopotedzana
altered	0	0	0	0	0	0	0	0	0	0	altered
alternate	0	0	0	0	0	0	0	0	0	0	alternate
alternative	0	0	0	0	0	0	0	0	0	0	imwe nzira
altitude	0	0	0	0	0	0	0	0	0	0	altitude
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	pamwe chete
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	kusangana
amass	0	0	0	0	0	0	0	0	0	0	unganidza
amateur	0	0	0	0	0	0	0	0	0	0	amateur
amaze	0	0	0	0	0	0	0	0	1	0	shamisa
amazement	0	0	0	0	0	0	0	0	0	0	kushamisika
amazingly	0	0	0	0	1	0	1	0	1	0	zvinoshamisa
ambassador	0	0	0	0	0	0	1	0	0	1	ambassador
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	kusanzwisisika
ambiguous	0	0	0	0	0	1	0	0	0	0	ambiguous
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	vavariro
ambitious	0	0	0	0	0	0	0	0	0	0	ambitious
ambulance	0	0	0	1	0	0	0	0	0	1	amburenzi
ambush	1	0	0	1	0	1	0	0	1	0	kuvandira
ameliorate	0	0	0	0	0	0	1	0	0	0	ameliorate
amen	0	0	0	0	1	0	1	0	0	1	ameni
amenable	0	0	0	0	0	0	1	0	0	0	amenable
amend	0	0	0	0	0	0	1	0	0	0	amend
amendment	0	0	0	0	0	0	0	0	0	0	kugadzirisa
amends	0	0	0	0	0	0	1	0	0	0	anogadzirisa
amenity	0	0	0	0	0	0	1	0	0	0	amenity
amethyst	0	0	0	0	0	0	0	0	0	0	ametisi
amiable	0	0	0	0	0	0	1	0	0	0	anofadza
amicable	0	0	0	0	1	0	1	0	0	0	ane hukama
amid	0	0	0	0	0	0	0	0	0	0	pakati
amidst	0	0	0	0	0	0	0	0	0	0	pakati
ammonia	0	0	1	0	0	0	0	0	0	0	ammonia
ammunition	0	0	0	0	0	0	0	0	0	0	zvombo
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	ruregerero
amorphous	0	0	0	0	0	0	0	0	0	0	amorphous
amortization	0	0	0	0	0	0	0	0	0	1	amortization
amount	0	0	0	0	0	0	0	0	0	0	mari
amour	0	1	0	0	1	0	1	0	0	1	rudo
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amphetamines
amphibian	0	0	0	0	0	0	0	0	0	0	amphibian
amphibious	0	0	0	0	0	0	0	0	0	0	amphibious
amphitheater	0	0	0	0	0	0	0	0	0	0	amphitheatre
amplification	0	0	0	0	0	0	0	0	0	0	amplification
amplify	0	0	0	0	0	0	0	0	0	0	amplify
amplitude	0	0	0	0	0	0	0	0	0	0	amplitude
