English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Korean Word
accede	0	0	0	0	0	0	0	0	0	0	동의하다
accelerate	0	1	0	0	0	0	0	0	0	0	가속하다
acceleration	0	0	0	0	0	0	0	0	0	0	가속
accent	0	0	0	0	0	0	0	0	0	0	악센트
accentuate	0	0	0	0	0	0	0	0	0	0	강조하다
accept	0	0	0	0	0	0	0	0	0	0	동의하기
acceptable	0	0	0	0	0	0	1	0	0	0	수용 가능한
acceptance	0	0	0	0	0	0	1	0	0	0	수락
access	0	0	0	0	0	0	0	0	0	0	입장
accessible	0	0	0	0	0	0	1	0	0	0	얻기 쉬운
accession	0	0	0	0	0	0	0	0	0	0	가입
accessory	0	0	0	0	0	0	0	0	0	0	부속물
accident	0	0	0	1	0	1	0	1	1	0	사고
accidental	0	0	0	1	0	1	0	0	1	0	우연한
accidentally	0	0	0	0	0	0	0	0	1	0	우연히
accolade	0	1	0	0	1	0	1	0	1	1	영예
accommodate	0	0	0	0	0	0	0	0	0	0	수용하다
accommodation	0	0	0	0	0	0	1	0	0	0	숙소
accompaniment	0	1	0	0	1	0	1	0	0	1	반주
accompany	0	0	0	0	0	0	0	0	0	0	동반하다
accompanying	0	0	0	0	0	0	0	0	0	0	따르는
accomplice	0	0	0	0	0	0	0	0	0	0	공범자
accomplish	0	0	0	0	1	0	1	0	0	0	성취하다
accomplished	0	0	0	0	1	0	1	0	0	0	뛰어난
accomplishment	0	0	0	0	0	0	1	0	0	0	완수
accord	0	0	0	0	0	0	1	0	0	1	일치
accordance	0	0	0	0	0	0	0	0	0	0	일치
accordion	0	0	0	0	0	0	0	0	0	0	아코디언
account	0	0	0	0	0	0	0	0	0	1	계정
accountability	0	0	0	0	0	0	1	0	0	1	책임
accountable	0	0	0	0	0	0	1	0	0	1	책임 있는
accountant	0	0	0	0	0	0	0	0	0	1	회계사
accounting	0	0	0	0	0	0	0	0	0	0	회계
accounts	0	0	0	0	0	0	0	0	0	1	계정
accredited	0	0	0	0	0	0	1	0	0	1	공인
accretion	0	0	0	0	0	0	0	0	0	0	증가
accrue	0	0	0	0	0	0	0	0	0	0	생기다
accueil	0	0	0	0	0	0	1	0	0	0	아큐에일
accumulate	0	0	0	0	0	0	0	0	0	0	축적하다
accumulation	0	0	0	0	0	0	0	0	0	0	축적
accuracy	0	0	0	0	0	0	0	0	0	0	정확성
accurate	0	0	0	0	0	0	1	0	0	1	정확한
accursed	1	0	0	1	0	1	0	1	0	0	저주 받은
accusation	1	0	1	0	0	1	0	0	0	0	고발
accusative	0	0	0	0	0	1	0	0	0	0	대격
accused	1	0	0	1	0	1	0	0	0	0	고발 당한
accuser	1	0	0	1	0	1	0	0	0	0	고발인
accusing	1	0	0	1	0	1	0	0	0	0	고발
accustomed	0	0	0	0	0	0	0	0	0	0	익숙한
ace	0	0	0	0	0	0	1	0	0	0	에이스
acetic	0	0	0	0	0	0	0	0	0	0	초의
ache	0	0	0	0	0	1	0	1	0	0	아픔
achieve	0	0	0	0	1	0	1	0	0	1	성취하다
achievement	0	1	0	0	1	0	1	0	0	1	성취
aching	0	0	0	0	0	1	0	1	0	0	아프다
acid	0	0	0	0	0	1	0	0	0	0	산
acidity	0	0	0	0	0	0	0	0	0	0	신맛
acknowledge	0	0	0	0	0	0	0	0	0	0	인정하다
acknowledged	0	0	0	0	0	0	0	0	0	0	인정
acknowledgment	0	0	0	0	0	0	1	0	0	0	승인
acme	0	0	0	0	0	0	0	0	0	0	절정
acoustic	0	0	0	0	0	0	0	0	0	0	음향학
acoustics	0	0	0	0	0	0	0	0	0	0	음향학
acquaint	0	0	0	0	0	0	0	0	0	0	의히 알게 하다
acquaintance	0	0	0	0	0	0	0	0	0	0	아는 사람
acquainted	0	0	0	0	0	0	0	0	0	0	정통한
acquiescence	0	0	0	0	0	0	0	0	0	0	묵종
acquire	0	0	0	0	0	0	1	0	0	0	습득하다
acquiring	0	1	0	0	0	0	1	0	0	0	획득
acquisition	0	0	0	0	0	0	0	0	0	0	인수
acquisitions	0	0	0	0	0	0	0	0	0	0	인수
acreage	0	0	0	0	0	0	0	0	0	0	토지
acres	0	0	0	0	0	0	0	0	0	0	에이커
acrobat	0	0	0	1	1	0	1	0	0	1	곡예사
act	0	0	0	0	0	0	0	0	0	0	행동
acting	0	0	0	0	0	0	0	0	0	0	연기
action	0	0	0	0	0	0	1	0	0	0	동작
actionable	1	0	1	0	0	1	0	0	0	0	실행 가능한
active	0	0	0	0	0	0	0	0	0	0	활동적인
activity	0	0	0	0	0	0	0	0	0	0	활동
actor	0	0	0	0	0	0	0	0	0	0	배우
actual	0	0	0	0	0	0	1	0	0	0	실제
actuality	0	0	0	0	0	0	0	0	0	0	현실
actuary	0	0	0	0	0	0	0	0	0	0	보험 수리사
acuity	0	0	0	0	0	0	1	0	0	0	날카로움
acumen	0	0	0	0	0	0	1	0	0	0	예리함
acupuncture	0	0	0	0	0	0	0	0	0	0	침 요법
acutely	0	0	0	0	0	0	0	0	0	0	급하게
adage	0	0	0	0	0	0	0	0	0	0	금언
adamant	0	0	0	0	0	0	0	0	0	0	단호한
adapt	0	0	0	0	0	0	1	0	0	0	적응하다
adaptable	0	0	0	0	0	0	1	0	0	0	적응할 수 있는
add	0	0	0	0	0	0	0	0	0	0	추가하다
added	0	0	0	0	0	0	0	0	0	0	추가
addendum	0	0	0	0	0	0	0	0	0	0	부록
adder	1	0	1	1	0	1	0	1	0	0	가산기
addiction	0	0	0	0	0	1	0	0	0	0	탐닉
addition	0	0	0	0	0	0	0	0	0	0	덧셈
additional	0	0	0	0	0	0	0	0	0	0	추가의
additive	0	0	0	0	0	0	0	0	0	0	첨가물
address	0	0	0	0	0	0	0	0	0	0	주소
addressee	0	0	0	0	0	0	0	0	0	0	수신인
addresses	0	1	0	0	0	0	1	0	0	0	구애
adept	0	0	0	0	0	0	1	0	0	0	정통한
adequacy	0	0	0	0	0	0	1	0	0	0	적절
adequate	0	0	0	0	0	0	0	0	0	0	적절한
adhere	0	0	0	0	0	0	0	0	0	0	준수하다
adherence	0	0	0	0	0	0	0	0	0	0	부착
adherent	0	0	0	0	0	0	0	0	0	0	자기편
adhering	0	0	0	0	0	0	0	0	0	1	고착
adhesion	0	0	0	0	0	0	0	0	0	0	부착
adhesive	0	0	0	0	0	0	0	0	0	0	점착제
adieu	0	0	0	0	0	0	0	0	0	0	안녕
adipose	0	0	0	0	0	1	0	0	0	0	지방
adjacency	0	0	0	0	0	0	0	0	0	0	인접
adjacent	0	0	0	0	0	0	0	0	0	0	인접한
adjective	0	0	0	0	0	0	0	0	0	0	형용사
adjoining	0	0	0	0	0	0	0	0	0	0	인접한
adjourn	0	0	0	0	0	0	0	0	0	0	연기하다
adjournment	0	0	0	0	0	0	0	0	0	0	연기
adjudicate	0	0	0	1	0	1	0	0	0	0	판결하다
adjudication	0	0	0	0	0	0	0	0	0	0	판결
adjunct	0	0	0	0	0	0	1	0	0	0	부가어
adjust	0	0	0	0	0	0	0	0	0	0	조정하다
adjustment	0	0	0	0	0	0	0	0	0	0	조정
adjuvant	0	0	0	0	0	0	0	0	0	0	보조제
administer	0	0	0	0	0	0	0	0	0	0	관리하다
administration	0	0	0	0	0	0	0	0	0	0	관리
administrative	0	0	0	0	0	0	0	0	0	1	행정
admirable	0	0	0	0	1	0	1	0	0	1	훌륭한
admiral	0	0	0	0	0	0	1	0	0	1	해군 대장
admiralty	0	0	0	0	0	0	0	0	0	0	해군 대장
admiration	0	0	0	0	1	0	1	0	0	1	감탄
admire	0	0	0	0	0	0	1	0	0	1	존경하다
admirer	0	0	0	0	0	0	1	0	0	0	숭배자
admissibility	0	0	0	0	0	0	0	0	0	0	허용 성
admissible	0	0	0	0	0	0	1	0	0	1	허용
admission	0	0	0	0	0	0	0	0	0	0	가입
admit	0	0	0	0	0	0	0	0	0	0	인정하다
admittance	0	0	0	0	0	0	0	0	0	0	입장
admitted	0	0	0	0	0	0	0	0	0	0	인정
admitting	0	0	0	0	0	0	0	0	0	0	인정
admixture	0	0	0	0	0	0	0	0	0	0	혼합
admonition	0	0	0	1	0	1	0	0	0	0	훈계
ado	0	0	0	0	0	0	0	0	0	0	야단법석
adobe	0	0	0	0	0	0	0	0	0	0	어도비 벽돌
adolescence	0	0	0	0	0	0	0	0	0	0	청년기
adolescent	0	0	0	0	0	0	0	0	0	0	한창 젊은
adopt	0	0	0	0	0	0	0	0	0	0	입양하다
adoption	0	0	0	0	0	0	0	0	0	0	양자
adorable	0	0	0	0	1	0	1	0	0	0	사랑스러운
adoration	0	0	0	0	1	0	1	0	0	1	동경
adore	0	1	0	0	1	0	1	0	0	1	숭배하다
adorn	0	0	0	0	0	0	0	0	0	0	꾸미다
adornment	0	0	0	0	0	0	0	0	0	0	장식품
adrift	0	1	0	1	0	1	0	1	0	0	떠돌아
adult	0	0	0	0	0	0	0	0	0	0	성인
adulterated	0	0	0	0	0	1	0	0	0	0	불순물
adultery	0	0	1	0	0	1	0	1	0	0	간통
advance	0	1	0	1	1	0	1	0	1	0	전진
advanced	0	0	0	0	0	0	1	0	0	0	고급의
advancement	0	0	0	0	0	0	1	0	0	0	진보
advancing	0	0	0	0	0	0	0	0	0	0	전진
advantage	0	0	0	0	0	0	1	0	0	0	이점
advantageous	0	0	0	0	0	0	1	0	0	0	유리한
advent	0	1	0	0	1	0	1	0	0	1	출현
adventure	0	1	0	0	0	0	1	0	0	0	모험
adventurer	0	0	0	0	0	0	0	0	0	0	모험가
adventurous	0	0	0	0	0	0	1	0	0	0	모험적인
adversary	1	0	0	0	0	1	0	0	0	0	적
adverse	1	0	1	1	0	1	0	1	0	0	불리한
adversity	1	0	0	1	0	1	0	1	0	0	역경
advertise	0	0	0	0	0	0	0	0	0	0	공시 하다
advertisement	0	0	0	0	0	0	0	0	0	0	광고
advice	0	0	0	0	0	0	0	0	0	1	조언
advisable	0	0	0	0	0	0	1	0	0	1	타당한
advise	0	0	0	0	0	0	1	0	0	1	권하다
advised	0	0	0	0	0	0	0	0	0	1	조언
advisement	0	0	0	0	0	0	0	0	0	0	조언
adviser	0	0	0	0	0	0	1	0	0	1	고문
advocacy	1	1	0	0	1	0	1	0	0	1	옹호
advocate	0	0	0	0	0	0	0	0	0	1	지지하다
aegis	0	0	0	0	0	0	0	0	0	0	보호
aeration	0	0	0	0	0	0	0	0	0	0	폭기
aerial	0	0	0	0	0	0	0	0	0	0	공중선
aerodrome	0	0	0	0	0	0	0	0	0	0	비행장
aerodynamics	0	0	0	0	0	0	0	0	0	0	공기역학
aeronautics	0	0	0	0	0	0	0	0	0	0	항공학
aeroplane	0	0	0	0	0	0	0	0	0	0	비행기
aesthetic	0	0	0	0	0	0	1	0	0	0	미적인
aesthetics	0	0	0	0	1	0	1	0	0	0	미학
aetiology	0	0	0	0	0	0	0	0	0	0	병인학
afar	0	0	0	0	0	0	0	0	0	0	멀리
affable	0	0	0	0	0	0	1	0	0	0	상냥한
affair	0	0	0	0	0	0	0	0	0	0	일
affecting	0	0	0	0	0	0	0	0	0	0	영향을 미치는
affection	0	0	0	0	1	0	1	0	0	1	애정
affections	0	0	0	0	0	0	0	0	0	0	애정
affiche	0	0	0	0	0	0	0	0	0	0	어피치
affidavit	0	0	0	0	0	0	0	0	0	0	진술서
affiliated	0	0	0	0	0	0	1	0	0	0	제휴
affiliation	0	0	0	0	0	0	0	0	0	0	입회
affinity	0	0	0	0	0	0	0	0	0	0	유연
affirm	0	0	0	0	0	0	1	0	0	1	확인하다
affirmation	0	0	0	0	0	0	1	0	0	0	확언
affirmative	0	0	0	0	0	0	1	0	0	0	긍정적
affirmatively	0	0	0	0	0	0	1	0	0	1	긍정적으로
affix	0	0	0	0	0	0	0	0	0	0	부착
afflict	0	0	0	1	0	1	0	1	0	0	괴롭히다
afflicted	0	0	0	0	0	1	0	0	0	0	고통받는
affliction	0	0	1	1	0	1	0	1	0	0	고통
affluence	0	0	0	0	1	0	1	0	0	0	풍부
affluent	0	0	0	0	0	0	1	0	0	0	풍족한
afford	0	0	0	0	0	0	1	0	0	0	형편이되다
affront	1	0	1	1	0	1	0	1	1	0	모욕
afield	0	0	0	0	0	0	0	0	0	0	멀리
afore	0	0	0	0	0	0	0	0	0	0	전에
aforementioned	0	0	0	0	0	0	0	0	0	0	앞서 말한
aforesaid	0	0	0	0	0	0	0	0	0	0	앞서 말한
afraid	0	0	0	1	0	1	0	0	0	0	두려워하는
afresh	0	0	0	0	0	0	0	0	0	0	새로이
aft	0	0	0	0	0	0	0	0	0	0	후미
aftermath	1	0	1	1	0	1	0	1	0	0	여파
afternoon	0	0	0	0	0	0	0	0	0	0	오후
aftertaste	0	0	0	0	0	1	0	0	0	0	뒷맛
afterthought	0	0	0	0	0	0	0	0	0	0	보적
aga	0	0	0	1	0	0	1	0	0	1	아가
agate	0	0	0	0	0	0	0	0	0	0	마노
age	0	0	0	0	0	0	0	0	0	0	나이
aged	0	0	0	0	0	0	0	0	0	0	늙은
agency	0	0	0	0	0	0	0	0	0	0	대행사
agent	0	0	0	0	0	0	0	0	0	0	에이전트
agglomeration	0	0	0	0	0	0	0	0	0	0	덩어리
aggravated	1	0	0	0	0	1	0	0	0	0	악화
aggravating	1	0	0	0	0	1	0	1	0	0	악화
aggravation	1	0	1	0	0	1	0	0	0	0	악화
aggregate	0	0	0	0	0	0	0	0	0	0	골재
aggregation	0	0	0	0	0	0	0	0	0	0	집합
aggression	1	0	0	1	0	1	0	0	0	0	침략
aggressive	1	0	0	1	0	1	0	0	0	0	적극적인
aggressor	1	0	0	1	0	1	0	0	0	0	침략자
aghast	0	0	1	1	0	1	0	0	1	0	깜짝 놀라
agile	0	0	0	0	0	0	1	0	0	0	기민한
agility	0	0	0	0	0	0	1	0	0	0	민첩
agitated	1	0	0	0	0	1	0	0	0	0	흥분한
agitation	1	0	0	0	0	1	0	0	0	0	동요
agnostic	0	0	0	0	0	0	0	0	0	0	불가지론자
ago	0	0	0	0	0	0	0	0	0	0	~ 전에
agonizing	0	0	0	1	0	1	0	0	0	0	고뇌하는
agony	1	0	0	1	0	1	0	1	0	0	고뇌
agree	0	0	0	0	0	0	1	0	0	0	동의하다
agreeable	0	0	0	0	0	0	1	0	0	1	기분 좋은
agreed	0	0	0	0	0	0	1	0	0	1	동의
agreeing	0	0	0	0	0	0	1	0	0	1	동의
agreement	0	0	0	0	0	0	1	0	0	1	합의
agricultural	0	0	0	0	0	0	0	0	0	0	농업
agriculture	0	0	0	0	0	0	1	0	0	0	농업
aground	0	0	0	0	0	1	0	0	0	0	좌초
agua	0	0	0	0	0	0	0	0	0	0	아구아
ahead	0	0	0	0	0	0	1	0	0	0	앞으로
aid	0	0	0	0	0	0	1	0	0	0	지원
aiding	0	0	0	0	0	0	1	0	0	0	원조
ail	0	0	0	0	0	1	0	1	0	0	괴롭히다
ailing	0	0	0	1	0	1	0	1	0	0	병든
ailment	0	0	0	0	0	0	0	0	0	0	병
aim	0	0	0	0	0	0	0	0	0	0	겨냥하다
aimless	0	0	0	0	0	1	0	0	0	0	목적 없는
air	0	0	0	0	0	0	0	0	0	0	공기
airbag	0	0	0	0	0	0	0	0	0	0	에어백
airlift	0	0	0	0	0	0	0	0	0	0	공수
airline	0	0	0	0	0	0	0	0	0	0	공기 호스
airman	0	0	0	0	0	0	0	0	0	0	비행사
airplane	0	0	0	0	0	0	0	0	0	0	비행기
airport	0	1	0	0	0	0	0	0	0	0	공항
airs	0	0	1	0	0	1	0	0	0	0	공기
airship	0	0	0	0	0	0	0	0	0	0	비행선
aisle	0	0	0	0	0	0	0	0	0	0	통로
ait	0	0	0	0	0	0	0	0	0	0	아이
ajar	0	0	0	0	0	0	0	0	0	0	조금 열려져
akin	0	0	0	0	0	0	0	0	0	1	유사
alabaster	0	0	0	0	0	0	1	0	0	0	설화 석고
alarm	0	0	0	1	0	1	0	0	1	0	경보
alarming	0	0	0	1	0	1	0	0	1	0	놀라운
alb	0	0	0	0	0	0	0	0	0	1	장백의
album	0	0	0	0	0	0	0	0	0	0	앨범
alchemy	0	0	0	0	0	0	0	0	0	0	연금술
alcohol	0	0	0	0	0	0	0	0	0	0	술
alcoholism	1	0	1	1	0	1	0	1	0	0	대주
alcove	0	0	0	0	0	0	0	0	0	0	반침
alert	0	0	0	0	0	0	0	0	0	0	알리다
alertness	0	1	0	1	0	0	1	0	1	0	경보
alerts	0	1	0	1	0	0	0	0	1	0	경고
alfalfa	0	0	0	0	0	0	0	0	0	0	자주개자리
algebra	0	0	0	0	0	0	0	0	0	0	대수학
algebraic	0	0	0	0	0	0	0	0	0	0	대수적
algorithm	0	0	0	0	0	0	0	0	0	0	연산
alibi	0	0	0	0	0	0	0	0	0	0	구실
alien	0	0	1	1	0	1	0	0	0	0	외계인
alienate	1	0	1	0	0	1	0	0	0	0	소외시키다
alienated	0	0	0	0	0	1	0	1	0	0	소외감을 느끼게하다
alienation	1	0	1	1	0	1	0	1	0	0	이질성
alight	0	0	0	0	0	0	0	0	0	0	불타고
aligned	0	0	0	0	0	0	0	0	0	0	정렬
alignment	0	0	0	0	0	0	0	0	0	0	조정
alike	0	0	0	0	0	0	0	0	0	0	서로 같은
alimentation	0	0	0	0	0	0	1	0	0	0	영양
alimony	0	0	0	0	0	1	0	0	0	0	별거 수당
aliquot	0	0	0	0	0	0	0	0	0	0	분취
alive	0	1	0	0	1	0	1	0	0	1	살아 있는
alkali	0	0	0	0	0	0	0	0	0	0	알칼리
alkaloids	0	0	0	0	0	0	0	0	0	0	알칼로이드
allay	0	0	0	0	0	0	1	0	0	0	완화
allegation	1	0	0	0	0	1	0	0	0	0	진술
allege	0	0	0	0	0	1	0	0	0	0	주장하다
alleged	0	0	0	0	0	0	0	0	0	0	주장
allegiance	0	0	0	0	0	0	1	0	0	1	충성
allegorical	0	0	0	0	0	0	0	0	0	0	우화적인
allegory	0	0	0	0	0	0	0	0	0	0	우화
allegro	0	0	0	0	0	0	1	0	0	0	알레그로
alleviate	0	0	0	0	0	0	1	0	0	0	덜다
alleviation	0	0	0	0	0	0	1	0	0	0	경감
alley	0	0	0	0	0	0	0	0	0	0	골목
alliance	0	0	0	0	0	0	0	0	0	1	동맹
allied	0	0	0	0	0	0	1	0	0	1	결연한
alligator	0	0	0	0	0	0	0	0	0	0	악어
allocate	0	0	0	0	0	0	0	0	0	0	할당하다
allocation	0	0	0	0	0	0	0	0	0	0	배당
allot	0	0	0	0	0	0	0	0	0	0	할당
allotment	0	0	0	0	0	0	0	0	0	0	할당
allowable	0	0	0	0	0	0	1	0	0	0	허용
allowance	0	0	0	0	0	0	0	0	0	0	용돈
allowed	0	0	0	0	0	0	0	0	0	0	허용된
alloy	0	0	0	0	0	0	0	0	0	0	합금
allure	0	1	0	0	1	0	1	0	1	0	매력
alluring	0	0	0	0	0	0	1	0	0	0	매혹적인
allusion	0	0	0	0	0	0	0	0	0	0	암시
alluvial	0	0	0	0	0	0	0	0	0	0	충적
ally	0	0	0	0	0	0	1	0	0	1	동맹국
almanac	0	0	0	0	0	0	0	0	0	0	달력
almighty	0	0	0	0	0	0	1	0	0	0	전능자
aloft	0	0	0	0	0	0	0	0	0	0	위에
aloha	0	1	0	0	1	0	1	0	0	0	알로하
alongside	0	0	0	0	0	0	0	0	0	0	나란히
aloof	0	0	0	0	0	1	0	0	0	0	쌀쌀한
aloud	0	0	0	0	0	0	0	0	0	0	소리 내어
alphabet	0	0	0	0	0	0	0	0	0	0	알파벳
alphabetical	0	0	0	0	0	0	0	0	0	0	알파벳순
altar	0	0	0	0	0	0	0	0	0	0	제단
alter	0	0	0	0	0	0	0	0	0	0	바꾸다
alteration	0	0	0	0	0	0	0	0	0	0	변경
altercation	1	0	0	0	0	1	0	0	0	0	언쟁
altered	0	0	0	0	0	0	0	0	0	0	변경된
alternate	0	0	0	0	0	0	0	0	0	0	번갈아 하는
alternative	0	0	0	0	0	0	0	0	0	0	대안
altitude	0	0	0	0	0	0	0	0	0	0	고도
alto	0	0	0	0	0	0	0	0	0	0	알토
altogether	0	0	0	0	0	0	0	0	0	0	전부
alumnus	0	0	0	0	0	0	0	0	0	0	학생
alveolar	0	0	0	0	0	0	0	0	0	0	폐포
amalgam	0	0	0	0	0	0	0	0	0	0	아말감
amalgamation	0	0	0	0	0	0	0	0	0	0	융합
amass	0	0	0	0	0	0	0	0	0	0	쌓다
amateur	0	0	0	0	0	0	0	0	0	0	아마추어
amaze	0	0	0	0	0	0	0	0	1	0	몹시 놀라게 하다
amazement	0	0	0	0	0	0	0	0	0	0	놀람
amazingly	0	0	0	0	1	0	1	0	1	0	놀랍게도
ambassador	0	0	0	0	0	0	1	0	0	1	대사
amber	0	0	0	0	0	0	0	0	0	0	호박색
ambient	0	0	0	0	0	0	0	0	0	0	주변
ambiguity	0	0	0	0	0	0	0	0	0	0	모호
ambiguous	0	0	0	0	0	1	0	0	0	0	모호한
ambit	0	0	0	0	0	0	0	0	0	0	범위
ambition	0	1	0	0	1	0	1	0	0	1	큰 뜻
ambitious	0	0	0	0	0	0	0	0	0	0	거창한
ambulance	0	0	0	1	0	0	0	0	0	1	구급차
ambush	1	0	0	1	0	1	0	0	1	0	매복
ameliorate	0	0	0	0	0	0	1	0	0	0	개선하다
amen	0	0	0	0	1	0	1	0	0	1	아멘
amenable	0	0	0	0	0	0	1	0	0	0	받을 수 있는
amend	0	0	0	0	0	0	1	0	0	0	개정하다
amendment	0	0	0	0	0	0	0	0	0	0	개정
amends	0	0	0	0	0	0	1	0	0	0	보상
amenity	0	0	0	0	0	0	1	0	0	0	예의
amethyst	0	0	0	0	0	0	0	0	0	0	자수정
amiable	0	0	0	0	0	0	1	0	0	0	붙임성 있는
amicable	0	0	0	0	1	0	1	0	0	0	우호적
amid	0	0	0	0	0	0	0	0	0	0	가운데에
amidst	0	0	0	0	0	0	0	0	0	0	한가운데
ammonia	0	0	1	0	0	0	0	0	0	0	암모니아
ammunition	0	0	0	0	0	0	0	0	0	0	탄약
amnesia	0	0	0	0	0	1	0	0	0	0	기억력 상실
amnesty	0	0	0	0	1	0	1	0	0	0	특사
amorphous	0	0	0	0	0	0	0	0	0	0	무정형
amortization	0	0	0	0	0	0	0	0	0	1	상각
amount	0	0	0	0	0	0	0	0	0	0	양
amour	0	1	0	0	1	0	1	0	0	1	정사
ampersand	0	0	0	0	0	0	0	0	0	0	앰퍼샌드
amphetamines	0	0	1	0	0	1	0	0	0	0	암페타민
amphibian	0	0	0	0	0	0	0	0	0	0	수륙 양용 비행기
amphibious	0	0	0	0	0	0	0	0	0	0	수륙 양용
amphitheater	0	0	0	0	0	0	0	0	0	0	원형 극장
amplification	0	0	0	0	0	0	0	0	0	0	확대
amplify	0	0	0	0	0	0	0	0	0	0	더욱 상세히하다
amplitude	0	0	0	0	0	0	0	0	0	0	진폭
amply	0	0	0	0	0	0	0	0	0	0	충분히
amputation	0	0	0	0	0	0	0	0	0	0	절단
amulet	0	0	0	0	0	0	0	0	0	0	부적
amuse	0	0	0	0	1	0	1	0	0	0	기쁘게하다
amused	0	0	0	0	1	0	1	0	0	0	즐기는
amusement	0	0	0	0	1	0	1	0	0	0	즐거움
amusing	0	0	0	0	1	0	1	0	0	0	즐거움
ana	0	0	0	0	0	0	0	0	0	0	어록
anaconda	0	0	1	1	0	1	0	0	0	0	아나콘다
anaesthesia	0	0	0	0	0	0	0	0	0	0	마취
anaesthetic	0	0	0	0	0	0	0	0	0	0	마취제
anal	0	0	0	0	0	1	0	0	0	0	항문
analgesic	0	0	0	0	0	0	0	0	0	0	진통제
analogous	0	0	0	0	0	0	0	0	0	0	유사한
analogue	0	0	0	0	0	0	0	0	0	0	비슷한 물건
analogy	0	0	0	0	0	0	0	0	0	0	유추
