English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Chichewa Word
accomplishment	0	0	0	0	0	0	1	0	0	0	kukwaniritsa
accord	0	0	0	0	0	0	1	0	0	1	mogwirizana
accordance	0	0	0	0	0	0	0	0	0	0	mogwirizana
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	akaunti
accountability	0	0	0	0	0	0	1	0	0	1	kuyankha
accountable	0	0	0	0	0	0	1	0	0	1	woyankha
accountant	0	0	0	0	0	0	0	0	0	1	wowerengera ndalama
accounting	0	0	0	0	0	0	0	0	0	0	kuwerengera ndalama
accounts	0	0	0	0	0	0	0	0	0	1	akaunti
accredited	0	0	0	0	0	0	1	0	0	1	ovomerezeka
accretion	0	0	0	0	0	0	0	0	0	0	kuchulukitsa
accrue	0	0	0	0	0	0	0	0	0	0	onjezera
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	sonkhanitsa
accumulation	0	0	0	0	0	0	0	0	0	0	kudzikundikira
accuracy	0	0	0	0	0	0	0	0	0	0	kulondola
accurate	0	0	0	0	0	0	1	0	0	1	zolondola
accursed	1	0	0	1	0	1	0	1	0	0	wotembereredwa
accusation	1	0	1	0	0	1	0	0	0	0	mlandu
accusative	0	0	0	0	0	1	0	0	0	0	woneneza
accused	1	0	0	1	0	1	0	0	0	0	woimbidwa mlandu
accuser	1	0	0	1	0	1	0	0	0	0	woneneza
accusing	1	0	0	1	0	1	0	0	0	0	kuimba mlandu
accustomed	0	0	0	0	0	0	0	0	0	0	anazolowera
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	ululu
achieve	0	0	0	0	1	0	1	0	0	1	kukwaniritsa
achievement	0	1	0	0	1	0	1	0	0	1	kupindula
aching	0	0	0	0	0	1	0	1	0	0	kupweteka
acid	0	0	0	0	0	1	0	0	0	0	asidi
acidity	0	0	0	0	0	0	0	0	0	0	acidity
acknowledge	0	0	0	0	0	0	0	0	0	0	vomereza
acknowledged	0	0	0	0	0	0	0	0	0	0	anavomereza
acknowledgment	0	0	0	0	0	0	1	0	0	0	kuvomereza
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	kwamayimbidwe
acoustics	0	0	0	0	0	0	0	0	0	0	mawu omvera
acquaint	0	0	0	0	0	0	0	0	0	0	dziwani
acquaintance	0	0	0	0	0	0	0	0	0	0	kudziwana
acquainted	0	0	0	0	0	0	0	0	0	0	wodziwa
acquiescence	0	0	0	0	0	0	0	0	0	0	kuvomereza
acquire	0	0	0	0	0	0	1	0	0	0	kupeza
acquiring	0	1	0	0	0	0	1	0	0	0	kupeza
acquisition	0	0	0	0	0	0	0	0	0	0	kupeza
acquisitions	0	0	0	0	0	0	0	0	0	0	zogula
acreage	0	0	0	0	0	0	0	0	0	0	acreage
acres	0	0	0	0	0	0	0	0	0	0	maekala
acrobat	0	0	0	1	1	0	1	0	0	1	masewera acrobat
act	0	0	0	0	0	0	0	0	0	0	chitani
acting	0	0	0	0	0	0	0	0	0	0	kuchita
action	0	0	0	0	0	0	1	0	0	0	zochita
actionable	1	0	1	0	0	1	0	0	0	0	zotheka
active	0	0	0	0	0	0	0	0	0	0	yogwira
activity	0	0	0	0	0	0	0	0	0	0	ntchito
actor	0	0	0	0	0	0	0	0	0	0	wosewera
actual	0	0	0	0	0	0	1	0	0	0	zenizeni
actuality	0	0	0	0	0	0	0	0	0	0	zenizeni
actuary	0	0	0	0	0	0	0	0	0	0	akatswiri
acuity	0	0	0	0	0	0	1	0	0	0	mphamvu
acumen	0	0	0	0	0	0	1	0	0	0	acumeni
acupuncture	0	0	0	0	0	0	0	0	0	0	kutema mphini
acutely	0	0	0	0	0	0	0	0	0	0	mwachangu
adage	0	0	0	0	0	0	0	0	0	0	mwambi
adamant	0	0	0	0	0	0	0	0	0	0	wosasunthika
adapt	0	0	0	0	0	0	1	0	0	0	sinthani
adaptable	0	0	0	0	0	0	1	0	0	0	wosinthika
add	0	0	0	0	0	0	0	0	0	0	onjezani
added	0	0	0	0	0	0	0	0	0	0	anawonjezera
addendum	0	0	0	0	0	0	0	0	0	0	kuwonjezera
adder	1	0	1	1	0	1	0	1	0	0	adder
addiction	0	0	0	0	0	1	0	0	0	0	kuledzera
addition	0	0	0	0	0	0	0	0	0	0	kuwonjezera
additional	0	0	0	0	0	0	0	0	0	0	zowonjezera
additive	0	0	0	0	0	0	0	0	0	0	chowonjezera
address	0	0	0	0	0	0	0	0	0	0	adilesi
addressee	0	0	0	0	0	0	0	0	0	0	wolemba
addresses	0	1	0	0	0	0	1	0	0	0	ma adilesi
adept	0	0	0	0	0	0	1	0	0	0	wodziwa
adequacy	0	0	0	0	0	0	1	0	0	0	kukwanira
adequate	0	0	0	0	0	0	0	0	0	0	zokwanira
adhere	0	0	0	0	0	0	0	0	0	0	kutsatira
adherence	0	0	0	0	0	0	0	0	0	0	kutsatira
adherent	0	0	0	0	0	0	0	0	0	0	wotsatira
adhering	0	0	0	0	0	0	0	0	0	1	kutsatira
adhesion	0	0	0	0	0	0	0	0	0	0	kumamatira
adhesive	0	0	0	0	0	0	0	0	0	0	zomatira
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	kuyandikana
adjacent	0	0	0	0	0	0	0	0	0	0	moyandikana
adjective	0	0	0	0	0	0	0	0	0	0	mlongosoledwe
adjoining	0	0	0	0	0	0	0	0	0	0	moyandikana
adjourn	0	0	0	0	0	0	0	0	0	0	sintha
adjournment	0	0	0	0	0	0	0	0	0	0	kuchedwetsa
adjudicate	0	0	0	1	0	1	0	0	0	0	weruza
adjudication	0	0	0	0	0	0	0	0	0	0	chigamulo
adjunct	0	0	0	0	0	0	1	0	0	0	chowonjezera
adjust	0	0	0	0	0	0	0	0	0	0	sinthani
adjustment	0	0	0	0	0	0	0	0	0	0	kusintha
adjuvant	0	0	0	0	0	0	0	0	0	0	wothandizira
administer	0	0	0	0	0	0	0	0	0	0	yendetsa
administration	0	0	0	0	0	0	0	0	0	0	utsogoleri
administrative	0	0	0	0	0	0	0	0	0	1	utsogoleri
admirable	0	0	0	0	1	0	1	0	0	1	chosiririka
admiral	0	0	0	0	0	0	1	0	0	1	wolamulira
admiralty	0	0	0	0	0	0	0	0	0	0	admiralty
admiration	0	0	0	0	1	0	1	0	0	1	kusilira
admire	0	0	0	0	0	0	1	0	0	1	kusilira
admirer	0	0	0	0	0	0	1	0	0	0	wosilira
admissibility	0	0	0	0	0	0	0	0	0	0	kuloledwa
admissible	0	0	0	0	0	0	1	0	0	1	zovomerezeka
admission	0	0	0	0	0	0	0	0	0	0	kuloledwa
admit	0	0	0	0	0	0	0	0	0	0	vomereza
admittance	0	0	0	0	0	0	0	0	0	0	kuloledwa
admitted	0	0	0	0	0	0	0	0	0	0	adavomereza
admitting	0	0	0	0	0	0	0	0	0	0	kuvomereza
admixture	0	0	0	0	0	0	0	0	0	0	kuphatikiza
admonition	0	0	0	1	0	1	0	0	0	0	chenjezo
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	unyamata
adolescent	0	0	0	0	0	0	0	0	0	0	wachinyamata
adopt	0	0	0	0	0	0	0	0	0	0	kutengera
adoption	0	0	0	0	0	0	0	0	0	0	kulera ana
adorable	0	0	0	0	1	0	1	0	0	0	wokongola
adoration	0	0	0	0	1	0	1	0	0	1	kupembedza
adore	0	1	0	0	1	0	1	0	0	1	kupembedza
adorn	0	0	0	0	0	0	0	0	0	0	kongoletsa
adornment	0	0	0	0	0	0	0	0	0	0	kukongoletsa
adrift	0	1	0	1	0	1	0	1	0	0	kuthamangitsidwa
adult	0	0	0	0	0	0	0	0	0	0	wamkulu
adulterated	0	0	0	0	0	1	0	0	0	0	woipitsidwa
adultery	0	0	1	0	0	1	0	1	0	0	chigololo
advance	0	1	0	1	1	0	1	0	1	0	patsogolo
advanced	0	0	0	0	0	0	1	0	0	0	patsogolo
advancement	0	0	0	0	0	0	1	0	0	0	kupita patsogolo
advancing	0	0	0	0	0	0	0	0	0	0	kupita patsogolo
advantage	0	0	0	0	0	0	1	0	0	0	mwayi
advantageous	0	0	0	0	0	0	1	0	0	0	zopindulitsa
advent	0	1	0	0	1	0	1	0	0	1	kubwera
adventure	0	1	0	0	0	0	1	0	0	0	ulendo
adventurer	0	0	0	0	0	0	0	0	0	0	wokonda
adventurous	0	0	0	0	0	0	1	0	0	0	wofuna
adversary	1	0	0	0	0	1	0	0	0	0	mdani
adverse	1	0	1	1	0	1	0	1	0	0	wotsutsa
adversity	1	0	0	1	0	1	0	1	0	0	mavuto
advertise	0	0	0	0	0	0	0	0	0	0	lengezani
advertisement	0	0	0	0	0	0	0	0	0	0	kutsatsa
advice	0	0	0	0	0	0	0	0	0	1	malangizo
advisable	0	0	0	0	0	0	1	0	0	1	zomveka
advise	0	0	0	0	0	0	1	0	0	1	langizani
advised	0	0	0	0	0	0	0	0	0	1	analangiza
advisement	0	0	0	0	0	0	0	0	0	0	malangizo
adviser	0	0	0	0	0	0	1	0	0	1	mlangizi
advocacy	1	1	0	0	1	0	1	0	0	1	kulimbikitsa
advocate	0	0	0	0	0	0	0	0	0	1	limbikitsa
aegis	0	0	0	0	0	0	0	0	0	0	ayi
aeration	0	0	0	0	0	0	0	0	0	0	mpweya
aerial	0	0	0	0	0	0	0	0	0	0	mlengalenga
aerodrome	0	0	0	0	0	0	0	0	0	0	bwalo la ndege
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	za ndege
aeroplane	0	0	0	0	0	0	0	0	0	0	ndege
aesthetic	0	0	0	0	0	0	1	0	0	0	zokongola
aesthetics	0	0	0	0	1	0	1	0	0	0	zokongola
aetiology	0	0	0	0	0	0	0	0	0	0	etiology
afar	0	0	0	0	0	0	0	0	0	0	kutali
affable	0	0	0	0	0	0	1	0	0	0	wokoma mtima
affair	0	0	0	0	0	0	0	0	0	0	nkhani
affecting	0	0	0	0	0	0	0	0	0	0	kukhudza
affection	0	0	0	0	1	0	1	0	0	1	chikondi
affections	0	0	0	0	0	0	0	0	0	0	zokonda
affiche	0	0	0	0	0	0	0	0	0	0	afiche
affidavit	0	0	0	0	0	0	0	0	0	0	affidaviti
affiliated	0	0	0	0	0	0	1	0	0	0	ogwirizana
affiliation	0	0	0	0	0	0	0	0	0	0	chiyanjano
affinity	0	0	0	0	0	0	0	0	0	0	chiyanjano
affirm	0	0	0	0	0	0	1	0	0	1	tsimikizira
affirmation	0	0	0	0	0	0	1	0	0	0	chitsimikizo
affirmative	0	0	0	0	0	0	1	0	0	0	wotsimikiza
affirmatively	0	0	0	0	0	0	1	0	0	1	motsimikiza
affix	0	0	0	0	0	0	0	0	0	0	phatikiza
afflict	0	0	0	1	0	1	0	1	0	0	vutitsa
afflicted	0	0	0	0	0	1	0	0	0	0	osautsidwa
affliction	0	0	1	1	0	1	0	1	0	0	mazunzo
affluence	0	0	0	0	1	0	1	0	0	0	kulemera
affluent	0	0	0	0	0	0	1	0	0	0	wolemera
afford	0	0	0	0	0	0	1	0	0	0	kukwanitsa
affront	1	0	1	1	0	1	0	1	1	0	kunyoza
afield	0	0	0	0	0	0	0	0	0	0	kumtunda
afore	0	0	0	0	0	0	0	0	0	0	patsogolo
aforementioned	0	0	0	0	0	0	0	0	0	0	zomwe tatchulazi
aforesaid	0	0	0	0	0	0	0	0	0	0	zanenedwa
afraid	0	0	0	1	0	1	0	0	0	0	mantha
afresh	0	0	0	0	0	0	0	0	0	0	mwatsopano
aft	0	0	0	0	0	0	0	0	0	0	pambuyo
aftermath	1	0	1	1	0	1	0	1	0	0	zotsatira
afternoon	0	0	0	0	0	0	0	0	0	0	madzulo
aftertaste	0	0	0	0	0	1	0	0	0	0	pambuyo kukoma
afterthought	0	0	0	0	0	0	0	0	0	0	pambuyo pake
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	zaka
aged	0	0	0	0	0	0	0	0	0	0	wokalamba
agency	0	0	0	0	0	0	0	0	0	0	bungwe
agent	0	0	0	0	0	0	0	0	0	0	wothandizira
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomeration
aggravated	1	0	0	0	0	1	0	0	0	0	kulira
aggravating	1	0	0	0	0	1	0	1	0	0	kukulitsa
aggravation	1	0	1	0	0	1	0	0	0	0	kukulitsa
aggregate	0	0	0	0	0	0	0	0	0	0	kuphatikiza
aggregation	0	0	0	0	0	0	0	0	0	0	kusonkhanitsa
aggression	1	0	0	1	0	1	0	0	0	0	chiwawa
aggressive	1	0	0	1	0	1	0	0	0	0	mwaukali
aggressor	1	0	0	1	0	1	0	0	0	0	wankhanza
aghast	0	0	1	1	0	1	0	0	1	0	mantha
agile	0	0	0	0	0	0	1	0	0	0	agile
agility	0	0	0	0	0	0	1	0	0	0	luso
agitated	1	0	0	0	0	1	0	0	0	0	wokwiya
agitation	1	0	0	0	0	1	0	0	0	0	chipwirikiti
agnostic	0	0	0	0	0	0	0	0	0	0	agnostic
ago	0	0	0	0	0	0	0	0	0	0	zapitazo
agonizing	0	0	0	1	0	1	0	0	0	0	zowawa
agony	1	0	0	1	0	1	0	1	0	0	ululu
agree	0	0	0	0	0	0	1	0	0	0	vomerezani
agreeable	0	0	0	0	0	0	1	0	0	1	chovomerezeka
agreed	0	0	0	0	0	0	1	0	0	1	anavomera
agreeing	0	0	0	0	0	0	1	0	0	1	kuvomereza
agreement	0	0	0	0	0	0	1	0	0	1	mgwirizano
agricultural	0	0	0	0	0	0	0	0	0	0	zaulimi
agriculture	0	0	0	0	0	0	1	0	0	0	ulimi
aground	0	0	0	0	0	1	0	0	0	0	pansi
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	patsogolo
aid	0	0	0	0	0	0	1	0	0	0	thandizo
aiding	0	0	0	0	0	0	1	0	0	0	kuthandiza
ail	0	0	0	0	0	1	0	1	0	0	ayi
ailing	0	0	0	1	0	1	0	1	0	0	odwala
ailment	0	0	0	0	0	0	0	0	0	0	matenda
aim	0	0	0	0	0	0	0	0	0	0	cholinga
aimless	0	0	0	0	0	1	0	0	0	0	opanda cholinga
air	0	0	0	0	0	0	0	0	0	0	mpweya
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	kukwera ndege
airline	0	0	0	0	0	0	0	0	0	0	ndege
airman	0	0	0	0	0	0	0	0	0	0	woyendetsa ndege
airplane	0	0	0	0	0	0	0	0	0	0	ndege
airport	0	1	0	0	0	0	0	0	0	0	eyapoti
airs	0	0	1	0	0	1	0	0	0	0	mpweya
airship	0	0	0	0	0	0	0	0	0	0	ndege
aisle	0	0	0	0	0	0	0	0	0	0	modutsa
ait	0	0	0	0	0	0	0	0	0	0	ayi
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	mofananira
alabaster	0	0	0	0	0	0	1	0	0	0	alabasitala
alarm	0	0	0	1	0	1	0	0	1	0	alamu
alarming	0	0	0	1	0	1	0	0	1	0	zoopsa
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchemy
alcohol	0	0	0	0	0	0	0	0	0	0	mowa
alcoholism	1	0	1	1	0	1	0	1	0	0	uchidakwa
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	tcheru
alertness	0	1	0	1	0	0	1	0	1	0	tcheru
alerts	0	1	0	1	0	0	0	0	1	0	zidziwitso
alfalfa	0	0	0	0	0	0	0	0	0	0	nyemba
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	zolembalemba
algorithm	0	0	0	0	0	0	0	0	0	0	algorithm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	mlendo
alienate	1	0	1	0	0	1	0	0	0	0	kulekanitsa
alienated	0	0	0	0	0	1	0	1	0	0	otalikitsidwa
alienation	1	0	1	1	0	1	0	1	0	0	kulekanitsidwa
alight	0	0	0	0	0	0	0	0	0	0	kuwala
aligned	0	0	0	0	0	0	0	0	0	0	zogwirizana
alignment	0	0	0	0	0	0	0	0	0	0	kulinganiza
alike	0	0	0	0	0	0	0	0	0	0	chimodzimodzi
alimentation	0	0	0	0	0	0	1	0	0	0	kudya
alimony	0	0	0	0	0	1	0	0	0	0	alimony
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	moyo
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	zonse
allegation	1	0	0	0	0	1	0	0	0	0	mlandu
allege	0	0	0	0	0	1	0	0	0	0	kunena
alleged	0	0	0	0	0	0	0	0	0	0	akuti
allegiance	0	0	0	0	0	0	1	0	0	1	kukhulupirika
allegorical	0	0	0	0	0	0	0	0	0	0	ophiphiritsa
allegory	0	0	0	0	0	0	0	0	0	0	fanizo
allegro	0	0	0	0	0	0	1	0	0	0	zonse
alleviate	0	0	0	0	0	0	1	0	0	0	chepetsa
alleviation	0	0	0	0	0	0	1	0	0	0	kuchepetsa
alley	0	0	0	0	0	0	0	0	0	0	njira
alliance	0	0	0	0	0	0	0	0	0	1	mgwirizano
allied	0	0	0	0	0	0	1	0	0	1	ogwirizana
alligator	0	0	0	0	0	0	0	0	0	0	ng'ombe
allocate	0	0	0	0	0	0	0	0	0	0	perekani
allocation	0	0	0	0	0	0	0	0	0	0	kugawa
allot	0	0	0	0	0	0	0	0	0	0	gawo
allotment	0	0	0	0	0	0	0	0	0	0	gawo
allowable	0	0	0	0	0	0	1	0	0	0	zololeka
allowance	0	0	0	0	0	0	0	0	0	0	chilolezo
allowed	0	0	0	0	0	0	0	0	0	0	kuloledwa
alloy	0	0	0	0	0	0	0	0	0	0	aloyi
allure	0	1	0	0	1	0	1	0	1	0	kukopa
alluring	0	0	0	0	0	0	1	0	0	0	zokopa
allusion	0	0	0	0	0	0	0	0	0	0	kufotokoza
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	ally
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	wamphamvuyonse
aloft	0	0	0	0	0	0	0	0	0	0	pamwamba
aloha	0	1	0	0	1	0	1	0	0	0	lowa
alongside	0	0	0	0	0	0	0	0	0	0	pambali
aloof	0	0	0	0	0	1	0	0	0	0	kutali
aloud	0	0	0	0	0	0	0	0	0	0	mokweza
alphabet	0	0	0	0	0	0	0	0	0	0	zilembo
alphabetical	0	0	0	0	0	0	0	0	0	0	zilembo
altar	0	0	0	0	0	0	0	0	0	0	guwa
alter	0	0	0	0	0	0	0	0	0	0	sintha
alteration	0	0	0	0	0	0	0	0	0	0	kusintha
altercation	1	0	0	0	0	1	0	0	0	0	kukangana
altered	0	0	0	0	0	0	0	0	0	0	zasinthidwa
alternate	0	0	0	0	0	0	0	0	0	0	sinthani
alternative	0	0	0	0	0	0	0	0	0	0	njira ina
altitude	0	0	0	0	0	0	0	0	0	0	kutalika
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	palimodzi
alumnus	0	0	0	0	0	0	0	0	0	0	ophunzira
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	pamodzi
amalgamation	0	0	0	0	0	0	0	0	0	0	kuphatikiza
amass	0	0	0	0	0	0	0	0	0	0	amass
amateur	0	0	0	0	0	0	0	0	0	0	wachinyamata
amaze	0	0	0	0	0	0	0	0	1	0	zodabwitsa
amazement	0	0	0	0	0	0	0	0	0	0	chozizwa
amazingly	0	0	0	0	1	0	1	0	1	0	modabwitsa
ambassador	0	0	0	0	0	0	1	0	0	1	kazembe
amber	0	0	0	0	0	0	0	0	0	0	maluwa
ambient	0	0	0	0	0	0	0	0	0	0	wozungulira
ambiguity	0	0	0	0	0	0	0	0	0	0	kusamveka bwino
ambiguous	0	0	0	0	0	1	0	0	0	0	wosamvetsetseka
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	chilakolako
ambitious	0	0	0	0	0	0	0	0	0	0	wofuna kutchuka
ambulance	0	0	0	1	0	0	0	0	0	1	ambulansi
ambush	1	0	0	1	0	1	0	0	1	0	kubisalira
ameliorate	0	0	0	0	0	0	1	0	0	0	kulimbitsa
amen	0	0	0	0	1	0	1	0	0	1	amene
amenable	0	0	0	0	0	0	1	0	0	0	chovomerezeka
amend	0	0	0	0	0	0	1	0	0	0	sintha
amendment	0	0	0	0	0	0	0	0	0	0	kusintha
amends	0	0	0	0	0	0	1	0	0	0	amakonza
amenity	0	0	0	0	0	0	1	0	0	0	zabwino
amethyst	0	0	0	0	0	0	0	0	0	0	amethyst
amiable	0	0	0	0	0	0	1	0	0	0	wokondeka
amicable	0	0	0	0	1	0	1	0	0	0	mwamtendere
amid	0	0	0	0	0	0	0	0	0	0	pakati
amidst	0	0	0	0	0	0	0	0	0	0	pakati
ammonia	0	0	1	0	0	0	0	0	0	0	ammonia
ammunition	0	0	0	0	0	0	0	0	0	0	zida
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	chikhululukiro
