English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Bengali Word
abovementioned	0	0	0	0	0	0	1	0	0	0	উপর্যুক্ত
abrasion	0	0	0	0	0	1	0	0	0	0	ঘর্ষণ
abroad	0	0	0	0	0	0	0	0	0	0	বিদেশে
abrogate	0	0	0	0	0	1	0	0	0	0	বাতিল করা
abrupt	0	0	0	0	0	0	0	0	1	0	আকস্মিক
abruptly	0	0	0	0	0	0	0	0	0	0	হঠাৎ
abscess	0	0	0	0	0	1	0	1	0	0	ফোড়া
absence	0	0	0	1	0	1	0	1	0	0	অনুপস্থিতি
absent	0	0	0	0	0	1	0	1	0	0	অনুপস্থিত
absentee	0	0	0	0	0	1	0	1	0	0	অনুপস্থিত
absenteeism	0	0	0	0	0	1	0	0	0	0	অনুপস্থিতি
absinthe	0	0	0	0	0	0	0	0	0	0	অ্যাবসিন্থে
absolute	0	0	0	0	0	0	1	0	0	0	পরম
absolution	0	0	0	0	1	0	1	0	0	1	মুক্তি
absorbed	0	0	0	0	0	0	1	0	0	0	শোষিত
absorbent	0	0	0	0	0	0	0	0	0	0	শোষক
absorbing	0	0	0	0	0	0	0	0	0	0	শোষণকারী
absorption	0	0	0	0	0	0	0	0	0	0	শোষণ
abstain	0	0	0	0	0	0	0	0	0	0	বিরত থাকা
abstention	0	0	0	0	0	0	0	0	0	0	বিরত থাকা
abstinence	0	0	0	0	0	0	0	0	0	0	বিরত থাকা
abstract	0	0	0	0	0	0	0	0	0	0	বিমূর্ত
abstraction	0	0	0	0	0	0	0	0	0	0	বিমূর্ততা
absurd	0	0	0	0	0	1	0	0	0	0	অযৌক্তিক
absurdity	0	0	0	0	0	1	0	0	0	0	অযৌক্তিকতা
abundance	0	1	1	0	1	1	1	0	0	1	প্রাচুর্য
abundant	0	0	0	0	1	0	1	0	0	0	প্রচুর
abuse	1	0	1	1	0	1	0	1	0	0	অপব্যবহার
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	অতল
abyss	0	0	0	1	0	1	0	1	0	0	অতল
academic	0	0	0	0	0	0	1	0	0	1	একাডেমিক
academy	0	0	0	0	0	0	1	0	0	0	একাডেমি
accede	0	0	0	0	0	0	0	0	0	0	স্বীকার করা
accelerate	0	1	0	0	0	0	0	0	0	0	ত্বরান্বিত করা
acceleration	0	0	0	0	0	0	0	0	0	0	ত্বরণ
accent	0	0	0	0	0	0	0	0	0	0	উচ্চারণ
accentuate	0	0	0	0	0	0	0	0	0	0	উচ্চারণ করা
accept	0	0	0	0	0	0	0	0	0	0	গ্রহণ
acceptable	0	0	0	0	0	0	1	0	0	0	গ্রহণযোগ্য
acceptance	0	0	0	0	0	0	1	0	0	0	গ্রহণযোগ্যতা
access	0	0	0	0	0	0	0	0	0	0	অ্যাক্সেস
accessible	0	0	0	0	0	0	1	0	0	0	অ্যাক্সেসযোগ্য
accession	0	0	0	0	0	0	0	0	0	0	যোগদান
accessory	0	0	0	0	0	0	0	0	0	0	আনুষঙ্গিক
accident	0	0	0	1	0	1	0	1	1	0	দুর্ঘটনা
accidental	0	0	0	1	0	1	0	0	1	0	আকস্মিক
accidentally	0	0	0	0	0	0	0	0	1	0	দুর্ঘটনাক্রমে
accolade	0	1	0	0	1	0	1	0	1	1	প্রশংসা
accommodate	0	0	0	0	0	0	0	0	0	0	মিটমাট করা
accommodation	0	0	0	0	0	0	1	0	0	0	বাসস্থান
accompaniment	0	1	0	0	1	0	1	0	0	1	অনুষঙ্গী
accompany	0	0	0	0	0	0	0	0	0	0	সঙ্গে
accompanying	0	0	0	0	0	0	0	0	0	0	সহগামী
accomplice	0	0	0	0	0	0	0	0	0	0	সহযোগী
accomplish	0	0	0	0	1	0	1	0	0	0	সম্পন্ন করা
accomplished	0	0	0	0	1	0	1	0	0	0	সম্পন্ন
accomplishment	0	0	0	0	0	0	1	0	0	0	সিদ্ধি
accord	0	0	0	0	0	0	1	0	0	1	চুক্তি
accordance	0	0	0	0	0	0	0	0	0	0	অনুযায়ী
accordion	0	0	0	0	0	0	0	0	0	0	অ্যাকর্ডিয়ন
account	0	0	0	0	0	0	0	0	0	1	অ্যাকাউন্ট
accountability	0	0	0	0	0	0	1	0	0	1	দায়িত্ব
accountable	0	0	0	0	0	0	1	0	0	1	দায়ী
accountant	0	0	0	0	0	0	0	0	0	1	হিসাবরক্ষক
accounting	0	0	0	0	0	0	0	0	0	0	অ্যাকাউন্টিং
accounts	0	0	0	0	0	0	0	0	0	1	হিসাব
accredited	0	0	0	0	0	0	1	0	0	1	স্বীকৃত
accretion	0	0	0	0	0	0	0	0	0	0	বৃদ্ধি
accrue	0	0	0	0	0	0	0	0	0	0	জমা
accueil	0	0	0	0	0	0	1	0	0	0	accuil
accumulate	0	0	0	0	0	0	0	0	0	0	জমা করা
accumulation	0	0	0	0	0	0	0	0	0	0	সঞ্চয়
accuracy	0	0	0	0	0	0	0	0	0	0	সঠিকতা
accurate	0	0	0	0	0	0	1	0	0	1	সঠিক
accursed	1	0	0	1	0	1	0	1	0	0	অভিশপ্ত
accusation	1	0	1	0	0	1	0	0	0	0	অভিযোগ
accusative	0	0	0	0	0	1	0	0	0	0	অভিযুক্ত
accused	1	0	0	1	0	1	0	0	0	0	অভিযুক্ত
accuser	1	0	0	1	0	1	0	0	0	0	অভিযুক্ত
accusing	1	0	0	1	0	1	0	0	0	0	অভিযুক্ত
accustomed	0	0	0	0	0	0	0	0	0	0	অভ্যস্ত
ace	0	0	0	0	0	0	1	0	0	0	টেক্কা
acetic	0	0	0	0	0	0	0	0	0	0	অ্যাসিটিক
ache	0	0	0	0	0	1	0	1	0	0	ব্যথা
achieve	0	0	0	0	1	0	1	0	0	1	অর্জন
achievement	0	1	0	0	1	0	1	0	0	1	অর্জন
aching	0	0	0	0	0	1	0	1	0	0	ধরা
acid	0	0	0	0	0	1	0	0	0	0	অ্যাসিড
acidity	0	0	0	0	0	0	0	0	0	0	অম্লতা
acknowledge	0	0	0	0	0	0	0	0	0	0	স্বীকার
acknowledged	0	0	0	0	0	0	0	0	0	0	স্বীকৃত
acknowledgment	0	0	0	0	0	0	1	0	0	0	স্বীকৃতি
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	শাব্দিক
acoustics	0	0	0	0	0	0	0	0	0	0	ধ্বনিবিদ্যা
acquaint	0	0	0	0	0	0	0	0	0	0	পরিচিত
acquaintance	0	0	0	0	0	0	0	0	0	0	পরিচিতি
acquainted	0	0	0	0	0	0	0	0	0	0	পরিচিত
acquiescence	0	0	0	0	0	0	0	0	0	0	সম্মতি
acquire	0	0	0	0	0	0	1	0	0	0	অর্জন
acquiring	0	1	0	0	0	0	1	0	0	0	অর্জন
acquisition	0	0	0	0	0	0	0	0	0	0	অধিগ্রহণ
acquisitions	0	0	0	0	0	0	0	0	0	0	অধিগ্রহণ
acreage	0	0	0	0	0	0	0	0	0	0	একরজ
acres	0	0	0	0	0	0	0	0	0	0	একর
acrobat	0	0	0	1	1	0	1	0	0	1	অ্যাক্রোব্যাট
act	0	0	0	0	0	0	0	0	0	0	আইন
acting	0	0	0	0	0	0	0	0	0	0	অভিনয়
action	0	0	0	0	0	0	1	0	0	0	কর্ম
actionable	1	0	1	0	0	1	0	0	0	0	কর্মযোগ্য
active	0	0	0	0	0	0	0	0	0	0	সক্রিয়
activity	0	0	0	0	0	0	0	0	0	0	কার্যকলাপ
actor	0	0	0	0	0	0	0	0	0	0	অভিনেতা
actual	0	0	0	0	0	0	1	0	0	0	আসল
actuality	0	0	0	0	0	0	0	0	0	0	বাস্তবতা
actuary	0	0	0	0	0	0	0	0	0	0	অ্যাকচুয়ারি
acuity	0	0	0	0	0	0	1	0	0	0	তীক্ষ্ণতা
acumen	0	0	0	0	0	0	1	0	0	0	কুশলতা
acupuncture	0	0	0	0	0	0	0	0	0	0	আকুপাংচার
acutely	0	0	0	0	0	0	0	0	0	0	তীব্রভাবে
adage	0	0	0	0	0	0	0	0	0	0	প্রবাদ
adamant	0	0	0	0	0	0	0	0	0	0	অনমনীয়
adapt	0	0	0	0	0	0	1	0	0	0	মানিয়ে নেওয়া
adaptable	0	0	0	0	0	0	1	0	0	0	অভিযোজিত
add	0	0	0	0	0	0	0	0	0	0	যোগ করুন
added	0	0	0	0	0	0	0	0	0	0	যোগ করা হয়েছে
addendum	0	0	0	0	0	0	0	0	0	0	সংযোজন
adder	1	0	1	1	0	1	0	1	0	0	যোগকারী
addiction	0	0	0	0	0	1	0	0	0	0	অনুরতি
addition	0	0	0	0	0	0	0	0	0	0	সংযোজন
additional	0	0	0	0	0	0	0	0	0	0	অতিরিক্ত
additive	0	0	0	0	0	0	0	0	0	0	সংযোজনকারী
address	0	0	0	0	0	0	0	0	0	0	ঠিকানা
addressee	0	0	0	0	0	0	0	0	0	0	ঠিকানা
addresses	0	1	0	0	0	0	1	0	0	0	ঠিকানা
adept	0	0	0	0	0	0	1	0	0	0	পারদর্শী
adequacy	0	0	0	0	0	0	1	0	0	0	পর্যাপ্ততা
adequate	0	0	0	0	0	0	0	0	0	0	পর্যাপ্ত
adhere	0	0	0	0	0	0	0	0	0	0	মেনে চলা
adherence	0	0	0	0	0	0	0	0	0	0	আনুগত্য
adherent	0	0	0	0	0	0	0	0	0	0	অনুগত
adhering	0	0	0	0	0	0	0	0	0	1	adhering
adhesion	0	0	0	0	0	0	0	0	0	0	আনুগত্য
adhesive	0	0	0	0	0	0	0	0	0	0	আঠালো
adieu	0	0	0	0	0	0	0	0	0	0	বিদায়
adipose	0	0	0	0	0	1	0	0	0	0	চর্বিযুক্ত
adjacency	0	0	0	0	0	0	0	0	0	0	সংলগ্নতা
adjacent	0	0	0	0	0	0	0	0	0	0	সংলগ্ন
adjective	0	0	0	0	0	0	0	0	0	0	বিশেষণ
adjoining	0	0	0	0	0	0	0	0	0	0	সংলগ্ন
adjourn	0	0	0	0	0	0	0	0	0	0	স্থগিত করা
adjournment	0	0	0	0	0	0	0	0	0	0	স্থগিত
adjudicate	0	0	0	1	0	1	0	0	0	0	বিচার করা
adjudication	0	0	0	0	0	0	0	0	0	0	বিচার
adjunct	0	0	0	0	0	0	1	0	0	0	সংযোজন
adjust	0	0	0	0	0	0	0	0	0	0	সামঞ্জস্য করা
adjustment	0	0	0	0	0	0	0	0	0	0	সমন্বয়
adjuvant	0	0	0	0	0	0	0	0	0	0	সহায়ক
administer	0	0	0	0	0	0	0	0	0	0	পরিচালনা
administration	0	0	0	0	0	0	0	0	0	0	প্রশাসন
administrative	0	0	0	0	0	0	0	0	0	1	প্রশাসনিক
admirable	0	0	0	0	1	0	1	0	0	1	প্রশংসনীয়
admiral	0	0	0	0	0	0	1	0	0	1	অ্যাডমিরাল
admiralty	0	0	0	0	0	0	0	0	0	0	অ্যাডমিরালটি
admiration	0	0	0	0	1	0	1	0	0	1	প্রশংসা
admire	0	0	0	0	0	0	1	0	0	1	প্রশংসা করা
admirer	0	0	0	0	0	0	1	0	0	0	প্রশংসক
admissibility	0	0	0	0	0	0	0	0	0	0	গ্রহণযোগ্যতা
admissible	0	0	0	0	0	0	1	0	0	1	গ্রহণযোগ্য
admission	0	0	0	0	0	0	0	0	0	0	ভর্তি
admit	0	0	0	0	0	0	0	0	0	0	স্বীকার করা
admittance	0	0	0	0	0	0	0	0	0	0	ভর্তি
admitted	0	0	0	0	0	0	0	0	0	0	ভর্তি
admitting	0	0	0	0	0	0	0	0	0	0	স্বীকার
admixture	0	0	0	0	0	0	0	0	0	0	মিশ্রণ
admonition	0	0	0	1	0	1	0	0	0	0	উপদেশ
ado	0	0	0	0	0	0	0	0	0	0	আড্ডা
adobe	0	0	0	0	0	0	0	0	0	0	অ্যাডোব
adolescence	0	0	0	0	0	0	0	0	0	0	কৈশোর
adolescent	0	0	0	0	0	0	0	0	0	0	কিশোর
adopt	0	0	0	0	0	0	0	0	0	0	গ্রহণ
adoption	0	0	0	0	0	0	0	0	0	0	দত্তক
adorable	0	0	0	0	1	0	1	0	0	0	আরাধ্য
adoration	0	0	0	0	1	0	1	0	0	1	আরাধনা
adore	0	1	0	0	1	0	1	0	0	1	পূজা
adorn	0	0	0	0	0	0	0	0	0	0	শোভা
adornment	0	0	0	0	0	0	0	0	0	0	অলঙ্করণ
adrift	0	1	0	1	0	1	0	1	0	0	প্রবাহিত
adult	0	0	0	0	0	0	0	0	0	0	প্রাপ্তবয়স্ক
adulterated	0	0	0	0	0	1	0	0	0	0	ভেজাল
adultery	0	0	1	0	0	1	0	1	0	0	ব্যভিচার
advance	0	1	0	1	1	0	1	0	1	0	অগ্রিম
advanced	0	0	0	0	0	0	1	0	0	0	উন্নত
advancement	0	0	0	0	0	0	1	0	0	0	অগ্রগতি
advancing	0	0	0	0	0	0	0	0	0	0	অগ্রসর
advantage	0	0	0	0	0	0	1	0	0	0	সুবিধা
advantageous	0	0	0	0	0	0	1	0	0	0	সুবিধাজনক
advent	0	1	0	0	1	0	1	0	0	1	আবির্ভাব
adventure	0	1	0	0	0	0	1	0	0	0	অ্যাডভেঞ্চার
adventurer	0	0	0	0	0	0	0	0	0	0	দুঃসাহসিক
adventurous	0	0	0	0	0	0	1	0	0	0	দুঃসাহসিক
adversary	1	0	0	0	0	1	0	0	0	0	প্রতিপক্ষ
adverse	1	0	1	1	0	1	0	1	0	0	প্রতিকূল
adversity	1	0	0	1	0	1	0	1	0	0	প্রতিকূলতা
advertise	0	0	0	0	0	0	0	0	0	0	বিজ্ঞাপন
advertisement	0	0	0	0	0	0	0	0	0	0	বিজ্ঞাপন
advice	0	0	0	0	0	0	0	0	0	1	উপদেশ
advisable	0	0	0	0	0	0	1	0	0	1	পরামর্শযোগ্য
advise	0	0	0	0	0	0	1	0	0	1	পরামর্শ
advised	0	0	0	0	0	0	0	0	0	1	পরামর্শ
advisement	0	0	0	0	0	0	0	0	0	0	পরামর্শ
adviser	0	0	0	0	0	0	1	0	0	1	উপদেষ্টা
advocacy	1	1	0	0	1	0	1	0	0	1	ওকালতি
advocate	0	0	0	0	0	0	0	0	0	1	উকিল
aegis	0	0	0	0	0	0	0	0	0	0	এজিস
aeration	0	0	0	0	0	0	0	0	0	0	বায়ুচলাচল
aerial	0	0	0	0	0	0	0	0	0	0	বায়বীয়
aerodrome	0	0	0	0	0	0	0	0	0	0	এরোড্রম
aerodynamics	0	0	0	0	0	0	0	0	0	0	বায়ুগতিবিদ্যা
aeronautics	0	0	0	0	0	0	0	0	0	0	বৈমানিক
aeroplane	0	0	0	0	0	0	0	0	0	0	বিমান
aesthetic	0	0	0	0	0	0	1	0	0	0	নান্দনিক
aesthetics	0	0	0	0	1	0	1	0	0	0	নান্দনিকতা
aetiology	0	0	0	0	0	0	0	0	0	0	এটিওলজি
afar	0	0	0	0	0	0	0	0	0	0	দূরে
affable	0	0	0	0	0	0	1	0	0	0	সহানুভূতিশীল
affair	0	0	0	0	0	0	0	0	0	0	ব্যাপার
affecting	0	0	0	0	0	0	0	0	0	0	প্রভাবিত
affection	0	0	0	0	1	0	1	0	0	1	স্নেহ
affections	0	0	0	0	0	0	0	0	0	0	অনুরাগ
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	হলফনামা
affiliated	0	0	0	0	0	0	1	0	0	0	সম্বন্ধযুক্ত
affiliation	0	0	0	0	0	0	0	0	0	0	অধিভুক্তি
affinity	0	0	0	0	0	0	0	0	0	0	সম্বন্ধ
affirm	0	0	0	0	0	0	1	0	0	1	নিশ্চিত করা
affirmation	0	0	0	0	0	0	1	0	0	0	নিশ্চিতকরণ
affirmative	0	0	0	0	0	0	1	0	0	0	ইতিবাচক
affirmatively	0	0	0	0	0	0	1	0	0	1	ইতিবাচকভাবে
affix	0	0	0	0	0	0	0	0	0	0	সংযুক্ত করা
afflict	0	0	0	1	0	1	0	1	0	0	কষ্ট
afflicted	0	0	0	0	0	1	0	0	0	0	পীড়িত
affliction	0	0	1	1	0	1	0	1	0	0	দুঃখ
affluence	0	0	0	0	1	0	1	0	0	0	সমৃদ্ধি
affluent	0	0	0	0	0	0	1	0	0	0	সমৃদ্ধ
afford	0	0	0	0	0	0	1	0	0	0	সামর্থ্য
affront	1	0	1	1	0	1	0	1	1	0	অপমান
afield	0	0	0	0	0	0	0	0	0	0	দূরে
afore	0	0	0	0	0	0	0	0	0	0	আগে
aforementioned	0	0	0	0	0	0	0	0	0	0	পূর্বোক্ত
aforesaid	0	0	0	0	0	0	0	0	0	0	পূর্বোক্ত
afraid	0	0	0	1	0	1	0	0	0	0	ভয়
afresh	0	0	0	0	0	0	0	0	0	0	নতুন করে
aft	0	0	0	0	0	0	0	0	0	0	পিছনে
aftermath	1	0	1	1	0	1	0	1	0	0	পরবর্তী
afternoon	0	0	0	0	0	0	0	0	0	0	বিকেল
aftertaste	0	0	0	0	0	1	0	0	0	0	আফটারটেস্ট
afterthought	0	0	0	0	0	0	0	0	0	0	পরে চিন্তা
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	বয়স
aged	0	0	0	0	0	0	0	0	0	0	বুড়া
agency	0	0	0	0	0	0	0	0	0	0	সংস্থা
agent	0	0	0	0	0	0	0	0	0	0	প্রতিনিধি
agglomeration	0	0	0	0	0	0	0	0	0	0	জমাট
aggravated	1	0	0	0	0	1	0	0	0	0	উত্তেজিত
aggravating	1	0	0	0	0	1	0	1	0	0	উত্তেজক
aggravation	1	0	1	0	0	1	0	0	0	0	উত্তেজনা
aggregate	0	0	0	0	0	0	0	0	0	0	সমষ্টি
aggregation	0	0	0	0	0	0	0	0	0	0	সমষ্টি
aggression	1	0	0	1	0	1	0	0	0	0	আগ্রাসন
aggressive	1	0	0	1	0	1	0	0	0	0	আক্রমণাত্মক
aggressor	1	0	0	1	0	1	0	0	0	0	আক্রমণকারী
aghast	0	0	1	1	0	1	0	0	1	0	আতঙ্কগ্রস্ত
agile	0	0	0	0	0	0	1	0	0	0	কর্মতত্পর
agility	0	0	0	0	0	0	1	0	0	0	তত্পরতা
agitated	1	0	0	0	0	1	0	0	0	0	উত্তেজিত
agitation	1	0	0	0	0	1	0	0	0	0	আন্দোলন
agnostic	0	0	0	0	0	0	0	0	0	0	অজ্ঞেয়বাদী
ago	0	0	0	0	0	0	0	0	0	0	আগে
agonizing	0	0	0	1	0	1	0	0	0	0	যন্ত্রণাদায়ক
agony	1	0	0	1	0	1	0	1	0	0	যন্ত্রণা
agree	0	0	0	0	0	0	1	0	0	0	একমত
agreeable	0	0	0	0	0	0	1	0	0	1	সম্মত
agreed	0	0	0	0	0	0	1	0	0	1	সম্মত
agreeing	0	0	0	0	0	0	1	0	0	1	সম্মত
agreement	0	0	0	0	0	0	1	0	0	1	চুক্তি
agricultural	0	0	0	0	0	0	0	0	0	0	কৃষি
agriculture	0	0	0	0	0	0	1	0	0	0	কৃষি
aground	0	0	0	0	0	1	0	0	0	0	আশেপাশে
agua	0	0	0	0	0	0	0	0	0	0	আগুয়া
ahead	0	0	0	0	0	0	1	0	0	0	এগিয়ে
aid	0	0	0	0	0	0	1	0	0	0	সাহায্য
aiding	0	0	0	0	0	0	1	0	0	0	সাহায্যকারী
ail	0	0	0	0	0	1	0	1	0	0	অসুস্থ
ailing	0	0	0	1	0	1	0	1	0	0	অসুস্থ
ailment	0	0	0	0	0	0	0	0	0	0	অসুস্থতা
aim	0	0	0	0	0	0	0	0	0	0	লক্ষ্য
aimless	0	0	0	0	0	1	0	0	0	0	লক্ষ্যহীন
air	0	0	0	0	0	0	0	0	0	0	বায়ু
airbag	0	0	0	0	0	0	0	0	0	0	এয়ারব্যাগ
airlift	0	0	0	0	0	0	0	0	0	0	এয়ারলিফট
airline	0	0	0	0	0	0	0	0	0	0	এয়ারলাইন
airman	0	0	0	0	0	0	0	0	0	0	এয়ারম্যান
airplane	0	0	0	0	0	0	0	0	0	0	বিমান
airport	0	1	0	0	0	0	0	0	0	0	বিমানবন্দর
airs	0	0	1	0	0	1	0	0	0	0	বায়ু
airship	0	0	0	0	0	0	0	0	0	0	আকাশযান
aisle	0	0	0	0	0	0	0	0	0	0	করিডোর
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	আজার
akin	0	0	0	0	0	0	0	0	0	1	সদৃশ
alabaster	0	0	0	0	0	0	1	0	0	0	আলাবাস্টার
alarm	0	0	0	1	0	1	0	0	1	0	এলার্ম
alarming	0	0	0	1	0	1	0	0	1	0	উদ্বেগজনক
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	অ্যালবাম
alchemy	0	0	0	0	0	0	0	0	0	0	রসায়ন
alcohol	0	0	0	0	0	0	0	0	0	0	অ্যালকোহল
alcoholism	1	0	1	1	0	1	0	1	0	0	মদ্যপান
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	সতর্ক
alertness	0	1	0	1	0	0	1	0	1	0	সতর্কতা
alerts	0	1	0	1	0	0	0	0	1	0	সতর্কতা
alfalfa	0	0	0	0	0	0	0	0	0	0	আলফালফা
algebra	0	0	0	0	0	0	0	0	0	0	বীজগণিত
algebraic	0	0	0	0	0	0	0	0	0	0	বীজগণিত
algorithm	0	0	0	0	0	0	0	0	0	0	অ্যালগরিদম
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	পরক
alienate	1	0	1	0	0	1	0	0	0	0	বিচ্ছিন্ন করা
alienated	0	0	0	0	0	1	0	1	0	0	বিচ্ছিন্ন
alienation	1	0	1	1	0	1	0	1	0	0	বিচ্ছিন্নতা
alight	0	0	0	0	0	0	0	0	0	0	অবতরণ
aligned	0	0	0	0	0	0	0	0	0	0	সারিবদ্ধ
alignment	0	0	0	0	0	0	0	0	0	0	প্রান্তিককরণ
alike	0	0	0	0	0	0	0	0	0	0	একইভাবে
alimentation	0	0	0	0	0	0	1	0	0	0	খাওয়ানো
alimony	0	0	0	0	0	1	0	0	0	0	ভরণপোষণ
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	জীবিত
alkali	0	0	0	0	0	0	0	0	0	0	ক্ষার
alkaloids	0	0	0	0	0	0	0	0	0	0	অ্যালকালয়েড
allay	0	0	0	0	0	0	1	0	0	0	আলয়
allegation	1	0	0	0	0	1	0	0	0	0	অভিযোগ
allege	0	0	0	0	0	1	0	0	0	0	অভিযোগ
alleged	0	0	0	0	0	0	0	0	0	0	অভিযুক্ত
allegiance	0	0	0	0	0	0	1	0	0	1	আনুগত্য
allegorical	0	0	0	0	0	0	0	0	0	0	রূপক
allegory	0	0	0	0	0	0	0	0	0	0	রূপক
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	উপশম করা
alleviation	0	0	0	0	0	0	1	0	0	0	উপশম
alley	0	0	0	0	0	0	0	0	0	0	গলি
alliance	0	0	0	0	0	0	0	0	0	1	জোট
allied	0	0	0	0	0	0	1	0	0	1	মিত্র
alligator	0	0	0	0	0	0	0	0	0	0	অ্যালিগেটর
allocate	0	0	0	0	0	0	0	0	0	0	বরাদ্দ
allocation	0	0	0	0	0	0	0	0	0	0	বরাদ্দ
allot	0	0	0	0	0	0	0	0	0	0	বরাদ্দ
allotment	0	0	0	0	0	0	0	0	0	0	বরাদ্দ
allowable	0	0	0	0	0	0	1	0	0	0	অনুমোদিত
allowance	0	0	0	0	0	0	0	0	0	0	ভাতা
allowed	0	0	0	0	0	0	0	0	0	0	অনুমোদিত
alloy	0	0	0	0	0	0	0	0	0	0	খাদ
allure	0	1	0	0	1	0	1	0	1	0	মোহন
alluring	0	0	0	0	0	0	1	0	0	0	লোভনীয়
allusion	0	0	0	0	0	0	0	0	0	0	ইঙ্গিত
alluvial	0	0	0	0	0	0	0	0	0	0	পলিমাটি
ally	0	0	0	0	0	0	1	0	0	1	মিত্র
almanac	0	0	0	0	0	0	0	0	0	0	পঞ্জিকা
almighty	0	0	0	0	0	0	1	0	0	0	সর্বশক্তিমান
aloft	0	0	0	0	0	0	0	0	0	0	aloft
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	এর পাশাপাশি
aloof	0	0	0	0	0	1	0	0	0	0	নির্লিপ্ত
aloud	0	0	0	0	0	0	0	0	0	0	সশব্দে
alphabet	0	0	0	0	0	0	0	0	0	0	বর্ণমালা
alphabetical	0	0	0	0	0	0	0	0	0	0	বর্ণানুক্রমিক
altar	0	0	0	0	0	0	0	0	0	0	বেদী
alter	0	0	0	0	0	0	0	0	0	0	পরিবর্তন
alteration	0	0	0	0	0	0	0	0	0	0	পরিবর্তন
altercation	1	0	0	0	0	1	0	0	0	0	ঝগড়া
altered	0	0	0	0	0	0	0	0	0	0	পরিবর্তিত
alternate	0	0	0	0	0	0	0	0	0	0	বিকল্প
alternative	0	0	0	0	0	0	0	0	0	0	বিকল্প
altitude	0	0	0	0	0	0	0	0	0	0	উচ্চতা
alto	0	0	0	0	0	0	0	0	0	0	alto
