English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Yoruba Word
admitting	0	0	0	0	0	0	0	0	0	0	gbigba
admixture	0	0	0	0	0	0	0	0	0	0	adalu
admonition	0	0	0	1	0	1	0	0	0	0	imọran
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	ìbàlágà
adolescent	0	0	0	0	0	0	0	0	0	0	ọdọmọkunrin
adopt	0	0	0	0	0	0	0	0	0	0	gba
adoption	0	0	0	0	0	0	0	0	0	0	itewogba
adorable	0	0	0	0	1	0	1	0	0	0	joniloju
adoration	0	0	0	0	1	0	1	0	0	1	ijosin
adore	0	1	0	0	1	0	1	0	0	1	gbajugbaja
adorn	0	0	0	0	0	0	0	0	0	0	ṣe ọṣọ
adornment	0	0	0	0	0	0	0	0	0	0	ohun ọṣọ
adrift	0	1	0	1	0	1	0	1	0	0	yiyọ kuro
adult	0	0	0	0	0	0	0	0	0	0	agba
adulterated	0	0	0	0	0	1	0	0	0	0	agbere
adultery	0	0	1	0	0	1	0	1	0	0	agbere
advance	0	1	0	1	1	0	1	0	1	0	ilosiwaju
advanced	0	0	0	0	0	0	1	0	0	0	to ti ni ilọsiwaju
advancement	0	0	0	0	0	0	1	0	0	0	ilosiwaju
advancing	0	0	0	0	0	0	0	0	0	0	ilosiwaju
advantage	0	0	0	0	0	0	1	0	0	0	anfani
advantageous	0	0	0	0	0	0	1	0	0	0	anfani
advent	0	1	0	0	1	0	1	0	0	1	dide
adventure	0	1	0	0	0	0	1	0	0	0	ìrìn
adventurer	0	0	0	0	0	0	0	0	0	0	alarinkiri
adventurous	0	0	0	0	0	0	1	0	0	0	adventurous
adversary	1	0	0	0	0	1	0	0	0	0	ọta
adverse	1	0	1	1	0	1	0	1	0	0	ikolu
adversity	1	0	0	1	0	1	0	1	0	0	ipọnju
advertise	0	0	0	0	0	0	0	0	0	0	polowo
advertisement	0	0	0	0	0	0	0	0	0	0	ipolongo
advice	0	0	0	0	0	0	0	0	0	1	imọran
advisable	0	0	0	0	0	0	1	0	0	1	ni imọran
advise	0	0	0	0	0	0	1	0	0	1	ni imọran
advised	0	0	0	0	0	0	0	0	0	1	niyanju
advisement	0	0	0	0	0	0	0	0	0	0	imọran
adviser	0	0	0	0	0	0	1	0	0	1	oludamoran
advocacy	1	1	0	0	1	0	1	0	0	1	agbawi
advocate	0	0	0	0	0	0	0	0	0	1	alagbawi
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	aeration
aerial	0	0	0	0	0	0	0	0	0	0	eriali
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrome
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautics
aeroplane	0	0	0	0	0	0	0	0	0	0	Okoofurufu
aesthetic	0	0	0	0	0	0	1	0	0	0	darapupo
aesthetics	0	0	0	0	1	0	1	0	0	0	aesthetics
aetiology	0	0	0	0	0	0	0	0	0	0	etiology
afar	0	0	0	0	0	0	0	0	0	0	jina
affable	0	0	0	0	0	0	1	0	0	0	affable
affair	0	0	0	0	0	0	0	0	0	0	ibalopọ
affecting	0	0	0	0	0	0	0	0	0	0	ni ipa lori
affection	0	0	0	0	1	0	1	0	0	1	ìfẹni
affections	0	0	0	0	0	0	0	0	0	0	ìfẹni
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	ijẹrisi
affiliated	0	0	0	0	0	0	1	0	0	0	alafaramo
affiliation	0	0	0	0	0	0	0	0	0	0	ìbáṣepọ
affinity	0	0	0	0	0	0	0	0	0	0	ijora
affirm	0	0	0	0	0	0	1	0	0	1	jẹrisi
affirmation	0	0	0	0	0	0	1	0	0	0	ìmúdájú
affirmative	0	0	0	0	0	0	1	0	0	0	aridaju
affirmatively	0	0	0	0	0	0	1	0	0	1	affirmatively
affix	0	0	0	0	0	0	0	0	0	0	affisi
afflict	0	0	0	1	0	1	0	1	0	0	wahala
afflicted	0	0	0	0	0	1	0	0	0	0	olupọnju
affliction	0	0	1	1	0	1	0	1	0	0	iponju
affluence	0	0	0	0	1	0	1	0	0	0	ọlọrọ
affluent	0	0	0	0	0	0	1	0	0	0	ọlọrọ
afford	0	0	0	0	0	0	1	0	0	0	irewesi
affront	1	0	1	1	0	1	0	1	1	0	ikọlu
afield	0	0	0	0	0	0	0	0	0	0	l'oko
afore	0	0	0	0	0	0	0	0	0	0	ṣaaju
aforementioned	0	0	0	0	0	0	0	0	0	0	aforementioned
aforesaid	0	0	0	0	0	0	0	0	0	0	ti a sọ tẹlẹ
afraid	0	0	0	1	0	1	0	0	0	0	bẹru
afresh	0	0	0	0	0	0	0	0	0	0	titun
aft	0	0	0	0	0	0	0	0	0	0	lẹhin
aftermath	1	0	1	1	0	1	0	1	0	0	lẹhin
afternoon	0	0	0	0	0	0	0	0	0	0	ọsan
aftertaste	0	0	0	0	0	1	0	0	0	0	arosọ lẹhin
afterthought	0	0	0	0	0	0	0	0	0	0	lẹhin ero
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	ọjọ ori
aged	0	0	0	0	0	0	0	0	0	0	agbalagba
agency	0	0	0	0	0	0	0	0	0	0	ibẹwẹ
agent	0	0	0	0	0	0	0	0	0	0	oluranlowo
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomeration
aggravated	1	0	0	0	0	1	0	0	0	0	ti o buruju
aggravating	1	0	0	0	0	1	0	1	0	0	aggravating
aggravation	1	0	1	0	0	1	0	0	0	0	ibinu
aggregate	0	0	0	0	0	0	0	0	0	0	apapọ
aggregation	0	0	0	0	0	0	0	0	0	0	apapọ
aggression	1	0	0	1	0	1	0	0	0	0	ifinran
aggressive	1	0	0	1	0	1	0	0	0	0	ibinu
aggressor	1	0	0	1	0	1	0	0	0	0	onijagidijagan
aghast	0	0	1	1	0	1	0	0	1	0	ijafafa
agile	0	0	0	0	0	0	1	0	0	0	yara
agility	0	0	0	0	0	0	1	0	0	0	agility
agitated	1	0	0	0	0	1	0	0	0	0	rudurudu
agitation	1	0	0	0	0	1	0	0	0	0	ijakadi
agnostic	0	0	0	0	0	0	0	0	0	0	agnostic
ago	0	0	0	0	0	0	0	0	0	0	seyin
agonizing	0	0	0	1	0	1	0	0	0	0	irora
agony	1	0	0	1	0	1	0	1	0	0	irora
agree	0	0	0	0	0	0	1	0	0	0	gba
agreeable	0	0	0	0	0	0	1	0	0	1	itẹlọrun
agreed	0	0	0	0	0	0	1	0	0	1	gba
agreeing	0	0	0	0	0	0	1	0	0	1	gbigba
agreement	0	0	0	0	0	0	1	0	0	1	adehun
agricultural	0	0	0	0	0	0	0	0	0	0	ogbin
agriculture	0	0	0	0	0	0	1	0	0	0	ogbin
aground	0	0	0	0	0	1	0	0	0	0	ilẹ
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	niwaju
aid	0	0	0	0	0	0	1	0	0	0	iranlowo
aiding	0	0	0	0	0	0	1	0	0	0	iranlowo
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	aláìsàn
ailment	0	0	0	0	0	0	0	0	0	0	ailera
aim	0	0	0	0	0	0	0	0	0	0	ifọkansi
aimless	0	0	0	0	0	1	0	0	0	0	ainidi
air	0	0	0	0	0	0	0	0	0	0	afefe
airbag	0	0	0	0	0	0	0	0	0	0	apo afẹfẹ
airlift	0	0	0	0	0	0	0	0	0	0	ọkọ ofurufu
airline	0	0	0	0	0	0	0	0	0	0	oko ofurufu
airman	0	0	0	0	0	0	0	0	0	0	oko ofurufu
airplane	0	0	0	0	0	0	0	0	0	0	Okoofurufu
airport	0	1	0	0	0	0	0	0	0	0	papa ọkọ ofurufu
airs	0	0	1	0	0	1	0	0	0	0	afefe
airship	0	0	0	0	0	0	0	0	0	0	ọkọ ofurufu
aisle	0	0	0	0	0	0	0	0	0	0	aye
ait	0	0	0	0	0	0	0	0	0	0	aaiti
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	akin
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	itaniji
alarming	0	0	0	1	0	1	0	0	1	0	itaniji
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	awo-orin
alchemy	0	0	0	0	0	0	0	0	0	0	alkemi
alcohol	0	0	0	0	0	0	0	0	0	0	oti
alcoholism	1	0	1	1	0	1	0	1	0	0	ọti-lile
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	gbigbọn
alertness	0	1	0	1	0	0	1	0	1	0	gbigbọn
alerts	0	1	0	1	0	0	0	0	1	0	titaniji
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	aljebra
algebraic	0	0	0	0	0	0	0	0	0	0	aljebra
algorithm	0	0	0	0	0	0	0	0	0	0	alugoridimu
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	ajeji
alienate	1	0	1	0	0	1	0	0	0	0	àjèjì
alienated	0	0	0	0	0	1	0	1	0	0	àjèjì
alienation	1	0	1	1	0	1	0	1	0	0	àjèjì
alight	0	0	0	0	0	0	0	0	0	0	ina
aligned	0	0	0	0	0	0	0	0	0	0	deedee
alignment	0	0	0	0	0	0	0	0	0	0	titete
alike	0	0	0	0	0	0	0	0	0	0	bakanna
alimentation	0	0	0	0	0	0	1	0	0	0	alimentation
alimony	0	0	0	0	0	1	0	0	0	0	alimony
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	laaye
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	alley
allegation	1	0	0	0	0	1	0	0	0	0	ẹsun
allege	0	0	0	0	0	1	0	0	0	0	ẹsun
alleged	0	0	0	0	0	0	0	0	0	0	ẹsun
allegiance	0	0	0	0	0	0	1	0	0	1	ifaramo
allegorical	0	0	0	0	0	0	0	0	0	0	arosọ
allegory	0	0	0	0	0	0	0	0	0	0	àkàwé
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	din
alleviation	0	0	0	0	0	0	1	0	0	0	idinku
alley	0	0	0	0	0	0	0	0	0	0	ona
alliance	0	0	0	0	0	0	0	0	0	1	Alliance
allied	0	0	0	0	0	0	1	0	0	1	ajumọṣe
alligator	0	0	0	0	0	0	0	0	0	0	algator
allocate	0	0	0	0	0	0	0	0	0	0	sọtọ
allocation	0	0	0	0	0	0	0	0	0	0	ipinfunni
allot	0	0	0	0	0	0	0	0	0	0	pínpín
allotment	0	0	0	0	0	0	0	0	0	0	ipín
allowable	0	0	0	0	0	0	1	0	0	0	gbigba laaye
allowance	0	0	0	0	0	0	0	0	0	0	iyọọda
allowed	0	0	0	0	0	0	0	0	0	0	laaye
alloy	0	0	0	0	0	0	0	0	0	0	alloy
allure	0	1	0	0	1	0	1	0	1	0	allure
alluring	0	0	0	0	0	0	1	0	0	0	alluring
allusion	0	0	0	0	0	0	0	0	0	0	itọka
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	ore
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	olodumare
aloft	0	0	0	0	0	0	0	0	0	0	soke
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	lẹgbẹẹ
aloof	0	0	0	0	0	1	0	0	0	0	aifokanbale
aloud	0	0	0	0	0	0	0	0	0	0	ariwo
alphabet	0	0	0	0	0	0	0	0	0	0	alfabeti
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabeti
altar	0	0	0	0	0	0	0	0	0	0	pẹpẹ
alter	0	0	0	0	0	0	0	0	0	0	paarọ
alteration	0	0	0	0	0	0	0	0	0	0	iyipada
altercation	1	0	0	0	0	1	0	0	0	0	ariyanjiyan
altered	0	0	0	0	0	0	0	0	0	0	yi pada
alternate	0	0	0	0	0	0	0	0	0	0	idakeji
alternative	0	0	0	0	0	0	0	0	0	0	yiyan
altitude	0	0	0	0	0	0	0	0	0	0	giga
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	lapapọ
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amugbamu
amalgamation	0	0	0	0	0	0	0	0	0	0	idapo
amass	0	0	0	0	0	0	0	0	0	0	kojọpọ
amateur	0	0	0	0	0	0	0	0	0	0	magbowo
amaze	0	0	0	0	0	0	0	0	1	0	iyalẹnu
amazement	0	0	0	0	0	0	0	0	0	0	iyalẹnu
amazingly	0	0	0	0	1	0	1	0	1	0	iyalẹnu
ambassador	0	0	0	0	0	0	1	0	0	1	asoju
amber	0	0	0	0	0	0	0	0	0	0	awọ yẹlo to ṣokunkun
ambient	0	0	0	0	0	0	0	0	0	0	ibaramu
ambiguity	0	0	0	0	0	0	0	0	0	0	aibikita
ambiguous	0	0	0	0	0	1	0	0	0	0	aibikita
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	okanjuwa
ambitious	0	0	0	0	0	0	0	0	0	0	ifẹ agbara
ambulance	0	0	0	1	0	0	0	0	0	1	ọkọ alaisan
ambush	1	0	0	1	0	1	0	0	1	0	ibùba
ameliorate	0	0	0	0	0	0	1	0	0	0	darapo
amen	0	0	0	0	1	0	1	0	0	1	Amin
amenable	0	0	0	0	0	0	1	0	0	0	ti o wulo
amend	0	0	0	0	0	0	1	0	0	0	atunse
amendment	0	0	0	0	0	0	0	0	0	0	atunse
amends	0	0	0	0	0	0	1	0	0	0	ṣe atunṣe
amenity	0	0	0	0	0	0	1	0	0	0	ohun elo
amethyst	0	0	0	0	0	0	0	0	0	0	amethyst
amiable	0	0	0	0	0	0	1	0	0	0	alafẹfẹ
amicable	0	0	0	0	1	0	1	0	0	0	alaafia
amid	0	0	0	0	0	0	0	0	0	0	laarin
amidst	0	0	0	0	0	0	0	0	0	0	laarin
ammonia	0	0	1	0	0	0	0	0	0	0	amonia
ammunition	0	0	0	0	0	0	0	0	0	0	ohun ija
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	idariji
amorphous	0	0	0	0	0	0	0	0	0	0	amorphous
amortization	0	0	0	0	0	0	0	0	0	1	amortization
amount	0	0	0	0	0	0	0	0	0	0	iye
amour	0	1	0	0	1	0	1	0	0	1	amure
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	awọn amphetamines
amphibian	0	0	0	0	0	0	0	0	0	0	amphibian
