English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Telugu Word
abrupt	0	0	0	0	0	0	0	0	1	0	ఆకస్మిక
abruptly	0	0	0	0	0	0	0	0	0	0	ఆకస్మికంగా
abscess	0	0	0	0	0	1	0	1	0	0	చీము
absence	0	0	0	1	0	1	0	1	0	0	లేకపోవడం
absent	0	0	0	0	0	1	0	1	0	0	గైర్హాజరు
absentee	0	0	0	0	0	1	0	1	0	0	గైర్హాజరు
absenteeism	0	0	0	0	0	1	0	0	0	0	గైర్హాజరు
absinthe	0	0	0	0	0	0	0	0	0	0	అబ్సింతే
absolute	0	0	0	0	0	0	1	0	0	0	సంపూర్ణ
absolution	0	0	0	0	1	0	1	0	0	1	విమోచనం
absorbed	0	0	0	0	0	0	1	0	0	0	గ్రహించిన
absorbent	0	0	0	0	0	0	0	0	0	0	శోషక
absorbing	0	0	0	0	0	0	0	0	0	0	గ్రహించుట
absorption	0	0	0	0	0	0	0	0	0	0	శోషణ
abstain	0	0	0	0	0	0	0	0	0	0	దూరంగా ఉండండి
abstention	0	0	0	0	0	0	0	0	0	0	దూరంగా ఉండటం
abstinence	0	0	0	0	0	0	0	0	0	0	సంయమనం
abstract	0	0	0	0	0	0	0	0	0	0	నైరూప్య
abstraction	0	0	0	0	0	0	0	0	0	0	సంగ్రహణ
absurd	0	0	0	0	0	1	0	0	0	0	అసంబద్ధమైన
absurdity	0	0	0	0	0	1	0	0	0	0	అసంబద్ధత
abundance	0	1	1	0	1	1	1	0	0	1	సమృద్ధి
abundant	0	0	0	0	1	0	1	0	0	0	సమృద్ధిగా
abuse	1	0	1	1	0	1	0	1	0	0	తిట్టు
abutment	0	0	0	0	0	0	0	0	0	0	ఆనకట్ట
aby	0	0	0	0	0	0	0	0	0	0	అబి
abysmal	0	0	0	0	0	1	0	1	0	0	అగాధం
abyss	0	0	0	1	0	1	0	1	0	0	అగాధం
academic	0	0	0	0	0	0	1	0	0	1	విద్యాసంబంధమైన
academy	0	0	0	0	0	0	1	0	0	0	అకాడమీ
accede	0	0	0	0	0	0	0	0	0	0	అంగీకరించు
accelerate	0	1	0	0	0	0	0	0	0	0	వేగవంతం
acceleration	0	0	0	0	0	0	0	0	0	0	త్వరణం
accent	0	0	0	0	0	0	0	0	0	0	యాస
accentuate	0	0	0	0	0	0	0	0	0	0	ఉద్ఘాటించు
accept	0	0	0	0	0	0	0	0	0	0	అంగీకరించు
acceptable	0	0	0	0	0	0	1	0	0	0	ఆమోదయోగ్యమైనది
acceptance	0	0	0	0	0	0	1	0	0	0	అంగీకారం
access	0	0	0	0	0	0	0	0	0	0	యాక్సెస్
accessible	0	0	0	0	0	0	1	0	0	0	అందుబాటులో
accession	0	0	0	0	0	0	0	0	0	0	చేరిక
accessory	0	0	0	0	0	0	0	0	0	0	అనుబంధ
accident	0	0	0	1	0	1	0	1	1	0	ప్రమాదం
accidental	0	0	0	1	0	1	0	0	1	0	ప్రమాదవశాత్తు
accidentally	0	0	0	0	0	0	0	0	1	0	అనుకోకుండా
accolade	0	1	0	0	1	0	1	0	1	1	ప్రశంసలు
accommodate	0	0	0	0	0	0	0	0	0	0	వసతి కల్పిస్తాయి
accommodation	0	0	0	0	0	0	1	0	0	0	వసతి
accompaniment	0	1	0	0	1	0	1	0	0	1	తోడుగా
accompany	0	0	0	0	0	0	0	0	0	0	తోడు
accompanying	0	0	0	0	0	0	0	0	0	0	జతగా
accomplice	0	0	0	0	0	0	0	0	0	0	సహచరుడు
accomplish	0	0	0	0	1	0	1	0	0	0	సాధిస్తారు
accomplished	0	0	0	0	1	0	1	0	0	0	సాధించారు
accomplishment	0	0	0	0	0	0	1	0	0	0	సాఫల్యం
accord	0	0	0	0	0	0	1	0	0	1	ఒప్పందం
accordance	0	0	0	0	0	0	0	0	0	0	అనుగుణంగా
accordion	0	0	0	0	0	0	0	0	0	0	అకార్డియన్
account	0	0	0	0	0	0	0	0	0	1	ఖాతా
accountability	0	0	0	0	0	0	1	0	0	1	జవాబుదారీతనం
accountable	0	0	0	0	0	0	1	0	0	1	జవాబుదారీ
accountant	0	0	0	0	0	0	0	0	0	1	అకౌంటెంట్
accounting	0	0	0	0	0	0	0	0	0	0	అకౌంటింగ్
accounts	0	0	0	0	0	0	0	0	0	1	ఖాతాలు
accredited	0	0	0	0	0	0	1	0	0	1	గుర్తింపు పొందింది
accretion	0	0	0	0	0	0	0	0	0	0	చేరడం
accrue	0	0	0	0	0	0	0	0	0	0	వచ్చే
accueil	0	0	0	0	0	0	1	0	0	0	సంపాదించు
accumulate	0	0	0	0	0	0	0	0	0	0	పేరుకుపోవడంతో
accumulation	0	0	0	0	0	0	0	0	0	0	సంచితం
accuracy	0	0	0	0	0	0	0	0	0	0	ఖచ్చితత్వం
accurate	0	0	0	0	0	0	1	0	0	1	ఖచ్చితమైన
accursed	1	0	0	1	0	1	0	1	0	0	శపించబడ్డాడు
accusation	1	0	1	0	0	1	0	0	0	0	ఆరోపణ
accusative	0	0	0	0	0	1	0	0	0	0	నిందారోపణ
accused	1	0	0	1	0	1	0	0	0	0	ఆరోపణలు
accuser	1	0	0	1	0	1	0	0	0	0	నిందించేవాడు
accusing	1	0	0	1	0	1	0	0	0	0	ఆరోపిస్తున్నారు
accustomed	0	0	0	0	0	0	0	0	0	0	అలవాటైంది
ace	0	0	0	0	0	0	1	0	0	0	ఏస్
acetic	0	0	0	0	0	0	0	0	0	0	ఎసిటిక్
ache	0	0	0	0	0	1	0	1	0	0	నొప్పి
achieve	0	0	0	0	1	0	1	0	0	1	సాధిస్తారు
achievement	0	1	0	0	1	0	1	0	0	1	సాధించిన
aching	0	0	0	0	0	1	0	1	0	0	నొప్పి
acid	0	0	0	0	0	1	0	0	0	0	ఆమ్లము
acidity	0	0	0	0	0	0	0	0	0	0	ఆమ్లత్వం
acknowledge	0	0	0	0	0	0	0	0	0	0	గుర్తించండి
acknowledged	0	0	0	0	0	0	0	0	0	0	తెలియజేసారు
acknowledgment	0	0	0	0	0	0	1	0	0	0	గుర్తింపు
acme	0	0	0	0	0	0	0	0	0	0	అక్మే
acoustic	0	0	0	0	0	0	0	0	0	0	ధ్వని సంబంధమైన
acoustics	0	0	0	0	0	0	0	0	0	0	ధ్వనిశాస్త్రం
acquaint	0	0	0	0	0	0	0	0	0	0	పరిచయం
acquaintance	0	0	0	0	0	0	0	0	0	0	పరిచయము
acquainted	0	0	0	0	0	0	0	0	0	0	పరిచయమయ్యాడు
acquiescence	0	0	0	0	0	0	0	0	0	0	అంగీకారము
acquire	0	0	0	0	0	0	1	0	0	0	సంపాదించు
acquiring	0	1	0	0	0	0	1	0	0	0	పొందడం
acquisition	0	0	0	0	0	0	0	0	0	0	సముపార్జన
acquisitions	0	0	0	0	0	0	0	0	0	0	కొనుగోళ్లు
acreage	0	0	0	0	0	0	0	0	0	0	విస్తీర్ణం
acres	0	0	0	0	0	0	0	0	0	0	ఎకరాలు
acrobat	0	0	0	1	1	0	1	0	0	1	శ్రమజీవి
act	0	0	0	0	0	0	0	0	0	0	చట్టం
acting	0	0	0	0	0	0	0	0	0	0	నటన
action	0	0	0	0	0	0	1	0	0	0	చర్య
actionable	1	0	1	0	0	1	0	0	0	0	చర్య తీసుకోదగిన
active	0	0	0	0	0	0	0	0	0	0	చురుకుగా
activity	0	0	0	0	0	0	0	0	0	0	కార్యాచరణ
actor	0	0	0	0	0	0	0	0	0	0	నటుడు
actual	0	0	0	0	0	0	1	0	0	0	అసలు
actuality	0	0	0	0	0	0	0	0	0	0	వాస్తవికత
actuary	0	0	0	0	0	0	0	0	0	0	యాక్చురి
acuity	0	0	0	0	0	0	1	0	0	0	తీక్షణత
acumen	0	0	0	0	0	0	1	0	0	0	చతురత
acupuncture	0	0	0	0	0	0	0	0	0	0	ఆక్యుపంక్చర్
acutely	0	0	0	0	0	0	0	0	0	0	తీవ్రంగా
adage	0	0	0	0	0	0	0	0	0	0	సామెత
adamant	0	0	0	0	0	0	0	0	0	0	మొండిగా
adapt	0	0	0	0	0	0	1	0	0	0	స్వీకరించు
adaptable	0	0	0	0	0	0	1	0	0	0	అనుకూలించదగినది
add	0	0	0	0	0	0	0	0	0	0	జోడించు
added	0	0	0	0	0	0	0	0	0	0	జోడించారు
addendum	0	0	0	0	0	0	0	0	0	0	అనుబంధం
adder	1	0	1	1	0	1	0	1	0	0	యాడ్డర్
addiction	0	0	0	0	0	1	0	0	0	0	వ్యసనం
addition	0	0	0	0	0	0	0	0	0	0	అదనంగా
additional	0	0	0	0	0	0	0	0	0	0	అదనపు
additive	0	0	0	0	0	0	0	0	0	0	సంకలితం
address	0	0	0	0	0	0	0	0	0	0	చిరునామా
addressee	0	0	0	0	0	0	0	0	0	0	చిరునామాదారుడు
addresses	0	1	0	0	0	0	1	0	0	0	చిరునామాలు
adept	0	0	0	0	0	0	1	0	0	0	ప్రవీణుడు
adequacy	0	0	0	0	0	0	1	0	0	0	సమర్ధత
adequate	0	0	0	0	0	0	0	0	0	0	తగినంత
adhere	0	0	0	0	0	0	0	0	0	0	కట్టుబడి
adherence	0	0	0	0	0	0	0	0	0	0	కట్టుబడి
adherent	0	0	0	0	0	0	0	0	0	0	కట్టుబడి
adhering	0	0	0	0	0	0	0	0	0	1	కట్టుబడి
adhesion	0	0	0	0	0	0	0	0	0	0	సంశ్లేషణ
adhesive	0	0	0	0	0	0	0	0	0	0	అంటుకునే
adieu	0	0	0	0	0	0	0	0	0	0	వీడ్కోలు
adipose	0	0	0	0	0	1	0	0	0	0	కొవ్వు
adjacency	0	0	0	0	0	0	0	0	0	0	ప్రక్కనే
adjacent	0	0	0	0	0	0	0	0	0	0	ప్రక్కనే
adjective	0	0	0	0	0	0	0	0	0	0	విశేషణం
adjoining	0	0	0	0	0	0	0	0	0	0	ప్రక్కనే
adjourn	0	0	0	0	0	0	0	0	0	0	వాయిదా వేయండి
adjournment	0	0	0	0	0	0	0	0	0	0	వాయిదా
adjudicate	0	0	0	1	0	1	0	0	0	0	న్యాయమూర్తి
adjudication	0	0	0	0	0	0	0	0	0	0	తీర్పు
adjunct	0	0	0	0	0	0	1	0	0	0	అనుబంధం
adjust	0	0	0	0	0	0	0	0	0	0	సర్దుబాటు
adjustment	0	0	0	0	0	0	0	0	0	0	సర్దుబాటు
adjuvant	0	0	0	0	0	0	0	0	0	0	సహాయకుడు
administer	0	0	0	0	0	0	0	0	0	0	పరిపాలించు
administration	0	0	0	0	0	0	0	0	0	0	పరిపాలన
administrative	0	0	0	0	0	0	0	0	0	1	పరిపాలనా
admirable	0	0	0	0	1	0	1	0	0	1	ప్రశంసనీయమైనది
admiral	0	0	0	0	0	0	1	0	0	1	అడ్మిరల్
admiralty	0	0	0	0	0	0	0	0	0	0	అడ్మిరల్టీ
admiration	0	0	0	0	1	0	1	0	0	1	మెచ్చుకోవడం
admire	0	0	0	0	0	0	1	0	0	1	మెచ్చుకుంటారు
admirer	0	0	0	0	0	0	1	0	0	0	ఆరాధకుడు
admissibility	0	0	0	0	0	0	0	0	0	0	ఆమోదయోగ్యత
admissible	0	0	0	0	0	0	1	0	0	1	ఆమోదయోగ్యమైనది
admission	0	0	0	0	0	0	0	0	0	0	ప్రవేశ o
admit	0	0	0	0	0	0	0	0	0	0	ఒప్పుకుంటారు
admittance	0	0	0	0	0	0	0	0	0	0	ప్రవేశం
admitted	0	0	0	0	0	0	0	0	0	0	ఒప్పుకున్నాడు
admitting	0	0	0	0	0	0	0	0	0	0	ఒప్పుకుంటున్నాను
admixture	0	0	0	0	0	0	0	0	0	0	మిశ్రమం
admonition	0	0	0	1	0	1	0	0	0	0	ఉపదేశము
ado	0	0	0	0	0	0	0	0	0	0	అదో
adobe	0	0	0	0	0	0	0	0	0	0	అడోబ్
adolescence	0	0	0	0	0	0	0	0	0	0	కౌమారదశ
adolescent	0	0	0	0	0	0	0	0	0	0	కౌమారదశ
adopt	0	0	0	0	0	0	0	0	0	0	స్వీకరించు
adoption	0	0	0	0	0	0	0	0	0	0	దత్తత
adorable	0	0	0	0	1	0	1	0	0	0	పూజ్యమైన
adoration	0	0	0	0	1	0	1	0	0	1	ఆరాధన
adore	0	1	0	0	1	0	1	0	0	1	ఆరాధించు
adorn	0	0	0	0	0	0	0	0	0	0	అలంకరించు
adornment	0	0	0	0	0	0	0	0	0	0	అలంకారం
adrift	0	1	0	1	0	1	0	1	0	0	కొట్టుకుపోతారు
adult	0	0	0	0	0	0	0	0	0	0	పెద్దలు
adulterated	0	0	0	0	0	1	0	0	0	0	కల్తీ
adultery	0	0	1	0	0	1	0	1	0	0	వ్యభిచారం
advance	0	1	0	1	1	0	1	0	1	0	ముందుకు
advanced	0	0	0	0	0	0	1	0	0	0	ఆధునిక
advancement	0	0	0	0	0	0	1	0	0	0	పురోగతి
advancing	0	0	0	0	0	0	0	0	0	0	ముందుకు సాగుతోంది
advantage	0	0	0	0	0	0	1	0	0	0	ప్రయోజనం
advantageous	0	0	0	0	0	0	1	0	0	0	ప్రయోజనకరమైన
advent	0	1	0	0	1	0	1	0	0	1	ఆగమనం
adventure	0	1	0	0	0	0	1	0	0	0	సాహసం
adventurer	0	0	0	0	0	0	0	0	0	0	సాహసికుడు
adventurous	0	0	0	0	0	0	1	0	0	0	సాహసోపేత
adversary	1	0	0	0	0	1	0	0	0	0	విరోధి
adverse	1	0	1	1	0	1	0	1	0	0	ప్రతికూలమైన
adversity	1	0	0	1	0	1	0	1	0	0	ప్రతికూలత
advertise	0	0	0	0	0	0	0	0	0	0	ప్రచారం చేయండి
advertisement	0	0	0	0	0	0	0	0	0	0	ప్రకటన
advice	0	0	0	0	0	0	0	0	0	1	సలహా
advisable	0	0	0	0	0	0	1	0	0	1	మంచిది
advise	0	0	0	0	0	0	1	0	0	1	సలహా ఇవ్వండి
advised	0	0	0	0	0	0	0	0	0	1	సలహా ఇచ్చాడు
advisement	0	0	0	0	0	0	0	0	0	0	సలహా
adviser	0	0	0	0	0	0	1	0	0	1	సలహాదారు
advocacy	1	1	0	0	1	0	1	0	0	1	న్యాయవాదం
advocate	0	0	0	0	0	0	0	0	0	1	న్యాయవాది
aegis	0	0	0	0	0	0	0	0	0	0	ఏజీస్
aeration	0	0	0	0	0	0	0	0	0	0	వాయుప్రసరణ
aerial	0	0	0	0	0	0	0	0	0	0	ఆకాశయాన
aerodrome	0	0	0	0	0	0	0	0	0	0	ఏరోడ్రోమ్
aerodynamics	0	0	0	0	0	0	0	0	0	0	ఏరోడైనమిక్స్
aeronautics	0	0	0	0	0	0	0	0	0	0	ఏరోనాటిక్స్
aeroplane	0	0	0	0	0	0	0	0	0	0	విమానం
aesthetic	0	0	0	0	0	0	1	0	0	0	సౌందర్యం
aesthetics	0	0	0	0	1	0	1	0	0	0	సౌందర్యశాస్త్రం
aetiology	0	0	0	0	0	0	0	0	0	0	ఏటియాలజీ
afar	0	0	0	0	0	0	0	0	0	0	దూరంగా
affable	0	0	0	0	0	0	1	0	0	0	స్నేహపూర్వకమైన
affair	0	0	0	0	0	0	0	0	0	0	వ్యవహారం
affecting	0	0	0	0	0	0	0	0	0	0	ప్రభావితం
affection	0	0	0	0	1	0	1	0	0	1	ఆప్యాయత
affections	0	0	0	0	0	0	0	0	0	0	ఆప్యాయతలు
affiche	0	0	0	0	0	0	0	0	0	0	అనుబంధం
affidavit	0	0	0	0	0	0	0	0	0	0	అఫిడవిట్
affiliated	0	0	0	0	0	0	1	0	0	0	అనుబంధం
affiliation	0	0	0	0	0	0	0	0	0	0	అనుబంధం
affinity	0	0	0	0	0	0	0	0	0	0	అనుబంధం
affirm	0	0	0	0	0	0	1	0	0	1	ధృవీకరిస్తాయి
affirmation	0	0	0	0	0	0	1	0	0	0	ధృవీకరణ
affirmative	0	0	0	0	0	0	1	0	0	0	నిశ్చయాత్మకమైన
affirmatively	0	0	0	0	0	0	1	0	0	1	నిశ్చయంగా
affix	0	0	0	0	0	0	0	0	0	0	అతికించు
afflict	0	0	0	1	0	1	0	1	0	0	బాధించు
afflicted	0	0	0	0	0	1	0	0	0	0	బాధపడ్డాడు
affliction	0	0	1	1	0	1	0	1	0	0	బాధ
affluence	0	0	0	0	1	0	1	0	0	0	ఐశ్వర్యం
affluent	0	0	0	0	0	0	1	0	0	0	సంపన్నులు
afford	0	0	0	0	0	0	1	0	0	0	స్థోమత
affront	1	0	1	1	0	1	0	1	1	0	అవమానపరచు
afield	0	0	0	0	0	0	0	0	0	0	దూరంగా
afore	0	0	0	0	0	0	0	0	0	0	ముందు
aforementioned	0	0	0	0	0	0	0	0	0	0	పైన పేర్కొన్న
aforesaid	0	0	0	0	0	0	0	0	0	0	పైన చెప్పబడింది
afraid	0	0	0	1	0	1	0	0	0	0	భయపడటం
afresh	0	0	0	0	0	0	0	0	0	0	తాజాగా
aft	0	0	0	0	0	0	0	0	0	0	వెనుక
aftermath	1	0	1	1	0	1	0	1	0	0	తదనంతర పరిణామాలు
afternoon	0	0	0	0	0	0	0	0	0	0	మధ్యాహ్నం
aftertaste	0	0	0	0	0	1	0	0	0	0	తర్వాత రుచి
afterthought	0	0	0	0	0	0	0	0	0	0	అనంతర ఆలోచన
aga	0	0	0	1	0	0	1	0	0	1	ఆగ
agate	0	0	0	0	0	0	0	0	0	0	అగేట్
age	0	0	0	0	0	0	0	0	0	0	వయస్సు
aged	0	0	0	0	0	0	0	0	0	0	వృద్ధుడు
agency	0	0	0	0	0	0	0	0	0	0	ఏజెన్సీ
agent	0	0	0	0	0	0	0	0	0	0	ఏజెంట్
agglomeration	0	0	0	0	0	0	0	0	0	0	సమూహము
aggravated	1	0	0	0	0	1	0	0	0	0	తీవ్రతరం
aggravating	1	0	0	0	0	1	0	1	0	0	తీవ్రతరం చేస్తోంది
aggravation	1	0	1	0	0	1	0	0	0	0	తీవ్రతరం
aggregate	0	0	0	0	0	0	0	0	0	0	మొత్తం
aggregation	0	0	0	0	0	0	0	0	0	0	సమూహనం
aggression	1	0	0	1	0	1	0	0	0	0	దూకుడు
aggressive	1	0	0	1	0	1	0	0	0	0	దూకుడు
aggressor	1	0	0	1	0	1	0	0	0	0	దురాక్రమణదారుడు
aghast	0	0	1	1	0	1	0	0	1	0	దిగ్భ్రాంతి
agile	0	0	0	0	0	0	1	0	0	0	చురుకైన
agility	0	0	0	0	0	0	1	0	0	0	చురుకుదనం
agitated	1	0	0	0	0	1	0	0	0	0	రెచ్చిపోయాడు
agitation	1	0	0	0	0	1	0	0	0	0	ఆందోళన
agnostic	0	0	0	0	0	0	0	0	0	0	అజ్ఞేయవాది
ago	0	0	0	0	0	0	0	0	0	0	క్రితం
agonizing	0	0	0	1	0	1	0	0	0	0	వేదన కలిగించేది
agony	1	0	0	1	0	1	0	1	0	0	వేదన
agree	0	0	0	0	0	0	1	0	0	0	అంగీకరిస్తున్నారు
agreeable	0	0	0	0	0	0	1	0	0	1	అంగీకారయోగ్యమైనది
agreed	0	0	0	0	0	0	1	0	0	1	అంగీకరించారు
agreeing	0	0	0	0	0	0	1	0	0	1	అంగీకరిస్తున్నారు
agreement	0	0	0	0	0	0	1	0	0	1	ఒప్పందం
agricultural	0	0	0	0	0	0	0	0	0	0	వ్యవసాయ
agriculture	0	0	0	0	0	0	1	0	0	0	వ్యవసాయం
aground	0	0	0	0	0	1	0	0	0	0	నేలమీద
agua	0	0	0	0	0	0	0	0	0	0	అగువా
ahead	0	0	0	0	0	0	1	0	0	0	ముందుకు
aid	0	0	0	0	0	0	1	0	0	0	సహాయం
aiding	0	0	0	0	0	0	1	0	0	0	సహాయం
ail	0	0	0	0	0	1	0	1	0	0	అనారోగ్యం
ailing	0	0	0	1	0	1	0	1	0	0	జబ్బుపడిన
ailment	0	0	0	0	0	0	0	0	0	0	అనారోగ్యం
aim	0	0	0	0	0	0	0	0	0	0	లక్ష్యం
aimless	0	0	0	0	0	1	0	0	0	0	లక్ష్యం లేని
air	0	0	0	0	0	0	0	0	0	0	గాలి
airbag	0	0	0	0	0	0	0	0	0	0	గాలి సంచి
airlift	0	0	0	0	0	0	0	0	0	0	ఎయిర్ లిఫ్ట్
airline	0	0	0	0	0	0	0	0	0	0	విమానయాన సంస్థ
airman	0	0	0	0	0	0	0	0	0	0	వాయుసేన
airplane	0	0	0	0	0	0	0	0	0	0	విమానం
airport	0	1	0	0	0	0	0	0	0	0	విమానాశ్రయం
airs	0	0	1	0	0	1	0	0	0	0	ప్రసారం చేస్తుంది
airship	0	0	0	0	0	0	0	0	0	0	వాయు నౌక
aisle	0	0	0	0	0	0	0	0	0	0	నడవ
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	అజర్
akin	0	0	0	0	0	0	0	0	0	1	పోలియున్న
alabaster	0	0	0	0	0	0	1	0	0	0	అలబాస్టర్
alarm	0	0	0	1	0	1	0	0	1	0	అలారం
alarming	0	0	0	1	0	1	0	0	1	0	ఆందోళనకరమైన
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	ఆల్బమ్
alchemy	0	0	0	0	0	0	0	0	0	0	రసవాదం
alcohol	0	0	0	0	0	0	0	0	0	0	మద్యం
alcoholism	1	0	1	1	0	1	0	1	0	0	మద్యపానం
alcove	0	0	0	0	0	0	0	0	0	0	అల్కావ్
alert	0	0	0	0	0	0	0	0	0	0	అప్రమత్తం
alertness	0	1	0	1	0	0	1	0	1	0	అప్రమత్తత
alerts	0	1	0	1	0	0	0	0	1	0	హెచ్చరికలు
alfalfa	0	0	0	0	0	0	0	0	0	0	అల్ఫాల్ఫా
algebra	0	0	0	0	0	0	0	0	0	0	బీజగణితం
algebraic	0	0	0	0	0	0	0	0	0	0	బీజగణితం
algorithm	0	0	0	0	0	0	0	0	0	0	అల్గోరిథం
alibi	0	0	0	0	0	0	0	0	0	0	అలీబి
alien	0	0	1	1	0	1	0	0	0	0	పరాయి
alienate	1	0	1	0	0	1	0	0	0	0	పరాయీకరణ
alienated	0	0	0	0	0	1	0	1	0	0	పరాయీకరణ
alienation	1	0	1	1	0	1	0	1	0	0	పరాయీకరణ
alight	0	0	0	0	0	0	0	0	0	0	దిగు
aligned	0	0	0	0	0	0	0	0	0	0	సమలేఖనమైంది
alignment	0	0	0	0	0	0	0	0	0	0	అమరిక
alike	0	0	0	0	0	0	0	0	0	0	ఒకేలా
alimentation	0	0	0	0	0	0	1	0	0	0	ఆహారం
alimony	0	0	0	0	0	1	0	0	0	0	భరణం
aliquot	0	0	0	0	0	0	0	0	0	0	ఆల్కాట్
alive	0	1	0	0	1	0	1	0	0	1	సజీవంగా
alkali	0	0	0	0	0	0	0	0	0	0	క్షారము
alkaloids	0	0	0	0	0	0	0	0	0	0	ఆల్కలాయిడ్స్
allay	0	0	0	0	0	0	1	0	0	0	తగ్గించు
allegation	1	0	0	0	0	1	0	0	0	0	ఆరోపణ
allege	0	0	0	0	0	1	0	0	0	0	ఆరోపిస్తున్నారు
alleged	0	0	0	0	0	0	0	0	0	0	ఆరోపించారు
allegiance	0	0	0	0	0	0	1	0	0	1	విధేయత
allegorical	0	0	0	0	0	0	0	0	0	0	ఉపమానమైన
allegory	0	0	0	0	0	0	0	0	0	0	ఉపమానం
allegro	0	0	0	0	0	0	1	0	0	0	దరువు
alleviate	0	0	0	0	0	0	1	0	0	0	తగ్గించు
alleviation	0	0	0	0	0	0	1	0	0	0	ఉపశమనము
alley	0	0	0	0	0	0	0	0	0	0	సందు
alliance	0	0	0	0	0	0	0	0	0	1	కూటమి
allied	0	0	0	0	0	0	1	0	0	1	పొత్తు పెట్టుకుంది
alligator	0	0	0	0	0	0	0	0	0	0	ఎలిగేటర్
allocate	0	0	0	0	0	0	0	0	0	0	కేటాయించండి
allocation	0	0	0	0	0	0	0	0	0	0	కేటాయింపు
allot	0	0	0	0	0	0	0	0	0	0	కేటాయించండి
allotment	0	0	0	0	0	0	0	0	0	0	కేటాయింపు
allowable	0	0	0	0	0	0	1	0	0	0	అనుమతించదగినది
allowance	0	0	0	0	0	0	0	0	0	0	భత్యం
allowed	0	0	0	0	0	0	0	0	0	0	అనుమతించబడింది
alloy	0	0	0	0	0	0	0	0	0	0	మిశ్రమం
allure	0	1	0	0	1	0	1	0	1	0	ఆకర్షణ
alluring	0	0	0	0	0	0	1	0	0	0	ఆకర్షణీయమైన
allusion	0	0	0	0	0	0	0	0	0	0	ప్రస్తావన
alluvial	0	0	0	0	0	0	0	0	0	0	ఒండ్రు
ally	0	0	0	0	0	0	1	0	0	1	మిత్ర
almanac	0	0	0	0	0	0	0	0	0	0	పంచాంగం
almighty	0	0	0	0	0	0	1	0	0	0	దేవుడు
aloft	0	0	0	0	0	0	0	0	0	0	పైకి
aloha	0	1	0	0	1	0	1	0	0	0	అలోహా
alongside	0	0	0	0	0	0	0	0	0	0	కలిసి
aloof	0	0	0	0	0	1	0	0	0	0	దూరంగా
aloud	0	0	0	0	0	0	0	0	0	0	బిగ్గరగా
