English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Catalan Word
abutment	0	0	0	0	0	0	0	0	0	0	contrafort
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abismal
abyss	0	0	0	1	0	1	0	1	0	0	avenc
academic	0	0	0	0	0	0	1	0	0	1	acadèmica
academy	0	0	0	0	0	0	1	0	0	0	acadèmia
accede	0	0	0	0	0	0	0	0	0	0	accedir
accelerate	0	1	0	0	0	0	0	0	0	0	accelerar
acceleration	0	0	0	0	0	0	0	0	0	0	acceleració
accent	0	0	0	0	0	0	0	0	0	0	accent
accentuate	0	0	0	0	0	0	0	0	0	0	accentuar
accept	0	0	0	0	0	0	0	0	0	0	acceptar
acceptable	0	0	0	0	0	0	1	0	0	0	acceptable
acceptance	0	0	0	0	0	0	1	0	0	0	acceptació
access	0	0	0	0	0	0	0	0	0	0	accés
accessible	0	0	0	0	0	0	1	0	0	0	accessible
accession	0	0	0	0	0	0	0	0	0	0	adhesió
accessory	0	0	0	0	0	0	0	0	0	0	accessori
accident	0	0	0	1	0	1	0	1	1	0	accident
accidental	0	0	0	1	0	1	0	0	1	0	accidental
accidentally	0	0	0	0	0	0	0	0	1	0	accidentalment
accolade	0	1	0	0	1	0	1	0	1	1	elogi
accommodate	0	0	0	0	0	0	0	0	0	0	acomodar
accommodation	0	0	0	0	0	0	1	0	0	0	allotjament
accompaniment	0	1	0	0	1	0	1	0	0	1	acompanyament
accompany	0	0	0	0	0	0	0	0	0	0	acompanyar
accompanying	0	0	0	0	0	0	0	0	0	0	acompanyant
accomplice	0	0	0	0	0	0	0	0	0	0	còmplice
accomplish	0	0	0	0	1	0	1	0	0	0	aconseguir
accomplished	0	0	0	0	1	0	1	0	0	0	complert
accomplishment	0	0	0	0	0	0	1	0	0	0	assoliment
accord	0	0	0	0	0	0	1	0	0	1	acord
accordance	0	0	0	0	0	0	0	0	0	0	acord
accordion	0	0	0	0	0	0	0	0	0	0	acordió
account	0	0	0	0	0	0	0	0	0	1	compte
accountability	0	0	0	0	0	0	1	0	0	1	responsabilitat
accountable	0	0	0	0	0	0	1	0	0	1	responsable
accountant	0	0	0	0	0	0	0	0	0	1	comptable
accounting	0	0	0	0	0	0	0	0	0	0	comptabilitat
accounts	0	0	0	0	0	0	0	0	0	1	comptes
accredited	0	0	0	0	0	0	1	0	0	1	acreditat
accretion	0	0	0	0	0	0	0	0	0	0	acreció
accrue	0	0	0	0	0	0	0	0	0	0	acumular
accueil	0	0	0	0	0	0	1	0	0	0	acollida
accumulate	0	0	0	0	0	0	0	0	0	0	acumular
accumulation	0	0	0	0	0	0	0	0	0	0	acumulació
accuracy	0	0	0	0	0	0	0	0	0	0	precisió
accurate	0	0	0	0	0	0	1	0	0	1	precís
accursed	1	0	0	1	0	1	0	1	0	0	maleït
accusation	1	0	1	0	0	1	0	0	0	0	acusació
accusative	0	0	0	0	0	1	0	0	0	0	acusatiu
accused	1	0	0	1	0	1	0	0	0	0	acusat
accuser	1	0	0	1	0	1	0	0	0	0	acusador
accusing	1	0	0	1	0	1	0	0	0	0	acusant
accustomed	0	0	0	0	0	0	0	0	0	0	acostumat
ace	0	0	0	0	0	0	1	0	0	0	as
acetic	0	0	0	0	0	0	0	0	0	0	acètic
ache	0	0	0	0	0	1	0	1	0	0	dolor
achieve	0	0	0	0	1	0	1	0	0	1	aconseguir
achievement	0	1	0	0	1	0	1	0	0	1	assoliment
aching	0	0	0	0	0	1	0	1	0	0	dolor
acid	0	0	0	0	0	1	0	0	0	0	àcid
acidity	0	0	0	0	0	0	0	0	0	0	acidesa
acknowledge	0	0	0	0	0	0	0	0	0	0	reconèixer
acknowledged	0	0	0	0	0	0	0	0	0	0	reconegut
acknowledgment	0	0	0	0	0	0	1	0	0	0	reconeixement
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	acústica
acoustics	0	0	0	0	0	0	0	0	0	0	acústica
acquaint	0	0	0	0	0	0	0	0	0	0	conèixer
acquaintance	0	0	0	0	0	0	0	0	0	0	conegut
acquainted	0	0	0	0	0	0	0	0	0	0	conegut
acquiescence	0	0	0	0	0	0	0	0	0	0	aquiescència
acquire	0	0	0	0	0	0	1	0	0	0	adquirir
acquiring	0	1	0	0	0	0	1	0	0	0	adquirint
acquisition	0	0	0	0	0	0	0	0	0	0	adquisició
acquisitions	0	0	0	0	0	0	0	0	0	0	adquisicions
acreage	0	0	0	0	0	0	0	0	0	0	superfície
acres	0	0	0	0	0	0	0	0	0	0	hectàrees
acrobat	0	0	0	1	1	0	1	0	0	1	acròbata
act	0	0	0	0	0	0	0	0	0	0	actuar
acting	0	0	0	0	0	0	0	0	0	0	actuació
action	0	0	0	0	0	0	1	0	0	0	acció
actionable	1	0	1	0	0	1	0	0	0	0	accionable
active	0	0	0	0	0	0	0	0	0	0	actiu
activity	0	0	0	0	0	0	0	0	0	0	activitat
actor	0	0	0	0	0	0	0	0	0	0	actor
actual	0	0	0	0	0	0	1	0	0	0	real
actuality	0	0	0	0	0	0	0	0	0	0	actualitat
actuary	0	0	0	0	0	0	0	0	0	0	actuari
acuity	0	0	0	0	0	0	1	0	0	0	agudesa
acumen	0	0	0	0	0	0	1	0	0	0	perspicàcia
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuntura
acutely	0	0	0	0	0	0	0	0	0	0	agudament
adage	0	0	0	0	0	0	0	0	0	0	adagi
adamant	0	0	0	0	0	0	0	0	0	0	ferm
adapt	0	0	0	0	0	0	1	0	0	0	adaptar
adaptable	0	0	0	0	0	0	1	0	0	0	adaptable
add	0	0	0	0	0	0	0	0	0	0	afegir
added	0	0	0	0	0	0	0	0	0	0	afegit
addendum	0	0	0	0	0	0	0	0	0	0	addenda
adder	1	0	1	1	0	1	0	1	0	0	sumador
addiction	0	0	0	0	0	1	0	0	0	0	adicció
addition	0	0	0	0	0	0	0	0	0	0	addició
additional	0	0	0	0	0	0	0	0	0	0	addicionals
additive	0	0	0	0	0	0	0	0	0	0	additiu
address	0	0	0	0	0	0	0	0	0	0	adreça
addressee	0	0	0	0	0	0	0	0	0	0	destinatari
addresses	0	1	0	0	0	0	1	0	0	0	adreces
adept	0	0	0	0	0	0	1	0	0	0	adepte
adequacy	0	0	0	0	0	0	1	0	0	0	adequació
adequate	0	0	0	0	0	0	0	0	0	0	adequat
adhere	0	0	0	0	0	0	0	0	0	0	adherir-se
adherence	0	0	0	0	0	0	0	0	0	0	adherència
adherent	0	0	0	0	0	0	0	0	0	0	adherent
adhering	0	0	0	0	0	0	0	0	0	1	adherint-se
adhesion	0	0	0	0	0	0	0	0	0	0	adhesió
adhesive	0	0	0	0	0	0	0	0	0	0	adhesiu
adieu	0	0	0	0	0	0	0	0	0	0	adéu
adipose	0	0	0	0	0	1	0	0	0	0	adipós
adjacency	0	0	0	0	0	0	0	0	0	0	adjacència
adjacent	0	0	0	0	0	0	0	0	0	0	adjacents
adjective	0	0	0	0	0	0	0	0	0	0	adjectiu
adjoining	0	0	0	0	0	0	0	0	0	0	contigus
adjourn	0	0	0	0	0	0	0	0	0	0	ajornar
adjournment	0	0	0	0	0	0	0	0	0	0	ajornament
adjudicate	0	0	0	1	0	1	0	0	0	0	adjudicar
adjudication	0	0	0	0	0	0	0	0	0	0	adjudicació
adjunct	0	0	0	0	0	0	1	0	0	0	adjunt
adjust	0	0	0	0	0	0	0	0	0	0	ajustar
adjustment	0	0	0	0	0	0	0	0	0	0	ajust
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	administrar
administration	0	0	0	0	0	0	0	0	0	0	Administració
administrative	0	0	0	0	0	0	0	0	0	1	administrativa
admirable	0	0	0	0	1	0	1	0	0	1	admirable
admiral	0	0	0	0	0	0	1	0	0	1	almirall
admiralty	0	0	0	0	0	0	0	0	0	0	Almirantazgo
admiration	0	0	0	0	1	0	1	0	0	1	admiració
admire	0	0	0	0	0	0	1	0	0	1	admirar
admirer	0	0	0	0	0	0	1	0	0	0	admirador
admissibility	0	0	0	0	0	0	0	0	0	0	admissibilitat
admissible	0	0	0	0	0	0	1	0	0	1	admissible
admission	0	0	0	0	0	0	0	0	0	0	admissió
admit	0	0	0	0	0	0	0	0	0	0	admetre
admittance	0	0	0	0	0	0	0	0	0	0	admissió
admitted	0	0	0	0	0	0	0	0	0	0	admès
admitting	0	0	0	0	0	0	0	0	0	0	admetent
admixture	0	0	0	0	0	0	0	0	0	0	mescla
admonition	0	0	0	1	0	1	0	0	0	0	amonestació
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	tova
adolescence	0	0	0	0	0	0	0	0	0	0	adolescència
adolescent	0	0	0	0	0	0	0	0	0	0	adolescent
adopt	0	0	0	0	0	0	0	0	0	0	adoptar
adoption	0	0	0	0	0	0	0	0	0	0	adopció
adorable	0	0	0	0	1	0	1	0	0	0	adorable
adoration	0	0	0	0	1	0	1	0	0	1	adoració
adore	0	1	0	0	1	0	1	0	0	1	adorar
adorn	0	0	0	0	0	0	0	0	0	0	adornar
adornment	0	0	0	0	0	0	0	0	0	0	adornament
adrift	0	1	0	1	0	1	0	1	0	0	a la deriva
adult	0	0	0	0	0	0	0	0	0	0	adult
adulterated	0	0	0	0	0	1	0	0	0	0	adulterat
adultery	0	0	1	0	0	1	0	1	0	0	adulteri
advance	0	1	0	1	1	0	1	0	1	0	avançar
advanced	0	0	0	0	0	0	1	0	0	0	avançat
advancement	0	0	0	0	0	0	1	0	0	0	progrés
advancing	0	0	0	0	0	0	0	0	0	0	avançant
advantage	0	0	0	0	0	0	1	0	0	0	avantatge
advantageous	0	0	0	0	0	0	1	0	0	0	avantatjosa
advent	0	1	0	0	1	0	1	0	0	1	advent
adventure	0	1	0	0	0	0	1	0	0	0	aventura
adventurer	0	0	0	0	0	0	0	0	0	0	aventurer
adventurous	0	0	0	0	0	0	1	0	0	0	aventurer
adversary	1	0	0	0	0	1	0	0	0	0	adversari
adverse	1	0	1	1	0	1	0	1	0	0	adversos
adversity	1	0	0	1	0	1	0	1	0	0	adversitat
advertise	0	0	0	0	0	0	0	0	0	0	anunciar
advertisement	0	0	0	0	0	0	0	0	0	0	anunci
advice	0	0	0	0	0	0	0	0	0	1	consell
advisable	0	0	0	0	0	0	1	0	0	1	recomanable
advise	0	0	0	0	0	0	1	0	0	1	aconsellar
advised	0	0	0	0	0	0	0	0	0	1	aconsellat
advisement	0	0	0	0	0	0	0	0	0	0	assessorament
adviser	0	0	0	0	0	0	1	0	0	1	conseller
advocacy	1	1	0	0	1	0	1	0	0	1	advocacia
advocate	0	0	0	0	0	0	0	0	0	1	advocat
aegis	0	0	0	0	0	0	0	0	0	0	ègida
aeration	0	0	0	0	0	0	0	0	0	0	aireació
aerial	0	0	0	0	0	0	0	0	0	0	aèria
aerodrome	0	0	0	0	0	0	0	0	0	0	aeròdrom
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinàmica
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronàutica
aeroplane	0	0	0	0	0	0	0	0	0	0	avió
aesthetic	0	0	0	0	0	0	1	0	0	0	estètic
aesthetics	0	0	0	0	1	0	1	0	0	0	estètica
aetiology	0	0	0	0	0	0	0	0	0	0	etiologia
afar	0	0	0	0	0	0	0	0	0	0	lluny
affable	0	0	0	0	0	0	1	0	0	0	afable
affair	0	0	0	0	0	0	0	0	0	0	afer
affecting	0	0	0	0	0	0	0	0	0	0	afectant
affection	0	0	0	0	1	0	1	0	0	1	afecte
affections	0	0	0	0	0	0	0	0	0	0	afectes
affiche	0	0	0	0	0	0	0	0	0	0	cartell
affidavit	0	0	0	0	0	0	0	0	0	0	declaració jurada
affiliated	0	0	0	0	0	0	1	0	0	0	afiliats
affiliation	0	0	0	0	0	0	0	0	0	0	afiliació
affinity	0	0	0	0	0	0	0	0	0	0	afinitat
affirm	0	0	0	0	0	0	1	0	0	1	afirmar
affirmation	0	0	0	0	0	0	1	0	0	0	afirmació
affirmative	0	0	0	0	0	0	1	0	0	0	afirmativa
affirmatively	0	0	0	0	0	0	1	0	0	1	afirmativament
affix	0	0	0	0	0	0	0	0	0	0	afix
afflict	0	0	0	1	0	1	0	1	0	0	afligir
afflicted	0	0	0	0	0	1	0	0	0	0	afligit
affliction	0	0	1	1	0	1	0	1	0	0	aflicció
affluence	0	0	0	0	1	0	1	0	0	0	riquesa
affluent	0	0	0	0	0	0	1	0	0	0	ric
afford	0	0	0	0	0	0	1	0	0	0	permetre's
affront	1	0	1	1	0	1	0	1	1	0	afront
afield	0	0	0	0	0	0	0	0	0	0	lluny
afore	0	0	0	0	0	0	0	0	0	0	abans
aforementioned	0	0	0	0	0	0	0	0	0	0	abans esmentat
aforesaid	0	0	0	0	0	0	0	0	0	0	abans esmentat
afraid	0	0	0	1	0	1	0	0	0	0	por
afresh	0	0	0	0	0	0	0	0	0	0	de nou
aft	0	0	0	0	0	0	0	0	0	0	a popa
aftermath	1	0	1	1	0	1	0	1	0	0	conseqüències
afternoon	0	0	0	0	0	0	0	0	0	0	tarda
aftertaste	0	0	0	0	0	1	0	0	0	0	regust
afterthought	0	0	0	0	0	0	0	0	0	0	pensament posterior
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	àgata
age	0	0	0	0	0	0	0	0	0	0	edat
aged	0	0	0	0	0	0	0	0	0	0	envellit
agency	0	0	0	0	0	0	0	0	0	0	agència
agent	0	0	0	0	0	0	0	0	0	0	agent
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomeració
aggravated	1	0	0	0	0	1	0	0	0	0	agreujat
aggravating	1	0	0	0	0	1	0	1	0	0	agreujant
aggravation	1	0	1	0	0	1	0	0	0	0	agreujament
aggregate	0	0	0	0	0	0	0	0	0	0	agregat
aggregation	0	0	0	0	0	0	0	0	0	0	agregació
aggression	1	0	0	1	0	1	0	0	0	0	agressivitat
aggressive	1	0	0	1	0	1	0	0	0	0	agressiu
aggressor	1	0	0	1	0	1	0	0	0	0	agressor
aghast	0	0	1	1	0	1	0	0	1	0	horroritzat
agile	0	0	0	0	0	0	1	0	0	0	àgil
agility	0	0	0	0	0	0	1	0	0	0	agilitat
agitated	1	0	0	0	0	1	0	0	0	0	agitat
agitation	1	0	0	0	0	1	0	0	0	0	agitació
agnostic	0	0	0	0	0	0	0	0	0	0	agnòstic
ago	0	0	0	0	0	0	0	0	0	0	fa
agonizing	0	0	0	1	0	1	0	0	0	0	agonitzant
agony	1	0	0	1	0	1	0	1	0	0	agonia
agree	0	0	0	0	0	0	1	0	0	0	acordar
agreeable	0	0	0	0	0	0	1	0	0	1	agradable
agreed	0	0	0	0	0	0	1	0	0	1	convingut
agreeing	0	0	0	0	0	0	1	0	0	1	d'acord
agreement	0	0	0	0	0	0	1	0	0	1	acord
agricultural	0	0	0	0	0	0	0	0	0	0	agrícola
agriculture	0	0	0	0	0	0	1	0	0	0	agricultura
aground	0	0	0	0	0	1	0	0	0	0	encallat
agua	0	0	0	0	0	0	0	0	0	0	aigua
ahead	0	0	0	0	0	0	1	0	0	0	endavant
aid	0	0	0	0	0	0	1	0	0	0	ajuda
aiding	0	0	0	0	0	0	1	0	0	0	ajudant
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	malalt
ailment	0	0	0	0	0	0	0	0	0	0	dolència
aim	0	0	0	0	0	0	0	0	0	0	objectiu
aimless	0	0	0	0	0	1	0	0	0	0	sense rumb
air	0	0	0	0	0	0	0	0	0	0	aire
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	pont aeri
airline	0	0	0	0	0	0	0	0	0	0	companyia aèria
airman	0	0	0	0	0	0	0	0	0	0	aviador
airplane	0	0	0	0	0	0	0	0	0	0	avió
airport	0	1	0	0	0	0	0	0	0	0	aeroport
airs	0	0	1	0	0	1	0	0	0	0	aires
airship	0	0	0	0	0	0	0	0	0	0	dirigible
aisle	0	0	0	0	0	0	0	0	0	0	passadís
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	entreobert
akin	0	0	0	0	0	0	0	0	0	1	semblant
alabaster	0	0	0	0	0	0	1	0	0	0	alabastre
alarm	0	0	0	1	0	1	0	0	1	0	alarma
alarming	0	0	0	1	0	1	0	0	1	0	alarmant
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	àlbum
alchemy	0	0	0	0	0	0	0	0	0	0	alquímia
alcohol	0	0	0	0	0	0	0	0	0	0	alcohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alcoholisme
alcove	0	0	0	0	0	0	0	0	0	0	alcova
alert	0	0	0	0	0	0	0	0	0	0	alerta
alertness	0	1	0	1	0	0	1	0	1	0	alerta
alerts	0	1	0	1	0	0	0	0	1	0	alertes
alfalfa	0	0	0	0	0	0	0	0	0	0	alfals
algebra	0	0	0	0	0	0	0	0	0	0	àlgebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraica
algorithm	0	0	0	0	0	0	0	0	0	0	algorisme
alibi	0	0	0	0	0	0	0	0	0	0	coartada
alien	0	0	1	1	0	1	0	0	0	0	alienígena
alienate	1	0	1	0	0	1	0	0	0	0	alienar
alienated	0	0	0	0	0	1	0	1	0	0	alienat
alienation	1	0	1	1	0	1	0	1	0	0	alienació
alight	0	0	0	0	0	0	0	0	0	0	encès
aligned	0	0	0	0	0	0	0	0	0	0	alineats
alignment	0	0	0	0	0	0	0	0	0	0	alineació
alike	0	0	0	0	0	0	0	0	0	0	igual
alimentation	0	0	0	0	0	0	1	0	0	0	alimentació
alimony	0	0	0	0	0	1	0	0	0	0	pensió d'aliments
aliquot	0	0	0	0	0	0	0	0	0	0	alíquota
alive	0	1	0	0	1	0	1	0	0	1	viu
alkali	0	0	0	0	0	0	0	0	0	0	àlcali
alkaloids	0	0	0	0	0	0	0	0	0	0	alcaloides
allay	0	0	0	0	0	0	1	0	0	0	alleujar
allegation	1	0	0	0	0	1	0	0	0	0	al · legació
allege	0	0	0	0	0	1	0	0	0	0	al·legar
alleged	0	0	0	0	0	0	0	0	0	0	suposada
allegiance	0	0	0	0	0	0	1	0	0	1	lleialtat
allegorical	0	0	0	0	0	0	0	0	0	0	al·legòric
allegory	0	0	0	0	0	0	0	0	0	0	al·legoria
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	alleujar
alleviation	0	0	0	0	0	0	1	0	0	0	alleujament
alley	0	0	0	0	0	0	0	0	0	0	carreró
alliance	0	0	0	0	0	0	0	0	0	1	aliança
allied	0	0	0	0	0	0	1	0	0	1	aliats
alligator	0	0	0	0	0	0	0	0	0	0	caiman
allocate	0	0	0	0	0	0	0	0	0	0	assignar
allocation	0	0	0	0	0	0	0	0	0	0	assignació
allot	0	0	0	0	0	0	0	0	0	0	assignar
allotment	0	0	0	0	0	0	0	0	0	0	adjudicació
allowable	0	0	0	0	0	0	1	0	0	0	admissible
allowance	0	0	0	0	0	0	0	0	0	0	subsidi
allowed	0	0	0	0	0	0	0	0	0	0	permès
alloy	0	0	0	0	0	0	0	0	0	0	aliatge
allure	0	1	0	0	1	0	1	0	1	0	atractiu
alluring	0	0	0	0	0	0	1	0	0	0	seductor
allusion	0	0	0	0	0	0	0	0	0	0	al·lusió
alluvial	0	0	0	0	0	0	0	0	0	0	al·luvial
ally	0	0	0	0	0	0	1	0	0	1	aliat
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	totpoderós
aloft	0	0	0	0	0	0	0	0	0	0	amunt
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	al costat
aloof	0	0	0	0	0	1	0	0	0	0	allunyat
aloud	0	0	0	0	0	0	0	0	0	0	en veu alta
alphabet	0	0	0	0	0	0	0	0	0	0	alfabet
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabètic
altar	0	0	0	0	0	0	0	0	0	0	altar
alter	0	0	0	0	0	0	0	0	0	0	alterar
alteration	0	0	0	0	0	0	0	0	0	0	alteració
altercation	1	0	0	0	0	1	0	0	0	0	altercat
altered	0	0	0	0	0	0	0	0	0	0	alterat
alternate	0	0	0	0	0	0	0	0	0	0	alternar
alternative	0	0	0	0	0	0	0	0	0	0	alternativa
altitude	0	0	0	0	0	0	0	0	0	0	altitud
alto	0	0	0	0	0	0	0	0	0	0	alt
altogether	0	0	0	0	0	0	0	0	0	0	en conjunt
alumnus	0	0	0	0	0	0	0	0	0	0	antic alumne
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgama
amalgamation	0	0	0	0	0	0	0	0	0	0	fusió
amass	0	0	0	0	0	0	0	0	0	0	acumular
amateur	0	0	0	0	0	0	0	0	0	0	amateur
amaze	0	0	0	0	0	0	0	0	1	0	sorprendre
amazement	0	0	0	0	0	0	0	0	0	0	sorpresa
amazingly	0	0	0	0	1	0	1	0	1	0	sorprenentment
ambassador	0	0	0	0	0	0	1	0	0	1	ambaixador
amber	0	0	0	0	0	0	0	0	0	0	ambre
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	ambigüitat
ambiguous	0	0	0	0	0	1	0	0	0	0	ambigu
ambit	0	0	0	0	0	0	0	0	0	0	àmbit
ambition	0	1	0	0	1	0	1	0	0	1	ambició
ambitious	0	0	0	0	0	0	0	0	0	0	ambiciós
ambulance	0	0	0	1	0	0	0	0	0	1	ambulància
ambush	1	0	0	1	0	1	0	0	1	0	emboscada
ameliorate	0	0	0	0	0	0	1	0	0	0	millorar
amen	0	0	0	0	1	0	1	0	0	1	amén
amenable	0	0	0	0	0	0	1	0	0	0	susceptibles
amend	0	0	0	0	0	0	1	0	0	0	modificar
amendment	0	0	0	0	0	0	0	0	0	0	esmena
amends	0	0	0	0	0	0	1	0	0	0	esmenes
amenity	0	0	0	0	0	0	1	0	0	0	comoditat
amethyst	0	0	0	0	0	0	0	0	0	0	ametista
amiable	0	0	0	0	0	0	1	0	0	0	amable
amicable	0	0	0	0	1	0	1	0	0	0	amigable
amid	0	0	0	0	0	0	0	0	0	0	enmig
amidst	0	0	0	0	0	0	0	0	0	0	enmig
ammonia	0	0	1	0	0	0	0	0	0	0	amoníac
ammunition	0	0	0	0	0	0	0	0	0	0	municions
amnesia	0	0	0	0	0	1	0	0	0	0	amnèsia
amnesty	0	0	0	0	1	0	1	0	0	0	amnistia
amorphous	0	0	0	0	0	0	0	0	0	0	amorf
amortization	0	0	0	0	0	0	0	0	0	1	amortització
amount	0	0	0	0	0	0	0	0	0	0	quantitat
amour	0	1	0	0	1	0	1	0	0	1	amor
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetamines
amphibian	0	0	0	0	0	0	0	0	0	0	amfibi
amphibious	0	0	0	0	0	0	0	0	0	0	amfibi
amphitheater	0	0	0	0	0	0	0	0	0	0	amfiteatre
amplification	0	0	0	0	0	0	0	0	0	0	amplificació
amplify	0	0	0	0	0	0	0	0	0	0	amplificar
amplitude	0	0	0	0	0	0	0	0	0	0	amplitud
amply	0	0	0	0	0	0	0	0	0	0	sobradament
amputation	0	0	0	0	0	0	0	0	0	0	amputació
amulet	0	0	0	0	0	0	0	0	0	0	amulet
amuse	0	0	0	0	1	0	1	0	0	0	divertir
amused	0	0	0	0	1	0	1	0	0	0	divertit
amusement	0	0	0	0	1	0	1	0	0	0	diversió
amusing	0	0	0	0	1	0	1	0	0	0	divertit
ana	0	0	0	0	0	0	0	0	0	0	ana
anaconda	0	0	1	1	0	1	0	0	0	0	anaconda
anaesthesia	0	0	0	0	0	0	0	0	0	0	anestèsia
