English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Chinese-Simplified Word
accueil	0	0	0	0	0	0	1	0	0	0	累积
accumulate	0	0	0	0	0	0	0	0	0	0	积累
accumulation	0	0	0	0	0	0	0	0	0	0	积累
accuracy	0	0	0	0	0	0	0	0	0	0	准确性
accurate	0	0	0	0	0	0	1	0	0	1	准确的
accursed	1	0	0	1	0	1	0	1	0	0	被诅咒的
accusation	1	0	1	0	0	1	0	0	0	0	指控
accusative	0	0	0	0	0	1	0	0	0	0	宾格
accused	1	0	0	1	0	1	0	0	0	0	被告
accuser	1	0	0	1	0	1	0	0	0	0	原告
accusing	1	0	0	1	0	1	0	0	0	0	指责
accustomed	0	0	0	0	0	0	0	0	0	0	习惯了
ace	0	0	0	0	0	0	1	0	0	0	高手
acetic	0	0	0	0	0	0	0	0	0	0	醋酸
ache	0	0	0	0	0	1	0	1	0	0	疼痛
achieve	0	0	0	0	1	0	1	0	0	1	达到
achievement	0	1	0	0	1	0	1	0	0	1	成就
aching	0	0	0	0	0	1	0	1	0	0	疼痛
acid	0	0	0	0	0	1	0	0	0	0	酸
acidity	0	0	0	0	0	0	0	0	0	0	酸度
acknowledge	0	0	0	0	0	0	0	0	0	0	承认
acknowledged	0	0	0	0	0	0	0	0	0	0	承认
acknowledgment	0	0	0	0	0	0	1	0	0	0	致谢
acme	0	0	0	0	0	0	0	0	0	0	极致
acoustic	0	0	0	0	0	0	0	0	0	0	声学
acoustics	0	0	0	0	0	0	0	0	0	0	声学
acquaint	0	0	0	0	0	0	0	0	0	0	熟悉
acquaintance	0	0	0	0	0	0	0	0	0	0	熟人
acquainted	0	0	0	0	0	0	0	0	0	0	熟悉的
acquiescence	0	0	0	0	0	0	0	0	0	0	默认
acquire	0	0	0	0	0	0	1	0	0	0	获得
acquiring	0	1	0	0	0	0	1	0	0	0	获取
acquisition	0	0	0	0	0	0	0	0	0	0	获得
acquisitions	0	0	0	0	0	0	0	0	0	0	收购
acreage	0	0	0	0	0	0	0	0	0	0	面积
acres	0	0	0	0	0	0	0	0	0	0	英亩
acrobat	0	0	0	1	1	0	1	0	0	1	杂技演员
act	0	0	0	0	0	0	0	0	0	0	行为
acting	0	0	0	0	0	0	0	0	0	0	演戏
action	0	0	0	0	0	0	1	0	0	0	行动
actionable	1	0	1	0	0	1	0	0	0	0	可操作的
active	0	0	0	0	0	0	0	0	0	0	积极的
activity	0	0	0	0	0	0	0	0	0	0	活动
actor	0	0	0	0	0	0	0	0	0	0	演员
actual	0	0	0	0	0	0	1	0	0	0	实际的
actuality	0	0	0	0	0	0	0	0	0	0	现实
actuary	0	0	0	0	0	0	0	0	0	0	精算师
acuity	0	0	0	0	0	0	1	0	0	0	敏锐度
acumen	0	0	0	0	0	0	1	0	0	0	敏锐
acupuncture	0	0	0	0	0	0	0	0	0	0	针刺
acutely	0	0	0	0	0	0	0	0	0	0	尖锐地
adage	0	0	0	0	0	0	0	0	0	0	谚语
adamant	0	0	0	0	0	0	0	0	0	0	固执的
adapt	0	0	0	0	0	0	1	0	0	0	适应
adaptable	0	0	0	0	0	0	1	0	0	0	适应性强
add	0	0	0	0	0	0	0	0	0	0	添加
added	0	0	0	0	0	0	0	0	0	0	添加
addendum	0	0	0	0	0	0	0	0	0	0	附录
adder	1	0	1	1	0	1	0	1	0	0	加法器
addiction	0	0	0	0	0	1	0	0	0	0	瘾
addition	0	0	0	0	0	0	0	0	0	0	添加
additional	0	0	0	0	0	0	0	0	0	0	额外的
additive	0	0	0	0	0	0	0	0	0	0	添加剂
address	0	0	0	0	0	0	0	0	0	0	地址
addressee	0	0	0	0	0	0	0	0	0	0	收件人
addresses	0	1	0	0	0	0	1	0	0	0	地址
adept	0	0	0	0	0	0	1	0	0	0	行家
adequacy	0	0	0	0	0	0	1	0	0	0	充分性
adequate	0	0	0	0	0	0	0	0	0	0	足够的
adhere	0	0	0	0	0	0	0	0	0	0	坚持
adherence	0	0	0	0	0	0	0	0	0	0	依从性
adherent	0	0	0	0	0	0	0	0	0	0	依附的
adhering	0	0	0	0	0	0	0	0	0	1	坚持
adhesion	0	0	0	0	0	0	0	0	0	0	附着力
adhesive	0	0	0	0	0	0	0	0	0	0	粘合剂
adieu	0	0	0	0	0	0	0	0	0	0	再见
adipose	0	0	0	0	0	1	0	0	0	0	脂肪
adjacency	0	0	0	0	0	0	0	0	0	0	邻接
adjacent	0	0	0	0	0	0	0	0	0	0	邻近的
adjective	0	0	0	0	0	0	0	0	0	0	形容词
adjoining	0	0	0	0	0	0	0	0	0	0	毗邻的
adjourn	0	0	0	0	0	0	0	0	0	0	休会
adjournment	0	0	0	0	0	0	0	0	0	0	休会
adjudicate	0	0	0	1	0	1	0	0	0	0	裁定
adjudication	0	0	0	0	0	0	0	0	0	0	裁决
adjunct	0	0	0	0	0	0	1	0	0	0	附件
adjust	0	0	0	0	0	0	0	0	0	0	调整
adjustment	0	0	0	0	0	0	0	0	0	0	调整
adjuvant	0	0	0	0	0	0	0	0	0	0	佐剂
administer	0	0	0	0	0	0	0	0	0	0	管理
administration	0	0	0	0	0	0	0	0	0	0	行政
administrative	0	0	0	0	0	0	0	0	0	1	行政的
admirable	0	0	0	0	1	0	1	0	0	1	令人钦佩
admiral	0	0	0	0	0	0	1	0	0	1	上将
admiralty	0	0	0	0	0	0	0	0	0	0	金钟
admiration	0	0	0	0	1	0	1	0	0	1	钦佩
admire	0	0	0	0	0	0	1	0	0	1	钦佩
admirer	0	0	0	0	0	0	1	0	0	0	爱慕者
admissibility	0	0	0	0	0	0	0	0	0	0	可受理性
admissible	0	0	0	0	0	0	1	0	0	1	可接受的
admission	0	0	0	0	0	0	0	0	0	0	录取
admit	0	0	0	0	0	0	0	0	0	0	承认
admittance	0	0	0	0	0	0	0	0	0	0	准入
admitted	0	0	0	0	0	0	0	0	0	0	录取
admitting	0	0	0	0	0	0	0	0	0	0	承认
admixture	0	0	0	0	0	0	0	0	0	0	混合物
admonition	0	0	0	1	0	1	0	0	0	0	警告
ado	0	0	0	0	0	0	0	0	0	0	废话
adobe	0	0	0	0	0	0	0	0	0	0	土坯
adolescence	0	0	0	0	0	0	0	0	0	0	青春期
adolescent	0	0	0	0	0	0	0	0	0	0	青少年
adopt	0	0	0	0	0	0	0	0	0	0	采纳
adoption	0	0	0	0	0	0	0	0	0	0	采用
adorable	0	0	0	0	1	0	1	0	0	0	可爱的
adoration	0	0	0	0	1	0	1	0	0	1	崇拜
adore	0	1	0	0	1	0	1	0	0	1	崇拜
adorn	0	0	0	0	0	0	0	0	0	0	装饰
adornment	0	0	0	0	0	0	0	0	0	0	装饰
adrift	0	1	0	1	0	1	0	1	0	0	漂流
adult	0	0	0	0	0	0	0	0	0	0	成人
adulterated	0	0	0	0	0	1	0	0	0	0	掺假
adultery	0	0	1	0	0	1	0	1	0	0	通奸
advance	0	1	0	1	1	0	1	0	1	0	进步
advanced	0	0	0	0	0	0	1	0	0	0	先进的
advancement	0	0	0	0	0	0	1	0	0	0	进步
advancing	0	0	0	0	0	0	0	0	0	0	前进
advantage	0	0	0	0	0	0	1	0	0	0	优势
advantageous	0	0	0	0	0	0	1	0	0	0	有利
advent	0	1	0	0	1	0	1	0	0	1	来临
adventure	0	1	0	0	0	0	1	0	0	0	冒险
adventurer	0	0	0	0	0	0	0	0	0	0	冒险家
adventurous	0	0	0	0	0	0	1	0	0	0	冒险的
adversary	1	0	0	0	0	1	0	0	0	0	对手
adverse	1	0	1	1	0	1	0	1	0	0	不利的
adversity	1	0	0	1	0	1	0	1	0	0	逆境
advertise	0	0	0	0	0	0	0	0	0	0	广告
advertisement	0	0	0	0	0	0	0	0	0	0	广告
advice	0	0	0	0	0	0	0	0	0	1	建议
advisable	0	0	0	0	0	0	1	0	0	1	可取的
advise	0	0	0	0	0	0	1	0	0	1	建议
advised	0	0	0	0	0	0	0	0	0	1	建议
advisement	0	0	0	0	0	0	0	0	0	0	建议
adviser	0	0	0	0	0	0	1	0	0	1	顾问
advocacy	1	1	0	0	1	0	1	0	0	1	倡导
advocate	0	0	0	0	0	0	0	0	0	1	提倡
aegis	0	0	0	0	0	0	0	0	0	0	宙斯盾
aeration	0	0	0	0	0	0	0	0	0	0	通风
aerial	0	0	0	0	0	0	0	0	0	0	天线
aerodrome	0	0	0	0	0	0	0	0	0	0	机场
aerodynamics	0	0	0	0	0	0	0	0	0	0	空气动力学
aeronautics	0	0	0	0	0	0	0	0	0	0	航空学
aeroplane	0	0	0	0	0	0	0	0	0	0	飞机
aesthetic	0	0	0	0	0	0	1	0	0	0	审美的
aesthetics	0	0	0	0	1	0	1	0	0	0	美学
aetiology	0	0	0	0	0	0	0	0	0	0	病因学
afar	0	0	0	0	0	0	0	0	0	0	远方
affable	0	0	0	0	0	0	1	0	0	0	和蔼可亲
affair	0	0	0	0	0	0	0	0	0	0	事务
affecting	0	0	0	0	0	0	0	0	0	0	影响
affection	0	0	0	0	1	0	1	0	0	1	感情
affections	0	0	0	0	0	0	0	0	0	0	感情
affiche	0	0	0	0	0	0	0	0	0	0	贴文
affidavit	0	0	0	0	0	0	0	0	0	0	宣誓书
affiliated	0	0	0	0	0	0	1	0	0	0	附属
affiliation	0	0	0	0	0	0	0	0	0	0	联系
affinity	0	0	0	0	0	0	0	0	0	0	亲和力
affirm	0	0	0	0	0	0	1	0	0	1	确认
affirmation	0	0	0	0	0	0	1	0	0	0	肯定
affirmative	0	0	0	0	0	0	1	0	0	0	肯定
affirmatively	0	0	0	0	0	0	1	0	0	1	肯定的
affix	0	0	0	0	0	0	0	0	0	0	词缀
afflict	0	0	0	1	0	1	0	1	0	0	折磨
afflicted	0	0	0	0	0	1	0	0	0	0	受苦
affliction	0	0	1	1	0	1	0	1	0	0	痛苦
affluence	0	0	0	0	1	0	1	0	0	0	富裕
affluent	0	0	0	0	0	0	1	0	0	0	富裕的
afford	0	0	0	0	0	0	1	0	0	0	买得起
affront	1	0	1	1	0	1	0	1	1	0	冒犯
afield	0	0	0	0	0	0	0	0	0	0	远方
afore	0	0	0	0	0	0	0	0	0	0	之前
aforementioned	0	0	0	0	0	0	0	0	0	0	前述
aforesaid	0	0	0	0	0	0	0	0	0	0	上述
afraid	0	0	0	1	0	1	0	0	0	0	害怕
afresh	0	0	0	0	0	0	0	0	0	0	重新
aft	0	0	0	0	0	0	0	0	0	0	船尾
aftermath	1	0	1	1	0	1	0	1	0	0	后果
afternoon	0	0	0	0	0	0	0	0	0	0	下午
aftertaste	0	0	0	0	0	1	0	0	0	0	回味
afterthought	0	0	0	0	0	0	0	0	0	0	事后诸葛亮
aga	0	0	0	1	0	0	1	0	0	1	阿加
agate	0	0	0	0	0	0	0	0	0	0	玛瑙
age	0	0	0	0	0	0	0	0	0	0	年龄
aged	0	0	0	0	0	0	0	0	0	0	陈年
agency	0	0	0	0	0	0	0	0	0	0	机构
agent	0	0	0	0	0	0	0	0	0	0	代理人
agglomeration	0	0	0	0	0	0	0	0	0	0	集聚
aggravated	1	0	0	0	0	1	0	0	0	0	加重
aggravating	1	0	0	0	0	1	0	1	0	0	加重
aggravation	1	0	1	0	0	1	0	0	0	0	加重
aggregate	0	0	0	0	0	0	0	0	0	0	总计的
aggregation	0	0	0	0	0	0	0	0	0	0	聚合
aggression	1	0	0	1	0	1	0	0	0	0	侵略
aggressive	1	0	0	1	0	1	0	0	0	0	挑衅的
aggressor	1	0	0	1	0	1	0	0	0	0	侵略者
aghast	0	0	1	1	0	1	0	0	1	0	吓坏了
agile	0	0	0	0	0	0	1	0	0	0	敏捷
agility	0	0	0	0	0	0	1	0	0	0	敏捷
agitated	1	0	0	0	0	1	0	0	0	0	激动
agitation	1	0	0	0	0	1	0	0	0	0	搅动
agnostic	0	0	0	0	0	0	0	0	0	0	不可知论者
ago	0	0	0	0	0	0	0	0	0	0	前
agonizing	0	0	0	1	0	1	0	0	0	0	痛苦的
agony	1	0	0	1	0	1	0	1	0	0	痛苦
agree	0	0	0	0	0	0	1	0	0	0	同意
agreeable	0	0	0	0	0	0	1	0	0	1	合适的
agreed	0	0	0	0	0	0	1	0	0	1	同意
agreeing	0	0	0	0	0	0	1	0	0	1	同意
agreement	0	0	0	0	0	0	1	0	0	1	协议
agricultural	0	0	0	0	0	0	0	0	0	0	农业
agriculture	0	0	0	0	0	0	1	0	0	0	农业
aground	0	0	0	0	0	1	0	0	0	0	搁浅
agua	0	0	0	0	0	0	0	0	0	0	阿瓜
ahead	0	0	0	0	0	0	1	0	0	0	先
aid	0	0	0	0	0	0	1	0	0	0	援助
aiding	0	0	0	0	0	0	1	0	0	0	帮助
ail	0	0	0	0	0	1	0	1	0	0	全部
ailing	0	0	0	1	0	1	0	1	0	0	生病了
ailment	0	0	0	0	0	0	0	0	0	0	病痛
aim	0	0	0	0	0	0	0	0	0	0	目标
aimless	0	0	0	0	0	1	0	0	0	0	漫无目的
air	0	0	0	0	0	0	0	0	0	0	空气
airbag	0	0	0	0	0	0	0	0	0	0	安全气囊
airlift	0	0	0	0	0	0	0	0	0	0	空运
airline	0	0	0	0	0	0	0	0	0	0	航空公司
airman	0	0	0	0	0	0	0	0	0	0	空军
airplane	0	0	0	0	0	0	0	0	0	0	飞机
airport	0	1	0	0	0	0	0	0	0	0	飞机场
airs	0	0	1	0	0	1	0	0	0	0	装腔作势
airship	0	0	0	0	0	0	0	0	0	0	飞艇
aisle	0	0	0	0	0	0	0	0	0	0	走道
ait	0	0	0	0	0	0	0	0	0	0	艾特
ajar	0	0	0	0	0	0	0	0	0	0	半开着
akin	0	0	0	0	0	0	0	0	0	1	类似的
alabaster	0	0	0	0	0	0	1	0	0	0	雪花石膏
alarm	0	0	0	1	0	1	0	0	1	0	警报
alarming	0	0	0	1	0	1	0	0	1	0	令人震惊的
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	专辑
alchemy	0	0	0	0	0	0	0	0	0	0	炼金术
alcohol	0	0	0	0	0	0	0	0	0	0	酒精
alcoholism	1	0	1	1	0	1	0	1	0	0	酗酒
alcove	0	0	0	0	0	0	0	0	0	0	壁龛
alert	0	0	0	0	0	0	0	0	0	0	警报
alertness	0	1	0	1	0	0	1	0	1	0	警觉
alerts	0	1	0	1	0	0	0	0	1	0	警报
alfalfa	0	0	0	0	0	0	0	0	0	0	苜蓿
algebra	0	0	0	0	0	0	0	0	0	0	代数
algebraic	0	0	0	0	0	0	0	0	0	0	代数的
algorithm	0	0	0	0	0	0	0	0	0	0	算法
alibi	0	0	0	0	0	0	0	0	0	0	不在场证明
alien	0	0	1	1	0	1	0	0	0	0	外星人
alienate	1	0	1	0	0	1	0	0	0	0	离间
alienated	0	0	0	0	0	1	0	1	0	0	疏远
alienation	1	0	1	1	0	1	0	1	0	0	异化
alight	0	0	0	0	0	0	0	0	0	0	下车
aligned	0	0	0	0	0	0	0	0	0	0	对齐
alignment	0	0	0	0	0	0	0	0	0	0	结盟
alike	0	0	0	0	0	0	0	0	0	0	一样
alimentation	0	0	0	0	0	0	1	0	0	0	营养
alimony	0	0	0	0	0	1	0	0	0	0	赡养费
aliquot	0	0	0	0	0	0	0	0	0	0	等分
alive	0	1	0	0	1	0	1	0	0	1	活
alkali	0	0	0	0	0	0	0	0	0	0	碱
alkaloids	0	0	0	0	0	0	0	0	0	0	生物碱
allay	0	0	0	0	0	0	1	0	0	0	缓和
allegation	1	0	0	0	0	1	0	0	0	0	指控
allege	0	0	0	0	0	1	0	0	0	0	指控
alleged	0	0	0	0	0	0	0	0	0	0	据称
allegiance	0	0	0	0	0	0	1	0	0	1	忠诚
allegorical	0	0	0	0	0	0	0	0	0	0	寓言的
allegory	0	0	0	0	0	0	0	0	0	0	寓言
allegro	0	0	0	0	0	0	1	0	0	0	快板
alleviate	0	0	0	0	0	0	1	0	0	0	减轻
alleviation	0	0	0	0	0	0	1	0	0	0	缓解
alley	0	0	0	0	0	0	0	0	0	0	胡同
alliance	0	0	0	0	0	0	0	0	0	1	联盟
allied	0	0	0	0	0	0	1	0	0	1	盟军
alligator	0	0	0	0	0	0	0	0	0	0	鳄鱼
allocate	0	0	0	0	0	0	0	0	0	0	分配
allocation	0	0	0	0	0	0	0	0	0	0	分配
allot	0	0	0	0	0	0	0	0	0	0	分配
allotment	0	0	0	0	0	0	0	0	0	0	分配
allowable	0	0	0	0	0	0	1	0	0	0	允许的
allowance	0	0	0	0	0	0	0	0	0	0	津贴
allowed	0	0	0	0	0	0	0	0	0	0	允许
alloy	0	0	0	0	0	0	0	0	0	0	合金
allure	0	1	0	0	1	0	1	0	1	0	引诱
alluring	0	0	0	0	0	0	1	0	0	0	诱人的
allusion	0	0	0	0	0	0	0	0	0	0	典故
alluvial	0	0	0	0	0	0	0	0	0	0	冲积层
ally	0	0	0	0	0	0	1	0	0	1	盟国
almanac	0	0	0	0	0	0	0	0	0	0	年历
almighty	0	0	0	0	0	0	1	0	0	0	万能的
aloft	0	0	0	0	0	0	0	0	0	0	高空
aloha	0	1	0	0	1	0	1	0	0	0	阿罗哈
alongside	0	0	0	0	0	0	0	0	0	0	旁边
aloof	0	0	0	0	0	1	0	0	0	0	超然
aloud	0	0	0	0	0	0	0	0	0	0	大声
alphabet	0	0	0	0	0	0	0	0	0	0	字母
alphabetical	0	0	0	0	0	0	0	0	0	0	按字母顺序
altar	0	0	0	0	0	0	0	0	0	0	坛
alter	0	0	0	0	0	0	0	0	0	0	改变
alteration	0	0	0	0	0	0	0	0	0	0	改造
altercation	1	0	0	0	0	1	0	0	0	0	争吵
altered	0	0	0	0	0	0	0	0	0	0	改变
alternate	0	0	0	0	0	0	0	0	0	0	备用
alternative	0	0	0	0	0	0	0	0	0	0	选择
altitude	0	0	0	0	0	0	0	0	0	0	高度
alto	0	0	0	0	0	0	0	0	0	0	中音
altogether	0	0	0	0	0	0	0	0	0	0	共
alumnus	0	0	0	0	0	0	0	0	0	0	校友
alveolar	0	0	0	0	0	0	0	0	0	0	肺泡
amalgam	0	0	0	0	0	0	0	0	0	0	汞合金
amalgamation	0	0	0	0	0	0	0	0	0	0	合并
amass	0	0	0	0	0	0	0	0	0	0	积累
amateur	0	0	0	0	0	0	0	0	0	0	业余
amaze	0	0	0	0	0	0	0	0	1	0	惊奇
amazement	0	0	0	0	0	0	0	0	0	0	惊愕
amazingly	0	0	0	0	1	0	1	0	1	0	惊人地
ambassador	0	0	0	0	0	0	1	0	0	1	大使
amber	0	0	0	0	0	0	0	0	0	0	琥珀色
ambient	0	0	0	0	0	0	0	0	0	0	周围
ambiguity	0	0	0	0	0	0	0	0	0	0	模棱两可
ambiguous	0	0	0	0	0	1	0	0	0	0	模糊的
ambit	0	0	0	0	0	0	0	0	0	0	范围
ambition	0	1	0	0	1	0	1	0	0	1	志向
ambitious	0	0	0	0	0	0	0	0	0	0	雄心勃勃
ambulance	0	0	0	1	0	0	0	0	0	1	救护车
ambush	1	0	0	1	0	1	0	0	1	0	伏击
ameliorate	0	0	0	0	0	0	1	0	0	0	改善
amen	0	0	0	0	1	0	1	0	0	1	阿门
amenable	0	0	0	0	0	0	1	0	0	0	顺从
amend	0	0	0	0	0	0	1	0	0	0	修正
amendment	0	0	0	0	0	0	0	0	0	0	修正案
amends	0	0	0	0	0	0	1	0	0	0	修正
amenity	0	0	0	0	0	0	1	0	0	0	便利设施
amethyst	0	0	0	0	0	0	0	0	0	0	紫晶
amiable	0	0	0	0	0	0	1	0	0	0	可亲
amicable	0	0	0	0	1	0	1	0	0	0	友善的
amid	0	0	0	0	0	0	0	0	0	0	之中
amidst	0	0	0	0	0	0	0	0	0	0	当中
ammonia	0	0	1	0	0	0	0	0	0	0	氨
ammunition	0	0	0	0	0	0	0	0	0	0	弹药
amnesia	0	0	0	0	0	1	0	0	0	0	健忘症
amnesty	0	0	0	0	1	0	1	0	0	0	大赦
amorphous	0	0	0	0	0	0	0	0	0	0	无定形
amortization	0	0	0	0	0	0	0	0	0	1	摊销
amount	0	0	0	0	0	0	0	0	0	0	数量
amour	0	1	0	0	1	0	1	0	0	1	恋情
ampersand	0	0	0	0	0	0	0	0	0	0	和号
amphetamines	0	0	1	0	0	1	0	0	0	0	苯丙胺类
amphibian	0	0	0	0	0	0	0	0	0	0	两栖动物
amphibious	0	0	0	0	0	0	0	0	0	0	水陆两用
amphitheater	0	0	0	0	0	0	0	0	0	0	圆形剧场
amplification	0	0	0	0	0	0	0	0	0	0	放大
amplify	0	0	0	0	0	0	0	0	0	0	放大
amplitude	0	0	0	0	0	0	0	0	0	0	振幅
amply	0	0	0	0	0	0	0	0	0	0	充分
amputation	0	0	0	0	0	0	0	0	0	0	截肢
amulet	0	0	0	0	0	0	0	0	0	0	护身符
amuse	0	0	0	0	1	0	1	0	0	0	逗乐
amused	0	0	0	0	1	0	1	0	0	0	逗乐了
amusement	0	0	0	0	1	0	1	0	0	0	娱乐
amusing	0	0	0	0	1	0	1	0	0	0	有趣
ana	0	0	0	0	0	0	0	0	0	0	安娜
anaconda	0	0	1	1	0	1	0	0	0	0	蟒蛇
anaesthesia	0	0	0	0	0	0	0	0	0	0	麻醉
anaesthetic	0	0	0	0	0	0	0	0	0	0	麻药
anal	0	0	0	0	0	1	0	0	0	0	肛门
analgesic	0	0	0	0	0	0	0	0	0	0	镇痛剂
analogous	0	0	0	0	0	0	0	0	0	0	类似的
analogue	0	0	0	0	0	0	0	0	0	0	类似物
analogy	0	0	0	0	0	0	0	0	0	0	比喻
analysis	0	0	0	0	0	0	0	0	0	0	分析
analyst	0	1	0	0	0	0	1	0	0	1	分析师
analytic	0	0	0	0	0	0	0	0	0	0	分析的
analyze	0	0	0	0	0	0	0	0	0	0	分析
