English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Swahili Word
addition	0	0	0	0	0	0	0	0	0	0	nyongeza
additional	0	0	0	0	0	0	0	0	0	0	ziada
additive	0	0	0	0	0	0	0	0	0	0	nyongeza
address	0	0	0	0	0	0	0	0	0	0	anwani
addressee	0	0	0	0	0	0	0	0	0	0	mwajiriwa
addresses	0	1	0	0	0	0	1	0	0	0	anwani
adept	0	0	0	0	0	0	1	0	0	0	mahiri
adequacy	0	0	0	0	0	0	1	0	0	0	utoshelevu
adequate	0	0	0	0	0	0	0	0	0	0	ya kutosha
adhere	0	0	0	0	0	0	0	0	0	0	kuambatana
adherence	0	0	0	0	0	0	0	0	0	0	ufuasi
adherent	0	0	0	0	0	0	0	0	0	0	mfuasi
adhering	0	0	0	0	0	0	0	0	0	1	kuambatana
adhesion	0	0	0	0	0	0	0	0	0	0	kujitoa
adhesive	0	0	0	0	0	0	0	0	0	0	wambiso
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	mafuta
adjacency	0	0	0	0	0	0	0	0	0	0	ukaribu
adjacent	0	0	0	0	0	0	0	0	0	0	karibu
adjective	0	0	0	0	0	0	0	0	0	0	kivumishi
adjoining	0	0	0	0	0	0	0	0	0	0	inayopakana
adjourn	0	0	0	0	0	0	0	0	0	0	kuahirisha
adjournment	0	0	0	0	0	0	0	0	0	0	kuahirisha
adjudicate	0	0	0	1	0	1	0	0	0	0	kuhukumu
adjudication	0	0	0	0	0	0	0	0	0	0	uamuzi
adjunct	0	0	0	0	0	0	1	0	0	0	kiambatanisho
adjust	0	0	0	0	0	0	0	0	0	0	rekebisha
adjustment	0	0	0	0	0	0	0	0	0	0	marekebisho
adjuvant	0	0	0	0	0	0	0	0	0	0	msaidizi
administer	0	0	0	0	0	0	0	0	0	0	simamia
administration	0	0	0	0	0	0	0	0	0	0	utawala
administrative	0	0	0	0	0	0	0	0	0	1	kiutawala
admirable	0	0	0	0	1	0	1	0	0	1	ya kupendeza
admiral	0	0	0	0	0	0	1	0	0	1	admirali
admiralty	0	0	0	0	0	0	0	0	0	0	admiralty
admiration	0	0	0	0	1	0	1	0	0	1	pongezi
admire	0	0	0	0	0	0	1	0	0	1	admire
admirer	0	0	0	0	0	0	1	0	0	0	admirer
admissibility	0	0	0	0	0	0	0	0	0	0	kukubalika
admissible	0	0	0	0	0	0	1	0	0	1	inayokubalika
admission	0	0	0	0	0	0	0	0	0	0	kiingilio
admit	0	0	0	0	0	0	0	0	0	0	kubali
admittance	0	0	0	0	0	0	0	0	0	0	kiingilio
admitted	0	0	0	0	0	0	0	0	0	0	alikubali
admitting	0	0	0	0	0	0	0	0	0	0	kukiri
admixture	0	0	0	0	0	0	0	0	0	0	mchanganyiko
admonition	0	0	0	1	0	1	0	0	0	0	mawaidha
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	ujana
adolescent	0	0	0	0	0	0	0	0	0	0	kijana
adopt	0	0	0	0	0	0	0	0	0	0	kupitisha
adoption	0	0	0	0	0	0	0	0	0	0	kupitishwa
adorable	0	0	0	0	1	0	1	0	0	0	ya kupendeza
adoration	0	0	0	0	1	0	1	0	0	1	kuabudu
adore	0	1	0	0	1	0	1	0	0	1	kuabudu
adorn	0	0	0	0	0	0	0	0	0	0	kupamba
adornment	0	0	0	0	0	0	0	0	0	0	pambo
adrift	0	1	0	1	0	1	0	1	0	0	adrift
adult	0	0	0	0	0	0	0	0	0	0	mtu mzima
adulterated	0	0	0	0	0	1	0	0	0	0	iliyoziniwa
adultery	0	0	1	0	0	1	0	1	0	0	uzinzi
advance	0	1	0	1	1	0	1	0	1	0	mapema
advanced	0	0	0	0	0	0	1	0	0	0	ya juu
advancement	0	0	0	0	0	0	1	0	0	0	maendeleo
advancing	0	0	0	0	0	0	0	0	0	0	kusonga mbele
advantage	0	0	0	0	0	0	1	0	0	0	faida
advantageous	0	0	0	0	0	0	1	0	0	0	yenye faida
advent	0	1	0	0	1	0	1	0	0	1	ujio
adventure	0	1	0	0	0	0	1	0	0	0	tukio
adventurer	0	0	0	0	0	0	0	0	0	0	mzinduzi
adventurous	0	0	0	0	0	0	1	0	0	0	wajasiri
adversary	1	0	0	0	0	1	0	0	0	0	adui
adverse	1	0	1	1	0	1	0	1	0	0	mbaya
adversity	1	0	0	1	0	1	0	1	0	0	shida
advertise	0	0	0	0	0	0	0	0	0	0	tangaza
advertisement	0	0	0	0	0	0	0	0	0	0	tangazo
advice	0	0	0	0	0	0	0	0	0	1	ushauri
advisable	0	0	0	0	0	0	1	0	0	1	inashauriwa
advise	0	0	0	0	0	0	1	0	0	1	ushauri
advised	0	0	0	0	0	0	0	0	0	1	alishauri
advisement	0	0	0	0	0	0	0	0	0	0	ushauri
adviser	0	0	0	0	0	0	1	0	0	1	mshauri
advocacy	1	1	0	0	1	0	1	0	0	1	utetezi
advocate	0	0	0	0	0	0	0	0	0	1	mtetezi
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	uingizaji hewa
aerial	0	0	0	0	0	0	0	0	0	0	angani
aerodrome	0	0	0	0	0	0	0	0	0	0	uwanja wa ndege
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	angani
aeroplane	0	0	0	0	0	0	0	0	0	0	ndege
aesthetic	0	0	0	0	0	0	1	0	0	0	uzuri
aesthetics	0	0	0	0	1	0	1	0	0	0	uzuri
aetiology	0	0	0	0	0	0	0	0	0	0	etiolojia
afar	0	0	0	0	0	0	0	0	0	0	mbali
affable	0	0	0	0	0	0	1	0	0	0	mwenye urafiki
affair	0	0	0	0	0	0	0	0	0	0	jambo
affecting	0	0	0	0	0	0	0	0	0	0	kuathiri
affection	0	0	0	0	1	0	1	0	0	1	mapenzi
affections	0	0	0	0	0	0	0	0	0	0	mapenzi
affiche	0	0	0	0	0	0	0	0	0	0	afiche
affidavit	0	0	0	0	0	0	0	0	0	0	hati ya kiapo
affiliated	0	0	0	0	0	0	1	0	0	0	inayohusishwa
affiliation	0	0	0	0	0	0	0	0	0	0	ushirika
affinity	0	0	0	0	0	0	0	0	0	0	mshikamano
affirm	0	0	0	0	0	0	1	0	0	1	thibitisha
affirmation	0	0	0	0	0	0	1	0	0	0	uthibitisho
affirmative	0	0	0	0	0	0	1	0	0	0	uthibitisho
affirmatively	0	0	0	0	0	0	1	0	0	1	kwa uthibitisho
affix	0	0	0	0	0	0	0	0	0	0	weka
afflict	0	0	0	1	0	1	0	1	0	0	sumbua
afflicted	0	0	0	0	0	1	0	0	0	0	kuteswa
affliction	0	0	1	1	0	1	0	1	0	0	mateso
affluence	0	0	0	0	1	0	1	0	0	0	utajiri
affluent	0	0	0	0	0	0	1	0	0	0	tajiri
afford	0	0	0	0	0	0	1	0	0	0	kumudu
affront	1	0	1	1	0	1	0	1	1	0	dharau
afield	0	0	0	0	0	0	0	0	0	0	pembeni
afore	0	0	0	0	0	0	0	0	0	0	mbele
aforementioned	0	0	0	0	0	0	0	0	0	0	zilizotajwa hapo awali
aforesaid	0	0	0	0	0	0	0	0	0	0	zilizotajwa hapo juu
afraid	0	0	0	1	0	1	0	0	0	0	hofu
afresh	0	0	0	0	0	0	0	0	0	0	upya
aft	0	0	0	0	0	0	0	0	0	0	nyuma
aftermath	1	0	1	1	0	1	0	1	0	0	matokeo
afternoon	0	0	0	0	0	0	0	0	0	0	mchana
aftertaste	0	0	0	0	0	1	0	0	0	0	ladha ya baadae
afterthought	0	0	0	0	0	0	0	0	0	0	mawazo ya baadaye
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	umri
aged	0	0	0	0	0	0	0	0	0	0	mzee
agency	0	0	0	0	0	0	0	0	0	0	wakala
agent	0	0	0	0	0	0	0	0	0	0	wakala
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomeration
aggravated	1	0	0	0	0	1	0	0	0	0	kuchochewa
aggravating	1	0	0	0	0	1	0	1	0	0	kuzidisha
aggravation	1	0	1	0	0	1	0	0	0	0	kuzidisha
aggregate	0	0	0	0	0	0	0	0	0	0	jumla ya mabao
aggregation	0	0	0	0	0	0	0	0	0	0	mkusanyiko
aggression	1	0	0	1	0	1	0	0	0	0	uchokozi
aggressive	1	0	0	1	0	1	0	0	0	0	mwenye fujo
aggressor	1	0	0	1	0	1	0	0	0	0	mchokozi
aghast	0	0	1	1	0	1	0	0	1	0	mshtuko
agile	0	0	0	0	0	0	1	0	0	0	mwepesi
agility	0	0	0	0	0	0	1	0	0	0	wepesi
agitated	1	0	0	0	0	1	0	0	0	0	kuchafuka
agitation	1	0	0	0	0	1	0	0	0	0	fadhaa
agnostic	0	0	0	0	0	0	0	0	0	0	asiyeaminika
ago	0	0	0	0	0	0	0	0	0	0	iliyopita
agonizing	0	0	0	1	0	1	0	0	0	0	yenye uchungu
agony	1	0	0	1	0	1	0	1	0	0	uchungu
agree	0	0	0	0	0	0	1	0	0	0	kubali
agreeable	0	0	0	0	0	0	1	0	0	1	yanayokubalika
agreed	0	0	0	0	0	0	1	0	0	1	alikubali
agreeing	0	0	0	0	0	0	1	0	0	1	kukubaliana
agreement	0	0	0	0	0	0	1	0	0	1	makubaliano
agricultural	0	0	0	0	0	0	0	0	0	0	kilimo
agriculture	0	0	0	0	0	0	1	0	0	0	kilimo
aground	0	0	0	0	0	1	0	0	0	0	ardhini
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	mbele
aid	0	0	0	0	0	0	1	0	0	0	msaada
aiding	0	0	0	0	0	0	1	0	0	0	kusaidia
ail	0	0	0	0	0	1	0	1	0	0	ugonjwa
ailing	0	0	0	1	0	1	0	1	0	0	mgonjwa
ailment	0	0	0	0	0	0	0	0	0	0	maradhi
aim	0	0	0	0	0	0	0	0	0	0	lengo
aimless	0	0	0	0	0	1	0	0	0	0	bila malengo
air	0	0	0	0	0	0	0	0	0	0	hewa
airbag	0	0	0	0	0	0	0	0	0	0	mfuko wa hewa
airlift	0	0	0	0	0	0	0	0	0	0	kusafirisha ndege
airline	0	0	0	0	0	0	0	0	0	0	shirika la ndege
airman	0	0	0	0	0	0	0	0	0	0	mfanyakazi wa ndege
airplane	0	0	0	0	0	0	0	0	0	0	ndege
airport	0	1	0	0	0	0	0	0	0	0	uwanja wa ndege
airs	0	0	1	0	0	1	0	0	0	0	hewa
airship	0	0	0	0	0	0	0	0	0	0	ndege
aisle	0	0	0	0	0	0	0	0	0	0	njia
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajari
akin	0	0	0	0	0	0	0	0	0	1	inayofanana
alabaster	0	0	0	0	0	0	1	0	0	0	alabasta
alarm	0	0	0	1	0	1	0	0	1	0	kengele
alarming	0	0	0	1	0	1	0	0	1	0	ya kutisha
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	albamu
alchemy	0	0	0	0	0	0	0	0	0	0	alkemia
alcohol	0	0	0	0	0	0	0	0	0	0	pombe
alcoholism	1	0	1	1	0	1	0	1	0	0	ulevi
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	tahadhari
alertness	0	1	0	1	0	0	1	0	1	0	tahadhari
alerts	0	1	0	1	0	0	0	0	1	0	arifa
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebra
algorithm	0	0	0	0	0	0	0	0	0	0	algorithm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	mgeni
alienate	1	0	1	0	0	1	0	0	0	0	kuwatenganisha
alienated	0	0	0	0	0	1	0	1	0	0	kutengwa
alienation	1	0	1	1	0	1	0	1	0	0	kutengwa
alight	0	0	0	0	0	0	0	0	0	0	kushuka
aligned	0	0	0	0	0	0	0	0	0	0	iliyokaa
alignment	0	0	0	0	0	0	0	0	0	0	alignment
alike	0	0	0	0	0	0	0	0	0	0	sawa
alimentation	0	0	0	0	0	0	1	0	0	0	lishe
alimony	0	0	0	0	0	1	0	0	0	0	alimony
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	hai
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	allay
allegation	1	0	0	0	0	1	0	0	0	0	madai
allege	0	0	0	0	0	1	0	0	0	0	kudai
alleged	0	0	0	0	0	0	0	0	0	0	inadaiwa
allegiance	0	0	0	0	0	0	1	0	0	1	utii
allegorical	0	0	0	0	0	0	0	0	0	0	ya mafumbo
allegory	0	0	0	0	0	0	0	0	0	0	mafumbo
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	kupunguza
alleviation	0	0	0	0	0	0	1	0	0	0	kupunguza
alley	0	0	0	0	0	0	0	0	0	0	uchochoro
alliance	0	0	0	0	0	0	0	0	0	1	Muungano
allied	0	0	0	0	0	0	1	0	0	1	washirika
alligator	0	0	0	0	0	0	0	0	0	0	mamba
allocate	0	0	0	0	0	0	0	0	0	0	kutenga
allocation	0	0	0	0	0	0	0	0	0	0	ugawaji
allot	0	0	0	0	0	0	0	0	0	0	gawa
allotment	0	0	0	0	0	0	0	0	0	0	mgao
allowable	0	0	0	0	0	0	1	0	0	0	kuruhusiwa
allowance	0	0	0	0	0	0	0	0	0	0	posho
allowed	0	0	0	0	0	0	0	0	0	0	ruhusiwa
alloy	0	0	0	0	0	0	0	0	0	0	aloi
allure	0	1	0	0	1	0	1	0	1	0	kuvutia
alluring	0	0	0	0	0	0	1	0	0	0	kuvutia
allusion	0	0	0	0	0	0	0	0	0	0	dokezo
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	mshirika
almanac	0	0	0	0	0	0	0	0	0	0	almanaka
almighty	0	0	0	0	0	0	1	0	0	0	mwenyezi
aloft	0	0	0	0	0	0	0	0	0	0	juu
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	kando
aloof	0	0	0	0	0	1	0	0	0	0	mbali
aloud	0	0	0	0	0	0	0	0	0	0	kwa sauti kubwa
alphabet	0	0	0	0	0	0	0	0	0	0	alfabeti
alphabetical	0	0	0	0	0	0	0	0	0	0	kialfabeti
altar	0	0	0	0	0	0	0	0	0	0	madhabahu
alter	0	0	0	0	0	0	0	0	0	0	badilisha
alteration	0	0	0	0	0	0	0	0	0	0	mabadiliko
altercation	1	0	0	0	0	1	0	0	0	0	ugomvi
altered	0	0	0	0	0	0	0	0	0	0	imebadilishwa
alternate	0	0	0	0	0	0	0	0	0	0	mbadala
alternative	0	0	0	0	0	0	0	0	0	0	mbadala
altitude	0	0	0	0	0	0	0	0	0	0	urefu
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	kabisa
alumnus	0	0	0	0	0	0	0	0	0	0	mhitimu
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	muunganisho
amass	0	0	0	0	0	0	0	0	0	0	kukusanya
amateur	0	0	0	0	0	0	0	0	0	0	amateur
amaze	0	0	0	0	0	0	0	0	1	0	shangaa
amazement	0	0	0	0	0	0	0	0	0	0	mshangao
amazingly	0	0	0	0	1	0	1	0	1	0	ajabu
ambassador	0	0	0	0	0	0	1	0	0	1	balozi
amber	0	0	0	0	0	0	0	0	0	0	kahawia
ambient	0	0	0	0	0	0	0	0	0	0	mazingira
ambiguity	0	0	0	0	0	0	0	0	0	0	utata
ambiguous	0	0	0	0	0	1	0	0	0	0	utata
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	tamaa
ambitious	0	0	0	0	0	0	0	0	0	0	mwenye tamaa
ambulance	0	0	0	1	0	0	0	0	0	1	gari la wagonjwa
ambush	1	0	0	1	0	1	0	0	1	0	kuvizia
ameliorate	0	0	0	0	0	0	1	0	0	0	boresha
amen	0	0	0	0	1	0	1	0	0	1	amina
amenable	0	0	0	0	0	0	1	0	0	0	inakubalika
amend	0	0	0	0	0	0	1	0	0	0	rekebisha
amendment	0	0	0	0	0	0	0	0	0	0	marekebisho
amends	0	0	0	0	0	0	1	0	0	0	hurekebisha
amenity	0	0	0	0	0	0	1	0	0	0	huduma
amethyst	0	0	0	0	0	0	0	0	0	0	amethisto
amiable	0	0	0	0	0	0	1	0	0	0	mwenye kupendeza
amicable	0	0	0	0	1	0	1	0	0	0	mwenye urafiki
amid	0	0	0	0	0	0	0	0	0	0	kati
amidst	0	0	0	0	0	0	0	0	0	0	kati
ammonia	0	0	1	0	0	0	0	0	0	0	amonia
ammunition	0	0	0	0	0	0	0	0	0	0	risasi
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	msamaha
amorphous	0	0	0	0	0	0	0	0	0	0	amofasi
amortization	0	0	0	0	0	0	0	0	0	1	upunguzaji wa madeni
amount	0	0	0	0	0	0	0	0	0	0	kiasi
amour	0	1	0	0	1	0	1	0	0	1	upendo
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
