English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Tajik Word
abrasion	0	0	0	0	0	1	0	0	0	0	абрешим
abroad	0	0	0	0	0	0	0	0	0	0	дар хорича
abrogate	0	0	0	0	0	1	0	0	0	0	бекор кунад
abrupt	0	0	0	0	0	0	0	0	1	0	якбора
abruptly	0	0	0	0	0	0	0	0	0	0	ногаҳон
abscess	0	0	0	0	0	1	0	1	0	0	абсцесс
absence	0	0	0	1	0	1	0	1	0	0	набудани
absent	0	0	0	0	0	1	0	1	0	0	ғоиб
absentee	0	0	0	0	0	1	0	1	0	0	ғоибона
absenteeism	0	0	0	0	0	1	0	0	0	0	прогул
absinthe	0	0	0	0	0	0	0	0	0	0	абсент
absolute	0	0	0	0	0	0	1	0	0	0	мутлаќ
absolution	0	0	0	0	1	0	1	0	0	1	озодшавй
absorbed	0	0	0	0	0	0	1	0	0	0	ҷаббида
absorbent	0	0	0	0	0	0	0	0	0	0	абсорбент
absorbing	0	0	0	0	0	0	0	0	0	0	ҷаббида
absorption	0	0	0	0	0	0	0	0	0	0	азхудкунӣ
abstain	0	0	0	0	0	0	0	0	0	0	худдорӣ кардан
abstention	0	0	0	0	0	0	0	0	0	0	бетараф будан
abstinence	0	0	0	0	0	0	0	0	0	0	худдорӣ
abstract	0	0	0	0	0	0	0	0	0	0	реферат
abstraction	0	0	0	0	0	0	0	0	0	0	абстракция
absurd	0	0	0	0	0	1	0	0	0	0	бемаънӣ
absurdity	0	0	0	0	0	1	0	0	0	0	бемаънӣ
abundance	0	1	1	0	1	1	1	0	0	1	фаровонй
abundant	0	0	0	0	1	0	1	0	0	0	фаровон
abuse	1	0	1	1	0	1	0	1	0	0	сӯиистифода
abutment	0	0	0	0	0	0	0	0	0	0	таваққуф
aby	0	0	0	0	0	0	0	0	0	0	абй
abysmal	0	0	0	0	0	1	0	1	0	0	бениҳоят
abyss	0	0	0	1	0	1	0	1	0	0	варта
academic	0	0	0	0	0	0	1	0	0	1	академик
academy	0	0	0	0	0	0	1	0	0	0	академия
accede	0	0	0	0	0	0	0	0	0	0	розй шудан
accelerate	0	1	0	0	0	0	0	0	0	0	тезондан
acceleration	0	0	0	0	0	0	0	0	0	0	суръатбахшӣ
accent	0	0	0	0	0	0	0	0	0	0	акцент
accentuate	0	0	0	0	0	0	0	0	0	0	таъкид кардан
accept	0	0	0	0	0	0	0	0	0	0	кабул
acceptable	0	0	0	0	0	0	1	0	0	0	қобили қабул
acceptance	0	0	0	0	0	0	1	0	0	0	қабул
access	0	0	0	0	0	0	0	0	0	0	дастрасӣ
accessible	0	0	0	0	0	0	1	0	0	0	дастрас
accession	0	0	0	0	0	0	0	0	0	0	ҳамроҳшавӣ
accessory	0	0	0	0	0	0	0	0	0	0	лавозимот
accident	0	0	0	1	0	1	0	1	1	0	садама
accidental	0	0	0	1	0	1	0	0	1	0	тасодуфӣ
accidentally	0	0	0	0	0	0	0	0	1	0	тасодуфан
accolade	0	1	0	0	1	0	1	0	1	1	таъриф
accommodate	0	0	0	0	0	0	0	0	0	0	ҷойгир кардан
accommodation	0	0	0	0	0	0	1	0	0	0	манзил
accompaniment	0	1	0	0	1	0	1	0	0	1	ҳамроҳӣ
accompany	0	0	0	0	0	0	0	0	0	0	ҳамроҳӣ кардан
accompanying	0	0	0	0	0	0	0	0	0	0	ҳамроҳ шудан
accomplice	0	0	0	0	0	0	0	0	0	0	шарик
accomplish	0	0	0	0	1	0	1	0	0	0	ичро кардан
accomplished	0	0	0	0	1	0	1	0	0	0	анҷом ёфт
accomplishment	0	0	0	0	0	0	1	0	0	0	комёбй
accord	0	0	0	0	0	0	1	0	0	1	созиш
accordance	0	0	0	0	0	0	0	0	0	0	мувофиқ
accordion	0	0	0	0	0	0	0	0	0	0	аккордеон
account	0	0	0	0	0	0	0	0	0	1	ҳисоб
accountability	0	0	0	0	0	0	1	0	0	1	масъулиятшиносӣ
accountable	0	0	0	0	0	0	1	0	0	1	масъулиятнок
accountant	0	0	0	0	0	0	0	0	0	1	бухгалтер
accounting	0	0	0	0	0	0	0	0	0	0	бухгалтерия
accounts	0	0	0	0	0	0	0	0	0	1	ҳисобҳо
accredited	0	0	0	0	0	0	1	0	0	1	аккредитатсия шудааст
accretion	0	0	0	0	0	0	0	0	0	0	ҷамъшавӣ
accrue	0	0	0	0	0	0	0	0	0	0	ҷамъ мешавад
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	ҷамъ кардан
accumulation	0	0	0	0	0	0	0	0	0	0	ҷамъшавӣ
accuracy	0	0	0	0	0	0	0	0	0	0	дақиқӣ
accurate	0	0	0	0	0	0	1	0	0	1	дақиқ
accursed	1	0	0	1	0	1	0	1	0	0	лаънат
accusation	1	0	1	0	0	1	0	0	0	0	айбнома
accusative	0	0	0	0	0	1	0	0	0	0	айбдоркунанда
accused	1	0	0	1	0	1	0	0	0	0	айбдор
accuser	1	0	0	1	0	1	0	0	0	0	айбдоркунанда
accusing	1	0	0	1	0	1	0	0	0	0	айбдор кардан
accustomed	0	0	0	0	0	0	0	0	0	0	одат кардааст
ace	0	0	0	0	0	0	1	0	0	0	ас
acetic	0	0	0	0	0	0	0	0	0	0	уксус
ache	0	0	0	0	0	1	0	1	0	0	дард
achieve	0	0	0	0	1	0	1	0	0	1	ноил гарданд
achievement	0	1	0	0	1	0	1	0	0	1	дастовард
aching	0	0	0	0	0	1	0	1	0	0	дарднок
acid	0	0	0	0	0	1	0	0	0	0	кислота
acidity	0	0	0	0	0	0	0	0	0	0	кислотаҳо
acknowledge	0	0	0	0	0	0	0	0	0	0	эътироф кардан
acknowledged	0	0	0	0	0	0	0	0	0	0	эътироф намуд
acknowledgment	0	0	0	0	0	0	1	0	0	0	эътироф
acme	0	0	0	0	0	0	0	0	0	0	акме
acoustic	0	0	0	0	0	0	0	0	0	0	акустикӣ
acoustics	0	0	0	0	0	0	0	0	0	0	акустика
acquaint	0	0	0	0	0	0	0	0	0	0	шинос шудан
acquaintance	0	0	0	0	0	0	0	0	0	0	шиносоӣ
acquainted	0	0	0	0	0	0	0	0	0	0	шинос шуд
acquiescence	0	0	0	0	0	0	0	0	0	0	итоат кардан
acquire	0	0	0	0	0	0	1	0	0	0	ба даст оранд
acquiring	0	1	0	0	0	0	1	0	0	0	ба даст овардан
acquisition	0	0	0	0	0	0	0	0	0	0	ба даст овардан
acquisitions	0	0	0	0	0	0	0	0	0	0	харид
acreage	0	0	0	0	0	0	0	0	0	0	майдони кишт
acres	0	0	0	0	0	0	0	0	0	0	гектар
acrobat	0	0	0	1	1	0	1	0	0	1	акробат
act	0	0	0	0	0	0	0	0	0	0	амал
acting	0	0	0	0	0	0	0	0	0	0	амалкунанда
action	0	0	0	0	0	0	1	0	0	0	амал
actionable	1	0	1	0	0	1	0	0	0	0	амалишаванда
active	0	0	0	0	0	0	0	0	0	0	фаъол
activity	0	0	0	0	0	0	0	0	0	0	фаъолият
actor	0	0	0	0	0	0	0	0	0	0	актёр
actual	0	0	0	0	0	0	1	0	0	0	воқеӣ
actuality	0	0	0	0	0	0	0	0	0	0	воқеият
actuary	0	0	0	0	0	0	0	0	0	0	актуарй
acuity	0	0	0	0	0	0	1	0	0	0	шиддат
acumen	0	0	0	0	0	0	1	0	0	0	зеҳн
acupuncture	0	0	0	0	0	0	0	0	0	0	акупунктура
acutely	0	0	0	0	0	0	0	0	0	0	шадид
adage	0	0	0	0	0	0	0	0	0	0	масал
adamant	0	0	0	0	0	0	0	0	0	0	катъй
adapt	0	0	0	0	0	0	1	0	0	0	мутобиқ кардан
adaptable	0	0	0	0	0	0	1	0	0	0	мутобиқшаванда
add	0	0	0	0	0	0	0	0	0	0	илова кунед
added	0	0	0	0	0	0	0	0	0	0	илова кард
addendum	0	0	0	0	0	0	0	0	0	0	илова
adder	1	0	1	1	0	1	0	1	0	0	ҷамъкунанда
addiction	0	0	0	0	0	1	0	0	0	0	нашъамандӣ
addition	0	0	0	0	0	0	0	0	0	0	илова
additional	0	0	0	0	0	0	0	0	0	0	иловагӣ
additive	0	0	0	0	0	0	0	0	0	0	илова
address	0	0	0	0	0	0	0	0	0	0	суроға
addressee	0	0	0	0	0	0	0	0	0	0	мухотаб
addresses	0	1	0	0	0	0	1	0	0	0	суроғаҳо
adept	0	0	0	0	0	0	1	0	0	0	моҳир
adequacy	0	0	0	0	0	0	1	0	0	0	кифоя
adequate	0	0	0	0	0	0	0	0	0	0	кифоя
adhere	0	0	0	0	0	0	0	0	0	0	риоя кунед
adherence	0	0	0	0	0	0	0	0	0	0	риоя кардан
adherent	0	0	0	0	0	0	0	0	0	0	пайрав
adhering	0	0	0	0	0	0	0	0	0	1	риоя кардан
adhesion	0	0	0	0	0	0	0	0	0	0	адгезия
adhesive	0	0	0	0	0	0	0	0	0	0	часпак
adieu	0	0	0	0	0	0	0	0	0	0	салом
adipose	0	0	0	0	0	1	0	0	0	0	равган
adjacency	0	0	0	0	0	0	0	0	0	0	ҳамсоягӣ
adjacent	0	0	0	0	0	0	0	0	0	0	ҳамсоя
adjective	0	0	0	0	0	0	0	0	0	0	сифат
adjoining	0	0	0	0	0	0	0	0	0	0	ҳамсоя
adjourn	0	0	0	0	0	0	0	0	0	0	мавқуф гузоштан
adjournment	0	0	0	0	0	0	0	0	0	0	танаффус
adjudicate	0	0	0	1	0	1	0	0	0	0	ҳукм кардан
adjudication	0	0	0	0	0	0	0	0	0	0	ҳукм
adjunct	0	0	0	0	0	0	1	0	0	0	ёрирасон
adjust	0	0	0	0	0	0	0	0	0	0	танзим
adjustment	0	0	0	0	0	0	0	0	0	0	танзим
adjuvant	0	0	0	0	0	0	0	0	0	0	адъювант
administer	0	0	0	0	0	0	0	0	0	0	идора кардан
administration	0	0	0	0	0	0	0	0	0	0	маъмурият
administrative	0	0	0	0	0	0	0	0	0	1	маъмурй
admirable	0	0	0	0	1	0	1	0	0	1	шоёни таъриф
admiral	0	0	0	0	0	0	1	0	0	1	адмирал
admiralty	0	0	0	0	0	0	0	0	0	0	адмиралти
admiration	0	0	0	0	1	0	1	0	0	1	мафтуни
admire	0	0	0	0	0	0	1	0	0	1	таъриф кардан
admirer	0	0	0	0	0	0	1	0	0	0	мухлис
admissibility	0	0	0	0	0	0	0	0	0	0	қобили қабул
admissible	0	0	0	0	0	0	1	0	0	1	қобили қабул аст
admission	0	0	0	0	0	0	0	0	0	0	қабул
admit	0	0	0	0	0	0	0	0	0	0	эътироф
admittance	0	0	0	0	0	0	0	0	0	0	дохилшавӣ
admitted	0	0	0	0	0	0	0	0	0	0	иқрор шуд
admitting	0	0	0	0	0	0	0	0	0	0	эътироф кардан
admixture	0	0	0	0	0	0	0	0	0	0	омехта
admonition	0	0	0	1	0	1	0	0	0	0	панд
ado	0	0	0	0	0	0	0	0	0	0	адо
adobe	0	0	0	0	0	0	0	0	0	0	Adobe
adolescence	0	0	0	0	0	0	0	0	0	0	наврасӣ
adolescent	0	0	0	0	0	0	0	0	0	0	наврас
adopt	0	0	0	0	0	0	0	0	0	0	кабул кардан
adoption	0	0	0	0	0	0	0	0	0	0	фарзандхондӣ
adorable	0	0	0	0	1	0	1	0	0	0	дилпазир
adoration	0	0	0	0	1	0	1	0	0	1	парастиш
adore	0	1	0	0	1	0	1	0	0	1	мепарастед
adorn	0	0	0	0	0	0	0	0	0	0	оро додан
adornment	0	0	0	0	0	0	0	0	0	0	зинат
adrift	0	1	0	1	0	1	0	1	0	0	дарафтод
adult	0	0	0	0	0	0	0	0	0	0	калонсол
adulterated	0	0	0	0	0	1	0	0	0	0	сохташуда
adultery	0	0	1	0	0	1	0	1	0	0	зино
advance	0	1	0	1	1	0	1	0	1	0	пешакй
advanced	0	0	0	0	0	0	1	0	0	0	пешрафта
advancement	0	0	0	0	0	0	1	0	0	0	пешрафт
advancing	0	0	0	0	0	0	0	0	0	0	пеш рафта истодааст
advantage	0	0	0	0	0	0	1	0	0	0	бартарй
advantageous	0	0	0	0	0	0	1	0	0	0	фоиданок
advent	0	1	0	0	1	0	1	0	0	1	пайдоиш
adventure	0	1	0	0	0	0	1	0	0	0	саргузашт
adventurer	0	0	0	0	0	0	0	0	0	0	авантюрист
adventurous	0	0	0	0	0	0	1	0	0	0	моҷароҷӯ
adversary	1	0	0	0	0	1	0	0	0	0	душман
adverse	1	0	1	1	0	1	0	1	0	0	манфӣ
adversity	1	0	0	1	0	1	0	1	0	0	мусибат
advertise	0	0	0	0	0	0	0	0	0	0	таблиғ кунед
advertisement	0	0	0	0	0	0	0	0	0	0	реклама
advice	0	0	0	0	0	0	0	0	0	1	маслиҳат
advisable	0	0	0	0	0	0	1	0	0	1	тавсияшаванда
advise	0	0	0	0	0	0	1	0	0	1	маслиҳат диҳед
advised	0	0	0	0	0	0	0	0	0	1	маслихат дод
advisement	0	0	0	0	0	0	0	0	0	0	маслиҳат
adviser	0	0	0	0	0	0	1	0	0	1	мушовир
advocacy	1	1	0	0	1	0	1	0	0	1	таргибот
advocate	0	0	0	0	0	0	0	0	0	1	ҳимоятгар
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	аэрация
aerial	0	0	0	0	0	0	0	0	0	0	ҳавоӣ
aerodrome	0	0	0	0	0	0	0	0	0	0	аэродром
aerodynamics	0	0	0	0	0	0	0	0	0	0	аэродинамика
aeronautics	0	0	0	0	0	0	0	0	0	0	аэронавтика
aeroplane	0	0	0	0	0	0	0	0	0	0	ҳавопаймо
aesthetic	0	0	0	0	0	0	1	0	0	0	эстетикй
aesthetics	0	0	0	0	1	0	1	0	0	0	эстетика
aetiology	0	0	0	0	0	0	0	0	0	0	этиология
afar	0	0	0	0	0	0	0	0	0	0	дур
affable	0	0	0	0	0	0	1	0	0	0	меҳрубон
affair	0	0	0	0	0	0	0	0	0	0	кор
affecting	0	0	0	0	0	0	0	0	0	0	таъсирбахш
affection	0	0	0	0	1	0	1	0	0	1	мухаббат
affections	0	0	0	0	0	0	0	0	0	0	дилбастагӣ
affiche	0	0	0	0	0	0	0	0	0	0	афсус
affidavit	0	0	0	0	0	0	0	0	0	0	шаҳодатнома
affiliated	0	0	0	0	0	0	1	0	0	0	вобаста аст
affiliation	0	0	0	0	0	0	0	0	0	0	мансубият
affinity	0	0	0	0	0	0	0	0	0	0	наздикӣ
affirm	0	0	0	0	0	0	1	0	0	1	тасдик кардан
affirmation	0	0	0	0	0	0	1	0	0	0	тасдик
affirmative	0	0	0	0	0	0	1	0	0	0	тасдик
affirmatively	0	0	0	0	0	0	1	0	0	1	ба таври мусбат
affix	0	0	0	0	0	0	0	0	0	0	аффикс
afflict	0	0	0	1	0	1	0	1	0	0	азоб додан
afflicted	0	0	0	0	0	1	0	0	0	0	гирифторшуда
affliction	0	0	1	1	0	1	0	1	0	0	мусибат
affluence	0	0	0	0	1	0	1	0	0	0	фаровонӣ
affluent	0	0	0	0	0	0	1	0	0	0	фаровон
afford	0	0	0	0	0	0	1	0	0	0	тавонанд
affront	1	0	1	1	0	1	0	1	1	0	таҳқир кардан
afield	0	0	0	0	0	0	0	0	0	0	дур
afore	0	0	0	0	0	0	0	0	0	0	пештар
aforementioned	0	0	0	0	0	0	0	0	0	0	зикршуда
aforesaid	0	0	0	0	0	0	0	0	0	0	гуфта шуд
afraid	0	0	0	1	0	1	0	0	0	0	тарс
afresh	0	0	0	0	0	0	0	0	0	0	аз нав
aft	0	0	0	0	0	0	0	0	0	0	пас
aftermath	1	0	1	1	0	1	0	1	0	0	оқибат
afternoon	0	0	0	0	0	0	0	0	0	0	нисфирӯзӣ
aftertaste	0	0	0	0	0	1	0	0	0	0	пас аз таъми
afterthought	0	0	0	0	0	0	0	0	0	0	паси андеша
aga	0	0	0	1	0	0	1	0	0	1	ага
agate	0	0	0	0	0	0	0	0	0	0	агат
age	0	0	0	0	0	0	0	0	0	0	синну сол
aged	0	0	0	0	0	0	0	0	0	0	сола
agency	0	0	0	0	0	0	0	0	0	0	агенти
agent	0	0	0	0	0	0	0	0	0	0	агент
agglomeration	0	0	0	0	0	0	0	0	0	0	агломератсия
aggravated	1	0	0	0	0	1	0	0	0	0	вазнин карда шудааст
aggravating	1	0	0	0	0	1	0	1	0	0	вазнинкунанда
aggravation	1	0	1	0	0	1	0	0	0	0	шиддатнокӣ
aggregate	0	0	0	0	0	0	0	0	0	0	агрегат
aggregation	0	0	0	0	0	0	0	0	0	0	ҷамъоварӣ
aggression	1	0	0	1	0	1	0	0	0	0	таҷовуз
aggressive	1	0	0	1	0	1	0	0	0	0	хашмгин
aggressor	1	0	0	1	0	1	0	0	0	0	тачовузкор
aghast	0	0	1	1	0	1	0	0	1	0	хашмгин
agile	0	0	0	0	0	0	1	0	0	0	чолок
agility	0	0	0	0	0	0	1	0	0	0	чолокй
agitated	1	0	0	0	0	1	0	0	0	0	ба хашм омада
agitation	1	0	0	0	0	1	0	0	0	0	агитация
agnostic	0	0	0	0	0	0	0	0	0	0	агностик
ago	0	0	0	0	0	0	0	0	0	0	пеш
agonizing	0	0	0	1	0	1	0	0	0	0	аламовар
agony	1	0	0	1	0	1	0	1	0	0	азоб
agree	0	0	0	0	0	0	1	0	0	0	розй
agreeable	0	0	0	0	0	0	1	0	0	1	мақбул
agreed	0	0	0	0	0	0	1	0	0	1	розй шуд
agreeing	0	0	0	0	0	0	1	0	0	1	розй шудан
agreement	0	0	0	0	0	0	1	0	0	1	созиш
agricultural	0	0	0	0	0	0	0	0	0	0	хочагии кишлок
agriculture	0	0	0	0	0	0	1	0	0	0	хочагии кишлок
aground	0	0	0	0	0	1	0	0	0	0	ба замин андохтан
agua	0	0	0	0	0	0	0	0	0	0	агуа
ahead	0	0	0	0	0	0	1	0	0	0	пеш
aid	0	0	0	0	0	0	1	0	0	0	кумак
aiding	0	0	0	0	0	0	1	0	0	0	ёрй расондан
ail	0	0	0	0	0	1	0	1	0	0	аил
ailing	0	0	0	1	0	1	0	1	0	0	бемор
ailment	0	0	0	0	0	0	0	0	0	0	беморӣ
aim	0	0	0	0	0	0	0	0	0	0	максад
aimless	0	0	0	0	0	1	0	0	0	0	бемақсад
air	0	0	0	0	0	0	0	0	0	0	ҳаво
airbag	0	0	0	0	0	0	0	0	0	0	болишти ҳавоӣ
airlift	0	0	0	0	0	0	0	0	0	0	боркашонии хавой
airline	0	0	0	0	0	0	0	0	0	0	ширкати ҳавопаймоӣ
airman	0	0	0	0	0	0	0	0	0	0	ҳавопаймо
airplane	0	0	0	0	0	0	0	0	0	0	ҳавопаймо
airport	0	1	0	0	0	0	0	0	0	0	фурудгоҳ
airs	0	0	1	0	0	1	0	0	0	0	ҳаво медиҳад
airship	0	0	0	0	0	0	0	0	0	0	дирижабль
aisle	0	0	0	0	0	0	0	0	0	0	радда
ait	0	0	0	0	0	0	0	0	0	0	айт
ajar	0	0	0	0	0	0	0	0	0	0	аҷар
akin	0	0	0	0	0	0	0	0	0	1	хеш
alabaster	0	0	0	0	0	0	1	0	0	0	алебастр
alarm	0	0	0	1	0	1	0	0	1	0	ҳушдор
alarming	0	0	0	1	0	1	0	0	1	0	ташвишовар
alb	0	0	0	0	0	0	0	0	0	1	алб
album	0	0	0	0	0	0	0	0	0	0	албом
alchemy	0	0	0	0	0	0	0	0	0	0	алхимия
alcohol	0	0	0	0	0	0	0	0	0	0	машрубот
alcoholism	1	0	1	1	0	1	0	1	0	0	майзадагӣ
alcove	0	0	0	0	0	0	0	0	0	0	ковок
alert	0	0	0	0	0	0	0	0	0	0	ҳушдор
alertness	0	1	0	1	0	0	1	0	1	0	ҳушёрӣ
alerts	0	1	0	1	0	0	0	0	1	0	огоҳиҳо
alfalfa	0	0	0	0	0	0	0	0	0	0	юнучка
algebra	0	0	0	0	0	0	0	0	0	0	алгебра
algebraic	0	0	0	0	0	0	0	0	0	0	алгебрй
algorithm	0	0	0	0	0	0	0	0	0	0	алгоритм
alibi	0	0	0	0	0	0	0	0	0	0	алиби
alien	0	0	1	1	0	1	0	0	0	0	бегона
alienate	1	0	1	0	0	1	0	0	0	0	бегона кардан
alienated	0	0	0	0	0	1	0	1	0	0	бегона шудааст
alienation	1	0	1	1	0	1	0	1	0	0	бегонагӣ
alight	0	0	0	0	0	0	0	0	0	0	фуруд
aligned	0	0	0	0	0	0	0	0	0	0	мувофиқ карда шудааст
alignment	0	0	0	0	0	0	0	0	0	0	ҳамоҳангсозӣ
alike	0	0	0	0	0	0	0	0	0	0	яксон
alimentation	0	0	0	0	0	0	1	0	0	0	ғизодиҳӣ
alimony	0	0	0	0	0	1	0	0	0	0	алимент
aliquot	0	0	0	0	0	0	0	0	0	0	аликвот
alive	0	1	0	0	1	0	1	0	0	1	зинда
alkali	0	0	0	0	0	0	0	0	0	0	ишќорї
alkaloids	0	0	0	0	0	0	0	0	0	0	алкалоидҳо
allay	0	0	0	0	0	0	1	0	0	0	ором кардан
allegation	1	0	0	0	0	1	0	0	0	0	даъво
allege	0	0	0	0	0	1	0	0	0	0	даъво кардан
alleged	0	0	0	0	0	0	0	0	0	0	иддао кардааст
allegiance	0	0	0	0	0	0	1	0	0	1	садоқат
allegorical	0	0	0	0	0	0	0	0	0	0	истиоравӣ
allegory	0	0	0	0	0	0	0	0	0	0	киноя
allegro	0	0	0	0	0	0	1	0	0	0	аллегро
alleviate	0	0	0	0	0	0	1	0	0	0	сабук кардан
alleviation	0	0	0	0	0	0	1	0	0	0	сабук кардан
alley	0	0	0	0	0	0	0	0	0	0	хиёбон
alliance	0	0	0	0	0	0	0	0	0	1	иттифоқ
allied	0	0	0	0	0	0	1	0	0	1	иттифоқчӣ
alligator	0	0	0	0	0	0	0	0	0	0	аллигатор
allocate	0	0	0	0	0	0	0	0	0	0	ҷудо кунад
allocation	0	0	0	0	0	0	0	0	0	0	тақсимот
allot	0	0	0	0	0	0	0	0	0	0	тақсим
allotment	0	0	0	0	0	0	0	0	0	0	тақсимот
allowable	0	0	0	0	0	0	1	0	0	0	иҷозат дода мешавад
allowance	0	0	0	0	0	0	0	0	0	0	ёрдампулй
allowed	0	0	0	0	0	0	0	0	0	0	иҷозат дода шудааст
alloy	0	0	0	0	0	0	0	0	0	0	хӯла
allure	0	1	0	0	1	0	1	0	1	0	љолиб
alluring	0	0	0	0	0	0	1	0	0	0	дилкаш
allusion	0	0	0	0	0	0	0	0	0	0	ишора
alluvial	0	0	0	0	0	0	0	0	0	0	аллювиалӣ
ally	0	0	0	0	0	0	1	0	0	1	иттифоқчӣ
almanac	0	0	0	0	0	0	0	0	0	0	альманах
almighty	0	0	0	0	0	0	1	0	0	0	тавоно
aloft	0	0	0	0	0	0	0	0	0	0	боло
aloha	0	1	0	0	1	0	1	0	0	0	алайкум
alongside	0	0	0	0	0	0	0	0	0	0	дар баробари
aloof	0	0	0	0	0	1	0	0	0	0	дур
aloud	0	0	0	0	0	0	0	0	0	0	бо овози баланд
alphabet	0	0	0	0	0	0	0	0	0	0	алифбо
alphabetical	0	0	0	0	0	0	0	0	0	0	алифбо
altar	0	0	0	0	0	0	0	0	0	0	қурбонгоҳ
alter	0	0	0	0	0	0	0	0	0	0	тағир додан
alteration	0	0	0	0	0	0	0	0	0	0	тағирот
altercation	1	0	0	0	0	1	0	0	0	0	ҷанҷол
altered	0	0	0	0	0	0	0	0	0	0	дигаргун карда шудааст
alternate	0	0	0	0	0	0	0	0	0	0	алтернативӣ
alternative	0	0	0	0	0	0	0	0	0	0	алтернатива
altitude	0	0	0	0	0	0	0	0	0	0	баландй
alto	0	0	0	0	0	0	0	0	0	0	альто
altogether	0	0	0	0	0	0	0	0	0	0	умуман
alumnus	0	0	0	0	0	0	0	0	0	0	хатмкунанда
alveolar	0	0	0	0	0	0	0	0	0	0	алвеолярӣ
amalgam	0	0	0	0	0	0	0	0	0	0	амалгам
amalgamation	0	0	0	0	0	0	0	0	0	0	муттаҳидшавӣ
amass	0	0	0	0	0	0	0	0	0	0	ҷамъ кардан
amateur	0	0	0	0	0	0	0	0	0	0	хаваскор
amaze	0	0	0	0	0	0	0	0	1	0	ҳайрон
amazement	0	0	0	0	0	0	0	0	0	0	ҳайрат
amazingly	0	0	0	0	1	0	1	0	1	0	аҷиб
ambassador	0	0	0	0	0	0	1	0	0	1	сафир
amber	0	0	0	0	0	0	0	0	0	0	щаҳрабо
ambient	0	0	0	0	0	0	0	0	0	0	муҳити атроф
ambiguity	0	0	0	0	0	0	0	0	0	0	номуайянӣ
ambiguous	0	0	0	0	0	1	0	0	0	0	норавшан
ambit	0	0	0	0	0	0	0	0	0	0	амбит
ambition	0	1	0	0	1	0	1	0	0	1	шӯҳратпарастӣ
ambitious	0	0	0	0	0	0	0	0	0	0	шӯҳратпараст
ambulance	0	0	0	1	0	0	0	0	0	1	ёрии таъчилй
ambush	1	0	0	1	0	1	0	0	1	0	камин
ameliorate	0	0	0	0	0	0	1	0	0	0	бехтар кардан
amen	0	0	0	0	1	0	1	0	0	1	омин
amenable	0	0	0	0	0	0	1	0	0	0	қобили қабул
amend	0	0	0	0	0	0	1	0	0	0	ислоҳ
amendment	0	0	0	0	0	0	0	0	0	0	ислоҳ
amends	0	0	0	0	0	0	1	0	0	0	ислох мекунад
amenity	0	0	0	0	0	0	1	0	0	0	шароити мусоид
amethyst	0	0	0	0	0	0	0	0	0	0	аметист
amiable	0	0	0	0	0	0	1	0	0	0	меҳрубон
amicable	0	0	0	0	1	0	1	0	0	0	дустона
