English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Samoan Word
accomplishment	0	0	0	0	0	0	1	0	0	0	ausia
accord	0	0	0	0	0	0	1	0	0	1	malie
accordance	0	0	0	0	0	0	0	0	0	0	e tusa ai
accordion	0	0	0	0	0	0	0	0	0	0	akordioni
account	0	0	0	0	0	0	0	0	0	1	tala
accountability	0	0	0	0	0	0	1	0	0	1	tali atu
accountable	0	0	0	0	0	0	1	0	0	1	tali atu
accountant	0	0	0	0	0	0	0	0	0	1	tausitusi
accounting	0	0	0	0	0	0	0	0	0	0	tausitusi
accounts	0	0	0	0	0	0	0	0	0	1	tala
accredited	0	0	0	0	0	0	1	0	0	1	fa'amaonia
accretion	0	0	0	0	0	0	0	0	0	0	fa'aopoopoina
accrue	0	0	0	0	0	0	0	0	0	0	fa'atupu
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	fa'aputu
accumulation	0	0	0	0	0	0	0	0	0	0	fa'aputuga
accuracy	0	0	0	0	0	0	0	0	0	0	sa'o
accurate	0	0	0	0	0	0	1	0	0	1	sa'o
accursed	1	0	0	1	0	1	0	1	0	0	malaia
accusation	1	0	1	0	0	1	0	0	0	0	tuuaiga
accusative	0	0	0	0	0	1	0	0	0	0	tu'ua'i
accused	1	0	0	1	0	1	0	0	0	0	molia
accuser	1	0	0	1	0	1	0	0	0	0	tagata molia
accusing	1	0	0	1	0	1	0	0	0	0	molia
accustomed	0	0	0	0	0	0	0	0	0	0	masani
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	tiga
achieve	0	0	0	0	1	0	1	0	0	1	ausia
achievement	0	1	0	0	1	0	1	0	0	1	ausia
aching	0	0	0	0	0	1	0	1	0	0	tiga
acid	0	0	0	0	0	1	0	0	0	0	acid
acidity	0	0	0	0	0	0	0	0	0	0	acidity
acknowledge	0	0	0	0	0	0	0	0	0	0	ta'uta'u atu
acknowledged	0	0	0	0	0	0	0	0	0	0	faailoa atu
acknowledgment	0	0	0	0	0	0	1	0	0	0	fa'afetai
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	fa'alogo
acoustics	0	0	0	0	0	0	0	0	0	0	acoustics
acquaint	0	0	0	0	0	0	0	0	0	0	faamasani
acquaintance	0	0	0	0	0	0	0	0	0	0	masani
acquainted	0	0	0	0	0	0	0	0	0	0	masani
acquiescence	0	0	0	0	0	0	0	0	0	0	malie
acquire	0	0	0	0	0	0	1	0	0	0	maua
acquiring	0	1	0	0	0	0	1	0	0	0	mauaina
acquisition	0	0	0	0	0	0	0	0	0	0	mauaina
acquisitions	0	0	0	0	0	0	0	0	0	0	mauaina
acreage	0	0	0	0	0	0	0	0	0	0	eka
acres	0	0	0	0	0	0	0	0	0	0	eka
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	galue
acting	0	0	0	0	0	0	0	0	0	0	galue
action	0	0	0	0	0	0	1	0	0	0	gaioiga
actionable	1	0	1	0	0	1	0	0	0	0	mafai ona faatino
active	0	0	0	0	0	0	0	0	0	0	toaga
activity	0	0	0	0	0	0	0	0	0	0	gaoioiga
actor	0	0	0	0	0	0	0	0	0	0	tagata fai pese
actual	0	0	0	0	0	0	1	0	0	0	moni
actuality	0	0	0	0	0	0	0	0	0	0	mea moni
actuary	0	0	0	0	0	0	0	0	0	0	fa'atonu
acuity	0	0	0	0	0	0	1	0	0	0	mataalia
acumen	0	0	0	0	0	0	1	0	0	0	atamai
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuncture
acutely	0	0	0	0	0	0	0	0	0	0	matua'i
adage	0	0	0	0	0	0	0	0	0	0	muagagana
adamant	0	0	0	0	0	0	0	0	0	0	mautu
adapt	0	0	0	0	0	0	1	0	0	0	fetuutuunai
adaptable	0	0	0	0	0	0	1	0	0	0	fetuutuunai
add	0	0	0	0	0	0	0	0	0	0	fa'aopoopo
added	0	0	0	0	0	0	0	0	0	0	faaopoopo
addendum	0	0	0	0	0	0	0	0	0	0	faaopoopoga
adder	1	0	1	1	0	1	0	1	0	0	fa'aopoopo
addiction	0	0	0	0	0	1	0	0	0	0	vaisu
addition	0	0	0	0	0	0	0	0	0	0	fa'aopoopo
additional	0	0	0	0	0	0	0	0	0	0	faaopoopo
additive	0	0	0	0	0	0	0	0	0	0	fa'aopoopo
address	0	0	0	0	0	0	0	0	0	0	tuatusi
addressee	0	0	0	0	0	0	0	0	0	0	fa'afeiloa'i
addresses	0	1	0	0	0	0	1	0	0	0	tuatusi
adept	0	0	0	0	0	0	1	0	0	0	tomai
adequacy	0	0	0	0	0	0	1	0	0	0	agavaa
adequate	0	0	0	0	0	0	0	0	0	0	lava
adhere	0	0	0	0	0	0	0	0	0	0	tausisi
adherence	0	0	0	0	0	0	0	0	0	0	tausisi
adherent	0	0	0	0	0	0	0	0	0	0	tausisi
adhering	0	0	0	0	0	0	0	0	0	1	pipi'i
adhesion	0	0	0	0	0	0	0	0	0	0	pipi'i
adhesive	0	0	0	0	0	0	0	0	0	0	fa'apipi'i
adieu	0	0	0	0	0	0	0	0	0	0	tofa
adipose	0	0	0	0	0	1	0	0	0	0	mata'utia
adjacency	0	0	0	0	0	0	0	0	0	0	tuaoi
adjacent	0	0	0	0	0	0	0	0	0	0	tuaoi
adjective	0	0	0	0	0	0	0	0	0	0	fa'ailoga
adjoining	0	0	0	0	0	0	0	0	0	0	tuaoi
adjourn	0	0	0	0	0	0	0	0	0	0	tolopoina
adjournment	0	0	0	0	0	0	0	0	0	0	tolopoina
adjudicate	0	0	0	1	0	1	0	0	0	0	faamasino
adjudication	0	0	0	0	0	0	0	0	0	0	faamasinoga
adjunct	0	0	0	0	0	0	1	0	0	0	fa'aopoopo
adjust	0	0	0	0	0	0	0	0	0	0	fetuutuunai
adjustment	0	0	0	0	0	0	0	0	0	0	fetuutuunaiga
adjuvant	0	0	0	0	0	0	0	0	0	0	fesoasoani
administer	0	0	0	0	0	0	0	0	0	0	fa'atonu
administration	0	0	0	0	0	0	0	0	0	0	pulega
administrative	0	0	0	0	0	0	0	0	0	1	pulega
admirable	0	0	0	0	1	0	1	0	0	1	mata'ina
admiral	0	0	0	0	0	0	1	0	0	1	faamemelo
admiralty	0	0	0	0	0	0	0	0	0	0	faamemelo
admiration	0	0	0	0	1	0	1	0	0	1	faamemelo
admire	0	0	0	0	0	0	1	0	0	1	faamemelo
admirer	0	0	0	0	0	0	1	0	0	0	tagata faamemelo
admissibility	0	0	0	0	0	0	0	0	0	0	talia
admissible	0	0	0	0	0	0	1	0	0	1	talia
admission	0	0	0	0	0	0	0	0	0	0	ulufale
admit	0	0	0	0	0	0	0	0	0	0	ta'utino atu
admittance	0	0	0	0	0	0	0	0	0	0	ulufale
admitted	0	0	0	0	0	0	0	0	0	0	talia
admitting	0	0	0	0	0	0	0	0	0	0	ta'utino
admixture	0	0	0	0	0	0	0	0	0	0	fa'afefiloi
admonition	0	0	0	1	0	1	0	0	0	0	apoapoaiga
ado	0	0	0	0	0	0	0	0	0	0	talofa
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	talavou
adolescent	0	0	0	0	0	0	0	0	0	0	talavou
adopt	0	0	0	0	0	0	0	0	0	0	vaetamaina
adoption	0	0	0	0	0	0	0	0	0	0	vaetamaina
adorable	0	0	0	0	1	0	1	0	0	0	aulelei
adoration	0	0	0	0	1	0	1	0	0	1	ifoga
adore	0	1	0	0	1	0	1	0	0	1	faamemelo
adorn	0	0	0	0	0	0	0	0	0	0	teuteu
adornment	0	0	0	0	0	0	0	0	0	0	teuteuga
adrift	0	1	0	1	0	1	0	1	0	0	tafefea
adult	0	0	0	0	0	0	0	0	0	0	tagata matua
adulterated	0	0	0	0	0	1	0	0	0	0	mulilua
adultery	0	0	1	0	0	1	0	1	0	0	mulilua
advance	0	1	0	1	1	0	1	0	1	0	agai i luma
advanced	0	0	0	0	0	0	1	0	0	0	alualu i luma
advancement	0	0	0	0	0	0	1	0	0	0	alualu i luma
advancing	0	0	0	0	0	0	0	0	0	0	agai i luma
advantage	0	0	0	0	0	0	1	0	0	0	manuia
advantageous	0	0	0	0	0	0	1	0	0	0	aoga
advent	0	1	0	0	1	0	1	0	0	1	toe afio mai
adventure	0	1	0	0	0	0	1	0	0	0	malaga
adventurer	0	0	0	0	0	0	0	0	0	0	tagata fa'atauva'a
adventurous	0	0	0	0	0	0	1	0	0	0	fa'atauva'a
adversary	1	0	0	0	0	1	0	0	0	0	fili
adverse	1	0	1	1	0	1	0	1	0	0	leaga
adversity	1	0	0	1	0	1	0	1	0	0	puapuaga
advertise	0	0	0	0	0	0	0	0	0	0	fa'asalalau
advertisement	0	0	0	0	0	0	0	0	0	0	fa'asalalauga
advice	0	0	0	0	0	0	0	0	0	1	fautuaga
advisable	0	0	0	0	0	0	1	0	0	1	fautuaina
advise	0	0	0	0	0	0	1	0	0	1	fautua
advised	0	0	0	0	0	0	0	0	0	1	fautuaina
advisement	0	0	0	0	0	0	0	0	0	0	fautuaga
adviser	0	0	0	0	0	0	1	0	0	1	faufautua
advocacy	1	1	0	0	1	0	1	0	0	1	fautua
advocate	0	0	0	0	0	0	0	0	0	1	fautua
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	fa'aea
aerial	0	0	0	0	0	0	0	0	0	0	ea
aerodrome	0	0	0	0	0	0	0	0	0	0	malae vaalele
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	fa'alelei
aeroplane	0	0	0	0	0	0	0	0	0	0	vaalele
aesthetic	0	0	0	0	0	0	1	0	0	0	matagofie
aesthetics	0	0	0	0	1	0	1	0	0	0	matagofie
aetiology	0	0	0	0	0	0	0	0	0	0	aetiology
afar	0	0	0	0	0	0	0	0	0	0	mamao
affable	0	0	0	0	0	0	1	0	0	0	agalelei
affair	0	0	0	0	0	0	0	0	0	0	mataupu
affecting	0	0	0	0	0	0	0	0	0	0	afaina
affection	0	0	0	0	1	0	1	0	0	1	alofa
affections	0	0	0	0	0	0	0	0	0	0	alofaaga
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	ta'utinoga
affiliated	0	0	0	0	0	0	1	0	0	0	fa'atasi
affiliation	0	0	0	0	0	0	0	0	0	0	mafutaga
affinity	0	0	0	0	0	0	0	0	0	0	mafutaga
affirm	0	0	0	0	0	0	1	0	0	1	fa'amaonia
affirmation	0	0	0	0	0	0	1	0	0	0	fa'amaoniga
affirmative	0	0	0	0	0	0	1	0	0	0	ioe
affirmatively	0	0	0	0	0	0	1	0	0	1	ioe
affix	0	0	0	0	0	0	0	0	0	0	fa'amau
afflict	0	0	0	1	0	1	0	1	0	0	puapuagā
afflicted	0	0	0	0	0	1	0	0	0	0	mafatia
affliction	0	0	1	1	0	1	0	1	0	0	puapuaga
affluence	0	0	0	0	1	0	1	0	0	0	tamaoaiga
affluent	0	0	0	0	0	0	1	0	0	0	maumea
afford	0	0	0	0	0	0	1	0	0	0	gafatia
affront	1	0	1	1	0	1	0	1	1	0	faalumaina
afield	0	0	0	0	0	0	0	0	0	0	mamao
afore	0	0	0	0	0	0	0	0	0	0	muamua
aforementioned	0	0	0	0	0	0	0	0	0	0	ta'ua i luga
aforesaid	0	0	0	0	0	0	0	0	0	0	ua taua i luga
afraid	0	0	0	1	0	1	0	0	0	0	fefe
afresh	0	0	0	0	0	0	0	0	0	0	toe fa'afouina
aft	0	0	0	0	0	0	0	0	0	0	tua
aftermath	1	0	1	1	0	1	0	1	0	0	i'uga
afternoon	0	0	0	0	0	0	0	0	0	0	aoauli
aftertaste	0	0	0	0	0	1	0	0	0	0	tofo mulimuli
afterthought	0	0	0	0	0	0	0	0	0	0	manatu mulimuli
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agata
age	0	0	0	0	0	0	0	0	0	0	tausaga
aged	0	0	0	0	0	0	0	0	0	0	matua
agency	0	0	0	0	0	0	0	0	0	0	faitalia
agent	0	0	0	0	0	0	0	0	0	0	sooupu
agglomeration	0	0	0	0	0	0	0	0	0	0	fa'apotopotoga
aggravated	1	0	0	0	0	1	0	0	0	0	fa'aleaga
aggravating	1	0	0	0	0	1	0	1	0	0	fa'aleaga
aggravation	1	0	1	0	0	1	0	0	0	0	fa'aleaga
aggregate	0	0	0	0	0	0	0	0	0	0	fa'atasi
aggregation	0	0	0	0	0	0	0	0	0	0	fa'atasiga
aggression	1	0	0	1	0	1	0	0	0	0	osofa'iga
aggressive	1	0	0	1	0	1	0	0	0	0	fa'amalosi
aggressor	1	0	0	1	0	1	0	0	0	0	tagata fa'asa
aghast	0	0	1	1	0	1	0	0	1	0	te'i
agile	0	0	0	0	0	0	1	0	0	0	mataalia
agility	0	0	0	0	0	0	1	0	0	0	mataalia
agitated	1	0	0	0	0	1	0	0	0	0	vevesi
agitation	1	0	0	0	0	1	0	0	0	0	vevesi
agnostic	0	0	0	0	0	0	0	0	0	0	lē talitonu
ago	0	0	0	0	0	0	0	0	0	0	ua mavae
agonizing	0	0	0	1	0	1	0	0	0	0	tigaina
agony	1	0	0	1	0	1	0	1	0	0	tiga
agree	0	0	0	0	0	0	1	0	0	0	malie
agreeable	0	0	0	0	0	0	1	0	0	1	malie
agreed	0	0	0	0	0	0	1	0	0	1	malie
agreeing	0	0	0	0	0	0	1	0	0	1	malie
agreement	0	0	0	0	0	0	1	0	0	1	maliliega
agricultural	0	0	0	0	0	0	0	0	0	0	fa'ato'aga
agriculture	0	0	0	0	0	0	1	0	0	0	fa'ato'aga
aground	0	0	0	0	0	1	0	0	0	0	pa'u
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	i luma
aid	0	0	0	0	0	0	1	0	0	0	fesoasoani
aiding	0	0	0	0	0	0	1	0	0	0	fesoasoani
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	ma'i
ailment	0	0	0	0	0	0	0	0	0	0	ma'i
aim	0	0	0	0	0	0	0	0	0	0	sini
aimless	0	0	0	0	0	1	0	0	0	0	leai se faamoemoe
air	0	0	0	0	0	0	0	0	0	0	ea
airbag	0	0	0	0	0	0	0	0	0	0	taga ea
airlift	0	0	0	0	0	0	0	0	0	0	vaalele
airline	0	0	0	0	0	0	0	0	0	0	vaalele
airman	0	0	0	0	0	0	0	0	0	0	tagata vaalele
airplane	0	0	0	0	0	0	0	0	0	0	vaalele
airport	0	1	0	0	0	0	0	0	0	0	malaevaalele
airs	0	0	1	0	0	1	0	0	0	0	ea
airship	0	0	0	0	0	0	0	0	0	0	va'alele
aisle	0	0	0	0	0	0	0	0	0	0	alasavali
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	tatala
akin	0	0	0	0	0	0	0	0	0	1	i'u
alabaster	0	0	0	0	0	0	1	0	0	0	alapasa
alarm	0	0	0	1	0	1	0	0	1	0	fa'ailo
alarming	0	0	0	1	0	1	0	0	1	0	mata'utia
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchemy
alcohol	0	0	0	0	0	0	0	0	0	0	ava malosi
alcoholism	1	0	1	1	0	1	0	1	0	0	ava malosi
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	mataala
alertness	0	1	0	1	0	0	1	0	1	0	mataala
alerts	0	1	0	1	0	0	0	0	1	0	mataala
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraic
algorithm	0	0	0	0	0	0	0	0	0	0	algorithm
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	tagata ese
alienate	1	0	1	0	0	1	0	0	0	0	faaesea
alienated	0	0	0	0	0	1	0	1	0	0	faaesea
alienation	1	0	1	1	0	1	0	1	0	0	faaesea
alight	0	0	0	0	0	0	0	0	0	0	alu ifo
aligned	0	0	0	0	0	0	0	0	0	0	fetaui
alignment	0	0	0	0	0	0	0	0	0	0	fa'aogaina
alike	0	0	0	0	0	0	0	0	0	0	tutusa
alimentation	0	0	0	0	0	0	1	0	0	0	mea'ai
alimony	0	0	0	0	0	1	0	0	0	0	alimoni
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	ola
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	fa'afefe
allegation	1	0	0	0	0	1	0	0	0	0	tuuaiga
allege	0	0	0	0	0	1	0	0	0	0	tu'ua'i
alleged	0	0	0	0	0	0	0	0	0	0	tuuaia
allegiance	0	0	0	0	0	0	1	0	0	1	faamaoni
allegorical	0	0	0	0	0	0	0	0	0	0	fa'atusa
allegory	0	0	0	0	0	0	0	0	0	0	tala fa'atusa
allegro	0	0	0	0	0	0	1	0	0	0	alegro
alleviate	0	0	0	0	0	0	1	0	0	0	fa'amāmā
alleviation	0	0	0	0	0	0	1	0	0	0	fa'amāmā
alley	0	0	0	0	0	0	0	0	0	0	auala
alliance	0	0	0	0	0	0	0	0	0	1	soofaatasi
allied	0	0	0	0	0	0	1	0	0	1	fa'atasi
alligator	0	0	0	0	0	0	0	0	0	0	u'amea
allocate	0	0	0	0	0	0	0	0	0	0	fa'asoa
allocation	0	0	0	0	0	0	0	0	0	0	faasoasoaina
allot	0	0	0	0	0	0	0	0	0	0	tufa
allotment	0	0	0	0	0	0	0	0	0	0	vaevaega
allowable	0	0	0	0	0	0	1	0	0	0	faatagaina
allowance	0	0	0	0	0	0	0	0	0	0	alauni
allowed	0	0	0	0	0	0	0	0	0	0	faatagaina
alloy	0	0	0	0	0	0	0	0	0	0	u'amea
allure	0	1	0	0	1	0	1	0	1	0	faatosina
alluring	0	0	0	0	0	0	1	0	0	0	faatosina
allusion	0	0	0	0	0	0	0	0	0	0	fa'atusa
alluvial	0	0	0	0	0	0	0	0	0	0	aluvial
ally	0	0	0	0	0	0	1	0	0	1	so'o
almanac	0	0	0	0	0	0	0	0	0	0	alamanac
almighty	0	0	0	0	0	0	1	0	0	0	silisiliese
aloft	0	0	0	0	0	0	0	0	0	0	i luga
aloha	0	1	0	0	1	0	1	0	0	0	alofa
alongside	0	0	0	0	0	0	0	0	0	0	fa'atasi
aloof	0	0	0	0	0	1	0	0	0	0	mamao
aloud	0	0	0	0	0	0	0	0	0	0	leotele
alphabet	0	0	0	0	0	0	0	0	0	0	alafapeta
alphabetical	0	0	0	0	0	0	0	0	0	0	alafapeta
altar	0	0	0	0	0	0	0	0	0	0	fata faitaulaga
alter	0	0	0	0	0	0	0	0	0	0	sui
alteration	0	0	0	0	0	0	0	0	0	0	suiga
altercation	1	0	0	0	0	1	0	0	0	0	misa
altered	0	0	0	0	0	0	0	0	0	0	suia
alternate	0	0	0	0	0	0	0	0	0	0	feliua'i
alternative	0	0	0	0	0	0	0	0	0	0	isi mea
altitude	0	0	0	0	0	0	0	0	0	0	maualuga
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	atoa
alumnus	0	0	0	0	0	0	0	0	0	0	tagata a'oga
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	fa'atasiga
amass	0	0	0	0	0	0	0	0	0	0	fa'aputu
amateur	0	0	0	0	0	0	0	0	0	0	amateur
amaze	0	0	0	0	0	0	0	0	1	0	ofo
amazement	0	0	0	0	0	0	0	0	0	0	ofo
amazingly	0	0	0	0	1	0	1	0	1	0	ofoofogia
ambassador	0	0	0	0	0	0	1	0	0	1	amepasa
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	le manino
ambiguous	0	0	0	0	0	1	0	0	0	0	le manino
ambit	0	0	0	0	0	0	0	0	0	0	ambiti
ambition	0	1	0	0	1	0	1	0	0	1	fa'anaunauta'iga
ambitious	0	0	0	0	0	0	0	0	0	0	fiasili
ambulance	0	0	0	1	0	0	0	0	0	1	ta'avale a le falema'i
ambush	1	0	0	1	0	1	0	0	1	0	osofa'i
ameliorate	0	0	0	0	0	0	1	0	0	0	faaleleia
amen	0	0	0	0	1	0	1	0	0	1	amene
amenable	0	0	0	0	0	0	1	0	0	0	talia
amend	0	0	0	0	0	0	1	0	0	0	teuteu
amendment	0	0	0	0	0	0	0	0	0	0	teuteuga
amends	0	0	0	0	0	0	1	0	0	0	teuteu
amenity	0	0	0	0	0	0	1	0	0	0	fa'afiafiaga
amethyst	0	0	0	0	0	0	0	0	0	0	amethyst
amiable	0	0	0	0	0	0	1	0	0	0	agalelei
amicable	0	0	0	0	1	0	1	0	0	0	agalelei
amid	0	0	0	0	0	0	0	0	0	0	totonugalemu
amidst	0	0	0	0	0	0	0	0	0	0	lotolotoi
ammonia	0	0	1	0	0	0	0	0	0	0	amonia
ammunition	0	0	0	0	0	0	0	0	0	0	fana
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	faamagaloga
amorphous	0	0	0	0	0	0	0	0	0	0	amorphous
amortization	0	0	0	0	0	0	0	0	0	1	fa'amauina
amount	0	0	0	0	0	0	0	0	0	0	aofaiga
amour	0	1	0	0	1	0	1	0	0	1	alofa
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
