English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Maltese Word
adverse	1	0	1	1	0	1	0	1	0	0	avvers
adversity	1	0	0	1	0	1	0	1	0	0	avversità
advertise	0	0	0	0	0	0	0	0	0	0	jirreklama
advertisement	0	0	0	0	0	0	0	0	0	0	reklam
advice	0	0	0	0	0	0	0	0	0	1	pariri
advisable	0	0	0	0	0	0	1	0	0	1	rakkomandabbli
advise	0	0	0	0	0	0	1	0	0	1	jagħti parir
advised	0	0	0	0	0	0	0	0	0	1	avżat
advisement	0	0	0	0	0	0	0	0	0	0	parir
adviser	0	0	0	0	0	0	1	0	0	1	konsulent
advocacy	1	1	0	0	1	0	1	0	0	1	promozzjoni
advocate	0	0	0	0	0	0	0	0	0	1	avukat
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	arjazzjoni
aerial	0	0	0	0	0	0	0	0	0	0	mill-ajru
aerodrome	0	0	0	0	0	0	0	0	0	0	ajrudrom
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamika
aeronautics	0	0	0	0	0	0	0	0	0	0	ajrunawtika
aeroplane	0	0	0	0	0	0	0	0	0	0	ajruplan
aesthetic	0	0	0	0	0	0	1	0	0	0	estetika
aesthetics	0	0	0	0	1	0	1	0	0	0	estetika
aetiology	0	0	0	0	0	0	0	0	0	0	etjoloġija
afar	0	0	0	0	0	0	0	0	0	0	il-bogħod
affable	0	0	0	0	0	0	1	0	0	0	affable
affair	0	0	0	0	0	0	0	0	0	0	affari
affecting	0	0	0	0	0	0	0	0	0	0	jaffettwaw
affection	0	0	0	0	1	0	1	0	0	1	affezzjoni
affections	0	0	0	0	0	0	0	0	0	0	affezzjonijiet
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	affidavit
affiliated	0	0	0	0	0	0	1	0	0	0	affiljati
affiliation	0	0	0	0	0	0	0	0	0	0	affiljazzjoni
affinity	0	0	0	0	0	0	0	0	0	0	affinità
affirm	0	0	0	0	0	0	1	0	0	1	jaffermaw
affirmation	0	0	0	0	0	0	1	0	0	0	affermazzjoni
affirmative	0	0	0	0	0	0	1	0	0	0	affermattiv
affirmatively	0	0	0	0	0	0	1	0	0	1	affermattivament
affix	0	0	0	0	0	0	0	0	0	0	iwaħħal
afflict	0	0	0	1	0	1	0	1	0	0	ibati
afflicted	0	0	0	0	0	1	0	0	0	0	milquta
affliction	0	0	1	1	0	1	0	1	0	0	afflizzjoni
affluence	0	0	0	0	1	0	1	0	0	0	ġid
affluent	0	0	0	0	0	0	1	0	0	0	sinjuri
afford	0	0	0	0	0	0	1	0	0	0	jaffordjaw
affront	1	0	1	1	0	1	0	1	1	0	affront
afield	0	0	0	0	0	0	0	0	0	0	il-bogħod
afore	0	0	0	0	0	0	0	0	0	0	qabel
aforementioned	0	0	0	0	0	0	0	0	0	0	hawn fuq imsemmija
aforesaid	0	0	0	0	0	0	0	0	0	0	hawn fuq imsemmija
afraid	0	0	0	1	0	1	0	0	0	0	jibżgħu
afresh	0	0	0	0	0	0	0	0	0	0	mill-ġdid
aft	0	0	0	0	0	0	0	0	0	0	poppa
aftermath	1	0	1	1	0	1	0	1	0	0	wara
afternoon	0	0	0	0	0	0	0	0	0	0	wara nofsinhar
aftertaste	0	0	0	0	0	1	0	0	0	0	wara togħma
afterthought	0	0	0	0	0	0	0	0	0	0	afterthought
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	età
aged	0	0	0	0	0	0	0	0	0	0	età
agency	0	0	0	0	0	0	0	0	0	0	aġenzija
agent	0	0	0	0	0	0	0	0	0	0	aġent
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomerazzjoni
aggravated	1	0	0	0	0	1	0	0	0	0	aggravat
aggravating	1	0	0	0	0	1	0	1	0	0	aggravanti
aggravation	1	0	1	0	0	1	0	0	0	0	aggravament
aggregate	0	0	0	0	0	0	0	0	0	0	aggregat
aggregation	0	0	0	0	0	0	0	0	0	0	aggregazzjoni
aggression	1	0	0	1	0	1	0	0	0	0	aggressjoni
aggressive	1	0	0	1	0	1	0	0	0	0	aggressiv
aggressor	1	0	0	1	0	1	0	0	0	0	aggressur
aghast	0	0	1	1	0	1	0	0	1	0	aghast
agile	0	0	0	0	0	0	1	0	0	0	b'aġilità
agility	0	0	0	0	0	0	1	0	0	0	b'aġilità
agitated	1	0	0	0	0	1	0	0	0	0	aġitat
agitation	1	0	0	0	0	1	0	0	0	0	aġitazzjoni
agnostic	0	0	0	0	0	0	0	0	0	0	agnostiku
ago	0	0	0	0	0	0	0	0	0	0	ilu
agonizing	0	0	0	1	0	1	0	0	0	0	agonizzanti
agony	1	0	0	1	0	1	0	1	0	0	agunija
agree	0	0	0	0	0	0	1	0	0	0	naqbel
agreeable	0	0	0	0	0	0	1	0	0	1	aċċettabbli
agreed	0	0	0	0	0	0	1	0	0	1	miftiehem
agreeing	0	0	0	0	0	0	1	0	0	1	jaqbel
agreement	0	0	0	0	0	0	1	0	0	1	ftehim
agricultural	0	0	0	0	0	0	0	0	0	0	agrikoli
agriculture	0	0	0	0	0	0	1	0	0	0	agrikoltura
aground	0	0	0	0	0	1	0	0	0	0	inkaljat
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	quddiem
aid	0	0	0	0	0	0	1	0	0	0	għajnuna
aiding	0	0	0	0	0	0	1	0	0	0	għajnuna
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	marid
ailment	0	0	0	0	0	0	0	0	0	0	marda
aim	0	0	0	0	0	0	0	0	0	0	għan
aimless	0	0	0	0	0	1	0	0	0	0	bla għan
air	0	0	0	0	0	0	0	0	0	0	arja
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	airlift
airline	0	0	0	0	0	0	0	0	0	0	linja tal-ajru
airman	0	0	0	0	0	0	0	0	0	0	ajruman
airplane	0	0	0	0	0	0	0	0	0	0	ajruplan
airport	0	1	0	0	0	0	0	0	0	0	ajruport
airs	0	0	1	0	0	1	0	0	0	0	arja
airship	0	0	0	0	0	0	0	0	0	0	airship
aisle	0	0	0	0	0	0	0	0	0	0	korsija
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	simili
alabaster	0	0	0	0	0	0	1	0	0	0	alabastru
alarm	0	0	0	1	0	1	0	0	1	0	allarm
alarming	0	0	0	1	0	1	0	0	1	0	allarmanti
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alkimija
alcohol	0	0	0	0	0	0	0	0	0	0	alkoħol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoħoliżmu
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	twissija
alertness	0	1	0	1	0	0	1	0	1	0	viġilanza
alerts	0	1	0	1	0	0	0	0	1	0	twissijiet
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	alġebra
algebraic	0	0	0	0	0	0	0	0	0	0	alġebrin
algorithm	0	0	0	0	0	0	0	0	0	0	algoritmu
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	barrani
alienate	1	0	1	0	0	1	0	0	0	0	jaljenaw
alienated	0	0	0	0	0	1	0	1	0	0	aljenati
alienation	1	0	1	1	0	1	0	1	0	0	aljenazzjoni
alight	0	0	0	0	0	0	0	0	0	0	jinxtegħel
aligned	0	0	0	0	0	0	0	0	0	0	allinjati
alignment	0	0	0	0	0	0	0	0	0	0	allinjament
alike	0	0	0	0	0	0	0	0	0	0	bl-istess mod
alimentation	0	0	0	0	0	0	1	0	0	0	alimentazzjoni
alimony	0	0	0	0	0	1	0	0	0	0	ikel
aliquot	0	0	0	0	0	0	0	0	0	0	alikwot
alive	0	1	0	0	1	0	1	0	0	1	ħaj
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkalojdi
allay	0	0	0	0	0	0	1	0	0	0	ittaffi
allegation	1	0	0	0	0	1	0	0	0	0	allegazzjoni
allege	0	0	0	0	0	1	0	0	0	0	jallega
alleged	0	0	0	0	0	0	0	0	0	0	allegat
allegiance	0	0	0	0	0	0	1	0	0	1	lealtà
allegorical	0	0	0	0	0	0	0	0	0	0	allegoriku
allegory	0	0	0	0	0	0	0	0	0	0	allegorija
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	ittaffi
alleviation	0	0	0	0	0	0	1	0	0	0	itaffija
alley	0	0	0	0	0	0	0	0	0	0	sqaq
alliance	0	0	0	0	0	0	0	0	0	1	alleanza
allied	0	0	0	0	0	0	1	0	0	1	alleati
alligator	0	0	0	0	0	0	0	0	0	0	alligatur
allocate	0	0	0	0	0	0	0	0	0	0	jalloka
allocation	0	0	0	0	0	0	0	0	0	0	allokazzjoni
allot	0	0	0	0	0	0	0	0	0	0	jalloka
allotment	0	0	0	0	0	0	0	0	0	0	allokazzjoni
allowable	0	0	0	0	0	0	1	0	0	0	permessibbli
allowance	0	0	0	0	0	0	0	0	0	0	allowance
allowed	0	0	0	0	0	0	0	0	0	0	permess
alloy	0	0	0	0	0	0	0	0	0	0	liga
allure	0	1	0	0	1	0	1	0	1	0	allure
alluring	0	0	0	0	0	0	1	0	0	0	sellenti
allusion	0	0	0	0	0	0	0	0	0	0	allużjoni
alluvial	0	0	0	0	0	0	0	0	0	0	alluvjali
ally	0	0	0	0	0	0	1	0	0	1	alleat
almanac	0	0	0	0	0	0	0	0	0	0	almanakk
almighty	0	0	0	0	0	0	1	0	0	0	li jista’ kollox
aloft	0	0	0	0	0	0	0	0	0	0	'il fuq
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	maġenb
aloof	0	0	0	0	0	1	0	0	0	0	aloof
aloud	0	0	0	0	0	0	0	0	0	0	b'leħen għoli
alphabet	0	0	0	0	0	0	0	0	0	0	alfabett
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabetiku
altar	0	0	0	0	0	0	0	0	0	0	artal
alter	0	0	0	0	0	0	0	0	0	0	jibdel
alteration	0	0	0	0	0	0	0	0	0	0	alterazzjoni
altercation	1	0	0	0	0	1	0	0	0	0	alterkazzjoni
altered	0	0	0	0	0	0	0	0	0	0	mibdula
alternate	0	0	0	0	0	0	0	0	0	0	sostitut
alternative	0	0	0	0	0	0	0	0	0	0	alternattiva
altitude	0	0	0	0	0	0	0	0	0	0	altitudni
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	għal kollox
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolari
amalgam	0	0	0	0	0	0	0	0	0	0	amalgama
amalgamation	0	0	0	0	0	0	0	0	0	0	amalgamazzjoni
amass	0	0	0	0	0	0	0	0	0	0	amass
amateur	0	0	0	0	0	0	0	0	0	0	dilettanti
amaze	0	0	0	0	0	0	0	0	1	0	tiskanta
amazement	0	0	0	0	0	0	0	0	0	0	istagħġib
amazingly	0	0	0	0	1	0	1	0	1	0	tal-għaġeb
ambassador	0	0	0	0	0	0	1	0	0	1	ambaxxatur
amber	0	0	0	0	0	0	0	0	0	0	ambra
ambient	0	0	0	0	0	0	0	0	0	0	ambjentali
ambiguity	0	0	0	0	0	0	0	0	0	0	ambigwità
ambiguous	0	0	0	0	0	1	0	0	0	0	ambigwa
ambit	0	0	0	0	0	0	0	0	0	0	ambitu
ambition	0	1	0	0	1	0	1	0	0	1	ambizzjoni
ambitious	0	0	0	0	0	0	0	0	0	0	ambizzjuż
ambulance	0	0	0	1	0	0	0	0	0	1	ambulanza
ambush	1	0	0	1	0	1	0	0	1	0	ambush
ameliorate	0	0	0	0	0	0	1	0	0	0	ittejjeb
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	suġġebbli
amend	0	0	0	0	0	0	1	0	0	0	temenda
amendment	0	0	0	0	0	0	0	0	0	0	emenda
amends	0	0	0	0	0	0	1	0	0	0	jemenda
amenity	0	0	0	0	0	0	1	0	0	0	amenità
amethyst	0	0	0	0	0	0	0	0	0	0	ametista
amiable	0	0	0	0	0	0	1	0	0	0	amikevoli
amicable	0	0	0	0	1	0	1	0	0	0	amikevoli
amid	0	0	0	0	0	0	0	0	0	0	fost
amidst	0	0	0	0	0	0	0	0	0	0	fost
ammonia	0	0	1	0	0	0	0	0	0	0	ammonja
ammunition	0	0	0	0	0	0	0	0	0	0	munizzjon
amnesia	0	0	0	0	0	1	0	0	0	0	amnesija
amnesty	0	0	0	0	1	0	1	0	0	0	amnestija
amorphous	0	0	0	0	0	0	0	0	0	0	amorfu
amortization	0	0	0	0	0	0	0	0	0	1	amortizzament
amount	0	0	0	0	0	0	0	0	0	0	ammont
amour	0	1	0	0	1	0	1	0	0	1	amour
