English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Hmong Word
abundant	0	0	0	0	1	0	1	0	0	0	ntau
abuse	1	0	1	1	0	1	0	1	0	0	tsim txom
abutment	0	0	0	0	0	0	0	0	0	0	abutment
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	abysmal
abyss	0	0	0	1	0	1	0	1	0	0	aub
academic	0	0	0	0	0	0	1	0	0	1	kev kawm
academy	0	0	0	0	0	0	1	0	0	0	kev kawm
accede	0	0	0	0	0	0	0	0	0	0	accede
accelerate	0	1	0	0	0	0	0	0	0	0	ceev
acceleration	0	0	0	0	0	0	0	0	0	0	kev ceev
accent	0	0	0	0	0	0	0	0	0	0	lus
accentuate	0	0	0	0	0	0	0	0	0	0	accentuate
accept	0	0	0	0	0	0	0	0	0	0	txais
acceptable	0	0	0	0	0	0	1	0	0	0	txais tau
acceptance	0	0	0	0	0	0	1	0	0	0	txais
access	0	0	0	0	0	0	0	0	0	0	nkag mus
accessible	0	0	0	0	0	0	1	0	0	0	siv tau
accession	0	0	0	0	0	0	0	0	0	0	kev nkag mus
accessory	0	0	0	0	0	0	0	0	0	0	khoom siv
accident	0	0	0	1	0	1	0	1	1	0	xwm txheej
accidental	0	0	0	1	0	1	0	0	1	0	yuam kev
accidentally	0	0	0	0	0	0	0	0	1	0	txhob txwm
accolade	0	1	0	0	1	0	1	0	1	1	qhuas
accommodate	0	0	0	0	0	0	0	0	0	0	haum
accommodation	0	0	0	0	0	0	1	0	0	0	chaw nyob
accompaniment	0	1	0	0	1	0	1	0	0	1	nrog rau
accompany	0	0	0	0	0	0	0	0	0	0	nrog
accompanying	0	0	0	0	0	0	0	0	0	0	nrog
accomplice	0	0	0	0	0	0	0	0	0	0	ua kom tiav
accomplish	0	0	0	0	1	0	1	0	0	0	ua kom tiav
accomplished	0	0	0	0	1	0	1	0	0	0	ua tiav
accomplishment	0	0	0	0	0	0	1	0	0	0	kev ua tiav
accord	0	0	0	0	0	0	1	0	0	1	ua raws
accordance	0	0	0	0	0	0	0	0	0	0	ua raws
accordion	0	0	0	0	0	0	0	0	0	0	accordion
account	0	0	0	0	0	0	0	0	0	1	tus account
accountability	0	0	0	0	0	0	1	0	0	1	kev lav ris
accountable	0	0	0	0	0	0	1	0	0	1	lav
accountant	0	0	0	0	0	0	0	0	0	1	tus accountant
accounting	0	0	0	0	0	0	0	0	0	0	accounting
accounts	0	0	0	0	0	0	0	0	0	1	nyiaj
accredited	0	0	0	0	0	0	1	0	0	1	kev lees paub
accretion	0	0	0	0	0	0	0	0	0	0	accretion
accrue	0	0	0	0	0	0	0	0	0	0	nce
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	sau
accumulation	0	0	0	0	0	0	0	0	0	0	khaws cia
accuracy	0	0	0	0	0	0	0	0	0	0	qhov tseeb
accurate	0	0	0	0	0	0	1	0	0	1	raug
accursed	1	0	0	1	0	1	0	1	0	0	raug foom
accusation	1	0	1	0	0	1	0	0	0	0	kev liam
accusative	0	0	0	0	0	1	0	0	0	0	raug liam
accused	1	0	0	1	0	1	0	0	0	0	liam
accuser	1	0	0	1	0	1	0	0	0	0	tus neeg liam
accusing	1	0	0	1	0	1	0	0	0	0	liam
accustomed	0	0	0	0	0	0	0	0	0	0	siv
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic tshuaj
ache	0	0	0	0	0	1	0	1	0	0	mob
achieve	0	0	0	0	1	0	1	0	0	1	ua tiav
achievement	0	1	0	0	1	0	1	0	0	1	kev ua tiav
aching	0	0	0	0	0	1	0	1	0	0	mob
acid	0	0	0	0	0	1	0	0	0	0	kua qaub
acidity	0	0	0	0	0	0	0	0	0	0	acidity
acknowledge	0	0	0	0	0	0	0	0	0	0	lees paub
acknowledged	0	0	0	0	0	0	0	0	0	0	lees paub
acknowledgment	0	0	0	0	0	0	1	0	0	0	kev lees paub
acme	0	0	0	0	0	0	0	0	0	0	ua acme
acoustic	0	0	0	0	0	0	0	0	0	0	acoustic
acoustics	0	0	0	0	0	0	0	0	0	0	acoustics
acquaint	0	0	0	0	0	0	0	0	0	0	paub
acquaintance	0	0	0	0	0	0	0	0	0	0	neeg paub
acquainted	0	0	0	0	0	0	0	0	0	0	paub
acquiescence	0	0	0	0	0	0	0	0	0	0	kev lees paub
acquire	0	0	0	0	0	0	1	0	0	0	tau
acquiring	0	1	0	0	0	0	1	0	0	0	tau
acquisition	0	0	0	0	0	0	0	0	0	0	nrhiav tau
acquisitions	0	0	0	0	0	0	0	0	0	0	kev yuav khoom
acreage	0	0	0	0	0	0	0	0	0	0	thaj av
acres	0	0	0	0	0	0	0	0	0	0	daim av
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	ua
acting	0	0	0	0	0	0	0	0	0	0	ua yeeb yam
action	0	0	0	0	0	0	1	0	0	0	kev ua
actionable	1	0	1	0	0	1	0	0	0	0	ua tau
active	0	0	0	0	0	0	0	0	0	0	nquag
activity	0	0	0	0	0	0	0	0	0	0	kev ua si
actor	0	0	0	0	0	0	0	0	0	0	ua yeeb yam
actual	0	0	0	0	0	0	1	0	0	0	qhov tseeb
actuality	0	0	0	0	0	0	0	0	0	0	qhov tseeb
actuary	0	0	0	0	0	0	0	0	0	0	tus kws qhia ntawv
acuity	0	0	0	0	0	0	1	0	0	0	acuity
acumen	0	0	0	0	0	0	1	0	0	0	acumen
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuncture
acutely	0	0	0	0	0	0	0	0	0	0	mob heev
adage	0	0	0	0	0	0	0	0	0	0	lus
adamant	0	0	0	0	0	0	0	0	0	0	adamant
adapt	0	0	0	0	0	0	1	0	0	0	yoog raws
adaptable	0	0	0	0	0	0	1	0	0	0	hloov tau
add	0	0	0	0	0	0	0	0	0	0	ntxiv
added	0	0	0	0	0	0	0	0	0	0	ntxiv
addendum	0	0	0	0	0	0	0	0	0	0	ntxiv
adder	1	0	1	1	0	1	0	1	0	0	adder
addiction	0	0	0	0	0	1	0	0	0	0	kev quav yeeb quav tshuaj
addition	0	0	0	0	0	0	0	0	0	0	ntxiv
additional	0	0	0	0	0	0	0	0	0	0	ntxiv
additive	0	0	0	0	0	0	0	0	0	0	tshuaj ntxiv
address	0	0	0	0	0	0	0	0	0	0	chaw nyob
addressee	0	0	0	0	0	0	0	0	0	0	tus neeg hais lus
addresses	0	1	0	0	0	0	1	0	0	0	chaw nyob
adept	0	0	0	0	0	0	1	0	0	0	adept
adequacy	0	0	0	0	0	0	1	0	0	0	txaus
adequate	0	0	0	0	0	0	0	0	0	0	txaus
adhere	0	0	0	0	0	0	0	0	0	0	ua raws
adherence	0	0	0	0	0	0	0	0	0	0	kev ua raws
adherent	0	0	0	0	0	0	0	0	0	0	ua raws
adhering	0	0	0	0	0	0	0	0	0	1	ua raws
adhesion	0	0	0	0	0	0	0	0	0	0	adhesion
adhesive	0	0	0	0	0	0	0	0	0	0	nplaum
adieu	0	0	0	0	0	0	0	0	0	0	adieu ua
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	nyob sib ze
adjacent	0	0	0	0	0	0	0	0	0	0	nyob sib ze
adjective	0	0	0	0	0	0	0	0	0	0	npe
adjoining	0	0	0	0	0	0	0	0	0	0	nyob sib ze
adjourn	0	0	0	0	0	0	0	0	0	0	ncua
adjournment	0	0	0	0	0	0	0	0	0	0	ncua sij hawm
adjudicate	0	0	0	1	0	1	0	0	0	0	txiav txim
adjudication	0	0	0	0	0	0	0	0	0	0	kev txiav txim
adjunct	0	0	0	0	0	0	1	0	0	0	sib txuas
adjust	0	0	0	0	0	0	0	0	0	0	kho
adjustment	0	0	0	0	0	0	0	0	0	0	kev hloov kho
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvant
administer	0	0	0	0	0	0	0	0	0	0	tswj hwm
administration	0	0	0	0	0	0	0	0	0	0	kev tswj hwm
administrative	0	0	0	0	0	0	0	0	0	1	kev tswj hwm
admirable	0	0	0	0	1	0	1	0	0	1	qhuas
admiral	0	0	0	0	0	0	1	0	0	1	tus hlob
admiralty	0	0	0	0	0	0	0	0	0	0	kev qhuas
admiration	0	0	0	0	1	0	1	0	0	1	kev qhuas
admire	0	0	0	0	0	0	1	0	0	1	qhuas
admirer	0	0	0	0	0	0	1	0	0	0	tus qhuas
admissibility	0	0	0	0	0	0	0	0	0	0	kev lees paub
admissible	0	0	0	0	0	0	1	0	0	1	nkag tau
admission	0	0	0	0	0	0	0	0	0	0	nkag
admit	0	0	0	0	0	0	0	0	0	0	lees
admittance	0	0	0	0	0	0	0	0	0	0	kev nkag
admitted	0	0	0	0	0	0	0	0	0	0	tau txais
admitting	0	0	0	0	0	0	0	0	0	0	lees
admixture	0	0	0	0	0	0	0	0	0	0	tshuaj sib tov
admonition	0	0	0	1	0	1	0	0	0	0	lus ntuas
ado	0	0	0	0	0	0	0	0	0	0	ua ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe ua
adolescence	0	0	0	0	0	0	0	0	0	0	thaum hluas
adolescent	0	0	0	0	0	0	0	0	0	0	tub hluas
adopt	0	0	0	0	0	0	0	0	0	0	txais yuav
adoption	0	0	0	0	0	0	0	0	0	0	kev saws me nyuam
adorable	0	0	0	0	1	0	1	0	0	0	ntxim hlub
adoration	0	0	0	0	1	0	1	0	0	1	kev qhuas
adore	0	1	0	0	1	0	1	0	0	1	hlub
adorn	0	0	0	0	0	0	0	0	0	0	dai kom zoo nkauj
adornment	0	0	0	0	0	0	0	0	0	0	dai kom zoo nkauj
adrift	0	1	0	1	0	1	0	1	0	0	ntog
adult	0	0	0	0	0	0	0	0	0	0	neeg laus
adulterated	0	0	0	0	0	1	0	0	0	0	deev luag poj luag txiv
adultery	0	0	1	0	0	1	0	1	0	0	kev deev luag poj luag txiv
advance	0	1	0	1	1	0	1	0	1	0	ua ntej
advanced	0	0	0	0	0	0	1	0	0	0	advanced
advancement	0	0	0	0	0	0	1	0	0	0	kev nce qib
advancing	0	0	0	0	0	0	0	0	0	0	nce qib
advantage	0	0	0	0	0	0	1	0	0	0	qhov zoo
advantageous	0	0	0	0	0	0	1	0	0	0	muaj txiaj ntsig
advent	0	1	0	0	1	0	1	0	0	1	tuaj txog
adventure	0	1	0	0	0	0	1	0	0	0	taug txuj kev nyuaj
adventurer	0	0	0	0	0	0	0	0	0	0	taug txuj kev nyuaj
adventurous	0	0	0	0	0	0	1	0	0	0	taug txuj kev nyuaj
adversary	1	0	0	0	0	1	0	0	0	0	yeeb ncuab
adverse	1	0	1	1	0	1	0	1	0	0	phem
adversity	1	0	0	1	0	1	0	1	0	0	kev txom nyem
advertise	0	0	0	0	0	0	0	0	0	0	tshaj tawm
advertisement	0	0	0	0	0	0	0	0	0	0	kev tshaj tawm
advice	0	0	0	0	0	0	0	0	0	1	lus qhia
advisable	0	0	0	0	0	0	1	0	0	1	pom zoo
advise	0	0	0	0	0	0	1	0	0	1	qhia
advised	0	0	0	0	0	0	0	0	0	1	qhia
advisement	0	0	0	0	0	0	0	0	0	0	lus qhia
adviser	0	0	0	0	0	0	1	0	0	1	tus kws pab tswv yim
advocacy	1	1	0	0	1	0	1	0	0	1	kev tawm tswv yim
advocate	0	0	0	0	0	0	0	0	0	1	tus neeg tawm suab
aegis	0	0	0	0	0	0	0	0	0	0	aegs ib
aeration	0	0	0	0	0	0	0	0	0	0	aeration
aerial	0	0	0	0	0	0	0	0	0	0	dav hlau
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrome
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautics
aeroplane	0	0	0	0	0	0	0	0	0	0	lub dav hlau
aesthetic	0	0	0	0	0	0	1	0	0	0	zoo nkauj
aesthetics	0	0	0	0	1	0	1	0	0	0	zoo nkauj
aetiology	0	0	0	0	0	0	0	0	0	0	aetiology
afar	0	0	0	0	0	0	0	0	0	0	nyob deb
affable	0	0	0	0	0	0	1	0	0	0	muaj peev xwm
affair	0	0	0	0	0	0	0	0	0	0	kev sib raug zoo
affecting	0	0	0	0	0	0	0	0	0	0	cuam tshuam
affection	0	0	0	0	1	0	1	0	0	1	kev hlub
affections	0	0	0	0	0	0	0	0	0	0	kev hlub
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	daim ntawv pov thawj
affiliated	0	0	0	0	0	0	1	0	0	0	koom nrog
affiliation	0	0	0	0	0	0	0	0	0	0	kev koom tes
affinity	0	0	0	0	0	0	0	0	0	0	kev sib raug zoo
affirm	0	0	0	0	0	0	1	0	0	1	lees paub
affirmation	0	0	0	0	0	0	1	0	0	0	kev lees paub
affirmative	0	0	0	0	0	0	1	0	0	0	lees paub
affirmatively	0	0	0	0	0	0	1	0	0	1	lees paub
affix	0	0	0	0	0	0	0	0	0	0	affix
afflict	0	0	0	1	0	1	0	1	0	0	kev txom nyem
afflicted	0	0	0	0	0	1	0	0	0	0	txom nyem
affliction	0	0	1	1	0	1	0	1	0	0	kev txom nyem
affluence	0	0	0	0	1	0	1	0	0	0	kev vam meej
affluent	0	0	0	0	0	0	1	0	0	0	muaj txiaj ntsig
afford	0	0	0	0	0	0	1	0	0	0	them taus
affront	1	0	1	1	0	1	0	1	1	0	tawm tsam
afield	0	0	0	0	0	0	0	0	0	0	afield
afore	0	0	0	0	0	0	0	0	0	0	ua ntej
aforementioned	0	0	0	0	0	0	0	0	0	0	hais saum toj no
aforesaid	0	0	0	0	0	0	0	0	0	0	hais tias
afraid	0	0	0	1	0	1	0	0	0	0	ntshai
afresh	0	0	0	0	0	0	0	0	0	0	rov tshiab
aft	0	0	0	0	0	0	0	0	0	0	tom qab
aftermath	1	0	1	1	0	1	0	1	0	0	tom qab
afternoon	0	0	0	0	0	0	0	0	0	0	tav su
aftertaste	0	0	0	0	0	1	0	0	0	0	qab zib
afterthought	0	0	0	0	0	0	0	0	0	0	kev xav tom qab
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agate
age	0	0	0	0	0	0	0	0	0	0	hnub nyoog
aged	0	0	0	0	0	0	0	0	0	0	laus
agency	0	0	0	0	0	0	0	0	0	0	lub koom haum
agent	0	0	0	0	0	0	0	0	0	0	tus neeg sawv cev
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomeration
aggravated	1	0	0	0	0	1	0	0	0	0	hnyav dua
aggravating	1	0	0	0	0	1	0	1	0	0	hnyav dua
aggravation	1	0	1	0	0	1	0	0	0	0	hnyav dua
aggregate	0	0	0	0	0	0	0	0	0	0	tag nrho
aggregation	0	0	0	0	0	0	0	0	0	0	kev sib sau ua ke
aggression	1	0	0	1	0	1	0	0	0	0	kev ua phem
aggressive	1	0	0	1	0	1	0	0	0	0	txhoj puab heev
aggressor	1	0	0	1	0	1	0	0	0	0	tus neeg ua phem
aghast	0	0	1	1	0	1	0	0	1	0	siab
agile	0	0	0	0	0	0	1	0	0	0	agile
agility	0	0	0	0	0	0	1	0	0	0	agility
agitated	1	0	0	0	0	1	0	0	0	0	ntxhov siab
agitation	1	0	0	0	0	1	0	0	0	0	kev ntxhov siab
agnostic	0	0	0	0	0	0	0	0	0	0	agnostic
ago	0	0	0	0	0	0	0	0	0	0	dhau los
agonizing	0	0	0	1	0	1	0	0	0	0	kev nyuaj siab
agony	1	0	0	1	0	1	0	1	0	0	kev txom nyem
agree	0	0	0	0	0	0	1	0	0	0	pom zoo
agreeable	0	0	0	0	0	0	1	0	0	1	pom zoo
agreed	0	0	0	0	0	0	1	0	0	1	pom zoo
agreeing	0	0	0	0	0	0	1	0	0	1	pom zoo
agreement	0	0	0	0	0	0	1	0	0	1	kev pom zoo
agricultural	0	0	0	0	0	0	0	0	0	0	ua liaj ua teb
agriculture	0	0	0	0	0	0	1	0	0	0	kev ua liaj ua teb
aground	0	0	0	0	0	1	0	0	0	0	aground
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	ua ntej
aid	0	0	0	0	0	0	1	0	0	0	kev pab
aiding	0	0	0	0	0	0	1	0	0	0	pab
ail	0	0	0	0	0	1	0	1	0	0	ua ail
ailing	0	0	0	1	0	1	0	1	0	0	mob
ailment	0	0	0	0	0	0	0	0	0	0	mob
aim	0	0	0	0	0	0	0	0	0	0	aim
aimless	0	0	0	0	0	1	0	0	0	0	tsis muaj hom phiaj
air	0	0	0	0	0	0	0	0	0	0	huab cua
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	airlift
airline	0	0	0	0	0	0	0	0	0	0	lub dav hlau
airman	0	0	0	0	0	0	0	0	0	0	tus neeg tsav dav hlau
airplane	0	0	0	0	0	0	0	0	0	0	lub dav hlau
airport	0	1	0	0	0	0	0	0	0	0	tshav dav hlau
airs	0	0	1	0	0	1	0	0	0	0	cua
airship	0	0	0	0	0	0	0	0	0	0	dav hlau
aisle	0	0	0	0	0	0	0	0	0	0	txoj kev
ait	0	0	0	0	0	0	0	0	0	0	ib ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	sib
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	tswb
alarming	0	0	0	1	0	1	0	0	1	0	ceeb
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alchemy
alcohol	0	0	0	0	0	0	0	0	0	0	cawv
alcoholism	1	0	1	1	0	1	0	1	0	0	cawv
alcove	0	0	0	0	0	0	0	0	0	0	alcov
alert	0	0	0	0	0	0	0	0	0	0	ceeb toom
alertness	0	1	0	1	0	0	1	0	1	0	kev ceeb toom
alerts	0	1	0	1	0	0	0	0	1	0	ceeb toom
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraic
algorithm	0	0	0	0	0	0	0	0	0	0	algorithm
alibi	0	0	0	0	0	0	0	0	0	0	aliib
alien	0	0	1	1	0	1	0	0	0	0	neeg txawv teb chaws
alienate	1	0	1	0	0	1	0	0	0	0	txawv txawv
alienated	0	0	0	0	0	1	0	1	0	0	txawv txawv
alienation	1	0	1	1	0	1	0	1	0	0	kev cais
alight	0	0	0	0	0	0	0	0	0	0	alight
aligned	0	0	0	0	0	0	0	0	0	0	ua ke
alignment	0	0	0	0	0	0	0	0	0	0	kev sib tw
alike	0	0	0	0	0	0	0	0	0	0	zoo ib yam
alimentation	0	0	0	0	0	0	1	0	0	0	kev noj haus
alimony	0	0	0	0	0	1	0	0	0	0	nyiaj pab
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	ciaj sia
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	laj
allegation	1	0	0	0	0	1	0	0	0	0	kev liam
allege	0	0	0	0	0	1	0	0	0	0	liam
alleged	0	0	0	0	0	0	0	0	0	0	liam
allegiance	0	0	0	0	0	0	1	0	0	1	kev ntseeg siab
allegorical	0	0	0	0	0	0	0	0	0	0	allegorical
allegory	0	0	0	0	0	0	0	0	0	0	allegory
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	txo
alleviation	0	0	0	0	0	0	1	0	0	0	txo qis
alley	0	0	0	0	0	0	0	0	0	0	txoj kev
alliance	0	0	0	0	0	0	0	0	0	1	kev sib koom tes
allied	0	0	0	0	0	0	1	0	0	1	phooj ywg
alligator	0	0	0	0	0	0	0	0	0	0	nuv ntses
allocate	0	0	0	0	0	0	0	0	0	0	faib
allocation	0	0	0	0	0	0	0	0	0	0	faib
allot	0	0	0	0	0	0	0	0	0	0	faib
allotment	0	0	0	0	0	0	0	0	0	0	faib
allowable	0	0	0	0	0	0	1	0	0	0	tso cai
allowance	0	0	0	0	0	0	0	0	0	0	nyiaj pub
allowed	0	0	0	0	0	0	0	0	0	0	tso cai
alloy	0	0	0	0	0	0	0	0	0	0	hlau alloy
allure	0	1	0	0	1	0	1	0	1	0	ntxias
alluring	0	0	0	0	0	0	1	0	0	0	ntxim nyiam
allusion	0	0	0	0	0	0	0	0	0	0	kev sib tham
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	phooj ywg
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	tus muaj hwjchim
aloft	0	0	0	0	0	0	0	0	0	0	aloft
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	ib sab
aloof	0	0	0	0	0	1	0	0	0	0	aloof
aloud	0	0	0	0	0	0	0	0	0	0	nrov nrov
alphabet	0	0	0	0	0	0	0	0	0	0	tsiaj ntawv
alphabetical	0	0	0	0	0	0	0	0	0	0	cov tsiaj ntawv
altar	0	0	0	0	0	0	0	0	0	0	thaj chaw
alter	0	0	0	0	0	0	0	0	0	0	hloov
alteration	0	0	0	0	0	0	0	0	0	0	kev hloov pauv
altercation	1	0	0	0	0	1	0	0	0	0	kev sib cav
altered	0	0	0	0	0	0	0	0	0	0	hloov
alternate	0	0	0	0	0	0	0	0	0	0	hloov
alternative	0	0	0	0	0	0	0	0	0	0	lwm txoj
altitude	0	0	0	0	0	0	0	0	0	0	qhov siab
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	tag nrho
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	kev sib xyaw ua ke
amass	0	0	0	0	0	0	0	0	0	0	amass
amateur	0	0	0	0	0	0	0	0	0	0	amateur
amaze	0	0	0	0	0	0	0	0	1	0	xav tsis thoob
amazement	0	0	0	0	0	0	0	0	0	0	xav tsis thoob
amazingly	0	0	0	0	1	0	1	0	1	0	zoo kawg nkaus
ambassador	0	0	0	0	0	0	1	0	0	1	Ambassador
amber	0	0	0	0	0	0	0	0	0	0	amber
ambient	0	0	0	0	0	0	0	0	0	0	ambient
ambiguity	0	0	0	0	0	0	0	0	0	0	tsis meej pem
ambiguous	0	0	0	0	0	1	0	0	0	0	tsis meej pem
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	ambition
ambitious	0	0	0	0	0	0	0	0	0	0	lub siab xav
ambulance	0	0	0	1	0	0	0	0	0	1	tsheb thauj neeg mob
ambush	1	0	0	1	0	1	0	0	1	0	kev tawm tsam
ameliorate	0	0	0	0	0	0	1	0	0	0	ua kom zoo
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	txaus siab
amend	0	0	0	0	0	0	1	0	0	0	kho
amendment	0	0	0	0	0	0	0	0	0	0	kev hloov kho
amends	0	0	0	0	0	0	1	0	0	0	kho
amenity	0	0	0	0	0	0	1	0	0	0	kev zoo siab
amethyst	0	0	0	0	0	0	0	0	0	0	amethyst
amiable	0	0	0	0	0	0	1	0	0	0	zoo siab
amicable	0	0	0	0	1	0	1	0	0	0	kev sib raug zoo
amid	0	0	0	0	0	0	0	0	0	0	nruab nrab
amidst	0	0	0	0	0	0	0	0	0	0	nruab nrab
ammonia	0	0	1	0	0	0	0	0	0	0	ammonia
