English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Kazakh Word
abscess	0	0	0	0	0	1	0	1	0	0	абсцесс
absence	0	0	0	1	0	1	0	1	0	0	болмауы
absent	0	0	0	0	0	1	0	1	0	0	жоқ
absentee	0	0	0	0	0	1	0	1	0	0	келмеген
absenteeism	0	0	0	0	0	1	0	0	0	0	сабаққа келмеу
absinthe	0	0	0	0	0	0	0	0	0	0	абсент
absolute	0	0	0	0	0	0	1	0	0	0	абсолютті
absolution	0	0	0	0	1	0	1	0	0	1	кешірім
absorbed	0	0	0	0	0	0	1	0	0	0	сіңіріледі
absorbent	0	0	0	0	0	0	0	0	0	0	сіңіргіш
absorbing	0	0	0	0	0	0	0	0	0	0	сіңіру
absorption	0	0	0	0	0	0	0	0	0	0	сіңіру
abstain	0	0	0	0	0	0	0	0	0	0	қалыс қалу
abstention	0	0	0	0	0	0	0	0	0	0	қалыс қалу
abstinence	0	0	0	0	0	0	0	0	0	0	абстиненция
abstract	0	0	0	0	0	0	0	0	0	0	реферат
abstraction	0	0	0	0	0	0	0	0	0	0	абстракция
absurd	0	0	0	0	0	1	0	0	0	0	абсурд
absurdity	0	0	0	0	0	1	0	0	0	0	абсурдтық
abundance	0	1	1	0	1	1	1	0	0	1	молшылық
abundant	0	0	0	0	1	0	1	0	0	0	мол
abuse	1	0	1	1	0	1	0	1	0	0	теріс пайдалану
abutment	0	0	0	0	0	0	0	0	0	0	тірек
aby	0	0	0	0	0	0	0	0	0	0	abby
abysmal	0	0	0	0	0	1	0	1	0	0	тұңғиық
abyss	0	0	0	1	0	1	0	1	0	0	шыңырау
academic	0	0	0	0	0	0	1	0	0	1	академиялық
academy	0	0	0	0	0	0	1	0	0	0	академиясы
accede	0	0	0	0	0	0	0	0	0	0	қосылу
accelerate	0	1	0	0	0	0	0	0	0	0	тездету
acceleration	0	0	0	0	0	0	0	0	0	0	жеделдету
accent	0	0	0	0	0	0	0	0	0	0	екпін
accentuate	0	0	0	0	0	0	0	0	0	0	екпін түсіру
accept	0	0	0	0	0	0	0	0	0	0	қабылдау
acceptable	0	0	0	0	0	0	1	0	0	0	қолайлы
acceptance	0	0	0	0	0	0	1	0	0	0	қабылдау
access	0	0	0	0	0	0	0	0	0	0	қол жеткізу
accessible	0	0	0	0	0	0	1	0	0	0	қолжетімді
accession	0	0	0	0	0	0	0	0	0	0	қосылу
accessory	0	0	0	0	0	0	0	0	0	0	аксессуар
accident	0	0	0	1	0	1	0	1	1	0	апат
accidental	0	0	0	1	0	1	0	0	1	0	кездейсоқ
accidentally	0	0	0	0	0	0	0	0	1	0	кездейсоқ
accolade	0	1	0	0	1	0	1	0	1	1	мақтау
accommodate	0	0	0	0	0	0	0	0	0	0	орналастыру
accommodation	0	0	0	0	0	0	1	0	0	0	тұру
accompaniment	0	1	0	0	1	0	1	0	0	1	сүйемелдеу
accompany	0	0	0	0	0	0	0	0	0	0	сүйемелдеу
accompanying	0	0	0	0	0	0	0	0	0	0	сүйемелдеу
accomplice	0	0	0	0	0	0	0	0	0	0	сыбайлас
accomplish	0	0	0	0	1	0	1	0	0	0	орындау
accomplished	0	0	0	0	1	0	1	0	0	0	орындалды
accomplishment	0	0	0	0	0	0	1	0	0	0	жетістік
accord	0	0	0	0	0	0	1	0	0	1	келісім
accordance	0	0	0	0	0	0	0	0	0	0	сәйкес
accordion	0	0	0	0	0	0	0	0	0	0	аккордеон
account	0	0	0	0	0	0	0	0	0	1	есептік жазба
accountability	0	0	0	0	0	0	1	0	0	1	жауапкершілік
accountable	0	0	0	0	0	0	1	0	0	1	жауапты
accountant	0	0	0	0	0	0	0	0	0	1	есепші
accounting	0	0	0	0	0	0	0	0	0	0	бухгалтерлік есеп
accounts	0	0	0	0	0	0	0	0	0	1	шоттар
accredited	0	0	0	0	0	0	1	0	0	1	аккредиттелген
accretion	0	0	0	0	0	0	0	0	0	0	жинақтау
accrue	0	0	0	0	0	0	0	0	0	0	жинақталады
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	жинақтау
accumulation	0	0	0	0	0	0	0	0	0	0	жинақтау
accuracy	0	0	0	0	0	0	0	0	0	0	дәлдік
accurate	0	0	0	0	0	0	1	0	0	1	дәл
accursed	1	0	0	1	0	1	0	1	0	0	қарғыс атқан
accusation	1	0	1	0	0	1	0	0	0	0	айыптау
accusative	0	0	0	0	0	1	0	0	0	0	айыптауыш
accused	1	0	0	1	0	1	0	0	0	0	айыпталушы
accuser	1	0	0	1	0	1	0	0	0	0	айыптаушы
accusing	1	0	0	1	0	1	0	0	0	0	айыптау
accustomed	0	0	0	0	0	0	0	0	0	0	үйренген
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	сірке
ache	0	0	0	0	0	1	0	1	0	0	ауыру
achieve	0	0	0	0	1	0	1	0	0	1	жету
achievement	0	1	0	0	1	0	1	0	0	1	жетістік
aching	0	0	0	0	0	1	0	1	0	0	ауыру
acid	0	0	0	0	0	1	0	0	0	0	қышқыл
acidity	0	0	0	0	0	0	0	0	0	0	қышқылдық
acknowledge	0	0	0	0	0	0	0	0	0	0	мойындау
acknowledged	0	0	0	0	0	0	0	0	0	0	мойындалды
acknowledgment	0	0	0	0	0	0	1	0	0	0	мойындау
acme	0	0	0	0	0	0	0	0	0	0	акме
acoustic	0	0	0	0	0	0	0	0	0	0	акустикалық
acoustics	0	0	0	0	0	0	0	0	0	0	акустика
acquaint	0	0	0	0	0	0	0	0	0	0	танысу
acquaintance	0	0	0	0	0	0	0	0	0	0	танысу
acquainted	0	0	0	0	0	0	0	0	0	0	танысты
acquiescence	0	0	0	0	0	0	0	0	0	0	мойынсұну
acquire	0	0	0	0	0	0	1	0	0	0	алу
acquiring	0	1	0	0	0	0	1	0	0	0	алу
acquisition	0	0	0	0	0	0	0	0	0	0	сатып алу
acquisitions	0	0	0	0	0	0	0	0	0	0	сатып алулар
acreage	0	0	0	0	0	0	0	0	0	0	акр
acres	0	0	0	0	0	0	0	0	0	0	акр
acrobat	0	0	0	1	1	0	1	0	0	1	акробат
act	0	0	0	0	0	0	0	0	0	0	әрекет
acting	0	0	0	0	0	0	0	0	0	0	актерлік
action	0	0	0	0	0	0	1	0	0	0	әрекет
actionable	1	0	1	0	0	1	0	0	0	0	әрекетке қабілетті
active	0	0	0	0	0	0	0	0	0	0	белсенді
activity	0	0	0	0	0	0	0	0	0	0	белсенділік
actor	0	0	0	0	0	0	0	0	0	0	актер
actual	0	0	0	0	0	0	1	0	0	0	нақты
actuality	0	0	0	0	0	0	0	0	0	0	өзектілігі
actuary	0	0	0	0	0	0	0	0	0	0	актуарий
acuity	0	0	0	0	0	0	1	0	0	0	өткірлік
acumen	0	0	0	0	0	0	1	0	0	0	зеректік
acupuncture	0	0	0	0	0	0	0	0	0	0	акупунктура
acutely	0	0	0	0	0	0	0	0	0	0	өткір
adage	0	0	0	0	0	0	0	0	0	0	нақыл
adamant	0	0	0	0	0	0	0	0	0	0	табанды
adapt	0	0	0	0	0	0	1	0	0	0	бейімделу
adaptable	0	0	0	0	0	0	1	0	0	0	бейімделгіш
add	0	0	0	0	0	0	0	0	0	0	қосу
added	0	0	0	0	0	0	0	0	0	0	қосылды
addendum	0	0	0	0	0	0	0	0	0	0	қосымша
adder	1	0	1	1	0	1	0	1	0	0	қосқыш
addiction	0	0	0	0	0	1	0	0	0	0	тәуелділік
addition	0	0	0	0	0	0	0	0	0	0	қосу
additional	0	0	0	0	0	0	0	0	0	0	қосымша
additive	0	0	0	0	0	0	0	0	0	0	қоспа
address	0	0	0	0	0	0	0	0	0	0	мекенжайы
addressee	0	0	0	0	0	0	0	0	0	0	адресат
addresses	0	1	0	0	0	0	1	0	0	0	мекенжайлар
adept	0	0	0	0	0	0	1	0	0	0	шебер
adequacy	0	0	0	0	0	0	1	0	0	0	сәйкестік
adequate	0	0	0	0	0	0	0	0	0	0	барабар
adhere	0	0	0	0	0	0	0	0	0	0	ұстану
adherence	0	0	0	0	0	0	0	0	0	0	ұстану
adherent	0	0	0	0	0	0	0	0	0	0	ұстанушы
adhering	0	0	0	0	0	0	0	0	0	1	ұстану
adhesion	0	0	0	0	0	0	0	0	0	0	адгезия
adhesive	0	0	0	0	0	0	0	0	0	0	желім
adieu	0	0	0	0	0	0	0	0	0	0	сәлем
adipose	0	0	0	0	0	1	0	0	0	0	май
adjacency	0	0	0	0	0	0	0	0	0	0	көршілестік
adjacent	0	0	0	0	0	0	0	0	0	0	іргелес
adjective	0	0	0	0	0	0	0	0	0	0	сын есім
adjoining	0	0	0	0	0	0	0	0	0	0	іргелес
adjourn	0	0	0	0	0	0	0	0	0	0	үзіліс
adjournment	0	0	0	0	0	0	0	0	0	0	үзіліс
adjudicate	0	0	0	1	0	1	0	0	0	0	үкім шығару
adjudication	0	0	0	0	0	0	0	0	0	0	үкім шығару
adjunct	0	0	0	0	0	0	1	0	0	0	қосымша
adjust	0	0	0	0	0	0	0	0	0	0	реттеу
adjustment	0	0	0	0	0	0	0	0	0	0	реттеу
adjuvant	0	0	0	0	0	0	0	0	0	0	адъювант
administer	0	0	0	0	0	0	0	0	0	0	басқару
administration	0	0	0	0	0	0	0	0	0	0	әкімшілік
administrative	0	0	0	0	0	0	0	0	0	1	әкімшілік
admirable	0	0	0	0	1	0	1	0	0	1	тамаша
admiral	0	0	0	0	0	0	1	0	0	1	адмирал
admiralty	0	0	0	0	0	0	0	0	0	0	адмиралт
admiration	0	0	0	0	1	0	1	0	0	1	таңдану
admire	0	0	0	0	0	0	1	0	0	1	таңдану
admirer	0	0	0	0	0	0	1	0	0	0	жанкүйер
admissibility	0	0	0	0	0	0	0	0	0	0	рұқсат ету
admissible	0	0	0	0	0	0	1	0	0	1	рұқсат етілген
admission	0	0	0	0	0	0	0	0	0	0	қабылдау
admit	0	0	0	0	0	0	0	0	0	0	мойындау
admittance	0	0	0	0	0	0	0	0	0	0	рұқсат
admitted	0	0	0	0	0	0	0	0	0	0	мойындады
admitting	0	0	0	0	0	0	0	0	0	0	мойындау
admixture	0	0	0	0	0	0	0	0	0	0	қоспа
admonition	0	0	0	1	0	1	0	0	0	0	ескерту
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	Adobe
adolescence	0	0	0	0	0	0	0	0	0	0	жастық шақ
adolescent	0	0	0	0	0	0	0	0	0	0	жасөспірім
adopt	0	0	0	0	0	0	0	0	0	0	асырап алу
adoption	0	0	0	0	0	0	0	0	0	0	асырап алу
adorable	0	0	0	0	1	0	1	0	0	0	сүйкімді
adoration	0	0	0	0	1	0	1	0	0	1	табыну
adore	0	1	0	0	1	0	1	0	0	1	сүю
adorn	0	0	0	0	0	0	0	0	0	0	безендіру
adornment	0	0	0	0	0	0	0	0	0	0	әшекей
adrift	0	1	0	1	0	1	0	1	0	0	адасқан
adult	0	0	0	0	0	0	0	0	0	0	ересек
adulterated	0	0	0	0	0	1	0	0	0	0	бұрмаланған
adultery	0	0	1	0	0	1	0	1	0	0	зинақорлық
advance	0	1	0	1	1	0	1	0	1	0	алдын ала
advanced	0	0	0	0	0	0	1	0	0	0	озат
advancement	0	0	0	0	0	0	1	0	0	0	ілгерілеу
advancing	0	0	0	0	0	0	0	0	0	0	ілгерілеу
advantage	0	0	0	0	0	0	1	0	0	0	артықшылығы
advantageous	0	0	0	0	0	0	1	0	0	0	тиімді
advent	0	1	0	0	1	0	1	0	0	1	келу
adventure	0	1	0	0	0	0	1	0	0	0	шытырман оқиға
adventurer	0	0	0	0	0	0	0	0	0	0	авантюрист
adventurous	0	0	0	0	0	0	1	0	0	0	шытырманшыл
adversary	1	0	0	0	0	1	0	0	0	0	қарсылас
adverse	1	0	1	1	0	1	0	1	0	0	қолайсыз
adversity	1	0	0	1	0	1	0	1	0	0	қиыншылық
advertise	0	0	0	0	0	0	0	0	0	0	жарнамалау
advertisement	0	0	0	0	0	0	0	0	0	0	жарнама
advice	0	0	0	0	0	0	0	0	0	1	кеңес
advisable	0	0	0	0	0	0	1	0	0	1	орынды
advise	0	0	0	0	0	0	1	0	0	1	кеңес беру
advised	0	0	0	0	0	0	0	0	0	1	кеңес берді
advisement	0	0	0	0	0	0	0	0	0	0	кеңес беру
adviser	0	0	0	0	0	0	1	0	0	1	кеңесші
advocacy	1	1	0	0	1	0	1	0	0	1	қорғау
advocate	0	0	0	0	0	0	0	0	0	1	қорғаушы
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	аэрация
aerial	0	0	0	0	0	0	0	0	0	0	әуе
aerodrome	0	0	0	0	0	0	0	0	0	0	аэродром
aerodynamics	0	0	0	0	0	0	0	0	0	0	аэродинамика
aeronautics	0	0	0	0	0	0	0	0	0	0	аэронавтика
aeroplane	0	0	0	0	0	0	0	0	0	0	ұшақ
aesthetic	0	0	0	0	0	0	1	0	0	0	эстетикалық
aesthetics	0	0	0	0	1	0	1	0	0	0	эстетика
aetiology	0	0	0	0	0	0	0	0	0	0	этиологиясы
afar	0	0	0	0	0	0	0	0	0	0	алыс
affable	0	0	0	0	0	0	1	0	0	0	мейірімді
affair	0	0	0	0	0	0	0	0	0	0	іс
affecting	0	0	0	0	0	0	0	0	0	0	әсер етуші
affection	0	0	0	0	1	0	1	0	0	1	сүйіспеншілік
affections	0	0	0	0	0	0	0	0	0	0	сүйіспеншіліктер
affiche	0	0	0	0	0	0	0	0	0	0	афише
affidavit	0	0	0	0	0	0	0	0	0	0	анықтама
affiliated	0	0	0	0	0	0	1	0	0	0	еншілес
affiliation	0	0	0	0	0	0	0	0	0	0	қатыстылық
affinity	0	0	0	0	0	0	0	0	0	0	жақындық
affirm	0	0	0	0	0	0	1	0	0	1	бекіту
affirmation	0	0	0	0	0	0	1	0	0	0	растау
affirmative	0	0	0	0	0	0	1	0	0	0	растайтын
affirmatively	0	0	0	0	0	0	1	0	0	1	растау
affix	0	0	0	0	0	0	0	0	0	0	аффикс
afflict	0	0	0	1	0	1	0	1	0	0	қинау
afflicted	0	0	0	0	0	1	0	0	0	0	зардап шеккен
affliction	0	0	1	1	0	1	0	1	0	0	қасірет
affluence	0	0	0	0	1	0	1	0	0	0	молшылық
affluent	0	0	0	0	0	0	1	0	0	0	бай
afford	0	0	0	0	0	0	1	0	0	0	мүмкіндік береді
affront	1	0	1	1	0	1	0	1	1	0	қорлау
afield	0	0	0	0	0	0	0	0	0	0	алыс
afore	0	0	0	0	0	0	0	0	0	0	бұрын
aforementioned	0	0	0	0	0	0	0	0	0	0	жоғарыда аталған
aforesaid	0	0	0	0	0	0	0	0	0	0	жоғарыда айтылған
afraid	0	0	0	1	0	1	0	0	0	0	қорқады
afresh	0	0	0	0	0	0	0	0	0	0	қайтадан
aft	0	0	0	0	0	0	0	0	0	0	артқы
aftermath	1	0	1	1	0	1	0	1	0	0	кейін
afternoon	0	0	0	0	0	0	0	0	0	0	түстен кейін
aftertaste	0	0	0	0	0	1	0	0	0	0	кейінгі дәм
afterthought	0	0	0	0	0	0	0	0	0	0	кейінгі ой
aga	0	0	0	1	0	0	1	0	0	1	аға
agate	0	0	0	0	0	0	0	0	0	0	агат
age	0	0	0	0	0	0	0	0	0	0	жасы
aged	0	0	0	0	0	0	0	0	0	0	қартайған
agency	0	0	0	0	0	0	0	0	0	0	агенттік
agent	0	0	0	0	0	0	0	0	0	0	агент
agglomeration	0	0	0	0	0	0	0	0	0	0	агломерация
aggravated	1	0	0	0	0	1	0	0	0	0	ауырлатылған
aggravating	1	0	0	0	0	1	0	1	0	0	ауырлататын
aggravation	1	0	1	0	0	1	0	0	0	0	шиеленісуі
aggregate	0	0	0	0	0	0	0	0	0	0	жиынтық
aggregation	0	0	0	0	0	0	0	0	0	0	жинақтау
aggression	1	0	0	1	0	1	0	0	0	0	агрессия
aggressive	1	0	0	1	0	1	0	0	0	0	агрессивті
aggressor	1	0	0	1	0	1	0	0	0	0	агрессор
aghast	0	0	1	1	0	1	0	0	1	0	ашулы
agile	0	0	0	0	0	0	1	0	0	0	епті
agility	0	0	0	0	0	0	1	0	0	0	ептілік
agitated	1	0	0	0	0	1	0	0	0	0	толқыған
agitation	1	0	0	0	0	1	0	0	0	0	толқу
agnostic	0	0	0	0	0	0	0	0	0	0	агностикалық
ago	0	0	0	0	0	0	0	0	0	0	бұрын
agonizing	0	0	0	1	0	1	0	0	0	0	азапты
agony	1	0	0	1	0	1	0	1	0	0	азап
agree	0	0	0	0	0	0	1	0	0	0	келісемін
agreeable	0	0	0	0	0	0	1	0	0	1	қолайлы
agreed	0	0	0	0	0	0	1	0	0	1	келісті
agreeing	0	0	0	0	0	0	1	0	0	1	келісу
agreement	0	0	0	0	0	0	1	0	0	1	келісім
agricultural	0	0	0	0	0	0	0	0	0	0	ауыл шаруашылығы
agriculture	0	0	0	0	0	0	1	0	0	0	ауыл шаруашылығы
aground	0	0	0	0	0	1	0	0	0	0	құрғау
agua	0	0	0	0	0	0	0	0	0	0	агуа
ahead	0	0	0	0	0	0	1	0	0	0	алда
aid	0	0	0	0	0	0	1	0	0	0	көмек
aiding	0	0	0	0	0	0	1	0	0	0	көмектесу
ail	0	0	0	0	0	1	0	1	0	0	ауыл
ailing	0	0	0	1	0	1	0	1	0	0	ауру
ailment	0	0	0	0	0	0	0	0	0	0	ауру
aim	0	0	0	0	0	0	0	0	0	0	мақсат
aimless	0	0	0	0	0	1	0	0	0	0	мақсатсыз
air	0	0	0	0	0	0	0	0	0	0	ауа
airbag	0	0	0	0	0	0	0	0	0	0	қауіпсіздік жастығы
airlift	0	0	0	0	0	0	0	0	0	0	әуе тасымалы
airline	0	0	0	0	0	0	0	0	0	0	әуе компаниясы
airman	0	0	0	0	0	0	0	0	0	0	әуе қызметкері
airplane	0	0	0	0	0	0	0	0	0	0	ұшақ
airport	0	1	0	0	0	0	0	0	0	0	әуежай
airs	0	0	1	0	0	1	0	0	0	0	ауада
airship	0	0	0	0	0	0	0	0	0	0	дирижабль
aisle	0	0	0	0	0	0	0	0	0	0	қатар
ait	0	0	0	0	0	0	0	0	0	0	айт
ajar	0	0	0	0	0	0	0	0	0	0	жар
akin	0	0	0	0	0	0	0	0	0	1	туыстас
alabaster	0	0	0	0	0	0	1	0	0	0	алебастр
alarm	0	0	0	1	0	1	0	0	1	0	дабыл
alarming	0	0	0	1	0	1	0	0	1	0	алаңдатарлық
alb	0	0	0	0	0	0	0	0	0	1	альб
album	0	0	0	0	0	0	0	0	0	0	альбом
alchemy	0	0	0	0	0	0	0	0	0	0	алхимия
alcohol	0	0	0	0	0	0	0	0	0	0	алкоголь
alcoholism	1	0	1	1	0	1	0	1	0	0	алкоголизм
alcove	0	0	0	0	0	0	0	0	0	0	ойық
alert	0	0	0	0	0	0	0	0	0	0	ескерту
alertness	0	1	0	1	0	0	1	0	1	0	сергектік
alerts	0	1	0	1	0	0	0	0	1	0	ескертулер
alfalfa	0	0	0	0	0	0	0	0	0	0	жоңышқа
algebra	0	0	0	0	0	0	0	0	0	0	алгебра
algebraic	0	0	0	0	0	0	0	0	0	0	алгебралық
algorithm	0	0	0	0	0	0	0	0	0	0	алгоритм
alibi	0	0	0	0	0	0	0	0	0	0	әліби
alien	0	0	1	1	0	1	0	0	0	0	бөтен
alienate	1	0	1	0	0	1	0	0	0	0	иеліктен шығару
alienated	0	0	0	0	0	1	0	1	0	0	иеліктен шығарылған
alienation	1	0	1	1	0	1	0	1	0	0	иеліктен шығару
alight	0	0	0	0	0	0	0	0	0	0	жану
aligned	0	0	0	0	0	0	0	0	0	0	тураланған
alignment	0	0	0	0	0	0	0	0	0	0	туралау
alike	0	0	0	0	0	0	0	0	0	0	ұқсас
alimentation	0	0	0	0	0	0	1	0	0	0	тамақтану
alimony	0	0	0	0	0	1	0	0	0	0	алимент
aliquot	0	0	0	0	0	0	0	0	0	0	аликвот
alive	0	1	0	0	1	0	1	0	0	1	тірі
alkali	0	0	0	0	0	0	0	0	0	0	сілті
alkaloids	0	0	0	0	0	0	0	0	0	0	алкалоидтар
allay	0	0	0	0	0	0	1	0	0	0	жеңілдету
allegation	1	0	0	0	0	1	0	0	0	0	айыптау
allege	0	0	0	0	0	1	0	0	0	0	айыптау
alleged	0	0	0	0	0	0	0	0	0	0	болжалды
allegiance	0	0	0	0	0	0	1	0	0	1	адалдық
allegorical	0	0	0	0	0	0	0	0	0	0	аллегориялық
allegory	0	0	0	0	0	0	0	0	0	0	аллегория
allegro	0	0	0	0	0	0	1	0	0	0	аллегро
alleviate	0	0	0	0	0	0	1	0	0	0	жеңілдету
alleviation	0	0	0	0	0	0	1	0	0	0	жеңілдету
alley	0	0	0	0	0	0	0	0	0	0	аллея
alliance	0	0	0	0	0	0	0	0	0	1	одақ
allied	0	0	0	0	0	0	1	0	0	1	одақтас
alligator	0	0	0	0	0	0	0	0	0	0	аллигатор
allocate	0	0	0	0	0	0	0	0	0	0	бөлу
allocation	0	0	0	0	0	0	0	0	0	0	бөлу
allot	0	0	0	0	0	0	0	0	0	0	бөлу
allotment	0	0	0	0	0	0	0	0	0	0	бөлу
allowable	0	0	0	0	0	0	1	0	0	0	рұқсат етілген
allowance	0	0	0	0	0	0	0	0	0	0	жәрдемақы
allowed	0	0	0	0	0	0	0	0	0	0	рұқсат
alloy	0	0	0	0	0	0	0	0	0	0	қорытпа
allure	0	1	0	0	1	0	1	0	1	0	тартымдылық
alluring	0	0	0	0	0	0	1	0	0	0	тартымды
allusion	0	0	0	0	0	0	0	0	0	0	тұспал
alluvial	0	0	0	0	0	0	0	0	0	0	аллювиальды
ally	0	0	0	0	0	0	1	0	0	1	одақтас
almanac	0	0	0	0	0	0	0	0	0	0	альманах
almighty	0	0	0	0	0	0	1	0	0	0	құдіретті
aloft	0	0	0	0	0	0	0	0	0	0	биікте
aloha	0	1	0	0	1	0	1	0	0	0	сәлем
alongside	0	0	0	0	0	0	0	0	0	0	қатар
aloof	0	0	0	0	0	1	0	0	0	0	алыс
aloud	0	0	0	0	0	0	0	0	0	0	дауыстап
alphabet	0	0	0	0	0	0	0	0	0	0	алфавит
alphabetical	0	0	0	0	0	0	0	0	0	0	алфавиттік
altar	0	0	0	0	0	0	0	0	0	0	құрбандық үстелі
alter	0	0	0	0	0	0	0	0	0	0	өзгерту
alteration	0	0	0	0	0	0	0	0	0	0	өзгерту
altercation	1	0	0	0	0	1	0	0	0	0	жанжал
altered	0	0	0	0	0	0	0	0	0	0	өзгертілген
alternate	0	0	0	0	0	0	0	0	0	0	балама
alternative	0	0	0	0	0	0	0	0	0	0	балама
altitude	0	0	0	0	0	0	0	0	0	0	биіктік
alto	0	0	0	0	0	0	0	0	0	0	альт
altogether	0	0	0	0	0	0	0	0	0	0	толығымен
alumnus	0	0	0	0	0	0	0	0	0	0	түлегі
alveolar	0	0	0	0	0	0	0	0	0	0	альвеолярлы
amalgam	0	0	0	0	0	0	0	0	0	0	амальгама
amalgamation	0	0	0	0	0	0	0	0	0	0	біріктіру
amass	0	0	0	0	0	0	0	0	0	0	жинақтау
amateur	0	0	0	0	0	0	0	0	0	0	әуесқой
amaze	0	0	0	0	0	0	0	0	1	0	таң қалдыру
amazement	0	0	0	0	0	0	0	0	0	0	таң қалу
amazingly	0	0	0	0	1	0	1	0	1	0	таңқаларлық
ambassador	0	0	0	0	0	0	1	0	0	1	елші
amber	0	0	0	0	0	0	0	0	0	0	кәріптас
ambient	0	0	0	0	0	0	0	0	0	0	қоршаған орта
ambiguity	0	0	0	0	0	0	0	0	0	0	екіұштылық
ambiguous	0	0	0	0	0	1	0	0	0	0	анық емес
ambit	0	0	0	0	0	0	0	0	0	0	амбит
ambition	0	1	0	0	1	0	1	0	0	1	амбиция
ambitious	0	0	0	0	0	0	0	0	0	0	амбициялы
ambulance	0	0	0	1	0	0	0	0	0	1	жедел жәрдем
ambush	1	0	0	1	0	1	0	0	1	0	буксирлеу
ameliorate	0	0	0	0	0	0	1	0	0	0	жақсарту
amen	0	0	0	0	1	0	1	0	0	1	аумин
amenable	0	0	0	0	0	0	1	0	0	0	қолайлы
amend	0	0	0	0	0	0	1	0	0	0	түзету
amendment	0	0	0	0	0	0	0	0	0	0	түзету
amends	0	0	0	0	0	0	1	0	0	0	түзетеді
amenity	0	0	0	0	0	0	1	0	0	0	қолайлылық
amethyst	0	0	0	0	0	0	0	0	0	0	аметист
amiable	0	0	0	0	0	0	1	0	0	0	мейірімді
amicable	0	0	0	0	1	0	1	0	0	0	тату
amid	0	0	0	0	0	0	0	0	0	0	ортасында
amidst	0	0	0	0	0	0	0	0	0	0	арасында
ammonia	0	0	1	0	0	0	0	0	0	0	аммиак
ammunition	0	0	0	0	0	0	0	0	0	0	оқ-дәрі
amnesia	0	0	0	0	0	1	0	0	0	0	амнезия
amnesty	0	0	0	0	1	0	1	0	0	0	амнистия
amorphous	0	0	0	0	0	0	0	0	0	0	аморфты
amortization	0	0	0	0	0	0	0	0	0	1	амортизация
amount	0	0	0	0	0	0	0	0	0	0	сомасы
amour	0	1	0	0	1	0	1	0	0	1	құмарлық
ampersand	0	0	0	0	0	0	0	0	0	0	амперсанд
