English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Galician Word
advent	0	1	0	0	1	0	1	0	0	1	advento
adventure	0	1	0	0	0	0	1	0	0	0	aventura
adventurer	0	0	0	0	0	0	0	0	0	0	aventureiro
adventurous	0	0	0	0	0	0	1	0	0	0	aventureiro
adversary	1	0	0	0	0	1	0	0	0	0	adversario
adverse	1	0	1	1	0	1	0	1	0	0	adverso
adversity	1	0	0	1	0	1	0	1	0	0	adversidade
advertise	0	0	0	0	0	0	0	0	0	0	anunciar
advertisement	0	0	0	0	0	0	0	0	0	0	publicidade
advice	0	0	0	0	0	0	0	0	0	1	consello
advisable	0	0	0	0	0	0	1	0	0	1	aconsellable
advise	0	0	0	0	0	0	1	0	0	1	aconsellar
advised	0	0	0	0	0	0	0	0	0	1	aconsellou
advisement	0	0	0	0	0	0	0	0	0	0	asesoramento
adviser	0	0	0	0	0	0	1	0	0	1	conselleiro
advocacy	1	1	0	0	1	0	1	0	0	1	avogacía
advocate	0	0	0	0	0	0	0	0	0	1	avogado
aegis	0	0	0	0	0	0	0	0	0	0	éxido
aeration	0	0	0	0	0	0	0	0	0	0	aireación
aerial	0	0	0	0	0	0	0	0	0	0	aéreo
aerodrome	0	0	0	0	0	0	0	0	0	0	aeródromo
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinámica
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronáutica
aeroplane	0	0	0	0	0	0	0	0	0	0	avión
aesthetic	0	0	0	0	0	0	1	0	0	0	estética
aesthetics	0	0	0	0	1	0	1	0	0	0	estética
aetiology	0	0	0	0	0	0	0	0	0	0	etioloxía
afar	0	0	0	0	0	0	0	0	0	0	lonxe
affable	0	0	0	0	0	0	1	0	0	0	afable
affair	0	0	0	0	0	0	0	0	0	0	asunto
affecting	0	0	0	0	0	0	0	0	0	0	afectando
affection	0	0	0	0	1	0	1	0	0	1	cariño
affections	0	0	0	0	0	0	0	0	0	0	afectos
affiche	0	0	0	0	0	0	0	0	0	0	cartel
affidavit	0	0	0	0	0	0	0	0	0	0	declaración xurada
affiliated	0	0	0	0	0	0	1	0	0	0	afiliado
affiliation	0	0	0	0	0	0	0	0	0	0	afiliación
affinity	0	0	0	0	0	0	0	0	0	0	afinidade
affirm	0	0	0	0	0	0	1	0	0	1	afirmar
affirmation	0	0	0	0	0	0	1	0	0	0	afirmación
affirmative	0	0	0	0	0	0	1	0	0	0	afirmativo
affirmatively	0	0	0	0	0	0	1	0	0	1	afirmativamente
affix	0	0	0	0	0	0	0	0	0	0	afixo
afflict	0	0	0	1	0	1	0	1	0	0	aflixir
afflicted	0	0	0	0	0	1	0	0	0	0	aflixido
affliction	0	0	1	1	0	1	0	1	0	0	aflicción
affluence	0	0	0	0	1	0	1	0	0	0	afluencia
affluent	0	0	0	0	0	0	1	0	0	0	acomodado
afford	0	0	0	0	0	0	1	0	0	0	pagar
affront	1	0	1	1	0	1	0	1	1	0	afrenta
afield	0	0	0	0	0	0	0	0	0	0	lonxe
afore	0	0	0	0	0	0	0	0	0	0	antes
aforementioned	0	0	0	0	0	0	0	0	0	0	mencionado anteriormente
aforesaid	0	0	0	0	0	0	0	0	0	0	antedito
afraid	0	0	0	1	0	1	0	0	0	0	medo
afresh	0	0	0	0	0	0	0	0	0	0	de novo
aft	0	0	0	0	0	0	0	0	0	0	a popa
aftermath	1	0	1	1	0	1	0	1	0	0	secuela
afternoon	0	0	0	0	0	0	0	0	0	0	tarde
aftertaste	0	0	0	0	0	1	0	0	0	0	regusto
afterthought	0	0	0	0	0	0	0	0	0	0	pensamento posterior
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	ágata
age	0	0	0	0	0	0	0	0	0	0	idade
aged	0	0	0	0	0	0	0	0	0	0	envellecido
agency	0	0	0	0	0	0	0	0	0	0	axencia
agent	0	0	0	0	0	0	0	0	0	0	axente
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomeración
aggravated	1	0	0	0	0	1	0	0	0	0	agravada
aggravating	1	0	0	0	0	1	0	1	0	0	agravante
aggravation	1	0	1	0	0	1	0	0	0	0	agravamento
aggregate	0	0	0	0	0	0	0	0	0	0	agregado
aggregation	0	0	0	0	0	0	0	0	0	0	agregación
aggression	1	0	0	1	0	1	0	0	0	0	agresión
aggressive	1	0	0	1	0	1	0	0	0	0	agresivo
aggressor	1	0	0	1	0	1	0	0	0	0	agresor
aghast	0	0	1	1	0	1	0	0	1	0	horrorizado
agile	0	0	0	0	0	0	1	0	0	0	áxil
agility	0	0	0	0	0	0	1	0	0	0	axilidade
agitated	1	0	0	0	0	1	0	0	0	0	axitado
agitation	1	0	0	0	0	1	0	0	0	0	axitación
agnostic	0	0	0	0	0	0	0	0	0	0	agnóstico
ago	0	0	0	0	0	0	0	0	0	0	hai
agonizing	0	0	0	1	0	1	0	0	0	0	agonizante
agony	1	0	0	1	0	1	0	1	0	0	agonía
agree	0	0	0	0	0	0	1	0	0	0	de acordo
agreeable	0	0	0	0	0	0	1	0	0	1	agradable
agreed	0	0	0	0	0	0	1	0	0	1	acordou
agreeing	0	0	0	0	0	0	1	0	0	1	acordando
agreement	0	0	0	0	0	0	1	0	0	1	acordo
agricultural	0	0	0	0	0	0	0	0	0	0	agrícolas
agriculture	0	0	0	0	0	0	1	0	0	0	agricultura
aground	0	0	0	0	0	1	0	0	0	0	encallado
agua	0	0	0	0	0	0	0	0	0	0	auga
ahead	0	0	0	0	0	0	1	0	0	0	adiante
aid	0	0	0	0	0	0	1	0	0	0	axuda
aiding	0	0	0	0	0	0	1	0	0	0	axudando
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	enfermo
ailment	0	0	0	0	0	0	0	0	0	0	doenza
aim	0	0	0	0	0	0	0	0	0	0	obxectivo
aimless	0	0	0	0	0	1	0	0	0	0	sen rumbo
air	0	0	0	0	0	0	0	0	0	0	aire
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	puente aéreo
airline	0	0	0	0	0	0	0	0	0	0	compañía aérea
airman	0	0	0	0	0	0	0	0	0	0	aviador
airplane	0	0	0	0	0	0	0	0	0	0	avión
airport	0	1	0	0	0	0	0	0	0	0	aeroporto
airs	0	0	1	0	0	1	0	0	0	0	aires
airship	0	0	0	0	0	0	0	0	0	0	dirigible
aisle	0	0	0	0	0	0	0	0	0	0	corredor
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	entreaberta
akin	0	0	0	0	0	0	0	0	0	1	semellante
alabaster	0	0	0	0	0	0	1	0	0	0	alabastro
alarm	0	0	0	1	0	1	0	0	1	0	alarma
alarming	0	0	0	1	0	1	0	0	1	0	alarmante
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	álbum
alchemy	0	0	0	0	0	0	0	0	0	0	alquimia
alcohol	0	0	0	0	0	0	0	0	0	0	alcohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alcoholismo
alcove	0	0	0	0	0	0	0	0	0	0	alcoba
alert	0	0	0	0	0	0	0	0	0	0	alerta
alertness	0	1	0	1	0	0	1	0	1	0	alerta
alerts	0	1	0	1	0	0	0	0	1	0	alertas
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	álxebra
algebraic	0	0	0	0	0	0	0	0	0	0	alxébrica
algorithm	0	0	0	0	0	0	0	0	0	0	algoritmo
alibi	0	0	0	0	0	0	0	0	0	0	coartada
alien	0	0	1	1	0	1	0	0	0	0	alleo
alienate	1	0	1	0	0	1	0	0	0	0	alienar
alienated	0	0	0	0	0	1	0	1	0	0	alienado
alienation	1	0	1	1	0	1	0	1	0	0	alienación
alight	0	0	0	0	0	0	0	0	0	0	acenderse
aligned	0	0	0	0	0	0	0	0	0	0	aliñados
alignment	0	0	0	0	0	0	0	0	0	0	aliñamento
alike	0	0	0	0	0	0	0	0	0	0	iguais
alimentation	0	0	0	0	0	0	1	0	0	0	alimentación
alimony	0	0	0	0	0	1	0	0	0	0	pensión alimenticia
aliquot	0	0	0	0	0	0	0	0	0	0	alícuota
alive	0	1	0	0	1	0	1	0	0	1	vivo
alkali	0	0	0	0	0	0	0	0	0	0	álcali
alkaloids	0	0	0	0	0	0	0	0	0	0	alcaloides
allay	0	0	0	0	0	0	1	0	0	0	calmar
allegation	1	0	0	0	0	1	0	0	0	0	alegación
allege	0	0	0	0	0	1	0	0	0	0	alegar
alleged	0	0	0	0	0	0	0	0	0	0	alegada
allegiance	0	0	0	0	0	0	1	0	0	1	lealdade
allegorical	0	0	0	0	0	0	0	0	0	0	alegórico
allegory	0	0	0	0	0	0	0	0	0	0	alegoría
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	aliviar
alleviation	0	0	0	0	0	0	1	0	0	0	alivio
alley	0	0	0	0	0	0	0	0	0	0	rúa
alliance	0	0	0	0	0	0	0	0	0	1	alianza
allied	0	0	0	0	0	0	1	0	0	1	aliados
alligator	0	0	0	0	0	0	0	0	0	0	caimán
allocate	0	0	0	0	0	0	0	0	0	0	asignar
allocation	0	0	0	0	0	0	0	0	0	0	asignación
allot	0	0	0	0	0	0	0	0	0	0	asignar
allotment	0	0	0	0	0	0	0	0	0	0	reparto
allowable	0	0	0	0	0	0	1	0	0	0	admisible
allowance	0	0	0	0	0	0	0	0	0	0	bonificación
allowed	0	0	0	0	0	0	0	0	0	0	permitidos
alloy	0	0	0	0	0	0	0	0	0	0	aliaxe
allure	0	1	0	0	1	0	1	0	1	0	encanto
alluring	0	0	0	0	0	0	1	0	0	0	seductor
allusion	0	0	0	0	0	0	0	0	0	0	alusión
alluvial	0	0	0	0	0	0	0	0	0	0	aluvial
ally	0	0	0	0	0	0	1	0	0	1	aliado
almanac	0	0	0	0	0	0	0	0	0	0	almanaque
almighty	0	0	0	0	0	0	1	0	0	0	todopoderoso
aloft	0	0	0	0	0	0	0	0	0	0	en alto
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	ao lado
aloof	0	0	0	0	0	1	0	0	0	0	afastado
aloud	0	0	0	0	0	0	0	0	0	0	en voz alta
alphabet	0	0	0	0	0	0	0	0	0	0	alfabeto
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabético
altar	0	0	0	0	0	0	0	0	0	0	altar
alter	0	0	0	0	0	0	0	0	0	0	alterar
alteration	0	0	0	0	0	0	0	0	0	0	alteración
altercation	1	0	0	0	0	1	0	0	0	0	altercado
altered	0	0	0	0	0	0	0	0	0	0	alterado
alternate	0	0	0	0	0	0	0	0	0	0	alternar
alternative	0	0	0	0	0	0	0	0	0	0	alternativa
altitude	0	0	0	0	0	0	0	0	0	0	altitude
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	en conxunto
alumnus	0	0	0	0	0	0	0	0	0	0	exalumno
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgama
amalgamation	0	0	0	0	0	0	0	0	0	0	fusión
amass	0	0	0	0	0	0	0	0	0	0	amasar
amateur	0	0	0	0	0	0	0	0	0	0	afeccionado
amaze	0	0	0	0	0	0	0	0	1	0	abraia
amazement	0	0	0	0	0	0	0	0	0	0	abraio
amazingly	0	0	0	0	1	0	1	0	1	0	sorprendentemente
ambassador	0	0	0	0	0	0	1	0	0	1	embaixador
amber	0	0	0	0	0	0	0	0	0	0	ámbar
ambient	0	0	0	0	0	0	0	0	0	0	ambiente
ambiguity	0	0	0	0	0	0	0	0	0	0	ambigüidade
ambiguous	0	0	0	0	0	1	0	0	0	0	ambiguo
ambit	0	0	0	0	0	0	0	0	0	0	ámbito
ambition	0	1	0	0	1	0	1	0	0	1	ambición
ambitious	0	0	0	0	0	0	0	0	0	0	ambicioso
ambulance	0	0	0	1	0	0	0	0	0	1	ambulancia
ambush	1	0	0	1	0	1	0	0	1	0	emboscada
ameliorate	0	0	0	0	0	0	1	0	0	0	mellorar
amen	0	0	0	0	1	0	1	0	0	1	amén
amenable	0	0	0	0	0	0	1	0	0	0	susceptibles
amend	0	0	0	0	0	0	1	0	0	0	modificar
amendment	0	0	0	0	0	0	0	0	0	0	emenda
amends	0	0	0	0	0	0	1	0	0	0	enmenda
amenity	0	0	0	0	0	0	1	0	0	0	amenidade
amethyst	0	0	0	0	0	0	0	0	0	0	amatista
amiable	0	0	0	0	0	0	1	0	0	0	amable
amicable	0	0	0	0	1	0	1	0	0	0	amigable
amid	0	0	0	0	0	0	0	0	0	0	no medio
amidst	0	0	0	0	0	0	0	0	0	0	no medio
ammonia	0	0	1	0	0	0	0	0	0	0	amoníaco
ammunition	0	0	0	0	0	0	0	0	0	0	munición
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	amnistía
amorphous	0	0	0	0	0	0	0	0	0	0	amorfo
amortization	0	0	0	0	0	0	0	0	0	1	amortización
amount	0	0	0	0	0	0	0	0	0	0	cantidade
amour	0	1	0	0	1	0	1	0	0	1	amor
ampersand	0	0	0	0	0	0	0	0	0	0	e comercial
amphetamines	0	0	1	0	0	1	0	0	0	0	anfetaminas
amphibian	0	0	0	0	0	0	0	0	0	0	anfibio
amphibious	0	0	0	0	0	0	0	0	0	0	anfibio
amphitheater	0	0	0	0	0	0	0	0	0	0	anfiteatro
amplification	0	0	0	0	0	0	0	0	0	0	amplificación
amplify	0	0	0	0	0	0	0	0	0	0	amplificar
amplitude	0	0	0	0	0	0	0	0	0	0	amplitude
amply	0	0	0	0	0	0	0	0	0	0	sobradamente
amputation	0	0	0	0	0	0	0	0	0	0	amputación
amulet	0	0	0	0	0	0	0	0	0	0	amuleto
amuse	0	0	0	0	1	0	1	0	0	0	divertirse
amused	0	0	0	0	1	0	1	0	0	0	divertido
amusement	0	0	0	0	1	0	1	0	0	0	diversión
amusing	0	0	0	0	1	0	1	0	0	0	divertido
ana	0	0	0	0	0	0	0	0	0	0	ana
anaconda	0	0	1	1	0	1	0	0	0	0	anaconda
