English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Croatian Word
abruptly	0	0	0	0	0	0	0	0	0	0	naglo
abscess	0	0	0	0	0	1	0	1	0	0	apsces
absence	0	0	0	1	0	1	0	1	0	0	odsutnost
absent	0	0	0	0	0	1	0	1	0	0	odsutan
absentee	0	0	0	0	0	1	0	1	0	0	odsutan
absenteeism	0	0	0	0	0	1	0	0	0	0	izostajanje s posla
absinthe	0	0	0	0	0	0	0	0	0	0	absint
absolute	0	0	0	0	0	0	1	0	0	0	apsolutni
absolution	0	0	0	0	1	0	1	0	0	1	oprost
absorbed	0	0	0	0	0	0	1	0	0	0	apsorbiran
absorbent	0	0	0	0	0	0	0	0	0	0	upijajući
absorbing	0	0	0	0	0	0	0	0	0	0	apsorpcioni
absorption	0	0	0	0	0	0	0	0	0	0	apsorpcija
abstain	0	0	0	0	0	0	0	0	0	0	suzdržati se
abstention	0	0	0	0	0	0	0	0	0	0	suzdržanost
abstinence	0	0	0	0	0	0	0	0	0	0	apstinencija
abstract	0	0	0	0	0	0	0	0	0	0	sažetak
abstraction	0	0	0	0	0	0	0	0	0	0	apstrakcija
absurd	0	0	0	0	0	1	0	0	0	0	apsurdno
absurdity	0	0	0	0	0	1	0	0	0	0	apsurdnost
abundance	0	1	1	0	1	1	1	0	0	1	obilje
abundant	0	0	0	0	1	0	1	0	0	0	obilan
abuse	1	0	1	1	0	1	0	1	0	0	zlostavljanje
abutment	0	0	0	0	0	0	0	0	0	0	upornjak
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	bez dna
abyss	0	0	0	1	0	1	0	1	0	0	bezdan
academic	0	0	0	0	0	0	1	0	0	1	akademski
academy	0	0	0	0	0	0	1	0	0	0	akademija
accede	0	0	0	0	0	0	0	0	0	0	pristupiti
accelerate	0	1	0	0	0	0	0	0	0	0	ubrzati
acceleration	0	0	0	0	0	0	0	0	0	0	ubrzanje
accent	0	0	0	0	0	0	0	0	0	0	naglasak
accentuate	0	0	0	0	0	0	0	0	0	0	naglasiti
accept	0	0	0	0	0	0	0	0	0	0	prihvatiti
acceptable	0	0	0	0	0	0	1	0	0	0	prihvatljiv
acceptance	0	0	0	0	0	0	1	0	0	0	prihvaćanje
access	0	0	0	0	0	0	0	0	0	0	pristup
accessible	0	0	0	0	0	0	1	0	0	0	pristupačan
accession	0	0	0	0	0	0	0	0	0	0	pristupanje
accessory	0	0	0	0	0	0	0	0	0	0	oprema
accident	0	0	0	1	0	1	0	1	1	0	nesreća
accidental	0	0	0	1	0	1	0	0	1	0	slučajan
accidentally	0	0	0	0	0	0	0	0	1	0	slučajno
accolade	0	1	0	0	1	0	1	0	1	1	priznanje
accommodate	0	0	0	0	0	0	0	0	0	0	smjestiti
accommodation	0	0	0	0	0	0	1	0	0	0	smještaj
accompaniment	0	1	0	0	1	0	1	0	0	1	pratnja
accompany	0	0	0	0	0	0	0	0	0	0	pratiti
accompanying	0	0	0	0	0	0	0	0	0	0	prateći
accomplice	0	0	0	0	0	0	0	0	0	0	suučesnik
accomplish	0	0	0	0	1	0	1	0	0	0	ostvariti
accomplished	0	0	0	0	1	0	1	0	0	0	ostvareno
accomplishment	0	0	0	0	0	0	1	0	0	0	postignuće
accord	0	0	0	0	0	0	1	0	0	1	sporazum
accordance	0	0	0	0	0	0	0	0	0	0	suglasnost
accordion	0	0	0	0	0	0	0	0	0	0	harmonika
account	0	0	0	0	0	0	0	0	0	1	račun
accountability	0	0	0	0	0	0	1	0	0	1	odgovornost
accountable	0	0	0	0	0	0	1	0	0	1	odgovoran
accountant	0	0	0	0	0	0	0	0	0	1	računovođa
accounting	0	0	0	0	0	0	0	0	0	0	računovodstvo
accounts	0	0	0	0	0	0	0	0	0	1	računi
accredited	0	0	0	0	0	0	1	0	0	1	akreditovan
accretion	0	0	0	0	0	0	0	0	0	0	prirastanje
accrue	0	0	0	0	0	0	0	0	0	0	akumulirati
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	akumulirati
accumulation	0	0	0	0	0	0	0	0	0	0	akumulacija
accuracy	0	0	0	0	0	0	0	0	0	0	točnost
accurate	0	0	0	0	0	0	1	0	0	1	točan
accursed	1	0	0	1	0	1	0	1	0	0	proklet
accusation	1	0	1	0	0	1	0	0	0	0	optužba
accusative	0	0	0	0	0	1	0	0	0	0	akuzativ
accused	1	0	0	1	0	1	0	0	0	0	optuženik
accuser	1	0	0	1	0	1	0	0	0	0	optužitelj
accusing	1	0	0	1	0	1	0	0	0	0	optužujući
accustomed	0	0	0	0	0	0	0	0	0	0	navikli
ace	0	0	0	0	0	0	1	0	0	0	as
acetic	0	0	0	0	0	0	0	0	0	0	octena
ache	0	0	0	0	0	1	0	1	0	0	boljeti
achieve	0	0	0	0	1	0	1	0	0	1	postići
achievement	0	1	0	0	1	0	1	0	0	1	postignuće
aching	0	0	0	0	0	1	0	1	0	0	bolan
acid	0	0	0	0	0	1	0	0	0	0	kiselina
acidity	0	0	0	0	0	0	0	0	0	0	kiselost
acknowledge	0	0	0	0	0	0	0	0	0	0	priznati
acknowledged	0	0	0	0	0	0	0	0	0	0	priznati
acknowledgment	0	0	0	0	0	0	1	0	0	0	priznanje
acme	0	0	0	0	0	0	0	0	0	0	vrhunac
acoustic	0	0	0	0	0	0	0	0	0	0	akustični
acoustics	0	0	0	0	0	0	0	0	0	0	akustika
acquaint	0	0	0	0	0	0	0	0	0	0	upoznati
acquaintance	0	0	0	0	0	0	0	0	0	0	poznanik
acquainted	0	0	0	0	0	0	0	0	0	0	upoznati
acquiescence	0	0	0	0	0	0	0	0	0	0	pristajanje
acquire	0	0	0	0	0	0	1	0	0	0	steći
acquiring	0	1	0	0	0	0	1	0	0	0	stjecanje
acquisition	0	0	0	0	0	0	0	0	0	0	stjecanje
acquisitions	0	0	0	0	0	0	0	0	0	0	akvizicije
acreage	0	0	0	0	0	0	0	0	0	0	površina u ralima
acres	0	0	0	0	0	0	0	0	0	0	hektara
acrobat	0	0	0	1	1	0	1	0	0	1	akrobatica
act	0	0	0	0	0	0	0	0	0	0	djelovati
acting	0	0	0	0	0	0	0	0	0	0	glumeći
action	0	0	0	0	0	0	1	0	0	0	akcijski
actionable	1	0	1	0	0	1	0	0	0	0	djelotvoran
active	0	0	0	0	0	0	0	0	0	0	aktivan
activity	0	0	0	0	0	0	0	0	0	0	aktivnost
actor	0	0	0	0	0	0	0	0	0	0	glumac
actual	0	0	0	0	0	0	1	0	0	0	stvarni
actuality	0	0	0	0	0	0	0	0	0	0	stvarnost
actuary	0	0	0	0	0	0	0	0	0	0	aktuar
acuity	0	0	0	0	0	0	1	0	0	0	oštrina
acumen	0	0	0	0	0	0	1	0	0	0	sposobnost
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktura
acutely	0	0	0	0	0	0	0	0	0	0	akutno
adage	0	0	0	0	0	0	0	0	0	0	poslovica
adamant	0	0	0	0	0	0	0	0	0	0	nepopustljiv
adapt	0	0	0	0	0	0	1	0	0	0	prilagoditi
adaptable	0	0	0	0	0	0	1	0	0	0	prilagodljiv
add	0	0	0	0	0	0	0	0	0	0	dodati
added	0	0	0	0	0	0	0	0	0	0	dodao
addendum	0	0	0	0	0	0	0	0	0	0	dodatak
adder	1	0	1	1	0	1	0	1	0	0	guja
addiction	0	0	0	0	0	1	0	0	0	0	ovisnost
addition	0	0	0	0	0	0	0	0	0	0	dodatak
additional	0	0	0	0	0	0	0	0	0	0	dodatni
additive	0	0	0	0	0	0	0	0	0	0	aditiv
address	0	0	0	0	0	0	0	0	0	0	adresa
addressee	0	0	0	0	0	0	0	0	0	0	adresat
addresses	0	1	0	0	0	0	1	0	0	0	adrese
adept	0	0	0	0	0	0	1	0	0	0	vješt
adequacy	0	0	0	0	0	0	1	0	0	0	adekvatnost
adequate	0	0	0	0	0	0	0	0	0	0	adekvatan
adhere	0	0	0	0	0	0	0	0	0	0	pridržavati se
adherence	0	0	0	0	0	0	0	0	0	0	pridržavanje
adherent	0	0	0	0	0	0	0	0	0	0	privrženik
adhering	0	0	0	0	0	0	0	0	0	1	pridržavajući se
adhesion	0	0	0	0	0	0	0	0	0	0	prianjanje
adhesive	0	0	0	0	0	0	0	0	0	0	ljepilo
adieu	0	0	0	0	0	0	0	0	0	0	zbogom
adipose	0	0	0	0	0	1	0	0	0	0	adipozan
adjacency	0	0	0	0	0	0	0	0	0	0	susjedstvo
adjacent	0	0	0	0	0	0	0	0	0	0	susjedni
adjective	0	0	0	0	0	0	0	0	0	0	pridjev
adjoining	0	0	0	0	0	0	0	0	0	0	susjedni
adjourn	0	0	0	0	0	0	0	0	0	0	odgoditi
adjournment	0	0	0	0	0	0	0	0	0	0	odlaganje
adjudicate	0	0	0	1	0	1	0	0	0	0	presuditi
adjudication	0	0	0	0	0	0	0	0	0	0	dosuđivanje
adjunct	0	0	0	0	0	0	1	0	0	0	dodatak
adjust	0	0	0	0	0	0	0	0	0	0	prilagoditi se
adjustment	0	0	0	0	0	0	0	0	0	0	podešavanje
adjuvant	0	0	0	0	0	0	0	0	0	0	pomoćno sredstvo
administer	0	0	0	0	0	0	0	0	0	0	upravljati
administration	0	0	0	0	0	0	0	0	0	0	uprave
administrative	0	0	0	0	0	0	0	0	0	1	upravni
admirable	0	0	0	0	1	0	1	0	0	1	izvrstan
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	admiralitet
admiration	0	0	0	0	1	0	1	0	0	1	divljenje
admire	0	0	0	0	0	0	1	0	0	1	diviti se
admirer	0	0	0	0	0	0	1	0	0	0	obožavatelj
admissibility	0	0	0	0	0	0	0	0	0	0	dopuštenost
admissible	0	0	0	0	0	0	1	0	0	1	dopušteno
admission	0	0	0	0	0	0	0	0	0	0	prijem
admit	0	0	0	0	0	0	0	0	0	0	priznati
admittance	0	0	0	0	0	0	0	0	0	0	prijem
admitted	0	0	0	0	0	0	0	0	0	0	priznao
admitting	0	0	0	0	0	0	0	0	0	0	priznajući
admixture	0	0	0	0	0	0	0	0	0	0	primjesa
admonition	0	0	0	1	0	1	0	0	0	0	ukor
ado	0	0	0	0	0	0	0	0	0	0	teškoća
adobe	0	0	0	0	0	0	0	0	0	0	čerpić
adolescence	0	0	0	0	0	0	0	0	0	0	mladost
adolescent	0	0	0	0	0	0	0	0	0	0	adolescent
adopt	0	0	0	0	0	0	0	0	0	0	posvojiti
adoption	0	0	0	0	0	0	0	0	0	0	posvajanje
adorable	0	0	0	0	1	0	1	0	0	0	divan
adoration	0	0	0	0	1	0	1	0	0	1	klanjanje
adore	0	1	0	0	1	0	1	0	0	1	obožavati
adorn	0	0	0	0	0	0	0	0	0	0	krasiti
adornment	0	0	0	0	0	0	0	0	0	0	ukras
adrift	0	1	0	1	0	1	0	1	0	0	zalutati
adult	0	0	0	0	0	0	0	0	0	0	odrasla osoba
adulterated	0	0	0	0	0	1	0	0	0	0	patvoreni
adultery	0	0	1	0	0	1	0	1	0	0	preljuba
advance	0	1	0	1	1	0	1	0	1	0	unaprijed
advanced	0	0	0	0	0	0	1	0	0	0	Napredna
advancement	0	0	0	0	0	0	1	0	0	0	napredak
advancing	0	0	0	0	0	0	0	0	0	0	napredovanje
advantage	0	0	0	0	0	0	1	0	0	0	prednost
advantageous	0	0	0	0	0	0	1	0	0	0	povoljan
advent	0	1	0	0	1	0	1	0	0	1	dolazak
adventure	0	1	0	0	0	0	1	0	0	0	avantura
adventurer	0	0	0	0	0	0	0	0	0	0	pustolov
adventurous	0	0	0	0	0	0	1	0	0	0	pustolovan
adversary	1	0	0	0	0	1	0	0	0	0	protivnik
adverse	1	0	1	1	0	1	0	1	0	0	nepovoljan
adversity	1	0	0	1	0	1	0	1	0	0	nedaće
advertise	0	0	0	0	0	0	0	0	0	0	oglašavati
advertisement	0	0	0	0	0	0	0	0	0	0	oglas
advice	0	0	0	0	0	0	0	0	0	1	savjet
advisable	0	0	0	0	0	0	1	0	0	1	preporučljivo
advise	0	0	0	0	0	0	1	0	0	1	savjetovati
advised	0	0	0	0	0	0	0	0	0	1	savjetovao
advisement	0	0	0	0	0	0	0	0	0	0	savjetovanje
adviser	0	0	0	0	0	0	1	0	0	1	savjetnik
advocacy	1	1	0	0	1	0	1	0	0	1	zagovaranje
advocate	0	0	0	0	0	0	0	0	0	1	zagovarati
aegis	0	0	0	0	0	0	0	0	0	0	okrilje
aeration	0	0	0	0	0	0	0	0	0	0	prozračivanje
aerial	0	0	0	0	0	0	0	0	0	0	zračni
aerodrome	0	0	0	0	0	0	0	0	0	0	aerodrom
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamika
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautika
aeroplane	0	0	0	0	0	0	0	0	0	0	zrakoplov
aesthetic	0	0	0	0	0	0	1	0	0	0	estetski
aesthetics	0	0	0	0	1	0	1	0	0	0	estetika
aetiology	0	0	0	0	0	0	0	0	0	0	etiologija
afar	0	0	0	0	0	0	0	0	0	0	izdaleka
affable	0	0	0	0	0	0	1	0	0	0	ljubazan
affair	0	0	0	0	0	0	0	0	0	0	afera
affecting	0	0	0	0	0	0	0	0	0	0	utječući
affection	0	0	0	0	1	0	1	0	0	1	ljubav
affections	0	0	0	0	0	0	0	0	0	0	naklonosti
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	izjava pod prisegom
affiliated	0	0	0	0	0	0	1	0	0	0	pridruženi
affiliation	0	0	0	0	0	0	0	0	0	0	pripadnost
affinity	0	0	0	0	0	0	0	0	0	0	afinitet
affirm	0	0	0	0	0	0	1	0	0	1	potvrditi
affirmation	0	0	0	0	0	0	1	0	0	0	afirmacija
affirmative	0	0	0	0	0	0	1	0	0	0	potvrdan
affirmatively	0	0	0	0	0	0	1	0	0	1	afirmativno
affix	0	0	0	0	0	0	0	0	0	0	pričvrstiti
afflict	0	0	0	1	0	1	0	1	0	0	povrijediti
afflicted	0	0	0	0	0	1	0	0	0	0	ojađen
affliction	0	0	1	1	0	1	0	1	0	0	nevolja
affluence	0	0	0	0	1	0	1	0	0	0	obilje
affluent	0	0	0	0	0	0	1	0	0	0	pritoka
afford	0	0	0	0	0	0	1	0	0	0	priuštiti
affront	1	0	1	1	0	1	0	1	1	0	uvreda
afield	0	0	0	0	0	0	0	0	0	0	afield
afore	0	0	0	0	0	0	0	0	0	0	prije
aforementioned	0	0	0	0	0	0	0	0	0	0	prethodno spomenuto
aforesaid	0	0	0	0	0	0	0	0	0	0	prethodno rečeno
afraid	0	0	0	1	0	1	0	0	0	0	bojati se
afresh	0	0	0	0	0	0	0	0	0	0	iznova
aft	0	0	0	0	0	0	0	0	0	0	krmeni
aftermath	1	0	1	1	0	1	0	1	0	0	posljedica
afternoon	0	0	0	0	0	0	0	0	0	0	poslijepodne
aftertaste	0	0	0	0	0	1	0	0	0	0	naknadni okus
afterthought	0	0	0	0	0	0	0	0	0	0	naknadna misao
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	ahat
age	0	0	0	0	0	0	0	0	0	0	dob
aged	0	0	0	0	0	0	0	0	0	0	ostario
agency	0	0	0	0	0	0	0	0	0	0	agencija
agent	0	0	0	0	0	0	0	0	0	0	agent
agglomeration	0	0	0	0	0	0	0	0	0	0	aglomeracija
aggravated	1	0	0	0	0	1	0	0	0	0	otežano
aggravating	1	0	0	0	0	1	0	1	0	0	otežavajući
aggravation	1	0	1	0	0	1	0	0	0	0	pogoršanje
aggregate	0	0	0	0	0	0	0	0	0	0	agregat
aggregation	0	0	0	0	0	0	0	0	0	0	agregacija
aggression	1	0	0	1	0	1	0	0	0	0	agresija
aggressive	1	0	0	1	0	1	0	0	0	0	agresivan
aggressor	1	0	0	1	0	1	0	0	0	0	agresor
aghast	0	0	1	1	0	1	0	0	1	0	zgrožen
agile	0	0	0	0	0	0	1	0	0	0	okretan
agility	0	0	0	0	0	0	1	0	0	0	agilnost
agitated	1	0	0	0	0	1	0	0	0	0	uzrujan
agitation	1	0	0	0	0	1	0	0	0	0	uznemirenost
agnostic	0	0	0	0	0	0	0	0	0	0	agnostik
ago	0	0	0	0	0	0	0	0	0	0	prije
agonizing	0	0	0	1	0	1	0	0	0	0	mučan
agony	1	0	0	1	0	1	0	1	0	0	agonija
agree	0	0	0	0	0	0	1	0	0	0	složiti se
agreeable	0	0	0	0	0	0	1	0	0	1	ugodan
agreed	0	0	0	0	0	0	1	0	0	1	dogovoren
agreeing	0	0	0	0	0	0	1	0	0	1	slažući se
agreement	0	0	0	0	0	0	1	0	0	1	sporazum
agricultural	0	0	0	0	0	0	0	0	0	0	poljoprivredni
agriculture	0	0	0	0	0	0	1	0	0	0	poljoprivreda
aground	0	0	0	0	0	1	0	0	0	0	nasukan
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	naprijed
aid	0	0	0	0	0	0	1	0	0	0	pomoć
aiding	0	0	0	0	0	0	1	0	0	0	pomaganje
ail	0	0	0	0	0	1	0	1	0	0	boliti
ailing	0	0	0	1	0	1	0	1	0	0	bolan
ailment	0	0	0	0	0	0	0	0	0	0	oboljenje
aim	0	0	0	0	0	0	0	0	0	0	cilj
aimless	0	0	0	0	0	1	0	0	0	0	besciljan
air	0	0	0	0	0	0	0	0	0	0	zrak
airbag	0	0	0	0	0	0	0	0	0	0	zračni jastuk
airlift	0	0	0	0	0	0	0	0	0	0	zračni most
airline	0	0	0	0	0	0	0	0	0	0	zrakoplovna tvrtka
airman	0	0	0	0	0	0	0	0	0	0	zrakoplovac
airplane	0	0	0	0	0	0	0	0	0	0	zrakoplov
airport	0	1	0	0	0	0	0	0	0	0	zračna luka
airs	0	0	1	0	0	1	0	0	0	0	emitira
airship	0	0	0	0	0	0	0	0	0	0	cepelin
aisle	0	0	0	0	0	0	0	0	0	0	prolaz
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	odškrinuto
akin	0	0	0	0	0	0	0	0	0	1	sličan
alabaster	0	0	0	0	0	0	1	0	0	0	alabaster
alarm	0	0	0	1	0	1	0	0	1	0	alarm
alarming	0	0	0	1	0	1	0	0	1	0	alarmantan
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alkemija
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholizam
alcove	0	0	0	0	0	0	0	0	0	0	niša
alert	0	0	0	0	0	0	0	0	0	0	uzbuna
alertness	0	1	0	1	0	0	1	0	1	0	budnost
alerts	0	1	0	1	0	0	0	0	1	0	upozorenja
alfalfa	0	0	0	0	0	0	0	0	0	0	lucerna
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebarski
algorithm	0	0	0	0	0	0	0	0	0	0	algoritam
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	stranac
alienate	1	0	1	0	0	1	0	0	0	0	otuđiti
alienated	0	0	0	0	0	1	0	1	0	0	otuđen
alienation	1	0	1	1	0	1	0	1	0	0	otuđenje
alight	0	0	0	0	0	0	0	0	0	0	upaliti
aligned	0	0	0	0	0	0	0	0	0	0	usklađeni
alignment	0	0	0	0	0	0	0	0	0	0	poravnanje
alike	0	0	0	0	0	0	0	0	0	0	slično
alimentation	0	0	0	0	0	0	1	0	0	0	ishrana
alimony	0	0	0	0	0	1	0	0	0	0	alimentacija
aliquot	0	0	0	0	0	0	0	0	0	0	alikvot
alive	0	1	0	0	1	0	1	0	0	1	živ
alkali	0	0	0	0	0	0	0	0	0	0	lužina
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloidi
allay	0	0	0	0	0	0	1	0	0	0	ublažiti
allegation	1	0	0	0	0	1	0	0	0	0	navod
allege	0	0	0	0	0	1	0	0	0	0	navoditi
alleged	0	0	0	0	0	0	0	0	0	0	navodni
allegiance	0	0	0	0	0	0	1	0	0	1	vjernost
allegorical	0	0	0	0	0	0	0	0	0	0	alegorijski
allegory	0	0	0	0	0	0	0	0	0	0	alegorija
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	ublažiti
alleviation	0	0	0	0	0	0	1	0	0	0	ublažavanje
alley	0	0	0	0	0	0	0	0	0	0	uličica
alliance	0	0	0	0	0	0	0	0	0	1	savez
allied	0	0	0	0	0	0	1	0	0	1	saveznički
alligator	0	0	0	0	0	0	0	0	0	0	aligator
allocate	0	0	0	0	0	0	0	0	0	0	dodijeliti
allocation	0	0	0	0	0	0	0	0	0	0	dodjela
allot	0	0	0	0	0	0	0	0	0	0	dodijeliti
allotment	0	0	0	0	0	0	0	0	0	0	dodjela
allowable	0	0	0	0	0	0	1	0	0	0	dopušteno
allowance	0	0	0	0	0	0	0	0	0	0	džeparac
allowed	0	0	0	0	0	0	0	0	0	0	dozvoljeno
alloy	0	0	0	0	0	0	0	0	0	0	legura
allure	0	1	0	0	1	0	1	0	1	0	vabiti
alluring	0	0	0	0	0	0	1	0	0	0	primamljiv
allusion	0	0	0	0	0	0	0	0	0	0	aluzija
alluvial	0	0	0	0	0	0	0	0	0	0	aluvijalni
ally	0	0	0	0	0	0	1	0	0	1	saveznik
almanac	0	0	0	0	0	0	0	0	0	0	almanah
almighty	0	0	0	0	0	0	1	0	0	0	svemogući
aloft	0	0	0	0	0	0	0	0	0	0	uvis
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	uz bok
aloof	0	0	0	0	0	1	0	0	0	0	podalje
aloud	0	0	0	0	0	0	0	0	0	0	naglas
alphabet	0	0	0	0	0	0	0	0	0	0	abeceda
alphabetical	0	0	0	0	0	0	0	0	0	0	abecedni
altar	0	0	0	0	0	0	0	0	0	0	oltar
alter	0	0	0	0	0	0	0	0	0	0	mijenjati
alteration	0	0	0	0	0	0	0	0	0	0	izmjena
altercation	1	0	0	0	0	1	0	0	0	0	svađa
altered	0	0	0	0	0	0	0	0	0	0	izmijenjena
alternate	0	0	0	0	0	0	0	0	0	0	naizmjenično
alternative	0	0	0	0	0	0	0	0	0	0	alternativa
altitude	0	0	0	0	0	0	0	0	0	0	visina
alto	0	0	0	0	0	0	0	0	0	0	alt
altogether	0	0	0	0	0	0	0	0	0	0	ukupno
alumnus	0	0	0	0	0	0	0	0	0	0	bivši student
alveolar	0	0	0	0	0	0	0	0	0	0	alveolarni
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	amalgamacija
amass	0	0	0	0	0	0	0	0	0	0	gomilati
amateur	0	0	0	0	0	0	0	0	0	0	amater
amaze	0	0	0	0	0	0	0	0	1	0	zadiviti
amazement	0	0	0	0	0	0	0	0	0	0	čuđenje
amazingly	0	0	0	0	1	0	1	0	1	0	nevjerojatno
ambassador	0	0	0	0	0	0	1	0	0	1	ambasador
amber	0	0	0	0	0	0	0	0	0	0	jantar
ambient	0	0	0	0	0	0	0	0	0	0	ambijentalni
ambiguity	0	0	0	0	0	0	0	0	0	0	dvosmislenost
ambiguous	0	0	0	0	0	1	0	0	0	0	dvosmislen
ambit	0	0	0	0	0	0	0	0	0	0	granica
ambition	0	1	0	0	1	0	1	0	0	1	ambicija
ambitious	0	0	0	0	0	0	0	0	0	0	ambiciozan
ambulance	0	0	0	1	0	0	0	0	0	1	kola hitne pomoći
ambush	1	0	0	1	0	1	0	0	1	0	zasjeda
ameliorate	0	0	0	0	0	0	1	0	0	0	poboljšati
amen	0	0	0	0	1	0	1	0	0	1	Amen
amenable	0	0	0	0	0	0	1	0	0	0	podložan
amend	0	0	0	0	0	0	1	0	0	0	izmijeniti
amendment	0	0	0	0	0	0	0	0	0	0	amandman
amends	0	0	0	0	0	0	1	0	0	0	nadoknađuje
amenity	0	0	0	0	0	0	1	0	0	0	ugodnost
amethyst	0	0	0	0	0	0	0	0	0	0	ametist
amiable	0	0	0	0	0	0	1	0	0	0	ljubazan
amicable	0	0	0	0	1	0	1	0	0	0	prijateljski
amid	0	0	0	0	0	0	0	0	0	0	usred
amidst	0	0	0	0	0	0	0	0	0	0	usred
ammonia	0	0	1	0	0	0	0	0	0	0	amonijak
ammunition	0	0	0	0	0	0	0	0	0	0	streljiva
amnesia	0	0	0	0	0	1	0	0	0	0	amnezija
amnesty	0	0	0	0	1	0	1	0	0	0	amnestijom
amorphous	0	0	0	0	0	0	0	0	0	0	amorfan
amortization	0	0	0	0	0	0	0	0	0	1	amortizacija
amount	0	0	0	0	0	0	0	0	0	0	iznos
amour	0	1	0	0	1	0	1	0	0	1	ljubav
ampersand	0	0	0	0	0	0	0	0	0	0	ampersand
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetamini
amphibian	0	0	0	0	0	0	0	0	0	0	vodozemac
amphibious	0	0	0	0	0	0	0	0	0	0	amfibijski
amphitheater	0	0	0	0	0	0	0	0	0	0	amfiteatar
amplification	0	0	0	0	0	0	0	0	0	0	pojačanje
