English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Danish Word
acknowledged	0	0	0	0	0	0	0	0	0	0	anerkendt
acknowledgment	0	0	0	0	0	0	1	0	0	0	anerkendelse
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	akustisk
acoustics	0	0	0	0	0	0	0	0	0	0	akustik
acquaint	0	0	0	0	0	0	0	0	0	0	bekendtskab
acquaintance	0	0	0	0	0	0	0	0	0	0	bekendtskab
acquainted	0	0	0	0	0	0	0	0	0	0	bekendt
acquiescence	0	0	0	0	0	0	0	0	0	0	samtykke
acquire	0	0	0	0	0	0	1	0	0	0	erhverve
acquiring	0	1	0	0	0	0	1	0	0	0	erhverver
acquisition	0	0	0	0	0	0	0	0	0	0	erhvervelse
acquisitions	0	0	0	0	0	0	0	0	0	0	opkøb
acreage	0	0	0	0	0	0	0	0	0	0	areal
acres	0	0	0	0	0	0	0	0	0	0	acres
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	handling
acting	0	0	0	0	0	0	0	0	0	0	skuespil
action	0	0	0	0	0	0	1	0	0	0	handling
actionable	1	0	1	0	0	1	0	0	0	0	handlingsegnet
active	0	0	0	0	0	0	0	0	0	0	aktiv
activity	0	0	0	0	0	0	0	0	0	0	aktivitet
actor	0	0	0	0	0	0	0	0	0	0	skuespiller
actual	0	0	0	0	0	0	1	0	0	0	faktiske
actuality	0	0	0	0	0	0	0	0	0	0	virkelighed
actuary	0	0	0	0	0	0	0	0	0	0	aktuar
acuity	0	0	0	0	0	0	1	0	0	0	skarphed
acumen	0	0	0	0	0	0	1	0	0	0	skarpsindighed
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktur
acutely	0	0	0	0	0	0	0	0	0	0	akut
adage	0	0	0	0	0	0	0	0	0	0	ordsprog
adamant	0	0	0	0	0	0	0	0	0	0	ubøjelig
adapt	0	0	0	0	0	0	1	0	0	0	tilpasse
adaptable	0	0	0	0	0	0	1	0	0	0	tilpasningsdygtig
add	0	0	0	0	0	0	0	0	0	0	tilføje
added	0	0	0	0	0	0	0	0	0	0	tilføjet
addendum	0	0	0	0	0	0	0	0	0	0	tilføjelse
adder	1	0	1	1	0	1	0	1	0	0	hugorm
addiction	0	0	0	0	0	1	0	0	0	0	afhængighed
addition	0	0	0	0	0	0	0	0	0	0	tilføjelse
additional	0	0	0	0	0	0	0	0	0	0	ekstra
additive	0	0	0	0	0	0	0	0	0	0	tilsætningsstof
address	0	0	0	0	0	0	0	0	0	0	adresse
addressee	0	0	0	0	0	0	0	0	0	0	adressat
addresses	0	1	0	0	0	0	1	0	0	0	adresser
adept	0	0	0	0	0	0	1	0	0	0	dygtig
adequacy	0	0	0	0	0	0	1	0	0	0	tilstrækkelighed
adequate	0	0	0	0	0	0	0	0	0	0	tilstrækkelig
adhere	0	0	0	0	0	0	0	0	0	0	overholde
adherence	0	0	0	0	0	0	0	0	0	0	overholdelse
adherent	0	0	0	0	0	0	0	0	0	0	tilhænger
adhering	0	0	0	0	0	0	0	0	0	1	vedhængende
adhesion	0	0	0	0	0	0	0	0	0	0	vedhæftning
adhesive	0	0	0	0	0	0	0	0	0	0	klæbemiddel
adieu	0	0	0	0	0	0	0	0	0	0	adieu
adipose	0	0	0	0	0	1	0	0	0	0	fedt
adjacency	0	0	0	0	0	0	0	0	0	0	tilknytning
adjacent	0	0	0	0	0	0	0	0	0	0	tilstødende
adjective	0	0	0	0	0	0	0	0	0	0	adjektiv
adjoining	0	0	0	0	0	0	0	0	0	0	tilstødende
adjourn	0	0	0	0	0	0	0	0	0	0	udsætte
adjournment	0	0	0	0	0	0	0	0	0	0	udsættelse
adjudicate	0	0	0	1	0	1	0	0	0	0	dømme
adjudication	0	0	0	0	0	0	0	0	0	0	dom
adjunct	0	0	0	0	0	0	1	0	0	0	tillæg
adjust	0	0	0	0	0	0	0	0	0	0	justere
adjustment	0	0	0	0	0	0	0	0	0	0	justering
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuvans
administer	0	0	0	0	0	0	0	0	0	0	forvalte
administration	0	0	0	0	0	0	0	0	0	0	administration
administrative	0	0	0	0	0	0	0	0	0	1	administrative
admirable	0	0	0	0	1	0	1	0	0	1	beundringsværdig
admiral	0	0	0	0	0	0	1	0	0	1	admiral
admiralty	0	0	0	0	0	0	0	0	0	0	admiralitet
admiration	0	0	0	0	1	0	1	0	0	1	beundring
admire	0	0	0	0	0	0	1	0	0	1	beundre
admirer	0	0	0	0	0	0	1	0	0	0	beundrer
admissibility	0	0	0	0	0	0	0	0	0	0	antagelighed
admissible	0	0	0	0	0	0	1	0	0	1	tilladt
admission	0	0	0	0	0	0	0	0	0	0	adgang
admit	0	0	0	0	0	0	0	0	0	0	indrømme
admittance	0	0	0	0	0	0	0	0	0	0	adgang
admitted	0	0	0	0	0	0	0	0	0	0	indrømmet
admitting	0	0	0	0	0	0	0	0	0	0	indrømmer
admixture	0	0	0	0	0	0	0	0	0	0	blanding
admonition	0	0	0	1	0	1	0	0	0	0	formaning
ado	0	0	0	0	0	0	0	0	0	0	ado
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	ungdom
adolescent	0	0	0	0	0	0	0	0	0	0	teenager
adopt	0	0	0	0	0	0	0	0	0	0	adoptere
adoption	0	0	0	0	0	0	0	0	0	0	adoption
adorable	0	0	0	0	1	0	1	0	0	0	yndig
adoration	0	0	0	0	1	0	1	0	0	1	tilbedelse
adore	0	1	0	0	1	0	1	0	0	1	tilbede
adorn	0	0	0	0	0	0	0	0	0	0	smykke
adornment	0	0	0	0	0	0	0	0	0	0	udsmykning
adrift	0	1	0	1	0	1	0	1	0	0	på drift
adult	0	0	0	0	0	0	0	0	0	0	voksen
adulterated	0	0	0	0	0	1	0	0	0	0	forfalsket
adultery	0	0	1	0	0	1	0	1	0	0	ægteskabsbrud
advance	0	1	0	1	1	0	1	0	1	0	rykke
advanced	0	0	0	0	0	0	1	0	0	0	fremskreden
advancement	0	0	0	0	0	0	1	0	0	0	fremgang
advancing	0	0	0	0	0	0	0	0	0	0	fremme
advantage	0	0	0	0	0	0	1	0	0	0	fordel
advantageous	0	0	0	0	0	0	1	0	0	0	fordelagtige
advent	0	1	0	0	1	0	1	0	0	1	advent
adventure	0	1	0	0	0	0	1	0	0	0	eventyr
adventurer	0	0	0	0	0	0	0	0	0	0	eventyrer
adventurous	0	0	0	0	0	0	1	0	0	0	eventyrlystne
adversary	1	0	0	0	0	1	0	0	0	0	modstander
adverse	1	0	1	1	0	1	0	1	0	0	ugunstig
adversity	1	0	0	1	0	1	0	1	0	0	modgang
advertise	0	0	0	0	0	0	0	0	0	0	annoncere
advertisement	0	0	0	0	0	0	0	0	0	0	reklame
advice	0	0	0	0	0	0	0	0	0	1	råd
advisable	0	0	0	0	0	0	1	0	0	1	tilrådeligt
advise	0	0	0	0	0	0	1	0	0	1	rådgive
advised	0	0	0	0	0	0	0	0	0	1	rådgivet
advisement	0	0	0	0	0	0	0	0	0	0	rådgivning
adviser	0	0	0	0	0	0	1	0	0	1	rådgiver
advocacy	1	1	0	0	1	0	1	0	0	1	fortalervirksomhed
advocate	0	0	0	0	0	0	0	0	0	1	fortaler
aegis	0	0	0	0	0	0	0	0	0	0	aegis
aeration	0	0	0	0	0	0	0	0	0	0	beluftning
aerial	0	0	0	0	0	0	0	0	0	0	antenne
aerodrome	0	0	0	0	0	0	0	0	0	0	flyveplads
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamik
aeronautics	0	0	0	0	0	0	0	0	0	0	luftfart
aeroplane	0	0	0	0	0	0	0	0	0	0	fly
aesthetic	0	0	0	0	0	0	1	0	0	0	æstetiske
aesthetics	0	0	0	0	1	0	1	0	0	0	æstetik
aetiology	0	0	0	0	0	0	0	0	0	0	ætiologi
afar	0	0	0	0	0	0	0	0	0	0	langt væk
affable	0	0	0	0	0	0	1	0	0	0	elskværdig
affair	0	0	0	0	0	0	0	0	0	0	affære
affecting	0	0	0	0	0	0	0	0	0	0	påvirker
affection	0	0	0	0	1	0	1	0	0	1	kærlighed
affections	0	0	0	0	0	0	0	0	0	0	hengivenhed
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	erklæring
affiliated	0	0	0	0	0	0	1	0	0	0	tilknyttet
affiliation	0	0	0	0	0	0	0	0	0	0	tilknytning
affinity	0	0	0	0	0	0	0	0	0	0	tilhørsforhold
affirm	0	0	0	0	0	0	1	0	0	1	bekræfte
affirmation	0	0	0	0	0	0	1	0	0	0	bekræftelse
affirmative	0	0	0	0	0	0	1	0	0	0	bekræftende
affirmatively	0	0	0	0	0	0	1	0	0	1	bekræftende
affix	0	0	0	0	0	0	0	0	0	0	anbringe
afflict	0	0	0	1	0	1	0	1	0	0	plage
afflicted	0	0	0	0	0	1	0	0	0	0	ramt
affliction	0	0	1	1	0	1	0	1	0	0	lidelse
affluence	0	0	0	0	1	0	1	0	0	0	overflod
affluent	0	0	0	0	0	0	1	0	0	0	velhavende
afford	0	0	0	0	0	0	1	0	0	0	have råd
affront	1	0	1	1	0	1	0	1	1	0	fornærmelse
afield	0	0	0	0	0	0	0	0	0	0	væk
afore	0	0	0	0	0	0	0	0	0	0	før
aforementioned	0	0	0	0	0	0	0	0	0	0	førnævnte
aforesaid	0	0	0	0	0	0	0	0	0	0	førnævnte
afraid	0	0	0	1	0	1	0	0	0	0	bange
afresh	0	0	0	0	0	0	0	0	0	0	på ny
aft	0	0	0	0	0	0	0	0	0	0	agter
aftermath	1	0	1	1	0	1	0	1	0	0	eftervirkninger
afternoon	0	0	0	0	0	0	0	0	0	0	eftermiddag
aftertaste	0	0	0	0	0	1	0	0	0	0	eftersmag
afterthought	0	0	0	0	0	0	0	0	0	0	eftertanke
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agat
age	0	0	0	0	0	0	0	0	0	0	alder
aged	0	0	0	0	0	0	0	0	0	0	alderen
agency	0	0	0	0	0	0	0	0	0	0	bureau
agent	0	0	0	0	0	0	0	0	0	0	agent
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomeration
aggravated	1	0	0	0	0	1	0	0	0	0	forværret
aggravating	1	0	0	0	0	1	0	1	0	0	forværret
aggravation	1	0	1	0	0	1	0	0	0	0	forværring
aggregate	0	0	0	0	0	0	0	0	0	0	samlet
aggregation	0	0	0	0	0	0	0	0	0	0	sammenlægning
aggression	1	0	0	1	0	1	0	0	0	0	aggression
aggressive	1	0	0	1	0	1	0	0	0	0	aggressiv
aggressor	1	0	0	1	0	1	0	0	0	0	aggressor
aghast	0	0	1	1	0	1	0	0	1	0	forfærdet
agile	0	0	0	0	0	0	1	0	0	0	adræt
agility	0	0	0	0	0	0	1	0	0	0	smidighed
agitated	1	0	0	0	0	1	0	0	0	0	ophidset
agitation	1	0	0	0	0	1	0	0	0	0	agitation
agnostic	0	0	0	0	0	0	0	0	0	0	agnostiker
ago	0	0	0	0	0	0	0	0	0	0	siden
agonizing	0	0	0	1	0	1	0	0	0	0	pinefuldt
agony	1	0	0	1	0	1	0	1	0	0	smerte
agree	0	0	0	0	0	0	1	0	0	0	enig
agreeable	0	0	0	0	0	0	1	0	0	1	behagelig
agreed	0	0	0	0	0	0	1	0	0	1	aftalt
agreeing	0	0	0	0	0	0	1	0	0	1	enig
agreement	0	0	0	0	0	0	1	0	0	1	aftale
agricultural	0	0	0	0	0	0	0	0	0	0	landbrugs
agriculture	0	0	0	0	0	0	1	0	0	0	landbrug
aground	0	0	0	0	0	1	0	0	0	0	grundstødte
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	foran
aid	0	0	0	0	0	0	1	0	0	0	hjælpe
aiding	0	0	0	0	0	0	1	0	0	0	hjælpe
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	skrantende
ailment	0	0	0	0	0	0	0	0	0	0	lidelse
aim	0	0	0	0	0	0	0	0	0	0	sigte
aimless	0	0	0	0	0	1	0	0	0	0	formålsløst
air	0	0	0	0	0	0	0	0	0	0	luft
airbag	0	0	0	0	0	0	0	0	0	0	airbag
airlift	0	0	0	0	0	0	0	0	0	0	luftbro
airline	0	0	0	0	0	0	0	0	0	0	flyselskab
airman	0	0	0	0	0	0	0	0	0	0	flyver
airplane	0	0	0	0	0	0	0	0	0	0	fly
airport	0	1	0	0	0	0	0	0	0	0	lufthavn
airs	0	0	1	0	0	1	0	0	0	0	luftes
airship	0	0	0	0	0	0	0	0	0	0	luftskib
aisle	0	0	0	0	0	0	0	0	0	0	midtergang
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	på klem
akin	0	0	0	0	0	0	0	0	0	1	beslægtet
alabaster	0	0	0	0	0	0	1	0	0	0	alabast
alarm	0	0	0	1	0	1	0	0	1	0	alarm
alarming	0	0	0	1	0	1	0	0	1	0	alarmerende
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	alkymi
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholisme
alcove	0	0	0	0	0	0	0	0	0	0	alkove
alert	0	0	0	0	0	0	0	0	0	0	alert
alertness	0	1	0	1	0	0	1	0	1	0	årvågenhed
alerts	0	1	0	1	0	0	0	0	1	0	alarmer
alfalfa	0	0	0	0	0	0	0	0	0	0	lucerne
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebraisk
algorithm	0	0	0	0	0	0	0	0	0	0	algoritme
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	fremmed
alienate	1	0	1	0	0	1	0	0	0	0	fremmedgøre
alienated	0	0	0	0	0	1	0	1	0	0	fremmedgjort
alienation	1	0	1	1	0	1	0	1	0	0	fremmedgørelse
alight	0	0	0	0	0	0	0	0	0	0	tændes
aligned	0	0	0	0	0	0	0	0	0	0	justeret
alignment	0	0	0	0	0	0	0	0	0	0	justering
alike	0	0	0	0	0	0	0	0	0	0	ens
alimentation	0	0	0	0	0	0	1	0	0	0	næring
alimony	0	0	0	0	0	1	0	0	0	0	underholdsbidrag
aliquot	0	0	0	0	0	0	0	0	0	0	alikvot
alive	0	1	0	0	1	0	1	0	0	1	i live
alkali	0	0	0	0	0	0	0	0	0	0	alkali
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloider
allay	0	0	0	0	0	0	1	0	0	0	dæmpe
allegation	1	0	0	0	0	1	0	0	0	0	påstand
allege	0	0	0	0	0	1	0	0	0	0	påstå
alleged	0	0	0	0	0	0	0	0	0	0	påstået
allegiance	0	0	0	0	0	0	1	0	0	1	troskab
allegorical	0	0	0	0	0	0	0	0	0	0	allegorisk
allegory	0	0	0	0	0	0	0	0	0	0	allegori
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	lindre
alleviation	0	0	0	0	0	0	1	0	0	0	lindring
alley	0	0	0	0	0	0	0	0	0	0	gyde
alliance	0	0	0	0	0	0	0	0	0	1	alliance
allied	0	0	0	0	0	0	1	0	0	1	allieret
alligator	0	0	0	0	0	0	0	0	0	0	alligator
allocate	0	0	0	0	0	0	0	0	0	0	tildele
allocation	0	0	0	0	0	0	0	0	0	0	tildeling
allot	0	0	0	0	0	0	0	0	0	0	tildele
allotment	0	0	0	0	0	0	0	0	0	0	tildeling
allowable	0	0	0	0	0	0	1	0	0	0	tilladt
allowance	0	0	0	0	0	0	0	0	0	0	godtgørelse
allowed	0	0	0	0	0	0	0	0	0	0	tilladt
alloy	0	0	0	0	0	0	0	0	0	0	legering
allure	0	1	0	0	1	0	1	0	1	0	lokke
alluring	0	0	0	0	0	0	1	0	0	0	dragende
allusion	0	0	0	0	0	0	0	0	0	0	hentydning
alluvial	0	0	0	0	0	0	0	0	0	0	alluvial
ally	0	0	0	0	0	0	1	0	0	1	allieret
almanac	0	0	0	0	0	0	0	0	0	0	almanak
almighty	0	0	0	0	0	0	1	0	0	0	almægtig
aloft	0	0	0	0	0	0	0	0	0	0	højt
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	langs med
aloof	0	0	0	0	0	1	0	0	0	0	afsides
aloud	0	0	0	0	0	0	0	0	0	0	højt
alphabet	0	0	0	0	0	0	0	0	0	0	alfabet
alphabetical	0	0	0	0	0	0	0	0	0	0	alfabetisk
altar	0	0	0	0	0	0	0	0	0	0	alter
alter	0	0	0	0	0	0	0	0	0	0	ændre
alteration	0	0	0	0	0	0	0	0	0	0	ændring
altercation	1	0	0	0	0	1	0	0	0	0	skænderi
altered	0	0	0	0	0	0	0	0	0	0	ændret
alternate	0	0	0	0	0	0	0	0	0	0	skifte
alternative	0	0	0	0	0	0	0	0	0	0	alternativ
altitude	0	0	0	0	0	0	0	0	0	0	højde
alto	0	0	0	0	0	0	0	0	0	0	alt
altogether	0	0	0	0	0	0	0	0	0	0	i det hele taget
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolær
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	sammenlægning
amass	0	0	0	0	0	0	0	0	0	0	samle
amateur	0	0	0	0	0	0	0	0	0	0	amatør
amaze	0	0	0	0	0	0	0	0	1	0	forbløffe
amazement	0	0	0	0	0	0	0	0	0	0	forbløffelse
amazingly	0	0	0	0	1	0	1	0	1	0	utroligt
ambassador	0	0	0	0	0	0	1	0	0	1	ambassadør
amber	0	0	0	0	0	0	0	0	0	0	rav
ambient	0	0	0	0	0	0	0	0	0	0	omgivende
ambiguity	0	0	0	0	0	0	0	0	0	0	tvetydighed
ambiguous	0	0	0	0	0	1	0	0	0	0	tvetydig
ambit	0	0	0	0	0	0	0	0	0	0	omfang
ambition	0	1	0	0	1	0	1	0	0	1	ambition
ambitious	0	0	0	0	0	0	0	0	0	0	ambitiøs
ambulance	0	0	0	1	0	0	0	0	0	1	ambulance
ambush	1	0	0	1	0	1	0	0	1	0	baghold
ameliorate	0	0	0	0	0	0	1	0	0	0	forbedre
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	medgørlig
amend	0	0	0	0	0	0	1	0	0	0	ændre
amendment	0	0	0	0	0	0	0	0	0	0	ændring
amends	0	0	0	0	0	0	1	0	0	0	ændrer
amenity	0	0	0	0	0	0	1	0	0	0	bekvemmelighed
amethyst	0	0	0	0	0	0	0	0	0	0	ametyst
amiable	0	0	0	0	0	0	1	0	0	0	elskværdig
amicable	0	0	0	0	1	0	1	0	0	0	venskabelig
amid	0	0	0	0	0	0	0	0	0	0	midt
amidst	0	0	0	0	0	0	0	0	0	0	midt i
ammonia	0	0	1	0	0	0	0	0	0	0	ammoniak
ammunition	0	0	0	0	0	0	0	0	0	0	ammunition
amnesia	0	0	0	0	0	1	0	0	0	0	amnesi
amnesty	0	0	0	0	1	0	1	0	0	0	amnesti
amorphous	0	0	0	0	0	0	0	0	0	0	amorf
amortization	0	0	0	0	0	0	0	0	0	1	amortisering
amount	0	0	0	0	0	0	0	0	0	0	beløb
amour	0	1	0	0	1	0	1	0	0	1	amour
ampersand	0	0	0	0	0	0	0	0	0	0	og-tegn
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetamin
amphibian	0	0	0	0	0	0	0	0	0	0	padder
amphibious	0	0	0	0	0	0	0	0	0	0	amfibie
amphitheater	0	0	0	0	0	0	0	0	0	0	amfiteater
amplification	0	0	0	0	0	0	0	0	0	0	forstærkning
amplify	0	0	0	0	0	0	0	0	0	0	forstærke
amplitude	0	0	0	0	0	0	0	0	0	0	amplitude
amply	0	0	0	0	0	0	0	0	0	0	rigeligt
amputation	0	0	0	0	0	0	0	0	0	0	amputation
amulet	0	0	0	0	0	0	0	0	0	0	amulet
