English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Scots-Gaelic Word
accompany	0	0	0	0	0	0	0	0	0	0	an cois
accompanying	0	0	0	0	0	0	0	0	0	0	na chois
accomplice	0	0	0	0	0	0	0	0	0	0	neach-taice
accomplish	0	0	0	0	1	0	1	0	0	0	deàrn
accomplished	0	0	0	0	1	0	1	0	0	0	choileanta
accomplishment	0	0	0	0	0	0	1	0	0	0	coileanadh
accord	0	0	0	0	0	0	1	0	0	1	aonta
accordance	0	0	0	0	0	0	0	0	0	0	a rèir
accordion	0	0	0	0	0	0	0	0	0	0	bogsa-ciùil
account	0	0	0	0	0	0	0	0	0	1	cunntas
accountability	0	0	0	0	0	0	1	0	0	1	cunntachalachd
accountable	0	0	0	0	0	0	1	0	0	1	cunntachail
accountant	0	0	0	0	0	0	0	0	0	1	cunntasair
accounting	0	0	0	0	0	0	0	0	0	0	cunntasachd
accounts	0	0	0	0	0	0	0	0	0	1	cunntasan
accredited	0	0	0	0	0	0	1	0	0	1	barrantaichte
accretion	0	0	0	0	0	0	0	0	0	0	togail
accrue	0	0	0	0	0	0	0	0	0	0	tàrmachadh
accueil	0	0	0	0	0	0	1	0	0	0	accueil
accumulate	0	0	0	0	0	0	0	0	0	0	cruinneachadh
accumulation	0	0	0	0	0	0	0	0	0	0	cruinneachadh
accuracy	0	0	0	0	0	0	0	0	0	0	cruinneas
accurate	0	0	0	0	0	0	1	0	0	1	cruinn
accursed	1	0	0	1	0	1	0	1	0	0	mallaichte
accusation	1	0	1	0	0	1	0	0	0	0	casaid
accusative	0	0	0	0	0	1	0	0	0	0	casaid
accused	1	0	0	1	0	1	0	0	0	0	fo chasaid
accuser	1	0	0	1	0	1	0	0	0	0	neach-casaid
accusing	1	0	0	1	0	1	0	0	0	0	a' casaid
accustomed	0	0	0	0	0	0	0	0	0	0	cleachdte
ace	0	0	0	0	0	0	1	0	0	0	ace
acetic	0	0	0	0	0	0	0	0	0	0	acetic
ache	0	0	0	0	0	1	0	1	0	0	cràdh
achieve	0	0	0	0	1	0	1	0	0	1	coileanadh
achievement	0	1	0	0	1	0	1	0	0	1	euchd
aching	0	0	0	0	0	1	0	1	0	0	cràdh
acid	0	0	0	0	0	1	0	0	0	0	searbhag
acidity	0	0	0	0	0	0	0	0	0	0	searbhachd
acknowledge	0	0	0	0	0	0	0	0	0	0	aideachadh
acknowledged	0	0	0	0	0	0	0	0	0	0	aideachadh
acknowledgment	0	0	0	0	0	0	1	0	0	0	aideachadh
acme	0	0	0	0	0	0	0	0	0	0	acme
acoustic	0	0	0	0	0	0	0	0	0	0	fuaimneach
acoustics	0	0	0	0	0	0	0	0	0	0	fuaimneach
acquaint	0	0	0	0	0	0	0	0	0	0	eòlach
acquaintance	0	0	0	0	0	0	0	0	0	0	eòlais
acquainted	0	0	0	0	0	0	0	0	0	0	eòlach
acquiescence	0	0	0	0	0	0	0	0	0	0	aontachas
acquire	0	0	0	0	0	0	1	0	0	0	faigh
acquiring	0	1	0	0	0	0	1	0	0	0	a' faighinn
acquisition	0	0	0	0	0	0	0	0	0	0	togail
acquisitions	0	0	0	0	0	0	0	0	0	0	togail
acreage	0	0	0	0	0	0	0	0	0	0	acaire
acres	0	0	0	0	0	0	0	0	0	0	acair
acrobat	0	0	0	1	1	0	1	0	0	1	acrobat
act	0	0	0	0	0	0	0	0	0	0	achd
acting	0	0	0	0	0	0	0	0	0	0	cleasachd
action	0	0	0	0	0	0	1	0	0	0	gnìomh
actionable	1	0	1	0	0	1	0	0	0	0	gnìomhach
active	0	0	0	0	0	0	0	0	0	0	gnìomhach
activity	0	0	0	0	0	0	0	0	0	0	gnìomh
actor	0	0	0	0	0	0	0	0	0	0	actair
actual	0	0	0	0	0	0	1	0	0	0	fìor
actuality	0	0	0	0	0	0	0	0	0	0	fìrinn
actuary	0	0	0	0	0	0	0	0	0	0	achdaire
acuity	0	0	0	0	0	0	1	0	0	0	acuity
acumen	0	0	0	0	0	0	1	0	0	0	acumen
acupuncture	0	0	0	0	0	0	0	0	0	0	acupuncture
acutely	0	0	0	0	0	0	0	0	0	0	gu dian
adage	0	0	0	0	0	0	0	0	0	0	adachd
adamant	0	0	0	0	0	0	0	0	0	0	diamhanach
adapt	0	0	0	0	0	0	1	0	0	0	atharraich
adaptable	0	0	0	0	0	0	1	0	0	0	freagarrach
add	0	0	0	0	0	0	0	0	0	0	cuir
added	0	0	0	0	0	0	0	0	0	0	air a chur ris
addendum	0	0	0	0	0	0	0	0	0	0	addendum
adder	1	0	1	1	0	1	0	1	0	0	nathair-nimhe
addiction	0	0	0	0	0	1	0	0	0	0	tràilleachd
addition	0	0	0	0	0	0	0	0	0	0	cur-ris
additional	0	0	0	0	0	0	0	0	0	0	a bharrachd
additive	0	0	0	0	0	0	0	0	0	0	cur-ris
address	0	0	0	0	0	0	0	0	0	0	seòladh
addressee	0	0	0	0	0	0	0	0	0	0	neach-seòlaidh
addresses	0	1	0	0	0	0	1	0	0	0	seòlaidhean
adept	0	0	0	0	0	0	1	0	0	0	comasach
adequacy	0	0	0	0	0	0	1	0	0	0	freagarrachd
adequate	0	0	0	0	0	0	0	0	0	0	iomchaidh
adhere	0	0	0	0	0	0	0	0	0	0	cumail
adherence	0	0	0	0	0	0	0	0	0	0	gèilleadh
adherent	0	0	0	0	0	0	0	0	0	0	aidiche
adhering	0	0	0	0	0	0	0	0	0	1	a' cumail
adhesion	0	0	0	0	0	0	0	0	0	0	adhesion
adhesive	0	0	0	0	0	0	0	0	0	0	adhesive
adieu	0	0	0	0	0	0	0	0	0	0	adh
adipose	0	0	0	0	0	1	0	0	0	0	adipose
adjacency	0	0	0	0	0	0	0	0	0	0	ri taobh
adjacent	0	0	0	0	0	0	0	0	0	0	ri taobh
adjective	0	0	0	0	0	0	0	0	0	0	buadhair
adjoining	0	0	0	0	0	0	0	0	0	0	ri taobh
adjourn	0	0	0	0	0	0	0	0	0	0	cur dheth
adjournment	0	0	0	0	0	0	0	0	0	0	cur dheth
adjudicate	0	0	0	1	0	1	0	0	0	0	breithneachadh
adjudication	0	0	0	0	0	0	0	0	0	0	breithneachadh
adjunct	0	0	0	0	0	0	1	0	0	0	co-cheangail
adjust	0	0	0	0	0	0	0	0	0	0	gleusadh
adjustment	0	0	0	0	0	0	0	0	0	0	rèiteachadh
adjuvant	0	0	0	0	0	0	0	0	0	0	aidmheil
administer	0	0	0	0	0	0	0	0	0	0	riar
administration	0	0	0	0	0	0	0	0	0	0	rianachd
administrative	0	0	0	0	0	0	0	0	0	1	rianachd
admirable	0	0	0	0	1	0	1	0	0	1	ionmholta
admiral	0	0	0	0	0	0	1	0	0	1	àrd-mharaiche
admiralty	0	0	0	0	0	0	0	0	0	0	aidmheil
admiration	0	0	0	0	1	0	1	0	0	1	meas
admire	0	0	0	0	0	0	1	0	0	1	meas
admirer	0	0	0	0	0	0	1	0	0	0	fear-meas
admissibility	0	0	0	0	0	0	0	0	0	0	ion-roghnachd
admissible	0	0	0	0	0	0	1	0	0	1	ceadaichte
admission	0	0	0	0	0	0	0	0	0	0	faighinn a-steach
admit	0	0	0	0	0	0	0	0	0	0	aideachadh
admittance	0	0	0	0	0	0	0	0	0	0	gabhail a-steach
admitted	0	0	0	0	0	0	0	0	0	0	air aideachadh
admitting	0	0	0	0	0	0	0	0	0	0	ag aideachadh
admixture	0	0	0	0	0	0	0	0	0	0	measgachadh
admonition	0	0	0	1	0	1	0	0	0	0	rabhadh
ado	0	0	0	0	0	0	0	0	0	0	adh
adobe	0	0	0	0	0	0	0	0	0	0	adobe
adolescence	0	0	0	0	0	0	0	0	0	0	òigeachd
adolescent	0	0	0	0	0	0	0	0	0	0	òigear
adopt	0	0	0	0	0	0	0	0	0	0	gabhail ris
adoption	0	0	0	0	0	0	0	0	0	0	uchd-mhacachd
adorable	0	0	0	0	1	0	1	0	0	0	ion-mholaidh
adoration	0	0	0	0	1	0	1	0	0	1	adhradh
adore	0	1	0	0	1	0	1	0	0	1	adhradh
adorn	0	0	0	0	0	0	0	0	0	0	sgeadaich
adornment	0	0	0	0	0	0	0	0	0	0	sgeadachadh
adrift	0	1	0	1	0	1	0	1	0	0	sruth
adult	0	0	0	0	0	0	0	0	0	0	inbheach
adulterated	0	0	0	0	0	1	0	0	0	0	adhaltrannach
adultery	0	0	1	0	0	1	0	1	0	0	adhaltranas
advance	0	1	0	1	1	0	1	0	1	0	air adhart
advanced	0	0	0	0	0	0	1	0	0	0	adhartach
advancement	0	0	0	0	0	0	1	0	0	0	adhartachadh
advancing	0	0	0	0	0	0	0	0	0	0	air adhart
advantage	0	0	0	0	0	0	1	0	0	0	buannachd
advantageous	0	0	0	0	0	0	1	0	0	0	buannachdail
advent	0	1	0	0	1	0	1	0	0	1	teachd
adventure	0	1	0	0	0	0	1	0	0	0	dànachd
adventurer	0	0	0	0	0	0	0	0	0	0	eachdraiche
adventurous	0	0	0	0	0	0	1	0	0	0	dàna
adversary	1	0	0	0	0	1	0	0	0	0	nàmhaid
adverse	1	0	1	1	0	1	0	1	0	0	droch-bheusach
adversity	1	0	0	1	0	1	0	1	0	0	àmhghar
advertise	0	0	0	0	0	0	0	0	0	0	sanasaich
advertisement	0	0	0	0	0	0	0	0	0	0	sanas
advice	0	0	0	0	0	0	0	0	0	1	comhairle
advisable	0	0	0	0	0	0	1	0	0	1	ionmholta
advise	0	0	0	0	0	0	1	0	0	1	comhairle
advised	0	0	0	0	0	0	0	0	0	1	chomhairlich
advisement	0	0	0	0	0	0	0	0	0	0	comhairle
adviser	0	0	0	0	0	0	1	0	0	1	comhairliche
advocacy	1	1	0	0	1	0	1	0	0	1	tagradh
advocate	0	0	0	0	0	0	0	0	0	1	fear-tagraidh
aegis	0	0	0	0	0	0	0	0	0	0	fosg
aeration	0	0	0	0	0	0	0	0	0	0	adhair
aerial	0	0	0	0	0	0	0	0	0	0	adhair
aerodrome	0	0	0	0	0	0	0	0	0	0	port-adhair
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodynamics
aeronautics	0	0	0	0	0	0	0	0	0	0	aeronautics
aeroplane	0	0	0	0	0	0	0	0	0	0	itealan
aesthetic	0	0	0	0	0	0	1	0	0	0	maiseach
aesthetics	0	0	0	0	1	0	1	0	0	0	bòidhchead
aetiology	0	0	0	0	0	0	0	0	0	0	aetiology
afar	0	0	0	0	0	0	0	0	0	0	fad air falbh
affable	0	0	0	0	0	0	1	0	0	0	càirdeil
affair	0	0	0	0	0	0	0	0	0	0	dàimh
affecting	0	0	0	0	0	0	0	0	0	0	a' toirt buaidh
affection	0	0	0	0	1	0	1	0	0	1	gean
affections	0	0	0	0	0	0	0	0	0	0	gean
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	teisteas sgrìobhte
affiliated	0	0	0	0	0	0	1	0	0	0	cleamhnach
affiliation	0	0	0	0	0	0	0	0	0	0	cleamhnas
affinity	0	0	0	0	0	0	0	0	0	0	cleamhnas
affirm	0	0	0	0	0	0	1	0	0	1	daingneachadh
affirmation	0	0	0	0	0	0	1	0	0	0	daingneachadh
affirmative	0	0	0	0	0	0	1	0	0	0	dearbhach
affirmatively	0	0	0	0	0	0	1	0	0	1	gu dearbha
affix	0	0	0	0	0	0	0	0	0	0	daimh
afflict	0	0	0	1	0	1	0	1	0	0	àmhghar
afflicted	0	0	0	0	0	1	0	0	0	0	fo thrioblaid
affliction	0	0	1	1	0	1	0	1	0	0	àmhghar
affluence	0	0	0	0	1	0	1	0	0	0	saidhbhreas
affluent	0	0	0	0	0	0	1	0	0	0	beairteach
afford	0	0	0	0	0	0	1	0	0	0	cothrom
affront	1	0	1	1	0	1	0	1	1	0	aghaidh
afield	0	0	0	0	0	0	0	0	0	0	air falbh
afore	0	0	0	0	0	0	0	0	0	0	roimhe
aforementioned	0	0	0	0	0	0	0	0	0	0	air ainmeachadh roimhe
aforesaid	0	0	0	0	0	0	0	0	0	0	a thubhairt
afraid	0	0	0	1	0	1	0	0	0	0	eagal
afresh	0	0	0	0	0	0	0	0	0	0	as ùr
aft	0	0	0	0	0	0	0	0	0	0	aft
aftermath	1	0	1	1	0	1	0	1	0	0	an deidh
afternoon	0	0	0	0	0	0	0	0	0	0	feasgar
aftertaste	0	0	0	0	0	1	0	0	0	0	blasad
afterthought	0	0	0	0	0	0	0	0	0	0	iar-bheachd
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	agas
age	0	0	0	0	0	0	0	0	0	0	aois
aged	0	0	0	0	0	0	0	0	0	0	aosda
agency	0	0	0	0	0	0	0	0	0	0	buidheann
agent	0	0	0	0	0	0	0	0	0	0	àidseant
agglomeration	0	0	0	0	0	0	0	0	0	0	ceirtleachadh
aggravated	1	0	0	0	0	1	0	0	0	0	air fhàsachadh
aggravating	1	0	0	0	0	1	0	1	0	0	a' fàs nas miosa
aggravation	1	0	1	0	0	1	0	0	0	0	fàsachadh
aggregate	0	0	0	0	0	0	0	0	0	0	iomlanachd
aggregation	0	0	0	0	0	0	0	0	0	0	cruinneachadh
aggression	1	0	0	1	0	1	0	0	0	0	ionnsaigheachd
aggressive	1	0	0	1	0	1	0	0	0	0	ionnsaigheach
aggressor	1	0	0	1	0	1	0	0	0	0	fear-ionnsaigh
aghast	0	0	1	1	0	1	0	0	1	0	dòrainn
agile	0	0	0	0	0	0	1	0	0	0	lùthmhor
agility	0	0	0	0	0	0	1	0	0	0	sùbailteachd
agitated	1	0	0	0	0	1	0	0	0	0	air a bhuaireadh
agitation	1	0	0	0	0	1	0	0	0	0	buaireadh
agnostic	0	0	0	0	0	0	0	0	0	0	agnostic
ago	0	0	0	0	0	0	0	0	0	0	o chionn
agonizing	0	0	0	1	0	1	0	0	0	0	a' gortachadh
agony	1	0	0	1	0	1	0	1	0	0	cràdh
agree	0	0	0	0	0	0	1	0	0	0	aontachadh
agreeable	0	0	0	0	0	0	1	0	0	1	taitneach
agreed	0	0	0	0	0	0	1	0	0	1	aontachadh
agreeing	0	0	0	0	0	0	1	0	0	1	ag aontachadh
agreement	0	0	0	0	0	0	1	0	0	1	aonta
agricultural	0	0	0	0	0	0	0	0	0	0	àiteachais
agriculture	0	0	0	0	0	0	1	0	0	0	àiteachas
aground	0	0	0	0	0	1	0	0	0	0	air tìr
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	air thoiseach
aid	0	0	0	0	0	0	1	0	0	0	cobhair
aiding	0	0	0	0	0	0	1	0	0	0	a' cuideachadh
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	tinn
ailment	0	0	0	0	0	0	0	0	0	0	tinneas
aim	0	0	0	0	0	0	0	0	0	0	amas
aimless	0	0	0	0	0	1	0	0	0	0	gun amas
air	0	0	0	0	0	0	0	0	0	0	adhair
airbag	0	0	0	0	0	0	0	0	0	0	baga-adhair
airlift	0	0	0	0	0	0	0	0	0	0	itealain
airline	0	0	0	0	0	0	0	0	0	0	companaidh adhair
airman	0	0	0	0	0	0	0	0	0	0	fear-adhair
airplane	0	0	0	0	0	0	0	0	0	0	itealan
airport	0	1	0	0	0	0	0	0	0	0	port-adhair
airs	0	0	1	0	0	1	0	0	0	0	adhair
airship	0	0	0	0	0	0	0	0	0	0	airship
aisle	0	0	0	0	0	0	0	0	0	0	aisig
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	ajar
akin	0	0	0	0	0	0	0	0	0	1	coltach
alabaster	0	0	0	0	0	0	1	0	0	0	alabastair
alarm	0	0	0	1	0	1	0	0	1	0	rabhaidh
alarming	0	0	0	1	0	1	0	0	1	0	eagallach
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	clàr
alchemy	0	0	0	0	0	0	0	0	0	0	alchemy
alcohol	0	0	0	0	0	0	0	0	0	0	deoch-làidir
alcoholism	1	0	1	1	0	1	0	1	0	0	deoch-làidir
alcove	0	0	0	0	0	0	0	0	0	0	alcove
alert	0	0	0	0	0	0	0	0	0	0	rabhaidh
alertness	0	1	0	1	0	0	1	0	1	0	furtachd
alerts	0	1	0	1	0	0	0	0	1	0	rabhaidhean
alfalfa	0	0	0	0	0	0	0	0	0	0	alfalfa
algebra	0	0	0	0	0	0	0	0	0	0	ailseabra
algebraic	0	0	0	0	0	0	0	0	0	0	ailseabra
algorithm	0	0	0	0	0	0	0	0	0	0	algairim
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	coimheach
alienate	1	0	1	0	0	1	0	0	0	0	coimheach
alienated	0	0	0	0	0	1	0	1	0	0	coimheach
alienation	1	0	1	1	0	1	0	1	0	0	coimheachadh
alight	0	0	0	0	0	0	0	0	0	0	lasadh
aligned	0	0	0	0	0	0	0	0	0	0	co-thaobhadh
alignment	0	0	0	0	0	0	0	0	0	0	co-thaobhadh
alike	0	0	0	0	0	0	0	0	0	0	co-ionann
alimentation	0	0	0	0	0	0	1	0	0	0	ìocshlaint
alimony	0	0	0	0	0	1	0	0	0	0	alimony
aliquot	0	0	0	0	0	0	0	0	0	0	co-dhiù
alive	0	1	0	0	1	0	1	0	0	1	beò
alkali	0	0	0	0	0	0	0	0	0	0	alcaileach
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloids
allay	0	0	0	0	0	0	1	0	0	0	lasadh
allegation	1	0	0	0	0	1	0	0	0	0	casaid
allege	0	0	0	0	0	1	0	0	0	0	ag agairt
alleged	0	0	0	0	0	0	0	0	0	0	air a chasaid
allegiance	0	0	0	0	0	0	1	0	0	1	dìlseachd
allegorical	0	0	0	0	0	0	0	0	0	0	alegorical
allegory	0	0	0	0	0	0	0	0	0	0	allegory
allegro	0	0	0	0	0	0	1	0	0	0	ailig
alleviate	0	0	0	0	0	0	1	0	0	0	lughdaich
alleviation	0	0	0	0	0	0	1	0	0	0	lasachadh
alley	0	0	0	0	0	0	0	0	0	0	allaidh
alliance	0	0	0	0	0	0	0	0	0	1	caidreachas
allied	0	0	0	0	0	0	1	0	0	1	caidreach
alligator	0	0	0	0	0	0	0	0	0	0	ailigator
allocate	0	0	0	0	0	0	0	0	0	0	riarachadh
allocation	0	0	0	0	0	0	0	0	0	0	riarachadh
allot	0	0	0	0	0	0	0	0	0	0	allot
allotment	0	0	0	0	0	0	0	0	0	0	cuibhrionn
allowable	0	0	0	0	0	0	1	0	0	0	ceadaichte
allowance	0	0	0	0	0	0	0	0	0	0	cuibhreann
allowed	0	0	0	0	0	0	0	0	0	0	ceadaichte
alloy	0	0	0	0	0	0	0	0	0	0	alloy
allure	0	1	0	0	1	0	1	0	1	0	aoibhneas
alluring	0	0	0	0	0	0	1	0	0	0	tarraingeach
allusion	0	0	0	0	0	0	0	0	0	0	iomrall
alluvial	0	0	0	0	0	0	0	0	0	0	luaineach
ally	0	0	0	0	0	0	1	0	0	1	ally
almanac	0	0	0	0	0	0	0	0	0	0	almanac
almighty	0	0	0	0	0	0	1	0	0	0	uile-chumhachdach
aloft	0	0	0	0	0	0	0	0	0	0	àrd
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	ri taobh
aloof	0	0	0	0	0	1	0	0	0	0	ealamh
aloud	0	0	0	0	0	0	0	0	0	0	gu h-àrd
alphabet	0	0	0	0	0	0	0	0	0	0	aibidil
alphabetical	0	0	0	0	0	0	0	0	0	0	aibidil
altar	0	0	0	0	0	0	0	0	0	0	altair
alter	0	0	0	0	0	0	0	0	0	0	atharraich
alteration	0	0	0	0	0	0	0	0	0	0	atharrachadh
altercation	1	0	0	0	0	1	0	0	0	0	atharrais
altered	0	0	0	0	0	0	0	0	0	0	air atharrachadh
alternate	0	0	0	0	0	0	0	0	0	0	mu seach
alternative	0	0	0	0	0	0	0	0	0	0	eile
altitude	0	0	0	0	0	0	0	0	0	0	àirde
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	gu h-iomlan
alumnus	0	0	0	0	0	0	0	0	0	0	alumnus
alveolar	0	0	0	0	0	0	0	0	0	0	alveolar
amalgam	0	0	0	0	0	0	0	0	0	0	amalgam
amalgamation	0	0	0	0	0	0	0	0	0	0	aonachadh
amass	0	0	0	0	0	0	0	0	0	0	cruinnich
amateur	0	0	0	0	0	0	0	0	0	0	neo-dhreuchdail
amaze	0	0	0	0	0	0	0	0	1	0	iongnadh
amazement	0	0	0	0	0	0	0	0	0	0	iongantas
amazingly	0	0	0	0	1	0	1	0	1	0	iongantach
ambassador	0	0	0	0	0	0	1	0	0	1	tosgaire
amber	0	0	0	0	0	0	0	0	0	0	òmar
ambient	0	0	0	0	0	0	0	0	0	0	àrainneachdail
ambiguity	0	0	0	0	0	0	0	0	0	0	dà-sheaghachd
ambiguous	0	0	0	0	0	1	0	0	0	0	d'a-sheaghach
ambit	0	0	0	0	0	0	0	0	0	0	raon
ambition	0	1	0	0	1	0	1	0	0	1	àrd-amas
ambitious	0	0	0	0	0	0	0	0	0	0	àrd-amasach
ambulance	0	0	0	1	0	0	0	0	0	1	carbad-eiridinn
ambush	1	0	0	1	0	1	0	0	1	0	luideig
ameliorate	0	0	0	0	0	0	1	0	0	0	leasaich
amen	0	0	0	0	1	0	1	0	0	1	amen
amenable	0	0	0	0	0	0	1	0	0	0	freagarrach
amend	0	0	0	0	0	0	1	0	0	0	leasaich
amendment	0	0	0	0	0	0	0	0	0	0	atharrachadh
amends	0	0	0	0	0	0	1	0	0	0	ag atharrachadh
amenity	0	0	0	0	0	0	1	0	0	0	goireas
amethyst	0	0	0	0	0	0	0	0	0	0	amethyst
amiable	0	0	0	0	0	0	1	0	0	0	càirdeil
amicable	0	0	0	0	1	0	1	0	0	0	càirdeil
amid	0	0	0	0	0	0	0	0	0	0	am measg
amidst	0	0	0	0	0	0	0	0	0	0	am measg
ammonia	0	0	1	0	0	0	0	0	0	0	ammonia
ammunition	0	0	0	0	0	0	0	0	0	0	armachd
amnesia	0	0	0	0	0	1	0	0	0	0	amnesia
amnesty	0	0	0	0	1	0	1	0	0	0	amnesty
