English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Hungarian Word
act	0	0	0	0	0	0	0	0	0	0	törvény
acting	0	0	0	0	0	0	0	0	0	0	ható
action	0	0	0	0	0	0	1	0	0	0	akció
actionable	1	0	1	0	0	1	0	0	0	0	perelhető
active	0	0	0	0	0	0	0	0	0	0	aktív
activity	0	0	0	0	0	0	0	0	0	0	tevékenység
actor	0	0	0	0	0	0	0	0	0	0	színész
actual	0	0	0	0	0	0	1	0	0	0	tényleges
actuality	0	0	0	0	0	0	0	0	0	0	aktualitás
actuary	0	0	0	0	0	0	0	0	0	0	aktuárius
acuity	0	0	0	0	0	0	1	0	0	0	élesség
acumen	0	0	0	0	0	0	1	0	0	0	éleslátás
acupuncture	0	0	0	0	0	0	0	0	0	0	akupunktúra
acutely	0	0	0	0	0	0	0	0	0	0	élesen
adage	0	0	0	0	0	0	0	0	0	0	példabeszéd
adamant	0	0	0	0	0	0	0	0	0	0	hajthatatlan
adapt	0	0	0	0	0	0	1	0	0	0	alkalmazkodni
adaptable	0	0	0	0	0	0	1	0	0	0	alkalmazható
add	0	0	0	0	0	0	0	0	0	0	add hozzá
added	0	0	0	0	0	0	0	0	0	0	tette hozzá
addendum	0	0	0	0	0	0	0	0	0	0	függelék
adder	1	0	1	1	0	1	0	1	0	0	vipera
addiction	0	0	0	0	0	1	0	0	0	0	függőség
addition	0	0	0	0	0	0	0	0	0	0	kiegészítés
additional	0	0	0	0	0	0	0	0	0	0	további
additive	0	0	0	0	0	0	0	0	0	0	adalékanyag
address	0	0	0	0	0	0	0	0	0	0	cím
addressee	0	0	0	0	0	0	0	0	0	0	címzett
addresses	0	1	0	0	0	0	1	0	0	0	címek
adept	0	0	0	0	0	0	1	0	0	0	ügyes
adequacy	0	0	0	0	0	0	1	0	0	0	megfelelőségét
adequate	0	0	0	0	0	0	0	0	0	0	megfelelő
adhere	0	0	0	0	0	0	0	0	0	0	tapad
adherence	0	0	0	0	0	0	0	0	0	0	tapadás
adherent	0	0	0	0	0	0	0	0	0	0	tapadó
adhering	0	0	0	0	0	0	0	0	0	1	ragaszkodva
adhesion	0	0	0	0	0	0	0	0	0	0	tapadás
adhesive	0	0	0	0	0	0	0	0	0	0	ragasztóanyag
adieu	0	0	0	0	0	0	0	0	0	0	Isten veletek
adipose	0	0	0	0	0	1	0	0	0	0	zsíros
adjacency	0	0	0	0	0	0	0	0	0	0	szomszédosság
adjacent	0	0	0	0	0	0	0	0	0	0	szomszédos
adjective	0	0	0	0	0	0	0	0	0	0	melléknév
adjoining	0	0	0	0	0	0	0	0	0	0	szomszédos
adjourn	0	0	0	0	0	0	0	0	0	0	halasztást
adjournment	0	0	0	0	0	0	0	0	0	0	elnapolás
adjudicate	0	0	0	1	0	1	0	0	0	0	ítélkezzen
adjudication	0	0	0	0	0	0	0	0	0	0	ítélkezés
adjunct	0	0	0	0	0	0	1	0	0	0	adjunktus
adjust	0	0	0	0	0	0	0	0	0	0	beállítani
adjustment	0	0	0	0	0	0	0	0	0	0	beállítás
adjuvant	0	0	0	0	0	0	0	0	0	0	adjuváns
administer	0	0	0	0	0	0	0	0	0	0	adminisztrálni
administration	0	0	0	0	0	0	0	0	0	0	adminisztráció
administrative	0	0	0	0	0	0	0	0	0	1	közigazgatási
admirable	0	0	0	0	1	0	1	0	0	1	csodálatra méltó
admiral	0	0	0	0	0	0	1	0	0	1	admirális
admiralty	0	0	0	0	0	0	0	0	0	0	admiralitás
admiration	0	0	0	0	1	0	1	0	0	1	csodálat
admire	0	0	0	0	0	0	1	0	0	1	csodál
admirer	0	0	0	0	0	0	1	0	0	0	tisztelője
admissibility	0	0	0	0	0	0	0	0	0	0	elfogadhatóság
admissible	0	0	0	0	0	0	1	0	0	1	elfogadható
admission	0	0	0	0	0	0	0	0	0	0	belépés
admit	0	0	0	0	0	0	0	0	0	0	beismerni
admittance	0	0	0	0	0	0	0	0	0	0	bejárás
admitted	0	0	0	0	0	0	0	0	0	0	felvételt nyer
admitting	0	0	0	0	0	0	0	0	0	0	beismerve
admixture	0	0	0	0	0	0	0	0	0	0	keverék
admonition	0	0	0	1	0	1	0	0	0	0	figyelmeztetés
ado	0	0	0	0	0	0	0	0	0	0	hűhó
adobe	0	0	0	0	0	0	0	0	0	0	vályogtégla
adolescence	0	0	0	0	0	0	0	0	0	0	serdülőkor
adolescent	0	0	0	0	0	0	0	0	0	0	serdülő
adopt	0	0	0	0	0	0	0	0	0	0	örökbe fogadni
adoption	0	0	0	0	0	0	0	0	0	0	örökbefogadás
adorable	0	0	0	0	1	0	1	0	0	0	imádni való
adoration	0	0	0	0	1	0	1	0	0	1	imádat
adore	0	1	0	0	1	0	1	0	0	1	rajong
adorn	0	0	0	0	0	0	0	0	0	0	szépít
adornment	0	0	0	0	0	0	0	0	0	0	díszítés
adrift	0	1	0	1	0	1	0	1	0	0	sodródva
adult	0	0	0	0	0	0	0	0	0	0	felnőtt
adulterated	0	0	0	0	0	1	0	0	0	0	hamisított
adultery	0	0	1	0	0	1	0	1	0	0	házasságtörés
advance	0	1	0	1	1	0	1	0	1	0	előleg
advanced	0	0	0	0	0	0	1	0	0	0	fejlett
advancement	0	0	0	0	0	0	1	0	0	0	haladás
advancing	0	0	0	0	0	0	0	0	0	0	továbbjutó
advantage	0	0	0	0	0	0	1	0	0	0	előny
advantageous	0	0	0	0	0	0	1	0	0	0	előnyös
advent	0	1	0	0	1	0	1	0	0	1	megérkezés
adventure	0	1	0	0	0	0	1	0	0	0	kaland
adventurer	0	0	0	0	0	0	0	0	0	0	kalandor
adventurous	0	0	0	0	0	0	1	0	0	0	kalandos
adversary	1	0	0	0	0	1	0	0	0	0	ellenség
adverse	1	0	1	1	0	1	0	1	0	0	kedvezőtlen
adversity	1	0	0	1	0	1	0	1	0	0	balsors
advertise	0	0	0	0	0	0	0	0	0	0	hirdet
advertisement	0	0	0	0	0	0	0	0	0	0	hirdetés
advice	0	0	0	0	0	0	0	0	0	1	tanács
advisable	0	0	0	0	0	0	1	0	0	1	tanácsos
advise	0	0	0	0	0	0	1	0	0	1	tanácsol
advised	0	0	0	0	0	0	0	0	0	1	tanácsolta
advisement	0	0	0	0	0	0	0	0	0	0	tanácsot
adviser	0	0	0	0	0	0	1	0	0	1	tanácsadó
advocacy	1	1	0	0	1	0	1	0	0	1	pártfogás
advocate	0	0	0	0	0	0	0	0	0	1	ügyvéd
aegis	0	0	0	0	0	0	0	0	0	0	égisze
aeration	0	0	0	0	0	0	0	0	0	0	levegőztetés
aerial	0	0	0	0	0	0	0	0	0	0	légi
aerodrome	0	0	0	0	0	0	0	0	0	0	repülőtér
aerodynamics	0	0	0	0	0	0	0	0	0	0	aerodinamika
aeronautics	0	0	0	0	0	0	0	0	0	0	repülés
aeroplane	0	0	0	0	0	0	0	0	0	0	repülőgép
aesthetic	0	0	0	0	0	0	1	0	0	0	esztétika
aesthetics	0	0	0	0	1	0	1	0	0	0	esztétika
aetiology	0	0	0	0	0	0	0	0	0	0	etiológiája
afar	0	0	0	0	0	0	0	0	0	0	messze
affable	0	0	0	0	0	0	1	0	0	0	barátságos
affair	0	0	0	0	0	0	0	0	0	0	ügy
affecting	0	0	0	0	0	0	0	0	0	0	befolyásoló
affection	0	0	0	0	1	0	1	0	0	1	szeretet
affections	0	0	0	0	0	0	0	0	0	0	vonzalmak
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	eskü alatt tett nyilatkozat
affiliated	0	0	0	0	0	0	1	0	0	0	kapcsolt
affiliation	0	0	0	0	0	0	0	0	0	0	hovatartozás
affinity	0	0	0	0	0	0	0	0	0	0	affinitás
affirm	0	0	0	0	0	0	1	0	0	1	megerősít
affirmation	0	0	0	0	0	0	1	0	0	0	megerősítés
affirmative	0	0	0	0	0	0	1	0	0	0	igenlő
affirmatively	0	0	0	0	0	0	1	0	0	1	igenlően
affix	0	0	0	0	0	0	0	0	0	0	toldalék
afflict	0	0	0	1	0	1	0	1	0	0	kínoz
afflicted	0	0	0	0	0	1	0	0	0	0	sújtott
affliction	0	0	1	1	0	1	0	1	0	0	szenvedés
affluence	0	0	0	0	1	0	1	0	0	0	bőség
affluent	0	0	0	0	0	0	1	0	0	0	gazdag
afford	0	0	0	0	0	0	1	0	0	0	engedheti meg magának
affront	1	0	1	1	0	1	0	1	1	0	sértés
afield	0	0	0	0	0	0	0	0	0	0	mezőn
afore	0	0	0	0	0	0	0	0	0	0	előbb
aforementioned	0	0	0	0	0	0	0	0	0	0	fent említett
aforesaid	0	0	0	0	0	0	0	0	0	0	fent említett
afraid	0	0	0	1	0	1	0	0	0	0	fél
afresh	0	0	0	0	0	0	0	0	0	0	újra
aft	0	0	0	0	0	0	0	0	0	0	hátsó
aftermath	1	0	1	1	0	1	0	1	0	0	utóhatása
afternoon	0	0	0	0	0	0	0	0	0	0	délután
aftertaste	0	0	0	0	0	1	0	0	0	0	utóíz
afterthought	0	0	0	0	0	0	0	0	0	0	utógondolat
aga	0	0	0	1	0	0	1	0	0	1	aga
agate	0	0	0	0	0	0	0	0	0	0	achát
age	0	0	0	0	0	0	0	0	0	0	kor
aged	0	0	0	0	0	0	0	0	0	0	idős
agency	0	0	0	0	0	0	0	0	0	0	ügynökség
agent	0	0	0	0	0	0	0	0	0	0	ügynök
agglomeration	0	0	0	0	0	0	0	0	0	0	agglomeráció
aggravated	1	0	0	0	0	1	0	0	0	0	súlyosbítva
aggravating	1	0	0	0	0	1	0	1	0	0	súlyosbító
aggravation	1	0	1	0	0	1	0	0	0	0	súlyosbodás
aggregate	0	0	0	0	0	0	0	0	0	0	összesített
aggregation	0	0	0	0	0	0	0	0	0	0	összesítését
aggression	1	0	0	1	0	1	0	0	0	0	agresszió
aggressive	1	0	0	1	0	1	0	0	0	0	agresszív
aggressor	1	0	0	1	0	1	0	0	0	0	agresszor
aghast	0	0	1	1	0	1	0	0	1	0	megdöbbent
agile	0	0	0	0	0	0	1	0	0	0	agilis
agility	0	0	0	0	0	0	1	0	0	0	agilitás
agitated	1	0	0	0	0	1	0	0	0	0	izgatott
agitation	1	0	0	0	0	1	0	0	0	0	agitáció
agnostic	0	0	0	0	0	0	0	0	0	0	agnosztikus
ago	0	0	0	0	0	0	0	0	0	0	ezelőtt
agonizing	0	0	0	1	0	1	0	0	0	0	kínzó
agony	1	0	0	1	0	1	0	1	0	0	gyötrelem
agree	0	0	0	0	0	0	1	0	0	0	egyetért
agreeable	0	0	0	0	0	0	1	0	0	1	kellemes
agreed	0	0	0	0	0	0	1	0	0	1	egyetért
agreeing	0	0	0	0	0	0	1	0	0	1	egyetértésben
agreement	0	0	0	0	0	0	1	0	0	1	megegyezés
agricultural	0	0	0	0	0	0	0	0	0	0	mezőgazdasági
agriculture	0	0	0	0	0	0	1	0	0	0	mezőgazdaság
aground	0	0	0	0	0	1	0	0	0	0	zátonyon
agua	0	0	0	0	0	0	0	0	0	0	agua
ahead	0	0	0	0	0	0	1	0	0	0	előre
aid	0	0	0	0	0	0	1	0	0	0	támogatás
aiding	0	0	0	0	0	0	1	0	0	0	segítve
ail	0	0	0	0	0	1	0	1	0	0	ail
ailing	0	0	0	1	0	1	0	1	0	0	gyengélkedő
ailment	0	0	0	0	0	0	0	0	0	0	betegség
aim	0	0	0	0	0	0	0	0	0	0	cél
aimless	0	0	0	0	0	1	0	0	0	0	céltalan
air	0	0	0	0	0	0	0	0	0	0	levegő
airbag	0	0	0	0	0	0	0	0	0	0	légzsák
airlift	0	0	0	0	0	0	0	0	0	0	légi szállítás
airline	0	0	0	0	0	0	0	0	0	0	légitársaság
airman	0	0	0	0	0	0	0	0	0	0	pilóta
airplane	0	0	0	0	0	0	0	0	0	0	repülőgép
airport	0	1	0	0	0	0	0	0	0	0	repülőtér
airs	0	0	1	0	0	1	0	0	0	0	sugárzik
airship	0	0	0	0	0	0	0	0	0	0	léghajó
aisle	0	0	0	0	0	0	0	0	0	0	folyosó
ait	0	0	0	0	0	0	0	0	0	0	sziget
ajar	0	0	0	0	0	0	0	0	0	0	félig nyitva
akin	0	0	0	0	0	0	0	0	0	1	rokon
alabaster	0	0	0	0	0	0	1	0	0	0	alabástrom
alarm	0	0	0	1	0	1	0	0	1	0	riasztás
alarming	0	0	0	1	0	1	0	0	1	0	riasztó
alb	0	0	0	0	0	0	0	0	0	1	alb
album	0	0	0	0	0	0	0	0	0	0	album
alchemy	0	0	0	0	0	0	0	0	0	0	aranycsinálás
alcohol	0	0	0	0	0	0	0	0	0	0	alkohol
alcoholism	1	0	1	1	0	1	0	1	0	0	alkoholizmus
alcove	0	0	0	0	0	0	0	0	0	0	alkóv
alert	0	0	0	0	0	0	0	0	0	0	éber
alertness	0	1	0	1	0	0	1	0	1	0	éberség
alerts	0	1	0	1	0	0	0	0	1	0	riasztások
alfalfa	0	0	0	0	0	0	0	0	0	0	lucerna
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebrai
algorithm	0	0	0	0	0	0	0	0	0	0	algoritmus
alibi	0	0	0	0	0	0	0	0	0	0	alibi
alien	0	0	1	1	0	1	0	0	0	0	idegen
alienate	1	0	1	0	0	1	0	0	0	0	elidegeníteni
alienated	0	0	0	0	0	1	0	1	0	0	elidegenedett
alienation	1	0	1	1	0	1	0	1	0	0	elidegenítés
alight	0	0	0	0	0	0	0	0	0	0	kiszáll
aligned	0	0	0	0	0	0	0	0	0	0	igazítva
alignment	0	0	0	0	0	0	0	0	0	0	igazítás
alike	0	0	0	0	0	0	0	0	0	0	hasonló
alimentation	0	0	0	0	0	0	1	0	0	0	ellátás
alimony	0	0	0	0	0	1	0	0	0	0	feleségtartási díj
aliquot	0	0	0	0	0	0	0	0	0	0	aliquot
alive	0	1	0	0	1	0	1	0	0	1	élő
alkali	0	0	0	0	0	0	0	0	0	0	alkáli
alkaloids	0	0	0	0	0	0	0	0	0	0	alkaloidok
allay	0	0	0	0	0	0	1	0	0	0	csillapítani
allegation	1	0	0	0	0	1	0	0	0	0	állítás
allege	0	0	0	0	0	1	0	0	0	0	állítják
alleged	0	0	0	0	0	0	0	0	0	0	állítólagos
allegiance	0	0	0	0	0	0	1	0	0	1	hűség
allegorical	0	0	0	0	0	0	0	0	0	0	allegorikus
allegory	0	0	0	0	0	0	0	0	0	0	allegória
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	enyhíteni
alleviation	0	0	0	0	0	0	1	0	0	0	enyhítése
alley	0	0	0	0	0	0	0	0	0	0	sikátor
alliance	0	0	0	0	0	0	0	0	0	1	szövetség
allied	0	0	0	0	0	0	1	0	0	1	szövetséges
alligator	0	0	0	0	0	0	0	0	0	0	aligátor
allocate	0	0	0	0	0	0	0	0	0	0	kioszt
allocation	0	0	0	0	0	0	0	0	0	0	kiosztás
allot	0	0	0	0	0	0	0	0	0	0	kiosztani
allotment	0	0	0	0	0	0	0	0	0	0	kiosztás
allowable	0	0	0	0	0	0	1	0	0	0	megengedhető
allowance	0	0	0	0	0	0	0	0	0	0	juttatás
allowed	0	0	0	0	0	0	0	0	0	0	megengedett
alloy	0	0	0	0	0	0	0	0	0	0	ötvözet
allure	0	1	0	0	1	0	1	0	1	0	csábító
alluring	0	0	0	0	0	0	1	0	0	0	csábító
allusion	0	0	0	0	0	0	0	0	0	0	célzás
alluvial	0	0	0	0	0	0	0	0	0	0	hordalékos
ally	0	0	0	0	0	0	1	0	0	1	szövetséges
almanac	0	0	0	0	0	0	0	0	0	0	évkönyv
almighty	0	0	0	0	0	0	1	0	0	0	mindenható
aloft	0	0	0	0	0	0	0	0	0	0	magasban
aloha	0	1	0	0	1	0	1	0	0	0	aloha
alongside	0	0	0	0	0	0	0	0	0	0	mellett
aloof	0	0	0	0	0	1	0	0	0	0	tartózkodó
aloud	0	0	0	0	0	0	0	0	0	0	hangosan
alphabet	0	0	0	0	0	0	0	0	0	0	ábécé
alphabetical	0	0	0	0	0	0	0	0	0	0	betűrendes
altar	0	0	0	0	0	0	0	0	0	0	oltár
alter	0	0	0	0	0	0	0	0	0	0	változtat
alteration	0	0	0	0	0	0	0	0	0	0	módosítás
altercation	1	0	0	0	0	1	0	0	0	0	veszekedés
altered	0	0	0	0	0	0	0	0	0	0	megváltozott
alternate	0	0	0	0	0	0	0	0	0	0	váltakozó
alternative	0	0	0	0	0	0	0	0	0	0	alternatív
altitude	0	0	0	0	0	0	0	0	0	0	magasság
alto	0	0	0	0	0	0	0	0	0	0	alt
altogether	0	0	0	0	0	0	0	0	0	0	teljesen
alumnus	0	0	0	0	0	0	0	0	0	0	volt diák
alveolar	0	0	0	0	0	0	0	0	0	0	alveoláris
amalgam	0	0	0	0	0	0	0	0	0	0	amalgám
amalgamation	0	0	0	0	0	0	0	0	0	0	keveredés
amass	0	0	0	0	0	0	0	0	0	0	felhalmoz
amateur	0	0	0	0	0	0	0	0	0	0	amatőr
amaze	0	0	0	0	0	0	0	0	1	0	meghökkent
amazement	0	0	0	0	0	0	0	0	0	0	ámulat
amazingly	0	0	0	0	1	0	1	0	1	0	elképesztően
ambassador	0	0	0	0	0	0	1	0	0	1	nagykövet
amber	0	0	0	0	0	0	0	0	0	0	borostyán
ambient	0	0	0	0	0	0	0	0	0	0	környező
ambiguity	0	0	0	0	0	0	0	0	0	0	kétértelműség
ambiguous	0	0	0	0	0	1	0	0	0	0	kétértelmű
ambit	0	0	0	0	0	0	0	0	0	0	ambit
ambition	0	1	0	0	1	0	1	0	0	1	ambíció
ambitious	0	0	0	0	0	0	0	0	0	0	ambiciózus
ambulance	0	0	0	1	0	0	0	0	0	1	mentőautó
ambush	1	0	0	1	0	1	0	0	1	0	csapda
ameliorate	0	0	0	0	0	0	1	0	0	0	javítani
amen	0	0	0	0	1	0	1	0	0	1	ámen
amenable	0	0	0	0	0	0	1	0	0	0	kezelhető
amend	0	0	0	0	0	0	1	0	0	0	módosít
amendment	0	0	0	0	0	0	0	0	0	0	módosítás
amends	0	0	0	0	0	0	1	0	0	0	módosítja
amenity	0	0	0	0	0	0	1	0	0	0	kényelem
amethyst	0	0	0	0	0	0	0	0	0	0	ametiszt
amiable	0	0	0	0	0	0	1	0	0	0	kedves
amicable	0	0	0	0	1	0	1	0	0	0	baráti
amid	0	0	0	0	0	0	0	0	0	0	között
amidst	0	0	0	0	0	0	0	0	0	0	között
ammonia	0	0	1	0	0	0	0	0	0	0	ammónia
ammunition	0	0	0	0	0	0	0	0	0	0	lőszer
amnesia	0	0	0	0	0	1	0	0	0	0	amnézia
amnesty	0	0	0	0	1	0	1	0	0	0	amnesztia
amorphous	0	0	0	0	0	0	0	0	0	0	amorf
amortization	0	0	0	0	0	0	0	0	0	1	amortizáció
amount	0	0	0	0	0	0	0	0	0	0	összeg
amour	0	1	0	0	1	0	1	0	0	1	szerelme
ampersand	0	0	0	0	0	0	0	0	0	0	és és
amphetamines	0	0	1	0	0	1	0	0	0	0	amfetaminok
amphibian	0	0	0	0	0	0	0	0	0	0	kétéltű
