English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Hindi Word
absinthe	0	0	0	0	0	0	0	0	0	0	चिरायता
absolute	0	0	0	0	0	0	1	0	0	0	शुद्ध
absolution	0	0	0	0	1	0	1	0	0	1	मुक्ति
absorbed	0	0	0	0	0	0	1	0	0	0	को अवशोषित
absorbent	0	0	0	0	0	0	0	0	0	0	शोषक
absorbing	0	0	0	0	0	0	0	0	0	0	अवशोषित
absorption	0	0	0	0	0	0	0	0	0	0	अवशोषण
abstain	0	0	0	0	0	0	0	0	0	0	बचना
abstention	0	0	0	0	0	0	0	0	0	0	बचाव
abstinence	0	0	0	0	0	0	0	0	0	0	परहेज़
abstract	0	0	0	0	0	0	0	0	0	0	सार
abstraction	0	0	0	0	0	0	0	0	0	0	मतिहीनता
absurd	0	0	0	0	0	1	0	0	0	0	बेतुका
absurdity	0	0	0	0	0	1	0	0	0	0	मूर्खता
abundance	0	1	1	0	1	1	1	0	0	1	प्रचुरता
abundant	0	0	0	0	1	0	1	0	0	0	भरपूर
abuse	1	0	1	1	0	1	0	1	0	0	गाली देना
abutment	0	0	0	0	0	0	0	0	0	0	सीमा
aby	0	0	0	0	0	0	0	0	0	0	अबी
abysmal	0	0	0	0	0	1	0	1	0	0	मात्र
abyss	0	0	0	1	0	1	0	1	0	0	रसातल
academic	0	0	0	0	0	0	1	0	0	1	शैक्षिक
academy	0	0	0	0	0	0	1	0	0	0	अकादमी
accede	0	0	0	0	0	0	0	0	0	0	मान लेना
accelerate	0	1	0	0	0	0	0	0	0	0	में तेजी लाने के
acceleration	0	0	0	0	0	0	0	0	0	0	त्वरण
accent	0	0	0	0	0	0	0	0	0	0	लहजा
accentuate	0	0	0	0	0	0	0	0	0	0	दबाव का चिह्न
accept	0	0	0	0	0	0	0	0	0	0	मानना
acceptable	0	0	0	0	0	0	1	0	0	0	स्वीकार्य
acceptance	0	0	0	0	0	0	1	0	0	0	स्वीकार
access	0	0	0	0	0	0	0	0	0	0	पहुँच
accessible	0	0	0	0	0	0	1	0	0	0	पहुंच योग्य
accession	0	0	0	0	0	0	0	0	0	0	परिग्रहण
accessory	0	0	0	0	0	0	0	0	0	0	सहायक
accident	0	0	0	1	0	1	0	1	1	0	दुर्घटना
accidental	0	0	0	1	0	1	0	0	1	0	आकस्मिक
accidentally	0	0	0	0	0	0	0	0	1	0	अकस्मात
accolade	0	1	0	0	1	0	1	0	1	1	सम्मान
accommodate	0	0	0	0	0	0	0	0	0	0	समायोजित करना
accommodation	0	0	0	0	0	0	1	0	0	0	निवास स्थान
accompaniment	0	1	0	0	1	0	1	0	0	1	संगत
accompany	0	0	0	0	0	0	0	0	0	0	साथ
accompanying	0	0	0	0	0	0	0	0	0	0	साथ में
accomplice	0	0	0	0	0	0	0	0	0	0	साथी
accomplish	0	0	0	0	1	0	1	0	0	0	पूरा करना
accomplished	0	0	0	0	1	0	1	0	0	0	कुशल
accomplishment	0	0	0	0	0	0	1	0	0	0	उपलब्धि
accord	0	0	0	0	0	0	1	0	0	1	एकॉर्ड
accordance	0	0	0	0	0	0	0	0	0	0	अनुसार
accordion	0	0	0	0	0	0	0	0	0	0	अकॉर्डियन
account	0	0	0	0	0	0	0	0	0	1	खाता
accountability	0	0	0	0	0	0	1	0	0	1	जवाबदेही
accountable	0	0	0	0	0	0	1	0	0	1	उत्तरदायी
accountant	0	0	0	0	0	0	0	0	0	1	मुनीम
accounting	0	0	0	0	0	0	0	0	0	0	लेखांकन
accounts	0	0	0	0	0	0	0	0	0	1	हिसाब किताब
accredited	0	0	0	0	0	0	1	0	0	1	मान्यता प्राप्त
accretion	0	0	0	0	0	0	0	0	0	0	एक साथ वृद्धि
accrue	0	0	0	0	0	0	0	0	0	0	उपाजित होना
accueil	0	0	0	0	0	0	1	0	0	0	भाषा
accumulate	0	0	0	0	0	0	0	0	0	0	संचय करें
accumulation	0	0	0	0	0	0	0	0	0	0	संचय
accuracy	0	0	0	0	0	0	0	0	0	0	शुद्धता
accurate	0	0	0	0	0	0	1	0	0	1	सटीक
accursed	1	0	0	1	0	1	0	1	0	0	शापित
accusation	1	0	1	0	0	1	0	0	0	0	आरोप
accusative	0	0	0	0	0	1	0	0	0	0	कर्म कारक
accused	1	0	0	1	0	1	0	0	0	0	दोषी
accuser	1	0	0	1	0	1	0	0	0	0	अभियोक्ता
accusing	1	0	0	1	0	1	0	0	0	0	आरोप लगा
accustomed	0	0	0	0	0	0	0	0	0	0	आदी
ace	0	0	0	0	0	0	1	0	0	0	ऐस
acetic	0	0	0	0	0	0	0	0	0	0	खट्टा
ache	0	0	0	0	0	1	0	1	0	0	दर्द
achieve	0	0	0	0	1	0	1	0	0	1	प्राप्त करना
achievement	0	1	0	0	1	0	1	0	0	1	उपलब्धि
aching	0	0	0	0	0	1	0	1	0	0	दर्द
acid	0	0	0	0	0	1	0	0	0	0	अम्ल
acidity	0	0	0	0	0	0	0	0	0	0	पेट में गैस
acknowledge	0	0	0	0	0	0	0	0	0	0	स्वीकार करना
acknowledged	0	0	0	0	0	0	0	0	0	0	स्वीकार किया
acknowledgment	0	0	0	0	0	0	1	0	0	0	स्वीकृति
acme	0	0	0	0	0	0	0	0	0	0	परिपूर्णता
acoustic	0	0	0	0	0	0	0	0	0	0	ध्वनिक
acoustics	0	0	0	0	0	0	0	0	0	0	ध्वनि-विज्ञान
acquaint	0	0	0	0	0	0	0	0	0	0	परिचित
acquaintance	0	0	0	0	0	0	0	0	0	0	जान-पहचान
acquainted	0	0	0	0	0	0	0	0	0	0	परिचित
acquiescence	0	0	0	0	0	0	0	0	0	0	रज़ामंदी
acquire	0	0	0	0	0	0	1	0	0	0	अधिग्रहण करना
acquiring	0	1	0	0	0	0	1	0	0	0	प्राप्त
acquisition	0	0	0	0	0	0	0	0	0	0	अधिग्रहण
acquisitions	0	0	0	0	0	0	0	0	0	0	अधिग्रहण
acreage	0	0	0	0	0	0	0	0	0	0	एकड़
acres	0	0	0	0	0	0	0	0	0	0	एकड़ जमीन
acrobat	0	0	0	1	1	0	1	0	0	1	नट
act	0	0	0	0	0	0	0	0	0	0	कार्यवाही करना
acting	0	0	0	0	0	0	0	0	0	0	अभिनय
action	0	0	0	0	0	0	1	0	0	0	गतिविधि
actionable	1	0	1	0	0	1	0	0	0	0	कदम उठाने योग्य
active	0	0	0	0	0	0	0	0	0	0	सक्रिय
activity	0	0	0	0	0	0	0	0	0	0	गतिविधि
actor	0	0	0	0	0	0	0	0	0	0	अभिनेता
actual	0	0	0	0	0	0	1	0	0	0	वास्तविक
actuality	0	0	0	0	0	0	0	0	0	0	सत्यता
actuary	0	0	0	0	0	0	0	0	0	0	मुंशी
acuity	0	0	0	0	0	0	1	0	0	0	तीक्ष्णता
acumen	0	0	0	0	0	0	1	0	0	0	कुशाग्रता
acupuncture	0	0	0	0	0	0	0	0	0	0	एक्यूपंक्चर
acutely	0	0	0	0	0	0	0	0	0	0	तीव्रता से
adage	0	0	0	0	0	0	0	0	0	0	कहावत
adamant	0	0	0	0	0	0	0	0	0	0	अटल
adapt	0	0	0	0	0	0	1	0	0	0	अनुकूल बनाना
adaptable	0	0	0	0	0	0	1	0	0	0	अनुकूलनीय
add	0	0	0	0	0	0	0	0	0	0	जोड़ें
added	0	0	0	0	0	0	0	0	0	0	जोड़ा
addendum	0	0	0	0	0	0	0	0	0	0	परिशिष्ट
adder	1	0	1	1	0	1	0	1	0	0	योजक
addiction	0	0	0	0	0	1	0	0	0	0	लत
addition	0	0	0	0	0	0	0	0	0	0	योग
additional	0	0	0	0	0	0	0	0	0	0	अतिरिक्त
additive	0	0	0	0	0	0	0	0	0	0	additive
address	0	0	0	0	0	0	0	0	0	0	पता
addressee	0	0	0	0	0	0	0	0	0	0	पत्र पानेवाला
addresses	0	1	0	0	0	0	1	0	0	0	पतों
adept	0	0	0	0	0	0	1	0	0	0	निपुण
adequacy	0	0	0	0	0	0	1	0	0	0	पर्याप्तता
adequate	0	0	0	0	0	0	0	0	0	0	पर्याप्त
adhere	0	0	0	0	0	0	0	0	0	0	पालन करना
adherence	0	0	0	0	0	0	0	0	0	0	अनुपालन
adherent	0	0	0	0	0	0	0	0	0	0	पक्षपाती
adhering	0	0	0	0	0	0	0	0	0	1	पालन
adhesion	0	0	0	0	0	0	0	0	0	0	आसंजन
adhesive	0	0	0	0	0	0	0	0	0	0	गोंद
adieu	0	0	0	0	0	0	0	0	0	0	विदाई
adipose	0	0	0	0	0	1	0	0	0	0	वसा
adjacency	0	0	0	0	0	0	0	0	0	0	समीपता
adjacent	0	0	0	0	0	0	0	0	0	0	सटा हुआ
adjective	0	0	0	0	0	0	0	0	0	0	विशेषण
adjoining	0	0	0	0	0	0	0	0	0	0	साथ लगा हुआ
adjourn	0	0	0	0	0	0	0	0	0	0	स्थगित
adjournment	0	0	0	0	0	0	0	0	0	0	स्थगन
adjudicate	0	0	0	1	0	1	0	0	0	0	निर्णय करना
adjudication	0	0	0	0	0	0	0	0	0	0	न्यायिक निर्णय
adjunct	0	0	0	0	0	0	1	0	0	0	सहायक
adjust	0	0	0	0	0	0	0	0	0	0	समायोजित करना
adjustment	0	0	0	0	0	0	0	0	0	0	समायोजन
adjuvant	0	0	0	0	0	0	0	0	0	0	सहायक
administer	0	0	0	0	0	0	0	0	0	0	प्रशासन
administration	0	0	0	0	0	0	0	0	0	0	प्रशासन
administrative	0	0	0	0	0	0	0	0	0	1	प्रशासनिक
admirable	0	0	0	0	1	0	1	0	0	1	प्रशंसनीय
admiral	0	0	0	0	0	0	1	0	0	1	एडमिरल
admiralty	0	0	0	0	0	0	0	0	0	0	नौवाहनविभाग
admiration	0	0	0	0	1	0	1	0	0	1	प्रशंसा
admire	0	0	0	0	0	0	1	0	0	1	प्रशंसा करना
admirer	0	0	0	0	0	0	1	0	0	0	प्रशंसक
admissibility	0	0	0	0	0	0	0	0	0	0	स्वीकार्यता
admissible	0	0	0	0	0	0	1	0	0	1	स्वीकार्य
admission	0	0	0	0	0	0	0	0	0	0	प्रवेश
admit	0	0	0	0	0	0	0	0	0	0	भर्ती होना
admittance	0	0	0	0	0	0	0	0	0	0	प्रवेश
admitted	0	0	0	0	0	0	0	0	0	0	स्वीकार किया
admitting	0	0	0	0	0	0	0	0	0	0	स्वीकार
admixture	0	0	0	0	0	0	0	0	0	0	मिश्रण
admonition	0	0	0	1	0	1	0	0	0	0	चेतावनी
ado	0	0	0	0	0	0	0	0	0	0	हलचल
adobe	0	0	0	0	0	0	0	0	0	0	एडोब
adolescence	0	0	0	0	0	0	0	0	0	0	किशोरावस्था
adolescent	0	0	0	0	0	0	0	0	0	0	किशोर
adopt	0	0	0	0	0	0	0	0	0	0	गोद लेना
adoption	0	0	0	0	0	0	0	0	0	0	दत्तक ग्रहण
adorable	0	0	0	0	1	0	1	0	0	0	प्यारी
adoration	0	0	0	0	1	0	1	0	0	1	आराधना
adore	0	1	0	0	1	0	1	0	0	1	प्यार करते हैं
adorn	0	0	0	0	0	0	0	0	0	0	सजाना
adornment	0	0	0	0	0	0	0	0	0	0	अलंकरण
adrift	0	1	0	1	0	1	0	1	0	0	भटकते हुए
adult	0	0	0	0	0	0	0	0	0	0	वयस्क
adulterated	0	0	0	0	0	1	0	0	0	0	मिलावटी
adultery	0	0	1	0	0	1	0	1	0	0	व्यभिचार
advance	0	1	0	1	1	0	1	0	1	0	अग्रिम
advanced	0	0	0	0	0	0	1	0	0	0	विकसित
advancement	0	0	0	0	0	0	1	0	0	0	उन्नति
advancing	0	0	0	0	0	0	0	0	0	0	आगे बढ़ाने
advantage	0	0	0	0	0	0	1	0	0	0	फायदा
advantageous	0	0	0	0	0	0	1	0	0	0	लाभदायक
advent	0	1	0	0	1	0	1	0	0	1	आगमन
adventure	0	1	0	0	0	0	1	0	0	0	साहसिक काम
adventurer	0	0	0	0	0	0	0	0	0	0	साहसी
adventurous	0	0	0	0	0	0	1	0	0	0	साहसी
adversary	1	0	0	0	0	1	0	0	0	0	वैरी
adverse	1	0	1	1	0	1	0	1	0	0	विपरीत
adversity	1	0	0	1	0	1	0	1	0	0	आपदा
advertise	0	0	0	0	0	0	0	0	0	0	विज्ञापित
advertisement	0	0	0	0	0	0	0	0	0	0	विज्ञापन
advice	0	0	0	0	0	0	0	0	0	1	सलाह
advisable	0	0	0	0	0	0	1	0	0	1	उचित
advise	0	0	0	0	0	0	1	0	0	1	सलाह देना
advised	0	0	0	0	0	0	0	0	0	1	सलाह दी
advisement	0	0	0	0	0	0	0	0	0	0	सलाह
adviser	0	0	0	0	0	0	1	0	0	1	सलाहकार
advocacy	1	1	0	0	1	0	1	0	0	1	वकालत
advocate	0	0	0	0	0	0	0	0	0	1	वकील
aegis	0	0	0	0	0	0	0	0	0	0	तत्वावधान
aeration	0	0	0	0	0	0	0	0	0	0	वातन
aerial	0	0	0	0	0	0	0	0	0	0	हवाई
aerodrome	0	0	0	0	0	0	0	0	0	0	हवाई अड्डा
aerodynamics	0	0	0	0	0	0	0	0	0	0	वायुगतिकी
aeronautics	0	0	0	0	0	0	0	0	0	0	एयरोनॉटिक्स
aeroplane	0	0	0	0	0	0	0	0	0	0	विमान
aesthetic	0	0	0	0	0	0	1	0	0	0	सौंदर्य संबंधी
aesthetics	0	0	0	0	1	0	1	0	0	0	सौंदर्यशास्र
aetiology	0	0	0	0	0	0	0	0	0	0	एटिओलॉजी
afar	0	0	0	0	0	0	0	0	0	0	दूर
affable	0	0	0	0	0	0	1	0	0	0	मिलनसार
affair	0	0	0	0	0	0	0	0	0	0	चक्कर
affecting	0	0	0	0	0	0	0	0	0	0	प्रभावित करने वाले
affection	0	0	0	0	1	0	1	0	0	1	स्नेह
affections	0	0	0	0	0	0	0	0	0	0	प्यार
affiche	0	0	0	0	0	0	0	0	0	0	affiche
affidavit	0	0	0	0	0	0	0	0	0	0	शपथ पत्र
affiliated	0	0	0	0	0	0	1	0	0	0	संबद्ध
affiliation	0	0	0	0	0	0	0	0	0	0	संबंधन
affinity	0	0	0	0	0	0	0	0	0	0	आत्मीयता
affirm	0	0	0	0	0	0	1	0	0	1	वाणी
affirmation	0	0	0	0	0	0	1	0	0	0	प्रतिज्ञान
affirmative	0	0	0	0	0	0	1	0	0	0	सकारात्मक
affirmatively	0	0	0	0	0	0	1	0	0	1	सकारात्मक
affix	0	0	0	0	0	0	0	0	0	0	प्रत्यय
afflict	0	0	0	1	0	1	0	1	0	0	पीड़ा देना
afflicted	0	0	0	0	0	1	0	0	0	0	संतप्त
affliction	0	0	1	1	0	1	0	1	0	0	यातना
affluence	0	0	0	0	1	0	1	0	0	0	समृद्धि
affluent	0	0	0	0	0	0	1	0	0	0	धनी
afford	0	0	0	0	0	0	1	0	0	0	खर्च वहन करना
affront	1	0	1	1	0	1	0	1	1	0	अपमान
afield	0	0	0	0	0	0	0	0	0	0	खेत
afore	0	0	0	0	0	0	0	0	0	0	आगे
aforementioned	0	0	0	0	0	0	0	0	0	0	पूर्वकथित
aforesaid	0	0	0	0	0	0	0	0	0	0	पूर्वोक्त
afraid	0	0	0	1	0	1	0	0	0	0	डरना
afresh	0	0	0	0	0	0	0	0	0	0	नए सिरे से
aft	0	0	0	0	0	0	0	0	0	0	पिछाड़ी
aftermath	1	0	1	1	0	1	0	1	0	0	परिणाम
afternoon	0	0	0	0	0	0	0	0	0	0	दोपहर बाद
aftertaste	0	0	0	0	0	1	0	0	0	0	स्वाद
afterthought	0	0	0	0	0	0	0	0	0	0	बाद का विचार
aga	0	0	0	1	0	0	1	0	0	1	आगा
agate	0	0	0	0	0	0	0	0	0	0	सुलेमानी पत्थर
age	0	0	0	0	0	0	0	0	0	0	आयु
aged	0	0	0	0	0	0	0	0	0	0	वृद्ध
agency	0	0	0	0	0	0	0	0	0	0	एजेंसी
agent	0	0	0	0	0	0	0	0	0	0	प्रतिनिधि
agglomeration	0	0	0	0	0	0	0	0	0	0	ढेर
aggravated	1	0	0	0	0	1	0	0	0	0	बहुत बिगड़
aggravating	1	0	0	0	0	1	0	1	0	0	उत्तेजक
aggravation	1	0	1	0	0	1	0	0	0	0	उत्तेजना
aggregate	0	0	0	0	0	0	0	0	0	0	सकल
aggregation	0	0	0	0	0	0	0	0	0	0	एकत्रीकरण
aggression	1	0	0	1	0	1	0	0	0	0	आक्रमण
aggressive	1	0	0	1	0	1	0	0	0	0	आक्रामक
aggressor	1	0	0	1	0	1	0	0	0	0	आक्रामक
aghast	0	0	1	1	0	1	0	0	1	0	भौचक्का
agile	0	0	0	0	0	0	1	0	0	0	चुस्त
agility	0	0	0	0	0	0	1	0	0	0	चपलता
agitated	1	0	0	0	0	1	0	0	0	0	उत्तेजित
agitation	1	0	0	0	0	1	0	0	0	0	घबराहट
agnostic	0	0	0	0	0	0	0	0	0	0	अज्ञेयवाद का
ago	0	0	0	0	0	0	0	0	0	0	पहले
agonizing	0	0	0	1	0	1	0	0	0	0	अति पीड़ा देनेवाला
agony	1	0	0	1	0	1	0	1	0	0	पीड़ा
agree	0	0	0	0	0	0	1	0	0	0	सहमत होना
agreeable	0	0	0	0	0	0	1	0	0	1	सहमत
agreed	0	0	0	0	0	0	1	0	0	1	मान गया
agreeing	0	0	0	0	0	0	1	0	0	1	सहमत होने से
agreement	0	0	0	0	0	0	1	0	0	1	समझौता
agricultural	0	0	0	0	0	0	0	0	0	0	कृषि
agriculture	0	0	0	0	0	0	1	0	0	0	कृषि
aground	0	0	0	0	0	1	0	0	0	0	टिका हुआ
agua	0	0	0	0	0	0	0	0	0	0	पानी
ahead	0	0	0	0	0	0	1	0	0	0	आगे
aid	0	0	0	0	0	0	1	0	0	0	सहायता
aiding	0	0	0	0	0	0	1	0	0	0	सहायता
ail	0	0	0	0	0	1	0	1	0	0	बीमार होना
ailing	0	0	0	1	0	1	0	1	0	0	बीमार
ailment	0	0	0	0	0	0	0	0	0	0	रोग
aim	0	0	0	0	0	0	0	0	0	0	उद्देश्य
aimless	0	0	0	0	0	1	0	0	0	0	लक्ष्यहीन
air	0	0	0	0	0	0	0	0	0	0	वायु
airbag	0	0	0	0	0	0	0	0	0	0	एयरबैग
airlift	0	0	0	0	0	0	0	0	0	0	विमान सेवा
airline	0	0	0	0	0	0	0	0	0	0	एयरलाइन
airman	0	0	0	0	0	0	0	0	0	0	विमान-चालक
airplane	0	0	0	0	0	0	0	0	0	0	विमान
airport	0	1	0	0	0	0	0	0	0	0	हवाई अड्डा
airs	0	0	1	0	0	1	0	0	0	0	एयर्स
airship	0	0	0	0	0	0	0	0	0	0	हवाई पोत
aisle	0	0	0	0	0	0	0	0	0	0	गलियारा
ait	0	0	0	0	0	0	0	0	0	0	उपद्वीप
ajar	0	0	0	0	0	0	0	0	0	0	अधखुला
akin	0	0	0	0	0	0	0	0	0	1	सदृश्य
alabaster	0	0	0	0	0	0	1	0	0	0	सिलखड़ी
alarm	0	0	0	1	0	1	0	0	1	0	खतरे की घंटी
alarming	0	0	0	1	0	1	0	0	1	0	खतरनाक
alb	0	0	0	0	0	0	0	0	0	1	अल्बा
album	0	0	0	0	0	0	0	0	0	0	एल्बम
alchemy	0	0	0	0	0	0	0	0	0	0	रस-विधा
alcohol	0	0	0	0	0	0	0	0	0	0	शराब
alcoholism	1	0	1	1	0	1	0	1	0	0	शराब
alcove	0	0	0	0	0	0	0	0	0	0	घिरौची
alert	0	0	0	0	0	0	0	0	0	0	चेतावनी
alertness	0	1	0	1	0	0	1	0	1	0	मुस्तैदी
alerts	0	1	0	1	0	0	0	0	1	0	अलर्ट
alfalfa	0	0	0	0	0	0	0	0	0	0	अल्फाल्फा
algebra	0	0	0	0	0	0	0	0	0	0	बीजगणित
algebraic	0	0	0	0	0	0	0	0	0	0	बीजगणितीय
algorithm	0	0	0	0	0	0	0	0	0	0	कलन विधि
alibi	0	0	0	0	0	0	0	0	0	0	अन्यत्र उपस्थिति
alien	0	0	1	1	0	1	0	0	0	0	विदेशी
alienate	1	0	1	0	0	1	0	0	0	0	विमुख
alienated	0	0	0	0	0	1	0	1	0	0	अलग-थलग
alienation	1	0	1	1	0	1	0	1	0	0	अलगाव की भावना
alight	0	0	0	0	0	0	0	0	0	0	प्रदीप्त करना
aligned	0	0	0	0	0	0	0	0	0	0	गठबंधन
alignment	0	0	0	0	0	0	0	0	0	0	संरेखण
alike	0	0	0	0	0	0	0	0	0	0	एक जैसे
alimentation	0	0	0	0	0	0	1	0	0	0	भरण
alimony	0	0	0	0	0	1	0	0	0	0	निर्वाह निधि
aliquot	0	0	0	0	0	0	0	0	0	0	विभाज्य
alive	0	1	0	0	1	0	1	0	0	1	जीवित
alkali	0	0	0	0	0	0	0	0	0	0	क्षार
alkaloids	0	0	0	0	0	0	0	0	0	0	एल्कलॉइड
allay	0	0	0	0	0	0	1	0	0	0	दूर,
allegation	1	0	0	0	0	1	0	0	0	0	आरोप
allege	0	0	0	0	0	1	0	0	0	0	आरोप
alleged	0	0	0	0	0	0	0	0	0	0	कथित
allegiance	0	0	0	0	0	0	1	0	0	1	निष्ठा
allegorical	0	0	0	0	0	0	0	0	0	0	व्यंजनापूर्ण
allegory	0	0	0	0	0	0	0	0	0	0	रूपक
allegro	0	0	0	0	0	0	1	0	0	0	Allegro
alleviate	0	0	0	0	0	0	1	0	0	0	कम
alleviation	0	0	0	0	0	0	1	0	0	0	उपशमन
alley	0	0	0	0	0	0	0	0	0	0	गली
alliance	0	0	0	0	0	0	0	0	0	1	संधि
allied	0	0	0	0	0	0	1	0	0	1	सम्बद्ध
alligator	0	0	0	0	0	0	0	0	0	0	मगर
allocate	0	0	0	0	0	0	0	0	0	0	आवंटित
allocation	0	0	0	0	0	0	0	0	0	0	आवंटन
allot	0	0	0	0	0	0	0	0	0	0	आवंटित
allotment	0	0	0	0	0	0	0	0	0	0	आवंटन
allowable	0	0	0	0	0	0	1	0	0	0	स्वीकार्य
allowance	0	0	0	0	0	0	0	0	0	0	भत्ता
allowed	0	0	0	0	0	0	0	0	0	0	अनुमत
alloy	0	0	0	0	0	0	0	0	0	0	मिश्र धातु
allure	0	1	0	0	1	0	1	0	1	0	फुसलाना
alluring	0	0	0	0	0	0	1	0	0	0	मनोहर
allusion	0	0	0	0	0	0	0	0	0	0	संकेत
alluvial	0	0	0	0	0	0	0	0	0	0	कछार का
ally	0	0	0	0	0	0	1	0	0	1	मित्र
almanac	0	0	0	0	0	0	0	0	0	0	पंचांग
almighty	0	0	0	0	0	0	1	0	0	0	सर्वशक्तिमान
aloft	0	0	0	0	0	0	0	0	0	0	ऊपर
aloha	0	1	0	0	1	0	1	0	0	0	अलोहा
alongside	0	0	0	0	0	0	0	0	0	0	साथ - साथ
aloof	0	0	0	0	0	1	0	0	0	0	अलग
aloud	0	0	0	0	0	0	0	0	0	0	जोर
alphabet	0	0	0	0	0	0	0	0	0	0	वर्णमाला
alphabetical	0	0	0	0	0	0	0	0	0	0	वर्णमाला
altar	0	0	0	0	0	0	0	0	0	0	वेदी
alter	0	0	0	0	0	0	0	0	0	0	बदलने
alteration	0	0	0	0	0	0	0	0	0	0	परिवर्तन
altercation	1	0	0	0	0	1	0	0	0	0	तकरार
altered	0	0	0	0	0	0	0	0	0	0	बदल
alternate	0	0	0	0	0	0	0	0	0	0	एकांतर
alternative	0	0	0	0	0	0	0	0	0	0	विकल्प
altitude	0	0	0	0	0	0	0	0	0	0	ऊंचाई
alto	0	0	0	0	0	0	0	0	0	0	अल्टो
altogether	0	0	0	0	0	0	0	0	0	0	कुल मिलाकर
alumnus	0	0	0	0	0	0	0	0	0	0	भूतपूर्व छात्र
alveolar	0	0	0	0	0	0	0	0	0	0	वायुकोशीय
amalgam	0	0	0	0	0	0	0	0	0	0	मिश्रण
amalgamation	0	0	0	0	0	0	0	0	0	0	मिश्रण
amass	0	0	0	0	0	0	0	0	0	0	एकत्र करना
amateur	0	0	0	0	0	0	0	0	0	0	शौक़ीन व्यक्ति
amaze	0	0	0	0	0	0	0	0	1	0	विस्मित करना
amazement	0	0	0	0	0	0	0	0	0	0	विस्मय
amazingly	0	0	0	0	1	0	1	0	1	0	आश्चर्यजनक
ambassador	0	0	0	0	0	0	1	0	0	1	दूत
amber	0	0	0	0	0	0	0	0	0	0	अंबर
ambient	0	0	0	0	0	0	0	0	0	0	व्यापक
ambiguity	0	0	0	0	0	0	0	0	0	0	अनिश्चितता
ambiguous	0	0	0	0	0	1	0	0	0	0	अस्पष्ट
ambit	0	0	0	0	0	0	0	0	0	0	सीमा
ambition	0	1	0	0	1	0	1	0	0	1	महत्वाकांक्षा
ambitious	0	0	0	0	0	0	0	0	0	0	महत्वाकांक्षी
ambulance	0	0	0	1	0	0	0	0	0	1	रोगी वाहन
ambush	1	0	0	1	0	1	0	0	1	0	घात लगाना
