English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Arabic Word
acreage	0	0	0	0	0	0	0	0	0	0	مساحة
acres	0	0	0	0	0	0	0	0	0	0	فدان
acrobat	0	0	0	1	1	0	1	0	0	1	بهلوان
act	0	0	0	0	0	0	0	0	0	0	فعل
acting	0	0	0	0	0	0	0	0	0	0	التمثيل
action	0	0	0	0	0	0	1	0	0	0	عمل
actionable	1	0	1	0	0	1	0	0	0	0	فعالة
active	0	0	0	0	0	0	0	0	0	0	نشيط
activity	0	0	0	0	0	0	0	0	0	0	نشاط
actor	0	0	0	0	0	0	0	0	0	0	الممثل
actual	0	0	0	0	0	0	1	0	0	0	فِعلي
actuality	0	0	0	0	0	0	0	0	0	0	حقيقة
actuary	0	0	0	0	0	0	0	0	0	0	الخبير الاكتواري
acuity	0	0	0	0	0	0	1	0	0	0	حدة
acumen	0	0	0	0	0	0	1	0	0	0	الفطنة
acupuncture	0	0	0	0	0	0	0	0	0	0	العلاج بالإبر
acutely	0	0	0	0	0	0	0	0	0	0	بشكل حاد
adage	0	0	0	0	0	0	0	0	0	0	القول المأثور
adamant	0	0	0	0	0	0	0	0	0	0	مصر على رأيه
adapt	0	0	0	0	0	0	1	0	0	0	يتكيف
adaptable	0	0	0	0	0	0	1	0	0	0	قابل للتكيف
add	0	0	0	0	0	0	0	0	0	0	يضيف
added	0	0	0	0	0	0	0	0	0	0	مضاف
addendum	0	0	0	0	0	0	0	0	0	0	إضافة
adder	1	0	1	1	0	1	0	1	0	0	الأفعى
addiction	0	0	0	0	0	1	0	0	0	0	مدمن
addition	0	0	0	0	0	0	0	0	0	0	إضافة
additional	0	0	0	0	0	0	0	0	0	0	إضافي
additive	0	0	0	0	0	0	0	0	0	0	مادة مضافة
address	0	0	0	0	0	0	0	0	0	0	تبوك
addressee	0	0	0	0	0	0	0	0	0	0	المرسل إليه
addresses	0	1	0	0	0	0	1	0	0	0	عناوين
adept	0	0	0	0	0	0	1	0	0	0	بارع
adequacy	0	0	0	0	0	0	1	0	0	0	قدرة
adequate	0	0	0	0	0	0	0	0	0	0	مناسب
adhere	0	0	0	0	0	0	0	0	0	0	يتمسك
adherence	0	0	0	0	0	0	0	0	0	0	التقيد
adherent	0	0	0	0	0	0	0	0	0	0	نصير
adhering	0	0	0	0	0	0	0	0	0	1	الانضمام
adhesion	0	0	0	0	0	0	0	0	0	0	التصاق
adhesive	0	0	0	0	0	0	0	0	0	0	لاصق
adieu	0	0	0	0	0	0	0	0	0	0	وداعا
adipose	0	0	0	0	0	1	0	0	0	0	دهني
adjacency	0	0	0	0	0	0	0	0	0	0	الملاصقة
adjacent	0	0	0	0	0	0	0	0	0	0	متاخم
adjective	0	0	0	0	0	0	0	0	0	0	صفة
adjoining	0	0	0	0	0	0	0	0	0	0	المجاورة
adjourn	0	0	0	0	0	0	0	0	0	0	رفع
adjournment	0	0	0	0	0	0	0	0	0	0	تأجيل
adjudicate	0	0	0	1	0	1	0	0	0	0	يحكم
adjudication	0	0	0	0	0	0	0	0	0	0	التحكيم
adjunct	0	0	0	0	0	0	1	0	0	0	مساعد
adjust	0	0	0	0	0	0	0	0	0	0	يُعدِّل
adjustment	0	0	0	0	0	0	0	0	0	0	تعديل
adjuvant	0	0	0	0	0	0	0	0	0	0	مساعد
administer	0	0	0	0	0	0	0	0	0	0	إدارة
administration	0	0	0	0	0	0	0	0	0	0	الادارة
administrative	0	0	0	0	0	0	0	0	0	1	إداري
admirable	0	0	0	0	1	0	1	0	0	1	رائع
admiral	0	0	0	0	0	0	1	0	0	1	أميرال
admiralty	0	0	0	0	0	0	0	0	0	0	أميرالية
admiration	0	0	0	0	1	0	1	0	0	1	إعجاب
admire	0	0	0	0	0	0	1	0	0	1	معجب
admirer	0	0	0	0	0	0	1	0	0	0	معجب
admissibility	0	0	0	0	0	0	0	0	0	0	المقبولية
admissible	0	0	0	0	0	0	1	0	0	1	مقبول
admission	0	0	0	0	0	0	0	0	0	0	سماح بالدخول
admit	0	0	0	0	0	0	0	0	0	0	يعترف
admittance	0	0	0	0	0	0	0	0	0	0	القبول
admitted	0	0	0	0	0	0	0	0	0	0	اعترف
admitting	0	0	0	0	0	0	0	0	0	0	الاعتراف
admixture	0	0	0	0	0	0	0	0	0	0	خليط
admonition	0	0	0	1	0	1	0	0	0	0	عتاب
ado	0	0	0	0	0	0	0	0	0	0	اللغط
adobe	0	0	0	0	0	0	0	0	0	0	أدوبي
adolescence	0	0	0	0	0	0	0	0	0	0	مرحلة المراهقة
adolescent	0	0	0	0	0	0	0	0	0	0	مراهق
adopt	0	0	0	0	0	0	0	0	0	0	يتبنى
adoption	0	0	0	0	0	0	0	0	0	0	تبني
adorable	0	0	0	0	1	0	1	0	0	0	بديع
adoration	0	0	0	0	1	0	1	0	0	1	هيام
adore	0	1	0	0	1	0	1	0	0	1	أعشق
adorn	0	0	0	0	0	0	0	0	0	0	تزين
adornment	0	0	0	0	0	0	0	0	0	0	زينة
adrift	0	1	0	1	0	1	0	1	0	0	على غير هدى
adult	0	0	0	0	0	0	0	0	0	0	بالغ
adulterated	0	0	0	0	0	1	0	0	0	0	مغشوشة
adultery	0	0	1	0	0	1	0	1	0	0	الزنا
advance	0	1	0	1	1	0	1	0	1	0	يتقدم
advanced	0	0	0	0	0	0	1	0	0	0	المتقدمة
advancement	0	0	0	0	0	0	1	0	0	0	تقدم
advancing	0	0	0	0	0	0	0	0	0	0	تتقدم
advantage	0	0	0	0	0	0	1	0	0	0	مميزات
advantageous	0	0	0	0	0	0	1	0	0	0	مفيد
advent	0	1	0	0	1	0	1	0	0	1	القدوم
adventure	0	1	0	0	0	0	1	0	0	0	مفامرة
adventurer	0	0	0	0	0	0	0	0	0	0	مغامر
adventurous	0	0	0	0	0	0	1	0	0	0	مغامر
adversary	1	0	0	0	0	1	0	0	0	0	الخصم
adverse	1	0	1	1	0	1	0	1	0	0	سلبي
adversity	1	0	0	1	0	1	0	1	0	0	محنة
advertise	0	0	0	0	0	0	0	0	0	0	يعلن
advertisement	0	0	0	0	0	0	0	0	0	0	الإعلانات
advice	0	0	0	0	0	0	0	0	0	1	النصيحة
advisable	0	0	0	0	0	0	1	0	0	1	المستحسن
advise	0	0	0	0	0	0	1	0	0	1	نصيحة
advised	0	0	0	0	0	0	0	0	0	1	نصح
advisement	0	0	0	0	0	0	0	0	0	0	نصيحة
adviser	0	0	0	0	0	0	1	0	0	1	مستشار
advocacy	1	1	0	0	1	0	1	0	0	1	المناصرة
advocate	0	0	0	0	0	0	0	0	0	1	المؤيد
aegis	0	0	0	0	0	0	0	0	0	0	ايجيس
aeration	0	0	0	0	0	0	0	0	0	0	تهوية
aerial	0	0	0	0	0	0	0	0	0	0	الجوي
aerodrome	0	0	0	0	0	0	0	0	0	0	المطار
aerodynamics	0	0	0	0	0	0	0	0	0	0	الديناميكا الهوائية
aeronautics	0	0	0	0	0	0	0	0	0	0	الطيران
aeroplane	0	0	0	0	0	0	0	0	0	0	طائرة
aesthetic	0	0	0	0	0	0	1	0	0	0	جمالي
aesthetics	0	0	0	0	1	0	1	0	0	0	جماليات
aetiology	0	0	0	0	0	0	0	0	0	0	المسببات المرضية
afar	0	0	0	0	0	0	0	0	0	0	بعيد
affable	0	0	0	0	0	0	1	0	0	0	لطيف
affair	0	0	0	0	0	0	0	0	0	0	قضية
affecting	0	0	0	0	0	0	0	0	0	0	تؤثر
affection	0	0	0	0	1	0	1	0	0	1	تاثير
affections	0	0	0	0	0	0	0	0	0	0	عواطف
affiche	0	0	0	0	0	0	0	0	0	0	شبق
affidavit	0	0	0	0	0	0	0	0	0	0	إفادة خطية
affiliated	0	0	0	0	0	0	1	0	0	0	التابعة
affiliation	0	0	0	0	0	0	0	0	0	0	الانتماء
affinity	0	0	0	0	0	0	0	0	0	0	التقارب
affirm	0	0	0	0	0	0	1	0	0	1	يؤكد
affirmation	0	0	0	0	0	0	1	0	0	0	تأكيد
affirmative	0	0	0	0	0	0	1	0	0	0	اثبات
affirmatively	0	0	0	0	0	0	1	0	0	1	بالإيجاب
affix	0	0	0	0	0	0	0	0	0	0	اللاحق
afflict	0	0	0	1	0	1	0	1	0	0	بلاء
afflicted	0	0	0	0	0	1	0	0	0	0	منكوبة
affliction	0	0	1	1	0	1	0	1	0	0	بلاء
affluence	0	0	0	0	1	0	1	0	0	0	ترف
affluent	0	0	0	0	0	0	1	0	0	0	ثري
afford	0	0	0	0	0	0	1	0	0	0	يمنح
affront	1	0	1	1	0	1	0	1	1	0	إهانة
afield	0	0	0	0	0	0	0	0	0	0	خارج
afore	0	0	0	0	0	0	0	0	0	0	قبل ذلك
aforementioned	0	0	0	0	0	0	0	0	0	0	مذكور أعلاه
aforesaid	0	0	0	0	0	0	0	0	0	0	سالف الذكر
afraid	0	0	0	1	0	1	0	0	0	0	خائف
afresh	0	0	0	0	0	0	0	0	0	0	من جديد
aft	0	0	0	0	0	0	0	0	0	0	في الخلف
aftermath	1	0	1	1	0	1	0	1	0	0	ما بعد الكارثة
afternoon	0	0	0	0	0	0	0	0	0	0	بعد الظهر
aftertaste	0	0	0	0	0	1	0	0	0	0	طعم
afterthought	0	0	0	0	0	0	0	0	0	0	بعد التفكير
aga	0	0	0	1	0	0	1	0	0	1	الآغا
agate	0	0	0	0	0	0	0	0	0	0	العقيق
age	0	0	0	0	0	0	0	0	0	0	سن
aged	0	0	0	0	0	0	0	0	0	0	مسن
agency	0	0	0	0	0	0	0	0	0	0	وكالة
agent	0	0	0	0	0	0	0	0	0	0	وكيل
agglomeration	0	0	0	0	0	0	0	0	0	0	تكتل
aggravated	1	0	0	0	0	1	0	0	0	0	تفاقم
aggravating	1	0	0	0	0	1	0	1	0	0	المشددة
aggravation	1	0	1	0	0	1	0	0	0	0	التفاقم
aggregate	0	0	0	0	0	0	0	0	0	0	مجموع
aggregation	0	0	0	0	0	0	0	0	0	0	تجميع
aggression	1	0	0	1	0	1	0	0	0	0	عدوان
aggressive	1	0	0	1	0	1	0	0	0	0	عنيف
aggressor	1	0	0	1	0	1	0	0	0	0	المعتدي
aghast	0	0	1	1	0	1	0	0	1	0	مذعور
agile	0	0	0	0	0	0	1	0	0	0	رشيق
agility	0	0	0	0	0	0	1	0	0	0	رشاقة
agitated	1	0	0	0	0	1	0	0	0	0	مضطرب
agitation	1	0	0	0	0	1	0	0	0	0	الإثارة
agnostic	0	0	0	0	0	0	0	0	0	0	محايد دينيا
ago	0	0	0	0	0	0	0	0	0	0	منذ
agonizing	0	0	0	1	0	1	0	0	0	0	مبرح
agony	1	0	0	1	0	1	0	1	0	0	سكرة
agree	0	0	0	0	0	0	1	0	0	0	يوافق على
agreeable	0	0	0	0	0	0	1	0	0	1	مقبول
agreed	0	0	0	0	0	0	1	0	0	1	متفق عليه
agreeing	0	0	0	0	0	0	1	0	0	1	الموافقة
agreement	0	0	0	0	0	0	1	0	0	1	اتفاق
agricultural	0	0	0	0	0	0	0	0	0	0	زراعي
agriculture	0	0	0	0	0	0	1	0	0	0	الزراعة
aground	0	0	0	0	0	1	0	0	0	0	جنحت
agua	0	0	0	0	0	0	0	0	0	0	أغوا
ahead	0	0	0	0	0	0	1	0	0	0	امام
aid	0	0	0	0	0	0	1	0	0	0	يساعد
aiding	0	0	0	0	0	0	1	0	0	0	مساعدة
ail	0	0	0	0	0	1	0	1	0	0	يزعج
ailing	0	0	0	1	0	1	0	1	0	0	مريض
ailment	0	0	0	0	0	0	0	0	0	0	وعكة
aim	0	0	0	0	0	0	0	0	0	0	هدف، تصويب
aimless	0	0	0	0	0	1	0	0	0	0	بلا هدف
air	0	0	0	0	0	0	0	0	0	0	هواء
airbag	0	0	0	0	0	0	0	0	0	0	وسادة هوائية
airlift	0	0	0	0	0	0	0	0	0	0	الجسر الجوي
airline	0	0	0	0	0	0	0	0	0	0	شركة طيران
airman	0	0	0	0	0	0	0	0	0	0	طيار
airplane	0	0	0	0	0	0	0	0	0	0	مطار
airport	0	1	0	0	0	0	0	0	0	0	مطار
airs	0	0	1	0	0	1	0	0	0	0	اجواء
airship	0	0	0	0	0	0	0	0	0	0	منطاد
aisle	0	0	0	0	0	0	0	0	0	0	ممر
ait	0	0	0	0	0	0	0	0	0	0	بعد
ajar	0	0	0	0	0	0	0	0	0	0	مفتوح جزئيا
akin	0	0	0	0	0	0	0	0	0	1	قريب
alabaster	0	0	0	0	0	0	1	0	0	0	المرمر
alarm	0	0	0	1	0	1	0	0	1	0	إنذار
alarming	0	0	0	1	0	1	0	0	1	0	ينذر بالخطر
alb	0	0	0	0	0	0	0	0	0	1	ألب
album	0	0	0	0	0	0	0	0	0	0	الألبوم
alchemy	0	0	0	0	0	0	0	0	0	0	كيمياء
alcohol	0	0	0	0	0	0	0	0	0	0	كحول
alcoholism	1	0	1	1	0	1	0	1	0	0	إدمان الكحول
alcove	0	0	0	0	0	0	0	0	0	0	الكوة
alert	0	0	0	0	0	0	0	0	0	0	إنذار
alertness	0	1	0	1	0	0	1	0	1	0	اليقظة
alerts	0	1	0	1	0	0	0	0	1	0	تنبيهات
alfalfa	0	0	0	0	0	0	0	0	0	0	البرسيم
algebra	0	0	0	0	0	0	0	0	0	0	الجبر
algebraic	0	0	0	0	0	0	0	0	0	0	جبري
algorithm	0	0	0	0	0	0	0	0	0	0	الخوارزمية
alibi	0	0	0	0	0	0	0	0	0	0	ذريعة
alien	0	0	1	1	0	1	0	0	0	0	كائن فضائي
alienate	1	0	1	0	0	1	0	0	0	0	ينفر
alienated	0	0	0	0	0	1	0	1	0	0	منبوذ
alienation	1	0	1	1	0	1	0	1	0	0	نقل ملكية
alight	0	0	0	0	0	0	0	0	0	0	مشتعل
aligned	0	0	0	0	0	0	0	0	0	0	محاذاة
alignment	0	0	0	0	0	0	0	0	0	0	محاذاة
alike	0	0	0	0	0	0	0	0	0	0	على حد سواء
alimentation	0	0	0	0	0	0	1	0	0	0	التغذية
alimony	0	0	0	0	0	1	0	0	0	0	النفقة
aliquot	0	0	0	0	0	0	0	0	0	0	قسامة
alive	0	1	0	0	1	0	1	0	0	1	على قيد الحياة
alkali	0	0	0	0	0	0	0	0	0	0	قلوي
alkaloids	0	0	0	0	0	0	0	0	0	0	قلويدات
allay	0	0	0	0	0	0	1	0	0	0	تهدئة
allegation	1	0	0	0	0	1	0	0	0	0	ادعاء
allege	0	0	0	0	0	1	0	0	0	0	زعم
alleged	0	0	0	0	0	0	0	0	0	0	مزعوم
allegiance	0	0	0	0	0	0	1	0	0	1	الولاء
allegorical	0	0	0	0	0	0	0	0	0	0	استعاري
allegory	0	0	0	0	0	0	0	0	0	0	فن رمزي
allegro	0	0	0	0	0	0	1	0	0	0	اليجرو
alleviate	0	0	0	0	0	0	1	0	0	0	خفف
alleviation	0	0	0	0	0	0	1	0	0	0	التخفيف
alley	0	0	0	0	0	0	0	0	0	0	زقاق
alliance	0	0	0	0	0	0	0	0	0	1	تحالف
allied	0	0	0	0	0	0	1	0	0	1	متحالف
alligator	0	0	0	0	0	0	0	0	0	0	التمساح
allocate	0	0	0	0	0	0	0	0	0	0	تخصيص
allocation	0	0	0	0	0	0	0	0	0	0	توزيع
allot	0	0	0	0	0	0	0	0	0	0	تخصيص
allotment	0	0	0	0	0	0	0	0	0	0	التخصيص
allowable	0	0	0	0	0	0	1	0	0	0	المسموح به
allowance	0	0	0	0	0	0	0	0	0	0	مخصص
allowed	0	0	0	0	0	0	0	0	0	0	مسموح
alloy	0	0	0	0	0	0	0	0	0	0	سبيكة
allure	0	1	0	0	1	0	1	0	1	0	إغراء
alluring	0	0	0	0	0	0	1	0	0	0	مغرية
allusion	0	0	0	0	0	0	0	0	0	0	إشارة
alluvial	0	0	0	0	0	0	0	0	0	0	الغريني
ally	0	0	0	0	0	0	1	0	0	1	حليف
almanac	0	0	0	0	0	0	0	0	0	0	تقويم
almighty	0	0	0	0	0	0	1	0	0	0	عز وجل
aloft	0	0	0	0	0	0	0	0	0	0	عاليا
aloha	0	1	0	0	1	0	1	0	0	0	الوها
alongside	0	0	0	0	0	0	0	0	0	0	جنبا إلى جنب
aloof	0	0	0	0	0	1	0	0	0	0	منعزل
aloud	0	0	0	0	0	0	0	0	0	0	بصوت عال
alphabet	0	0	0	0	0	0	0	0	0	0	الأبجدية
alphabetical	0	0	0	0	0	0	0	0	0	0	مرتب حسب الحروف الأبجدية
altar	0	0	0	0	0	0	0	0	0	0	مذبح
alter	0	0	0	0	0	0	0	0	0	0	تبديل
alteration	0	0	0	0	0	0	0	0	0	0	تغيير
altercation	1	0	0	0	0	1	0	0	0	0	مشادة
altered	0	0	0	0	0	0	0	0	0	0	تغيير
alternate	0	0	0	0	0	0	0	0	0	0	البديل
alternative	0	0	0	0	0	0	0	0	0	0	لبديل
altitude	0	0	0	0	0	0	0	0	0	0	ارتفاع
alto	0	0	0	0	0	0	0	0	0	0	ألتو
altogether	0	0	0	0	0	0	0	0	0	0	كليا
alumnus	0	0	0	0	0	0	0	0	0	0	خريج الجامعه
alveolar	0	0	0	0	0	0	0	0	0	0	اللسان وسقف الفم
amalgam	0	0	0	0	0	0	0	0	0	0	ملغم
amalgamation	0	0	0	0	0	0	0	0	0	0	الدمج
amass	0	0	0	0	0	0	0	0	0	0	جمع
amateur	0	0	0	0	0	0	0	0	0	0	هواة
amaze	0	0	0	0	0	0	0	0	1	0	تدهش
amazement	0	0	0	0	0	0	0	0	0	0	دهشة
amazingly	0	0	0	0	1	0	1	0	1	0	مثير للدهشة
ambassador	0	0	0	0	0	0	1	0	0	1	سفير
amber	0	0	0	0	0	0	0	0	0	0	العنبر
ambient	0	0	0	0	0	0	0	0	0	0	محيط ب
ambiguity	0	0	0	0	0	0	0	0	0	0	التباس
ambiguous	0	0	0	0	0	1	0	0	0	0	غامض
ambit	0	0	0	0	0	0	0	0	0	0	نطاق
ambition	0	1	0	0	1	0	1	0	0	1	طموح
ambitious	0	0	0	0	0	0	0	0	0	0	طموح
ambulance	0	0	0	1	0	0	0	0	0	1	سياره اسعاف
ambush	1	0	0	1	0	1	0	0	1	0	كمين
ameliorate	0	0	0	0	0	0	1	0	0	0	تحسين
amen	0	0	0	0	1	0	1	0	0	1	آمين
amenable	0	0	0	0	0	0	1	0	0	0	قابل
amend	0	0	0	0	0	0	1	0	0	0	يعدل
amendment	0	0	0	0	0	0	0	0	0	0	تعديل
amends	0	0	0	0	0	0	1	0	0	0	يعدل
amenity	0	0	0	0	0	0	1	0	0	0	الراحة
amethyst	0	0	0	0	0	0	0	0	0	0	جمشت
amiable	0	0	0	0	0	0	1	0	0	0	ودي
amicable	0	0	0	0	1	0	1	0	0	0	ظريف
amid	0	0	0	0	0	0	0	0	0	0	وسط
amidst	0	0	0	0	0	0	0	0	0	0	وسط
ammonia	0	0	1	0	0	0	0	0	0	0	الأمونيا
ammunition	0	0	0	0	0	0	0	0	0	0	ذخيرة
amnesia	0	0	0	0	0	1	0	0	0	0	فقدان الذاكرة
amnesty	0	0	0	0	1	0	1	0	0	0	عفو
amorphous	0	0	0	0	0	0	0	0	0	0	عديم الشكل
amortization	0	0	0	0	0	0	0	0	0	1	الإطفاء
amount	0	0	0	0	0	0	0	0	0	0	مقدار
amour	0	1	0	0	1	0	1	0	0	1	amour
