Word	Danish-da	Valence	Arousal	Dominance
adipose	fedtvæv	0.333	0.350	0.391
adjacency	adjacency	0.365	0.417	0.375
adjacent	tilstødende	0.645	0.276	0.536
adjective	adjektiv	0.570	0.316	0.569
adjoining	tilstødende	0.520	0.400	0.393
adjourn	udsætte	0.385	0.456	0.475
adjournment	udsættelse	0.438	0.510	0.370
adjudicate	træffe afgørelse i sagen	0.559	0.520	0.683
adjudication	pådømmelse	0.551	0.462	0.691
adjunct	supplement	0.459	0.440	0.426
adjust	justere	0.647	0.327	0.638
adjuster	justering	0.510	0.540	0.760
adjustment	justering	0.590	0.520	0.661
adjuvant	adjuvans	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	forvalte	0.635	0.425	0.860
administration	administration	0.625	0.404	0.786
administrative	administrativ	0.542	0.415	0.579
administrator	administrator	0.538	0.480	0.902
admirable	beundringsværdig	0.929	0.600	0.870
admiral	admiral	0.844	0.490	0.847
admiralty	admiralitet	0.594	0.547	0.733
admiration	beundring	0.969	0.583	0.726
admire	beundre	0.867	0.692	0.704
admired	beundret	0.917	0.560	0.815
admirer	beundrer	0.796	0.720	0.650
admiring	beundrende	0.867	0.578	0.629
admissibility	antagelse	0.802	0.580	0.602
admissible	realitetsbehandling	0.780	0.528	0.642
admission	adgang	0.802	0.415	0.732
admit	indrømme	0.538	0.423	0.667
admittance	adgang	0.690	0.451	0.598
admitted	indrømmede	0.720	0.490	0.767
admitting	indrømme	0.620	0.500	0.546
admixture	blanding	0.450	0.375	0.438
admonition	formaning	0.357	0.606	0.455
ado	ADO	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	ungdom	0.487	0.694	0.444
adolescent	teenager	0.781	0.680	0.509
adopt	vedtage	0.694	0.612	0.701
adoption	adoption	0.625	0.566	0.589
adoptive	adoptiv	0.531	0.469	0.520
adorable	yndig	0.969	0.519	0.457
adoration	tilbedelse	0.885	0.699	0.708
adore	tilbede	0.854	0.438	0.657
adoring	tilbedende	0.885	0.620	0.717
adorn	smykke	0.910	0.424	0.482
adornment	pynt	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenalin	0.765	0.965	0.825
adrift	adrift	0.398	0.486	0.230
adult	voksen	0.815	0.491	0.787
adulterated	forfalsket	0.188	0.865	0.370
adulterer	ægteskabsbryder	0.229	0.814	0.407
adultery	ægteskabsbrud	0.120	0.922	0.510
adulthood	voksenalderen	0.541	0.454	0.652
advance	rykke	0.673	0.472	0.858
advanced	fremskreden	0.844	0.623	0.797
advancement	fremgang	0.776	0.650	0.839
advancing	fremrykkende	0.929	0.608	0.812
advantage	fordel	0.917	0.548	0.859
advantageous	fordelagtige	0.837	0.640	0.789
advent	advent	0.665	0.560	0.627
adventure	eventyr	0.917	0.857	0.710
adventurer	eventyrer	0.781	0.839	0.868
adventures	eventyr	0.812	0.764	0.749
adventurous	eventyrlystne	0.969	0.898	0.722
adversary	modstander	0.349	0.777	0.457
adverse	ugunstig	0.323	0.610	0.385
adversity	modgang	0.276	0.760	0.538
advertise	annoncere	0.500	0.529	0.580
advertisement	reklame	0.600	0.566	0.539
advertising	reklame	0.622	0.608	0.632
adverts	reklamer	0.551	0.500	0.595
advice	råd	0.698	0.408	0.688
advisable	tilrådeligt	0.867	0.480	0.510
advise	rådgive	0.760	0.393	0.705
advised	rådgivet	0.823	0.330	0.509
advisement	advisement	0.698	0.235	0.655
adviser	rådgiver	0.745	0.362	0.705
advisor	rådgiver	0.646	0.350	0.689
advisory	rådgivende	0.656	0.429	0.633
advocacy	fortalervirksomhed	0.500	0.646	0.731
advocate	fortaler	0.551	0.530	0.818
aegis	regi	0.490	0.439	0.462
aeration	beluftning	0.550	0.500	0.433
aerial	antenne	0.615	0.461	0.463
aerobics	aerobic	0.708	0.771	0.627
aerodrome	flyveplads	0.541	0.740	0.678
aerodynamic	aerodynamisk	0.561	0.724	0.728
aerodynamics	aerodynamik	0.590	0.663	0.722
aeronautics	luftfart	0.551	0.633	0.688
aeroplane	fly	0.714	0.642	0.644
aerospace	rumfart	0.643	0.520	0.779
aesthetic	æstetisk	0.708	0.442	0.526
aesthetics	æstetik	0.847	0.327	0.549
aetiology	ætiologi	0.480	0.398	0.615
afar	langvejs	0.396	0.373	0.358
affable	flink	0.704	0.380	0.452
affair	affære	0.520	0.459	0.657
affect	påvirke	0.458	0.569	0.578
affecting	påvirker	0.350	0.574	0.394
affection	kærlighed	0.898	0.559	0.696
affectionate	kærlig	0.949	0.422	0.550
affections	følelser	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	erklæring	0.469	0.584	0.526
affiliated	tilknyttet	0.673	0.519	0.535
affiliation	tilknytning	0.615	0.594	0.500
affinity	tilhørsforhold	0.800	0.500	0.537
affirm	bekræfte	0.745	0.509	0.731
affirmation	bekræftelse	0.750	0.500	0.689
affirmative	bekræftende	0.854	0.589	0.816
affirmatively	bekræftende	0.908	0.500	0.811
affix	anbringe	0.438	0.335	0.411
afflict	plage	0.302	0.555	0.293
afflicted	ramt	0.271	0.500	0.167
affliction	lidelse	0.294	0.635	0.392
affluence	overflod	0.663	0.618	0.722
affluent	velhavende	0.756	0.388	0.477
afford	har råd til	0.571	0.580	0.575
affordable	overkommelige	0.840	0.398	0.493
affront	krænkelse	0.327	0.740	0.547
affronted	fornærmet	0.385	0.750	0.527
afield	væk	0.594	0.370	0.373
afire	en ild	0.367	0.904	0.675
afloat	oven vande	0.602	0.427	0.444
afore	Afore	0.500	0.337	0.382
aforementioned	førnævnte	0.490	0.316	0.408
aforesaid	førnævnte	0.531	0.358	0.478
afraid	bange	0.010	0.775	0.245
afresh	på ny	0.643	0.521	0.480
african	afrikansk	0.490	0.423	0.555
aft	agterste	0.480	0.417	0.518
afterlife	efterliv	0.571	0.567	0.568
aftermath	kølvandet	0.312	0.449	0.444
afternoon	eftermiddag	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	eftersmag	0.354	0.362	0.455
afterthought	eftertanke	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agat	0.540	0.377	0.483
age	alder	0.561	0.226	0.498
aged	alderen	0.135	0.365	0.236
agency	bureau	0.460	0.296	0.583
agenda	dagsorden	0.531	0.296	0.553
agent	agent	0.480	0.439	0.755
agglomeration	agglomerering	0.450	0.765	0.509
aggravate	forværre	0.224	0.770	0.464
aggravated	forværret	0.079	0.760	0.430
aggravates	forværrer	0.108	0.778	0.357
aggravating	forværret	0.257	0.794	0.640
aggravation	forværring	0.071	0.784	0.613
aggregate	aggregat	0.730	0.378	0.556
aggregation	aggregering	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	aggression	0.094	0.929	0.533
aggressive	aggressiv	0.125	0.949	0.648
aggressively	aggressivt	0.250	0.926	0.688
aggressiveness	aggressivitet	0.077	0.913	0.648
aggressor	aggressor	0.146	0.948	0.823
agh	AGH	0.260	0.500	0.400
aghast	forfærdet	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	adræt	0.800	0.657	0.775
agility	smidighed	0.720	0.702	0.815
aging	aldrende	0.214	0.255	0.284
agitate	agitere	0.300	0.796	0.593
agitated	ophidsede	0.444	0.882	0.491
agitation	agitation	0.240	0.931	0.447
aglow	gløder	0.780	0.510	0.797
agnostic	agnostiker	0.306	0.396	0.574
ago	siden	0.317	0.280	0.404
agonizing	pinefuld	0.083	0.800	0.340
agony	smerte	0.083	0.775	0.393
agoraphobia	agorafobi	0.127	0.712	0.438
agree	enig	0.906	0.260	0.545
agreeable	behagelig	0.906	0.500	0.696
agreed	aftalt	0.797	0.449	0.574
agreeing	enige	0.854	0.480	0.557
agreement	aftale	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	landbrugs	0.686	0.321	0.473
agriculture	landbrug	0.640	0.357	0.465
aground	grundstødte	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	foran	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ohøj	0.500	0.497	0.380
aid	hjælpe	0.796	0.491	0.541
aide	aide	0.724	0.342	0.434
aiding	medvirken	0.643	0.533	0.569
aids	hjælpemidler	0.561	0.480	0.500
ail	Ail	0.375	0.434	0.385
ailing	skrantende	0.094	0.518	0.153
ailment	lidelse	0.146	0.734	0.277
aim	sigte	0.481	0.569	0.567
aimless	formålsløs	0.150	0.267	0.183
air	luft	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	luftbårne	0.542	0.519	0.385
aircraft	fly	0.646	0.644	0.691
aircraft carrier	luftfartsselskab	0.490	0.740	0.727
airfield	flyveplads	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	luftbro	0.573	0.622	0.642
airline	flyselskab	0.650	0.482	0.688
airliner	passagerfly	0.667	0.777	0.647
airlock	luftsluse	0.398	0.520	0.447
airman	flyveren	0.587	0.716	0.721
airplane	fly	0.719	0.702	0.708
airport	lufthavn	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	luftskib	0.542	0.472	0.529
airspace	luftrum	0.562	0.510	0.640
airspeed	flyvehastighed	0.583	0.780	0.544
airstrip	landingsbane	0.550	0.690	0.649
airtight	lufttæt	0.479	0.381	0.570
airway	luftveje	0.638	0.585	0.482
aisle	midtergang	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	beslægtet	0.639	0.343	0.523
alabaster	alabast	0.542	0.404	0.445
alarm	alarm	0.241	0.882	0.698
alarm clock	vækkeur	0.542	0.727	0.642
alarmed	alarmeret	0.188	0.822	0.492
alarming	alarmerende	0.204	0.890	0.585
alas	ak	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	Albatrossen	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alkymi	0.541	0.583	0.693
alcohol	alkohol	0.323	0.667	0.377
alcoholic	alkoholiker	0.153	0.688	0.361
alcoholism	alkoholisme	0.061	0.779	0.407
alcove	alkove	0.490	0.340	0.356
alderman	rådmand	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	alert	0.479	0.820	0.648
alertness	årvågenhed	0.375	0.875	0.750
alerts	advarsler	0.337	0.804	0.673
alfalfa	lucerne	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebraisk	0.531	0.412	0.441
algorithm	algoritme	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	alien	0.410	0.615	0.491
alienate	fremmedgøre	0.247	0.500	0.523
alienated	fremmedgjorte	0.410	0.423	0.559
alienation	fremmedgørelse	0.378	0.530	0.462
alight	stå af	0.667	0.657	0.605
align	tilpasse	0.656	0.364	0.627
aligned	aligned	0.583	0.275	0.553
alignment	justering	0.643	0.412	0.683
alike	ens	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	underholdsbidrag	0.612	0.477	0.464
aliquot	portion	0.440	0.310	0.404
alive	i live	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloider	0.433	0.562	0.402
allay	dæmpe	0.417	0.406	0.398
allegation	påstand	0.578	0.578	0.608
allege	påstår	0.418	0.482	0.587
alleged	påståede	0.365	0.522	0.520
allegiance	troskab	0.917	0.398	0.750
allegorical	allegorisk	0.517	0.558	0.598
allegory	allegori	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allergisk	0.135	0.549	0.273
allergy	allergi	0.296	0.606	0.389
alleviate	lindre	0.869	0.270	0.528
alleviation	lindring	0.735	0.200	0.491
alley	gyde	0.347	0.500	0.355
alleyway	gyde	0.357	0.471	0.382
alliance	alliance	0.696	0.473	0.769
allied	allieret	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	tildele	0.673	0.462	0.672
allocation	tildeling	0.604	0.388	0.679
allot	tildele	0.622	0.481	0.616
allotment	tildeling	0.600	0.390	0.640
allow	give lov til	0.698	0.429	0.538
allowable	tilladelige	0.698	0.500	0.561
allowance	godtgørelse	0.673	0.382	0.591
allowed	tilladt	0.730	0.360	0.655
alloy	legering	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	lokke	0.804	0.585	0.686
alluring	dragende	0.837	0.745	0.843
allusion	hentydning	0.440	0.308	0.462
alluvial	alluviale	0.323	0.490	0.491
ally	allieret	0.792	0.320	0.688
almanac	almanak	0.688	0.190	0.412
almighty	almægtig	0.938	0.874	0.958
almond	mandel	0.698	0.183	0.314
aloft	vejrs	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	alene	0.333	0.167	0.216
alongside	langs med	0.458	0.333	0.347
aloof	tilknappet	0.189	0.423	0.302
aloud	højt	0.458	0.713	0.750
alpha	alfa	0.708	0.340	0.755
alphabet	alfabet	0.562	0.204	0.672
alphabetical	alfabetisk	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	alter	0.724	0.387	0.635
altar boy	alter dreng	0.434	0.206	0.350
alter	ændre	0.333	0.694	0.654
alteration	ændring	0.167	0.798	0.609
altercation	skænderi	0.170	0.806	0.500
altered	ændret	0.255	0.765	0.500
alternate	skifte	0.625	0.363	0.589
alternating	skiftevis	0.480	0.494	0.542
alternative	alternativ	0.628	0.373	0.631
altimeter	højdemåler	0.615	0.510	0.580
altitude	højde	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	helt	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	alumne	0.633	0.368	0.422
alveolar	alveolær	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgam	0.438	0.333	0.510
amalgamation	sammenlægning	0.406	0.470	0.531
amaretto	amaretto	0.543	0.551	0.375
amass	samle	0.552	0.465	0.465
amateur	amatør	0.469	0.500	0.409
amaze	forbløffe	0.896	0.843	0.783
amazed	forbløffet	0.796	0.779	0.533
amazedness	amazedness	0.827	0.872	0.510
amazement	forbløffelse	0.750	0.800	0.639
amazing	fantastiske	0.906	0.837	0.849
amazingly	forbavsende	0.918	0.765	0.920
ambassador	ambassadør	0.651	0.529	0.917
amber	rav	0.635	0.308	0.369
ambience	stemning	0.735	0.356	0.426
ambient	omgivende	0.625	0.360	0.582
ambiguity	tvetydighed	0.164	0.460	0.370
ambiguous	tvetydig	0.265	0.462	0.358
ambit	anvendelsesområde	0.479	0.380	0.386
ambition	ambition	0.510	0.804	0.661
ambitious	ambitiøs	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambulance	0.500	0.750	0.609
ambush	baghold	0.281	0.830	0.500
ameliorate	lindre	0.770	0.548	0.747
amen	Amen	0.781	0.182	0.542
amenable	modtagelig	0.448	0.410	0.406
amend	ændre	0.688	0.406	0.658
amendment	ændring	0.531	0.459	0.606
amends	godt igen	0.640	0.366	0.517
amenity	rekreative områder	0.750	0.327	0.574
amethyst	ametyst	0.622	0.406	0.517
amiable	elskværdig	0.847	0.290	0.483
amicable	venskabelig	0.875	0.330	0.507
amid	midt	0.510	0.340	0.256
amidst	midt	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammunition	0.323	0.765	0.621
ammonia	ammoniak	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	ammunition	0.338	0.635	0.667
amnesia	amnesi	0.296	0.330	0.308
amnesty	amnesti	0.551	0.451	0.814
amorous	kælen	0.844	0.670	0.636
amorphous	amorf	0.327	0.402	0.349
amortization	amortisering	0.592	0.491	0.522
amount	beløb	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	og-tegn	0.480	0.448	0.483
amphetamines	amfetamin	0.133	0.667	0.526
amphibian	padde	0.427	0.357	0.474
amphibious	amfibie	0.479	0.346	0.445
amphitheater	amfiteater	0.653	0.480	0.545
ample	rigelig	0.744	0.349	0.719
amplification	amplifikation	0.690	0.677	0.810
amplify	forstærke	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	rigeligt	0.781	0.431	0.766
amputate	amputere	0.092	0.660	0.509
amputation	amputation	0.100	0.755	0.483
amuck	amuck	0.385	0.602	0.321
amulet	amulet	0.781	0.260	0.630
amuse	underholde	0.812	0.684	0.664
amused	morede	0.942	0.847	0.596
amusement	underholdning	0.929	0.837	0.803
amusing	underholdende	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anæstesi	0.350	0.217	0.473
anaesthetic	bedøvelsesmiddel	0.449	0.268	0.509
anagram	anagram	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	smertestillende	0.417	0.321	0.441
analogous	analog	0.531	0.270	0.500
analogue	analog	0.570	0.320	0.446
analogy	analogi	0.510	0.367	0.509
analysis	analyse	0.729	0.448	0.705
analyst	analytiker	0.604	0.415	0.755
analytic	analytisk	0.665	0.521	0.634
analytical	analytisk	0.625	0.324	0.800
analyze	analysere	0.667	0.462	0.710
analyzer	analysator	0.625	0.556	0.854
anaphylactic	anafylaktisk	0.378	0.588	0.500
anarchism	anarkisme	0.125	0.804	0.623
anarchist	anarkist	0.204	0.700	0.759
anarchy	anarki	0.146	0.755	0.620
anastomosis	anastomose	0.375	0.470	0.490
anathema	bandlyst	0.286	0.490	0.519
anatomic	anatomisk	0.562	0.442	0.546
anatomy	anatomi	0.562	0.390	0.571
