Word	Malayalam-ml	Valence	Arousal	Dominance
acquittal	ഉന്മൂലനം	0.760	0.497	0.700
acre	ഏക്കർ	0.583	0.387	0.423
acreage	ഏക്കർ	0.741	0.450	0.528
acres	ഏക്കർ	0.510	0.363	0.500
acrobat	അക്രോബാറ്റ്	0.708	0.828	0.602
acrylic	അക്രിലിക്	0.582	0.279	0.420
act	പ്രവർത്തിക്കുക	0.656	0.704	0.735
acting	അഭിനയം	0.698	0.643	0.500
action	പ്രവർത്തനം	0.760	0.898	0.802
action figure	ആക്ഷൻ വ്യക്തിത്വമായി	0.615	0.774	0.611
actionable	actionable	0.673	0.702	0.613
activate	സജീവമാക്കുക	0.764	0.650	0.806
activation	സജീവമാക്കൽ	0.781	0.800	0.754
active	സജീവമാണ്	0.847	0.730	0.731
activist	ആക്റ്റിവിസ്റ്റ്	0.531	0.653	0.877
activity	പ്രവർത്തനം	0.701	0.660	0.807
actor	നടൻ	0.653	0.561	0.629
actress	നടി	0.633	0.556	0.596
actual	യഥാർത്ഥമായത്	0.729	0.400	0.716
actuality	യഥാർത്ഥ്യം	0.750	0.464	0.600
actuary	actuary	0.510	0.404	0.491
acuity	വന്ധ്യത	0.469	0.378	0.741
acumen	വക്രം	0.564	0.660	0.679
acupuncture	അക്യുപങ്ചർ	0.531	0.324	0.549
acute	നിശിതം	0.427	0.652	0.534
acutely	കഠിനമായി	0.417	0.543	0.491
ad	പരസ്യം	0.521	0.705	0.558
adage	സദാചാരം	0.517	0.415	0.566
adamant	സമ്മതിക്കുന്നു	0.344	0.529	0.575
adapt	അനുരൂപമാക്കുക	0.740	0.355	0.551
adaptable	വഴക്കമുള്ള	0.735	0.423	0.641
adaptation	അനുകൂലനം	0.663	0.365	0.609
add	ചേർക്കുക	0.728	0.490	0.554
added	ചേർത്തു	0.562	0.405	0.509
addendum	അനുബന്ധം	0.392	0.370	0.418
adder	ആഡ്	0.388	0.461	0.588
addict	അടിമക്ക്	0.075	0.696	0.327
addicted	അടിമയായി	0.156	0.712	0.483
addiction	ആസക്തി	0.180	0.806	0.420
addictive	അടിമത്തം	0.302	0.683	0.472
addition	കൂടാതെ	0.562	0.373	0.471
additional	അധികമായി	0.673	0.462	0.526
additive	സങ്കലനം	0.561	0.633	0.691
address	വിലാസം	0.650	0.327	0.567
addressee	അഭിഭാഷകൻ	0.622	0.382	0.538
addresses	വിലാസങ്ങൾ	0.510	0.354	0.450
adept	പാവം	0.594	0.539	0.789
adequacy	പര്യാപ്തത	0.615	0.435	0.702
adequate	മതിയായ	0.854	0.264	0.705
adhere	അനുസരിക്കുക	0.633	0.339	0.554
adherence	അനുസരിക്കുക	0.760	0.307	0.630
adherent	സഹജമായ	0.561	0.385	0.555
adhering	കീഴ്പെടൽ	0.612	0.561	0.537
adhesion	അഡീഷൻ	0.521	0.445	0.586
adhesive	ഒട്ടിപ്പിടിക്കുന്ന	0.604	0.350	0.413
adieu	ആദിത്യ	0.250	0.471	0.342
adipose	മദ്യം	0.333	0.350	0.391
adjacency	അടുപ്പം	0.365	0.417	0.375
adjacent	സമീപം	0.645	0.276	0.536
adjective	നാമവിശേഷണം	0.570	0.316	0.569
adjoining	പരിസരം	0.520	0.400	0.393
adjourn	നിർവ്വഹിക്കുക	0.385	0.456	0.475
adjournment	വിഭജനം	0.438	0.510	0.370
adjudicate	തീർപ്പു കൽപ്പിക്കുക	0.559	0.520	0.683
adjudication	തീർപ്പാക്കൽ	0.551	0.462	0.691
adjunct	അനുബന്ധം	0.459	0.440	0.426
adjust	ക്രമീകരിക്കുക	0.647	0.327	0.638
adjuster	adjuster	0.510	0.540	0.760
adjustment	ക്രമീകരണം	0.590	0.520	0.661
adjuvant	അദ്ഭുതം	0.510	0.500	0.456
admin	അഡ്മിൻ	0.688	0.420	0.854
administer	നിയന്ത്രിക്കുക	0.635	0.425	0.860
administration	ഭരണകൂടം	0.625	0.404	0.786
administrative	ഭരണപരമായ	0.542	0.415	0.579
administrator	അഡ്മിനിസ്ട്രേറ്റർ	0.538	0.480	0.902
admirable	പ്രശംസനീയമായ	0.929	0.600	0.870
admiral	അഡ്മിറൽ	0.844	0.490	0.847
admiralty	അഡ്മിറോൾ	0.594	0.547	0.733
admiration	പ്രശംസ	0.969	0.583	0.726
admire	അഭിനന്ദിക്കുക	0.867	0.692	0.704
admired	അഭിനന്ദിച്ചു	0.917	0.560	0.815
admirer	ആരാധകനാണ്	0.796	0.720	0.650
admiring	ആമിക്കുന്നു	0.867	0.578	0.629
admissibility	സമ്മതം	0.802	0.580	0.602
admissible	സ്വീകാര്യമായ	0.780	0.528	0.642
admission	പ്രവേശനം	0.802	0.415	0.732
admit	സമ്മതിക്കുക	0.538	0.423	0.667
admittance	അഡ്മിറ്റ്	0.690	0.451	0.598
admitted	പ്രവേശിപ്പിച്ചു	0.720	0.490	0.767
admitting	സമ്മതിക്കുന്നു	0.620	0.500	0.546
admixture	സമ്മതിക്കുന്നു	0.450	0.375	0.438
admonition	ഉപദേശം	0.357	0.606	0.455
ado	ആഡോ	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	കൗമാരം	0.487	0.694	0.444
adolescent	യുവാക്കൾ	0.781	0.680	0.509
adopt	ദത്തെടുക്കുക	0.694	0.612	0.701
adoption	ദത്തെടുക്കൽ	0.625	0.566	0.589
adoptive	ദത്തെടുക്കാൻ	0.531	0.469	0.520
adorable	വശ്യമായ	0.969	0.519	0.457
adoration	ആരാധന	0.885	0.699	0.708
adore	ആരാധിക്കുക	0.854	0.438	0.657
adoring	ആഹ്വാനം ചെയ്യുക	0.885	0.620	0.717
adorn	അലങ്കരിക്കുന്നു	0.910	0.424	0.482
adornment	അലങ്കാരം	0.918	0.373	0.377
adrenalin	അഡ്രനലിൻ	0.865	0.920	0.786
adrenaline	അഡ്രിനാലിൻ	0.765	0.965	0.825
adrift	അഭിവൃദ്ധി	0.398	0.486	0.230
adult	മുതിർന്നവർ	0.815	0.491	0.787
adulterated	കളങ്കമുണ്ടാക്കി	0.188	0.865	0.370
adulterer	വ്യഭിചാരം	0.229	0.814	0.407
adultery	വ്യഭിചാരം	0.120	0.922	0.510
adulthood	പ്രായപൂർത്തിയായവർ	0.541	0.454	0.652
advance	മുൻകൂർ	0.673	0.472	0.858
advanced	പുരോഗമിക്കുന്നു	0.844	0.623	0.797
advancement	പുരോഗതി	0.776	0.650	0.839
advancing	മുന്നേറുന്നു	0.929	0.608	0.812
advantage	പ്രയോജനം	0.917	0.548	0.859
advantageous	പ്രയോജനകരമായ	0.837	0.640	0.789
advent	ആഘോഷം	0.665	0.560	0.627
adventure	സാഹസികത	0.917	0.857	0.710
adventurer	സാഹസികൻ	0.781	0.839	0.868
adventures	സാഹസികത	0.812	0.764	0.749
adventurous	സാഹസികത	0.969	0.898	0.722
adversary	എതിരാളി	0.349	0.777	0.457
adverse	പ്രതികൂലമായ	0.323	0.610	0.385
adversity	ഉപദ്രവം	0.276	0.760	0.538
advertise	പരസ്യം ചെയ്യുക	0.500	0.529	0.580
advertisement	പരസ്യം	0.600	0.566	0.539
advertising	പരസ്യം ചെയ്യൽ	0.622	0.608	0.632
adverts	adverts	0.551	0.500	0.595
advice	ഉപദേശം	0.698	0.408	0.688
advisable	ഉചിതമാണ്	0.867	0.480	0.510
advise	ഉപദേശിക്കുക	0.760	0.393	0.705
advised	ഉപദേശിച്ചു	0.823	0.330	0.509
advisement	ഉപദേശം	0.698	0.235	0.655
adviser	ഉപദേഷ്ടാവ്	0.745	0.362	0.705
advisor	ഉപദേഷ്ടാവ്	0.646	0.350	0.689
advisory	ഉപദേശം	0.656	0.429	0.633
advocacy	വക്കീൽ	0.500	0.646	0.731
advocate	അഭിഭാഷകൻ	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	വായുക്രമീകരണം	0.550	0.500	0.433
aerial	ഏരിയൽ	0.615	0.461	0.463
aerobics	എയറോബിക്സ്	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	എയറോഡൈനാമിക്	0.561	0.724	0.728
aerodynamics	എയറോഡൈനാമിക്സ്	0.590	0.663	0.722
aeronautics	എയറോനോട്ടിക്സ്	0.551	0.633	0.688
aeroplane	വിമാനം	0.714	0.642	0.644
aerospace	എയറോസ്പേസ്	0.643	0.520	0.779
aesthetic	സൗന്ദര്യശാസ്ത്രം	0.708	0.442	0.526
aesthetics	സൗന്ദര്യശാസ്ത്രം	0.847	0.327	0.549
aetiology	ഇത്തിസോളജി	0.480	0.398	0.615
afar	ദൂരെ	0.396	0.373	0.358
affable	സഹതാപം	0.704	0.380	0.452
affair	ബന്ധം	0.520	0.459	0.657
affect	ബാധിക്കുന്നു	0.458	0.569	0.578
affecting	ബാധിക്കുന്നു	0.350	0.574	0.394
affection	സ്നേഹം	0.898	0.559	0.696
affectionate	വാത്സല്യം	0.949	0.422	0.550
affections	സ്നേഹവും	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	സത്യവാങ്മൂലം	0.469	0.584	0.526
affiliated	അഫിലിയേറ്റഡ്	0.673	0.519	0.535
affiliation	ബന്ധം	0.615	0.594	0.500
affinity	ബന്ധം	0.800	0.500	0.537
affirm	ഉറപ്പുപറയുക	0.745	0.509	0.731
affirmation	ഉറപ്പിക്കൽ	0.750	0.500	0.689
affirmative	ഉറപ്പാണ്	0.854	0.589	0.816
affirmatively	ഉറപ്പിച്ചുപറയുന്നു	0.908	0.500	0.811
affix	affix	0.438	0.335	0.411
afflict	പീഡിപ്പിക്കുക	0.302	0.555	0.293
afflicted	പീഡനം	0.271	0.500	0.167
affliction	കഷ്ടത	0.294	0.635	0.392
affluence	സമ്പത്ത്	0.663	0.618	0.722
affluent	സമ്പന്നമായ	0.756	0.388	0.477
afford	താങ്ങാൻ	0.571	0.580	0.575
affordable	താങ്ങാവുന്ന വില	0.840	0.398	0.493
affront	അസ്വാസ്ഥ്യം	0.327	0.740	0.547
affronted	ആക്രോശിച്ചു	0.385	0.750	0.527
afield	ദൂരെ	0.594	0.370	0.373
afire	തീ	0.367	0.904	0.675
afloat	ചുറ്റിക്കറങ്ങുന്നു	0.602	0.427	0.444
afore	മുമ്പ്	0.500	0.337	0.382
aforementioned	മുൻപറഞ്ഞത്	0.490	0.316	0.408
aforesaid	മുൻപറഞ്ഞത്	0.531	0.358	0.478
afraid	ഭയപ്പെട്ടു	0.010	0.775	0.245
afresh	പുതുതായി	0.643	0.521	0.480
african	ആഫ്രിക്കൻ	0.490	0.423	0.555
aft	പിന്നോക്കം	0.480	0.417	0.518
afterlife	മരണാനന്തര ജീവിതം	0.571	0.567	0.568
aftermath	പരിണതഫലങ്ങൾ	0.312	0.449	0.444
afternoon	ഉച്ചകഴിഞ്ഞ്	0.533	0.388	0.339
aftershave	ആഫ്റ്റർ ഷേവ്	0.406	0.384	0.415
aftertaste	പിന്നീടുള്ളത്	0.354	0.362	0.455
afterthought	അതിന്റെ പിന്നാലെ കടന്നുവരുക;	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	അഗപ്പേ	0.612	0.529	0.464
agate	അജാത	0.540	0.377	0.483
age	പ്രായം	0.561	0.226	0.498
aged	പ്രായമായ	0.135	0.365	0.236
agency	ഏജൻസി	0.460	0.296	0.583
agenda	അജണ്ട	0.531	0.296	0.553
agent	ഏജന്റ്	0.480	0.439	0.755
agglomeration	സമാഹരണം	0.450	0.765	0.509
aggravate	വഷളാകുക	0.224	0.770	0.464
aggravated	വർദ്ധിച്ചു	0.079	0.760	0.430
aggravates	വർദ്ധിക്കുന്നു	0.108	0.778	0.357
aggravating	ഉപദ്രവിക്കൽ	0.257	0.794	0.640
aggravation	ഉപദ്രവിക്കൽ	0.071	0.784	0.613
aggregate	ആകെത്തുകയായുള്ള	0.730	0.378	0.556
aggregation	സമാഹരണം	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	ആക്രമണം	0.094	0.929	0.533
aggressive	ആക്രമണാത്മക	0.125	0.949	0.648
aggressively	വളരെയധികം	0.250	0.926	0.688
aggressiveness	ആക്രമണം	0.077	0.913	0.648
aggressor	ആക്രമണകാരി	0.146	0.948	0.823
agh	എ	0.260	0.500	0.400
aghast	ആവേശത്തോടെ	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	വേഗമേറിയ	0.800	0.657	0.775
agility	ഉപദ്രവം	0.720	0.702	0.815
aging	വൃദ്ധരായ	0.214	0.255	0.284
agitate	അലോചിക്കുക	0.300	0.796	0.593
agitated	ആശ്ചര്യപ്പെട്ടു	0.444	0.882	0.491
agitation	പ്രക്ഷോഭം	0.240	0.931	0.447
aglow	മയക്കമരുന്ന്	0.780	0.510	0.797
agnostic	അജ്ഞ്ഞേയവാദി	0.306	0.396	0.574
ago	മുമ്പ്	0.317	0.280	0.404
agonizing	വേദനാജനകമാണ്	0.083	0.800	0.340
agony	യാതന	0.083	0.775	0.393
agoraphobia	അഗോറോഫോബിയ	0.127	0.712	0.438
agree	സമ്മതിക്കുന്നു	0.906	0.260	0.545
agreeable	അനുയോജ്യമാണ്	0.906	0.500	0.696
agreed	സമ്മതിച്ചു	0.797	0.449	0.574
agreeing	സമ്മതിക്കുന്നു	0.854	0.480	0.557
agreement	കരാർ	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	കൃഷി	0.686	0.321	0.473
agriculture	കൃഷി	0.640	0.357	0.465
aground	തുരങ്കം	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	മുന്നോട്ട്	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	അഹാ	0.500	0.497	0.380
aid	സഹായം	0.796	0.491	0.541
aide	സഹായി	0.724	0.342	0.434
aiding	സഹായിക്കുന്നു	0.643	0.533	0.569
aids	സഹായിക്കുന്നു	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	രോഗബാധിതനാണ്	0.094	0.518	0.153
ailment	രോഗം	0.146	0.734	0.277
aim	ലക്ഷ്യം	0.481	0.569	0.567
aimless	ലക്ഷ്യമില്ലാതെ	0.150	0.267	0.183
air	വായൂ	0.708	0.163	0.427
airbag	എയർ ബാഗ്	0.510	0.402	0.433
airborne	വായു	0.542	0.519	0.385
aircraft	വിമാനം	0.646	0.644	0.691
aircraft carrier	വിമാനവാഹിനിക്കപ്പല്	0.490	0.740	0.727
airfield	എയർഫീൽഡ്	0.601	0.650	0.645
airhead	എയർ ഹെഡ്	0.271	0.481	0.276
airlift	എയർലൈൻസ്	0.573	0.622	0.642
airline	എയർലൈൻ	0.650	0.482	0.688
airliner	വിമാനം	0.667	0.777	0.647
airlock	ചുഴലിക്കാറ്റ്	0.398	0.520	0.447
airman	എയർമാൻ	0.587	0.716	0.721
airplane	വിമാനം	0.719	0.702	0.708
airport	വിമാനത്താവളം	0.729	0.684	0.682
airs	ഓടുന്നു	0.583	0.196	0.370
airship	ആകാശം	0.542	0.472	0.529
airspace	വായുമണ്ഡലം	0.562	0.510	0.640
airspeed	എയർസ്പീപ്	0.583	0.780	0.544
airstrip	എയർസ്ട്രിപ്	0.550	0.690	0.649
airtight	വായുമണ്ഡലം	0.479	0.381	0.570
airway	വായുസഞ്ചാരം	0.638	0.585	0.482
aisle	ഇടനാഴി	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	സമാനമായ	0.639	0.343	0.523
alabaster	അലാറം	0.542	0.404	0.445
alarm	അലാറം	0.241	0.882	0.698
alarm clock	അലാറം ക്ലോക്ക്	0.542	0.727	0.642
alarmed	അസ്വസ്ഥരാകുന്നു	0.188	0.822	0.492
alarming	ഭയങ്കരമായ	0.204	0.890	0.585
alas	അയ്യോ	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	ആൽബർട്ട്സ്	0.500	0.445	0.527
albino	അൽബിനോ	0.500	0.240	0.358
album	ആൽബം	0.635	0.349	0.453
alchemy	ആൽക്കെമി	0.541	0.583	0.693
alcohol	മദ്യം	0.323	0.667	0.377
alcoholic	മദ്യപാനം	0.153	0.688	0.361
alcoholism	മദ്യപാനം	0.061	0.779	0.407
alcove	അൽക്കോവ	0.490	0.340	0.356
alderman	അദേഹം	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	ജാഗ്രത	0.479	0.820	0.648
alertness	ജാഗ്രത	0.375	0.875	0.750
alerts	അലേർട്ടുകൾ	0.337	0.804	0.673
alfalfa	അൽഫാൽഫ	0.546	0.250	0.311
algebra	ബീജഗണിതം	0.440	0.340	0.565
algebraic	ബീജീയ	0.531	0.412	0.441
algorithm	അൽഗോരിതം	0.448	0.394	0.559
alias	അപരനാമം	0.541	0.353	0.333
alibi	ആലിബി	0.396	0.528	0.556
alien	അന്യൻ	0.410	0.615	0.491
alienate	അന്യഗ്രഹിക്കുക	0.247	0.500	0.523
alienated	അന്യഗ്രഹിച്ചു	0.410	0.423	0.559
alienation	അന്യവൽക്കരണം	0.378	0.530	0.462
alight	ഇറങ്ങുക	0.667	0.657	0.605
align	വിന്യസിക്കുക	0.656	0.364	0.627
aligned	വിന്യസിക്കുക	0.583	0.275	0.553
alignment	വിന്യാസം	0.643	0.412	0.683
alike	ഒരുപോലെ	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	ജീവനാംശം	0.612	0.477	0.464
aliquot	അലക്വോട്ട്	0.440	0.310	0.404
alive	ജീവനോടെ	0.816	0.637	0.731
alkali	ക്ഷാരം	0.490	0.350	0.408
alkaloids	ആൽക്കയോയിഡുകൾ	0.433	0.562	0.402
allay	എല്ലാ ദിവസവും	0.417	0.406	0.398
allegation	ആരോപണം	0.578	0.578	0.608
allege	ആരോപണം	0.418	0.482	0.587
