Word	French-fr	Valence	Arousal	Dominance
adjudicate	juger	0.559	0.520	0.683
adjudication	arbitrage	0.551	0.462	0.691
adjunct	auxiliaire	0.459	0.440	0.426
adjust	régler	0.647	0.327	0.638
adjuster	ajusteur	0.510	0.540	0.760
adjustment	ajustement	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	administrateur	0.688	0.420	0.854
administer	administrer	0.635	0.425	0.860
administration	administration	0.625	0.404	0.786
administrative	administratif	0.542	0.415	0.579
administrator	administrateur	0.538	0.480	0.902
admirable	admirable	0.929	0.600	0.870
admiral	amiral	0.844	0.490	0.847
admiralty	amirauté	0.594	0.547	0.733
admiration	admiration	0.969	0.583	0.726
admire	admirer	0.867	0.692	0.704
admired	admiré	0.917	0.560	0.815
admirer	admirateur	0.796	0.720	0.650
admiring	admiratif	0.867	0.578	0.629
admissibility	admissibilité	0.802	0.580	0.602
admissible	admissible	0.780	0.528	0.642
admission	admission	0.802	0.415	0.732
admit	admettre	0.538	0.423	0.667
admittance	admission	0.690	0.451	0.598
admitted	admis	0.720	0.490	0.767
admitting	admettant	0.620	0.500	0.546
admixture	mélange	0.450	0.375	0.438
admonition	admonition	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	adolescence	0.487	0.694	0.444
adolescent	adolescent	0.781	0.680	0.509
adopt	adopter	0.694	0.612	0.701
adoption	adoption	0.625	0.566	0.589
adoptive	adoptif	0.531	0.469	0.520
adorable	adorable	0.969	0.519	0.457
adoration	adoration	0.885	0.699	0.708
adore	adorer	0.854	0.438	0.657
adoring	adorer	0.885	0.620	0.717
adorn	orner	0.910	0.424	0.482
adornment	ornement	0.918	0.373	0.377
adrenalin	adrénaline	0.865	0.920	0.786
adrenaline	adrénaline	0.765	0.965	0.825
adrift	à la dérive	0.398	0.486	0.230
adult	adulte	0.815	0.491	0.787
adulterated	frelaté	0.188	0.865	0.370
adulterer	adultère	0.229	0.814	0.407
adultery	adultère	0.120	0.922	0.510
adulthood	l'âge adulte	0.541	0.454	0.652
advance	avance	0.673	0.472	0.858
advanced	Avancée	0.844	0.623	0.797
advancement	avancement	0.776	0.650	0.839
advancing	avancer	0.929	0.608	0.812
advantage	avantage	0.917	0.548	0.859
advantageous	avantageux	0.837	0.640	0.789
advent	avènement	0.665	0.560	0.627
adventure	aventure	0.917	0.857	0.710
adventurer	aventurier	0.781	0.839	0.868
adventures	aventures	0.812	0.764	0.749
adventurous	aventureux	0.969	0.898	0.722
adversary	adversaire	0.349	0.777	0.457
adverse	négatif	0.323	0.610	0.385
adversity	adversité	0.276	0.760	0.538
advertise	afficher	0.500	0.529	0.580
advertisement	publicité	0.600	0.566	0.539
advertising	La publicité	0.622	0.608	0.632
adverts	Annonces	0.551	0.500	0.595
advice	Conseil	0.698	0.408	0.688
advisable	conseillé	0.867	0.480	0.510
advise	conseiller	0.760	0.393	0.705
advised	informé	0.823	0.330	0.509
advisement	conseil	0.698	0.235	0.655
adviser	conseiller	0.745	0.362	0.705
advisor	conseiller	0.646	0.350	0.689
advisory	consultatif	0.656	0.429	0.633
advocacy	plaidoyer	0.500	0.646	0.731
advocate	avocat	0.551	0.530	0.818
aegis	égide	0.490	0.439	0.462
aeration	aération	0.550	0.500	0.433
aerial	aérien	0.615	0.461	0.463
aerobics	aérobie	0.708	0.771	0.627
aerodrome	aérodrome	0.541	0.740	0.678
aerodynamic	aérodynamique	0.561	0.724	0.728
aerodynamics	aérodynamique	0.590	0.663	0.722
aeronautics	aéronautiques	0.551	0.633	0.688
aeroplane	avion	0.714	0.642	0.644
aerospace	aérospatial	0.643	0.520	0.779
aesthetic	esthétique	0.708	0.442	0.526
aesthetics	esthétique	0.847	0.327	0.549
aetiology	étiologie	0.480	0.398	0.615
afar	au loin	0.396	0.373	0.358
affable	affable	0.704	0.380	0.452
affair	affaire	0.520	0.459	0.657
affect	affecter	0.458	0.569	0.578
affecting	affectant	0.350	0.574	0.394
affection	affection	0.898	0.559	0.696
affectionate	affectueux	0.949	0.422	0.550
affections	affections	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	affidavit	0.469	0.584	0.526
affiliated	affilié	0.673	0.519	0.535
affiliation	affiliation	0.615	0.594	0.500
affinity	affinité	0.800	0.500	0.537
affirm	affirmer	0.745	0.509	0.731
affirmation	affirmation	0.750	0.500	0.689
affirmative	affirmative	0.854	0.589	0.816
affirmatively	affirmativement	0.908	0.500	0.811
affix	affixe	0.438	0.335	0.411
afflict	affliger	0.302	0.555	0.293
afflicted	affligé	0.271	0.500	0.167
affliction	affliction	0.294	0.635	0.392
affluence	richesse	0.663	0.618	0.722
affluent	affluent	0.756	0.388	0.477
afford	offrir	0.571	0.580	0.575
affordable	abordable	0.840	0.398	0.493
affront	affront	0.327	0.740	0.547
affronted	affronté	0.385	0.750	0.527
afield	un champ	0.594	0.370	0.373
afire	un feu	0.367	0.904	0.675
afloat	à flot	0.602	0.427	0.444
afore	avant	0.500	0.337	0.382
aforementioned	susmentionné	0.490	0.316	0.408
aforesaid	précité	0.531	0.358	0.478
afraid	peur	0.010	0.775	0.245
afresh	de nouveau	0.643	0.521	0.480
african	africain	0.490	0.423	0.555
aft	à l'arrière	0.480	0.417	0.518
afterlife	vie après la mort	0.571	0.567	0.568
aftermath	conséquences	0.312	0.449	0.444
afternoon	après midi	0.533	0.388	0.339
aftershave	après-rasage	0.406	0.384	0.415
aftertaste	arrière-goût	0.354	0.362	0.455
afterthought	après-coup	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	bouche bée	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	âge	0.561	0.226	0.498
aged	vieilli	0.135	0.365	0.236
agency	agence	0.460	0.296	0.583
agenda	ordre du jour	0.531	0.296	0.553
agent	agent	0.480	0.439	0.755
agglomeration	une agglomération	0.450	0.765	0.509
aggravate	aggraver	0.224	0.770	0.464
aggravated	aggravé	0.079	0.760	0.430
aggravates	aggrave	0.108	0.778	0.357
aggravating	aggravant	0.257	0.794	0.640
aggravation	aggravation	0.071	0.784	0.613
aggregate	agrégat	0.730	0.378	0.556
aggregation	agrégation	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	agression	0.094	0.929	0.533
aggressive	agressif	0.125	0.949	0.648
aggressively	agressivement	0.250	0.926	0.688
aggressiveness	agressivité	0.077	0.913	0.648
aggressor	agresseur	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	atterré	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	agilité	0.720	0.702	0.815
aging	vieillissement	0.214	0.255	0.284
agitate	agiter	0.300	0.796	0.593
agitated	agité	0.444	0.882	0.491
agitation	agitation	0.240	0.931	0.447
aglow	embrasé	0.780	0.510	0.797
agnostic	agnostique	0.306	0.396	0.574
ago	depuis	0.317	0.280	0.404
agonizing	angoissant	0.083	0.800	0.340
agony	agonie	0.083	0.775	0.393
agoraphobia	agoraphobie	0.127	0.712	0.438
agree	se mettre d'accord	0.906	0.260	0.545
agreeable	agréable	0.906	0.500	0.696
agreed	D'accord	0.797	0.449	0.574
agreeing	d'accord	0.854	0.480	0.557
agreement	accord	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	agricole	0.686	0.321	0.473
agriculture	agriculture	0.640	0.357	0.465
aground	échoué	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	devant	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	aide	0.796	0.491	0.541
aide	aide	0.724	0.342	0.434
aiding	aider	0.643	0.533	0.569
aids	sida	0.561	0.480	0.500
ail	tous	0.375	0.434	0.385
ailing	malade	0.094	0.518	0.153
ailment	maladie	0.146	0.734	0.277
aim	objectif	0.481	0.569	0.567
aimless	sans but	0.150	0.267	0.183
air	air	0.708	0.163	0.427
airbag	airbag	0.510	0.402	0.433
airborne	aéroporté	0.542	0.519	0.385
aircraft	avion	0.646	0.644	0.691
aircraft carrier	porte-avions	0.490	0.740	0.727
airfield	aérodrome	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	transport aérien	0.573	0.622	0.642
airline	Compagnie aérienne	0.650	0.482	0.688
airliner	avion de ligne	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	aviateur	0.587	0.716	0.721
airplane	avion	0.719	0.702	0.708
airport	aéroport	0.729	0.684	0.682
airs	airs	0.583	0.196	0.370
airship	dirigeable	0.542	0.472	0.529
airspace	espace aérien	0.562	0.510	0.640
airspeed	vitesse	0.583	0.780	0.544
airstrip	bande d'atterrissage	0.550	0.690	0.649
airtight	hermétique	0.479	0.381	0.570
airway	voie aérienne	0.638	0.585	0.482
aisle	rayon	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	alias	0.459	0.358	0.351
akin	proche	0.639	0.343	0.523
alabaster	albâtre	0.542	0.404	0.445
alarm	alarme	0.241	0.882	0.698
alarm clock	réveil	0.542	0.727	0.642
alarmed	alarmé	0.188	0.822	0.492
alarming	alarmant	0.204	0.890	0.585
alas	Hélas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatros	0.500	0.445	0.527
albino	albinos	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchimie	0.541	0.583	0.693
alcohol	de l'alcool	0.323	0.667	0.377
alcoholic	alcoolique	0.153	0.688	0.361
alcoholism	alcoolisme	0.061	0.779	0.407
alcove	alcôve	0.490	0.340	0.356
alderman	échevin	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	alerte	0.479	0.820	0.648
alertness	vigilance	0.375	0.875	0.750
alerts	alertes	0.337	0.804	0.673
alfalfa	luzerne	0.546	0.250	0.311
algebra	algèbre	0.440	0.340	0.565
algebraic	algébrique	0.531	0.412	0.441
algorithm	algorithme	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	extraterrestre	0.410	0.615	0.491
alienate	aliéner	0.247	0.500	0.523
alienated	aliéné	0.410	0.423	0.559
alienation	aliénation	0.378	0.530	0.462
alight	une lumière	0.667	0.657	0.605
align	aligner	0.656	0.364	0.627
aligned	aligné	0.583	0.275	0.553
alignment	alignement	0.643	0.412	0.683
alike	ressemblent	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	pension	0.612	0.477	0.464
aliquot	aliquote	0.440	0.310	0.404
alive	vivant	0.816	0.637	0.731
alkali	alcali	0.490	0.350	0.408
alkaloids	alcaloïdes	0.433	0.562	0.402
allay	allay	0.417	0.406	0.398
allegation	allégation	0.578	0.578	0.608
allege	alléguer	0.418	0.482	0.587
alleged	allégué	0.365	0.522	0.520
allegiance	allégeance	0.917	0.398	0.750
allegorical	allégorique	0.517	0.558	0.598
allegory	allégorie	0.615	0.580	0.509
allegro	allegro	0.635	0.627	0.453
allergic	allergique	0.135	0.549	0.273
allergy	allergie	0.296	0.606	0.389
alleviate	soulager	0.869	0.270	0.528
alleviation	allégement	0.735	0.200	0.491
alley	ruelle	0.347	0.500	0.355
alleyway	ruelle	0.357	0.471	0.382
alliance	Alliance	0.696	0.473	0.769
allied	allié	0.714	0.245	0.642
alligator	alligator	0.354	0.704	0.645
allocate	allouer	0.673	0.462	0.672
allocation	allocation	0.604	0.388	0.679
allot	attribuer	0.622	0.481	0.616
allotment	attribution	0.600	0.390	0.640
allow	permettre	0.698	0.429	0.538
allowable	admissible	0.698	0.500	0.561
allowance	allocation	0.673	0.382	0.591
allowed	permis	0.730	0.360	0.655
alloy	alliage	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	séduire	0.804	0.585	0.686
alluring	séduisant	0.837	0.745	0.843
allusion	allusion	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	allié	0.792	0.320	0.688
almanac	almanach	0.688	0.190	0.412
almighty	tout-puissant	0.938	0.874	0.958
almond	amande	0.698	0.183	0.314
aloft	en haut	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	seul	0.333	0.167	0.216
alongside	aux côtés de	0.458	0.333	0.347
aloof	distant	0.189	0.423	0.302
aloud	à haute voix	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	alphabet	0.562	0.204	0.672
alphabetical	alphabétique	0.537	0.296	0.535
alpine	alpin	0.594	0.337	0.474
alreadyyyyy	NO TRANSLATION	0.592	0.717	0.351
altar	autel	0.724	0.387	0.635
altar boy	garçon d'autel	0.434	0.206	0.350
alter	modifier	0.333	0.694	0.654
alteration	altération	0.167	0.798	0.609
altercation	altercation	0.170	0.806	0.500
altered	altéré	0.255	0.765	0.500
alternate	alterner	0.625	0.363	0.589
alternating	en alternance	0.480	0.494	0.542
alternative	alternative	0.628	0.373	0.631
altimeter	altimètre	0.615	0.510	0.580
altitude	altitude	0.708	0.482	0.736
alto	alto	0.656	0.404	0.730
altogether	tout à fait	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	ancien élève	0.633	0.368	0.422
alveolar	alvéolaire	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	amalgame	0.438	0.333	0.510
amalgamation	fusion	0.406	0.470	0.531
amaretto	Amaretto	0.543	0.551	0.375
amass	amasser	0.552	0.465	0.465
amateur	amateur	0.469	0.500	0.409
amaze	étonner	0.896	0.843	0.783
amazed	étonné	0.796	0.779	0.533
amazedness	étonnement	0.827	0.872	0.510
amazement	stupéfaction	0.750	0.800	0.639
amazing	incroyable	0.906	0.837	0.849
amazingly	étonnamment	0.918	0.765	0.920
ambassador	ambassadeur	0.651	0.529	0.917
amber	ambre	0.635	0.308	0.369
ambience	ambiance	0.735	0.356	0.426
ambient	ambiant	0.625	0.360	0.582
ambiguity	ambiguïté	0.164	0.460	0.370
ambiguous	ambigu	0.265	0.462	0.358
ambit	portée	0.479	0.380	0.386
ambition	ambition	0.510	0.804	0.661
ambitious	ambitieux	0.484	0.821	0.717
ambivalent	ambivalent	0.510	0.404	0.482
ambrosia	ambroisie	0.571	0.452	0.480
ambulance	ambulance	0.500	0.750	0.609
ambush	embuscade	0.281	0.830	0.500
ameliorate	améliorer	0.770	0.548	0.747
amen	Amen	0.781	0.182	0.542
amenable	accommodable	0.448	0.410	0.406
amend	modifier	0.688	0.406	0.658
amendment	amendement	0.531	0.459	0.606
amends	amende	0.640	0.366	0.517
amenity	aménité	0.750	0.327	0.574
amethyst	améthyste	0.622	0.406	0.517
amiable	aimable	0.847	0.290	0.483
amicable	amical	0.875	0.330	0.507
amid	parmi	0.510	0.340	0.256
amidst	au milieu de	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	munitions	0.323	0.765	0.621
ammonia	ammoniac	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	munition	0.338	0.635	0.667
amnesia	amnésie	0.296	0.330	0.308
amnesty	amnistie	0.551	0.451	0.814
amorous	amoureux	0.844	0.670	0.636
amorphous	amorphe	0.327	0.402	0.349
amortization	amortissement	0.592	0.491	0.522
amount	montant	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	ampli	0.439	0.393	0.375
ampersand	esperluette	0.480	0.448	0.483
amphetamines	amphétamines	0.133	0.667	0.526
amphibian	amphibie	0.427	0.357	0.474
amphibious	amphibie	0.479	0.346	0.445
amphitheater	amphithéâtre	0.653	0.480	0.545
ample	ample	0.744	0.349	0.719
amplification	amplification	0.690	0.677	0.810
amplify	amplifier	0.677	0.735	0.827
amplitude	amplitude	0.694	0.439	0.692
amply	amplement	0.781	0.431	0.766
amputate	amputer	0.092	0.660	0.509
amputation	amputation	0.100	0.755	0.483
amuck	amok	0.385	0.602	0.321
amulet	amulette	0.781	0.260	0.630
amuse	amuser	0.812	0.684	0.664
amused	amusé	0.942	0.847	0.596
amusement	amusement	0.929	0.837	0.803
amusing	amusant	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
anaconda	anaconda	0.146	0.830	0.540
anaesthesia	anesthésie	0.350	0.217	0.473
anaesthetic	anesthésique	0.449	0.268	0.509
anagram	anagramme	0.552	0.327	0.449
anal	anal	0.333	0.798	0.334
analgesic	analgésique	0.417	0.321	0.441
analogous	analogue	0.531	0.270	0.500
analogue	analogue	0.570	0.320	0.446
analogy	analogie	0.510	0.367	0.509
analysis	une analyse	0.729	0.448	0.705
analyst	analyste	0.604	0.415	0.755
analytic	analytique	0.665	0.521	0.634
analytical	analytique	0.625	0.324	0.800
analyze	analyser	0.667	0.462	0.710
analyzer	analyseur	0.625	0.556	0.854
anaphylactic	anaphylactique	0.378	0.588	0.500
anarchism	anarchisme	0.125	0.804	0.623
anarchist	anarchiste	0.204	0.700	0.759
anarchy	anarchie	0.146	0.755	0.620
anastomosis	anastomose	0.375	0.470	0.490
anathema	anathème	0.286	0.490	0.519
anatomic	anatomique	0.562	0.442	0.546
anatomy	anatomie	0.562	0.390	0.571
ancestor	ancêtre	0.592	0.388	0.594
ancestral	ancestral	0.640	0.481	0.750
ancestry	ascendance	0.708	0.519	0.717
anchor	ancre	0.520	0.284	0.564
anchorage	ancrage	0.500	0.325	0.639
ancient	ancien	0.420	0.217	0.439
ancillary	auxiliaire	0.449	0.442	0.278
androgen	androgène	0.255	0.523	0.527
android	Android	0.663	0.436	0.500
anecdote	anecdote	0.583	0.529	0.500
anemia	anémie	0.188	0.327	0.310
anemic	anémique	0.167	0.279	0.155
anemone	anémone	0.552	0.538	0.327
anesthesia	anesthésie	0.365	0.216	0.394
anesthesiologist	anesthésiste	0.419	0.224	0.526
