Word	Bengali-bn	Valence	Arousal	Dominance
actress	অভিনেত্রী	0.633	0.556	0.596
actual	আসল	0.729	0.400	0.716
actuality	বাস্তবতা	0.750	0.464	0.600
actuary	বিমা-পরতালক	0.510	0.404	0.491
acuity	তীক্ষ্নতা	0.469	0.378	0.741
acumen	সূক্ষ্ম বিচারশক্তি	0.564	0.660	0.679
acupuncture	চিকিত্সা-পদ্ধতি বিশেষ	0.531	0.324	0.549
acute	তীব্র	0.427	0.652	0.534
acutely	কঠোরভাবে	0.417	0.543	0.491
ad	বিজ্ঞাপন	0.521	0.705	0.558
adage	প্রবচন	0.517	0.415	0.566
adamant	হীরক	0.344	0.529	0.575
adapt	খাপ খাওয়ানো	0.740	0.355	0.551
adaptable	অভিযোজ্য	0.735	0.423	0.641
adaptation	অভিযোজন	0.663	0.365	0.609
add	যোগ	0.728	0.490	0.554
added	যোগ	0.562	0.405	0.509
addendum	অভিযোজ্য বস্তু	0.392	0.370	0.418
adder	পরিশিষ্ট	0.388	0.461	0.588
addict	উপসেবক	0.075	0.696	0.327
addicted	আসক্ত	0.156	0.712	0.483
addiction	অনুরতি	0.180	0.806	0.420
addictive	আসক্তি	0.302	0.683	0.472
addition	যোগ	0.562	0.373	0.471
additional	অতিরিক্ত	0.673	0.462	0.526
additive	বিশেষ উদ্দেশ্যে সংযোজনের বস্তু	0.561	0.633	0.691
address	ঠিকানা	0.650	0.327	0.567
addressee	পত্রের প্রাপক	0.622	0.382	0.538
addresses	ঠিকানাগুলি	0.510	0.354	0.450
adept	পারদর্শী	0.594	0.539	0.789
adequacy	সাদৃশ্য	0.615	0.435	0.702
adequate	পর্যাপ্ত	0.854	0.264	0.705
adhere	মেনে চলে	0.633	0.339	0.554
adherence	আনুগত্য	0.760	0.307	0.630
adherent	অনুগত	0.561	0.385	0.555
adhering	লগ্ন	0.612	0.561	0.537
adhesion	আনুগত্য	0.521	0.445	0.586
adhesive	আঠালো	0.604	0.350	0.413
adieu	বিদায়	0.250	0.471	0.342
adipose	মেদ	0.333	0.350	0.391
adjacency	অন্তিক	0.365	0.417	0.375
adjacent	সংলগ্ন	0.645	0.276	0.536
adjective	বিশেষণ	0.570	0.316	0.569
adjoining	সংলগ্ন	0.520	0.400	0.393
adjourn	স্থগিত রাখা	0.385	0.456	0.475
adjournment	কালহরণ	0.438	0.510	0.370
adjudicate	ন্যায়নির্ণয় করা	0.559	0.520	0.683
adjudication	ফয়সালা	0.551	0.462	0.691
adjunct	উপরি	0.459	0.440	0.426
adjust	সমন্বয় করা	0.647	0.327	0.638
adjuster	ফিটার	0.510	0.540	0.760
adjustment	সমন্বয়	0.590	0.520	0.661
adjuvant	সহযোগিতা	0.510	0.500	0.456
admin	অ্যাডমিন	0.688	0.420	0.854
administer	প্রশাসক	0.635	0.425	0.860
administration	প্রশাসন	0.625	0.404	0.786
administrative	প্রশাসনিক	0.542	0.415	0.579
administrator	প্রশাসক	0.538	0.480	0.902
admirable	ধন্য	0.929	0.600	0.870
admiral	নৌসেনাপতি	0.844	0.490	0.847
admiralty	নৌসেনাবিভাগ	0.594	0.547	0.733
admiration	প্রশংসা	0.969	0.583	0.726
admire	তারিফ করা	0.867	0.692	0.704
admired	প্রশংসিত	0.917	0.560	0.815
admirer	উপাসক	0.796	0.720	0.650
admiring	উপাসক	0.867	0.578	0.629
admissibility	গ্রাহ্যতা	0.802	0.580	0.602
admissible	গ্রাহ্য	0.780	0.528	0.642
admission	স্বীকারোক্তি	0.802	0.415	0.732
admit	সত্য বলিয়া স্বীকার করা	0.538	0.423	0.667
admittance	প্রবেশ	0.690	0.451	0.598
admitted	ভর্তি	0.720	0.490	0.767
admitting	admitting	0.620	0.500	0.546
admixture	মিশ্রণ	0.450	0.375	0.438
admonition	উপদেশ	0.357	0.606	0.455
ado	হৈচৈ	0.520	0.423	0.385
adobe	রৌদ্রপক্ব ইষ্টক	0.500	0.319	0.328
adolescence	কৈশোর	0.487	0.694	0.444
adolescent	কিশোর	0.781	0.680	0.509
adopt	অবলম্বন করা	0.694	0.612	0.701
adoption	গ্রহণ	0.625	0.566	0.589
adoptive	অবলম্বনকর	0.531	0.469	0.520
adorable	আরাধ্য	0.969	0.519	0.457
adoration	উপাসনা	0.885	0.699	0.708
adore	পূজা করা	0.854	0.438	0.657
adoring	সপ্রেম	0.885	0.620	0.717
adorn	বিভূষিত করা	0.910	0.424	0.482
adornment	সজ্জা	0.918	0.373	0.377
adrenalin	বৃক্করস	0.865	0.920	0.786
adrenaline	বৃক্করস	0.765	0.965	0.825
adrift	ভাসিতে ভাসিতে	0.398	0.486	0.230
adult	প্রাপ্তবয়স্ক	0.815	0.491	0.787
adulterated	ভেজাল	0.188	0.865	0.370
adulterer	অগম্যাগামী	0.229	0.814	0.407
adultery	ব্যভিচার	0.120	0.922	0.510
adulthood	সাবালকত্ব	0.541	0.454	0.652
advance	আগাম	0.673	0.472	0.858
advanced	অগ্রসর	0.844	0.623	0.797
advancement	অগ্রগতি	0.776	0.650	0.839
advancing	আগুয়ান	0.929	0.608	0.812
advantage	সুবিধা	0.917	0.548	0.859
advantageous	সুবিধাজনক	0.837	0.640	0.789
advent	আবির্ভাব	0.665	0.560	0.627
adventure	দু: সাহসিক কাজ	0.917	0.857	0.710
adventurer	হঠকারী ব্যক্তি	0.781	0.839	0.868
adventures	এডভেন্ঞার ট্যুরিজম	0.812	0.764	0.749
adventurous	দু: সাহসিক	0.969	0.898	0.722
adversary	প্রতিদ্বন্দ্বী	0.349	0.777	0.457
adverse	প্রতিকূল	0.323	0.610	0.385
adversity	বিদ্বেষ	0.276	0.760	0.538
advertise	বিজ্ঞাপিত করা	0.500	0.529	0.580
advertisement	বিজ্ঞাপন	0.600	0.566	0.539
advertising	বিজ্ঞাপন	0.622	0.608	0.632
adverts	বিজ্ঞাপন	0.551	0.500	0.595
advice	পরামর্শ	0.698	0.408	0.688
advisable	যুক্তিযুক্ত	0.867	0.480	0.510
advise	পরামর্শ	0.760	0.393	0.705
advised	পরামর্শ	0.823	0.330	0.509
advisement	advisement	0.698	0.235	0.655
adviser	উপদেষ্টা	0.745	0.362	0.705
advisor	অধ্যাপক	0.646	0.350	0.689
advisory	উপদেশক	0.656	0.429	0.633
advocacy	প্রচার	0.500	0.646	0.731
advocate	উকিল	0.551	0.530	0.818
aegis	আশ্রয়	0.490	0.439	0.462
aeration	বাতান্বয়ন	0.550	0.500	0.433
aerial	বায়বীয়	0.615	0.461	0.463
aerobics	এরোবিকস	0.708	0.771	0.627
aerodrome	বিমানশালা	0.541	0.740	0.678
aerodynamic	aerodynamic	0.561	0.724	0.728
aerodynamics	বায়ুগতিবিদ্যা	0.590	0.663	0.722
aeronautics	বিমানচালনাবিদ্যা	0.551	0.633	0.688
aeroplane	বিমান	0.714	0.642	0.644
aerospace	মহাকাশ	0.643	0.520	0.779
aesthetic	নান্দনিক	0.708	0.442	0.526
aesthetics	নন্দনতত্ব	0.847	0.327	0.549
aetiology	নিদান	0.480	0.398	0.615
afar	দূরে	0.396	0.373	0.358
affable	ভদ্র	0.704	0.380	0.452
affair	ব্যাপার	0.520	0.459	0.657
affect	প্রভাবিত	0.458	0.569	0.578
affecting	প্রভাবিত	0.350	0.574	0.394
affection	স্নেহ	0.898	0.559	0.696
affectionate	অনুরক্ত	0.949	0.422	0.550
affections	ভালোবাসা	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	হলফনামা	0.469	0.584	0.526
affiliated	সম্বন্ধযুক্ত	0.673	0.519	0.535
affiliation	অন্তর্ভুক্তি	0.615	0.594	0.500
affinity	সম্বন্ধ	0.800	0.500	0.537
affirm	নিশ্চিত করা	0.745	0.509	0.731
affirmation	কথন	0.750	0.500	0.689
affirmative	হাঁ-সূচক	0.854	0.589	0.816
affirmatively	affirmatively	0.908	0.500	0.811
affix	জুড়া	0.438	0.335	0.411
afflict	পীড়িত করা	0.302	0.555	0.293
afflicted	নিপীড়িত	0.271	0.500	0.167
affliction	দু: খ	0.294	0.635	0.392
affluence	সমৃদ্ধি	0.663	0.618	0.722
affluent	ধনী	0.756	0.388	0.477
afford	সামর্থ্য	0.571	0.580	0.575
affordable	সাশ্রয়ী মূল্যের	0.840	0.398	0.493
affront	অপমান করা	0.327	0.740	0.547
affronted	অপমানিত	0.385	0.750	0.527
afield	দূরে	0.594	0.370	0.373
afire	আগুন	0.367	0.904	0.675
afloat	চালু	0.602	0.427	0.444
afore	পূর্বে	0.500	0.337	0.382
aforementioned	উপরোক্ত	0.490	0.316	0.408
aforesaid	পূর্বোক্ত	0.531	0.358	0.478
afraid	ভীত	0.010	0.775	0.245
afresh	পুনর্বার	0.643	0.521	0.480
african	আফ্রিকান	0.490	0.423	0.555
aft	জাহাজের পিছনের দিকে	0.480	0.417	0.518
afterlife	ভবিষ্যৎ জীবন	0.571	0.567	0.568
aftermath	ভবিষ্যৎ ফল	0.312	0.449	0.444
afternoon	বিকেল	0.533	0.388	0.339
aftershave	আফটারশেভ লোশন	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	অনুচিন্তা	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	মুখ হাঁ করিয়া	0.612	0.529	0.464
agate	অকীক	0.540	0.377	0.483
age	বয়স	0.561	0.226	0.498
aged	বুড়া	0.135	0.365	0.236
agency	সংস্থা	0.460	0.296	0.583
agenda	বিষয়সূচি	0.531	0.296	0.553
agent	প্রতিনিধি	0.480	0.439	0.755
agglomeration	স্তূপ	0.450	0.765	0.509
aggravate	বাড়া	0.224	0.770	0.464
aggravated	কুপিত	0.079	0.760	0.430
aggravates	aggravates	0.108	0.778	0.357
aggravating	বিরক্তিকর	0.257	0.794	0.640
aggravation	অধোগমন	0.071	0.784	0.613
aggregate	থোক	0.730	0.378	0.556
aggregation	মোট পরিমাণ	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	আক্রমণ	0.094	0.929	0.533
aggressive	আক্রমনাত্মক	0.125	0.949	0.648
aggressively	সহিংস	0.250	0.926	0.688
aggressiveness	হামলাদারিতা	0.077	0.913	0.648
aggressor	আক্রমণকারী	0.146	0.948	0.823
agh	AGH	0.260	0.500	0.400
aghast	বিস্ময়ে হতবুদ্ধি	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	কর্মতত্পর	0.800	0.657	0.775
agility	তত্পরতা	0.720	0.702	0.815
aging	পক্বতা	0.214	0.255	0.284
agitate	উমান	0.300	0.796	0.593
agitated	ক্ষুব্ধ	0.444	0.882	0.491
agitation	চাগাড়	0.240	0.931	0.447
aglow	প্রদীপ্ত	0.780	0.510	0.797
agnostic	অজ্ঞানবাদী	0.306	0.396	0.574
ago	পূর্বে	0.317	0.280	0.404
agonizing	মানসিক যন্ত্রণাদায়ক	0.083	0.800	0.340
agony	নিদারূণ যন্ত্রণা	0.083	0.775	0.393
agoraphobia	ভিতরের ভয়ের ব্যাধি	0.127	0.712	0.438
agree	একমত	0.906	0.260	0.545
agreeable	অমায়িক	0.906	0.500	0.696
agreed	একমত	0.797	0.449	0.574
agreeing	সম্মত	0.854	0.480	0.557
agreement	চুক্তি	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	কৃষিজাত	0.686	0.321	0.473
agriculture	কৃষি	0.640	0.357	0.465
aground	জলমগ্ন চড়ায়	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	এগিয়ে	0.708	0.520	0.673
ahhh	আচ্ছা	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	হোই	0.500	0.497	0.380
aid	সাহায্য	0.796	0.491	0.541
aide	সহায়তাকারী	0.724	0.342	0.434
aiding	প্রতিপোষক	0.643	0.533	0.569
aids	এইডস	0.561	0.480	0.500
ail	পীড়িত করা	0.375	0.434	0.385
ailing	দুর্বল	0.094	0.518	0.153
ailment	আময়	0.146	0.734	0.277
aim	লক্ষ্য	0.481	0.569	0.567
aimless	উদ্দেশ্যহীন	0.150	0.267	0.183
air	বায়ু	0.708	0.163	0.427
airbag	এয়ার ব্যাগ	0.510	0.402	0.433
airborne	বায়ুবাহিত	0.542	0.519	0.385
aircraft	বিমান	0.646	0.644	0.691
aircraft carrier	বিমান ক্যারিয়ার	0.490	0.740	0.727
airfield	বিমানাঙ্গন	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	বিমানপোতে বহন	0.573	0.622	0.642
airline	এয়ারলাইন	0.650	0.482	0.688
airliner	বিমান	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	বৈমানিক	0.587	0.716	0.721
airplane	বিমান	0.719	0.702	0.708
airport	বিমানবন্দর	0.729	0.684	0.682
airs	চালিয়াতি	0.583	0.196	0.370
airship	আকাশযান	0.542	0.472	0.529
airspace	আকাশসীমা	0.562	0.510	0.640
airspeed	এয়ারস্পীড	0.583	0.780	0.544
airstrip	এয়ারস্ট্রিপ	0.550	0.690	0.649
airtight	বায়ুরোধী	0.479	0.381	0.570
airway	বিমান-চলাচলের পথ	0.638	0.585	0.482
aisle	করিডোর	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	ওরফে	0.459	0.358	0.351
akin	সদৃশ	0.639	0.343	0.523
alabaster	তৈলস্ফটিক	0.542	0.404	0.445
alarm	বিপদাশঙ্কা	0.241	0.882	0.698
alarm clock	অ্যালার্মঘড়ি	0.542	0.727	0.642
alarmed	অধীর	0.188	0.822	0.492
alarming	ভীতিকর	0.204	0.890	0.585
alas	হায়রে	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	বৃহদাকার সামুদ্রি পক্ষিবিশেষ	0.500	0.445	0.527
albino	ধবলরোগগ্রস্ত ব্যক্তি	0.500	0.240	0.358
album	অ্যালবাম	0.635	0.349	0.453
alchemy	কিমিতি	0.541	0.583	0.693
alcohol	এলকোহল	0.323	0.667	0.377
alcoholic	মদ্যপ	0.153	0.688	0.361
alcoholism	মদ্যাশক্তি	0.061	0.779	0.407
alcove	তাক	0.490	0.340	0.356
alderman	পৌরমুখ্য	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	সতর্ক	0.479	0.820	0.648
alertness	সতর্কতা	0.375	0.875	0.750
alerts	সতর্কতা	0.337	0.804	0.673
alfalfa	ত্রিপত্রোত্পাদী বৃক্ষবিশেষ	0.546	0.250	0.311
algebra	বীজগণিত	0.440	0.340	0.565
algebraic	বীজগাণিতিক	0.531	0.412	0.441
algorithm	অ্যালগরিদম	0.448	0.394	0.559
alias	উপনাম	0.541	0.353	0.333
alibi	অপরাধের অনুষ্ঠানকালে অন্যত্র থাকার অজুহাতে রেহাই পাইবার দাবি	0.396	0.528	0.556
alien	পরক	0.410	0.615	0.491
alienate	হস্তান্তর করিয়া দেত্তয়া	0.247	0.500	0.523
alienated	বিচ্ছিন্ন	0.410	0.423	0.559
alienation	উন্মত্ততা	0.378	0.530	0.462
alight	অবতরণ করা	0.667	0.657	0.605
align	শ্রেণীবদ্ধ করা	0.656	0.364	0.627
aligned	সারিবদ্ধ	0.583	0.275	0.553
alignment	শ্রেণীবিন্যাস	0.643	0.412	0.683
alike	একইভাবে	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	ভরণপোষণ	0.612	0.477	0.464
aliquot	ভাগশেষ না রাখিয়া সমাংশে ভাগ করিতে সক্ষম	0.440	0.310	0.404
alive	জীবিত	0.816	0.637	0.731
alkali	ক্ষার	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	কমান	0.417	0.406	0.398
allegation	অভিযোগ	0.578	0.578	0.608
allege	সপক্ষে যুক্তি দেখান	0.418	0.482	0.587
alleged	কথিত	0.365	0.522	0.520
allegiance	আনুগত্য	0.917	0.398	0.750
allegorical	অপ্রস্তুতপ্রশংসা দ্বারা বর্ণিত	0.517	0.558	0.598
allegory	রুপকবর্ণনা	0.615	0.580	0.509
allegro	Allegro	0.635	0.627	0.453
allergic	বিরাগসম্পন্ন	0.135	0.549	0.273
allergy	এলার্জি	0.296	0.606	0.389
alleviate	উপশম করা	0.869	0.270	0.528
alleviation	হ্রাসকরণ	0.735	0.200	0.491
alley	সরু গলি	0.347	0.500	0.355
alleyway	সরু গলি	0.357	0.471	0.382
alliance	জোট	0.696	0.473	0.769
allied	স্বজাতীয়	0.714	0.245	0.642
alligator	নক্র	0.354	0.704	0.645
allocate	বরাদ্দ করা	0.673	0.462	0.672
allocation	বণ্টন	0.604	0.388	0.679
allot	বরাদ্দ করা	0.622	0.481	0.616
allotment	বরাদ্দ	0.600	0.390	0.640
allow	অনুমতি	0.698	0.429	0.538
allowable	সম্ভবপর	0.698	0.500	0.561
allowance	ভাতা	0.673	0.382	0.591
allowed	অনুমতি	0.730	0.360	0.655
alloy	খাদ	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	মোহন	0.804	0.585	0.686
alluring	লোভনীয়	0.837	0.745	0.843
allusion	ইশারা	0.440	0.308	0.462
alluvial	পাললিক	0.323	0.490	0.491
ally	মিত্র	0.792	0.320	0.688
almanac	পাঁজি	0.688	0.190	0.412
almighty	সর্বশক্তিমান	0.938	0.874	0.958
almond	বাদাম	0.698	0.183	0.314
aloft	শূন্যে	0.771	0.373	0.700
aloha	Aloha	0.698	0.440	0.441
alone	একা	0.333	0.167	0.216
alongside	এর পাশাপাশি	0.458	0.333	0.347
aloof	নির্লিপ্ত	0.189	0.423	0.302
aloud	সশব্দে	0.458	0.713	0.750
alpha	আরম্ভ	0.708	0.340	0.755
alphabet	বর্ণমালা	0.562	0.204	0.672
alphabetical	বর্ণানুক্রমিক	0.537	0.296	0.535
alpine	অত্যুচ্চ	0.594	0.337	0.474
