Word	Somali-so	Valence	Arousal	Dominance
adequacy	ku filan	0.615	0.435	0.702
adequate	ku filan	0.854	0.264	0.705
adhere	ade	0.633	0.339	0.554
adherence	adherence	0.760	0.307	0.630
adherent	adherent	0.561	0.385	0.555
adhering	adhering	0.612	0.561	0.537
adhesion	adhesion	0.521	0.445	0.586
adhesive	adhesive	0.604	0.350	0.413
adieu	adieu	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	xadka	0.365	0.417	0.375
adjacent	ku dhawdhaw	0.645	0.276	0.536
adjective	tilmaamaha	0.570	0.316	0.569
adjoining	isku xirka	0.520	0.400	0.393
adjourn	dib u dhig	0.385	0.456	0.475
adjournment	dib u dhigid	0.438	0.510	0.370
adjudicate	garsoore	0.559	0.520	0.683
adjudication	Xukunka	0.551	0.462	0.691
adjunct	isku dhafan	0.459	0.440	0.426
adjust	la qabsado	0.647	0.327	0.638
adjuster	dejiye	0.510	0.540	0.760
adjustment	hagaajinta	0.590	0.520	0.661
adjuvant	caawiye	0.510	0.500	0.456
admin	admin	0.688	0.420	0.854
administer	maamulaa	0.635	0.425	0.860
administration	maamulka	0.625	0.404	0.786
administrative	maamul	0.542	0.415	0.579
administrator	maamulaha	0.538	0.480	0.902
admirable	farxad leh	0.929	0.600	0.870
admiral	Admiral	0.844	0.490	0.847
admiralty	sharaf	0.594	0.547	0.733
admiration	xiisaha	0.969	0.583	0.726
admire	ku farxi	0.867	0.692	0.704
admired	waa la faraxsan yahay	0.917	0.560	0.815
admirer	jecel	0.796	0.720	0.650
admiring	ku faraxsan	0.867	0.578	0.629
admissibility	oggolaansho	0.802	0.580	0.602
admissible	waa la ogolaan karaa	0.780	0.528	0.642
admission	gelitaanka	0.802	0.415	0.732
admit	qiree	0.538	0.423	0.667
admittance	gelitaanka	0.690	0.451	0.598
admitted	qirtay	0.720	0.490	0.767
admitting	qirashada	0.620	0.500	0.546
admixture	kufsi	0.450	0.375	0.438
admonition	digniin	0.357	0.606	0.455
ado	Ado	0.520	0.423	0.385
adobe	adobe	0.500	0.319	0.328
adolescence	dhalinyaro	0.487	0.694	0.444
adolescent	dhalinyaro	0.781	0.680	0.509
adopt	korsan	0.694	0.612	0.701
adoption	korsashada	0.625	0.566	0.589
adoptive	korsasho	0.531	0.469	0.520
adorable	adorable	0.969	0.519	0.457
adoration	adayga	0.885	0.699	0.708
adore	adore	0.854	0.438	0.657
adoring	adoring	0.885	0.620	0.717
adorn	adress	0.910	0.424	0.482
adornment	qurxinta	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	wax dhib ah	0.398	0.486	0.230
adult	qof weyn	0.815	0.491	0.787
adulterated	dharbaaxay	0.188	0.865	0.370
adulterer	dharbaaxe	0.229	0.814	0.407
adultery	sino	0.120	0.922	0.510
adulthood	waayeelka	0.541	0.454	0.652
advance	hormarin	0.673	0.472	0.858
advanced	horumarsan	0.844	0.623	0.797
advancement	Horumarka	0.776	0.650	0.839
advancing	hormarin	0.929	0.608	0.812
advantage	faa'iido	0.917	0.548	0.859
advantageous	faa'iido leh	0.837	0.640	0.789
advent	Hore	0.665	0.560	0.627
adventure	xiiso	0.917	0.857	0.710
adventurer	macalinka	0.781	0.839	0.868
adventures	Adventures	0.812	0.764	0.749
adventurous	macquul ah	0.969	0.898	0.722
adversary	Cadaab	0.349	0.777	0.457
adverse	wax xun	0.323	0.610	0.385
adversity	dhibaatada	0.276	0.760	0.538
advertise	xayeesiinta	0.500	0.529	0.580
advertisement	xayaysiinta	0.600	0.566	0.539
advertising	xayeeysiinta	0.622	0.608	0.632
adverts	xayeysiisyo	0.551	0.500	0.595
advice	talo	0.698	0.408	0.688
advisable	la talin	0.867	0.480	0.510
advise	talin	0.760	0.393	0.705
advised	la taliyey	0.823	0.330	0.509
advisement	talin	0.698	0.235	0.655
adviser	la taliye	0.745	0.362	0.705
advisor	la taliye	0.646	0.350	0.689
advisory	la talin	0.656	0.429	0.633
advocacy	u doodid	0.500	0.646	0.731
advocate	u dood	0.551	0.530	0.818
aegis	aegis	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	anteeno	0.615	0.461	0.463
aerobics	aerobics	0.708	0.771	0.627
aerodrome	hawada	0.541	0.740	0.678
aerodynamic	aerodynamic	0.561	0.724	0.728
aerodynamics	aerodynamics	0.590	0.663	0.722
aeronautics	aeronautics	0.551	0.633	0.688
aeroplane	diyaarad	0.714	0.642	0.644
aerospace	aerospace	0.643	0.520	0.779
aesthetic	suuxinta	0.708	0.442	0.526
aesthetics	esteemka	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	afar	0.396	0.373	0.358
affable	roon	0.704	0.380	0.452
affair	shaqeynayaan	0.520	0.459	0.657
affect	saameeyaa	0.458	0.569	0.578
affecting	saameynaya	0.350	0.574	0.394
affection	jacaylka	0.898	0.559	0.696
affectionate	kalgacal	0.949	0.422	0.550
affections	jacaylka	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	dhaarta	0.469	0.584	0.526
affiliated	ku xiran	0.673	0.519	0.535
affiliation	ku-xirnaansho	0.615	0.594	0.500
affinity	xiisaha	0.800	0.500	0.537
affirm	qiray	0.745	0.509	0.731
affirmation	qirasho	0.750	0.500	0.689
affirmative	kalsooni	0.854	0.589	0.816
affirmatively	si daacad ah	0.908	0.500	0.811
affix	ku dheji	0.438	0.335	0.411
afflict	Dhibaato	0.302	0.555	0.293
afflicted	dhibtay	0.271	0.500	0.167
affliction	dhibka	0.294	0.635	0.392
affluence	raaxo	0.663	0.618	0.722
affluent	hanti	0.756	0.388	0.477
afford	awood u leh	0.571	0.580	0.575
affordable	la awoodi karo	0.840	0.398	0.493
affront	soo horjeeda	0.327	0.740	0.547
affronted	hortagay	0.385	0.750	0.527
afield	bannaan	0.594	0.370	0.373
afire	dab	0.367	0.904	0.675
afloat	dulqaadka	0.602	0.427	0.444
afore	horay	0.500	0.337	0.382
aforementioned	horey u sheegay	0.490	0.316	0.408
aforesaid	ka hor	0.531	0.358	0.478
afraid	cabsi	0.010	0.775	0.245
afresh	mar kale	0.643	0.521	0.480
african	afrika	0.490	0.423	0.555
aft	aft	0.480	0.417	0.518
afterlife	nolosha dambe	0.571	0.567	0.568
aftermath	kadib	0.312	0.449	0.444
afternoon	galabnimo	0.533	0.388	0.339
aftershave	gadaal	0.406	0.384	0.415
aftertaste	kaddib	0.354	0.362	0.455
afterthought	kadib	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	xanaaq	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	da'da	0.561	0.226	0.498
aged	da'da	0.135	0.365	0.236
agency	hay'adda	0.460	0.296	0.583
agenda	ajendaha	0.531	0.296	0.553
agent	wakiil	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	sii xumayn	0.224	0.770	0.464
aggravated	dhib badan	0.079	0.760	0.430
aggravates	sii xumeynayaan	0.108	0.778	0.357
aggravating	sii xumeynaya	0.257	0.794	0.640
aggravation	sii xumeyn	0.071	0.784	0.613
aggregate	wadarta guud	0.730	0.378	0.556
aggregation	guntinta	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	gardarrada	0.094	0.929	0.533
aggressive	gardarrada	0.125	0.949	0.648
aggressively	si taxadar leh	0.250	0.926	0.688
aggressiveness	gardarrada	0.077	0.913	0.648
aggressor	gardarrada	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	agtast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	agile	0.800	0.657	0.775
agility	dhaqdhaqaaqa	0.720	0.702	0.815
aging	da'da	0.214	0.255	0.284
agitate	adoo	0.300	0.796	0.593
agitated	gardarrada	0.444	0.882	0.491
agitation	xanaaq	0.240	0.931	0.447
aglow	daacadnimo	0.780	0.510	0.797
agnostic	agnostic	0.306	0.396	0.574
ago	horaantii	0.317	0.280	0.404
agonizing	daacadnimo	0.083	0.800	0.340
agony	xanuun	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	waafaqsan	0.906	0.260	0.545
agreeable	la aqbali karo	0.906	0.500	0.696
agreed	isku raacay	0.797	0.449	0.574
agreeing	heshiis	0.854	0.480	0.557
agreement	heshiis	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	beeraha	0.686	0.321	0.473
agriculture	beeraha	0.640	0.357	0.465
aground	deg ah	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	ka hor	0.708	0.520	0.673
ahhh	Ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	gargaar	0.796	0.491	0.541
aide	caawiye	0.724	0.342	0.434
aiding	caawinta	0.643	0.533	0.569
aids	qalab	0.561	0.480	0.500
ail	qoys	0.375	0.434	0.385
ailing	xanuunsan	0.094	0.518	0.153
ailment	cudurka	0.146	0.734	0.277
aim	Ujeedada	0.481	0.569	0.567
aimless	ujeeddo lahayn	0.150	0.267	0.183
air	hawada	0.708	0.163	0.427
airbag	barkinta shilka	0.510	0.402	0.433
airborne	diyaarad	0.542	0.519	0.385
aircraft	diyaarad	0.646	0.644	0.691
aircraft carrier	gawaarida diyaaradaha	0.490	0.740	0.727
airfield	garoonka diyaaradaha	0.601	0.650	0.645
airhead	madaxa kore	0.271	0.481	0.276
airlift	gawaarida	0.573	0.622	0.642
airline	diyaaradda	0.650	0.482	0.688
airliner	diyaaradda	0.667	0.777	0.647
airlock	hawo-waynta	0.398	0.520	0.447
airman	diyaarad	0.587	0.716	0.721
airplane	diyaarad	0.719	0.702	0.708
airport	garoonka diyaaradaha	0.729	0.684	0.682
airs	hawada	0.583	0.196	0.370
airship	duulista	0.542	0.472	0.529
airspace	hawada hawada	0.562	0.510	0.640
airspeed	airspeed	0.583	0.780	0.544
airstrip	diyaarad	0.550	0.690	0.649
airtight	diyaarinta hawada	0.479	0.381	0.570
airway	marin hawada	0.638	0.585	0.482
aisle	socodka	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	aka	0.459	0.358	0.351
akin	akin	0.639	0.343	0.523
alabaster	alabaster	0.542	0.404	0.445
alarm	digniin	0.241	0.882	0.698
alarm clock	Saacadda qaylo dhaanta	0.542	0.727	0.642
alarmed	qayliyay	0.188	0.822	0.492
alarming	walaac leh	0.204	0.890	0.585
alas	hoog	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	Albatross	0.500	0.445	0.527
albino	Albino	0.500	0.240	0.358
album	album	0.635	0.349	0.453
alchemy	alchemy	0.541	0.583	0.693
alcohol	aalkolo	0.323	0.667	0.377
alcoholic	aalkolo	0.153	0.688	0.361
alcoholism	khamriga	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	digniin	0.479	0.820	0.648
alertness	Feejignaan	0.375	0.875	0.750
alerts	digniino	0.337	0.804	0.673
alfalfa	alfalfa	0.546	0.250	0.311
algebra	aljebra	0.440	0.340	0.565
algebraic	aljebrada	0.531	0.412	0.441
algorithm	algorithm	0.448	0.394	0.559
alias	alias	0.541	0.353	0.333
alibi	alibi	0.396	0.528	0.556
alien	shisheeye	0.410	0.615	0.491
alienate	shisheeye	0.247	0.500	0.523
alienated	shisheeye	0.410	0.423	0.559
alienation	shisheeye	0.378	0.530	0.462
alight	si toos ah	0.667	0.657	0.605
align	isku toos	0.656	0.364	0.627
aligned	la socotaa	0.583	0.275	0.553
alignment	isku xirka	0.643	0.412	0.683
alike	isku mid	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	masruufka	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	nool	0.816	0.637	0.731
alkali	alkali	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	allay	0.417	0.406	0.398
allegation	eedeyn	0.578	0.578	0.608
allege	sheegasho	0.418	0.482	0.587
alleged	lagu eedeeyey	0.365	0.522	0.520
allegiance	daacadnimo	0.917	0.398	0.750
allegorical	been abuur ah	0.517	0.558	0.598
allegory	sheeko	0.615	0.580	0.509
allegro	sheegasho	0.635	0.627	0.453
allergic	xasaasiyad	0.135	0.549	0.273
allergy	xasaasiyadda	0.296	0.606	0.389
alleviate	yareeyo	0.869	0.270	0.528
alleviation	yareeynta	0.735	0.200	0.491
alley	xayawaan	0.347	0.500	0.355
alleyway	marwalba	0.357	0.471	0.382
alliance	isbahaysi	0.696	0.473	0.769
allied	isbahaysi	0.714	0.245	0.642
alligator	xayeysiin	0.354	0.704	0.645
allocate	u qoondayso	0.673	0.462	0.672
allocation	qoondeyn	0.604	0.388	0.679
allot	oo dhan	0.622	0.481	0.616
allotment	kala-bixinta	0.600	0.390	0.640
allow	ogolow	0.698	0.429	0.538
allowable	la oggol yahay	0.698	0.500	0.561
allowance	gunnada	0.673	0.382	0.591
allowed	la oggol yahay	0.730	0.360	0.655
alloy	alloy	0.583	0.443	0.593
allsmiles	NO TRANSLATION	0.786	0.528	0.430
allure	oo dhan	0.804	0.585	0.686
alluring	ku dhagan	0.837	0.745	0.843
allusion	soo-saarka	0.440	0.308	0.462
alluvial	alluvial	0.323	0.490	0.491
ally	isbahaysi	0.792	0.320	0.688
almanac	Almanac	0.688	0.190	0.412
almighty	Ilaaha Qaadirka ah	0.938	0.874	0.958
almond	almond	0.698	0.183	0.314
aloft	aloft	0.771	0.373	0.700
aloha	aloha	0.698	0.440	0.441
alone	kali	0.333	0.167	0.216
alongside	dhinaca kale	0.458	0.333	0.347
aloof	ka baxsan	0.189	0.423	0.302
aloud	kor	0.458	0.713	0.750
alpha	alpha	0.708	0.340	0.755
alphabet	xarfaha	0.562	0.204	0.672
alphabetical	xarfaha	0.537	0.296	0.535
alpine	alpine	0.594	0.337	0.474
alreadyyyyy	horaantii	0.592	0.717	0.351
altar	meesha allabariga	0.724	0.387	0.635
altar boy	wiilka allabariga	0.434	0.206	0.350
alter	bedelka	0.333	0.694	0.654
alteration	isbeddel	0.167	0.798	0.609
altercation	faragelinta	0.170	0.806	0.500
altered	bedelay	0.255	0.765	0.500
alternate	beddelaad	0.625	0.363	0.589
alternating	beddelidda	0.480	0.494	0.542
alternative	beddelaad	0.628	0.373	0.631
altimeter	dhererka	0.615	0.510	0.580
altitude	heerka sare	0.708	0.482	0.736
alto	Alto	0.656	0.404	0.730
altogether	guud ahaan	0.833	0.324	0.644
aluminum	aluminium	0.449	0.280	0.434
alumnus	qabow	0.633	0.368	0.422
alveolar	alveolar	0.469	0.481	0.367
alzheimers	NO TRANSLATION	0.194	0.518	0.319
amalgam	Ambalaan	0.438	0.333	0.510
amalgamation	isku-xidhka	0.406	0.470	0.531
amaretto	Amaretto	0.543	0.551	0.375
amass	anass	0.552	0.465	0.465
amateur	hiwaayad	0.469	0.500	0.409
amaze	yaaba	0.896	0.843	0.783
amazed	la yaabay	0.796	0.779	0.533
amazedness	NO TRANSLATION	0.827	0.872	0.510
amazement	cajiib	0.750	0.800	0.639
amazing	cajiib ah	0.906	0.837	0.849
amazingly	cajiib ah	0.918	0.765	0.920
ambassador	Safiirka	0.651	0.529	0.917
amber	qoryo	0.635	0.308	0.369
ambience	xaflad	0.735	0.356	0.426
ambient	dhexdhexaad ah	0.625	0.360	0.582
ambiguity	aan caddayn	0.164	0.460	0.370
ambiguous	aan caddayn	0.265	0.462	0.358
ambit	xajin	0.479	0.380	0.386
ambition	hami	0.510	0.804	0.661
ambitious	hami	0.484	0.821	0.717
ambivalent	qarsoodi ah	0.510	0.404	0.482
ambrosia	ambrosia	0.571	0.452	0.480
ambulance	ambalaas	0.500	0.750	0.609
ambush	weerar	0.281	0.830	0.500
ameliorate	u qalmaan	0.770	0.548	0.747
amen	amen	0.781	0.182	0.542
amenable	la aqbali karo	0.448	0.410	0.406
amend	isbeddel	0.688	0.406	0.658
amendment	wax ka beddel	0.531	0.459	0.606
amends	wuu baddalay	0.640	0.366	0.517
amenity	qurxinta	0.750	0.327	0.574
amethyst	amethyst	0.622	0.406	0.517
amiable	waa la qabtaa	0.847	0.290	0.483
amicable	la aqbali karo	0.875	0.330	0.507
amid	markaa	0.510	0.340	0.256
amidst	dhexaad ah	0.480	0.330	0.316
amino	amino	0.551	0.402	0.433
ammo	ammo	0.323	0.765	0.621
ammonia	ammonia	0.292	0.587	0.409
ammonium	ammonium	0.354	0.396	0.368
ammunition	rasaas	0.338	0.635	0.667
amnesia	amnesia	0.296	0.330	0.308
amnesty	cafis	0.551	0.451	0.814
amorous	qurux badan	0.844	0.670	0.636
amorphous	amorphous	0.327	0.402	0.349
amortization	amortization	0.592	0.491	0.522
amount	cadadka	0.562	0.422	0.649
amour	NO TRANSLATION	0.865	0.480	0.652
amp	amp	0.439	0.393	0.375
ampersand	Ampersand	0.480	0.448	0.483
amphetamines	amphetamines	0.133	0.667	0.526
amphibian	Amphibian	0.427	0.357	0.474
amphibious	amphibious	0.479	0.346	0.445
amphitheater	anfitheater	0.653	0.480	0.545
ample	badan	0.744	0.349	0.719
amplification	kordhinta	0.690	0.677	0.810
amplify	xoojin	0.677	0.735	0.827
amplitude	Ilodanimada	0.694	0.439	0.692
amply	amase	0.781	0.431	0.766
amputate	gooyo	0.092	0.660	0.509
amputation	goynta	0.100	0.755	0.483
amuck	nuugaan	0.385	0.602	0.321
amulet	Amulet	0.781	0.260	0.630
amuse	roonow	0.812	0.684	0.664
amused	la qaley	0.942	0.847	0.596
amusement	madadaalo	0.929	0.837	0.803
amusing	xiiso leh	0.960	0.829	0.632
ana	NO TRANSLATION	0.541	0.300	0.314
