Word	Myanmar (Burmese)-my	Valence	Arousal	Dominance
act	လုပ်ရပ်	0.656	0.704	0.735
acting	သရုပ်ဆောင်	0.698	0.643	0.500
action	အရေးယူ	0.760	0.898	0.802
action figure	အရေးယူပုံ	0.615	0.774	0.611
actionable	ဆုံးဖြတ်နိုင်သော	0.673	0.702	0.613
activate	ကိုသက်ဝင်	0.764	0.650	0.806
activation	activation	0.781	0.800	0.754
active	တက်ကြွ	0.847	0.730	0.731
activist	တက်ကြွသူ	0.531	0.653	0.877
activity	လှုပ်ရှားမှု	0.701	0.660	0.807
actor	သရုပ်ဆောင်	0.653	0.561	0.629
actress	ဇါတ်သူမ	0.633	0.556	0.596
actual	အမှန်တကယ်	0.729	0.400	0.716
actuality	အမှန်တကယ်	0.750	0.464	0.600
actuary	actuary	0.510	0.404	0.491
acuity	တွေလိုပဲ	0.469	0.378	0.741
acumen	ကြံထက်	0.564	0.660	0.679
acupuncture	ဆေးထိုးခြင်း	0.531	0.324	0.549
acute	ထက်မြက်သော	0.427	0.652	0.534
acutely	ထက်မြက်သော	0.417	0.543	0.491
ad	ကြော်ငြာ	0.521	0.705	0.558
adage	အလေးချိန်	0.517	0.415	0.566
adamant	မြဲမြံသော	0.344	0.529	0.575
adapt	သငျ့လျြောအောငျပွုပွငျ	0.740	0.355	0.551
adaptable	သငျ့လျြောအောငျပွုပွငျနိုငျသော	0.735	0.423	0.641
adaptation	လိုက်လျောညီထွေ	0.663	0.365	0.609
add	ပေါင်း	0.728	0.490	0.554
added	ကဆက်ပြောသည်	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	မြွေဆိုး	0.388	0.461	0.588
addict	စှဲလမျးသူ	0.075	0.696	0.327
addicted	စွဲ	0.156	0.712	0.483
addiction	စှဲမွဲမှု	0.180	0.806	0.420
addictive	စွဲလမ်းစေ	0.302	0.683	0.472
addition	ထို့အပြင်	0.562	0.373	0.471
additional	အပိုဆောင်း	0.673	0.462	0.526
additive	အပိုအမိုထည့်သောအရာ	0.561	0.633	0.691
address	လိပ်စာ	0.650	0.327	0.567
addressee	addressee	0.622	0.382	0.538
addresses	လိပ်စာများ	0.510	0.354	0.450
adept	အစွမ်း	0.594	0.539	0.789
adequacy	လုံလောက်မှု	0.615	0.435	0.702
adequate	လုံလောက်သော	0.854	0.264	0.705
adhere	လိုက်နာ	0.633	0.339	0.554
adherence	လိုက်နာမှု	0.760	0.307	0.630
adherent	မကိုက်ညီ	0.561	0.385	0.555
adhering	လိုက်နာရန်	0.612	0.561	0.537
adhesion	စှဲကပျတတျသော	0.521	0.445	0.586
adhesive	စှဲကပျတတျသော	0.604	0.350	0.413
adieu	ခွင့်ပန်ပြီးမှ	0.250	0.471	0.342
adipose	adipose	0.333	0.350	0.391
adjacency	နီးကပ်သော	0.365	0.417	0.375
adjacent	နီးကပ်သော	0.645	0.276	0.536
adjective	နာမဝိသေသန	0.570	0.316	0.569
adjoining	adjoining	0.520	0.400	0.393
adjourn	ရှေ့ဆိုငျး	0.385	0.456	0.475
adjournment	ရှေ့ဆိုငျး	0.438	0.510	0.370
adjudicate	စီရင်	0.559	0.520	0.683
adjudication	adjudication	0.551	0.462	0.691
adjunct	တွဲဖက်	0.459	0.440	0.426
adjust	ညှိ	0.647	0.327	0.638
adjuster	Adjustments	0.510	0.540	0.760
adjustment	သင့်အောင်လုပ်ခြင်း	0.590	0.520	0.661
adjuvant	adjuvant	0.510	0.500	0.456
admin	admin ရဲ့	0.688	0.420	0.854
administer	စီ 7 င်အုပ်ချုပ်	0.635	0.425	0.860
administration	အုပ်ချုပ်ရေး	0.625	0.404	0.786
administrative	အုပ်ချုပ်ရေး	0.542	0.415	0.579
administrator	အုပ်ချုပ်သူ	0.538	0.480	0.902
admirable	မြတ်နိုးလှသော	0.929	0.600	0.870
admiral	ရေတပ်ဗိုလ်ချုပ်	0.844	0.490	0.847
admiralty	ADMIRALTY	0.594	0.547	0.733
admiration	မြတ်နိုးခြင်း	0.969	0.583	0.726
admire	မြတ်နိုး	0.867	0.692	0.704
admired	ထင်ရှားသည်	0.917	0.560	0.815
admirer	Admiral	0.796	0.720	0.650
admiring	တွေရဲ့ရန်	0.867	0.578	0.629
admissibility	ခွင့်	0.802	0.580	0.602
admissible	လက်ခံနိုင်သော	0.780	0.528	0.642
admission	ဝင်ခွင့်ပေးခြင်း	0.802	0.415	0.732
admit	ဖွောငျ့ဆို	0.538	0.423	0.667
admittance	ဝင်ရောက်ခြင်း	0.690	0.451	0.598
admitted	ဝန်ခံ	0.720	0.490	0.767
admitting	ဝန်ခံ	0.620	0.500	0.546
admixture	admixture	0.450	0.375	0.438
admonition	ဆုံးမစကား	0.357	0.606	0.455
ado	ado	0.520	0.423	0.385
adobe	Adobe	0.500	0.319	0.328
adolescence	လူငယ်ဘဝ	0.487	0.694	0.444
adolescent	အပြိုမ	0.781	0.680	0.509
adopt	ခံယူ	0.694	0.612	0.701
adoption	မှေးစားခွငျး	0.625	0.566	0.589
adoptive	မွေးစား	0.531	0.469	0.520
adorable	ကြည်ညိုဘွယ်ကောင်းသော	0.969	0.519	0.457
adoration	နှစ်ခြိုက်	0.885	0.699	0.708
adore	ကြည်ညို	0.854	0.438	0.657
adoring	ကြည်ညိုဘွယ်ကောင်းသော	0.885	0.620	0.717
adorn	ဆင်ယင်	0.910	0.424	0.482
adornment	ဂုဏ်	0.918	0.373	0.377
adrenalin	adrenalin	0.865	0.920	0.786
adrenaline	adrenaline	0.765	0.965	0.825
adrift	မြောပါသော	0.398	0.486	0.230
adult	အရွယ်ရောက်ပြီးသူ	0.815	0.491	0.787
adulterated	အတုတွေ	0.188	0.865	0.370
adulterer	သူ့မယားကိုခိုးသောသူ	0.229	0.814	0.407
adultery	လိင်ဖေါက်ပြာခြင်း	0.120	0.922	0.510
adulthood	လူကြီး	0.541	0.454	0.652
advance	ကြိုတင်မဲ	0.673	0.472	0.858
advanced	အဆင့်မြင့်	0.844	0.623	0.797
advancement	တိုးတက်ခြင်း	0.776	0.650	0.839
advancing	တိုးတက်	0.929	0.608	0.812
advantage	အားသာချက်	0.917	0.548	0.859
advantageous	အကျိုးဖြစ်ထွန်းသော	0.837	0.640	0.789
advent	ထွန်း	0.665	0.560	0.627
adventure	အဖြစ်အပျက်	0.917	0.857	0.710
adventurer	စွန့်စားသူ	0.781	0.839	0.868
adventures	Adventures	0.812	0.764	0.749
adventurous	စွန့်စား	0.969	0.898	0.722
adversary	ရန်သူ	0.349	0.777	0.457
adverse	ဆန့်ကျင့်ဘက်ဖြစ်သော	0.323	0.610	0.385
adversity	ဒုက္ခ	0.276	0.760	0.538
advertise	ကျွွောငာ	0.500	0.529	0.580
advertisement	ကြော်ငြာ	0.600	0.566	0.539
advertising	ကြော်ငြာ	0.622	0.608	0.632
adverts	ကြော်ငြာ	0.551	0.500	0.595
advice	အကြံ	0.698	0.408	0.688
advisable	ပြုသင့်သော	0.867	0.480	0.510
advise	အကြံပေး	0.760	0.393	0.705
advised	အကြံပြု	0.823	0.330	0.509
advisement	အကြံပေးသူ	0.698	0.235	0.655
adviser	အကြံပေးသူ	0.745	0.362	0.705
advisor	အကြံပေးပုဂ္ဂိုလ်	0.646	0.350	0.689
advisory	အကြံပေးအဖွဲ့	0.656	0.429	0.633
advocacy	စည်းရုံးလှုံ့ဆော်မှု	0.500	0.646	0.731
advocate	ခံရပျပွောဆို	0.551	0.530	0.818
aegis	ကကြီးမှူးပြီး	0.490	0.439	0.462
aeration	aeration	0.550	0.500	0.433
aerial	လေနှင့်ဆိုင်သော	0.615	0.461	0.463
aerobics	လေ့ကျင်းခန်း	0.708	0.771	0.627
aerodrome	aerodrome	0.541	0.740	0.678
aerodynamic	လေခွင်း	0.561	0.724	0.728
aerodynamics	ပျံသန်း	0.590	0.663	0.722
aeronautics	လေကြောင်း	0.551	0.633	0.688
aeroplane	လေယာဉ်ပျံ	0.714	0.642	0.644
aerospace	အာကာသ	0.643	0.520	0.779
aesthetic	ဗေဒ	0.708	0.442	0.526
aesthetics	ဗေဒ	0.847	0.327	0.549
aetiology	aetiology	0.480	0.398	0.615
afar	အဝေးက	0.396	0.373	0.358
affable	ဖော်ရွေ	0.704	0.380	0.452
affair	ကိစ္စ	0.520	0.459	0.657
affect	ထိခိုက်	0.458	0.569	0.578
affecting	ထိခိုက်	0.350	0.574	0.394
affection	ချစ်ခင်ခြင်း	0.898	0.559	0.696
affectionate	ချစ်ခင်သော	0.949	0.422	0.550
affections	ချစ်ခင်	0.760	0.547	0.655
affiche	NO TRANSLATION	0.479	0.265	0.402
affidavit	ကြှမျးကိနျြဆိုထှကျခကျြ	0.469	0.584	0.526
affiliated	ဆက်နွယ်	0.673	0.519	0.535
affiliation	ဆက်နွယ်မှု	0.615	0.594	0.500
affinity	ဆှဖှေဲ့	0.800	0.500	0.537
affirm	အတည်ပြု	0.745	0.509	0.731
affirmation	ကတိသစ္စာပြု	0.750	0.500	0.689
affirmative	သဘောကျသော	0.854	0.589	0.816
affirmatively	အတည်ပြု	0.908	0.500	0.811
affix	ကပ်	0.438	0.335	0.411
afflict	ဒုက္ခရောက်စေ	0.302	0.555	0.293
afflicted	သူတပါးတို့သည်ညှဉ်းဆဲ	0.271	0.500	0.167
affliction	ဒုက္ခ	0.294	0.635	0.392
affluence	ကြွယ်ဝမှု	0.663	0.618	0.722
affluent	ကြွယ်ဝသော	0.756	0.388	0.477
afford	ပြုနိုင်ခွင့်ရှိ	0.571	0.580	0.575
affordable	တတ်နိုင်	0.840	0.398	0.493
affront	စျော	0.327	0.740	0.547
affronted	စျော	0.385	0.750	0.527
afield	afield	0.594	0.370	0.373
afire	afire	0.367	0.904	0.675
afloat	မြောလကျြ	0.602	0.427	0.444
afore	ပိုလျော့ပါး	0.500	0.337	0.382
aforementioned	အပေါ်မှာဖော်ပြထားတဲ့	0.490	0.316	0.408
aforesaid	aforesaid	0.531	0.358	0.478
afraid	ကွောကျသော	0.010	0.775	0.245
afresh	afresh	0.643	0.521	0.480
african	အာဖရိက	0.490	0.423	0.555
aft	AFT	0.480	0.417	0.518
afterlife	နောင်တမလွန်	0.571	0.567	0.568
aftermath	နောက်ဆက်တွဲ	0.312	0.449	0.444
afternoon	မှနျးလှဲ	0.533	0.388	0.339
aftershave	aftershave	0.406	0.384	0.415
aftertaste	aftertaste	0.354	0.362	0.455
afterthought	ရူပါ	0.396	0.392	0.349
aga	NO TRANSLATION	0.542	0.327	0.398
agape	agape	0.612	0.529	0.464
agate	agate	0.540	0.377	0.483
age	အသက်အရွယ်	0.561	0.226	0.498
aged	အသက်	0.135	0.365	0.236
agency	ကိုယ်စားလှယ်ရုံး	0.460	0.296	0.583
agenda	ကိစ္စအစီအစဉ်	0.531	0.296	0.553
agent	ကိုယ်စားလှယ်	0.480	0.439	0.755
agglomeration	agglomeration	0.450	0.765	0.509
aggravate	တိုး။ လေးစေ	0.224	0.770	0.464
aggravated	ပိုမိုဆိုးရှား	0.079	0.760	0.430
aggravates	တိုး။ လေးစေသော	0.108	0.778	0.357
aggravating	တိုး။ လေးစေသော	0.257	0.794	0.640
aggravation	တိုး။ လေးစေခြင်း	0.071	0.784	0.613
aggregate	စုစုပေါင်း	0.730	0.378	0.556
aggregation	စုစည်းမှု	0.583	0.517	0.694
aggresive	NO TRANSLATION	0.059	0.971	0.639
aggression	ကြူးကျြောမှု	0.094	0.929	0.533
aggressive	ကြူးကျြောသော	0.125	0.949	0.648
aggressively	မှထုတ်ပြန်သော	0.250	0.926	0.688
aggressiveness	Aggressive	0.077	0.913	0.648
aggressor	ကြူးကျြောသူ	0.146	0.948	0.823
agh	agh	0.260	0.500	0.400
aghast	aghast	0.133	0.865	0.464
aghhh	NO TRANSLATION	0.281	0.635	0.243
agile	ခေတ်ရဲ့သွက်လက်	0.800	0.657	0.775
agility	သွက်လက်	0.720	0.702	0.815
aging	အိုမင်း	0.214	0.255	0.284
agitate	လံှု့ဆော်	0.300	0.796	0.593
agitated	တုန်	0.444	0.882	0.491
agitation	လှုံ့ဆော်မှု	0.240	0.931	0.447
aglow	ထက်သန်ကြလော့	0.780	0.510	0.797
agnostic	Agnostic	0.306	0.396	0.574
ago	လွန်ခဲ့တဲ့	0.317	0.280	0.404
agonizing	ရောကျသော	0.083	0.800	0.340
agony	သေခြင်းဆင်းရဲ	0.083	0.775	0.393
agoraphobia	agoraphobia	0.127	0.712	0.438
agree	သဘောတူ	0.906	0.260	0.545
agreeable	နှစ်သက်ဘွယ်ကောင်းသော	0.906	0.500	0.696
agreed	သဘောတူညီခဲ့	0.797	0.449	0.574
agreeing	သဘောတူ	0.854	0.480	0.557
agreement	သဘောတူညီချက်	0.760	0.440	0.736
agressive	NO TRANSLATION	0.083	0.918	0.751
agricultural	စိုက်ပျိုးရေး	0.686	0.321	0.473
agriculture	လယ်ယာစိုက်ပျိုးရေး	0.640	0.357	0.465
aground	ကြောင့်သင်္ဘော	0.333	0.340	0.445
agua	NO TRANSLATION	0.598	0.180	0.436
ahead	ရှေ့သို့	0.708	0.520	0.673
ahhh	ahhh	0.562	0.517	0.241
ahhhhhhhh	NO TRANSLATION	0.552	0.649	0.288
ahoy	ahoy	0.500	0.497	0.380
aid	အကူအညီ	0.796	0.491	0.541
aide	ကူညီသူ	0.724	0.342	0.434
aiding	အကူအညီပေးနေတာ	0.643	0.533	0.569
aids	အကူအညီအထောက်အပံ့များ	0.561	0.480	0.500
ail	ail	0.375	0.434	0.385
ailing	ဖြားနာ	0.094	0.518	0.153
ailment	နာခြင်း	0.146	0.734	0.277
aim	ရည်ရွယ်ချက်	0.481	0.569	0.567
aimless	ဓိပ်ပာယျမဲ့	0.150	0.267	0.183
air	လေ	0.708	0.163	0.427
airbag	Airbag	0.510	0.402	0.433
airborne	လေကြောင်းချီ	0.542	0.519	0.385
aircraft	လေယာဉ်ပျံ	0.646	0.644	0.691
aircraft carrier	လေယာဉ်တင်သင်္ဘော	0.490	0.740	0.727
airfield	လေယာဉ်ကွင်း	0.601	0.650	0.645
airhead	airhead	0.271	0.481	0.276
airlift	airlift	0.573	0.622	0.642
airline	လကွောငျး	0.650	0.482	0.688
airliner	လေယာဉ်	0.667	0.777	0.647
airlock	airlock	0.398	0.520	0.447
airman	airman	0.587	0.716	0.721
airplane	လေယာဉ်ပျံ	0.719	0.702	0.708
airport	လေဆိပ်	0.729	0.684	0.682
airs	လွှင်	0.583	0.196	0.370
airship	airship	0.542	0.472	0.529
airspace	လေပိုင်နက်	0.562	0.510	0.640
airspeed	Airspeed	0.583	0.780	0.544
airstrip	ပြေးလမ်းအပြင်ဘက်	0.550	0.690	0.649
airtight	လုံ	0.479	0.381	0.570
airway	လေကြောင်း	0.638	0.585	0.482
aisle	အတန်း	0.438	0.222	0.283
ait	NO TRANSLATION	0.385	0.390	0.402
ajar	NO TRANSLATION	0.460	0.413	0.446
aka	ခေါ်	0.459	0.358	0.351
akin	ဆင်ဆင်တူသော	0.639	0.343	0.523
alabaster	ကျောက်ဖြူခွက်ကို	0.542	0.404	0.445
alarm	နှိုးသံ	0.241	0.882	0.698
alarm clock	နှိုးစကျနာရီ	0.542	0.727	0.642
alarmed	ထိတ်လန့်	0.188	0.822	0.492
alarming	စိုးရိမျကွောငျ့ကွသော	0.204	0.890	0.585
alas	alas	0.571	0.310	0.279
alb	NO TRANSLATION	0.521	0.380	0.427
albatross	albatross	0.500	0.445	0.527
albino	albino	0.500	0.240	0.358
album	အယ်လ်ဘမ်	0.635	0.349	0.453
alchemy	အဂ္ဂိရတ်	0.541	0.583	0.693
alcohol	အရက်	0.323	0.667	0.377
alcoholic	အရက်သမား	0.153	0.688	0.361
alcoholism	အရကျစှဲခွငျး	0.061	0.779	0.407
alcove	alcove	0.490	0.340	0.356
alderman	alderman	0.550	0.459	0.691
ale	NO TRANSLATION	0.530	0.450	0.358
alert	သတိပေး	0.479	0.820	0.648
alertness	ရွှင်လန်း	0.375	0.875	0.750
alerts	သတိပေးချက်	0.337	0.804	0.673
alfalfa	Alfafa ဟာ	0.546	0.250	0.311
algebra	algebra	0.440	0.340	0.565
algebraic	algebra	0.531	0.412	0.441
algorithm	algorithm ကို	0.448	0.394	0.559
alias	အမည်ဝှက်	0.541	0.353	0.333
alibi	စှပျစှဲမှနျကနျကွောငျးရာခခြေကျြ	0.396	0.528	0.556
alien	ဂြိုလ်သား	0.410	0.615	0.491
alienate	လွှဲပေး	0.247	0.500	0.523
alienated	စိမ်းကား	0.410	0.423	0.559
alienation	လွှဲပေးခြင်း	0.378	0.530	0.462
alight	ဆင်း	0.667	0.657	0.605
align	တန်း။ တား	0.656	0.364	0.627
aligned	ဘက်မလိုက်	0.583	0.275	0.553
alignment	alignment ကို	0.643	0.412	0.683
alike	တူညီသော	0.653	0.173	0.444
alimentation	NO TRANSLATION	0.781	0.551	0.602
alimony	ကလေးစရိတ်	0.612	0.477	0.464
aliquot	aliquot	0.440	0.310	0.404
alive	အသကျရှငျ	0.816	0.637	0.731
alkali	အယ်လကာလီ	0.490	0.350	0.408
alkaloids	alkaloids	0.433	0.562	0.402
allay	လျော့ပါးသက်သာစေရန်	0.417	0.406	0.398
allegation	အဆိုရှိချက်	0.578	0.578	0.608
allege	စွပ်စွဲချက်	0.418	0.482	0.587
alleged	စွပ်စွဲချက်	0.365	0.522	0.520
allegiance	သစ္စာရှိမှု	0.917	0.398	0.750
allegorical	ပုံဆောင်	0.517	0.558	0.598
allegory	ရူပကတှေ	0.615	0.580	0.509
allegro	Allegro	0.635	0.627	0.453
allergic	အာရုံများကိုထိခိုက်လွယ်သော	0.135	0.549	0.273
allergy	အာရုံများကိုထိခိုက်လွယ်ခြင်း	0.296	0.606	0.389
alleviate	သက်သာစေနိုင်ကြောင်း	0.869	0.270	0.528
alleviation	လျော့ချရေး	0.735	0.200	0.491
alley	လမ်းကြား	0.347	0.500	0.355
alleyway	alleyway	0.357	0.471	0.382
alliance	မဟာမိတျအဖှဲ့	0.696	0.473	0.769
